[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[00:05:00.236 --> 00:05:08.745]  Ladies and gentlemen, Owen Schroer here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[00:05:08.745 --> 00:05:19.336]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[00:05:19.336 --> 00:05:22.279]  But then I read the ingredients, and I was blown away.
[00:05:22.279 --> 00:05:22.840]  Listen to this.
[00:05:23.420 --> 00:05:24.661]  Organic pea fiber.
[00:05:24.661 --> 00:05:26.122]  Organic alfalfa leaf.
[00:05:26.122 --> 00:05:27.563]  Organic wheatgrass leaf.
[00:05:27.563 --> 00:05:29.024]  Organic cilantro leaf.
[00:05:29.024 --> 00:05:30.445]  Organic kale leaf.
[00:05:30.445 --> 00:05:31.986]  Organic flax sprout.
[00:05:31.986 --> 00:05:33.587]  Organic quinoa sprout.
[00:05:33.587 --> 00:05:37.049]  Ladies and gentlemen, all of these things are so incredible for your health.
[00:05:37.049 --> 00:05:38.310]  Just one of these ingredients
[00:05:38.490 --> 00:05:39.670]  We shall go on to the end.
[00:05:39.670 --> 00:05:40.431]  We shall fight in France.
[00:06:06.880 --> 00:06:10.062]  We shall fight on the seas and oceans.
[00:06:10.062 --> 00:06:15.987]  We shall fight with growing confidence and growing strength in the air.
[00:06:15.987 --> 00:06:20.030]  We shall defend our island, whatever the cost may be.
[00:06:20.030 --> 00:06:22.251]  We shall fight on the beaches.
[00:06:22.251 --> 00:06:24.993]  We shall fight on the landing grounds.
[00:06:24.993 --> 00:06:28.636]  We shall fight in the fields and in the streets.
[00:06:28.636 --> 00:06:31.078]  We shall fight in the hills.
[00:06:31.078 --> 00:06:32.339]  We shall never surrender.
[00:06:35.459 --> 00:06:40.665]  Live from Freedom Command Central, it's the Alex Jones Show!
[00:06:44.281 --> 00:06:49.884]  Well, this is definitely going to be the most important broadcast of my 27 years on air.
[00:06:49.884 --> 00:06:58.989]  And it's only by the grace of God and your incredible prayers and support that we are still in this position to fight back against these monsters.
[00:06:58.989 --> 00:07:09.034]  So I want to salute all of you for keeping us in this position, holding us with your gravity, with your will, where we're still here despite all the enemy's attacks.
[00:07:09.034 --> 00:07:11.796]  And I just thank God for putting me in the position to be able to do this.
[00:07:13.354 --> 00:07:24.260]  I have been very, very obviously upset, just like you have, about the extermination of our people, and about this public depopulation being carried out by folks that say they wanted to carry out this very depopulation.
[00:07:24.260 --> 00:07:37.667]  But, I got home yesterday, had dinner with the family, my daughter wanted to go to bed early, the youngest daughter about eight, so I went into my office, I closed the door, and it was about 1 a.m.
[00:07:37.667 --> 00:07:41.829]  when I went and got in bed, and then I could not stop praying,
[00:07:42.999 --> 00:07:47.482]  And God said, get back up and go get back on the computer.
[00:07:47.482 --> 00:07:49.343]  And I just started jumping around everywhere.
[00:07:49.343 --> 00:07:56.647]  And I'm going to give you that gestalt of information here today.
[00:07:56.647 --> 00:08:05.692]  And while I was up late at night, I was getting text messages from very well-known prominent talk show hosts who were all simultaneously researching the same thing.
[00:08:05.692 --> 00:08:06.853]  So I'm up at midnight.
[00:08:08.328 --> 00:08:16.636]  And top talk show hosts in the country, just to show you the synchronicity, are both hitting me with messages on the same Zeitgeist subject.
[00:08:16.636 --> 00:08:19.839]  So the force is with us, as they say.
[00:08:19.839 --> 00:08:23.242]  Let me go ahead and lay it out for you.
[00:08:23.242 --> 00:08:30.308]  Let me just lay it out, and then in the next hour, I'm going to show you everything I claim here.
[00:08:30.308 --> 00:08:31.710]  We have video of Fauci.
[00:08:32.961 --> 00:08:38.588]  But we have like five videos, but I'm gonna play one here.
[00:08:38.588 --> 00:08:47.880]  2012, 2013, 14, 15, 16, 17, 18, so six videos of him saying, of course I'm funding gain of function, it's good to do, calling it gain of function.
[00:08:47.880 --> 00:08:50.263]  And then we have him saying he's never funded gain of function.
[00:08:51.075 --> 00:09:03.538]  When taking animal viruses and making them transmittable to humans is the essence of when they developed the term during World War II of the Nazis giving animal viruses gain of function to humans.
[00:09:03.538 --> 00:09:04.938]  The term comes from that.
[00:09:04.938 --> 00:09:09.179]  So, it's like saying, Roger Stolbeck was never a Dallas cowboy.
[00:09:09.179 --> 00:09:10.700]  I mean, he's the cowboy.
[00:09:10.700 --> 00:09:16.161]  Or, I mean, it's just ridiculous level gaslighting.
[00:09:17.396 --> 00:09:18.237]  We have that.
[00:09:18.237 --> 00:09:26.963]  That's one small area, and Senator Paul saying he's referring for criminal prosecution of Fauci, don't hold your breath, but I mean, this is what he's done.
[00:09:26.963 --> 00:09:31.967]  He is a criminal with Bill Gates, and it's either us or them.
[00:09:31.967 --> 00:09:43.736]  Then, I began to research off a clip that I ran into at like 8 at night of Trudeau, the guy that says he wants to be a communist Chinese dictator?
[00:09:43.736 --> 00:09:45.397]  The Prime Minister of Canada?
[00:09:45.397 --> 00:09:46.418]  Still got him in lockdown up there?
[00:09:48.419 --> 00:09:55.300]  Announcing forced booster shots, because they're trying to make them forced, every year.
[00:09:55.300 --> 00:10:05.242]  And in 2024, they go back to giving you two a year of whatever quote Pfizer wants to put in you.
[00:10:05.242 --> 00:10:08.062]  Then off of that, I did some more research.
[00:10:08.062 --> 00:10:11.443]  And I said, I wonder who's directing this project.
[00:10:11.443 --> 00:10:16.844]  So I looked up who directs the project of how to quote tweak the Pfizer shot.
[00:10:16.844 --> 00:10:17.484]  And I found
[00:10:18.971 --> 00:10:28.076]  The former Pfizer employee who heads up the project for the main level four bioweapons lab in London, England that we'll be telling you about.
[00:10:28.076 --> 00:10:34.660]  And I watched seven or eight of his videos and then read, scanned over dozens of his papers.
[00:10:34.660 --> 00:10:42.364]  And by the time I was done, my jaw was on the ground and it went right back to Henrietta Lacks.
[00:10:43.968 --> 00:10:59.979]  That we told you about, this black woman that got eaten alive by cancer in one week, and they cut her uterus out, stole it, and it's the basis of all human cloning, everything today, the cells won't die.
[00:10:59.979 --> 00:11:03.942]  They have factories all over the world that just create her cells.
[00:11:03.942 --> 00:11:07.105]  And I already knew all this, but my God, I didn't know they cloned her.
[00:11:09.882 --> 00:11:14.425]  In 1966, they spliced her with mice in 1966.
[00:11:14.425 --> 00:11:21.390]  I mean, we, I mean, folks, you've seen the thing where it, like, jumps on things and eats them?
[00:11:21.390 --> 00:11:22.411]  That's what ate her.
[00:11:22.411 --> 00:11:31.497]  And they even say they don't believe it's human, doesn't have our genome, doesn't have our chromosomes, and they call it another species and debate whether what was in her uterus is an alien.
[00:11:33.683 --> 00:11:37.324]  I'm going to show you Wikipedia, and then I'm going to show you the actual documents.
[00:11:37.324 --> 00:11:46.548]  Now, this little feller right here, because let me tell you, I'm not going to pretend to know exactly what they're doing, but let's just say this, it's world ending, baby.
[00:11:46.548 --> 00:11:52.831]  They're putting Henrietta Lacks cells in you.
[00:11:52.831 --> 00:11:58.753]  And one other white baby that got aborted in the third trimester, also in the late 60s.
[00:11:58.753 --> 00:11:59.333]  But she's from 1951.
[00:12:02.222 --> 00:12:05.224]  So, ladies and gentlemen, whoo!
[00:12:05.224 --> 00:12:11.268]  This isn't a science fiction movie you went to sit down and eat some milk duds and popcorn and drink Coca-Cola.
[00:12:11.268 --> 00:12:13.630]  This is chills up my spine.
[00:12:13.630 --> 00:12:20.375]  I got in bed at 3.30 and I literally had to get back out of the bed and get on my knees.
[00:12:26.749 --> 00:12:29.771]  Because we already knew this stuff, but man, this is bad.
[00:12:29.771 --> 00:12:32.232]  This is bad, bad, bad.
[00:12:32.232 --> 00:12:53.826]  They admit on video, and I'm going to show it to you when we come back, that they have the guy that heads the program up, that it gets rid of your immune system, and that when you've taken two Pfizer shots alone, your immune system is one-sixth what it was.
[00:12:56.291 --> 00:12:58.313]  You're like, well that's hiding criminal activity in plain view.
[00:12:58.313 --> 00:12:58.473]  Why?
[00:12:58.473 --> 00:13:01.615]  Because they have to just say it like, hey, pedophilia is legal!
[00:13:01.615 --> 00:13:03.196]  I got articles right here.
[00:13:03.196 --> 00:13:04.277]  Mainstream news.
[00:13:04.277 --> 00:13:04.938]  Horrifying.
[00:13:04.938 --> 00:13:12.724]  Berlin foster experiments saw kids deliberately given to pedos to see if sex abuse was good for them, close quote.
[00:13:12.724 --> 00:13:14.685]  Told you about that a long time ago, but it's mainstream news.
[00:13:14.685 --> 00:13:18.829]  They did it to 30,000 plus children all over Germany.
[00:13:18.829 --> 00:13:21.931]  Babies to be raped by men in an experiment.
[00:13:21.931 --> 00:13:25.434]  So, it's the same group, but what I'm getting at here is,
[00:13:28.626 --> 00:13:32.748]  You'd have to hide it in plain view, like, well, sure, we give kids pedophiles, what's the big deal?
[00:13:32.748 --> 00:13:35.389]  Or, sure, of course we injected black people with syphilis.
[00:13:35.389 --> 00:13:36.110]  Oh!
[00:13:36.110 --> 00:13:36.770]  Oh!
[00:13:36.770 --> 00:13:37.590]  Oh!
[00:13:37.590 --> 00:13:40.112]  The Henrietta Lacks story?
[00:13:40.112 --> 00:13:41.953]  Guess where it comes out of?
[00:13:41.953 --> 00:13:43.974]  And the human cloning!
[00:13:43.974 --> 00:13:51.857]  Tuskegee, Alabama.
[00:13:51.857 --> 00:13:53.798]  And then they spliced her with everything.
[00:13:53.798 --> 00:13:56.600]  Because, you see, the cells won't die.
[00:13:58.166 --> 00:14:00.867]  They never stop replicating.
[00:14:00.867 --> 00:14:10.530]  He just puts them on the table and they'll live five years, but if you put them in any type of medium, they just keep growing and growing and growing and growing.
[00:14:10.530 --> 00:14:13.151]  They send their cells to space, they divide even faster.
[00:14:13.151 --> 00:14:17.432]  Folks, I'm not joking, this is all real, okay?
[00:14:17.432 --> 00:14:23.934]  But just the bombshells that I'm giving you here, you're going to see video of Trudeau saying, oh, you're going to get shots every year, and then you're going to learn why.
[00:14:25.404 --> 00:14:34.549]  They're now saying, oh, you need 10 shots a year, it's a therapeutic, and we're going to give you cancer drugs if you have COVID.
[00:14:34.549 --> 00:14:37.470]  Because, oh, it's like cancer or HIV, they're now announcing.
[00:14:37.470 --> 00:14:38.191]  I have those clips.
[00:14:38.191 --> 00:14:40.152]  They're like, you know, it's like HIV.
[00:14:40.152 --> 00:14:42.513]  It gets rid of your immune system and it never goes away.
[00:14:42.513 --> 00:14:46.275]  But then they go, oh, and the vaccine gets rid of your immune system and never goes away.
[00:14:46.275 --> 00:14:50.297]  But don't worry, we've got cancer drugs for you after the shots don't work.
[00:14:54.104 --> 00:15:03.866]  It permanently wipes out your bone marrow and your lymph nodes able to defend you.
[00:15:03.866 --> 00:15:07.487]  They're just lowering everybody's defenses right now for extermination.
[00:15:07.487 --> 00:15:08.887]  That's how powerful we are.
[00:15:08.887 --> 00:15:12.388]  They've got to actually put this... I mean, they've done it.
[00:15:12.388 --> 00:15:13.088]  They've done it.
[00:15:13.088 --> 00:15:13.548]  They've done it.
[00:15:13.548 --> 00:15:15.429]  And I guess we're going to join all the aborted babies now.
[00:15:17.554 --> 00:15:20.496]  Within six months to a year, and it's already happening, just the death's going to be everywhere.
[00:15:20.496 --> 00:15:23.897]  When the viruses and the mutations hit this fall, they're going to say it's COVID.
[00:15:23.897 --> 00:15:24.918]  Everything's going to be locked down.
[00:15:24.918 --> 00:15:26.739]  There's going to be dead people all over the place.
[00:15:26.739 --> 00:15:31.101]  And it's going to get worse and worse and worse until we wake up that they're doing this to us on purpose.
[00:15:31.101 --> 00:15:38.285]  I don't care if you're in the Navy, or you're a farmer, or you're in the FBI, or you're in the military, or you're a school teacher.
[00:15:38.285 --> 00:15:40.426]  I don't care who you are, this is going to get you.
[00:15:40.426 --> 00:15:42.967]  You're not getting out of this.
[00:15:42.967 --> 00:15:44.048]  You're not getting out of this.
[00:15:45.540 --> 00:15:51.527]  They got cells that they debate are alien that they're putting in all this.
[00:15:51.527 --> 00:15:55.752]  The Gardasil shots, all the major vaccines.
[00:15:55.752 --> 00:15:57.534]  Henrietta Lacks, whatever ate her.
[00:16:02.148 --> 00:16:04.210]  Your voice counts.
[00:16:04.210 --> 00:16:09.276]  When you share information, be it over the internet or in person, it changes the world.
[00:16:09.276 --> 00:16:11.859]  The globalists know their agenda is unpopular.
[00:16:11.859 --> 00:16:13.360]  They know you're angry.
[00:16:13.360 --> 00:16:18.186]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[00:16:18.766 --> 00:16:29.513]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles, and those live feeds, both the regular shows and special reports, and share them with everyone you know.
[00:16:29.513 --> 00:16:33.856]  Take action now by texting the word NEWS, N-E-W-S, to 833-470-0438.
[00:16:33.856 --> 00:16:36.238]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[00:16:36.238 --> 00:16:38.199]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[00:16:48.826 --> 00:16:53.311]  Take action now, rate the chain reaction, and tell others to share those texts.
[00:16:53.311 --> 00:16:54.232]  Get news alerts at 833-470-0438.
[00:17:00.694 --> 00:17:03.556]  The biosecurity state is here.
[00:17:03.556 --> 00:17:09.480]  It's an anti-human eugenics operation, training us that humans are dirty, bad, and evil.
[00:17:09.480 --> 00:17:24.711]  The corrupt puppet Prime Minister of Canada, who says he admires the communist dictatorship of Xi Jinping and wishes to make Canada the same, has announced that they're buying vaccines for every person in the country, all the way out to 2024.
[00:17:24.711 --> 00:17:27.253]  And that in 2024, you will again take two shots.
[00:17:27.913 --> 00:17:31.915]  And he says it'll be whatever Pfizer cooks up and wants to put in your body.
[00:17:31.915 --> 00:17:33.676]  This is the Rockefeller Foundation.
[00:17:33.676 --> 00:17:36.357]  They developed this whole plan with Bill Gates.
[00:17:36.357 --> 00:17:38.618]  They're now implementing it, and now they've announced that U.S.
[00:17:38.618 --> 00:17:41.179]  policy is set by the private Rockefeller Foundation.
[00:17:41.179 --> 00:17:50.763]  Of course, the Rockefeller Foundation, by the 30s, was the main funder of Adolf A. Louis Hitler and the eugenics at Cold Springs Harbor that trained the Kaiser Philharmonic Institute in Germany.
[00:17:51.463 --> 00:17:53.406]  And Bull Wars will continue to steadfastly fight this.
[00:17:53.406 --> 00:17:54.909]  I don't know how long we can.
[00:17:54.909 --> 00:17:56.271]  The enemy's coming for us all now.
[00:17:56.271 --> 00:17:57.873]  God bless and good luck.
[00:17:57.873 --> 00:17:59.396]  I would, again, get right with God right now.
[00:18:00.439 --> 00:18:04.120]  As we predicted, the globalists are now launching a new lockdown.
[00:18:04.120 --> 00:18:13.622]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the western world.
[00:18:13.622 --> 00:18:20.283]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship while you still can at 20-20 prices.
[00:18:20.283 --> 00:18:23.824]  We have the biggest, best company in the United States as our supplier.
[00:18:23.824 --> 00:18:26.264]  Their entire catalog is at InfoWorksStore.com.
[00:18:26.264 --> 00:18:29.145]  You get an additional 10% off at InfoWorksStore.com.
[00:18:29.465 --> 00:18:31.547]  But only for one more week.
[00:18:31.547 --> 00:18:34.028]  They've told us you can extend it one more week, Alex.
[00:18:34.028 --> 00:18:35.049]  But that's it.
[00:18:35.049 --> 00:18:37.451]  They won't do this sale again until November.
[00:18:37.451 --> 00:18:39.653]  And then the food prices go up in 2022.
[00:18:39.653 --> 00:18:41.634]  This is insurance you can eat.
[00:18:41.634 --> 00:18:42.915]  It's the highest quality.
[00:18:42.915 --> 00:18:44.096]  Hundreds of high-quality foods.
[00:18:44.096 --> 00:18:45.797]  Three-month, six-month year supplies.
[00:18:45.797 --> 00:18:49.300]  All ready for you at InfoWarsTore.com or call toll-free, 888-253-3139.
[00:18:52.222 --> 00:19:03.231]  Again, InfoWarsTore.com, 10% off on high quality storable food, ready to ship, but it ends in just one week, so take action now while you still can!
[00:19:03.231 --> 00:19:05.853]  You're listening to the Alex Jones Show!
[00:19:43.922 --> 00:19:55.689]  Everyone on Earth is being injected with cellular product from an immortal cell line from a black woman that died in 1951.
[00:19:57.461 --> 00:20:08.951]  An aggressive cancer they believe is not of human cells, different genome, that cannot die, ate her in a week.
[00:20:08.951 --> 00:20:19.480]  They took it for research and only found one other human they admit that had an immortal cell line that was an aborted baby in the 1960s.
[00:20:19.480 --> 00:20:24.884]  But undoubtedly they've got other immortal cell lines that they're not telling us about and others in plants and animals.
[00:20:25.964 --> 00:20:31.208]  That's why there's some trees they'll find that normally can live 500 years but some they found that are 4,000 years old.
[00:20:31.208 --> 00:20:34.170]  There's certain cell lines that are basically immortal.
[00:20:34.170 --> 00:20:41.475]  This is the secret to immortality that so many sought out the Holy Grail.
[00:20:41.475 --> 00:20:50.240]  And they are testing it all on us to then get tissue samples they believe to find out of all these horrible mutations that are going to happen.
[00:20:51.371 --> 00:20:55.293]  A controllable immortal cell line for life extension.
[00:20:55.293 --> 00:20:59.094]  So now you know the main mode of power, control, playing God.
[00:20:59.094 --> 00:21:00.435]  Welcome back to the Alex Jones Show.
[00:21:00.435 --> 00:21:03.296]  Let me give you the bombshell information.
[00:21:03.296 --> 00:21:19.282]  You have to understand this is seven hours of research yesterday that dovetails into years of research, but the rabbit hole is so deep that we only scratched the surface and we've gone deeper than anybody else but the people running this who are light years ahead of us.
[00:21:20.452 --> 00:21:27.156]  They're evil, they're hunchbacked, they're almost always connected to pedophilia because it's about dehumanizing humanity.
[00:21:27.156 --> 00:21:39.622]  They're the scum of the earth, but they are willing to go randomly do raw research, as they call it, and to get control of society to play God, and now they're doing it.
[00:21:39.622 --> 00:21:46.506]  Here is Justin Trudeau, the leader of Canada who said on multiple occasions he admires dictatorship.
[00:21:46.506 --> 00:21:48.067]  Here he is yesterday announcing
[00:21:49.124 --> 00:21:55.171]  That they're buying from Pfizer, who at Bill Gates, the Rockefeller Foundation, run everything.
[00:21:55.171 --> 00:21:56.753]  The mask mandates on kids, everything.
[00:21:56.753 --> 00:21:57.634]  They're the ones behind it.
[00:21:57.634 --> 00:22:02.920]  I'll show you those documents next segment.
[00:22:02.920 --> 00:22:04.141]  They are now coming out.
[00:22:04.141 --> 00:22:07.165]  This is the project director, David L.V.
[00:22:07.165 --> 00:22:08.867]  Bauer, group leader.
[00:22:12.336 --> 00:22:26.227]  of the most prestigious facility, one of the most prestigious facilities in the world, the Francis Crick Institute, the biggest, most high-tech biolab in the world in London.
[00:22:26.227 --> 00:22:37.416]  Here they are saying your monthly dose now, at least 10 shots, they say monthly but they say 10 a year, not 12, of whatever Pfizer says goes into you, and he goes on to say
[00:22:39.292 --> 00:22:41.553]  And I went and read his papers where he says this.
[00:22:41.553 --> 00:22:49.378]  They've studied those injected with the Pfizer shot alone in the UK and from around the world.
[00:22:49.378 --> 00:22:52.539]  He's from North America, but he lives in England.
[00:22:52.539 --> 00:22:57.122]  He's an Oxford Scholar, Cecil Rhodes Scholar.
[00:22:57.122 --> 00:22:59.804]  That's the Global Government Trust.
[00:22:59.804 --> 00:23:01.825]  Rhodes Scholar.
[00:23:01.825 --> 00:23:05.587]  And he's running this particular program and he says, this gets rid of your immune system.
[00:23:06.323 --> 00:23:12.147]  He just said, you're not going to have an immune system anymore, but it's okay because now we're going to give you shots all the time.
[00:23:12.147 --> 00:23:27.019]  We're going to play him in a moment, but first here is Trudeau saying it, and then here is this individual, the head scientist leading the testing that's actually showing that you don't have the immune system after you do this.
[00:23:27.019 --> 00:23:31.422]  I mean, this is just earth shattering, but they put it out like it's no big deal.
[00:23:31.422 --> 00:23:35.906]  You've got something less than one-tenth of one percent death rate, even in sick people, even in old people.
[00:23:37.130 --> 00:23:38.230]  Comorbidities.
[00:23:38.230 --> 00:23:46.814]  You've got something that doesn't even affect the young, but thanks to hysteria and irrational behavior, they're now telling you, oh, and we showed mainstream news articles last segment when I mentioned that.
[00:23:46.814 --> 00:23:52.777]  They just pulled up articles, mainline news, going, well, yeah, the Pfizer shot does get rid of your immunity.
[00:23:52.777 --> 00:23:56.178]  They all do.
[00:23:56.178 --> 00:23:59.740]  So here it is, ladies and gentlemen, David L.V.
[00:23:59.740 --> 00:24:00.480]  Bauer.
[00:24:00.480 --> 00:24:06.183]  First, we're going to play the leader of Canada, still under lockdown, yesterday.
[00:24:06.183 --> 00:24:06.443]  Here it is.
[00:24:07.930 --> 00:24:15.195]  While more and more Canadians are getting vaccinated right now, it's also important to plan ahead for the future.
[00:24:15.195 --> 00:24:24.582]  We've reached an agreement with Pfizer for 35 million booster doses for next year, and 30 million in the year after.
[00:24:24.582 --> 00:24:30.006]  This deal includes options to add 30 million doses in both 2022 and 2023, and an option for 60 million doses in 2024.
[00:24:35.896 --> 00:24:46.640]  Pfizer has been a solid partner for Canada in this fight against COVID-19, and we're happy to be one of the first countries to secure an agreement with them going forward.
[00:24:46.640 --> 00:24:56.043]  These boosters will be the latest version of the Pfizer vaccine based on research and testing, and they will help us keep the virus under control.
[00:24:56.043 --> 00:24:58.024]  And the work doesn't end there, either.
[00:24:58.024 --> 00:25:03.726]  We're on ongoing discussions with other vaccine manufacturers about their plans for booster shots, too.
[00:25:04.705 --> 00:25:05.805]  Their plans.
[00:25:05.805 --> 00:25:07.265]  They say it.
[00:25:07.265 --> 00:25:08.266]  What's in it is secret.
[00:25:08.266 --> 00:25:09.546]  They don't do public testing.
[00:25:09.546 --> 00:25:16.347]  They just give you the experimental injections, which they admit give you blood clots and can kill you and attack your uterus.
[00:25:16.347 --> 00:25:19.208]  And, oh, you'll think you have cancer, but don't worry, it's not cancer.
[00:25:19.208 --> 00:25:21.548]  Though people then go in and have stage 3, stage 4 cancer.
[00:25:21.548 --> 00:25:22.728]  That's mainline news.
[00:25:22.728 --> 00:25:24.068]  And they're just normalizing it.
[00:25:24.068 --> 00:25:25.669]  Hey, it gets rid of your immune system.
[00:25:25.669 --> 00:25:29.509]  Hey, a lot of people are getting cancer within a few weeks of taking this.
[00:25:29.509 --> 00:25:31.070]  No, it is causing it.
[00:25:31.070 --> 00:25:31.970]  Just don't worry.
[00:25:31.970 --> 00:25:33.170]  That's just a happy side effect.
[00:25:34.465 --> 00:25:38.426]  And they've noticed if they just normalize it, like, hey, we're going to have human sacrifice.
[00:25:38.426 --> 00:25:41.026]  Bring your firstborn son up to the temple next week.
[00:25:41.026 --> 00:25:43.127]  We're going to cut their heart out under the full moon.
[00:25:43.127 --> 00:25:47.128]  And people went, well, everybody's cutting their child's heart out.
[00:25:47.128 --> 00:25:52.669]  Every culture went into a decadent cycle and would demand the firstborn boys and girls be killed.
[00:25:52.669 --> 00:25:53.829]  Every culture.
[00:25:53.829 --> 00:25:59.070]  Mesoamerican, if you've got a German background, your ancestors ate their children in certain times.
[00:25:59.070 --> 00:26:03.431]  If you've got a Latin American background, Mesoamerican, your ancestors ate their children.
