[00:00:06.913 --> 00:00:07.334]  1-800-340-7091.
[00:03:27.062 --> 00:03:31.886]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:33.797 --> 00:03:36.858]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[00:03:36.858 --> 00:03:39.619]  There's a healthy and faster way to lose weight than any diet pill.
[00:03:39.619 --> 00:03:48.822]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[00:03:48.822 --> 00:03:50.923]  Two weeks of EverCleanse may be equal to months of dieting.
[00:03:50.923 --> 00:03:54.104]  Visit us at evercleanse.com or call now to receive a very special offer.
[00:03:54.104 --> 00:03:54.744]  That number is 800-567-5598.
[00:03:54.744 --> 00:03:55.424]  Call for your special offer.
[00:03:55.424 --> 00:03:55.484]  800-567-5598.
[00:03:55.484 --> 00:03:55.524]  800-567-5598.
[00:04:04.126 --> 00:04:07.518]  A number of deadly incidents are being reported across Afghanistan.
[00:04:08.081 --> 00:04:09.682]  Here's Jason Strasioso.
[00:04:09.682 --> 00:04:16.664]  The insurgent attacks on a roadside bomb killed ten Afghan security force members and at least four incidents across Afghanistan.
[00:04:16.664 --> 00:04:23.086]  A roadside bomb killed three Afghan army commanders on patrol Saturday in eastern Pakhtia province's Gardez district.
[00:04:23.086 --> 00:04:28.787]  Alaska's Mount Redon volcano continues to spew out towering columns of thick ash.
[00:04:28.787 --> 00:04:32.829]  An eruption early Saturday produced a cloud nearly five miles high.
[00:04:32.829 --> 00:04:36.990]  There have been about a dozen bursts in a series of eruptions that began last weekend.
[00:04:37.660 --> 00:04:39.962]  Anna Karabara is an Anchorage resident.
[00:04:39.962 --> 00:04:41.184]  It's an odd glow.
[00:04:41.184 --> 00:04:44.086]  It's like being on maybe a different planet or something.
[00:04:44.086 --> 00:04:45.668]  It's not really dark.
[00:04:45.668 --> 00:04:47.049]  It's not dusk.
[00:04:47.049 --> 00:04:51.634]  It's almost like a deep blue hue or something.
[00:04:51.634 --> 00:04:53.295]  And it's also very quiet.
[00:04:53.295 --> 00:04:59.882]  Iraqi troops using loudspeakers ordered Sunni security volunteers in a Baghdad neighborhood to turn in their weapons today.
[00:05:00.620 --> 00:05:04.962]  The arrest of their leader has sparked fierce gun battles between the former U.S.
[00:05:04.962 --> 00:05:07.883]  allies and American and Iraqi troops.
[00:05:07.883 --> 00:05:10.785]  The arrests could have long-term implications.
[00:05:10.785 --> 00:05:11.885]  Here's Robert Reed.
[00:05:11.885 --> 00:05:20.129]  With the crackdown on the group in Fatah, similar organizations in other parts of Baghdad are now quite concerned that this may be the beginning of a government crackdown.
[00:05:20.729 --> 00:05:23.394]  If that's the case, it would seriously undermine U.S.
[00:05:23.394 --> 00:05:29.125]  efforts to stabilize Baghdad before American troops are due to pull out of the cities at the end of June.
[00:05:29.125 --> 00:05:32.270]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.893 --> 00:05:36.314]  Worried about the side effects from prescription drugs?
[00:05:36.314 --> 00:05:40.095]  Tired of searching for an effective, safe, natural alternative you can trust?
[00:05:40.095 --> 00:05:44.255]  Join more than 300,000 people worldwide who trust in native remedies.
[00:05:44.255 --> 00:05:50.597]  Our market-leading natural remedies are manufactured using the highest quality ingredients in FDA-registered facilities.
[00:05:50.597 --> 00:05:56.498]  We only use whole herbs and never use chemicals, giving you superior effectiveness and safety without side effects.
[00:05:56.498 --> 00:05:59.519]  With over 250 herbal and homeopathic remedies,
[00:05:59.659 --> 00:06:02.581]  You'll find products for your entire family, even your pets.
[00:06:02.581 --> 00:06:11.086]  Address issues like concentration, stress, mood, sleep, pregnancy, memory, joint support, digestion, cold and flu, sexual performance, and much more.
[00:06:11.086 --> 00:06:15.449]  And all Native Remedies products come with a one-year unconditional money-back guarantee.
[00:06:15.449 --> 00:06:21.713]  For a limited time, visit NoDrugsPlease.com, enter coupon code RADIO and receive $5 off your order.
[00:06:21.713 --> 00:06:24.275]  Purchase two items and receive a third absolutely free.
[00:06:24.275 --> 00:06:24.715]  For free!
[00:06:24.715 --> 00:06:27.056]  Visit NoDrugsPlease.com or call 1-877-289-1235.
[00:06:27.056 --> 00:06:27.336]  1-877-289-1235 today!
[00:06:27.336 --> 00:06:28.216]  He stands for truth.
[00:06:28.216 --> 00:06:28.997]  He stands for justice.
[00:06:28.997 --> 00:06:30.437]  He stands for what's right.
[00:06:30.437 --> 00:06:31.277]  This is the Alex Jones Show.
[00:06:54.724 --> 00:07:03.107]  Call Alex now, toll free at 877-590-5525.
[00:07:03.107 --> 00:07:11.891]  Now live from Austin, Texas, here's Alex Jones.
[00:07:11.891 --> 00:07:15.453]  Welcome, welcome, and thank you so much for joining us today.
[00:07:15.453 --> 00:07:20.995]  We're gonna be live here for the next two hours as we are every Sunday from 4 to 6 p.m.
[00:07:20.995 --> 00:07:23.816]  Central Standard Time with a syndicated transmission across the country.
[00:07:24.418 --> 00:07:26.519]  And the world.
[00:07:26.519 --> 00:07:31.483]  It is the 29th day of March 2009.
[00:07:31.483 --> 00:07:41.929]  Economist, author, historian, Webster Griffin Tarbley will be with us for an hour and 45 minutes today, and we come back in the next segment later in the next hour.
[00:07:41.929 --> 00:07:43.730]  I see the phone lines are already loaded.
[00:07:43.730 --> 00:07:45.632]  We will start going to your calls next hour.
[00:07:45.632 --> 00:07:49.374]  For folks that are already holding, you can either hold or call back next hour.
[00:07:50.828 --> 00:07:52.568]  We have a host of important issues to talk about.
[00:07:52.568 --> 00:07:59.750]  Webster wrote a book ten years ago detailing the derivatives bubble, the central bank setting up world government through controlled bankruptcy.
[00:07:59.750 --> 00:08:03.570]  We're going to be discussing that in detail and what the real Barack Obama agenda is.
[00:08:03.570 --> 00:08:05.911]  He's written two books on Barack Obama.
[00:08:05.911 --> 00:08:11.672]  He also wrote the unauthorized biography, Groundbreaking Research on George Herbert Walker Bush, back in the early 1990s.
[00:08:11.672 --> 00:08:13.292]  So that is coming up in the next segment.
[00:08:18.686 --> 00:08:31.195]  Luke Rudowsky, who's 22 years old and founded We Are Change, an activist group that goes around at press conferences and other events confronting politicians about serious issues of government-sponsored terrorism, globalization, the New World Order.
[00:08:31.195 --> 00:08:34.177]  He also does freelance reporting for InfoWars.com.
[00:08:34.901 --> 00:08:41.484]  He went to ask Mayor Bloomberg questions, as he's done many times, at an event at a major hotel in New York City.
[00:08:41.484 --> 00:08:43.465]  They grabbed him and didn't tell him to leave.
[00:08:43.465 --> 00:08:47.527]  They just grabbed him and charged him with trespassing with two other We Are Change members.
[00:08:47.527 --> 00:08:50.209]  We have a story on that up at InfoWars.com.
[00:08:50.209 --> 00:08:54.791]  He's still in jail and is reportedly going to be arraigned tomorrow for trespassing.
[00:08:54.791 --> 00:09:02.315]  They also then told him he wasn't a member of the press, as if a blogger or anybody else, whether you work for the New York Times or the Associated Press or a blog,
[00:09:02.881 --> 00:09:17.352]  The First Amendment is your right to go to press conferences and ask questions, and it was advertised, you know, as an open hotel with restaurants and bars, and that's where he went to ask him the question, and he's been seized upon, along with two other people, so the details of that are up on InfoWars.com.
[00:09:17.352 --> 00:09:20.674]  I did a little emergency broadcast last night, internet only.
[00:09:20.674 --> 00:09:31.803]  We always have thousands of people, even when I'm not live, listening to the rebroadcast audio streams at PrisonPlanet.com and InfoWars.com, and I was at my studios in South Austin, our main TV studios,
[00:09:32.935 --> 00:09:35.816]  Interviewing Webster Tarpoli for a second Obama film that we're making.
[00:09:35.816 --> 00:09:50.702]  We've got Jesse Ventura and Webster Tarpoli and Gerald Cilente and economist George Humphrey and KRS-One, Rap Icon, so many others in the Obama deception that's the megaviral film on the internet right now, sending shockwaves all over the place.
[00:09:50.702 --> 00:09:52.583]  So thanks to you out there spreading the word.
[00:09:52.583 --> 00:09:55.344]  And then we got the call, so I was able to go in and do about 15 minutes.
[00:09:55.344 --> 00:09:57.025]  I want to thank folks for calling.
[00:09:57.025 --> 00:09:59.566]  The 18th Precinct still has busy phones.
[00:09:59.566 --> 00:10:00.466]  The last time I checked,
[00:10:01.271 --> 00:10:05.854]  Because we called down there at about nine when we learned of it and said, listen, you're saying you're in a lot of trouble, young man.
[00:10:05.854 --> 00:10:07.294]  You're not really press.
[00:10:07.294 --> 00:10:08.335]  Your press pass is fake.
[00:10:08.335 --> 00:10:10.416]  There's no such thing as Infowars.com.
[00:10:10.416 --> 00:10:12.517]  So I called up politely and said, no, that's a real reporter.
[00:10:12.517 --> 00:10:15.339]  You can't make up some charge about impersonating a reporter.
[00:10:15.339 --> 00:10:16.600]  And they were very rude and hung up on me.
[00:10:16.600 --> 00:10:20.722]  So we just gave their number out on air to let them know that we're fully aware of what they're doing there and tracking it.
[00:10:21.616 --> 00:10:27.022]  So I'll cover that more tomorrow once Luke is out of jail on the weekday show from 11 to 3 p.m.
[00:10:27.022 --> 00:10:27.922]  Central Standard Time.
[00:10:27.922 --> 00:10:30.665]  And while Webster is visiting us from Washington, D.C.
[00:10:30.665 --> 00:10:42.557]  and Maryland where he's based, he's also going to be with me for the first hour on the show tomorrow, and then he's going to drive the airport and leave back home doing several other interviews the next few weeks on the new Obama film,
[00:10:42.935 --> 00:10:46.797]  I'm making because the crimes of this administration are accelerating so fast.
[00:10:46.797 --> 00:10:55.802]  You know, we talk about forced compulsory national service in the film from his Chief of Staff's book he wrote, speeches Obama and Rahm Emanuel gave.
[00:10:55.802 --> 00:10:59.344]  Now they have introduced a host of bills.
[00:10:59.344 --> 00:11:12.471]  Up until Thursday, it still had the provisions in several of the bills, 1388 and others, for forced national compulsory quasi-domestic military service, Senior Corps, Secure Corps.
[00:11:13.396 --> 00:11:21.821]  Military training, a Stalin-esque or Lenin-esque or Hitler-Jugen literal type move, and those got pulled out.
[00:11:21.821 --> 00:11:27.624]  But now a new bill, and it's up on Infowars.com, Kurt Nimmo wrote a story about it, but it's also in the Associated Press.
[00:11:27.624 --> 00:11:34.888]  A new bill has been introduced to do just that, and I'll also be telling you about that later in the radio show today.
[00:11:36.614 --> 00:11:41.356]  Now, there are hundreds of versions of the Obama deception that has been uploaded for free to the web.
[00:11:41.356 --> 00:11:46.678]  You know, we posted it first two weeks ago at PrisonPlanet.tv.
[00:11:46.678 --> 00:11:51.040]  PrisonPlanet.tv, our members' website, where it's in near-DVD quality.
[00:11:51.040 --> 00:11:54.742]  All of my films, my book, Paul Watson's book, in an E-format.
[00:11:54.742 --> 00:11:59.584]  My weekly TV shows, we simulcast the weekday radio show on the Internet.
[00:12:00.886 --> 00:12:05.350]  For folks, visually, the radio show isn't just a video cam.
[00:12:05.350 --> 00:12:10.374]  We have video feeds, high-quality cameras, you know, it's a full-news production.
[00:12:10.374 --> 00:12:13.457]  And so that's there for PrisonPlanet.tv members as well.
[00:12:13.457 --> 00:12:16.079]  And now we're adding more shows to my studios in Austin.
[00:12:16.079 --> 00:12:21.064]  We have Jason Burmess there also doing a show, and Samuel Kessing with the Genesis Network 9 to Midnight.
[00:12:21.064 --> 00:12:25.067]  So all of that's going on for PrisonPlanet.tv members.
[00:12:25.067 --> 00:12:27.129]  But folks went and grabbed it as we asked them to do.
[00:12:28.082 --> 00:12:28.523]  I think so.
[00:12:50.806 --> 00:12:53.488]  Absolutely free for everybody.
[00:12:53.488 --> 00:12:56.471]  And so you just Google the Obama deception.
[00:12:56.471 --> 00:13:00.834]  You just Google the Obama deception and it's the first, the second, the third link.
[00:13:00.834 --> 00:13:02.356]  It's always changing every day.
[00:13:02.356 --> 00:13:06.159]  It's the one that says Obama deception in high quality full film.
[00:13:06.159 --> 00:13:09.882]  And that one has over 800,000 views as of today.
[00:13:09.882 --> 00:13:18.429]  If you count up the hundreds of other versions that we've gone and looked at on the web, it's now over 15 million views in only two weeks for free.
[00:13:19.426 --> 00:13:23.328]  And so I want to thank all of you that are spreading the word about the Obama Deception.
[00:13:23.328 --> 00:13:37.553]  If you want to support myself, the filmmaker, and these films that cost in excess of $100,000 a piece to make, please buy the high quality DVD of the Obama Deception at InfoWars.com, and of course it has the extras on it as well.
[00:13:37.553 --> 00:13:43.415]  Or watch it in super high quality, you can burn it to DivX, which plays on most DVD players just by pointing and clicking.
[00:13:44.105 --> 00:13:47.606]  Uh, and people are out there already spreading thousands of these out across the country.
[00:13:47.606 --> 00:13:58.468]  I know many people are made already with five hundred a thousand copies because you can burn the DivX version in high quality to a regular computer CD and it plays in almost all the new DVD players.
[00:13:58.468 --> 00:14:01.189]  I think his mic's on.
[00:14:01.189 --> 00:14:06.770]  Um, but, um, all of that is, all of that is going on.
[00:14:06.770 --> 00:14:10.270]  And so, again, it's very, very exciting to have that happening.
[00:14:10.270 --> 00:14:11.351]  Use PrisonPlanet.tv
[00:14:13.699 --> 00:14:31.688]  Uh, to go in there, 15 cents a day, $5.95 a month, you know, that just pays for our high quality servers to put it out in super high quality, and then get regular CDs, pop them in, and then point and click, burning it to DivX onto the CD or DVD, and it is just ultra massive what's happening.
[00:14:31.688 --> 00:14:42.574]  We're not just spreading this virally with over 14 to 15 million views on the web in two weeks, the number one viral video on the web, uh, on its way to topping even Loose Change that I was involved in, executive producing the final cut.
[00:14:43.759 --> 00:14:56.271]  People are actually getting the physical copies and getting them out to everybody, but the way you really support us is with a PrisonPlanet.tv membership, or you can, so we can make more films, or by buying the high-quality DVD at InfoWars.com, or by calling toll-free 888-253-3139.
[00:14:56.271 --> 00:15:00.474]  And you can also write to me, Alex Jones, at 3001 South Lamar Suite 100, Austin, Texas 78704.
[00:15:10.518 --> 00:15:18.700]  But again, when we come back from this quick break, you're not going to hear a lot from me in the first 45 minutes or so, because I'm going to sit back and ask Webster Tarbley, a true expert.
[00:15:18.700 --> 00:15:22.160]  I mean, he, a year and a half ago, saw Obama coming.
[00:15:22.160 --> 00:15:23.661]  He said, this is the anointed one.
[00:15:23.661 --> 00:15:25.521]  He's going to expand the wars.
[00:15:25.521 --> 00:15:27.081]  He is going to hire nothing but lobbyists.
[00:15:27.081 --> 00:15:30.222]  He is going to bring nothing but Wall Street in to loot everybody.
[00:15:30.222 --> 00:15:31.802]  And he said, they're going to implode the economy.
[00:15:31.802 --> 00:15:32.863]  Watch this.
[00:15:32.863 --> 00:15:34.763]  And then sure enough, he was right about all of it.
[00:15:35.563 --> 00:15:48.388]  The youth brigades, the force compulsory service, really a scholarly analysis of the entire Barack Obama phenomenon, who's there with left covered and neutralized the Democrats of the country.
[00:15:48.388 --> 00:15:53.970]  I saw a CNN poll Friday, 65% of Democrats think the war is going well and Obama's doing a good job.
[00:15:53.970 --> 00:15:56.651]  That goes from 80 plus percent of Democrats against the war under Bush,
[00:15:57.324 --> 00:15:59.286]  To now 65% for it.
[00:15:59.286 --> 00:16:12.060]  That is a truly sickening example of mind control and of disgraceful psychological mindset because it's their guy who they feel like represents them and they feel like they won by getting him in the White House.
[00:16:12.060 --> 00:16:18.707]  They suddenly love secret arrest, renditions, no rights for detainees, warrantless NSA taps on people's phones.
[00:16:19.607 --> 00:16:22.410]  Uh, just absolute, you know, trillions to the banks.
[00:16:22.410 --> 00:16:25.272]  This AIG distraction of 165 million.
[00:16:25.272 --> 00:16:27.513]  Barack Obama, the worst president ever.
[00:16:27.513 --> 00:16:28.935]  Dwarfing George Bush.
[00:16:28.935 --> 00:16:30.576]  Webster Tarfully, straight ahead.
[00:16:34.511 --> 00:16:38.915]  The new World Order Beast is genetically modifying your food.
[00:16:38.915 --> 00:16:40.696]  Genetically modifying.
[00:16:40.696 --> 00:16:46.061]  Mixing vegetables with animals and now experimenting with viruses.
[00:16:46.061 --> 00:16:47.122]  Viruses.
[00:16:47.122 --> 00:16:52.847]  Without a long-term food solution, you will have just two options.
[00:16:52.847 --> 00:16:55.049]  Starve or surrender.
[00:16:55.049 --> 00:16:55.809]  Surrender.
[00:16:55.809 --> 00:16:59.612]  All canned food supplies will eventually run out.
[00:16:59.612 --> 00:17:00.513]  What then?
[00:17:03.217 --> 00:17:06.298]  Grow your own healthy food and feed your family forever.
[00:17:06.298 --> 00:17:10.618]  SurvivalistSeeds.com is now the nation's largest bulk heirloom seed company.
[00:17:10.618 --> 00:17:13.499]  And it's owned by a real patriot, Big John Lipscomb.
[00:17:13.499 --> 00:17:20.720]  You can now have an infinite amount of healthy vegetables like a watermelon, a bundle of carrots or tomatoes for a little more than a penny each.
[00:17:20.720 --> 00:17:22.600]  SurvivalistSeeds.com.
[00:17:22.600 --> 00:17:28.021]  And now you can go into business with Big John at SurvivalistSeeds.com by becoming an affiliate.
[00:17:28.021 --> 00:17:30.742]  See his link at SurvivalistSeeds.com.
[00:17:30.742 --> 00:17:31.602]  SurvivalistSeeds.com.
[00:17:33.467 --> 00:17:37.392]  When making important financial decisions, you should always know the facts.
[00:17:37.392 --> 00:17:41.198]  That's why Midas Resources is willing to pay you to read the facts.
[00:17:41.198 --> 00:17:50.010]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:17:50.370 --> 00:17:54.593]  Midas Resources offers a host of services and stands behind their products.
[00:17:54.593 --> 00:17:59.476]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:17:59.476 --> 00:18:05.120]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:18:05.120 --> 00:18:10.704]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:18:10.704 --> 00:18:11.765]  So, what are you waiting for?
[00:18:12.025 --> 00:18:18.207]  Get the facts and Paul Midas resources toll free at 888-292-2709.
[00:18:18.207 --> 00:18:19.387]  That's 888-292-2709.
[00:18:19.387 --> 00:18:26.449]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty silver half dollar.
[00:18:38.089 --> 00:18:39.650]  Let's go to the heart of the matter.
[00:18:39.650 --> 00:18:44.593]  Life Change T has had some commercials that are not appealing to those who live in denial.
[00:18:44.593 --> 00:18:50.597]  Maybe we are to believe there are no parasites in the world, and that having a clogged colon is good for you.
[00:18:50.597 --> 00:18:53.479]  That being overweight is absolutely healthy.
[00:18:53.479 --> 00:18:56.441]  That there are no unhealthy chemicals in the air.
[00:18:56.441 --> 00:19:00.123]  And last but not least, fluoride in your water is good for you.
[00:19:00.123 --> 00:19:00.183]  NOT!
[00:19:02.020 --> 00:19:06.803]  Get the T. Change your body and life from unhealthy to healthy.
[00:19:06.803 --> 00:19:09.144]  Order online at GetTheT.com.
[00:19:09.144 --> 00:19:11.406]  That's GetTheT.com.
[00:19:11.406 --> 00:19:12.346]  Or you can call us at 928-308-0408.
[00:19:12.346 --> 00:19:12.787]  That's 928-308-0408.
[00:19:12.787 --> 00:19:14.168]  Or order online at GetTheT.com.
[00:19:14.168 --> 00:19:15.228]  That's GetTheT.com.
[00:19:15.228 --> 00:19:17.129]  Life Change T. The T that changes how you feel.
[00:19:33.769 --> 00:19:44.333]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:19:44.333 --> 00:19:45.754]  Garden in a can.
[00:19:45.754 --> 00:19:49.895]  Garden in a can is your source for premium, long-term, storable seeds.
[00:19:49.895 --> 00:19:51.896]  Garden in a can is ready when you are.
[00:19:51.896 --> 00:19:54.197]  Plant them now or store them for when you really need them.
[00:19:54.677 --> 00:20:03.671]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:20:04.344 --> 00:20:05.765]  Garden in a Can.
[00:20:05.765 --> 00:20:06.965]  It's that simple.
[00:20:06.965 --> 00:20:09.366]  Fresh, healthy, easy.
[00:20:09.366 --> 00:20:13.707]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:20:13.707 --> 00:20:15.268]  Ready when you are.
[00:20:15.268 --> 00:20:19.349]  Stop procrastinating and start preparing with Garden in a Can.
[00:20:19.349 --> 00:20:22.831]  For more details visit GardenInACan.com today.
[00:20:22.831 --> 00:20:25.372]  That's GardenInACan.com or call 866-598-7396.
[00:20:25.372 --> 00:20:25.412]  866-598-7396.
[00:20:36.465 --> 00:20:48.877]  You're listening to GCN, the Genesis Communication Radio Network.
[00:20:48.877 --> 00:20:57.445]  That's right, we are shouting right back at the international bankers, the devil is in the details.
[00:20:57.445 --> 00:21:00.348]  Thank you so much for joining us on this 29th day of March, 2009.
[00:21:06.957 --> 00:21:16.922]  And we have with us in studio historian, author, economist, Webster Griffin Tarpley, who wrote the unauthorized biography of George Herbert Walker Bush.
[00:21:16.922 --> 00:21:28.268]  He's written an unauthorized biography on Barack Obama and another book detailing Obama and the people that are really behind him, the thugs, the globalists, the international financiers imploding the world economy.
[00:21:28.268 --> 00:21:30.669]  And we've got the big G20 meeting coming up this week.
[00:21:30.669 --> 00:21:31.950]  If you watch the European Parliament,
[00:21:32.551 --> 00:21:46.371]  As I do online, they're openly announcing a world government, a global Europe, a world currency, the end of national sovereignty, and these private banks ruling through NATO and the United States military force, the planet.
[00:21:47.603 --> 00:21:49.664]  Let me start, Alex, by congratulating you for the Obama deception.
[00:21:49.664 --> 00:21:50.185]  I think it's the best
[00:22:09.258 --> 00:22:11.299]  Political documentary in many decades.
[00:22:11.299 --> 00:22:34.033]  It's a masterpiece in a genre and I think it's destined to bring home some Rewards from international film festivals that you and your fine team have put together I recommend everybody get it because it's it's indispensable and I hope it's going to contribute to turning the tide in other words going towards a situation where Obama is not going to be the Messiah, but where he's got a essentially deal with the collapse of his poll numbers and
[00:22:34.625 --> 00:22:36.046]  To basically checkmate him, right?
[00:22:36.046 --> 00:22:38.348]  To stop him from doing all these things that he wants to do.
[00:22:38.348 --> 00:22:40.229]  Well, as you said, let's cover polls first, then.
[00:22:40.229 --> 00:22:44.513]  He's dropped from 85% to 55% to 60% in a month and a half.
[00:22:44.513 --> 00:22:44.773]  Go ahead.
[00:22:44.773 --> 00:22:44.973]  Right.
[00:22:44.973 --> 00:22:48.375]  Not only has he fallen in the polls, but the negatives have gone way up.
[00:22:48.375 --> 00:22:51.418]  And the negatives are always the key thing to watch, because once the negatives go up,
[00:22:51.898 --> 00:22:52.418]  We're good to go.
[00:23:10.925 --> 00:23:13.306]  Poor people or anything of the sort.
[00:23:13.306 --> 00:23:14.586]  That's all crazy.
[00:23:14.586 --> 00:23:20.988]  Obama has delivered $10 trillion, maybe more, maybe $11 trillion, maybe $12 trillion.
[00:23:20.988 --> 00:23:22.029]  Hard to say.
[00:23:22.029 --> 00:23:24.590]  Federal Reserve is very secret about what they do.
[00:23:24.590 --> 00:23:29.211]  But he's delivering upwards of $10 trillion to bankers.
[00:23:29.211 --> 00:23:34.413]  And if you look through all of his programs compared to that, the amount of spending that actually would help anybody in terms of
[00:23:34.853 --> 00:23:39.555]  Food stamps, unemployment benefits, infrastructure building to create some jobs.
[00:23:39.555 --> 00:23:41.636]  It's maybe a third of a trillion.
[00:23:41.636 --> 00:23:44.937]  So it's about a 30 to 1 ratio.
[00:23:44.937 --> 00:23:48.399]  The bankers get 30 for every dollar that the rest of us get.
[00:23:48.399 --> 00:23:56.522]  So the bankers get the lion's share, the Wall Street characters, the derivatives merchants, and the crumbs is what falls on the floor.
[00:23:56.522 --> 00:24:00.784]  And then we, the productive middle class, we get to pay for all of this.
[00:24:01.144 --> 00:24:07.708]  And then the bankers sit around with their neocon mouthpieces talking about how bad welfare is when it's $1 out of every $30.
[00:24:07.708 --> 00:24:11.390]  $30 goes in corporate banker welfare, $1 to the people.
[00:24:11.390 --> 00:24:28.240]  The middle class fits the bill, but the media has craftily maneuvered the middle class, some of them, to believe that they're actually with Obama against the lazy people that got bad mortgages when the Treasury Secretaries Geithner and the last one Paulson admit it has nothing to do with that, and that's why they didn't use the TARP money on that.
