[00:00.000 --> 00:29.960]  From the front lines of the Information War, it's Alex Jones.
[03:28.960 --> 03:35.960]  And, you know, he's all out of the same Hollywood sewer that thinks destroying the Republic's funny.
[03:35.960 --> 03:39.960]  We don't think it's funny, Mr. Franken.
[03:39.960 --> 03:43.960]  So we're going to be going over all of that today.
[03:43.960 --> 03:53.960]  And I also have a ton of news dealing with what Trump did in Asia.
[03:53.960 --> 04:01.960]  And last night, I did a lot of preparation and did about three hours of research after the family went to bed.
[04:01.960 --> 04:09.960]  And I ended up watching all of Trump's speeches in Japan, in South Korea, in Vietnam and other areas.
[04:09.960 --> 04:16.960]  I watched like nine speeches last night and I thought, these are so powerful.
[04:16.960 --> 04:19.960]  I really ought to air at least one of these.
[04:19.960 --> 04:27.960]  And the one in Seoul, South Korea, like I forgot to tell the crew that, pull us up at WhiteHouse.gov version please, was extremely powerful.
[04:27.960 --> 04:31.960]  And if you understand the 15-minute speech, you understand everything.
[04:31.960 --> 04:39.960]  One of those Rosetta Stone keys that Trump's thinking, my thinking, historical thinking, common sense, Americana Renaissance,
[04:39.960 --> 04:44.960]  versus globalism, versus communism, versus socialism, versus fascism.
[04:44.960 --> 04:47.960]  So that's coming up as well.
[04:47.960 --> 04:51.960]  Tommy Robinson is going to be breaking down some incredible news.
[04:51.960 --> 04:55.960]  They're now trying to make it illegal to not send your kids to mosque.
[04:55.960 --> 04:57.960]  I'm not joking.
[04:57.960 --> 05:04.960]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[05:04.960 --> 05:09.960]  This powerful combo is perfect for supporting your thyroid and health.
[05:09.960 --> 05:16.960]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[05:16.960 --> 05:25.960]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra-pure, deep earth iodine crystals.
[05:25.960 --> 05:33.960]  That essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[05:33.960 --> 05:40.960]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[05:40.960 --> 05:46.960]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[05:46.960 --> 05:50.960]  Take control of your chemistry today with this super combo.
[05:50.960 --> 05:57.960]  Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[06:20.960 --> 06:31.960]  If you are receiving this transmission, you are the Resistance.
[06:31.960 --> 06:59.960]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[07:02.960 --> 07:11.960]  Senator Al Franken kissed and groped me without my consent and there's nothing funny about it.
[07:11.960 --> 07:23.960]  Now according to leftist ideology, coming up and not announcing that you're going to try to grab somebody and kiss them and grop them is assault and extreme rape.
[07:23.960 --> 07:29.960]  Because according to the left and modern feminism, male and females having sex even though they're married is rape.
[07:29.960 --> 07:34.960]  I'm not joking. All sex is rape and is violent if it's heterosexual.
[07:34.960 --> 07:42.960]  Heterosexualism that produces children and population is bad according to the eugenics program so the general public doesn't procreate.
[07:42.960 --> 07:44.960]  You're saying, well, that doesn't make sense.
[07:44.960 --> 07:54.960]  Statistically, homosexual couples have higher degrees of abuse, family violence, suicide, you name it.
[07:54.960 --> 08:02.960]  I'm not attacking these groups, it's just a fact, higher levels of depression, higher levels of domestic violence, higher levels of suicide.
[08:02.960 --> 08:04.960]  But it doesn't matter.
[08:04.960 --> 08:07.960]  Heterosexualism is evil.
[08:07.960 --> 08:11.960]  Normal courtship, asking a woman out, is harassment.
[08:11.960 --> 08:16.960]  Even if you don't work with her, it just doesn't matter, period, it's bad.
[08:16.960 --> 08:27.960]  So by extension, Kevin Spacey grabbing other members of the cast genitals, well, oh, that's just the same as asking a girl out, according to Hollywood.
[08:27.960 --> 08:42.960]  And so Al Franken now, in new sex accusations, quote, he kissed and groped me and then there's a photo of the very trip that it's being talked about of him doing it.
[08:42.960 --> 08:50.960]  With a reporter that is asleep on the flight over, making his jokes.
[08:50.960 --> 08:58.960]  In December 2006, I embarked on my ninth USO tour to entertain our trips, my eighth of Middle East since the 9-11 attacks.
[08:58.960 --> 09:03.960]  My father served in Vietnam and my then boyfriend and now husband, Chris, is a pilot in the Air Force.
[09:03.960 --> 09:12.960]  So bringing a little piece of home to service members stationed far away from their families was both my passion and my privilege.
[09:12.960 --> 09:22.960]  Also on the trip, there were country music artists, and it goes over Daryl Worley, Mark Wills, Kenny Thomas, and some cheerleaders from the Dallas Cowboys.
[09:22.960 --> 09:26.960]  The headliner was comedian and now Senator Al Franken.
[09:26.960 --> 09:42.960]  Franken had written some skits for the show and brought props and costumes to go along with them, like many USO shows before and since the skits were full of sexual innuendo geared towards young male audience.
[09:42.960 --> 09:47.960]  As a TV host and sports broadcaster, we go to infowars.com and bunch it up there.
[09:47.960 --> 10:01.960]  As a TV host and sports broadcaster, as well as a model familiar to the audience from the covers of FHM Maxman Playboy, I was only expecting to MC and introduce the acts.
[10:01.960 --> 10:08.960]  But Franken said he had a part for me that he thought would be funny and I agreed to play along.
[10:08.960 --> 10:25.960]  When I saw the script, Franken had written a moment when the character comes at me for a kiss. I suspected what he was after, but I figured I would turn my head and at the last minute put my hand on my mouth to get more laughs from the crowd.
[10:25.960 --> 10:34.960]  On the day of the show, Franken and I were alone backstage going over our lines. One last time he said to me, we need to rehearse the kiss. I laughed and ignored him.
[10:34.960 --> 10:45.960]  Then he said it again. I said something like relax Al, this is an SNL. We don't need to rehearse the kiss. He continued to insist that I was beginning to get uncomfortable.
[10:45.960 --> 10:52.960]  He repeated that actors really need to rehearse everything. This is just like Weinstein and that we must practice the kiss.
[10:52.960 --> 11:09.960]  I said okay, so he would stop badgering me. We did the line leading up to the kiss and then he came at me, put his hand down the back of my hand, mashed his lips against mine and aggressively stuck his tongue in my mouth.
[11:09.960 --> 11:15.960]  Well, at least you didn't bite your lip to keep it from resisting like Bill Clinton would do and then start choking you.
[11:15.960 --> 11:24.960]  But again, he is a Democrat so I guess it's okay. I immediately pushed him away with both my hands against my chest and told him they ever did that to me again.
[11:24.960 --> 11:34.960]  I wouldn't be so nice the next time. I walked away. All I could think about was getting to a bathroom as fast as possible to rinse the taste of him out of my mouth.
[11:34.960 --> 11:44.960]  I felt disgusted and I felt violated. Not long after I performed the skit. It was written carefully turning my head so he couldn't kiss me on the lips.
[11:44.960 --> 11:53.960]  No one saw what happened backstage. I didn't tell the sergeant major of the Army who was the sponsor of the tour. I didn't tell the USO rep what happened.
[11:53.960 --> 12:05.960]  At the time I didn't want to cause trouble. We're in the middle of a war zone. It was the first show of our holiday tour. I was professional and I could take care of myself.
[12:05.960 --> 12:15.960]  I told a few others on the tour what Franken had done and they knew how I felt about it. I tried to let it go but I was angry.
[12:15.960 --> 12:29.960]  Other than our dialogue on stage, I never had a voluntary conversation with Al Franken again. I avoided him as much as possible and I made sure I never was alone with him again for the rest of the tour.
[12:29.960 --> 12:52.960]  Franken repaid me with petty insults including drawing devil horns on at least one of the headshots I was autographing for the troops but he didn't stop there. The tour ended and on Christmas Eve we began a 36 hour trip home to LA after two weeks of grueling, traveling and performing.
[12:52.960 --> 13:03.960]  I was exhausted when our C-17 cargo plane took off from Afghanistan. I immediately fell asleep even though I was still wearing my flak vest and Kevlar helmet.
[13:03.960 --> 13:13.960]  It wasn't until I was back in the US looking through the CD of photos we were given by the photographer that I saw this one. It's Al Franken simulating grabbing her breast.
[13:13.960 --> 13:24.960]  In fact, I actually think he is grabbing them. One of the hands isn't touching, the other appears to be. I couldn't believe it. He groped me without my consent while I was asleep. I felt violated all over again, embarrassed, belittled, humiliated.
[13:24.960 --> 13:35.960]  How dare anyone grab my breast like this and think it's funny. And you can see one of the hands is grabbing her breast. I dare you to see it. The other one looks like he's touching her.
[13:35.960 --> 13:45.960]  I told my husband everything that happened and showed him the picture. I wanted to shout my story to the world with a megaphone to anyone who would listen.
[13:45.960 --> 13:53.960]  But even as angry as I was, I was worried about the potential backlash and damage the public might have on my career as a broadcaster.
[13:53.960 --> 14:00.960]  But that was then, this is now. I'm no longer afraid. And she goes on, we need to get her on the show.
[14:00.960 --> 14:11.960]  Today, I am the news anchor of McErdle in the morning on K ABC. I'm pronouncing her name right in Los Angeles.
[14:11.960 --> 14:16.960]  My colleagues are some of the most supportive people I've ever worked with in my career, like everyone in the media.
[14:16.960 --> 14:24.960]  We've been reporting on Harvey Weinstein's sexual misconduct allegations since they broke and the flood of similar stories that have come out.
[14:24.960 --> 14:42.960]  And then she just goes into why she's done it and what a hypocrite Franken is and how she heard about what Weinstein did and how he basically did the exact same thing to her.
[14:42.960 --> 14:57.960]  But the bigger issue here is this. Al Franken is the one pushing all of the conservatives are evil and heterosexuals are bad and Christians are bad and Judge Roy Moore and all the rest of this stuff.
[14:57.960 --> 15:04.960]  And Hollywood needs to police everybody and they're the moral high ground when he's some washed up loser actor comedian.
[15:04.960 --> 15:18.960]  And he came out in the news just this week and called for conservative media to be banned online on social media.
[15:18.960 --> 15:28.960]  We can put the headline on screen. He came out Al Franken and said we want to censor conservative media on social media.
[15:28.960 --> 15:34.960]  That was on the heels of hearings just previous to that.
[15:34.960 --> 15:42.960]  Last week were they called specifically for him for to be censored and Twitter, Facebook and others YouTube admitted they were doing it.
[15:42.960 --> 15:57.960]  I mean it's incredible. These people are the biggest hypocrites out there and they're the ones pushing regular courtship being assault but then covering up for all the real assaults.
[15:57.960 --> 16:08.960]  Hello Mr. Anderson. The NSA has noticed how much time you spend on conservative news sites. We have no choice but to consider you a domestic terrorist.
[16:08.960 --> 16:15.960]  Tired of your internet activity being monitored by Big Brother? Get virtualshield.com. The world's easiest to use virtual private network.
[16:15.960 --> 16:23.960]  Browse the web anonymously leaving pesky advertisers and spies in the dust. Get started today at virtualshield.com. Take advantage of our free 30 day trial.
[16:23.960 --> 16:37.960]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[16:37.960 --> 16:44.960]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[16:44.960 --> 16:56.960]  Holistic treatments may be eligible for sharing. See guidelines. Discount programs available for dental, vision and pharmacy. Go to libertyoncall.org. That's libertyoncall.org.
[17:14.960 --> 17:26.960]  Get your very own concealable rifle threat armor today at kdarmor.com and for a limited time get all plates at wholesale pricing only at catiarmor.com.
[17:26.960 --> 17:37.960]  Hunters, anglers, campers and survivalists get back to nature. Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at slingbow.com.
[17:37.960 --> 17:48.960]  Slingbow products are compact and models start from just $17.98. They're perfect for your bug out bag or storing in your vehicle. Give yourself and your loved ones the excitement and tradition of slingbow.
[17:48.960 --> 17:58.960]  A new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill only at slingbow.com.
[17:58.960 --> 18:07.960]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor? That's right.
[18:07.960 --> 18:19.960]  Now's the time to build your own food storage with Harvest Rights Freeze Dryers. Go to infoorstore.com to learn more and check out this innovative and smart technology that's easy to use.
[18:19.960 --> 18:28.960]  And let me tell you something. It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals. Woo, that's what I'm talking about.
[18:28.960 --> 18:37.960]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[18:37.960 --> 18:46.960]  Harvest Rights Freeze Dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:46.960 --> 18:53.960]  Now that's what I call the miracle of food preservation. Harvest Rights is truly the world's best, most affordable freeze dryer.
[18:53.960 --> 19:17.960]  So what are you waiting for? Check it out right now at infoorstore.com.
[19:23.960 --> 19:47.960]  For more information on Harvest Rights, go to infoorstore.com.
[19:47.960 --> 20:00.960]  Notice the difference with our super blue fluoride free products. Refresh your breath and invigorate your oral health routine at infoorstore.com.
[20:00.960 --> 20:20.960]  You're listening to the Alex Jones Show.
[20:20.960 --> 20:36.960]  This is a live from Austin, Texas, broadcasting worldwide. It's Alex Jones.
[20:36.960 --> 20:50.960]  A couple days ago, Roger Stone said get ready to learn about Senator Al Franken grabbing a woman and forcing his tongue down her throat.
[20:50.960 --> 20:54.960]  He told me, sit on the story. He's going to be joining us coming up the next hour to give us more details of it.
[20:54.960 --> 21:14.960]  He's going to be joining us coming up the next hour to give us more details of it.
[21:14.960 --> 21:34.960]  He's going to be joining us coming up the next hour to give us more details of it.
[21:34.960 --> 21:54.960]  He's going to be joining us coming up the next hour to give us more details of it.
[21:54.960 --> 22:05.960]  He needs to step down now according to his yardstick because if a woman accuses you, you're guilty according to the left yardstick.
[22:05.960 --> 22:16.960]  Well, buddy, we've got a photo of you and clearly one of the hands is on her breath. You can see it's touching it.
[22:16.960 --> 22:30.960]  The other hand, it looks like maybe touching, but she says you groped her again and you're on camera doing it and everybody's clearly asleep and you're creeping around in an airplane.
[22:30.960 --> 22:38.960]  Could you imagine if you're walking back to use the bathroom on an airplane and overseas flight and there's an attractive woman and you just pause and take a photo like you're grabbing her breath.
[22:38.960 --> 22:50.960]  That's pervert behavior that is degrading somebody, that is robbing their personal space, that is sexualizing them.
[22:50.960 --> 22:55.960]  It's like a form of revenge porn, basically.
[22:55.960 --> 23:02.960]  And look, Al Franken was known to be deranged in Hollywood. He was known to be deranged as a comedian.
[23:02.960 --> 23:08.960]  He's a deranged anti-gun, anti-God, anti-family, sack of garbage.
[23:08.960 --> 23:12.960]  And he's been calling for yours truly to be censored for the Drudge Report to be censored.
[23:12.960 --> 23:16.960]  He said it's Senate hearings this week on Monday.
[23:16.960 --> 23:26.960]  Anybody that's been implicated in connection to Russia, i.e. DrudgeReport.com, InfoWars.com, needs to be banned from social media.
[23:26.960 --> 23:31.960]  And they've been calling for that by name in the committee hearings.
[23:31.960 --> 23:46.960]  So this guy wants to shut up the First Amendment. He wants to triple Red Scare, call me some type of Russian agent with no evidence, with zero evidence.
[23:46.960 --> 23:51.960]  He's got the hoodspot to do that, the bravada, the arrogance.
[23:51.960 --> 23:59.960]  And then he also, he's been in the news, that Judge Roy Moore should resign. Al Franken was in the news last week.
[23:59.960 --> 24:06.960]  We don't have a photo of Judge Roy Moore grabbing a woman's breast and smiling like a pervert, like a rapist.
[24:06.960 --> 24:12.960]  Now, we're now learning that a bunch of the women are fake. We're now learning that Judge Roy Moore didn't get thrown out of the mall.
[24:12.960 --> 24:20.960]  But I'm still here to tell you, I don't like it. I think there's something there. I think it's exaggerated. The Democrats jumped on it.
[24:20.960 --> 24:25.960]  It's an old Southern thing. I was just talking to some ladies last night, high-powered lawyers and people.
[24:25.960 --> 24:33.960]  They're like, well, you're not supposed to say it, but now, Alabama, 35 years ago, families would want their 17, 18-year-old daughter to date the 35-year-old rich guy.
[24:33.960 --> 24:40.960]  It wasn't like a ranged marriage in the Middle East. That's really bad, but it's like a couple steps above it.
[24:40.960 --> 24:44.960]  And I think it's creepy. I mean, I don't like it. I've got daughters.
[24:44.960 --> 24:50.960]  And if somebody came to the door, a 35-year-old man, when they were 15 years old, said,
[24:50.960 --> 24:58.960]  your daughter sure is a sweet young thing. I'd like to take her out. I'd say, listen, buddy, get off my porch and stay away from my daughter.
[24:58.960 --> 25:09.960]  And if I caught the person again at, say, a hamburger place or something when my teenage daughter was there, I'd say, listen, buddy,
[25:09.960 --> 25:15.960]  stop trying to rob the Crater. You don't get your ass dumped. That's word for word, what I'd say. But here's the difference.
[25:15.960 --> 25:22.960]  The thinking in the old South is, this has been in the news, by the way, is, well, what if your daughter ends up with a thug or a criminal,
[25:22.960 --> 25:30.960]  or, you know, some 17-year-old gets her pregnant when she's 17? The idea is, oh, shop your daughters around to the old rich guys.
[25:30.960 --> 25:38.960]  What do you think sororities are, folks? Those girls most of them aren't going to college in these systems to try to actually get degrees
[25:38.960 --> 25:43.960]  or to actually get jobs in the world. They're looking for rich husbands. And by the way, I've got three daughters.
[25:43.960 --> 25:53.960]  I don't like that model. If my daughters want to be rocket scientists or president of the U.S. or in the military, more power to them.
[25:53.960 --> 26:02.960]  Absolutely. My family's always had trailblazing women in it. But at the same time, there's an attack on femininity.
[26:02.960 --> 26:09.960]  There's an attack on the power that women have and the gravitas of that goddess energy that God's given them.
[26:09.960 --> 26:14.960]  And that's under attack. And the globalists want to control it and make women think they're the protectors
[26:14.960 --> 26:20.960]  when the liberal Hollywood globalist system is a pimp that wants to control and enslave women.
[26:20.960 --> 26:26.960]  And then it wants to be the arbiter that's in control of what is good and what's bad for women and families.
[26:26.960 --> 26:39.960]  So Judge Roy Moore has done 1% compared to what we know about Harvey Weinstein's 10,000%.
[26:39.960 --> 26:46.960]  Rape, assault, cover-ups, intimidation, payoffs, while pushing a liberal anti-family, anti-nuclear family agenda.
[26:46.960 --> 26:53.960]  So he's got the royal flush of corruption. Kevin Spacey, raping young men, raping boys, the evidence is overwhelming.
[26:53.960 --> 27:00.960]  It's all coming out. Totally protected a demon. His father, the same thing to him and his brother.
[27:00.960 --> 27:14.960]  So the abused becoming the abuser. And then you've got Roy Moore with some really backwards type, super ultra right wing arranged marriage type stuff.
[27:14.960 --> 27:19.960]  And you know what, there might be, when you start getting into that, there might be some other weird stuff going on.
[27:19.960 --> 27:30.960]  Roy Moore is innocent. But I think with him, if you're going to call for him to step down and have Republicans line up like he is the devil,
[27:30.960 --> 27:35.960]  then baby, we got devils far worse and they better be out of the U.S. Senate.
[27:35.960 --> 27:41.960]  And creepy Joe Biden, I got hours of footage. We posted a bunch of it on infowars.com yesterday.
[27:41.960 --> 27:45.960]  Creepy Joe Biden. Creepy, creepy, creepy.
[27:45.960 --> 27:57.960]  It's just all over people's kids and fathers have got to push them away and Senator Sessions, granddaughters up there and creepy Biden makes a run for and Sessions slaps his hand off.
[27:57.960 --> 28:05.960]  And it's, oh, and they'll have these little girls on the shoulder rubbing them and just keeping his hands there and then running his hands through their hair and touching their ears.
[28:05.960 --> 28:10.960]  It is sexual. It is sexual.
[28:10.960 --> 28:16.960]  Anyone could see it. If she was a full grown woman, you'd say, what in the hell is he doing?
[28:16.960 --> 28:22.960]  Is that his wife on TV running his fingers through that other woman's hair or squeezing their shoulders?
[28:22.960 --> 28:28.960]  And in some shots, he gets behind me until he's rubbing their butt. They start looking around like, what are you doing?
[28:28.960 --> 28:35.960]  What is creeping? We got Harvey Weinstein on C-span. But his name's Joe Biden.
[28:35.960 --> 28:41.960]  But where is it in the news? See, the media wants you to go, oh, look, Christians, conservatives, they're all perverts.
[28:41.960 --> 28:45.960]  And forget all the pedophiles in Hollywood, all the massive evidence, all of it.
[28:45.960 --> 28:50.960]  And make it about Judge Roy Moore and then make a bunch of stuff about him that isn't true.
[28:50.960 --> 29:16.960]  That's what I'm saying. A lot of it isn't true. A lot of us just prove it. We'll be back.
[29:16.960 --> 29:23.960]  Get your new manna today. Call 888-597-0775, 888-597-0775.
[29:23.960 --> 29:47.960]  You can find discounts available at powerprepper.com, powerprepper.com.
[29:54.960 --> 30:09.960]  America is an information-based civil war. That's why now, more than ever, we've got to hit the streets of America and let these globalists scum know we're not backing down from their bullying.
[30:09.960 --> 30:15.960]  We're only intensifying our operations in the face of their wannabe dictatorship.
[30:15.960 --> 30:23.960]  Being a conservative, a nationalist, a libertarian, or simply a free speech advocate is truly the counterculture.
[30:23.960 --> 30:31.960]  The real punk rock is being a patriot, who's pro-America, pro-capitalism, and pro-freedom, who at the same time is tolerant.
[30:31.960 --> 30:39.960]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism. They are the anti-liberalists.
[30:39.960 --> 30:52.960]  To defend free speech, meet like-minded friends, and promote freedom worldwide. We've got more than 60 original designs of high quality t-shirts for men and women, as well as more Patriot Apparel at infowarstore.com.
[30:52.960 --> 30:57.960]  Be part of the Second American Revolution at infowarstore.com.
[30:57.960 --> 31:06.960]  I want to plow into all of this, that I'm going to spend a few minutes here first, just encouraging listeners to understand that
[31:06.960 --> 31:17.960]  when you buy t-shirts, or water filtration systems, or books, or videos, or other material from infowarstore.com, you are funding the revolution.
[31:17.960 --> 31:23.960]  I mean, I cannot say it any clearer. And so it is essential that you purchase the products at infowarstore.com.
[31:23.960 --> 31:30.960]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine.
[31:30.960 --> 31:38.960]  You cannot beat that for children and adults. We've got the best mouthwash, designed by Dr. Jones, that's my dad, with colloidal silver and iodine as well.
[31:38.960 --> 31:50.960]  Infowarslife.com, or AAA-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[31:50.960 --> 32:00.960]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[32:20.960 --> 32:28.960]  Think about what it'll do for you and your family. It is amazing. We've also been sold out for three months on biome defense, super high quality, probiotic.
[32:28.960 --> 32:36.960]  It's 25% off, out of the gates, back in stock, but for a very limited time. So you get the highest quality, the very cleanest stuff out there.
[32:36.960 --> 32:40.960]  We're really, really proud of it. DNA Force and biome defense, probiotic.
[32:40.960 --> 32:46.960]  Now back in stock, infowarslife.com, and when you buy products from globalists, it's an act of trading with the enemy.
[32:46.960 --> 32:56.960]  It's an act of war. It is an act of standing up when you spread the links, the articles, and buy products from us, and then we commit to rampage against the enemy totally.
[33:16.960 --> 33:28.960]  If you are receiving this transmission, you are the resistance.
[33:46.960 --> 34:13.960]  I tell you, Al Franken is in a lot of trouble. He's a big fat hypocrite. He demonizes families. He demonizes conservatives.
[34:13.960 --> 34:24.960]  He's gone after Judge Roy Moore. There's a lot more evidence that he assaulted a woman than there is that Roy Moore assaulted teenage girls.
[34:24.960 --> 34:31.960]  I'm not defending Roy Moore. I think it's a weird practice in archaic to try to date 16, 17 year old women.
[34:31.960 --> 34:43.960]  I understand archaic practice is done so that you can control who your daughter ends up being with by the time that they become full blown women.
[34:43.960 --> 34:53.960]  But nevertheless, it's got a real crepe factory factor for me, especially going on still 35 years ago.
[34:53.960 --> 35:04.960]  That said, a bunch of what they say about Moore has been disproven, that he was kicked out of the mall, never happened, made up, the mall manager and owner says, just not true.
[35:04.960 --> 35:15.960]  A bunch of the stories, it turns out, aren't true. Democratic party operatives, they're demanding evidence. People aren't presenting and women are scrubbing their websites and basically backing down.
[35:15.960 --> 35:24.960]  But some of it could be true because this stuff is so pervasive in the power structure and in people that want to be in power and people that run for office.
[35:24.960 --> 35:33.960]  A large minority of people that run for office are predators and they're seeking after power. They're not seeking after justice.
[35:33.960 --> 35:45.960]  And so they manifest their lawlessness once they believe they're in the power structure and believe that they are above the law.
[35:45.960 --> 35:51.960]  There's a long 20 minute interview with Leigh Ann Tweedon.
[35:51.960 --> 36:01.960]  And again, it isn't just that he came on to her once and tried to kiss her. He grabbed her and forced it.
[36:01.960 --> 36:11.960]  And then he was mean to her and then he called her names and harassed her for weeks and weeks on the USO tour for the troops.
[36:11.960 --> 36:23.960]  And then he took a photo of her asleep on the C-130, flying back on the 30 plus hour flight, grabbing her breast.
[36:23.960 --> 36:35.960]  Roper Al Franken, lecture conservatives on respecting women. Got another male feminist exposed, Paul Joseph Watson, infowars.com.
[36:35.960 --> 36:42.960]  Now, I'm not going to play the whole 22 minute clip. It's up on infowars.com. It's on drudgerport.com.
[36:42.960 --> 36:51.960]  But Fox has a nice boil down plus some video and I think she comes off very, very, very, very credibly.
[36:51.960 --> 36:59.960]  Now, let's be clear. There are villains that are men. There are heroes that are men. There are regular guys. There are bad guys.
[36:59.960 --> 37:04.960]  There are hero women and just regular women and then very predatory women.
[37:04.960 --> 37:12.960]  There are women that throw themselves at you in the workplace. There are women that then use that power.
[37:12.960 --> 37:21.960]  We've seen a bunch of cases of this with the lacrosse team and the black topless dancer that made it all up.
[37:21.960 --> 37:29.960]  And we've seen the other cases of women that were caught telling professors, you better keep having sex with me or I'm going to say, you rape me.
[37:29.960 --> 37:35.960]  And even after the cops basically, you know, in a famous case caught the woman doing that, she said, fine, I'm withdrawing my criminal complaint.
[37:35.960 --> 37:44.960]  She just went out to the university and just made it up because that's what you're supposed to do to be a celebrity now.
[37:44.960 --> 37:54.960]  But I'm not belittling sexual assaults on women because I know it goes on and it's wrong.
[37:54.960 --> 38:02.960]  And I've had people close to me and my family, one of them when they were in college.
[38:02.960 --> 38:08.960]  There was one part of the building that was men, the other part was women. All of a sudden the woman wakes up, there's two guys, hold her down, rape her.
[38:08.960 --> 38:12.960]  This stuff goes on, ladies and gentlemen, it's horrible, it's suffocating, it's evil.
[38:12.960 --> 38:20.960]  But again, you never hear about with men, do you? 80% of it roughly is estimated by experts in Hollywood to be men being assaulted.
[38:20.960 --> 38:26.960]  And why? Because men will stay quiet about it because you think it's embarrassing to be a woman and be raped?
[38:26.960 --> 38:31.960]  How about you're a man and you get raped?
