[00:00.000 --> 00:14.000]  Waging War on Corruption, it's Alex Jones
[09:08.000 --> 09:14.000]  That's as pertinent as it was two weeks ago or two months ago or a hundred years ago it doesn't matter it's the same thing
[09:14.000 --> 09:25.000]  Comey says he has a memo where Trump was trying to obstruct justice or at least approaching it and then he's in a testimony months later saying no one ever tried to influence him
[09:25.000 --> 09:36.000]  And that is totally and completely pertinent and for a day and a half I saw absolutely no coverage of this I couldn't believe it
[09:36.000 --> 09:41.000]  Tit Daniels article breaking Comey caught committing perjury to Congress
[09:41.000 --> 09:48.000]  Comey's May 3rd Senate testimony contradicts reported February memo that makes total sense doesn't it
[09:48.000 --> 09:57.000]  And a week later on May 3rd he contradicts in live testimony what a supposed memo says that is pure 101 two plus two equals journalism
[09:57.000 --> 10:09.000]  So I'm going to hit this first because it feeds into so many angles how the mainstream media is deceptive how they think you're so stupid how they're debunking articles are so deceptive
[10:09.000 --> 10:17.000]  They're in the news simultaneously trying to drive down markets saying those of you that supported Trump his annex for the reason the stock market is down
[10:17.000 --> 10:24.000]  No it was up three trillion plus dollars because of exuberance and the talk of tax cuts and the belief that America was back to be in business
[10:24.000 --> 10:31.000]  The globalists are the ones trying to bring Trump down that are killing the exuberance killing the confidence and driving the market down
[10:31.000 --> 10:37.000]  But if you read the news Trump is causing the stock market to go down in fact that was the headline from CNN a few days ago
[10:37.000 --> 10:42.000]  It was pretty much put out by hundreds of publications I saw it everywhere
[10:42.000 --> 10:46.000]  Will people finally abandon Trump because the market's going down
[10:46.000 --> 10:52.000]  Will Trump causing the market to go down finally get people to get wise to him
[10:52.000 --> 10:58.000]  It's like if you have a boat keeping you from drowning out in the middle of the Atlantic Ocean and somebody blows a hole in the bottom
[10:58.000 --> 11:04.000]  And they say ah look your boat's flooding your boat's bad no you're bad for blowing the hole in the bottom of it
[11:04.000 --> 11:08.000]  But this is the type of crazy deception so here's a few of the articles
[11:08.000 --> 11:15.000]  Will Trump cheer for Yellen if Fed raises rates and it goes on to say they're planning to raise rates to try to stop the Trump agenda
[11:15.000 --> 11:19.000]  Because if you can hurt the market well that'll hurt Trump right
[11:19.000 --> 11:25.000]  We've got all these different Brit leaders pointing out how the EU is saying we're going to use economic warfare to destroy the UK
[11:25.000 --> 11:28.000]  To keep them inside the unelected EU
[11:28.000 --> 11:41.000]  Again this is economic warfare and so now it's the same thing as the unelected EU tries to force England back into the Euro
[11:41.000 --> 11:47.000]  And the reason I raise that is it ties into this latest article that's out today
[11:47.000 --> 11:50.000]  Where they're involved in economic terrorism against this country
[11:50.000 --> 11:54.000]  The globalists the very same multinational banks they're trying to kill the markets
[11:54.000 --> 12:01.000]  They're trying to kill investment they're trying to kill initiatives to get small business loans up by the Federal Reserve through local banks
[12:01.000 --> 12:07.000]  They're cheering how the markets are down because Trump's in trouble and then blaming him
[12:07.000 --> 12:14.000]  When it was exuberance and belief in America and Trump that got the market up say what you want that's a fact
[12:14.000 --> 12:20.000]  But that's how these losers grab victory from the jaws of defeat
[12:20.000 --> 12:26.000]  They don't give up they say the elections fake the exuberance is fake
[12:26.000 --> 12:31.000]  Info wars is fake on and on and on
[12:31.000 --> 12:35.000]  It's incredible I've come to the realization that most newspapers do retractions every day
[12:35.000 --> 12:40.000]  I've done three in 22 years and they use the few retractions we've done as if we admit we're fake news
[12:40.000 --> 12:47.000]  Because they're the fake news that's what these diabolical people do is they prey on you like you're stupid
[12:47.000 --> 12:49.000]  Look at these headlines
[12:49.000 --> 12:57.000]  How a White House walloped by scandal may change the odds for Wall Street and your retirement
[12:57.000 --> 13:02.000]  News out of Washington seem to have a direct impact on Wall Street this way
[13:02.000 --> 13:11.000]  On Wednesday the Dow Jones industrial average fell 373 points the biggest single drop of the year and the worst day since September
[13:11.000 --> 13:15.000]  All the NASDAQ had its biggest drop since June
[13:15.000 --> 13:25.000]  The steep drop occurred the day after the FBI director Robert Mueller, former director was appointed special counsel to investigate possible connections between Trump's campaign and Rothschilder in the 2016 election
[13:25.000 --> 13:33.000]  With some investors getting nervous it raises the question whether Wall Street is in for more volatility if more turmoil engulfs the White House
[13:33.000 --> 13:41.000]  So they're pushing this whole agenda and pushing the market down and trying to spook the market everywhere
[13:41.000 --> 13:48.000]  They were always cheerleading for Obama saying the market is going to stay up forever but as soon as Trump got in oh storm clouds is going to go down
[13:48.000 --> 14:00.000]  Now enter the Daily Beast, true bird cage liner, true failed yellow journalism, corporate prostitute disinfo, fake news, politics along
[14:00.000 --> 14:09.000]  The folks that tell you Hillary was going to win by 15 points, the people that helped share all their intel with Hillary and CNN and all the fake information
[14:09.000 --> 14:15.000]  Just remember all the things they've been caught lying about that they hope you forget about while they point at real media and call fake news
[14:15.000 --> 14:24.000]  Stock surge as trading floors watched breaking info wars video it was two weeks old and wrong
[14:24.000 --> 14:29.000]  You read the article carefully none of that is true except for it being two weeks old
[14:29.000 --> 14:35.000]  But it was new because no one had pointed out that Comey said no one's tried to influence the investigation
[14:35.000 --> 14:41.000]  That was back at the time they were saying Trump was in the news that's pretty important nobody covered that you'd think that was big
[14:41.000 --> 14:48.000]  And it was important two weeks old because the memo had just reportedly come out they didn't really release it
[14:48.000 --> 14:52.000]  They just said oh we have a memo it's magical but I have to show it to you
[14:52.000 --> 15:00.000]  That was driving down markets because the memo said the president reportedly tried to influence the FBI director then at the time James Comey
[15:00.000 --> 15:06.000]  So of course something from two weeks ago is pertinent when two weeks later they've got this supposed memo
[15:06.000 --> 15:11.000]  And we've got the director two weeks before saying that no one tried to influence it
[15:11.000 --> 15:19.000]  But they just spin it and say oh it's two weeks old so it's deceptive and then they admit though that it raised the stock market
[15:19.000 --> 15:26.000]  Up out of negative territory for a few hours but don't worry the Daily Beast and others called and everybody let them know it's fake
[15:26.000 --> 15:30.000]  So we got it down again
[15:30.000 --> 15:33.000]  A lot of people say I don't only stock I don't care I don't know any stock either
[15:33.000 --> 15:42.000]  But thousands of companies use the stock to hire and to build and for portfolios and for profit and that's what keeps our economy going
[15:42.000 --> 15:45.000]  Is America's vibrant stock market
[15:45.000 --> 15:53.000]  While it was on the Gresham side of the family back in England almost close to 500 years ago that my ancestor invented the stock exchange
[15:53.000 --> 15:57.000]  They kind of invented the modern world didn't it? We'll be right back stay with us
[16:24.000 --> 16:32.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath
[16:32.000 --> 16:40.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more
[16:40.000 --> 16:44.000]  Due to requests from lifters who found that spearmint was a little bit too strong for some of their children
[16:44.000 --> 16:48.000]  We have created the new bubble gum flavored super blue that is spearmint free
[16:48.000 --> 16:53.000]  Learn more about the new bubble gum flavored super blue toothpaste and more at infowarslife.com
[16:53.000 --> 16:57.000]  And support the info war while you support healthy gums and teeth
[16:57.000 --> 17:06.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war
[17:06.000 --> 17:07.000]  A 360 win
[17:07.000 --> 17:13.000]  Number one when you choose auto ship before checkout we give you 10% off on your order at infowarshore.com
[17:13.000 --> 17:21.000]  Number two you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers
[17:21.000 --> 17:26.000]  Number three we're giving you free shipping on all orders above $50
[17:26.000 --> 17:32.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month
[17:32.000 --> 17:40.000]  Just go to infowarshore.com select your favorite product or products click on auto ship and choose how often you want us to send you another order
[17:40.000 --> 17:47.000]  As you know I coined the term 360 win and with the new auto ship feature at infowarslife.com this is a sure win
[17:47.000 --> 17:53.000]  10% off on auto ship win win win at infowarslife.com free shipping on orders above $50
[17:53.000 --> 17:58.000]  And all out of stock items are never out of stock when you sign up for auto ship
[17:58.000 --> 18:03.000]  Dr. Group you developed living defense for us it took you over a year to do it why is this so good
[18:03.000 --> 18:13.000]  Because people are actually waking up to the problem that pretty much scares me the most I mean I try to make sure that I don't put toxins from food and water and beverages in my system
[18:13.000 --> 18:23.000]  But right now we're dealing with massive parasites which is anything that's harmful to your body that lives off a host mechanism right now with all the refugees
[18:23.000 --> 18:29.000]  Spreading disease around we have biological warfare going on everywhere these are all parasites
[18:29.000 --> 18:36.000]  Tell us about all the stuff I said there's so many things that are in it you have the name in there you have the organic clove bud the organic wormwood
[18:36.000 --> 18:39.000]  I recommend doing a parasite cleanse at least twice a year
[18:39.000 --> 18:45.000]  Alright well I'm glad we've got some back in because I'm going back on it today it just came back in yesterday living defense infowarslife.com
[18:45.000 --> 18:52.000]  And folks you can't lose full of stuff that's great for your body period and you support the broadcast infowarslife.com
[18:52.000 --> 18:57.000]  Thank you Dr. Group from the Global Healing Center thank you so much for all your work sir on this great product
[18:57.000 --> 19:04.000]  It's not just our water we need to filter it's not just our food that needs to be cleaned it's the air we're breathing especially for our children
[19:04.000 --> 19:10.000]  The artificial particulates the chemicals is absolutely weighing down our immune systems
[19:10.000 --> 19:19.000]  The same team based right here in America that brought you the Alexa pure groundbreaking water filtration systems have now developed Alexa pure breeze
[19:19.000 --> 19:27.000]  Whether it's your home or office you owe it to yourself your co-workers your family your children through the best job you can to purify your air
[19:27.000 --> 19:35.000]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most toxic effects for themselves
[19:35.000 --> 19:37.000]  The general public doesn't
[19:37.000 --> 19:41.000]  The Alexa pure breeze will be a steal at three hundred four hundred five hundred dollars
[19:41.000 --> 19:45.000]  One of these systems can keep 800 square feet incredibly clean
[19:45.000 --> 19:52.000]  This is a system I'm personally putting in throughout my house replacing older more expensive filters that didn't do as good a job
[19:52.000 --> 20:16.000]  Find out why this system is so revolutionary today then fullwarstore.com
[20:22.000 --> 20:30.000]  Alright I got tons of other key news coming up in the next segment but I've got to cover this because it deals with how the fake mainstream corporate media deceives
[20:30.000 --> 20:40.000]  And it openly shows how they're cheerleading to drive down the stock market to kill nationalism free market non-crony capitalism
[20:40.000 --> 20:45.000]  The whole Trump style movement worldwide not just here in the United States
[20:45.000 --> 20:51.000]  You can read hundreds of major headlines globalism in crisis world government in crisis new order in crisis
[20:51.000 --> 20:56.000]  We've got to stop the nationalists why they want to get local control back in their countries
[20:56.000 --> 21:06.000]  That's how crazy this has gotten and then I sit here and I read hit pieces against yours truly that come out every few minutes
[21:06.000 --> 21:11.000]  In major publications I mean sometimes hundreds and hundreds of times a day
[21:11.000 --> 21:23.000]  In fact most days it's hundreds of times a day and then they attack me and actually give credit where credit's due that yeah it is big news
[21:23.000 --> 21:40.000]  It is giant giant giant news that Comey came out on May 3rd and said no one in the administration has tried to get me to change my testimony
[21:40.000 --> 21:45.000]  I can't influence anybody in fact can we cue that clip up thanks forgot to tell the crew
[21:45.000 --> 21:52.000]  And then we point out wow this is big no one has talked about this no one has covered this that we know of
[21:52.000 --> 21:59.000]  We posted the clip we posted the full testimony it's completely clear what they're talking about
[21:59.000 --> 22:05.000]  And then no one covers it for a day and a half until the Daily Beast puts an article out and goes
[22:05.000 --> 22:13.000]  We called notified the stock market this was fake and told them they might want to you know reconsider and because it's fake news
[22:13.000 --> 22:20.000]  You know the clips old yes and the memos old too months after I'm going to explain this to the Daily Beast very very slowly
[22:20.000 --> 22:24.000]  Because maybe they're just not elitist liars maybe they're real dumb
[22:24.000 --> 22:31.000]  If Comey did a memo from the middle of February after he met with the president
[22:31.000 --> 22:39.000]  And he didn't give that memo to the Justice Department if he believed it was obstruction then he is guilty of obstruction of justice
[22:39.000 --> 22:45.000]  Even the former Attorney General Alberto Gonzalez has gone public on that point
[22:45.000 --> 22:54.000]  But then it gets more important it gets more obvious if he's saying back in February and I know most of the audience gets this
[22:54.000 --> 23:04.000]  This is for liberals show intellectuals the Daily Beast someone talk very slowly and I don't mean this mean
[23:04.000 --> 23:16.000]  But it's not old if it contradicts an older statement the memos not old is it no because it just got broken
[23:16.000 --> 23:22.000]  And then there's a later video where the FBI director contradicts himself under oath
[23:22.000 --> 23:33.000]  So May 3rd 2017 is later than was it like February 9th meeting with the White House with Comey and Trump
[23:33.000 --> 23:40.000]  February is earlier than May in 2017 that's not a conspiracy theory
[23:40.000 --> 23:47.000]  And I'm not being sarcastic because I'm going to read this Daily Beast article not because they're that important
[23:47.000 --> 23:52.000]  But because it shows the type of people that read this and believe this
[23:52.000 --> 23:55.000]  Okay
[23:55.000 --> 24:05.000]  Because again Comey saying months after he does the memo that no one ever tried to influence him shows he's either perjuring himself
[24:05.000 --> 24:10.000]  Or the memos a lie either way he's perjured himself
[24:10.000 --> 24:15.000]  So let's go ahead now and play Comey here it is
[24:15.000 --> 24:21.000]  So if the attorney general or senior officials at the Department of Justice opposes a specific investigation
[24:21.000 --> 24:25.000]  Can they halt that FBI investigation?
[24:25.000 --> 24:28.000]  In theory yes
[24:28.000 --> 24:30.000]  Has it happened?
[24:30.000 --> 24:37.000]  Not in my experience because it would be a big deal to tell the FBI to stop doing something that without appropriate purpose
[24:37.000 --> 24:43.000]  I mean we're oftentimes they give us opinions that we don't see a case there and so you ought to stop investing resources in it
[24:43.000 --> 24:49.000]  But I'm talking about a situation where we were told to stop something for a political reason that would be a very big deal
[24:49.000 --> 24:52.000]  It's not happened in my experience
[24:52.000 --> 24:57.000]  Now what's crazier is they didn't say in the Daily Beast article I'm going to read this to you
[24:57.000 --> 25:04.000]  This isn't about info wars it's about you the country the stock market the future people that want to plunge that stock market
[25:04.000 --> 25:07.000]  And think you're so stupid you don't see what they're doing
[25:07.000 --> 25:12.000]  And I'm going to say it again of listeners that don't have stocks I don't either
[25:12.000 --> 25:17.000]  But it's what funds this country it's what creates the engine of free market
[25:17.000 --> 25:21.000]  And the big mega banks the big Goldman Sachs they're always going to get free Federal Reserve money
[25:21.000 --> 25:26.000]  But they don't want the smaller companies getting successful stock offerings that's a fact
[25:26.000 --> 25:31.000]  The banking associations the stock market associations they've all written books on it it's well known
[25:31.000 --> 25:37.000]  And Trump's trying to get the lending back to local government and back to local businesses
[25:37.000 --> 25:44.000]  And he's trying to get the Federal Reserve to do that and he's trying to open the stock market up for the little guys again
[25:44.000 --> 25:48.000]  And not just let the big guys sit there and dominate it and control it
[25:48.000 --> 25:52.000]  So this is a war of consolidation
[25:52.000 --> 25:59.000]  And what's even crazier is they say in the Daily Beast that I also edited the clip
[25:59.000 --> 26:08.000]  So you didn't hear the congresswoman or the senator say to Comey
[26:08.000 --> 26:12.000]  Oh did the attorney general or did the deputy attorney general anybody try to stop you
[26:12.000 --> 26:16.000]  They say we took it out of context and said it was about a question about Trump
[26:16.000 --> 26:21.000]  We just played the exact clip that we played then and it's in Kid Daniels article
[26:21.000 --> 26:26.000]  You people are incredible liars you are the fake newsmasters
[26:26.000 --> 26:30.000]  If I tried to lie I couldn't lie so intensely as this
[26:30.000 --> 26:33.000]  I mean this is crazy
[26:33.000 --> 26:37.000]  And that's why I realize now as a news organization everyone's home we make mistakes
[26:37.000 --> 26:40.000]  If somebody calls us up we do a retraction we can't even do retraction
[26:40.000 --> 26:43.000]  We just have to go to lawsuits you name it and never back down
[26:43.000 --> 26:47.000]  Because they just want to run the headline that we're fake news everywhere
[26:47.000 --> 26:53.000]  When we're the real news over and over and over again you hear on this show
[26:53.000 --> 26:59.000]  Information that doesn't come out for decades many times or years or months or weeks
[26:59.000 --> 27:07.000]  And that's why they hate us because the fake news can't exist while there's real news operating or it discredits them
[27:07.000 --> 27:17.000]  But just imagine the preface of this that I'm bad because we had the good news that Comey had said earlier
[27:17.000 --> 27:19.000]  That nobody tried to influence him
[27:19.000 --> 27:24.000]  But that earlier statement came after the memo was written that's a big deal that discredits the memo
[27:24.000 --> 27:34.000]  Which nobody can see but still just some mist in the air or less than mist
[27:34.000 --> 27:41.000]  And then I'm going to read the whole article when we come back because people need to understand the methodology of deception
[27:41.000 --> 27:47.000]  Because I'm not liberal I'm not conservative I'm just Americana I just want freedom I want prosperity I want transparency
[27:47.000 --> 27:52.000]  Then I'll get into Trump's visit to Saudi Arabia is it genius or is it a sellout
[27:52.000 --> 27:56.000]  Time will tell but I'll break it down we'll place over speech
[27:56.000 --> 28:03.000]  We're going to get to a very powerful Paul Watson report that deals with the globalists trying to foment massive riots this summer
[28:03.000 --> 28:06.000]  To coincide with trying to get the president to resign
[28:06.000 --> 28:11.000]  And Paul did an article on Friday showing government documents and sources that indeed that is what they want
[28:11.000 --> 28:16.000]  They want to make him resign or crippling so bad he can't get an agenda through and plunge the economy
[28:16.000 --> 28:23.000]  But imagine stock surge is trading floors watched breaking info wars video
[28:23.000 --> 28:29.000]  It was two weeks old and wrong the only true thing there is it was two weeks old and no one had pointed it out
[28:29.000 --> 28:33.000]  It's kind of like you find out your neighbor killed somebody two weeks later and they dig the body up the backyard
[28:33.000 --> 28:36.000]  The cops say oh it's two weeks old doesn't matter no
[28:36.000 --> 28:42.000]  Again I'm explained very slowly two months before there's supposedly a memo saying Trump did try to influence him
[28:42.000 --> 28:47.000]  So if he's testifying months later that no one did try to testify
[28:47.000 --> 28:52.000]  You know best of the testimony then that's pretty important right it's bombshell it's huge
[28:52.000 --> 28:57.000]  That's why they wrote this fake story to deceive everybody God forbid the stock market go up
[28:57.000 --> 29:03.000]  Trump put out a statement saying what you are seeing is sabotage
[29:03.000 --> 29:14.000]  The fake news media is working hand in hand with Washington's corrupt bureaucracy to try to slow and block out our America first agenda
[29:14.000 --> 29:22.000]  With so many forces out to ruin us we are turning to you and our most trusted supporters at this critical moment
[29:22.000 --> 29:32.000]  On Trump's website he has set up a drain the swamp campaign asking for contributions to help in the swamp draining process
[29:32.000 --> 29:39.000]  He says we have no choice but to completely drain the swamp I have already started cleaning house
[29:39.000 --> 29:48.000]  But every day from here on out will be an uphill battle and we need to be prepared to go into the trenches to fight back
[29:48.000 --> 30:03.000]  For more reports go to infowars.com I'm Millie Weaver reporting
[30:18.000 --> 30:21.000]  This is more kinetic energy at a rate higher than any other traditional body armor
[30:21.000 --> 30:27.000]  Using one of the strongest synthetic materials ever created called ultra high molecular weight polyethylene
[30:27.000 --> 30:30.000]  Defender armor is also super compact and lightweight
[30:30.000 --> 30:36.000]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor
[30:36.000 --> 30:37.000]  It works
[30:37.000 --> 30:46.000]  Defender body armor is made right here in America and has received the highest level ballistic resistance certification from an authorized NIJ ballistic laboratory
[30:46.000 --> 30:50.000]  Defender body armor is now available through infowarsstore.com
[30:50.000 --> 30:56.000]  So you can defend yourself, your family and finance the info war against the globalist all at the same time
[30:56.000 --> 30:58.000]  A total 360 win
[31:01.000 --> 31:05.000]  Let's go to Debit in Florida Debit in Florida you're on the air
[31:05.000 --> 31:11.000]  Great hey thank you so much listen I have bought your product and I gotta say they're amazing
[31:11.000 --> 31:18.000]  Everyone was on the fence by it because I've got caveman, superman of vitality, secret swells, vitamin interfusion
[31:18.000 --> 31:20.000]  I've got the body armor
[31:20.000 --> 31:21.000]  Wow thank you
[31:21.000 --> 31:23.000]  You're the type of listener that makes it all possible
[31:23.000 --> 31:25.000]  Which unit or suitable does you like best?
[31:25.000 --> 31:29.000]  I really like the vitamin mineral fusion to be honest that's really incredible
[31:29.000 --> 31:34.000]  I drank it in the morning and I swear to you I felt incredible like I haven't felt sweet
[31:34.000 --> 31:39.000]  My morning was fantastic and I love the guys I love the info wars true
[31:39.000 --> 31:45.000]  And I just want to yeah I want to I want to take this opportunity to tell anybody out there who's on the fence
[31:45.000 --> 31:49.000]  Just buy it we'll love it I'm telling you I've never bought a bad product
[31:49.000 --> 31:54.000]  What you find in our news is the same thing you find in our products at infowarslife.com
[31:54.000 --> 31:56.000]  It's a win-win infowarslife.com
[31:58.000 --> 32:03.000]  After being sold out for months our best-selling super blue fluoride toothpaste is now back in stock at infowarsstore.com
[32:03.000 --> 32:08.000]  The first shipment of super blue sold out in one week I thought it would be a six month supply for listeners
[32:08.000 --> 32:13.000]  And since then people are beating down our doors wanting to be able to resupply their super blue
[32:13.000 --> 32:17.000]  Research across the board is clear in fact it's certified
[32:17.000 --> 32:22.000]  When bacteria infect your gums it can enter your bloodstream and even contribute to blood clots and heart attacks
[32:22.000 --> 32:29.000]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body
[32:29.000 --> 32:32.000]  Super blue fluoride free toothpaste is a groundbreaking new formula
[32:32.000 --> 32:35.000]  It's loaded with good halogen iodide some of the bad halogen fluoride
[32:35.000 --> 32:42.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath
[32:42.000 --> 32:50.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more
[32:50.000 --> 32:55.000]  Learn more about infowarslife super blue toothpaste at infowarslife.com
[32:55.000 --> 32:58.000]  And support the info war while you support healthy gums and teeth
[32:58.000 --> 33:03.000]  You're listening to the Alex Jones show
[33:28.000 --> 33:44.000]  So I'm looking at a CNBC headline right here where they basically admit that because of the Trump scandals
[33:44.000 --> 33:49.000]  And the ongoing made up Russian probe that the stock market just plunged 373 points
[33:49.000 --> 33:54.000]  And that many Democrats and others hope to plunge the stock market
[33:54.000 --> 34:02.000]  So that they can get further political control and discredit nationalism and other nationalistic leaders and free market systems
[34:02.000 --> 34:09.000]  And they've had the daily beast come out and say that oh my gosh we talked to the heads of the stock market last week
[34:09.000 --> 34:17.000]  The stock market went back up for a few hours from its fall because they read an info war story and saw a two week old video of FBI director Comey
[34:17.000 --> 34:25.000]  Saying back on May 3rd that no one in the Trump administration that no one period had tried to influence their investigation
[34:25.000 --> 34:34.000]  The reason that story was big and the reason we were pointing it out is because we have him months before again in this memo
[34:34.000 --> 34:42.000]  Supposedly saying Trump was trying to influence him and now he's come out and said he now believes Trump was trying to influence him
[34:42.000 --> 34:49.000]  And the sources say that's from CNN yesterday on Saturday
[34:49.000 --> 34:56.000]  So there you go, why is it important? Because two months after he writes a memo that's secret he says no one tries to influence him
[34:56.000 --> 35:04.000]  So he lied to Congress! So if you're fake news like MSNBC how do you respond? Let's go through it
