[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[03:38.000 --> 03:46.000]  raise the alarm, and say, look, crooks, it's over. Plus, most of the crooks and yes men in the system, they're just morons.
[03:46.000 --> 03:50.000]  Like everybody else who's been dumbed down their whole life, they're unaware of what they're doing.
[03:50.000 --> 03:55.000]  This system is destroying 99 plus percent of us, and it's going to destroy the globalists, the so-called elite.
[03:55.000 --> 04:06.000]  They're elite in that they're evil. They're blind to true humanity and think they're elite because they have no rules like cancer in the body politics.
[04:06.000 --> 04:13.000]  So I salute mothers on this Mother's Day, and what will we do without our mothers? What will we do without our fathers?
[04:13.000 --> 04:18.000]  What will we do without family? Well, for many communities, there is no family left. The gang is the family.
[04:18.000 --> 04:29.000]  They want the government to be the family. The government gang is Big Sis, Janet, Napolitano, the former star of Saturday Night Live.
[04:29.000 --> 04:38.000]  What was her name then? It was Pat. She would like you to believe that it's a federal family, as he said or she said.
[04:38.000 --> 04:50.000]  So I salute mothers in femininity and the beauty of women, and I don't just mean physical beauty, the beauty of their love and their passion for life.
[04:50.000 --> 05:10.000]  Thank you, mothers everywhere, grandmothers, great-grandmothers. Thank you so much. I thank God for you. We'll be right back with Ron Paul and more.
[05:20.000 --> 05:31.000]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[05:31.000 --> 05:40.000]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[05:40.000 --> 05:53.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple. Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[05:53.000 --> 06:21.000]  That's www.silverlungs.com.
[06:21.000 --> 06:31.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:31.000 --> 06:38.000]  Thank you for joining us on this special Mother's Day edition here on the 13th of May, 2012.
[06:38.000 --> 06:41.000]  We're going to be here for the next two hours coming up.
[06:41.000 --> 07:03.000]  This is Congressman Ron Paul. And then Rand Paul, stay with us for that breakdown. But first, I wanted to air an excerpt of InfoWars Nightly News last week when news broke that the CIA had busted the CIA in the, hahaha, underwear bomber part two.
[07:03.000 --> 07:08.000]  So here is part of that report. See the full video at infowars.com.
[07:08.000 --> 07:22.000]  Thank you for joining us. Tonight we have more confirmation on top of the mountain of evidence that most terror worldwide in the last 30 years or so has been provocative or staged.
[07:22.000 --> 07:26.000]  Now, you know the Gulf of Tonkin was staged to get us into Vietnam in 64. That's been declassified.
[07:26.000 --> 07:37.000]  And Operation Ajax, the U.S. and British governments used radical Muslim extremists to overthrow the government of Iran while claiming that they were actually fighting those grips.
[07:37.000 --> 07:44.000]  News is done over and over again. You know Al Qaeda and the Taliban was created by the CIA, working with the Pakistanis, the Israelis, and Brits.
[07:44.000 --> 07:53.000]  All of this is on record, but we learn it decades later. Back with the 7-7 bombings six, seven years ago, it came out on Fox News.
[07:53.000 --> 08:06.000]  Look this up. They had FBI agents that went public and reported, and I'm about to get to the new news, but I'll give you some background here, and reported on the fact that Aswat, the leader of the 7-7 bombing, was a AMI-6 asset.
[08:06.000 --> 08:14.000]  And there's our original article with a link to the Fox News video, terror expert, and it goes over the entire report.
[08:14.000 --> 08:19.000]  There's Fox News with FBI agent Loftus breaking it down. It was also the London Independent.
[08:19.000 --> 08:29.000]  Okay, continuing with this information, ladies and gentlemen, Paul Watson has the news breaking at PrisonPlanet.com and Infowars.com.
[08:29.000 --> 08:42.000]  This just happened yesterday, and we told you, underwear bomber 2, but instead of just setting up a patsy, they just say, we don't know who he is or where he is, but we found some underwear with a firecracker, so give it all your rights up, and Obama's going to save you.
[08:42.000 --> 08:53.000]  Well now, Al Qaeda bomber was a CIA informant, PrisonPlanet.com, but wait, here's the Huffington Post and the Associated Press are reporting.
[08:53.000 --> 09:03.000]  Al Qaeda bomb plot would-be bomber was CIA informant, and it just goes on from there.
[09:03.000 --> 09:07.000]  We're told naked body scanners, TSA on the streets, but what happened two crises ago?
[09:07.000 --> 09:17.000]  The Christmas Day bomber, Mutalib, we had the eyewitnesses on first. Kurt Haskell and his wife saw the U.S. government getting him on the plane without a passport.
[09:17.000 --> 09:28.000]  A month and a half later, questioned in Congress, the undersecretary of state, Mr. Kennedy admitted, an unnamed U.S. intelligence agency told us to get him a visa and get him on that aircraft without a passport.
[09:28.000 --> 09:38.000]  Boom, that was staged. 7-7, boom, commanded and run by an MI-6 operative. On record, the guys that were part of it thought they were part of a drill.
[09:38.000 --> 09:46.000]  They were anti-Muslim extremists, and they were blown up in the trains and those buses, or that bus, and the government was running a drill of the exact targets being attacked at the same time.
[09:46.000 --> 09:53.000]  That's Peter Powers. They had advisor consultancy admitting that on ITN and BBC. Look it up, and it gets worse.
[09:53.000 --> 10:04.000]  Five years ago, members of SAS assigned to MI-6 in Iraq dressed up like Wahhabis killing Shiites to get sectarian warfare going on between the two groups.
[10:04.000 --> 10:09.000]  I could keep giving you examples. These aren't theories. These aren't facts.
[10:09.000 --> 10:18.000]  So now they just say, hey, we had a threat of a deadly firecracker give all your rights up, but instead of having some drugged-up Patsy, like Mutalib,
[10:18.000 --> 10:28.000]  you know, drug rolling him out of the plane, who actually thinks he's part of LCI ADA, they just make up this new guy and say, oh my gosh, it's so sophisticated, it's so deadly, it's so evil.
[10:28.000 --> 10:34.000]  Of course, they were reporting yesterday, U.S. thinks underwear bomber built bomb with al-Qaeda in Yemen.
[10:34.000 --> 10:40.000]  Oh my gosh, U.S. sends airport security guy to other countries. Yeah, buy the naked body scanners to keep you safe.
[10:40.000 --> 10:47.000]  The new domestic police state arms race. All of this, absolute pure bull.
[10:47.000 --> 10:55.000]  We never see modern cases of where these hyped-up terror attacks weren't provocateur or purely absolutely staged.
[10:55.000 --> 11:02.000]  We know that the so-called hijackers of 9-11 were trained at U.S. military bases. That was even in AP Newsweek.
[11:02.000 --> 11:08.000]  But we're supposed to ignore all that information. They were just people taking part in a drill, just like the 7-7 Patsy.
[11:08.000 --> 11:18.000]  So here it is. AP, al-Qaeda bomb plot, would-be bomber, was CIA informant. Associated press.
[11:18.000 --> 11:27.000]  Oh, but they say it was a double agent. Oh, that's how they spin it, just like the troops have to grow the opium to fight al-Qaeda in Afghanistan.
[11:27.000 --> 11:34.000]  And they got to rape children in Abu Ghraib in front of their parents to fight al-Qaeda. Well, I mean, I'd be for al-Qaeda above raping children.
[11:34.000 --> 11:38.000]  Of course, al-Qaeda is CIA, so that would be raping children anyway, so I wouldn't join that.
[11:38.000 --> 11:48.000]  I mean, this is staged. It's a global corporate empire who needs to act like it's under attack so it can take your liberties and give itself trillions of dollars in tax money a year,
[11:48.000 --> 11:52.000]  just in the U.S. alone, three or four trillion worldwide, in the name of keeping us safe.
[11:52.000 --> 12:04.000]  You know, the Olympics with missiles around it for al-Qaeda's air force. This is a pipe dream. The globalists think you're so dumb, all their propaganda is designed for people not paying attention.
[12:04.000 --> 12:10.000]  Remember, al-Qaeda flies its flag over Libya and is exterminating blacks by the tens of thousands right now. Totally racist.
[12:10.000 --> 12:20.000]  Remember, al-Qaeda is being used to attack Syria. No fan of Assad, but compared to al-Qaeda, he's a great guy, they're blowing up police stations and being called freedom fighters.
[12:20.000 --> 12:28.000]  It's in the news that al-Qaeda is the good guy now, and we're supposed to segue to the domestic extremist, that is, people that want liberty.
[12:28.000 --> 12:32.000]  Unbelievable information unfolding in front of us.
[12:32.000 --> 12:40.000]  But wait, a final piece of news in this spectrum of information we're breaking down here that's only the tip of the iceberg.
[12:40.000 --> 12:49.000]  You see, the regular teleprompter news is some bimbo reading off a teleprompter what the globalists wrote in the central CBS broadcast center for all the major networks.
[12:49.000 --> 12:56.000]  This is one of my private PR firms in the CIA and foreign governments and others. Here, it's full spectrum analysis.
[12:56.000 --> 13:01.000]  And we're even taking mainstream news where they have to admit this stuff and laying it out to connect the dots for you.
[13:01.000 --> 13:10.000]  Here is the London Telegraph today, U.S. secretly releasing Taliban prisoners from Bagram Air Base.
[13:10.000 --> 13:18.000]  Same thing at Camp X-ray and Gitmo, same thing at Abu Ghraib in Iraq, not just in Afghanistan.
[13:18.000 --> 13:26.000]  This is what they do. They get people in these reeducation camps to find out who can be operatives to go out and pose as synthetic artificial terror.
[13:26.000 --> 13:29.000]  If you want to invade countries, you've got to create the synthetic threat.
[13:29.000 --> 13:40.000]  If you want to take liberties, you've got to create the synthetic threat to take the projection of the bad guy so you can play the part of the good guy when in truth the new world order is controlling both sides of it.
[13:40.000 --> 13:42.000]  You understand that? This is what they're doing.
[13:42.000 --> 13:50.000]  So there it is, America has secretly been releasing high level Taliban prisoners from a top security military prison as part of negotiations with insurgents.
[13:50.000 --> 13:55.000]  The only insurgents they're fighting is opium farmers that don't want to get a lower price.
[13:55.000 --> 13:58.000]  It's a bunch of tribalists in Afghanistan who've always been killing each other.
[13:58.000 --> 14:00.000]  That's why Alexander the Great couldn't beat them.
[14:00.000 --> 14:09.000]  The Romans, the Persians, the Brits, no one can beat them because they don't have a culture or society that's centralized.
[14:09.000 --> 14:12.000]  They're cavemen. It's beyond medieval.
[14:12.000 --> 14:18.000]  No one can conquer them because the guy over the next hill hates his cousin down the road.
[14:18.000 --> 14:23.000]  This is beyond Appalachian hillbillies to the power of infinity.
[14:23.000 --> 14:27.000]  So the globalists are there to get the 500 billion a year in opium.
[14:27.000 --> 14:30.000]  As we told you yesterday, this is staged at all the earmarks.
[14:30.000 --> 14:33.000]  When they came out and said, oh, can't have been lauding these in the ocean.
[14:33.000 --> 14:37.000]  Oh, who's this guy? We don't know. We found some underwear with a firecracker in them.
[14:37.000 --> 14:40.000]  Now, America fall to your knees. We have an M80.
[14:40.000 --> 14:43.000]  And the Republic just goes, take my rights. Grote my wife and daughters.
[14:43.000 --> 14:46.000]  I'm so afraid of a guy with a turban in him with an M80 in his underwear.
[14:46.000 --> 14:52.000]  And now he's CIA. And because that leaks out and now there's congressional investigation calls, what do they say?
[14:52.000 --> 14:55.000]  He was a double agent.
[14:55.000 --> 15:00.000]  Even after they said that about a swat in the 7-7 bombings, it came out he could fly in and out of the country and was being protected.
[15:00.000 --> 15:05.000]  They're not double agents. They're agents of the megabanks playing the West off against Islam.
[15:05.000 --> 15:11.000]  Every time people in Islamist countries try to build societies and civilizations which they're very capable of,
[15:11.000 --> 15:15.000]  the globalists send in a bunch of jihadis to blow the hell out of the capital.
[15:15.000 --> 15:20.000]  Okay? Okay? That's been the plan. It's been the plan since the end of World War II.
[15:20.000 --> 15:24.000]  The Brits used the plan with Lawrence and Arabia before that, 50-something years.
[15:24.000 --> 15:27.000]  Look into history. Learn about it. Get informed.
[15:27.000 --> 15:30.000]  All this propaganda is designed as if you're an idiot.
[15:30.000 --> 15:36.000]  It's designed for people halfway pan-attention. G. Marge, they protected us from another one of them radical, evil, sand people.
[15:36.000 --> 15:41.000]  Yeah, well, that's all right, because TSA is going to grope you tonight, honey, and that'll keep you safe.
[15:41.000 --> 15:42.000]  But the border's wide open.
[15:42.000 --> 15:48.000]  All right, that's it for this area of the report. Get this video and the information by Paul Watson at infoworks.com.
[15:48.000 --> 16:00.000]  Out to everybody.
[16:19.000 --> 16:22.000]  To prevent bacterial growth, there's no priming required.
[16:22.000 --> 16:28.000]  It's NSF-42 certified. Optional fluoride filters can reduce fluoride up to 95%.
[16:28.000 --> 16:31.000]  Easy to set up and use. Doesn't require electricity.
[16:31.000 --> 16:34.000]  Purify water from lake streams, ponds, and wells.
[16:34.000 --> 16:37.000]  This filter system leaves in beneficial minerals, which is key.
[16:37.000 --> 16:41.000]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[16:41.000 --> 16:44.000]  Propure is the best gravity-fed filter out there.
[16:44.000 --> 16:49.000]  It's what my family uses. Infowars.com already has the lowest price on Propure.
[16:49.000 --> 16:55.000]  But if you add the promo code WATER at checkout, you get an additional 10% off at infoworks.com.
[16:55.000 --> 17:23.000]  You can also call to order 888-253-3139.
[17:25.000 --> 17:30.000]  And it can produce an endless supply of nutrient-dense food for you and your family.
[17:30.000 --> 17:34.000]  And here's the best part. These seeds have not been genetically modified in any way.
[17:34.000 --> 17:38.000]  And you actually get enough seeds to plant a full acre crisis garden.
[17:38.000 --> 17:41.000]  So visit them today at survivalseedbank.com.
[17:41.000 --> 17:48.000]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[17:48.000 --> 17:52.000]  That's 877-327-0365.
[17:52.000 --> 17:56.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[17:56.000 --> 18:24.000]  This is Alex Jones for survivalseedbank.com.
[18:26.000 --> 18:44.000]  This is Alex Jones for survivalseedbank.
[18:44.000 --> 19:00.000]  Call 800-409-5633 or go to efoodsdirect.com for specials.
[19:00.000 --> 19:06.000]  When you're out on the road, the last place you want to be is on the road.
[19:06.000 --> 19:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[19:12.000 --> 19:20.000]  This is a place down in Tennessee where they make blue diamond gusset jeans.
[19:20.000 --> 19:29.000]  They so pride in every stitch guarantee you love the way they fit.
[19:29.000 --> 19:34.000]  They put a diamond gusset in the crotch where you need it most.
[19:34.000 --> 19:39.000]  Blue diamond gussets got it, others don't.
[19:39.000 --> 19:45.000]  Turn jeans inside out, diamond gusset jeans made in the USA with unparalleled quality.
[19:45.000 --> 19:52.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[19:52.000 --> 19:55.000]  Order yours at gusset.com.
[19:55.000 --> 20:01.000]  Diamond gusset jeans got it, others don't.
[20:01.000 --> 20:05.000]  Coast to coast, direct from Austin.
[20:05.000 --> 20:10.000]  We're listening to the Alex Jones Broadcasting Network.
[20:10.000 --> 20:38.000]  The Alex Jones show because there is a war on for your mind.
[20:38.000 --> 20:50.000]  We've talked a lot about the Senate race, but you know there's a still ongoing presidential race in this country?
[20:50.000 --> 20:53.000]  In fact, we're still counting the votes.
[20:53.000 --> 20:59.000]  In fact, we're just starting to count the delegates.
[20:59.000 --> 21:14.000]  There's been many times that we've been written off, but on occasion now, almost like every day, there is another state that goes our way.
[21:14.000 --> 21:22.000]  It may turn out that we will be the actual winners of Iowa.
[21:22.000 --> 21:30.000]  We're winning a lot of these delegates that were written off in the past, but we're winning a lot of other things too.
[21:30.000 --> 21:35.000]  Putting people in the right place, becoming chairman of the Republican Party in the various states.
[21:35.000 --> 21:38.000]  So the revolution is working.
[21:38.000 --> 21:45.000]  We have infiltrated the Republican Party and we will convert the Republican Party to Defenders of Liberty.
[21:45.000 --> 22:04.000]  President Hall!
[22:04.000 --> 22:08.000]  We all know who is supposed to write the laws in Washington.
[22:08.000 --> 22:09.000]  It's supposed to be the Congress.
[22:09.000 --> 22:15.000]  But what about the overstepping of their rights in the executive branch?
[22:15.000 --> 22:19.000]  Through the issuing of executive order.
[22:19.000 --> 22:27.000]  The executive order that has given supposedly authority to the president to assassinate American citizens.
[22:27.000 --> 22:38.000]  We need a constitutional president who will use the executive order in a proper manner to repeal all the executive orders that were misplaced.
[22:38.000 --> 22:46.000]  President Hall!
[22:46.000 --> 22:50.000]  There was an executive order written back in 1973.
[22:50.000 --> 22:53.000]  Not too many people have talked about this and they might not think it's too important.
[22:53.000 --> 22:55.000]  I happen to think it was very important.
[22:55.000 --> 23:01.000]  Unfortunately, or characteristically maybe, it was executed by a Republican president in 1973.
[23:01.000 --> 23:08.000]  And they established the DEA, the Drug Enforcement Agency.
[23:08.000 --> 23:13.000]  That is a totally unconstitutional vehicle for enforcing law.
[23:13.000 --> 23:20.000]  Just last week, I imagine many of you saw, there was a drug bust.
[23:20.000 --> 23:22.000]  They don't know what they were doing.
[23:22.000 --> 23:27.000]  They were suspected of using something a lot safer than alcohol.
[23:27.000 --> 23:33.000]  There was a SWAT team that went in and grabbed seven young people on the campus.
[23:33.000 --> 23:37.000]  You see it at San Diego.
[23:37.000 --> 23:39.000]  And they threw them on jail.
[23:39.000 --> 23:45.000]  Then after they sorted out the paperwork, they released six and they just forgot about one person.
[23:45.000 --> 23:52.000]  And allowed this person to be in prison five days, no water, no food.
[23:52.000 --> 23:58.000]  He was in critical condition and he was in intensive care for three days and he's going to survive.
[23:58.000 --> 24:01.000]  But then the question is, who's liable for that?
[24:01.000 --> 24:04.000]  Because there's a lawsuit filed and I think a lawsuit is proper.
[24:04.000 --> 24:09.000]  There should be a compensation.
[24:09.000 --> 24:14.000]  But I've always had a little trouble with those type of compensations being thrown back on the people.
[24:14.000 --> 24:20.000]  So why shouldn't it be when people are acting outside the law, outside the Constitution,
[24:20.000 --> 24:24.000]  and those individuals who committed those acts that were illegal,
[24:24.000 --> 24:35.000]  why shouldn't they be personally liable for the corruption?
[24:35.000 --> 24:40.000]  Now a few years ago when the TSA got even more abusive,
[24:40.000 --> 24:43.000]  I introduced legislation along those lines.
[24:43.000 --> 24:52.000]  Of course, the best way to have taken care of the TSA was to vote against the establishment of the TSA to begin with.
[24:52.000 --> 24:58.000]  And to have voted against the Patriot Act, which gave them so much authority.
[24:58.000 --> 25:06.000]  But my suggestion in this legislation was that a TSA agent can do nothing that you can't do.
[25:06.000 --> 25:14.000]  So if you can't grope a stranger and you go to prison, if anybody at the airport grope a stranger and he pretends he's allowed to
[25:14.000 --> 25:27.000]  because he belongs to the government, he should be personally liable and suffer the consequences.
[25:27.000 --> 25:34.000]  Now it is a shame that our government here in Texas didn't stand up stronger against the TSA.
[25:34.000 --> 25:41.000]  But let me tell you, there is another vehicle and it's going to be used ultimately if they're starting to use it.
[25:41.000 --> 25:44.000]  And that is nullification.
[25:44.000 --> 25:53.000]  The nullification has not been used throughout our history, but it was understood and was assumed to be a proper procedure
[25:53.000 --> 25:59.000]  where the states just ignore the feds when they come in and try to enforce illegal laws.
[25:59.000 --> 26:06.000]  But there are two states now, I believe it's Virginia and Arizona, they have passed in a way a nullification law
[26:06.000 --> 26:12.000]  about not supporting the military when they come in under the National Defense Authorization Act
[26:12.000 --> 26:17.000]  and arrest the American citizen that they will not participate in those arrests.
[26:17.000 --> 26:29.000]  Because there is still an exchange of how many federal policemen are carrying guns now. Before the TSA, I had a number that was close to 100,000
[26:29.000 --> 26:31.000]  so it must be much bigger now.
[26:31.000 --> 26:37.000]  As far as I'm concerned, under the way the Constitution was written, there was not to be any national police force,
[26:37.000 --> 26:43.000]  there was to be a defense force defending against enemies, but not to have a national police force coming in.
[26:43.000 --> 26:51.000]  But 100,000 plus now who come in to enforce regulations that are technically illegal, that all should be canceled out.
[26:51.000 --> 26:57.000]  We say no more of this, we want to take care of our own business and get the feds out of our lives and out of it.
[26:57.000 --> 27:03.000]  Everybody knows that we're in an economic crisis, a lot worse in other places than Texas.
[27:03.000 --> 27:09.000]  And one time a few months ago, somebody asked me in the media, they said, who are you running against?
[27:09.000 --> 27:16.000]  And one individual you're running against, I think they wanted me to say that 100% of my problems came from Obama
[27:16.000 --> 27:22.000]  and I didn't yield to their temptation to say that, even though he's responsible for an awful lot of mess we have.
[27:22.000 --> 27:26.000]  No, I said, the one individual I'm running against is Cain's.
[27:26.000 --> 27:41.000]  Cain's an economic, and some people understood it and some people didn't understand it, but guess what? I'm getting to debate Cain's through his apostle Paul Krugman.
[27:41.000 --> 27:48.000]  And that is an important subject.
[27:48.000 --> 27:55.000]  A true revolution has to be ideological, revolutions can be violent and they can overthrow government and nothing really improved.
[27:55.000 --> 28:02.000]  An ideologically positive revolution is what is necessary, and that's what we have going in this country.
[28:02.000 --> 28:08.000]  It is really very important.
[28:08.000 --> 28:14.000]  The groundwork has been laid, just as the groundwork was laid before our first revolution,
[28:14.000 --> 28:19.000]  and there was a clear understanding about what freedom was all about, what sound money was all about,
[28:19.000 --> 28:28.000]  and that's why they wrote a good document, the best probably in the world, although it was obviously flawed because we ended up not living up to that document.
[28:28.000 --> 28:34.000]  But at least there was an intellectual movement before that, as there has been now for several decades.
[28:34.000 --> 28:41.000]  But what I have noticed, since I've been involved in this, since the 1970s, what I have noticed in the last five years,
[28:41.000 --> 28:48.000]  all of a sudden the revolution has gone mainstream, the people are waking up.
[28:48.000 --> 28:53.000]  America is on fire for Ron Paul.
[28:53.000 --> 28:58.000]  Even if they steal the nomination from him, the people are learning about the Constitution.
[28:58.000 --> 29:21.000]  We'll be back with more of Ron Paul.
[29:28.000 --> 29:35.000]  We'll be back with more of Ron Paul.
[29:59.000 --> 30:10.000]  If you want an American company with American products made by Americans, here is the Cow Ben soap company.
[30:10.000 --> 30:14.000]  Alex and his staff have used these pure soap products for years.
[30:14.000 --> 30:21.000]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[30:21.000 --> 30:29.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[30:29.000 --> 30:35.000]  Buy the one to two-month sample package and enjoy soaps that are twice as good as what you're using now.
[30:35.000 --> 30:40.000]  Or save big with a one to two-year supply of soaps for all your cleaning needs.
[30:40.000 --> 30:42.000]  This is an amazing deal.
[30:42.000 --> 30:47.000]  You can save thousands of dollars and you will love the way real soap makes you feel.
[30:47.000 --> 30:58.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[31:17.000 --> 31:20.000]  In the name of smart grid technology is coming.
[31:20.000 --> 31:24.000]  In some areas of the country, the power grid is dangerously overloaded.
[31:24.000 --> 31:28.000]  And now, new socialist legislation is only compounding the problem.
[31:28.000 --> 31:31.000]  Dangerous weather is always a threat to local grids.
[31:31.000 --> 31:35.000]  Every year, thousands of families lose their power from weather-related onages.
[31:35.000 --> 31:40.000]  A solar power generator provides powerful backup insurance and peace of mind.
[31:40.000 --> 31:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[31:45.000 --> 31:49.000]  You can get more information at www.mysolarbackup.com.
[31:49.000 --> 31:51.000]  That's mysolarbackup.com.
[31:51.000 --> 32:17.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[32:22.000 --> 32:26.000]  This food is nutrient dense and tastes great.
[32:26.000 --> 32:30.000]  It's simple to make, portable, and has a shelf life of up to 25 years.
[32:30.000 --> 32:34.000]  Now with eFoodsDirect, you'll get the most affordable, best-tasting food you can buy.
[32:34.000 --> 32:37.000]  And the new products and pricing will blow you away.
[32:37.000 --> 32:42.000]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[32:42.000 --> 32:44.000]  You just can't afford to ignore this.
[32:44.000 --> 32:49.000]  Call 800-409-5633 or go to eFoodsDirect.com or slash Alex for specials.
[32:49.000 --> 32:51.000]  Don't let this offer pass you by.
[32:51.000 --> 32:56.000]  Call 800-409-5633 or eFoodsDirect.com or slash Alex.
[32:56.000 --> 32:59.000]  More the best, for less, guaranteed.
[33:01.000 --> 33:04.000]  Coast to coast, direct from Austin.
[33:04.000 --> 33:09.000]  You're listening to the Alex Jones Broadcasting Network.
[33:09.000 --> 33:14.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[33:14.000 --> 33:17.000]  You're listening to the Alex Jones show.
[33:17.000 --> 33:19.000]  Yes, my friends, you are.
[33:19.000 --> 33:25.000]  And we also summercast the radio show in living in video color at prisonplanet.tv.
[33:25.000 --> 33:28.000]  Don't forget the websites infowars.com and prisonplanet.com.
[33:28.000 --> 33:32.000]  Here is the conclusion of Congressman Ron Paul,
[33:32.000 --> 33:42.000]  speech in Austin, Texas.
[33:42.000 --> 33:50.000]  People still worry and they believe that this will make our economy weaker if the government isn't spending this money.
[33:50.000 --> 33:53.000]  But that is not true.
[33:53.000 --> 33:57.000]  Because obviously the people are going to spend their money more wisely.
[33:57.000 --> 34:02.000]  But in order to cut, I don't believe in this idea, although we talk about it,
[34:02.000 --> 34:05.000]  and occasionally we have legislation that I give token support for,
[34:05.000 --> 34:08.000]  and that is getting rid of waste, fraud, and abuse,
[34:08.000 --> 34:11.000]  as if it's the wastefulness of the government program.
[34:11.000 --> 34:13.000]  No, it's the government program per se.
[34:13.000 --> 34:18.000]  It's the taxing program of the government per se.
[34:18.000 --> 34:20.000]  It's the policy.
[34:20.000 --> 34:22.000]  It's the policy that has to change.
