[00:00.000 --> 00:24.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[08:26.000 --> 08:36.000]  COVID relief, America Rescue Plan, infrastructure spending, trillions on top of trillions, on top of trillions, on top of trillions.
[08:36.000 --> 08:40.000]  And here's what's happening.
[08:40.000 --> 09:00.000]  The world leaders know that our politicians, our media, our leaders in the West and the United States of America are totally out of control, they're totally unhinged, they're totally criminal and it's reaching a point now where they need to be put down.
[09:00.000 --> 09:03.000]  They need to be out of power. And the world knows it.
[09:03.000 --> 09:14.000]  They're allied with the corrupt Chinese communists and they are wanting a one world government so they have a use.
[09:14.000 --> 09:22.000]  They have a usefulness. Biden has a usefulness. Yeah, he's totally blackmailed. Yeah, he's totally compromised. He's totally criminal.
[09:22.000 --> 09:31.000]  He's so bold at this point, little kids come into the White House and he molests them right on camera.
[09:31.000 --> 09:47.000]  But see, there's a use for Joe Biden, collapse the United States, crush the United States economy, introduce United States citizens, let them know what it's like to live in the one world government.
[09:47.000 --> 09:57.000]  Let them see what it feels like to have a collapsing infrastructure, inner cities impoverished.
[09:57.000 --> 10:14.000]  Let's see, let's let Biden get into the White House and show Americans, give them a little taste so that that way they can be told their system failed, freedom failed, the free market failed and so you now must be absorbed into a one world government communist system.
[10:14.000 --> 10:20.000]  See, because you failed. No, we didn't fail. We were lied to, we were tricked, we were deceived.
[10:20.000 --> 10:28.000]  And it's getting worse because as I'm going through my stacks of news today.
[10:28.000 --> 10:35.000]  I realize whether it's pushing the vaccine passports and more government shutdowns for COVID.
[10:35.000 --> 10:45.000]  Or whether it's violent terrorism happening in the United States of America or whether it's censorship or whether it's corporate government.
[10:45.000 --> 10:56.000]  Or whether it's government lies. It's all coming from the same side of the aisle. It's all coming from the same people.
[10:56.000 --> 11:00.000]  And I've also got videos.
[11:00.000 --> 11:12.000]  You know, this video that we're going to play today may be the best example of what mainstream media has done to the gender general population.
[11:12.000 --> 11:18.000]  A woman on an elevator breaking down and crying and having a conniption fit.
[11:18.000 --> 11:23.000]  Because she's on the elevator with another woman who doesn't want to wear a mask, even though she had the mask on.
[11:23.000 --> 11:28.000]  She just had it under her nose because she's human and likes to breathe air.
[11:28.000 --> 11:34.000]  And this woman has a mental psychotic breakdown.
[11:34.000 --> 11:38.000]  And it has nothing to do with a virus.
[11:38.000 --> 11:45.000]  It has to do with the fact she has been sold a worldview.
[11:45.000 --> 11:52.000]  She has been sold a big lie and she's bought into it full house.
[11:52.000 --> 11:59.000]  And whenever something comes up or someone comes up that destroys her worldview, which is just the truth, just reality destroys their worldview.
[11:59.000 --> 12:06.000]  They have complete mental breakdowns.
[12:06.000 --> 12:11.000]  Because they are lost in a world that doesn't exist.
[12:11.000 --> 12:16.000]  And when they're faced with that reality, this is what you see.
[12:16.000 --> 12:24.000]  You see it in all the street videos. You see it at their protests. You see it when Trump comes to town.
[12:24.000 --> 12:27.000]  You know it. You recognize it. You sense it.
[12:27.000 --> 12:35.000]  These are mentally ill, mentally unstable psychotic people.
[12:35.000 --> 12:39.000]  And it's really not even MKUltra.
[12:39.000 --> 12:42.000]  I mean, it's like a low dose of MKUltra.
[12:42.000 --> 12:52.000]  It's like the lowest frequency of MKUltra, just to hit you with a bandwidth, hit you with a frequency, and then send you into a trance state.
[12:52.000 --> 13:06.000]  That as soon as you're around something or something interferes with that transmission, reality starts to interfere with your fake world that you live, the big lie worldview that you have.
[13:06.000 --> 13:08.000]  You have a psychotic breakdown.
[13:08.000 --> 13:10.000]  So let me just stop teasing it.
[13:10.000 --> 13:22.000]  And let's just play it because everything that I'm going to cover follows the fact that the mainstream news and our politicians have people in a worldview like this.
[13:22.000 --> 13:24.000]  And that's how they're able to get away with all this crap.
[13:24.000 --> 13:30.000]  We wouldn't be putting up with any of this if we lived in the same society.
[13:30.000 --> 13:32.000]  I mean, let's be perfectly honest.
[13:32.000 --> 13:37.000]  If the founding fathers were alive today, how does the saying go? They'd be stacking bodies by now.
[13:37.000 --> 13:40.000]  Maybe it's a good thing we're more civilized now. Maybe not.
[13:40.000 --> 13:47.000]  Maybe we're all going to become slaves because we're so civilized now and so domesticated.
[13:47.000 --> 13:50.000]  But so we won't even do the deep radio tease.
[13:50.000 --> 13:52.000]  This is what mainstream media has done.
[13:52.000 --> 13:54.000]  This is what Fauci has done.
[13:54.000 --> 14:05.000]  This is what our politicians have done to the general population who now live in a trance state, totally brainwashed, living in a big lie worldview.
[14:05.000 --> 14:13.000]  And as soon as the truth tries to pierce their big lie worldview, they have a complete psychotic meltdown and it goes something like this.
[14:13.000 --> 14:19.000]  My girl here wants me to come out of the elevator so she can come out of the elevator.
[14:19.000 --> 14:23.000]  Because this is small space, we're supposed to maintain social distancing.
[14:23.000 --> 14:25.000]  I don't understand why you can't just...
[14:25.000 --> 14:29.000]  I mean, folks, you can't even understand these people. They're both in a mass.
[14:29.000 --> 14:34.000]  I mean, listen to her. This is the definition of a mental patient psycho.
[14:34.000 --> 14:37.000]  We're not after you. We have to get out of the giant box.
[14:37.000 --> 14:39.000]  Oh, shit. My girl.
[14:39.000 --> 14:40.000]  Oh, look at you.
[14:40.000 --> 14:41.000]  Then get aggressive.
[14:41.000 --> 14:43.000]  My girl. Hold on. Hold on. My girl.
[14:43.000 --> 14:46.000]  You want to stand in the elevator with me?
[14:46.000 --> 14:48.000]  Now she's crying.
[14:48.000 --> 14:50.000]  And catch it like you're not making fun of me.
[14:50.000 --> 14:52.000]  You might as well get out of your floor.
[14:52.000 --> 14:55.000]  I'm trying to get out of my floor. I can't come close to you.
[14:55.000 --> 14:59.000]  Do you understand that I am extremely compromised in your system?
[14:59.000 --> 15:03.000]  You are a delivery person incorrectly wearing the mask inside of the elevator.
[15:03.000 --> 15:08.000]  Is this incorrectly worn, guys? Is this incorrectly worn?
[15:08.000 --> 15:12.000]  It wasn't like that the whole fucking time.
[15:12.000 --> 15:14.000]  Holy shit.
[15:20.000 --> 15:22.000]  What are we supposed to do about these people?
[15:22.000 --> 15:25.000]  You know, I have a heart. I really do.
[15:25.000 --> 15:29.000]  I have a heart, but I also have a will to survive and live free.
[15:29.000 --> 15:35.000]  And so, humans that still have the spark of life, humans that still have the touch of God,
[15:35.000 --> 15:39.000]  humans that still want to be human.
[15:39.000 --> 15:45.000]  We're walking a tightrope between our heart and our will to be free.
[15:45.000 --> 15:51.000]  And that psychotic breakdown from that woman is not an isolated incident.
[15:51.000 --> 15:55.000]  And just watching her body language and her mannerisms and the shrill voice
[15:55.000 --> 15:59.000]  reminds me of all the other videos I've seen.
[16:26.000 --> 16:30.000]  And if you go to infowarsdomains.com and follow that link,
[16:30.000 --> 16:36.000]  you get all their services at the lowest price and 25% of your signup for a new domain
[16:36.000 --> 16:39.000]  or a domain you move goes to fund the info war.
[16:39.000 --> 16:44.000]  And then we get 5% as well for any servers or any other type of services that you get from them.
[16:44.000 --> 16:48.000]  So it's a win-win as we build a true open free internet again
[16:48.000 --> 16:51.000]  because the globalists are destroying what was open and what was free.
[16:51.000 --> 16:55.000]  infowarsdomains.com, the revolution starts there.
[16:55.000 --> 17:21.000]  infowarsdomains.com, take action now.
[17:25.000 --> 17:30.000]  It's a good slavery and then promoted women's rights and so much more that actually threatens them.
[17:30.000 --> 17:35.000]  So because they can't defeat that empowering ethic, they instead co-opt it,
[17:35.000 --> 17:42.000]  turn it upside down and use the idea of equality to actually destroy human freedom
[17:42.000 --> 17:45.000]  and the free market that threatens them and offers them control.
[17:45.000 --> 17:50.000]  That's why they target info wars because we understand the keys to defeating them.
[17:50.000 --> 17:55.000]  So the only way our transmission gets out is if you promote info wars in Bandai, Vinega.
[17:55.000 --> 18:22.000]  So redouble your efforts. We're all in this together.
[18:22.000 --> 18:30.000]  Ladies and gentlemen, we're back here live from the info wars world headquarters in Austin, Texas.
[18:30.000 --> 18:32.000]  It's the Alex Jones show.
[18:32.000 --> 18:34.000]  Owen Schroeder sitting in for Alex.
[18:34.000 --> 18:38.000]  He is down at the southern border.
[18:38.000 --> 18:42.000]  We're going to be having reports coming from Alex here today.
[18:42.000 --> 18:51.000]  And of course at band.video down from the illegal immigration crisis being facilitated by Joe Biden.
[18:51.000 --> 18:58.000]  Treason at the highest levels facilitating an invasion at our southern border.
[18:58.000 --> 19:07.000]  President Trump wished a happy Easter to the radical left crazies who rigged our election.
[19:07.000 --> 19:10.000]  That is a quote.
[19:10.000 --> 19:13.000]  Having a little fun on Easter Sunday was President Trump.
[19:13.000 --> 19:19.000]  We hope everybody had a great Easter weekend and resurrection Sunday.
[19:19.000 --> 19:27.000]  I want to go back to this video I played in the last segment and really hone in on this because
[19:27.000 --> 19:33.000]  this is the human touch and this goes beyond politics.
[19:33.000 --> 19:37.000]  And it's such a hard thing to deal with.
[19:37.000 --> 19:42.000]  Because everything gets politicized.
[19:42.000 --> 19:51.000]  And you can point you can point to the individuals you can point to the entities you can point to the outlets.
[19:51.000 --> 20:00.000]  That are causing people like this woman to have mental breakdowns in public complete psychotic breakdowns in public.
[20:00.000 --> 20:06.000]  And when I played that video in my head, it was like a rush.
[20:06.000 --> 20:20.000]  Like somebody just hit my brain like a memory probe and it was just like a rush of all the psychotics that I've come across in the last four years five years that are exactly like this woman.
[20:20.000 --> 20:22.000]  Total psychotics.
[20:22.000 --> 20:24.000]  They have total mental breakdowns.
[20:24.000 --> 20:25.000]  They have shrill voices.
[20:25.000 --> 20:31.000]  They blame you for everything even though they're the ones that are clearly having mental health issues.
[20:31.000 --> 20:38.000]  Yeah, here's another example. We could sit here and do this all day.
[20:38.000 --> 20:42.000]  But we have to try to extend with our heart.
[20:42.000 --> 20:46.000]  We have to try to feel with our heart.
[20:46.000 --> 20:49.000]  And we have to understand this woman is a victim.
[20:49.000 --> 20:50.000]  She's a victim.
[20:50.000 --> 20:55.000]  She's been hit with psychological weapons and they have melted her brain.
[20:55.000 --> 21:10.000]  She has been made mentally incapacitated by psychological warfare weapons on television in Hollywood in mainstream media and she's been hit and she has been destroyed.
[21:10.000 --> 21:13.000]  She's been devastated.
[21:13.000 --> 21:24.000]  And so we have a heart and we feel for her and I genuinely feel bad for her in my soul in my spirit.
[21:24.000 --> 21:32.000]  And the crew is just rolling these incredible videos and again it's just hitting me like a wave.
[21:32.000 --> 21:36.000]  But we have to understand these people have been devastated by psychological warfare.
[21:36.000 --> 21:44.000]  They've been completely mentally handicapped by psychological warfare.
[21:44.000 --> 21:53.000]  And you can look up the government documents, silent weapons for quiet wars, but you see, here's our problem.
[21:53.000 --> 21:57.000]  We're in a war for humanity.
[21:57.000 --> 22:00.000]  The globalists do this to people.
[22:00.000 --> 22:14.000]  The eugenicists that want to run population control on this planet intentionally do this to people so that they then have an excuse to wipe them out.
[22:14.000 --> 22:22.000]  But see, we, the pro-human side, we understand that this is an information war.
[22:22.000 --> 22:24.000]  We understand that this is a war for the future.
[22:24.000 --> 22:26.000]  We want to be a pro-human future.
[22:26.000 --> 22:30.000]  We want to be free human future.
[22:30.000 --> 22:43.000]  And we realize that in this battle, it's kind of like if you're in the battlefield and one of your comrades, one of your fellow troops gets a leg blown off.
[22:43.000 --> 22:48.000]  And you basically have to make a decision of what you're going to do with that person.
[22:48.000 --> 22:51.000]  You may have to leave them in the battlefield.
[22:51.000 --> 23:02.000]  Or like sometimes you may have to put the gun between their head and pull the trigger.
[23:02.000 --> 23:04.000]  So what do we do about these people?
[23:04.000 --> 23:06.000]  There's no hope for them.
[23:06.000 --> 23:09.000]  They've been completely mentally handicapped.
[23:09.000 --> 23:12.000]  They've been turned into psychopaths.
[23:12.000 --> 23:15.000]  So once again, here's the video.
[23:15.000 --> 23:19.000]  This is what leftism does to you.
[23:19.000 --> 23:21.000]  This is what mainstream media does to you.
[23:21.000 --> 23:24.000]  This is what Democrat Party lies due to you.
[23:24.000 --> 23:27.000]  This is what liberal television media lies due to you.
[23:27.000 --> 23:29.000]  Look at this woman.
[23:29.000 --> 23:32.000]  Have a complete psychotic mental breakdown in an elevator.
[23:32.000 --> 23:35.000]  She's on an elevator with one other woman.
[23:35.000 --> 23:37.000]  This woman's mask, she's wearing a mask.
[23:37.000 --> 23:42.000]  It slips below her nose for a second and she probably keeps it there because she knows the mask is BS
[23:42.000 --> 23:45.000]  and she hates wearing it and she likes to breathe air.
[23:45.000 --> 23:52.000]  And this woman, Cady Corner to her on an elevator, only two of them, bursts into tears and has a total psychotic meltdown.
[23:52.000 --> 23:55.000]  Now remember, you can barely understand this person.
[23:55.000 --> 23:59.000]  She's got a mask on, she's breaking down, tears are flowing, so you can barely even understand her.
[23:59.000 --> 24:01.000]  I'm not even going to try to translate.
[24:01.000 --> 24:02.000]  Just look at what happens.
[24:02.000 --> 24:03.000]  You want to see what happens.
[24:03.000 --> 24:06.000]  You want to see a victim of psychological warfare.
[24:06.000 --> 24:12.000]  You want to see a victim of leftism, modern-day liberalism, progressivism, Democrat Party lies.
[24:12.000 --> 24:14.000]  You want to see what the victims look like.
[24:14.000 --> 24:16.000]  You want to see what it does to people.
[24:16.000 --> 24:18.000]  You want to see what they're doing to humanity.
[24:18.000 --> 24:22.000]  Perhaps this is the greatest example we've seen yet to this day.
[24:22.000 --> 24:28.000]  My girl here wants me to come out of the elevator so she can come out of the elevator.
[24:28.000 --> 24:33.000]  Because it's a small space, we're supposed to maintain social distancing.
[24:33.000 --> 24:37.000]  You understand why you can't just politely step out and pull me out of the elevator.
[24:37.000 --> 24:40.000]  But I asked you nicely while you had been wearing your mask.
[24:40.000 --> 24:41.000]  You didn't ask me nicely.
[24:41.000 --> 24:43.000]  You said get the fuck out of the elevator.
[24:43.000 --> 24:45.000]  I said that after you broke it.
[24:45.000 --> 24:46.000]  No, no, no.
[24:46.000 --> 24:47.000]  You have a giant voice.
[24:47.000 --> 24:48.000]  Oh shit.
[24:48.000 --> 24:49.000]  My girl.
[24:49.000 --> 24:50.000]  Look at you.
[24:50.000 --> 24:51.000]  My girl.
[24:51.000 --> 24:52.000]  Hold on.
[24:52.000 --> 24:53.000]  Hold on.
[24:53.000 --> 24:54.000]  My girl.
[24:54.000 --> 25:00.000]  You want to stand in the elevator with me and catch it like you're not making sense.
[25:00.000 --> 25:02.000]  I mean, you might as well get out by your floor.
[25:02.000 --> 25:04.000]  I'm trying to get out by my floor.
[25:04.000 --> 25:05.000]  I can't come close to you.
[25:05.000 --> 25:09.000]  Do you want to understand that I am extremely compromised in your system?
[25:09.000 --> 25:13.000]  You are a delivery person incorrectly wearing the mask inside of me.
[25:13.000 --> 25:15.000]  Is this an incorrect reward, guys?
[25:15.000 --> 25:24.000]  Is this an incorrect reward?
[25:24.000 --> 25:25.000]  What do you do with these people?
[25:25.000 --> 25:26.000]  They're gone.
[25:26.000 --> 25:28.000]  They're hopeless.
[25:28.000 --> 25:30.000]  They don't want to live in reality.
[25:30.000 --> 25:34.000]  They don't want humanity to move forward.
[25:34.000 --> 25:37.000]  They want humanity to be enslaved.
[25:37.000 --> 25:38.000]  They want to be enslaved.
[25:38.000 --> 25:39.000]  They want to enslave you.
[25:39.000 --> 25:42.000]  They want to ask you politely to be a slave with them.
[25:42.000 --> 25:46.000]  No, we're not going quietly into that dark night.
[25:46.000 --> 25:48.000]  No.
[25:48.000 --> 25:51.000]  No.
[25:51.000 --> 25:57.000]  And so there's going to be a threshold reached and there's going to be a nexus point reached.
[25:57.000 --> 26:00.000]  And I have a feeling it's coming up very soon.
[26:00.000 --> 26:02.000]  And believe me, this is not what I look forward to.
[26:02.000 --> 26:13.000]  But let me tell you, the nexus of our hearts versus our will is forthcoming.
[26:13.000 --> 26:16.000]  Because we know we can't go on with people like this.
[26:16.000 --> 26:20.000]  The globalists, the eugenicists know that you can't go on with people like this.
[26:20.000 --> 26:26.000]  That's why they turn them into people like this so that they could have the excuse to wipe them out.
[26:26.000 --> 26:36.000]  But there will come a crossroads between our hearts and our wills to be free and to prosper.
[26:36.000 --> 26:41.000]  And I just hope these people have learned enough to get out of the way by then.
[26:41.000 --> 26:46.000]  Otherwise, it's going to be like in the battlefield.
[26:46.000 --> 26:53.000]  And these are the people that have been mentally handicapped and cannot move into the future with humanity.
[26:53.000 --> 26:57.000]  They've been destroyed. Their soul is gone.
[26:57.000 --> 27:04.000]  I'm not going to sit here and waste your time or my time and rattle off the successes and full-worses had.
[27:04.000 --> 27:07.000]  If you're paying attention, you know we've done together.
[27:07.000 --> 27:10.000]  But I'll tell you this.
[27:10.000 --> 27:17.000]  The technocrats are really upping their game and they are trying to destroy all independent forms of media.
[27:17.000 --> 27:20.000]  They're trying to shutter and silence human resistance.
[27:20.000 --> 27:25.000]  So now is the time to understand that everything we've talked about has been proven accurate.
[27:25.000 --> 27:28.000]  Everything you warned your friends and family about is about to be true.
[27:28.000 --> 27:31.000]  So it's now that your credibility is way up.
[27:31.000 --> 27:35.000]  The power structure is going to silence those of us that they can't.
[27:35.000 --> 27:40.000]  But it's up to all of us to not let them silence any of us.
[27:40.000 --> 27:42.000]  We have the power.
[27:42.000 --> 27:46.000]  But the sun is setting on humanity and setting on free speech.
[27:46.000 --> 27:52.000]  We have to make sure that we fight hard right now to make sure that long dark night doesn't come.
[27:52.000 --> 28:18.000]  So be the tolerbearers you are.
[28:22.000 --> 28:32.000]  Inflammatory responses in joints and the digestive system.
[28:32.000 --> 28:43.000]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[28:43.000 --> 28:51.000]  It worked for my family and now I can have a logical and calm discussion about actual facts that pertain to reality.
[28:51.000 --> 28:57.000]  Get your ultimate fish oil for a friend, family member or yourself at InfowarsStore.com.
[29:22.000 --> 29:26.000]  I try to be calm. I try to be focused.
[29:26.000 --> 29:29.000]  I don't know what I do. I wasn't still on air right now.
[29:29.000 --> 29:33.000]  But I just really want to thank you for keeping us on air.
[29:33.000 --> 29:36.000]  Because you have to realize when I tell you that you're the infomer.
[29:36.000 --> 29:38.000]  That's not me patting on the head.
[29:38.000 --> 29:42.000]  You are 99% of the equation.
[29:42.000 --> 29:45.000]  So when you decide to spread the word, when you decide to buy the products,
[29:45.000 --> 29:50.000]  InfowarsStore.com, when you decide to share the articles and videos we produce, it changes the world.
[29:50.000 --> 29:55.000]  So you are the Infowar. Thank you so much for the fight. Thank you for all you've done.
[29:55.000 --> 29:58.000]  Now let's take action together and take down the globalist.
[29:58.000 --> 30:02.000]  You know, it's crazy to get to this point. It's very bittersweet.
[30:02.000 --> 30:05.000]  Everything we've talked about has happened just like we said it would.
[30:05.000 --> 30:09.000]  And now we have a lot of credibility, but I don't care about that. I care about beating the new world order.
[30:09.000 --> 30:14.000]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[30:14.000 --> 30:17.000]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[30:17.000 --> 30:19.000]  I can't tell you what's going on.
[30:19.000 --> 30:24.000]  Let's just say this. We're going to see this through the end. We're going to stay on air as long as we can.
[30:24.000 --> 30:27.000]  So please pray for us and please buy the products.
[30:27.000 --> 30:30.000]  InfowarsStore.com, they're great products. Plus they fund the operation.
[30:30.000 --> 30:33.000]  So you know, unlike other products you can buy, they're still great.
[30:33.000 --> 30:35.000]  Do they fund freedom? No, a lot of them don't.
[30:35.000 --> 30:39.000]  These are great products that fund freedom and fund justice
[30:39.000 --> 30:42.000]  when the whole world is waking up and looking for truth.
[30:42.000 --> 30:47.000]  That's why the globalists are censoring. They can't bring in all this tyranny and leave people like us on the air.
[30:47.000 --> 30:50.000]  So while you're at it, don't just financially support us and spread the word.
[30:50.000 --> 30:53.000]  Download everything we've done you can find and save it.
[30:53.000 --> 31:19.000]  Because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[31:24.000 --> 31:32.000]  Globalism is coming and when it gets here and it cements itself into power, there is no return.
[31:32.000 --> 31:42.000]  That's why you see Ukraine and NATO holding joint drills while the war is raging against Russia.
[31:42.000 --> 31:49.000]  The United States needs to ally with Russia and then every other nation that wants to remain populist,
[31:49.000 --> 31:54.000]  wants to remain nationalist and doesn't want to go into the New World Order can join.
[31:54.000 --> 31:56.000]  But that's what needs to happen.
[31:56.000 --> 32:00.000]  And it's time to just get rid of NATO.
[32:00.000 --> 32:06.000]  It's time to declare sovereignty from the UN, sovereignty from the World Health Organization,
[32:06.000 --> 32:14.000]  and it's time for serious world powers like the United States and Russia and Japan and Brazil and Mexico
[32:14.000 --> 32:21.000]  to form a new alliance against globalism.
[32:21.000 --> 32:26.000]  And so I expect the attacks on Russia to continue and I don't think Russia is going to take it very lightly.
[32:26.000 --> 32:37.000]  You know, Russia has its problems but it's not weak need and feeble as it once was.
[32:37.000 --> 32:40.000]  And Putin is a smart and strong leader.
[32:40.000 --> 32:45.000]  We should be allying with Russia, we should be allying with Mexico, we should be allying with Brazil,
[32:45.000 --> 32:49.000]  we should be allying with Japan, we should be allying with nations that want to remain sovereign,
[32:49.000 --> 32:59.000]  want to have populist policy and don't want to go into a one-world government.
[32:59.000 --> 33:04.000]  And that's what we're facing and some countries are realizing it.
[33:04.000 --> 33:10.000]  People of the world are really realizing it and that's why the time is now.
[33:10.000 --> 33:22.000]  Of course the deception in the media hinders this and keeps the people under oppression with lies and misinformation
[33:22.000 --> 33:31.000]  but that is why Infowars is here and that's why it's so imperative to keep us on the air.
[33:31.000 --> 33:40.000]  And so as I say that, I remind you about InfowarsStore.com where we still have the special going right now
[33:40.000 --> 33:46.000]  on Vitamin Mineral Fusion back in stock 40% off at InfowarsStore.com.
[33:46.000 --> 33:51.000]  That's Vitamin Mineral Fusion back in stock 40% off at InfowarsStore.com.
[33:51.000 --> 33:54.000]  I've got a canister of it right here.
[33:54.000 --> 34:02.000]  I can sit here and read to you all the vitamins and minerals that are in Vitamin Mineral Fusion.
[34:02.000 --> 34:12.000]  And I can tell you right now it has more than 100% of your daily dose of Vitamin A, Vitamin C, Vitamin D, Vitamin E,
[34:12.000 --> 34:25.000]  Vitamin B6, Vitamin B12. It has more than 100% of your daily dose of thiamine, riboflavin, biotin.
[34:25.000 --> 34:31.000]  The list just goes on and on and on.
[34:31.000 --> 34:40.000]  Don't forget about the other supplements in there like Alglutamine, Glycine, Coenzyme Q12.
[34:40.000 --> 34:44.000]  It goes on and on folks. It's all in Vitamin Mineral Fusion.
[34:44.000 --> 34:49.000]  I start every morning with Vitamin Mineral Fusion. I mix it with some juice.
[34:49.000 --> 34:58.000]  And then I swallow all my supplements from InfowarsStore.com with the Vitamin Mineral Fusion mix every morning.
