[00:00:00.209 --> 00:00:03.151]  What I do is I wait and I watch.
[00:06:38.321 --> 00:06:44.463]  And under a microscope, it appears to be the same filaments that people today are calling blood clots.
[00:06:44.463 --> 00:06:48.745]  And what the scientific journals call self-assembled hydrogels.
[00:06:49.605 --> 00:06:58.187]  According to Dane Wigington from geoengineeringwatch.org, nanoparticles are being sprayed worldwide.
[00:06:58.187 --> 00:07:02.888]  The good news is that Dr. Mielcia's research has found a remedy.
[00:07:02.888 --> 00:07:12.670]  The iron in the infected blood has been oxidized to a 3-plus state, and by taking antioxidants, one is able to dissolve these filament clots.
[00:07:13.371 --> 00:07:24.485]  She has found that EDTA chelation therapy will remedy infected blood within three days, and megadosing vitamin C also seems to work.
[00:07:24.485 --> 00:07:26.888]  Reporting for InfoWars, this is Greg Reese.
[00:07:40.916 --> 00:07:47.822]  I cannot think of a more important groundbreaking report, nanotechnology found in both vaxxed and unvaxxed.
[00:07:47.822 --> 00:08:02.355]  I have a stack of new prestigious studies from the United States, the UK, Canada and Europe, where they've confirmed what we already knew over two years ago from other studies, that the vaxxed are shedding.
[00:08:02.355 --> 00:08:04.237]  It's not a vaccine, it's a nanotech
[00:08:04.944 --> 00:08:11.689]  Replication system, and when it really takes hold in certain people, even young people, the coroners all over the world have reported.
[00:08:11.689 --> 00:08:31.962]  The head pathologist in Germany went public a year and a half ago, and they just pulled giant solid protein crystal clots out of even 15 year olds that are dead, that have clots that somebody at 80 would have, that literally drank buckets of bacon grease every day.
[00:08:31.962 --> 00:08:33.323]  But it's not cholesterol, it's
[00:08:34.128 --> 00:08:44.534]  Nanotech protein, but it also pulls metals out of your body and informs this receptor system.
[00:08:44.534 --> 00:08:46.795]  Transceivers.
[00:08:46.795 --> 00:08:52.619]  Our cells are already electrochemicals, so we're being colonized with this garbage.
[00:08:52.619 --> 00:08:55.721]  This report just went live a few hours ago.
[00:08:55.721 --> 00:08:56.721]  It's got 50,000 views.
[00:08:56.721 --> 00:08:59.783]  If you want to defeat the globalists, it needs 10 million.
[00:09:01.312 --> 00:09:04.393]  And the biggest video we have on Mandot Video has about 8 million views.
[00:09:04.393 --> 00:09:05.674]  That's not going to cut it, folks.
[00:09:05.674 --> 00:09:06.474]  I'm not complaining.
[00:09:06.474 --> 00:09:12.156]  I'm just saying we're in a total war here, and this needs 10 million views.
[00:09:12.156 --> 00:09:16.678]  Get it, share the link to Mandot Video, and let people understand this is part of their master plan.
[00:09:16.678 --> 00:09:18.859]  Okay, let me show you some of the headlines here.
[00:09:18.859 --> 00:09:21.440]  Nanotechnology found in both vaxxed and unvaxxed.
[00:09:21.440 --> 00:09:22.241]  Again, we're live.
[00:09:22.241 --> 00:09:24.021]  It's Saturday, August 5th, 2023.
[00:09:26.505 --> 00:09:29.508]  We're going to go for at least two hours here today.
[00:09:29.508 --> 00:09:39.758]  Jake Chansley, who is very impressive now that I've gotten a chance to know him and not just see the twisted media accounts, is going to be joining us in about 10 minutes for at least an hour and a half.
[00:09:39.758 --> 00:09:43.122]  Then a high-level Army psychological warfare expert.
[00:09:43.843 --> 00:09:57.991]  Scott Bennett who's been blowing wide open the globalist PSYOP takeover and the Ukraine war will join us on some of the biggest developments yet in the Ukraine war and the drone attacks on both sides and a new Russian warship being crippled by the U.S.
[00:09:57.991 --> 00:10:02.494]  designed surface drone or drone ship.
[00:10:02.494 --> 00:10:07.577]  So we're going to be talking to Scott Bennett as well today.
[00:10:07.577 --> 00:10:07.977]  We had
[00:10:09.386 --> 00:10:25.919]  Just a groundbreaking interview yesterday with Dr. Peter McCullough, so I'm going to recap some of that now, hit the latest Poisoned Shot news, then tell you what's coming up after Jake and Scott leave us in about two hours.
[00:10:25.919 --> 00:10:29.161]  So nanotechnology found in both vaxxed and unvaxxed, such a critical report.
[00:10:29.161 --> 00:10:30.402]  Let's play this clip first.
[00:10:30.402 --> 00:10:38.829]  Now, I watched last night after I saw this yesterday, right when the show was ending, last night I watched about an hour of this.
[00:10:41.730 --> 00:10:48.897]  After I got home late, after hanging out with the great Eddie Bravo and his 10th Planet crew, and Ryan Kellen, what a comedian.
[00:10:48.897 --> 00:10:51.059]  Wow, I was out with those guys until about 1 o'clock in the morning.
[00:10:51.059 --> 00:10:58.406]  But I got home and I said, I have got to go to the Senate hearing.
[00:10:58.406 --> 00:11:05.192]  And I found a 30-minute clip of it that I'm going to really shoot to play clip some coming up on the weekday show this week.
[00:11:05.192 --> 00:11:05.512]  It's 11 a.m.
[00:11:05.512 --> 00:11:05.732]  to 3 p.m.
[00:11:07.657 --> 00:11:10.319]  But here's the headline, Infowars.com.
[00:11:10.319 --> 00:11:14.802]  I'm going to have Jamie White, who's doing our weekend desk, add this to the live show feed today.
[00:11:14.802 --> 00:11:17.324]  They've linked this back to the front page.
[00:11:17.324 --> 00:11:21.127]  This is just simply mind-blowing.
[00:11:21.127 --> 00:11:32.074]  Now, we already knew this from documents that came out all over the Western world, from the UK to Canada to the US to Australia to New Zealand to Germany to France.
[00:11:32.074 --> 00:11:34.456]  It was also the Netherlands and Sweden this came out.
[00:11:35.293 --> 00:11:39.116]  So when I see an article like this, I don't just have it compartmentalized in this one piece.
[00:11:39.116 --> 00:11:40.417]  I remember.
[00:11:40.417 --> 00:11:47.282]  And remember Greg Reese's report from two years ago that we played probably more than any other report he's put out.
[00:11:47.282 --> 00:11:49.043]  We probably played it 50 times.
[00:11:49.043 --> 00:11:53.146]  We played it last weekend on the special show as well.
[00:11:53.146 --> 00:12:01.752]  I think the headline is, uh, red, red states being sent deadlier vaccine or something like that.
[00:12:01.752 --> 00:12:02.533]  Let's pull that up.
[00:12:02.533 --> 00:12:03.674]  The crew's really good at finding it.
[00:12:05.027 --> 00:12:29.402]  Because in that, he has the scientists, the doctors, the experts, these major statistician firms that looked at the dose numbers and then tracked the fact that around half of the shots, it's the same in Europe, major studies came out a few weeks ago confirming it, the EU admitted it two weeks ago, Sweden, their government admitted it.
[00:12:29.402 --> 00:12:34.425]  I mean, this is incredible because we discovered this, other researchers discovered it years ago, now it's all confirmed.
[00:12:35.839 --> 00:12:37.620]  That they call it range finding.
[00:12:37.620 --> 00:12:44.244]  So like you fire a range finder off your rifle out to a thousand yards to know how far it is before you set the scope or whatever.
[00:12:44.244 --> 00:12:46.646]  It's the same thing.
[00:12:46.646 --> 00:12:51.589]  Around on average, you know, it varied country to country, time to time, range find to range find.
[00:12:51.589 --> 00:12:54.611]  They were always tweaking it.
[00:12:54.611 --> 00:12:59.134]  But around half of the vaccines that aren't vaccines had
[00:13:00.038 --> 00:13:03.840]  Very high levels of the poison nanotech and the spike protein in them.
[00:13:03.840 --> 00:13:06.421]  And if you got that, you had major health problems.
[00:13:06.421 --> 00:13:07.782]  You got sick as a dog.
[00:13:07.782 --> 00:13:08.983]  Your body got colonized.
[00:13:08.983 --> 00:13:13.685]  A lot of people had heart attacks, myocarditis, strokes, you name it.
[00:13:13.685 --> 00:13:15.286]  Old, young, it doesn't matter.
[00:13:15.286 --> 00:13:16.847]  Really bad.
[00:13:16.847 --> 00:13:22.069]  But half the public got saline.
[00:13:22.069 --> 00:13:25.331]  So half the public got saline.
[00:13:25.331 --> 00:13:28.913]  Around 40% just got a little bit of it.
[00:13:30.467 --> 00:13:32.868]  So some people had bad reactions, others didn't.
[00:13:32.868 --> 00:13:35.788]  And then, depending on the country, 10 to 4 percent.
[00:13:35.788 --> 00:13:36.589]  It varied.
[00:13:36.589 --> 00:13:39.709]  10 in one country, 9 in another, 6 in another, 4 in another.
[00:13:39.709 --> 00:13:40.890]  Like Sweden was 4 percent.
[00:13:40.890 --> 00:13:45.091]  4 percent got the deadly shot.
[00:13:45.091 --> 00:13:46.651]  And that's also meant to confuse the public.
[00:13:46.651 --> 00:13:50.252]  Well, why did you not get sick, but you got really sick?
[00:13:50.252 --> 00:13:52.753]  Or why did Ernest Romero Sr.
[00:13:52.753 --> 00:13:57.994]  not get sick, but his 14-year-old son, in great shape, played basketball, baseball, you name it, have a heart attack and die four days after it?
[00:14:01.312 --> 00:14:10.916]  So, I remember Articles 1 and Guardian like 15 years ago that European elites get safer vaccines.
[00:14:10.916 --> 00:14:17.999]  European elites, royalty, government leaders, they get quote clean vaccines because vaccines are real technology.
[00:14:17.999 --> 00:14:23.401]  They still have dangers even if you try to do it just right and don't trojan horses.
[00:14:23.401 --> 00:14:28.583]  But now it's come out, and remember the head of Moderna,
[00:14:31.593 --> 00:14:32.754]  Guys, pull this up.
[00:14:32.754 --> 00:14:36.075]  When I see one article, I think of hundreds of others because it all connects.
[00:14:36.075 --> 00:14:40.717]  Remember when the Moderna CEO said, I'm not taking the vaccine?
[00:14:40.717 --> 00:14:44.339]  And then later he said, well, I took a special one.
[00:14:44.339 --> 00:14:51.562]  Then we have Zuckerberg famously in that video that leaked saying to his employees, only the high level executives, but one of them had a soul.
[00:14:51.562 --> 00:14:52.483]  He reportedly was talking about 100 people.
[00:14:54.022 --> 00:14:58.264]  And recorded it, and shared it, where he said, do not take this shot.
[00:14:58.264 --> 00:14:59.124]  It's experimental.
[00:14:59.124 --> 00:14:59.844]  Do not take it.
[00:14:59.844 --> 00:15:01.045]  We don't know what it's going to do.
[00:15:01.045 --> 00:15:06.667]  That was the bare minimum of him to warn them, because he obviously knew it was something much larger.
[00:15:06.667 --> 00:15:07.287]  Want to see the video?
[00:15:07.287 --> 00:15:10.068]  In fact, find that for later.
[00:15:10.068 --> 00:15:18.972]  But we got to get to our amazing guest that's going to have a long time with us, Jake Chansley, aka the Q Shaman, here in a moment.
[00:15:18.972 --> 00:15:22.033]  But now this is broken in the Australian Senate.
[00:15:23.314 --> 00:15:31.801]  Pfizer officials admit company employees received different COVID jabs than the rest of the population.
[00:15:31.801 --> 00:15:36.806]  And what do you want to bet it was saline?
[00:15:36.806 --> 00:15:42.451]  Or it could have been an attenuated virus for COVID that would still have issues but could protect you some.
[00:15:42.451 --> 00:15:44.312]  A classic vaccine.
[00:15:44.312 --> 00:15:44.833]  Here's a clip.
[00:15:48.049 --> 00:15:56.253]  You read that your vaccine mandate was using your own batch of vaccine especially imported for Pfizer which was not tested by the TGA.
[00:15:56.253 --> 00:15:59.455]  Is that correct?
[00:15:59.455 --> 00:16:09.400]  Senator, so Pfizer undertook to import a batch of vaccine specifically for the employee vaccination program.
[00:16:09.400 --> 00:16:17.084]  The full article has them explain that they took another shot than what they pushed and had liability protection for for the Australian people.
[00:16:18.522 --> 00:16:21.024]  Yeah, there's the report from almost two years ago.
[00:16:21.024 --> 00:16:21.845]  Evidence that U.S.
[00:16:21.845 --> 00:16:25.207]  government targeted red states with deadly batches of vaccine.
[00:16:25.207 --> 00:16:27.269]  That video is beyond critical.
[00:16:27.269 --> 00:16:35.295]  So I'm going to have that video added to this original article that just came out yesterday on InfoWars.com.
[00:16:35.295 --> 00:16:39.999]  Pfizer officially admits company employees received different COVID jabs than the rest of the population.
[00:16:39.999 --> 00:16:46.424]  Please have Jamie White repost this to the front page of InfoWars, the whole article, and then add into the article
[00:16:47.617 --> 00:16:49.398]  Gregg Reese's original report.
[00:16:49.398 --> 00:16:51.559]  So you got to tie all this together.
[00:16:51.559 --> 00:16:53.479]  Now let's continue.
[00:16:53.479 --> 00:16:54.680]  This just broke the last few days.
[00:16:54.680 --> 00:16:56.301]  And these are, again, major prestigious studies.
[00:16:56.301 --> 00:16:57.121]  Go read it for yourself.
[00:17:18.482 --> 00:17:19.703]  There's another one breaking.
[00:17:19.703 --> 00:17:29.429]  A new study from the University of Colorado confirms that COVID vaccinated have been transmitting dangerous antibodies.
[00:17:29.429 --> 00:17:36.774]  Rand Paul announces official criminal referral against Fauci for gain of function lying to Congress.
[00:17:36.774 --> 00:17:40.177]  Now let's do a wide shot here at this table.
[00:17:40.177 --> 00:17:44.860]  Every one of these stacks is just as important as what I just covered.
[00:17:44.860 --> 00:17:47.982]  But we're going to do a deep dive with Jake Chansley right now.
[00:17:49.190 --> 00:18:06.156]  I appreciate him joining us because I was very impressed once he got out of jail actually hearing what he had to say versus how the media spun it and he was there obviously when the feds tried to set everybody up and he's very thankful Tucker Carlson not for helping him get him out of jail because he was already being released on good behavior but because
[00:18:07.159 --> 00:18:14.182]  That video that they released that the feds had won out vindicated him and others that were waved in after the first groups broke in.
[00:18:14.182 --> 00:18:20.425]  They didn't know were being waved in by the police that led him into the chamber saying, help us get people out.
[00:18:20.425 --> 00:18:23.766]  So he goes in, he leads people in a prayer to get their attention.
[00:18:23.766 --> 00:18:26.808]  And then he asked them to leave just like I got up and said, hey, you're great, everybody.
[00:18:26.808 --> 00:18:27.528]  Don't go in.
[00:18:27.528 --> 00:18:28.449]  It's going to be a setup.
[00:18:28.449 --> 00:18:31.050]  We love you, USA, USA to get their attention.
[00:18:31.050 --> 00:18:31.850]  Now come with me.
[00:18:31.850 --> 00:18:34.351]  Don't go in the Capitol.
[00:18:34.351 --> 00:18:35.192]  Well, he served 27 months.
[00:18:36.653 --> 00:18:37.193]  We're good to go.
[00:18:57.228 --> 00:19:15.719]  And the things that Trump's been saying and doing, a huge stack of the left openly coming out and saying, we're not just going to rape your children and have sex with them and ruin their innocence, we're going to cut their bodies up in pieces for the so-called influencers out there recruiting children into their occultic system that's beyond pedophilia.
[00:19:15.719 --> 00:19:19.721]  Also, world food prices jumped the most in 18 months.
[00:19:19.721 --> 00:19:20.642]  We told you that was coming.
[00:19:23.423 --> 00:19:30.690]  We also have just a lot of other incredible information that we're going to be laying out for you here today.
[00:19:30.690 --> 00:19:35.855]  Big developments on the cashless society front.
[00:19:35.855 --> 00:19:38.357]  Australia is officially going cash free.
[00:19:38.357 --> 00:19:39.639]  It's all part of the new world order.
[00:19:39.639 --> 00:19:46.125]  And meanwhile, California is announcing a cashless system and state digital ID to buy and sell.
[00:19:47.265 --> 00:19:50.606]  So it's all being pushed by the same globalists being implemented all over the place.
[00:19:50.606 --> 00:19:56.469]  We've got to fight it because it is critical to their control grid.
[00:19:56.469 --> 00:20:06.072]  Also getting into January 6 with Jake Chansley at American Shaman on Twitter and his website is ForbiddenTruthAcademy.com.
[00:20:06.072 --> 00:20:14.016]  Arizona man Ray Epps plans to sue Joe Rogan after he repeats Fox News' Tucker Carlson claim that he was an informant during the Capitol riot.
[00:20:14.016 --> 00:20:14.796]  I've watched the video.
[00:20:15.487 --> 00:20:17.389]  Talked to Joe last night, too, about it.
[00:20:17.389 --> 00:20:19.371]  And Joe says, people are saying this.
[00:20:19.371 --> 00:20:21.233]  I don't know if Ramps is a Fed.
[00:20:21.233 --> 00:20:27.920]  All I know is he hasn't been arrested and all these other people that did less than him have been arrested and many of them put in prison.
[00:20:27.920 --> 00:20:29.501]  That's the Joe Rogan quote.
[00:20:29.501 --> 00:20:34.687]  Preposterous that they could win a suit, but you've seen what they've done to me, folks.
[00:20:34.687 --> 00:20:36.409]  Misrepresenting what I've said and done.
[00:20:36.409 --> 00:20:37.590]  So it's a very serious
[00:20:38.303 --> 00:20:40.544]  Situation there, and Joe's getting more hardcore every day.
[00:20:40.544 --> 00:20:46.586]  Joe Rogan can't imagine America wants President Kamala Harris, calls Newsom an effing con man.
[00:20:46.586 --> 00:20:57.451]  So Joe just gets better and better every day, and he is officially fully Alex Jones, fully red-pilled.
[00:20:57.451 --> 00:21:02.633]  So very, very, very, very exciting point that we are now at.
[00:21:02.633 --> 00:21:04.734]  Jake, wonderful having you on with us.
[00:21:05.862 --> 00:21:10.663]  Yesterday for that hour, but with commercial breaks we only had about 50 minutes.
[00:21:10.663 --> 00:21:35.289]  So now I'd like to have you go wherever you want on The New World Order, on The Nature of Reality, on The Globalist, on Where You Think They're Going, on The Ukraine War, on The Cashless Society, on Trump, but then interspersed between your hosting here, because I'm going to just be riding shotgun with you for the next hour and a half or so, I will also bring up some topics and play some Trump clips and things to what he's been saying and
[00:21:36.368 --> 00:21:41.434]  Well, actually, I could bring it all around as soon as I kind of lay some groundwork, if you like.
[00:21:41.434 --> 00:21:41.995]  You got the floor.
[00:21:41.995 --> 00:21:42.535]  Go ahead.
[00:21:42.535 --> 00:21:42.835]  Okay, cool.
[00:21:57.063 --> 00:22:09.074]  According to the HeartMath Institute, our DNA acts almost like an antenna, kind of like our brain acts like an antenna for what quantum physicists call non-local consciousness.
[00:22:09.074 --> 00:22:15.120]  They say that consciousness is not an emergent property of complex neural activity in the brain,
[00:22:16.604 --> 00:22:19.645]  Consciousness is kind of like the laws of physics.
[00:22:19.645 --> 00:22:21.306]  It's embedded in the universe.
[00:22:21.306 --> 00:22:28.168]  So consciousness is very like intricately and tightly knit into the fabric of reality itself.
[00:22:28.168 --> 00:22:30.148]  And they call this non-local consciousness.
[00:22:30.148 --> 00:22:35.970]  And they say that our DNA and our brains are like antenna for this non-local consciousness.
[00:22:35.970 --> 00:22:45.253]  We are sending and receiving light and information or electromagnetic signals through our DNA and through these antenna on our DNA and through our brain and brain activity.
[00:22:46.178 --> 00:22:55.161]  So what ends up activating this DNA is the emotions that we feel.
[00:22:55.161 --> 00:23:04.665]  So if we have a low frequency emotion, if we have a low frequency thought, then this creates a wave of fear in the electromagnetic field around the body.
[00:23:04.665 --> 00:23:05.285]  Okay?
[00:23:05.285 --> 00:23:10.407]  And when you do that, it activates far less of the antenna on the DNA.
[00:23:10.407 --> 00:23:13.748]  So when you then have a feeling of love,
[00:23:14.423 --> 00:23:24.088]  Then what ends up happening is that it's a much higher frequency emotion, a higher frequency thought, and far more antennae are activated on the DNA.
[00:23:24.088 --> 00:23:33.554]  Now, the other thing that happens is that the electromagnetic field around the body actually, during fear-based thoughts and emotions, it constricts and it gets tighter around the body.
[00:23:33.554 --> 00:23:37.816]  The DNA also really constricts and it tightens up and it degrades faster.
[00:23:37.816 --> 00:23:41.478]  Whereas in the case of love, the DNA actually expands.
[00:23:41.858 --> 00:23:44.779]  By the way, what you're saying, I just want to interrupt briefly.
[00:24:10.569 --> 00:24:12.050]  The quantum physicists all know this.
[00:24:12.050 --> 00:24:12.890]  This is not debated.
[00:24:12.890 --> 00:24:17.332]  When they observe neutrons or other particles, they do different things when they don't observe them.
[00:24:17.332 --> 00:24:20.813]  When people pray and look at a neutron, they've now learned it does different things.
[00:24:20.813 --> 00:24:27.216]  We are definitely having an effect, like the Force in Star Wars is a simple way of saying it.
[00:24:27.216 --> 00:24:28.576]  This is a real thing.
[00:24:28.576 --> 00:24:30.737]  Keep going.
[00:24:30.737 --> 00:24:33.258]  Yes, and that's why I practice shamanism.
[00:24:33.258 --> 00:24:37.440]  So, let's talk about cymatics for a second.
[00:24:37.941 --> 00:24:40.102]  I'm sure you're familiar with cymatics Alex.
[00:24:40.102 --> 00:24:41.182]  Yes.
[00:24:41.182 --> 00:24:47.845]  For those that aren't though, cymatics is basically the use of sound and frequencies to create certain patterns within mediums.
[00:24:47.845 --> 00:24:54.347]  So I'm sure many people have seen the video where somebody puts like grains of sand or grains of rice on like a metal plate or a speaker.
[00:24:55.267 --> 00:25:10.630]  And then what they do is they plug a sound into the speaker, they turn a frequency on, and then the frequency ends up causing the grains of rice to manifest in a pattern of sorts, because of the vibration that is being channeled through the speaker.
[00:25:10.630 --> 00:25:15.171]  Now, the higher the frequency, the more complex the pattern.
[00:25:15.171 --> 00:25:18.252]  The lower the frequency, the less complex the pattern.
[00:25:18.252 --> 00:25:22.573]  Now, if we look at Earth like it is the speaker,
[00:25:23.516 --> 00:25:28.178]  And we look at the electromagnetic field around the earth like it is the frequency.
[00:25:28.178 --> 00:25:40.502]  Then we as human beings, our civilizations, all life forms on the planet, end up basically being the grains of rice that are on the speaker and being moved by the frequency.
[00:25:40.502 --> 00:25:50.105]  Now this is really profound because if our thoughts and our emotions are electromagnetic frequencies that are tied into the electromagnetic field of the earth itself,
[00:25:50.945 --> 00:26:02.575]  Right, then it would make sense that our like we were saying about like the moon cycles and input people say about moon cycles and like how certain people have, you know,
[00:26:04.533 --> 00:26:13.782]  Women have their periods, or women give birth at a higher percentage rate during full moon cycles, or emergency rooms are more full during full moon cycles and stuff like that.
[00:26:13.782 --> 00:26:25.514]  And they've also done studies with mammals that even if women are between a wall and pheromones aren't able to go over, still the women's periods will sync up just because they're in proximity, showing that there is an interdimensional frequency.
[00:26:27.302 --> 00:26:28.843]  Yes, exactly.
[00:26:28.843 --> 00:26:39.706]  So, like I said, the Earth is the speaker, the electromagnetic field around the planet is the frequency, and the people and our civilizations are the grains of rice.
[00:26:39.706 --> 00:26:50.950]  Now, each and every new age, from, say, the age of Pisces to the age of Aquarius or something like that, yeah, see here, we're inexorably linked to the sacred geometry of the universe itself.
[00:26:50.950 --> 00:26:54.191]  Everything is a fractal in its pattern and in its structure.
[00:26:54.751 --> 00:27:08.554]  So, because we are a manifestation of the universe itself, because we are the universe looking at itself, we are made in the image of God, we are inexorably linked to this frequency that is creating all of reality.
[00:27:08.554 --> 00:27:11.475]  All of reality is based on cymatics.
[00:27:11.475 --> 00:27:15.196]  God was the word, the word was with God, right?
[00:27:15.196 --> 00:27:16.797]  Let there be light.
[00:27:16.797 --> 00:27:17.477]  What is a word?
[00:27:17.477 --> 00:27:18.417]  A word is sound.
[00:27:19.017 --> 00:27:26.881]  So all of reality is basically based on this notion of cymatics and energy being channeled through this feedback loop of light and information.
[00:27:26.881 --> 00:27:35.544]  It isn't just going through our bodies, but it's also going through the planet, through the vortexes on the planet, through the ley lines on the planet.
[00:27:35.544 --> 00:27:38.586]  It's also going through the sun and all of the planets in the solar system.
[00:27:38.586 --> 00:27:41.367]  It's going through the stars in the galaxy.
[00:27:41.367 --> 00:27:42.367]  It's going through the galaxy.
[00:27:42.367 --> 00:27:44.688]  It's going through all the galaxy and galaxy fields.
[00:27:44.688 --> 00:27:48.370]  It's going through the whole universe itself because everything is made up of energy.
[00:27:49.267 --> 00:27:54.471]  So, each and every single new age, you see here, human beings are kind of like in the middle.
[00:27:54.471 --> 00:28:01.937]  Human beings are in the middle of all this infinitely complex sacred geometric resonance frequencies.
[00:28:01.937 --> 00:28:04.759]  Everything is based on harmonics and mathematics.
[00:28:04.759 --> 00:28:12.065]  So, all the way down to the atomic and the quantum, all the way out to the universal and multiversal, it's all based on the same sacred geometry.
[00:28:12.065 --> 00:28:13.446]  It's all based on the same pattern.
[00:28:13.907 --> 00:28:16.371]  It's all based on cymatics, right?
[00:28:16.371 --> 00:28:21.842]  And based on the cymatic frequency of the universe, that will determine
