[00:00.000 --> 00:10.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[13:03.000 --> 13:11.000]  You woke up my husband. You woke up my daughter. You know, they woke me up and I'm saying, yes, that's great, but now you have to get involved.
[13:11.000 --> 13:17.000]  And it's great to come out to a Trump rally. And it's great to do it, but shoot a video. Talk about an issue.
[13:17.000 --> 13:25.000]  Reach out to your neighbors. Get them to vote because the illegal aliens are voting in mass. There's massive corruption taking place.
[13:25.000 --> 13:36.000]  And we could lose this election not because the country's not awake, but because they're mailing absentee ballots of people that have been dead for decades to people I know.
[13:36.000 --> 13:46.000]  Other talk show hosts we have online, Joel Gilbert and family, and it's all over the news that all over the country, everyone's getting these absentee ballots filled out in Spanish.
[13:46.000 --> 13:53.000]  So just imagine what's happening. The establishment is going all out, ladies and gentlemen.
[13:53.000 --> 14:03.000]  Now, you notice it was China 10 years ago in 2008 on this very day, two weeks out from the election, that stopped pumping money into its stock market.
[14:03.000 --> 14:09.000]  And then that triggered a bunch of stuff over here with Lehman Brothers and all the rest of that. But that was just the cover story.
[14:09.000 --> 14:17.000]  It was really in the China markets, the Asian markets. Same thing. China market drop leads world stocks lower. Yahoo News, AP.
[14:17.000 --> 14:26.000]  Global banking stocks are crashing hard just like they did in 2008. They're doing this ahead of the election. It's totally staged.
[14:26.000 --> 14:34.000]  That's coming up. Trump's incredible speech on nationalism and how it's freaking out the globalist and their leftist slaves.
[14:34.000 --> 14:44.000]  Obama goes and talks to a tiny crowd. They edit the video to be deceptive. Rubzreport.com is top link to us with the proof that he had a crowd of maybe a thousand people.
[14:44.000 --> 14:53.000]  Maybe. It's amazing. That is just some of the information we're going to be breaking down.
[14:53.000 --> 15:01.000]  Sacramento B admits the Democrats hire crisis actors to fill their stadiums and there's lawsuits now involved.
[15:01.000 --> 15:07.000]  We're going to be breaking all that down and more plus huge stacks of proof of massive election fraud.
[15:07.000 --> 15:16.000]  But before we go to break, remember, without you sharing the links, without you sharing the videos and articles at infowars.com on your email, your Facebook, your Twitter,
[15:16.000 --> 15:22.000]  we will not have a voice and this key tip of the spear American reboot will be destroyed.
[15:22.000 --> 15:29.000]  If you don't realize how earnest it is, how two minutes to midnight is and how you're critical, infowars.com.
[15:29.000 --> 15:35.000]  Whatever you do, keep sharing that with people and saying, this is the verboten information. This is what they don't want you to have.
[15:35.000 --> 15:41.000]  It truck stops and it colleges and on the street and it church infowars.com.
[15:41.000 --> 15:47.000]  The reboot of America is nothing where we've come so close, but we're still not over the top.
[15:47.000 --> 15:53.000]  And remember, our mega sale has to end this week. Free shipping store wide, 50% off on all the supplements.
[15:53.000 --> 15:58.000]  It has to end final days of the super sale.
[15:58.000 --> 16:05.000]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[16:05.000 --> 16:15.000]  But the symptoms are there. Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[16:15.000 --> 16:21.000]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[16:21.000 --> 16:25.000]  My blood pressure has normalized, my diabetes has totally improved.
[16:25.000 --> 16:30.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[16:30.000 --> 16:32.000]  I recommend heart and body extract to everyone.
[16:32.000 --> 16:40.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[16:40.000 --> 16:57.000]  Remember your two months supply today by calling 866-295-5305 or order online hbextract.com. Heart and body extract 866-295-5305 or hbextract.com.
[17:11.000 --> 17:17.000]  To find yours, visit Gusset.com. That's G-U-S-S-E-T.com.
[17:17.000 --> 17:23.000]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[17:23.000 --> 17:27.000]  In Liberty, David Hall, Diamond Gusset Gene Company.
[17:27.000 --> 17:34.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place.
[17:34.000 --> 17:37.000]  And what they don't steal will be destroyed.
[17:37.000 --> 17:41.000]  This year, resolve not to be the next victim of a break-in.
[17:41.000 --> 17:48.000]  Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[17:48.000 --> 17:53.000]  Security is a mindset and fake TV should be part of your security solution.
[17:53.000 --> 17:55.000]  Be vigilant, but not fearful.
[17:55.000 --> 17:57.000]  FakeTV.com
[17:57.000 --> 18:06.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[18:06.000 --> 18:10.000]  where the Chiapas farmers have spent years perfecting their techniques.
[18:10.000 --> 18:15.000]  Faced off hundreds of years of traditional techniques and perfect conditions,
[18:15.000 --> 18:22.000]  we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[18:22.000 --> 18:28.000]  Ancient Mayan knowledge is shared with the natural fertility of the land to generate the world's finest coffee beans.
[18:28.000 --> 18:33.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:33.000 --> 18:40.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:40.000 --> 18:44.000]  You can even choose to start your morning healthier with the immune support blend,
[18:44.000 --> 18:48.000]  infused with a powerful blend to support your immune response and stamina.
[18:48.000 --> 18:53.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show
[18:53.000 --> 18:59.000]  while enhancing your morning routine at infowarstore.com.
[18:59.000 --> 19:03.000]  InfoWarsLife is launching its newest product. We're really, really proud of it.
[19:03.000 --> 19:13.000]  It's a best source, prebiotic fiber, and it's got the very best concentrated fibers from berries and fruits
[19:13.000 --> 19:19.000]  and other compounds that have been known to be the very best for your body and for regularity and so much more.
[19:19.000 --> 19:24.000]  And it synergistically works with our 50 billion live active culture for a life,
[19:24.000 --> 19:29.000]  as well as MycoZX that targets the yeast, the mold, and the funguses in the gut.
[19:29.000 --> 19:34.000]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[19:34.000 --> 19:40.000]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[19:40.000 --> 19:44.000]  Doing this to introduce these products to you. Bodies sold out in a month.
[19:44.000 --> 19:50.000]  Strongest concentrated turmeric formula we can come up with. It's sold out for another month and a half.
[19:50.000 --> 19:53.000]  We sold it at 50% off till it's sold out.
[19:53.000 --> 20:11.000]  And I think it's going to be the same way with this fiber. Get yours today in FoursLife.com.
[20:23.000 --> 20:28.000]  Tonight it's Alex Jones.
[20:28.000 --> 20:38.000]  A globalist is a person that wants the globe to do well, frankly, not caring about our country so much.
[20:38.000 --> 20:44.000]  And you know what? We can't have that. You know, they have a word. It sort of became old fashioned.
[20:44.000 --> 20:49.000]  It's called a nationalist. And I say, really, we're not supposed to use that word.
[20:49.000 --> 20:57.000]  You know what I am? I'm a nationalist, okay? I'm a nationalist.
[20:57.000 --> 21:09.000]  National. Nothing. Use that word. Use that word.
[21:09.000 --> 21:13.000]  I would call in the military and I would seal off the border. I would close up the border.
[21:13.000 --> 21:21.000]  If that happens and if that continues to move forward, the caravan we're talking about, which is, I think, a man-made caravan.
[21:21.000 --> 21:26.000]  You want to know the truth. I think some bad people started that caravan.
[21:26.000 --> 21:33.000]  More importantly, or maybe almost as importantly, you have some very, very bad people in the caravan.
[21:33.000 --> 21:37.000]  You have some very tough criminal elements within the caravan.
[21:37.000 --> 21:41.000]  But I will seal off the border before they come into this country.
[21:41.000 --> 21:45.000]  I'll bring out our military. Not our reserves. I'll bring out our military.
[21:45.000 --> 21:51.000]  Donald Trump is an anti-Christ, this man says. If he doesn't repent, he's going to hell.
[21:51.000 --> 22:00.000]  We are not criminals. We are workers and fighters.
[22:00.000 --> 22:07.000]  We're live broadcasting worldwide. Thank you for joining us on this Tuesday edition.
[22:07.000 --> 22:12.000]  When I start the next segment, I'm going to do my very, very best to really focus here and really deliver the key message.
[22:12.000 --> 22:16.000]  I'm going to try hard.
[22:16.000 --> 22:21.000]  Because if Americans don't get this message, we're going to go to total slavery.
[22:21.000 --> 22:31.000]  We are being militarily and corporately conquered by a criminal global consortium that absolutely has it out to break our will and destroy our families
[22:31.000 --> 22:41.000]  because they have a metaphysical goal to destroy the potential of America and its Christian destiny.
[22:41.000 --> 22:47.000]  And they want to rob that destiny from you and your family.
[22:47.000 --> 22:53.000]  The Communist Chinese are deliberately plunging their stock market right now to bring ours down 14 days out from the election.
[22:53.000 --> 22:57.000]  That's clear. We predicted that that would happen.
[22:57.000 --> 23:02.000]  I said two weeks out from the election on record.
[23:02.000 --> 23:11.000]  And I also have clips coming up of them absolutely demonizing and attacking the president for calling himself a nationalist.
[23:11.000 --> 23:17.000]  We're going to play a longer clip of that coming up for you in the next segment.
[23:17.000 --> 23:22.000]  I'm tempted just to play old Trump's speech. That way it all gets out.
[23:22.000 --> 23:33.000]  And then I'm also going to get into what I think they're going to pull in the next 14 days before this election.
[23:33.000 --> 23:41.000]  Then we have a large stack of news in the final segment of this hour that is probably the most critical at this juncture.
[23:41.000 --> 23:47.000]  And that is the election fraud that's taking place for the Democrats publicly.
[23:47.000 --> 23:53.000]  And then there are bizarre denials about it and claiming that Trump is insanely making things up.
[23:53.000 --> 24:04.000]  So that is going to be coming up as well.
[24:04.000 --> 24:07.000]  So we're going to be breaking all of that down here today.
[24:07.000 --> 24:10.000]  But I'm going to say this again to listeners.
[24:10.000 --> 24:14.000]  Authoritarianism has come to this nation.
[24:14.000 --> 24:21.000]  The brainwashed left are living on another planet.
[24:21.000 --> 24:28.000]  And we can't just sit here and laugh at them anymore because they're organized with big corporations, big tech,
[24:28.000 --> 24:38.000]  the Communist Chinese, the unelected EU, the America Hating Hollywood in a coalition that hates this country and that hates your prosperity
[24:38.000 --> 24:45.000]  and is born and bred to try to take you down.
[24:45.000 --> 24:46.000]  That's who they are.
[24:46.000 --> 24:47.000]  They're the collaborators.
[24:47.000 --> 24:48.000]  They're the traders.
[24:48.000 --> 24:51.000]  And they have formed a giant army in this country.
[24:51.000 --> 24:57.000]  I'm going to say this very, very clearly to everybody right now.
[24:57.000 --> 25:04.000]  The Democratic Party and its affiliates and its supporters are globalists.
[25:04.000 --> 25:09.000]  They are multinational minions.
[25:09.000 --> 25:14.000]  They are the equivalent of enemy armies already in this country.
[25:14.000 --> 25:15.000]  And that's why they want open borders.
[25:15.000 --> 25:22.000]  And the leftist groups that the UN formed in Honduras and Guatemala by the hundreds of thousands,
[25:22.000 --> 25:28.000]  waving their foreign flags, burning American flags, calling the president the Antichrist,
[25:28.000 --> 25:37.000]  they are a leftist mob that says they are on a mission to take this country down.
[25:37.000 --> 25:43.000]  So this is the reality of what we're facing.
[25:43.000 --> 25:48.000]  And they want me off the air not because I'm inaccurate.
[25:48.000 --> 25:54.000]  They want me off the air because I am accurate.
[25:54.000 --> 26:00.000]  Eric Trump's wife made the point they're not trying to destroy my father because he's a loser.
[26:00.000 --> 26:11.000]  They're trying to destroy my father when he's trying to do because he is a winner.
[26:11.000 --> 26:18.000]  So that clip is coming up in the next segment as well.
[26:18.000 --> 26:20.000]  But this is really do or die.
[26:20.000 --> 26:25.000]  And the energy level in this country is so incredible and what's happening is so amazing.
[26:25.000 --> 26:29.000]  And the destiny we're choosing right now is so epic and intense.
[26:29.000 --> 26:32.000]  I just almost can't even be on air.
[26:32.000 --> 26:35.000]  It's just the epic times we're in.
[26:35.000 --> 26:38.000]  People overuse the term epic, but this is epic upon epic.
[26:38.000 --> 26:45.000]  And there's either people becoming more awake or people becoming more sluggish and more unconscious.
[26:45.000 --> 26:50.000]  And the amount of anti-human garbage going on is unprecedented.
[26:50.000 --> 26:55.000]  China has been having human animal clones in the laboratory for 30 years.
[26:55.000 --> 26:56.000]  That's admitted.
[26:56.000 --> 26:59.000]  I talk about it, mainstream media makes jokes about it.
[26:59.000 --> 27:03.000]  Now China is going to roll out on the market human clones.
[27:03.000 --> 27:06.000]  China has cloned 20 different dog breeds.
[27:06.000 --> 27:07.000]  Humans are next.
[27:07.000 --> 27:13.000]  They're going to bring two term and they're going to sell them.
[27:13.000 --> 27:16.000]  So that's being reported today by mainstream news.
[27:16.000 --> 27:18.000]  That's all coming up.
[27:18.000 --> 27:21.000]  So when we come back, I'm going to lay it all out as best I can.
[27:21.000 --> 27:23.000]  I'm going to get really focused here.
[27:23.000 --> 27:29.000]  And I'm going to go over the facts of what we face and the point we've reached.
[27:29.000 --> 27:32.000]  But think about how far we've come together.
[27:32.000 --> 27:38.000]  That we've got a president talking about nationalism versus globalism and human destiny versus tyranny.
[27:38.000 --> 27:40.000]  The only thing he said that wasn't true.
[27:40.000 --> 27:43.000]  Is that globalists care about the whole world, not their own nation state.
[27:43.000 --> 27:46.000]  So globalists are multinational corporations that don't pay taxes.
[27:46.000 --> 27:51.000]  They play authoritarian countries off against once free countries in their own white papers and admissions.
[27:51.000 --> 27:56.000]  It is a 21st century corporate technocracy takeover in their own words.
[27:56.000 --> 27:58.000]  It is pure evil.
[27:58.000 --> 28:05.000]  Now, your financial support of this broadcast is just as critical as you spreading the articles, the videos.
[28:05.000 --> 28:13.000]  You want to win, that's what you got to do and it's fun to do because it absolutely overrides the evil will of George Soros and others.
[28:13.000 --> 28:26.000]  But the financial support is critical and we make it easy with great award-winning products, highest rated products, T-shirts, books, films, air filters, water filters, all the best systems and great supplements, free shipping store-wide,
[28:26.000 --> 28:34.000]  50% off on all the supplements, 35% off on high quality, storeable food, but the specials have to end in the next few days.
[28:34.000 --> 28:38.000]  It's Christmas, it's Black Friday, everything rolled into one.
[28:38.000 --> 28:42.000]  They've been trying to shut us down so I need to get rid of a lot of our inventory we had going into Christmas.
[28:42.000 --> 28:49.000]  But we have gotten extra payment processors by the glory of God and so now we're going to have to back up on these super specials.
[28:49.000 --> 29:05.000]  But thank you all for the support, take advantage of them right now at infowarstore.com or AAA-253-3139, whatever you do, take action.
[29:19.000 --> 29:22.000]  This event is the first of its kind ever.
[29:22.000 --> 29:38.000]  John Boehner and an esteemed panel will reveal which cannabis stocks are primed to deliver life-changing windfalls in the weeks and months ahead.
[29:38.000 --> 29:47.000]  Plus, they will show you how to become a cannabis angel investor backing the hottest startups before they potentially become worth billions of dollars.
[29:47.000 --> 29:52.000]  To join American Cannabis Summit, text JOIN to 44055.
[29:52.000 --> 29:54.000]  Attendance is free.
[29:54.000 --> 29:58.000]  Text JOIN to 44055.
[29:58.000 --> 30:01.000]  We all know the importance of fish oils.
[30:01.000 --> 30:07.000]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[30:07.000 --> 30:12.000]  Honor Roll is a powerful DHA fish oil formula for your child.
[30:12.000 --> 30:15.000]  Built from the ground up to support your child's development.
[30:15.000 --> 30:25.000]  This formula uses wild anchovy fish oil, ultrapurified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[30:25.000 --> 30:33.000]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA,
[30:33.000 --> 30:37.000]  which has been shown to be essential for your child's brain growth spurts.
[30:37.000 --> 30:47.000]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[30:47.000 --> 30:51.000]  If you're looking for a formula to help your child grow, look no further.
[30:51.000 --> 30:58.000]  Try Honor Roll from InfowarsLife at InfowarsStore.com.
[30:58.000 --> 31:07.000]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck even take your dog for a walk.
[31:07.000 --> 31:13.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day,
[31:13.000 --> 31:18.000]  but thanks to SupermailVitality at InfowarsStore.com, I still have that energy.
[31:18.000 --> 31:24.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water,
[31:24.000 --> 31:29.000]  to fight back against the modern-day lifestyle with the screen time and the extended hours,
[31:29.000 --> 31:39.000]  to still have the stamina and endurance, energy and drive, to get to the gym, get to the park and get exercise that you need for your health.
[31:39.000 --> 31:43.000]  So go to InfowarsStore.com and get SupermailVitality before it's gone.
[31:43.000 --> 31:51.000]  This is actually our last run of SupermailVitality, so I want you to experience SupermailVitality before it's too late.
[31:51.000 --> 31:58.000]  Unleash the Supermail and use SupermailVitality at InfowarsStore.com.
[32:21.000 --> 32:26.000]  We've already had incredible success, but if you will simply realize how epic this is
[32:26.000 --> 32:30.000]  and understand how real this fight is and why we've been made the main target,
[32:30.000 --> 32:36.000]  and if you financially support us and if you spread the word about our articles and videos at Infowars.com,
[32:36.000 --> 32:41.000]  we won't just continue to stand up against these brutal scumbags, we'll win.
[32:41.000 --> 32:44.000]  We have huge sales at InfowarsStore.com right now,
[32:44.000 --> 32:51.000]  and we're still able to operate the shopping cart, get stuff shipped out to you, despite the fact that we're trying to block our commerce and you're right to the market.
[32:51.000 --> 32:55.000]  But if you don't stand up and support us financially, Sorrel's the global Spain win.
[32:55.000 --> 33:18.000]  This is Infowars Darker Sour, with your support, I'm counting on you.
[33:25.000 --> 33:46.000]  The Alex Jones Show, because there is a war on, or you will mind.
[33:46.000 --> 33:53.000]  We're 14 days out. You can cut the suspense with a knife in the air.
[33:53.000 --> 33:59.000]  And if you think things are positive, they are.
[33:59.000 --> 34:08.000]  It's like, Grandpa has a heart attack and he gets defibrillated and he comes back to life, but he's still got heart problems.
[34:08.000 --> 34:14.000]  See, countries aren't like people, they can be reborn, they can have true turning points.
[34:14.000 --> 34:36.000]  And we're at a major political and cultural and spiritual realignment, a renewal, and the globalist forces that had pretty much conquered this nation to a great extent still have major beachheads in our culture, in our souls, in our minds, in our families, in our systems.
[34:36.000 --> 34:44.000]  And they know that like the proverbial face sucker in Alien, they're being removed from our face.
[34:44.000 --> 35:01.000]  And so they're getting very, very aggressive and very, very bullying, and they're censoring, and they're engaged in every form of authoritarianism, and they're using every excuse that authoritarians always use for their censorship, for their violence, for their brutality,
