[00:00:05.635 --> 00:00:06.136]  Stand by.
[00:07:09.444 --> 00:07:14.149]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[00:07:14.149 --> 00:07:15.671]  It is produced by extracting oil.
[00:07:15.851 --> 00:07:18.913]  From healthy, nutrient-dense plants known as lichens.
[00:07:18.913 --> 00:07:21.955]  Every batch is analyzed for purity and D3 content.
[00:07:21.955 --> 00:07:24.376]  It's completely free of toxins and allergens.
[00:07:24.376 --> 00:07:27.938]  Simply put, if you want the best at an extremely low price, this is it.
[00:07:27.938 --> 00:07:31.821]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[00:07:31.821 --> 00:07:40.486]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[00:07:40.846 --> 00:07:45.887]  Read the facts at InfoWarsLife.com about Winter Sun, Vitamin D3.
[00:07:45.887 --> 00:07:51.829]  Not only does Vitamin D3 promote a healthy mood, but Vitamin D supports our memory and brain function.
[00:07:51.829 --> 00:07:53.970]  Something the globalists are targeting.
[00:07:53.970 --> 00:07:56.590]  Visit InfoWars.com today or call 888-253-3139.
[00:08:04.122 --> 00:08:05.643]  It's never gonna get any better.
[00:08:05.643 --> 00:08:06.804]  Don't look for it.
[00:08:06.804 --> 00:08:09.065]  Be happy with what you got.
[00:08:09.065 --> 00:08:12.667]  Because the owners of this country don't want that.
[00:08:12.667 --> 00:08:14.729]  I'm talking about the real owners now.
[00:08:14.729 --> 00:08:15.870]  The real owners.
[00:08:15.870 --> 00:08:20.773]  The big wealthy business interests that control things and make all the important decisions.
[00:08:20.773 --> 00:08:22.214]  Forget the politicians.
[00:08:22.214 --> 00:08:27.057]  The politicians are put there to give you the idea that you have freedom of choice.
[00:08:27.057 --> 00:08:27.477]  You don't.
[00:08:28.274 --> 00:08:29.635]  You have no choice.
[00:08:29.635 --> 00:08:30.855]  You have owners.
[00:08:30.855 --> 00:08:33.136]  They own you.
[00:08:33.136 --> 00:08:34.677]  They own everything.
[00:08:34.677 --> 00:08:36.678]  They own all the important land.
[00:08:36.678 --> 00:08:38.459]  They own and control the corporations.
[00:08:38.459 --> 00:08:41.941]  They've long since bought and paid for the Senate, the Congress, the State Houses, the City Halls.
[00:08:41.941 --> 00:08:43.842]  They got the judges in their back pockets.
[00:08:43.842 --> 00:08:48.844]  And they own all the big media companies, so they control just about all of the news and information you get to hear.
[00:08:48.844 --> 00:08:50.465]  They got you by the balls!
[00:08:51.966 --> 00:08:54.468]  They want obedient workers.
[00:08:54.468 --> 00:08:56.329]  Obedient workers.
[00:08:56.329 --> 00:09:09.097]  People who are just smart enough to run the machines and do the paperwork, and just dumb enough to passively accept jobs with the lower pay, the longer hours, the reduced benefits, the end of overtime, and the vanishing pension that disappears the minute you go to collect it.
[00:09:09.097 --> 00:09:12.820]  And now, they're coming for your social security money.
[00:09:12.820 --> 00:09:16.882]  So they can give it to their criminal friends on Wall Street.
[00:09:16.882 --> 00:09:17.783]  It's a big club.
[00:09:18.777 --> 00:09:19.758]  And you ain't in it.
[00:09:19.758 --> 00:09:25.481]  And you said recently, quote, when you give, they do whatever the hell you want them to do.
[00:09:25.481 --> 00:09:26.462]  You better believe it.
[00:09:26.462 --> 00:09:28.784]  So what specifically did they do?
[00:09:28.784 --> 00:09:33.947]  If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand.
[00:09:33.947 --> 00:09:35.408]  A lot of money.
[00:09:35.408 --> 00:09:38.470]  You and I are not in the big club.
[00:09:38.470 --> 00:09:41.051]  The owners of this country know the truth.
[00:09:41.051 --> 00:09:44.754]  It's called the American dream, because you have to be asleep to believe it.
[00:09:46.181 --> 00:09:48.043]  But I'll tell you what they don't want.
[00:09:48.043 --> 00:09:51.547]  They don't want a population of citizens capable of critical thinking.
[00:09:51.547 --> 00:09:55.512]  They don't want well-informed, well-educated people capable of critical thinking.
[00:09:55.512 --> 00:09:56.733]  They're not interested in that.
[00:09:56.733 --> 00:09:58.055]  That doesn't help them.
[00:09:58.055 --> 00:09:59.917]  That's against their interest.
[00:09:59.917 --> 00:10:00.598]  That's right.
[00:10:00.598 --> 00:10:05.583]  From the front lines of the information war, it's Alex Jones.
[00:10:08.339 --> 00:10:20.664]  And that's George Carlin, another great intro produced by InfoWars' own Darren McBreen, bringing us in to this live Tuesday, the 15th day of December, global broadcast.
[00:10:20.664 --> 00:10:36.310]  Hard to believe, again, that 2015 is almost over, but in just 15 and a half days, it will be history, and we will plunge into 2016, and even more critical developments will clearly unfold as we plunge into world government.
[00:10:38.868 --> 00:10:48.313]  You see, George Carlin was talking about how the owners, the globalists, wanted dumbed-down, mindless, poor servants decades ago.
[00:10:48.313 --> 00:11:04.442]  But the decision has been made, and it's been in Wired Magazine, and the New York Times, and the Financial Times of London, and in books by Ray Kurzweil, and in articles by Bill Joy, and now it's pretty much in the news every day, what I was talking about 18, 19 years ago.
[00:11:07.418 --> 00:11:16.445]  The global architects are building a planet and building a world system meant to phase out 90 plus percent of humanity as we know it.
[00:11:16.445 --> 00:11:19.127]  Now that's the public numbers.
[00:11:19.127 --> 00:11:33.238]  Deeper internal discussions are about exterminating all humans and a few mega super elites battling for control of the new AI consciousness over who will become God.
[00:11:33.238 --> 00:11:34.979]  Ray Kurzweil is an atheist.
[00:11:34.979 --> 00:11:36.400]  He says he doesn't believe in God yet.
[00:11:38.817 --> 00:11:44.581]  Now, whether you believe they're going to be able to do this or not, this is their idea.
[00:11:44.581 --> 00:11:46.583]  This is what they're pushing.
[00:11:46.583 --> 00:11:48.344]  This is what they want.
[00:11:48.344 --> 00:11:50.346]  This is what they discuss.
[00:11:50.346 --> 00:11:53.788]  Elon Musk is in the news, and I'm not saying he's one of the bad ones.
[00:11:53.788 --> 00:11:58.612]  He's probably one of the better elites, because he's new money.
[00:11:58.612 --> 00:12:03.056]  He's saying, hey, there's going to be a third world war.
[00:12:03.056 --> 00:12:04.296]  We're probably going to kill the planet.
[00:12:04.296 --> 00:12:06.018]  We've got to get space bases now.
[00:12:06.018 --> 00:12:07.259]  We've got to get to Mars now.
[00:12:08.322 --> 00:12:13.745]  Headline, Elon Musk worries Third World War would ruin Mars mission.
[00:12:13.745 --> 00:12:21.369]  Buddy, the weapons the Pentagon's got now, they're not even sure because they can't test them, might blow up the whole solar system.
[00:12:21.369 --> 00:12:26.451]  A-bombs were developed, the idea, the formulae, in 1900 by Max Planck.
[00:12:26.451 --> 00:12:28.392]  We're not in 1900.
[00:12:28.392 --> 00:12:31.874]  You can blow up whole cities in 1900 with the equations.
[00:12:31.874 --> 00:12:35.796]  The equations now blow up whole solar systems.
[00:12:35.796 --> 00:12:37.217]  It's called antimatter weapons.
[00:12:38.646 --> 00:12:42.508]  And it makes a hydrogen bomb look like a tinker toy.
[00:12:42.508 --> 00:12:53.773]  Look like a dart gun that a five-year-old has that, you know, shoots rubber darts at the stained glass window.
[00:12:53.773 --> 00:12:56.994]  And the Air Force admits they've developed antimatter weapons.
[00:12:56.994 --> 00:13:02.477]  It's kind of like Putin will leak some nuclear submarine torpedo that can take out U.S.
[00:13:02.477 --> 00:13:03.597]  cities.
[00:13:03.597 --> 00:13:05.498]  He'll leak it on accident last month.
[00:13:05.498 --> 00:13:07.299]  Well, the Pentagon's leaked.
[00:13:09.233 --> 00:13:12.394]  Now, let's go ahead and just mention what's coming up in the news today.
[00:13:12.394 --> 00:13:14.834]  I think that's probably important to do right up front.
[00:13:38.646 --> 00:13:40.447]  Michael Springman, who headed up the U.S.
[00:13:40.447 --> 00:13:50.573]  Visa Department in Saudi Arabia, who exposed that they were ordered to let the hijackers into the United States and were told that they were CIA officers.
[00:13:50.573 --> 00:13:54.736]  Not just assets, but members of the CIA.
[00:13:54.736 --> 00:13:59.879]  The book is Visas for Al Qaeda, CIA handouts that rock the world.
[00:13:59.879 --> 00:14:02.561]  We sell the book at infowarestore.com, I would add.
[00:14:04.173 --> 00:14:06.454]  And why is that guest so important?
[00:14:06.454 --> 00:14:07.795]  I'll explain that in a moment.
[00:14:07.795 --> 00:14:11.237]  Then Wayne Madsen with big election news joins us in the third hour.
[00:14:11.237 --> 00:14:20.263]  Jacari Jackson will be hosting the fourth hour today and he's got a big show he's developing so before he comes on I'll give you a rundown of what's coming up in the fourth hour.
[00:14:20.263 --> 00:14:30.249]  Then tonight we'll have at least three hours of live coverage and I intend to be part of the coverage tonight of the final Republican debate
[00:14:31.661 --> 00:14:43.325]  Of 2015, from Las Vegas, Nevada, the big showdown between Ted Cruz and Donald Trump, the media hyping it like a heavyweight championship.
[00:14:43.325 --> 00:14:50.247]  Ted Cruz has basically had a couple knockouts, a couple technical knockouts, and has been knocked out himself.
[00:14:50.247 --> 00:14:57.169]  And then Donald Trump has equivalent of like 20 knockouts and is a heavyweight champion, if you want to compare their poll numbers.
[00:14:58.422 --> 00:15:05.484]  But they're billing Cruz as if he's surging and could beat Trump because they want that to become a self-fulfilling prophecy.
[00:15:05.484 --> 00:15:07.305]  I like Ted Cruz overall.
[00:15:07.305 --> 00:15:09.706]  I like 95% of what he stands for.
[00:15:09.706 --> 00:15:10.966]  Same thing with Donald Trump.
[00:15:10.966 --> 00:15:13.147]  There's some things I don't like.
[00:15:13.147 --> 00:15:23.850]  But I'll tell you, Rand Paul, Ted Cruz, or Donald Trump are leagues, levels, dimensions, light years better.
[00:15:25.731 --> 00:15:29.714]  Then a Hillary Clinton, a Bernie Sanders, or a Jeb Bush.
[00:15:29.714 --> 00:15:34.097]  I will not vote for any of those people, and I will support third-party move.
[00:15:34.097 --> 00:15:36.899]  Because a Hillary getting in would be better than a Jeb Bush.
[00:15:36.899 --> 00:15:43.984]  Jeb Bush gets in, everybody goes, sleepy time, like Sleeping Beauty, and the whole agenda gets rammed through and we're done.
[00:15:43.984 --> 00:15:46.666]  He's roping borders, taking our guns, you name it.
[00:15:46.666 --> 00:15:49.948]  But a lot of Republicans just want to feel like they're on a winning team.
[00:15:49.948 --> 00:15:53.551]  They will go into sleeping time.
[00:15:53.551 --> 00:15:54.572]  They will go bye-bye.
[00:15:55.677 --> 00:16:06.601]  Hillary gets in, she's got so much baggage, so much corruption, Benghazi, all the rest of it, that she will get impeached, she will get destroyed.
[00:16:06.601 --> 00:16:09.263]  I know they'll play the whole feminine card that, oh, you don't like women.
[00:16:09.263 --> 00:16:11.844]  No, I love women!
[00:16:11.844 --> 00:16:17.146]  And I love women in positions of power, if they're not criminal, scumbag, crazy people.
[00:16:17.146 --> 00:16:20.047]  And Hillary Clinton is probably one of the most evil women that has ever lived.
[00:16:20.865 --> 00:16:27.687]  What she did to Libya, what she's done to so many other countries, what she did with the banker bailouts, how they engineered that when Clinton was in.
[00:16:27.687 --> 00:16:31.848]  I mean, Clinton was running around having sex with women all day and hanging out with world leaders.
[00:16:31.848 --> 00:16:33.888]  I'm not saying he was a good guy, he was horrible.
[00:16:33.888 --> 00:16:36.549]  But Hillary was actually in there honchoing stuff.
[00:16:36.549 --> 00:16:39.210]  Hillary was basically president when Bill was in.
[00:16:39.910 --> 00:16:54.259]  She's the one that really calls the shots, that calls for the murders, that calls, you know, covers up the rapes, that sells the missile secrets, that runs the State Department with billions of dollars coming in to give dictators weapons.
[00:16:54.259 --> 00:16:58.702]  I mean, she really is anathema to anything good and decent, so that's coming up.
[00:17:00.336 --> 00:17:18.804]  Tonight, seven o'clock central, there'll be a big link at the top of InfoWars.com, a big banner, a big, I guess, chevron or symbol or logo up in the right-hand corner that you click to and go to a page where there'll be a free feed of the InfoWars Expanded Nightly News.
[00:17:18.804 --> 00:17:21.785]  It'll go for at least three hours, probably seven to ten tonight.
[00:17:23.257 --> 00:17:32.002]  I intend to be doing live reports, just so it has a different flair from my home office.
[00:17:32.002 --> 00:17:38.406]  During the reports, I will be Skyping in to the show to comment.
[00:17:38.406 --> 00:17:41.008]  Joe Biggs will be going over Twitter and Facebook comments.
[00:17:41.008 --> 00:17:43.790]  So will Darren McBreen from one of the other studios.
[00:17:43.790 --> 00:17:48.753]  Jakari Jackson, David Knightley, Ian McAdoo and others will be in here in the studio along with Rob Dube.
[00:17:49.787 --> 00:17:56.434]  And again, it will be the debate, but we talk over it, about half of it, and analyze it in live time.
[00:17:56.434 --> 00:18:03.621]  That's how we can legally and lawfully do it, is because we are not entertainment, we are news gathering.
[00:18:03.621 --> 00:18:10.949]  And we're going to be analyzing the debate, the media propaganda, the spin, the questions in live time.
[00:18:10.949 --> 00:18:11.810]  Nobody else does this.
[00:18:13.257 --> 00:18:16.178]  Seven o'clock Central Standard Time tonight.
[00:18:16.178 --> 00:18:19.799]  And we also do analysis of State of the Union, many other events, others do that.
[00:18:19.799 --> 00:18:23.021]  All right, that said, Michael Springman, who headed up the U.S.
[00:18:23.021 --> 00:18:35.205]  Visa Department in the main Saudi Arabian office, will be joining us, author and constitutional lawyer, because look at these bombshells.
[00:18:35.205 --> 00:18:40.087]  Immigration officials prohibited from looking at visa applicants' social media.
[00:18:41.650 --> 00:18:46.973]  Where they were saying, I'm going to carry out a jihad, I've been in terror training camps, I pledge allegiance to ISIS.
[00:18:46.973 --> 00:18:48.654]  Folks, that's just not true.
[00:18:48.654 --> 00:18:50.435]  They track everything our reporters do.
[00:18:50.435 --> 00:18:57.919]  We try to go cover jihad camps, Homeland Security's there, calling our folks up and telling them exactly where they are on what highway.
[00:18:57.919 --> 00:19:04.623]  Because they're tracking their phones in real time, they're tracking the vehicles in real time, they're tracking the car with license plate reading cameras.
[00:19:04.623 --> 00:19:06.324]  It's total horse manure.
[00:19:07.622 --> 00:19:08.602]  They are tracking.
[00:19:08.602 --> 00:19:10.483]  When they say they don't track, that's a lie.
[00:19:10.483 --> 00:19:18.965]  They had FBI agents on them, the both of them, two years ago, tracking them for a year, and the Justice Department almost indicted them.
[00:19:18.965 --> 00:19:24.906]  It came out in the news last week, and it was looking at criminal charges against them, basically, and shut their investigation down.
[00:19:24.906 --> 00:19:27.107]  The White House protects these people.
[00:19:27.107 --> 00:19:31.348]  This is part of a plan.
[00:19:31.348 --> 00:19:31.668]  U.S.
[00:19:31.668 --> 00:19:32.788]  visas continue to be
[00:19:34.378 --> 00:19:36.799]  Handled by foreign contractors.
[00:19:36.799 --> 00:19:39.580]  Lane Madsen, Infowars.com story.
[00:19:39.580 --> 00:19:41.821]  That ties in with this, the Hill story.
[00:19:41.821 --> 00:19:43.882]  Here's another one, the biggest.
[00:19:43.882 --> 00:19:51.444]  Hackers trace ISIS Twitter accounts back to internet addresses linked to the Department of Work and Pensions, the UK government.
[00:19:51.444 --> 00:19:55.166]  And it's not just that they're in there using them, that's a government front.
[00:19:55.166 --> 00:19:58.047]  The British government runs ISIS, it's well known.
[00:20:00.866 --> 00:20:02.187]  911, what is your emergency?
[00:20:02.187 --> 00:20:03.688]  There's somebody in my house.
[00:20:03.688 --> 00:20:04.968]  Hurry, please.
[00:20:04.968 --> 00:20:07.930]  A home break-in happens every 22 seconds.
[00:20:07.930 --> 00:20:12.353]  Homes without a security system are up to three times more vulnerable to a burglary.
[00:20:12.353 --> 00:20:14.274]  That's why they're SimpliSafe.
[00:20:14.274 --> 00:20:19.277]  In an emergency, our advanced wireless technology alerts police up to 10 times faster.
[00:20:19.277 --> 00:20:24.900]  And your connection to emergency services can't be cut because SimpliSafe doesn't rely on landlines.
[00:20:25.160 --> 00:20:28.623]  SimplySafe costs less than half what traditional companies charge.
[00:20:28.623 --> 00:20:32.547]  Just $14.99 a month and there's no commitment to an annual contract.
[00:20:32.547 --> 00:20:35.689]  Protect your family with the highest caliber security.
[00:20:35.689 --> 00:20:42.275]  Go now to SimplySafeDefense.com and get 10% off with free shipping and a three-year warranty.
[00:20:42.535 --> 00:20:46.301]  Hurry and you'll also receive a keychain remote worth $25.
[00:20:46.301 --> 00:20:48.604]  Try SimpliSafe for a full 60 days.
[00:20:48.604 --> 00:20:52.209]  You'll feel confident that your family is safe or your money back.
[00:20:52.209 --> 00:20:55.994]  Go to SimpliSafeDefense.com right now.
[00:20:55.994 --> 00:20:58.238]  SimpliSafeDefense.com
[00:21:01.246 --> 00:21:02.807]  We've all heard the news stories.
[00:21:02.807 --> 00:21:03.927]  Another shooting.
[00:21:03.927 --> 00:21:05.628]  And they're getting worse.
[00:21:05.628 --> 00:21:09.209]  That's why Infidel Body Armor introduces Infidel Fridays.
[00:21:09.209 --> 00:21:14.211]  Exclusive 24-hour insider deals to save you money and possibly save your life.
[00:21:14.211 --> 00:21:17.493]  Make it a favorite when you log on to InfidelBodyArmor.com.
[00:21:17.493 --> 00:21:23.375]  Then be sure to visit each and every Infidel Friday to get special insider pricing, but for 24 hours only.
[00:21:23.375 --> 00:21:25.316]  That's InfidelBodyArmor.com.
[00:21:25.316 --> 00:21:28.017]  Infidel Body Armor just won't quit.
[00:21:30.325 --> 00:21:37.428]  As the cold and flu season approaches, Silver Lungs is ready to help you and your family through the toughest of the year by supporting your immune system and overall health.
[00:21:37.428 --> 00:21:44.291]  From our best-selling colloidal silver generating system to our entire line of silver-based skin gels, nasal sprays, soaps, and silver solutions.
[00:21:44.291 --> 00:21:49.093]  Silver solutions remain one of nature's most powerful and least expensive antibacterial agents.
[00:21:49.093 --> 00:21:55.536]  Now you can produce your own for pennies a day in the comfort of your home using the breakthrough technology of the Silver Lungs Generator.
[00:21:55.536 --> 00:21:58.678]  Learn more today at www.SilverLungs.com.
[00:21:59.474 --> 00:22:02.779]  My name is Bill Bonner, and I have an important message.
[00:22:02.779 --> 00:22:10.569]  Right now, the highest levels of government are struggling against an inevitable crisis, but they're about to lose control.
[00:22:10.569 --> 00:22:15.516]  When this happens, it will rip our country apart in ways you never imagined.
[00:22:15.856 --> 00:22:20.460]  From where we shop to the doctors you visit and the family you want to protect.
[00:22:20.460 --> 00:22:22.842]  Look, I've made predictions like this before.
[00:22:22.842 --> 00:22:26.685]  A few years ago, I warned that the housing prices would collapse.
[00:22:26.685 --> 00:22:30.108]  Before that, I warned that dot-com companies would crash.
[00:22:30.108 --> 00:22:31.209]  And they did.
[00:22:31.209 --> 00:22:34.331]  Those who listened had a chance to save themselves.
[00:22:34.331 --> 00:22:36.934]  But this has nothing to do with the stock market.
[00:22:36.934 --> 00:22:38.795]  This will affect us all.
[00:22:38.795 --> 00:22:42.258]  I've posted a free video at DollarDanger.com.
[00:22:43.499 --> 00:22:49.883]  Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:22:49.883 --> 00:22:56.007]  You can watch the video for free right now by going to DollarDanger.com.
[00:22:56.007 --> 00:22:57.988]  Again, that's DollarDanger.com.
[00:22:59.790 --> 00:23:00.611]  This is Dan Pilla.
[00:23:00.611 --> 00:23:02.412]  Do you have the IRS money you can't pay?
[00:23:02.412 --> 00:23:04.053]  Are tax debts crippling you?
[00:23:04.053 --> 00:23:06.875]  I've defended people from the IRS for over 30 years.
[00:23:06.875 --> 00:23:09.176]  I've helped thousands and I can help you too.
[00:23:09.176 --> 00:23:13.679]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:23:13.679 --> 00:23:17.621]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:23:17.621 --> 00:23:21.404]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:23:21.404 --> 00:23:21.824]  Call 800-34-NO-TAX.
[00:23:21.824 --> 00:23:23.145]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:23:29.312 --> 00:23:30.132]  This is Dan Pilla.
[00:23:30.132 --> 00:23:31.913]  Do you owe the IRS money you can't pay?
[00:23:31.913 --> 00:23:33.573]  Are tax debts crippling you?
[00:23:33.573 --> 00:23:36.394]  I've defended people from the IRS for over 30 years.
[00:23:36.394 --> 00:23:38.674]  I've helped thousands and I can help you too.
[00:23:38.674 --> 00:23:43.195]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:23:43.195 --> 00:23:47.136]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:23:47.136 --> 00:23:50.917]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:23:50.917 --> 00:23:51.337]  Call 800-34-NO-TAX.
[00:23:51.337 --> 00:23:52.958]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:24:04.235 --> 00:24:20.695]  Coming up in the next segment, I'm going to drill into the fact that Congress has been drilling DHS over the fact that the no-fly list is a total fraud.
[00:24:22.936 --> 00:24:32.459]  And the North Carolina governor and others are coming out saying the feds won't tell us where or who they're bringing in to the United States, and then they just disappear.
[00:24:32.459 --> 00:24:35.580]  Even the ones that don't have visas.
[00:24:35.580 --> 00:24:37.840]  This is deliberate.
[00:24:37.840 --> 00:24:39.381]  That's coming up in the next segment.
[00:24:39.381 --> 00:24:44.662]  Immigration officials prohibited from looking at visa applicant social media.
