[00:00.000 --> 00:11.000]  We are on the March. The Empire is on the run. Alex Jones and the GCN Radio Network.
[05:21.000 --> 05:32.000]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[05:32.000 --> 05:38.000]  Super male vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[05:38.000 --> 05:45.000]  I jump out of bed ready to fight these criminals every day. I look forward to waking up and taking my super male vitality and get the day started.
[05:45.000 --> 05:51.000]  Not just the super male vitality, all the products in InfoWarsLife.com are simply amazing.
[05:51.000 --> 06:17.000]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[06:17.000 --> 06:24.000]  Dr. Martin Luther King, the apostle of non-violence in the civil rights movement has been shot to death in Memphis, Tennessee.
[06:24.000 --> 06:39.000]  Dr. Martin Luther King, the apostle of non-violence in the civil rights movement has been shot to death in Memphis, Tennessee.
[06:39.000 --> 06:47.000]  People calling themselves members of the weather underground last night planted bombs in federal office buildings in Washington and Oakland, California.
[06:47.000 --> 06:51.000]  They took the babies out of incubators and left their children to die on the cold floor.
[06:51.000 --> 07:02.000]  Survivors of the USS Liberty are demanding a congressional investigation into what happened and acknowledgment that the Israeli Air Force bombs a U.S. intelligence Navy ship.
[07:02.000 --> 07:07.000]  The death of bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[07:07.000 --> 07:17.000]  The Taliban is taking responsibility for shooting down a U.S. helicopter. More than 30 people were killed and there are reports this morning that most of them are U.S. Navy SEALs.
[07:17.000 --> 07:25.000]  There may be a false flag incident where some ship goes down and you'd be used for the excuse to accelerate the next war.
[07:25.000 --> 07:32.000]  If there's one thing that has unified Democrats and Republicans and everybody in between, it's that we all hate that the bank bail out.
[07:32.000 --> 07:36.000]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[07:36.000 --> 07:40.000]  It comes out to like 1.6 billion rounds of ammunition.
[07:40.000 --> 07:46.000]  Today, it is infinitely easier to kill a million people than to control a million people.
[07:46.000 --> 07:51.000]  They estimated that they would have to eliminate 25 million people in these reeducations.
[07:51.000 --> 07:53.000]  And when I say eliminate, I mean kill.
[07:53.000 --> 07:57.000]  I'm here to warn people. You keep telling me to shut up. This isn't a game.
[07:57.000 --> 08:05.000]  From the front lines of the Information War, it's Alex Jones.
[08:05.000 --> 08:12.000]  We're live, ladies and gentlemen. It is the 20th day of July, 2014.
[08:12.000 --> 08:19.000]  I am your host, Alex Jones. We're going to be here as we are every Sunday from 4 to 6 p.m. Central Standard Time.
[08:19.000 --> 08:27.000]  Shumblecast on over 90 AM and FM affiliates on the Sunday show and also going out on Global Shortwave.
[08:27.000 --> 08:33.000]  Number one political podcast is free and you can subscribe at infowars.com.
[08:33.000 --> 08:40.000]  We also have video feeds at infowars.com forward slash show with a full television production, not just radio.
[08:40.000 --> 08:50.000]  And, of course, the weekday show has over 100 and 60 AM and FM affiliates and it airs 11 a.m. to 2 p.m. or 12 noon to 3 p.m.
[08:50.000 --> 08:54.000]  Eastern, 11 a.m. to 2 p.m. Central Standard Time.
[08:54.000 --> 09:00.000]  So, again, ladies and gentlemen, thank you so much for joining us today.
[09:00.000 --> 09:05.000]  First off, for regular listeners, you can attest to this.
[09:05.000 --> 09:11.000]  If you're a new listener, I would suggest you say go to one of our many YouTube channels.
[09:11.000 --> 09:16.000]  One channel alone, the Alex Jones channel has about 403 million views on it.
[09:16.000 --> 09:21.000]  Just for your new listener, just let you know freedom and the truth is popular.
[09:21.000 --> 09:28.000]  And I suggest you just go back into the archives six months and click on any show.
[09:28.000 --> 09:34.000]  And if you listen a couple hours, you'll hear me give the speech I'm about to give right now.
[09:34.000 --> 09:39.000]  But augment with the latest information that you're about to see all hell break loose worldwide
[09:39.000 --> 09:45.000]  and war on the border with Russia, war all over the Middle East, war all over Africa, all over Asia.
[09:45.000 --> 09:50.000]  China may even attack the islands of the Philippines and now they've said they're going to do that.
[09:50.000 --> 09:52.000]  They say, well, we're going to take them in by force.
[09:52.000 --> 09:55.000]  Everyone tries to stop us. We're going to nuke you.
[09:55.000 --> 10:00.000]  They've told Japan and the U.S. that you're seeing our borders imploded.
[10:00.000 --> 10:09.000]  That was coming. This is the globalist that sent above the nations and are manipulating the nations into a global crisis
[10:09.000 --> 10:19.000]  so that when the dollar goes down, a new IMF World Bank backed system is the new global digital currency,
[10:19.000 --> 10:26.000]  not the dollar and not the bridge going on right now in South America with world leaders
[10:26.000 --> 10:32.000]  openly saying we're in a global depression, openly saying the dollar is going down.
[10:32.000 --> 10:36.000]  Now, what are the globalist response? Start a war with Russia.
[10:36.000 --> 10:43.000]  And again, I'm not saying the U.S. is good or bad. I'm not saying Russia is good or bad.
[10:43.000 --> 10:50.000]  The globalists are outside of this manipulating the whole process.
[10:50.000 --> 10:59.000]  So while Vladimir Putin is in South America down in Brazil and traveling around other countries,
[10:59.000 --> 11:07.000]  saying they're devaluing the dollar, printing trillions of dollars or issuing trillions of dollars a month of digital currency
[11:07.000 --> 11:12.000]  and the world is pegged to the dollar so it's causing inflation all over the world.
[11:12.000 --> 11:16.000]  I was in the Caribbean, folks, and pesos were almost buying more than dollars now.
[11:16.000 --> 11:20.000]  I mean, it is just three weeks ago. It is hardcore.
[11:20.000 --> 11:25.000]  We are insulated somewhat from the inflation, though it's starting to really accelerate here.
[11:25.000 --> 11:32.000]  It's nothing like it is in Europe, nothing like it is in Asia or Latin America.
[11:32.000 --> 11:39.000]  So the world is being forced into this crisis. They don't want it.
[11:39.000 --> 11:48.000]  Now, we have seen the shoot-down of MH17 that was flying from Amsterdam to Australia for an AIDS conference,
[11:48.000 --> 11:55.000]  the Malaysian airliner, not the one missing in the Indian Ocean off the other Garcia.
[11:55.000 --> 12:02.000]  Remember the RMS Lusitania. Heard that name?
[12:02.000 --> 12:11.000]  In 1915, she was torpedoed and sunk by a German U-boat causing the deaths of 1,198 passengers and crew.
[12:11.000 --> 12:17.000]  The Germans had put full-page articles in ads in the New York Times and the Times of London saying,
[12:17.000 --> 12:23.000]  this is an auxiliary ship carrying armaments under law. We are going to torpedo it next time we see it.
[12:23.000 --> 12:26.000]  But the Germans didn't do that for a few months.
[12:26.000 --> 12:33.000]  So the British officer on board, and this all came out years later,
[12:33.000 --> 12:40.000]  sailed back and forth, steamed back and forth in front of the German U-boats until they took it out.
[12:40.000 --> 12:48.000]  What came out from the shoot-down last week? We're not sure who's behind it, probably the Russians.
[12:48.000 --> 12:54.000]  Ukraine had been bombing Russian-held ethnic areas, killing thousands a day some days last week.
[12:54.000 --> 12:58.000]  The Russians responded last Sunday. You were listening. I said, the Russians said,
[12:58.000 --> 13:03.000]  we're going to have targeted strikes back. We're going to shoot down these aircraft.
[13:03.000 --> 13:10.000]  For two months, the FAA is in Europe, but also the EU system had said you will be arrested.
[13:10.000 --> 13:15.000]  If you fly over this area of Crimea, it's controlled airspace like flown over military base.
[13:15.000 --> 13:22.000]  It's a war zone. Do not fly over it. The FAA reissued that warning last Thursday.
[13:22.000 --> 13:31.000]  No flights have flown through there in two months. They directed this sole flight right over the missile batteries.
[13:31.000 --> 13:38.000]  Again, can you say Lusitania? Lusitania, ladies and gentlemen.
[13:38.000 --> 13:47.000]  It didn't matter that the Germans had said we're going to sink this ship carrying armaments to the front from the United States.
[13:47.000 --> 13:52.000]  It didn't matter if they put full-page ads in the U.S. newspapers and British papers saying, don't sail on it.
[13:52.000 --> 13:56.000]  We're going to torpedo it. It didn't matter if they sailed it back and forth in front of them.
[13:56.000 --> 14:03.000]  How did the Spanish-American War start in 1898, blowing up the main in Havana Harbor?
[14:03.000 --> 14:08.000]  How did the Vietnam officially start, even though I had family there in 1961?
[14:08.000 --> 14:25.000]  It started in 1964 when they claimed our destroyers were attacked. It was declassified on the 40th anniversary in 2004 that it was totally staged by the Central Intelligence Agency.
[14:25.000 --> 14:32.000]  The ships were not attacked. Am I endorsing the North Vietnamese? Absolutely not.
[14:32.000 --> 14:38.000]  The point is reality is reality is reality is reality.
[14:38.000 --> 14:45.000]  2003, declassified in 2006, Blair and Bush met at the White House and at Downing Street in two different meetings.
[14:45.000 --> 14:55.000]  The White House and Downing Street memos released to Congress where they said, we'll paint up a U.S. aircraft like another aircraft and get it shot down over Iraq to go after Saddam.
[14:55.000 --> 14:58.000]  Am I endorsing Saddam? No.
[14:58.000 --> 15:09.000]  Do you, though, get a plane shot down that Saddam thinks is military so you can say that he went after the UN? No, you don't do that.
[15:09.000 --> 15:17.000]  The point is they think you're so stupid, now they're saying Russia wanted to hack and bring down the U.S. stock market in Nasdaq.
[15:17.000 --> 15:25.000]  Of course they did. What do you think the Pentagon trains to do all day to take down every other major stock market if a war starts?
[15:25.000 --> 15:30.000]  The issue here is Russia has imploded. Russia is trying to rebuild economically.
[15:30.000 --> 15:39.000]  Russia endorsed Alexander Shultz and Itza. Vladimir Putin endorsed anti-communism and Alexander Shultz and Itza before Shultz and Itza died.
[15:39.000 --> 15:46.000]  Does that mean I trust Putin? No. Is Putin, though, trying to pass anti-gun laws? Did he pass Obamacare? Did he collapse our borders? No.
[15:46.000 --> 15:57.000]  He is setting up a new economic system against the collapse of the dollar, just like Iraq tried to go on another gold standard and was attacked in 2003.
[15:57.000 --> 16:21.000]  The same thing is happening now.
[16:21.000 --> 16:27.000]  Most tap water contains added substances, like fluoride, chlorine, glyphosate, and many others.
[16:27.000 --> 16:34.000]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower in IQ, and even cancer.
[16:34.000 --> 16:37.000]  It tastes like you're drinking out of the lake when you're in tap water.
[16:37.000 --> 16:45.000]  The Pro Pure G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[16:45.000 --> 16:48.000]  This is very tasty. It's good water. It's refreshing. It's good.
[16:48.000 --> 16:55.000]  Go to infowarsstore.com today. Use promo code WATER and save 10% off your Pro Pure Purchase.
[16:55.000 --> 17:00.000]  Or call 1-888-253-3139.
[17:00.000 --> 17:05.000]  Man, when I get home from work, all Betty does is watch her reality TV and then she goes to sleep.
[17:05.000 --> 17:10.000]  I can take her on romantic dates. I get her flowers. You name it. She's just not the woman I married.
[17:10.000 --> 17:12.000]  Oh Ralph, that's just awful.
[17:12.000 --> 17:19.000]  Does this seem familiar? Are the honeymoon days of your relationship long gone? If so, consider this.
[17:19.000 --> 17:28.000]  The abundance of chemical additives, pesticides, BPA containers, contaminated tap water, and other toxic substances found in our environment.
[17:28.000 --> 17:34.000]  Experts know our bodies are suffering and being thrown off balance, especially when it comes to your natural systems.
[17:34.000 --> 17:45.000]  Forget synthetic chemicals. Superfemale vitality brings forward key herbs specifically chosen for women's biology without the use of phony additives.
[17:45.000 --> 17:56.000]  Get your bottle of superfemale vitality today at infowarslife.com. Infowarsstore.com. Or call 1-888-253-3139.
[17:56.000 --> 18:00.000]  Infowarslife.com. Live life healthy.
[18:00.000 --> 18:06.000]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxified.
[18:06.000 --> 18:15.000]  Most people know that iodine deficiency has been a crisis around the world. Iodine is key to so many of the body's functions, especially the thyroid.
[18:15.000 --> 18:24.000]  I discovered a product being developed by Dr. Group. You now know it as survival shield, true nascent iodine that your body can really absorb.
[18:24.000 --> 18:31.000]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[18:31.000 --> 18:40.000]  And the results that I personally have had have been life changing. Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[18:40.000 --> 18:49.000]  This is innovating, and the best part is it helps fund infowars.com, the radio show, the TV show, the whole media operation, promoting true libertarian ideas.
[18:49.000 --> 19:00.000]  For a limited time, experience the ancient power of survival shield X2. Take advantage of this unprecedented 30% off super detox special at infowarslife.com.
[19:00.000 --> 19:10.000]  Hi, I'm Dr. Edward Group. It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[19:10.000 --> 19:21.000]  The new survival shield X2 is mined from 7 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[19:21.000 --> 19:31.000]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[19:31.000 --> 19:43.000]  It's the strongest nascent iodine on the market today. It delivers 650 micrograms per drop. Experience the new formula. Experience the ancient purity.
[19:43.000 --> 20:01.000]  Shield your family. Survival Shield X2, available now at infowarslife.com.
[20:01.000 --> 20:22.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:22.000 --> 20:34.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[20:34.000 --> 20:41.000]  Alex Jones here back live. I have studied the globalists and how they operate for about 22 years.
[20:41.000 --> 20:47.000]  Longer than that, but full focus, 22 years. On air, almost 20.
[20:47.000 --> 20:54.000]  I've read their books, hundreds of them, five books by Brzezinski. You name it. I mean, we've quoted them here. We've made films about it.
[20:54.000 --> 21:08.000]  They explain how they do all this. Brzezinski admits that our government helped Pol Pot get into power. He killed about 30% of his population.
[21:08.000 --> 21:18.000]  And then you see how naive the public is while Brzezinski writes a book admitting his involvement in mass murder.
[21:18.000 --> 21:24.000]  Or how he set up Al Qaeda.
[21:24.000 --> 21:28.000]  And the public wears their ignorance like a shield.
[21:28.000 --> 21:38.000]  I mean, people are saying, Alex, you need to cover what's going on in Gaza, what the Hollywood cause celeb deal, the Palestinians.
[21:38.000 --> 21:44.000]  I'm supposed to only be concerned about who the media tells me I am and want us to go out and riot about it.
[21:44.000 --> 21:50.000]  I've criticized Netanyahu for openly endorsing a month and a half ago ISIS.
[21:50.000 --> 21:58.000]  And we know the Israeli forces up on their northern border are coordinating attacks into Syria with them.
[21:58.000 --> 22:06.000]  Oh, but you notice that the Southern Prairie Law Center ADL and the Israeli pro press doesn't criticize me for that because they don't want to discuss it.
[22:06.000 --> 22:17.000]  I criticize Israel effectively, but not from a hateful position wanting to see Israel destroyed, but from a moral position.
[22:17.000 --> 22:25.000]  What about the 300,000 dead plus in the last three years of the Western backed attack on Assad?
[22:25.000 --> 22:28.000]  The West started it using Al Qaeda, now called ISIS.
[22:28.000 --> 22:34.000]  Now they're running around blowing up moderate mosque and Christian churches and murdering Christians and the Iraqi police.
[22:34.000 --> 22:41.000]  We trained in mass and Obama has done nothing to stop them because they're behind it and so is Saudi Arabia.
[22:41.000 --> 22:43.000]  And that came out in the news.
[22:43.000 --> 22:55.000]  300,000 dead, at least half of them Christians murdered by Al Qaeda, the scum of the earth.
[22:55.000 --> 22:57.000]  And our government gave them stinger missiles.
[22:57.000 --> 22:58.000]  That's now mainstream news.
[22:58.000 --> 22:59.000]  Where'd you hear it?
[22:59.000 --> 23:00.000]  Hear first.
[23:00.000 --> 23:01.000]  I'm not bragging, folks.
[23:01.000 --> 23:03.000]  I know what I'm talking about.
[23:03.000 --> 23:14.000]  We got 400 dead Palestinians, most of them combatants involved in heavy fighting, you know, fighting Israeli armor.
[23:14.000 --> 23:17.000]  Certainly soldiers, you can say that they're not wimps.
[23:17.000 --> 23:18.000]  Whatever.
[23:18.000 --> 23:19.000]  I get their position.
[23:19.000 --> 23:20.000]  I get the Israeli position.
[23:20.000 --> 23:22.000]  It's tribal warfare.
[23:22.000 --> 23:27.000]  I'm sitting back like an anthropologist looking at two tribes in New Guinea killing themselves.
[23:27.000 --> 23:30.000]  I don't belong to either one.
[23:30.000 --> 23:38.000]  See, can't you be scientific about this, folks, and pull back from the emotions and look at what's going on?
[23:38.000 --> 23:42.000]  I mean, I get emotional when I see the ignorance of the public.
[23:42.000 --> 23:47.000]  All you're hearing about right now is Gaza.
[23:47.000 --> 23:57.000]  When Ukraine put out headlines last Sunday that they'd killed, quote, a thousand rebels in one day.
[23:57.000 --> 24:03.000]  And then Russian TV and British TV showed it as well, just smoking, burning whole neighborhoods.
[24:03.000 --> 24:08.000]  They're just bombing, carpet-bombing neighborhoods.
[24:08.000 --> 24:10.000]  And then Russia said, we're going to start shooting your planes down.
[24:10.000 --> 24:12.000]  And so they went, oh, you are?
[24:12.000 --> 24:17.000]  Let's just run some airliners right over that no-fly zone.
[24:17.000 --> 24:23.000]  Let's just drive the Lusitania right in front of the U-boats after the Germans put full-page ads in the New York Times.
[24:23.000 --> 24:30.000]  I mean, this is literally the 1915 trick that got the United States into the war.
[24:30.000 --> 24:39.000]  They even picked a ship they knew had U.S. passengers on it.
[24:39.000 --> 24:43.000]  On purpose, they were putting it on a passenger liner.
[24:43.000 --> 24:45.000]  Armaments.
[24:45.000 --> 24:48.000]  And the Germans said, we're going to sink that ship.
[24:48.000 --> 24:52.000]  Don't sail on it.
[24:52.000 --> 24:57.000]  Again, am I endorsing the Kaiser and the Austrian-Hungarian Empire?
[24:57.000 --> 24:59.000]  I don't know, against the British Empire at that time.
[24:59.000 --> 25:01.000]  Yeah, they weren't the Nazis.
[25:01.000 --> 25:06.000]  And that brought the Nazis in, by the way, and then we get World War II.
[25:06.000 --> 25:09.000]  So here's the deal, ladies and gentlemen.
[25:09.000 --> 25:13.000]  The West is trying to start a real war with Russia.
[25:13.000 --> 25:19.000]  They tried it in 2008 during the Olympics again, just like they did this year.
[25:19.000 --> 25:22.000]  On the world scene, it's what it's all about.
[25:22.000 --> 25:27.000]  And the CFR and all of them put out prospectuses the last few years, saying this was the plan.
[25:27.000 --> 25:32.000]  Brzezinski wrote the grand chess board about how they finally bring down Russia
[25:32.000 --> 25:42.000]  and how they'd use radical Islam to bring down the entire Middle East and kill every secular leader there.
[25:42.000 --> 25:47.000]  And then use the threat of radical Islam to take all of our rights here domestically.
[25:47.000 --> 25:50.000]  I want to be clear, there is radical Islam.
[25:50.000 --> 25:54.000]  The media always says that I say, and weird Al Yankovic says that I say, you know, there's no Islamic terror out there.
[25:54.000 --> 25:56.000]  No, no, no, no, no.
[25:56.000 --> 26:00.000]  It's there and it's funded and shepherded and protected.
[26:00.000 --> 26:02.000]  And it is allowed to kill U.S. troops.
[26:02.000 --> 26:08.000]  I mean, Marines, Army, you name it, they actually die fighting groups that the globalists around our country armed.
[26:08.000 --> 26:10.000]  People go, that doesn't make sense.
[26:10.000 --> 26:12.000]  Of course it makes sense.
[26:12.000 --> 26:17.000]  They stabilize things and wreck the Middle East and wreck the world and have a threat to take the liberties here at home
[26:17.000 --> 26:20.000]  and have trillions and no bid weapons contracts.
[26:20.000 --> 26:22.000]  What do you do?
[26:22.000 --> 26:23.000]  You arm the crazies.
[26:23.000 --> 26:28.000]  You open the door for the crazies.
[26:28.000 --> 26:33.000]  And then you bury your sons and daughters who really died fighting them.
[26:33.000 --> 26:36.000]  Don't you see the master stroke of this?
[26:36.000 --> 26:41.000]  And again, I'm not even saying that the West NATO shot that aircraft down.
[26:41.000 --> 26:42.000]  I said that day one.
[26:42.000 --> 26:43.000]  I've been watching Russia.
[26:43.000 --> 26:45.000]  I think they probably did it.
[26:45.000 --> 26:50.000]  They said last Sunday, seven days ago here, go listen to the archives on info wars.com free podcasts.
[26:50.000 --> 26:52.000]  Go back to last Sunday.
[26:52.000 --> 27:00.000]  I said right during this segment, Russia is going to start shooting aircraft down and get ready for this to escalate quickly.
[27:00.000 --> 27:01.000]  And boy has it.
[27:01.000 --> 27:03.000]  Here's Diane Feinstein, the senator.
[27:03.000 --> 27:05.000]  You know, the one that wants your guns.
[27:05.000 --> 27:06.000]  It isn't Putin.
[27:06.000 --> 27:11.000]  Feinstein, the U.S. is now at Cold War levels with Russia.
[27:11.000 --> 27:18.000]  Putin, you have to man up, says the woman that wants to disarm the American people.
[27:18.000 --> 27:21.000]  Well, that's a joke.
[27:21.000 --> 27:27.000]  Ladies and gentlemen, now they're sending in NATO advisors and troops and weapons.
[27:27.000 --> 27:32.000]  And the Russians say if they start engaging Russians, the Russians are going to attack the NATO troops.
[27:32.000 --> 27:34.000]  Then the NATO troops are going to escalate with their power.
[27:34.000 --> 27:38.000]  The Russians are going to pour in and then people will start using tactical nuclear weapons.
[27:38.000 --> 27:50.000]  And about 30 minutes later, submarines pop up with cruise missiles on them off each shore and missile cruisers and start firing nuclear weapons into major cities.
[27:50.000 --> 27:57.000]  We barely stopped this in 1961 with the Cuban Missile Crisis.
[27:57.000 --> 27:59.000]  Here's another headline.
[27:59.000 --> 28:04.000]  Ukraine rebels argue over Wreck. Europeans give Putin last chance.
[28:04.000 --> 28:05.000]  That's a quote.
[28:05.000 --> 28:12.000]  Last chance before they start putting blockades on Russian ships in European ports.
[28:12.000 --> 28:15.000]  That's an act of war.
[28:15.000 --> 28:18.000]  This isn't some Iraqis we're slapping around.
[28:18.000 --> 28:21.000]  This isn't some third world country.
[28:21.000 --> 28:26.000]  This is Russia with 150 million people and at least 10,000 operable missiles.
[28:26.000 --> 28:33.000]  3,000 of them total M with 20 warheads and MERS up inside of them.
[28:33.000 --> 28:39.000]  You know what happened on 888 when the West attacked the Russian-held areas of Ossetia and Abkhazia?
[28:39.000 --> 28:44.000]  The Russians rolled in mobile medium-range missiles and said we're targeting NATO bases in one hour.
[28:44.000 --> 28:46.000]  We'll begin firing pull NATO forces out.
[28:46.000 --> 28:49.000]  And NATO backed off.
[28:49.000 --> 28:54.000]  But Obama will be too busy eating a hamburger or playing golf to care this time.
[28:54.000 --> 28:57.000]  I'm telling you folks, this is like Napoleon and Hitler attacking Russia.
[28:57.000 --> 29:00.000]  We're on the edge of World War 3.
[29:00.000 --> 29:07.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[29:07.000 --> 29:09.000]  But it's not just the air outside that's toxic.
[29:09.000 --> 29:15.000]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[29:15.000 --> 29:20.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[29:20.000 --> 29:23.000]  There are more than 42 million smokers in the United States.
[29:23.000 --> 29:27.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[29:27.000 --> 29:32.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[29:32.000 --> 29:37.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs
[29:37.000 --> 29:42.000]  in order to combat the toxic environment that we cannot escape but that we can fight back against.
[29:42.000 --> 29:46.000]  Made with organic and wild cultivated herbs and manufactured in the USA.
[29:46.000 --> 29:52.000]  The new Info Wars Life Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[29:52.000 --> 29:59.000]  Now available exclusively at InfoWarsLife.com or by calling toll 3-888-2533139.
[30:22.000 --> 30:26.000]  We're talking about Made in America belt buckles and nickel brass.
[30:26.000 --> 30:28.000]  This is more than a summer blowout special.
[30:28.000 --> 30:31.000]  This is a new declaration of independence.
[30:31.000 --> 30:37.000]  But to expand the Info War we're offering the equivalent of more than five months free.
[30:37.000 --> 30:43.000]  Right now when you get a membership at PrisonPlanet.tv for a limited time only $39.95 a year.
[30:43.000 --> 30:47.000]  That's more than five months free off the regular price.
[30:47.000 --> 30:51.000]  Not just this July 4th weekend but the entire month of July.
[30:51.000 --> 30:53.000]  At prison1776.com.
[30:53.000 --> 30:55.000]  Moan Lombay.
[30:55.000 --> 31:24.000]  You can take my gun from my cold dead aunt.
[31:24.000 --> 31:28.000]  It's up to us to set brush fires in the minds of men and women everywhere.
[31:28.000 --> 31:31.000]  And that's what PrisonPlanet.tv is designed to do.
[31:31.000 --> 31:39.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so called rebels.
[31:39.000 --> 31:43.000]  What we see now is a war against reality. It's a war against the truth.
[31:43.000 --> 31:48.000]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv
[31:48.000 --> 31:54.000]  and share their membership with up to 11 friends and family. Visit infowarsnews.com today.
[31:54.000 --> 31:59.000]  Become a member, share your membership and help take the Info War to the next level.
[31:59.000 --> 32:02.000]  I've always believed in nutrition and herbs.
[32:02.000 --> 32:07.000]  Supermale vitality was developed to activate your body's own natural processes
[32:07.000 --> 32:12.000]  instead of using synthetic chemicals sourced from powerful organic herbs
[32:12.000 --> 32:17.000]  harvested around the planet and then concentrated or maximum potency.
[32:17.000 --> 32:22.000]  I just received my male vitality about three days ago and I must say that's good stuff.
[32:22.000 --> 32:25.000]  After consulting top doctors, nutritionists, pharmacists and others,
[32:25.000 --> 32:32.000]  we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[32:32.000 --> 32:39.000]  Super male vitality by Info War's life is so powerful that I only take half the recommended dose.
[32:39.000 --> 32:41.000]  I jump out of bed ready to fight these criminals every day.
