[00:00.000 --> 00:12.000]  Big Brother, Mainstream Media, Government Cover-Ups. You want answers? Well, so does
[14:24.000 --> 14:36.000]  People of your ethnic background, people of your economic background, people of your political views, people of your persuasion, whatever that might be, you're not allowed to have a gun.
[14:36.000 --> 14:45.000]  Well, that's bad enough when it's guns, and I'm a big supporter of the Second Amendment, but let me tell you how it's going to be truly horrific when it comes down to food, clothing,
[14:45.000 --> 14:55.000]  the basic things you buy at the store, batteries, extension cords, whatever you need to run today's, live in today's world, a new computer.
[14:55.000 --> 15:00.000]  All of it is going to be tied into a registration system, and it's coming.
[15:00.000 --> 15:09.000]  Now, I first talked about this way back in 1999 when I founded Caspian, the consumer privacy group that I founded, as kind of an armchair activist back then.
[15:09.000 --> 15:22.000]  I was frustrated or concerned, I suppose, at the use of RFID, not RFID, well, that came later, but in 1999 at the use of the plastic supermarket frequent shopper cards.
[15:22.000 --> 15:30.000]  They go by a lot of names. The main name that they use is loyalty card, which I love because it's so, it's got such a big brothery political feel to it.
[15:30.000 --> 15:40.000]  But the use of these loyalty cards at cash registers across the U.S. has now expanded to the point where literally billions of dollars of infrastructure
[15:40.000 --> 15:47.000]  have been built right into the cash registers all across the globe, not just in the U.S., but everywhere.
[15:47.000 --> 15:52.000]  You can go to Jamaica, you can find these things. You can go to South Korea and you'll find them.
[15:52.000 --> 16:01.000]  You can go to Yemen and Saudi Arabia and you will find that their cash registers are no longer just calculators with cash stores,
[16:01.000 --> 16:10.000]  but they've now been turned into high-tech, customer-identifying, price-changing, computerized units hooked up to the Internet.
[16:10.000 --> 16:15.000]  And they're hooked up to vast multinational databases, which makes it even more disturbing.
[16:15.000 --> 16:23.000]  So we've already got the system in place to take all of the purchases being made on the globe and route them back to the central brain,
[16:23.000 --> 16:28.000]  whether that's run by Google or whether that's run by the NSA, whoever winds up running that.
[16:28.000 --> 16:35.000]  But we already have the infrastructure to do it and the remaining piece is to get the world's people away from cash
[16:35.000 --> 16:42.000]  over to a system where every time they walk up to one of those cash registers in Yemen or Saudi Arabia or Mexico
[16:42.000 --> 16:46.000]  or any of the other places all across the globe that this infrastructure has been installed,
[16:46.000 --> 16:50.000]  to get them to identify themselves at the point of sale.
[16:50.000 --> 16:53.000]  Now, once you tie this a little further, there was just an article out.
[16:53.000 --> 16:58.000]  Alex and I were talking about this on his show last week and you can find the link online at infowars.com,
[16:58.000 --> 17:03.000]  is Alex and I were talking about this new study out or this new story out in the Wall Street Journal
[17:03.000 --> 17:09.000]  that essentially vindicates what I've been saying for 10 years now, I guess 13 years since I founded Caspian,
[17:09.000 --> 17:15.000]  to talk about these supermarket cards is now they're converting the purchases that you make at the supermarket
[17:15.000 --> 17:19.000]  into individual nutritional and health profiles.
[17:19.000 --> 17:24.000]  So what that means is when you buy that Haagen-Dazs, they calculate the number of grams of fat,
[17:24.000 --> 17:28.000]  the number of grams of sugar, the number of grams of strawberry concentrate,
[17:28.000 --> 17:33.000]  they put all of that into a giant database of information about everything that you eat
[17:33.000 --> 17:35.000]  and everything you take home to your family.
[17:35.000 --> 17:39.000]  Now, up until now, you're not noticing that that's happening behind the scenes.
[17:39.000 --> 17:42.000]  It's underground. It's been going on literally for years.
[17:42.000 --> 17:50.000]  I know this because I attended a talk at MIT where one of the key executives of Stop and Shopper,
[17:50.000 --> 17:54.000]  a big grocery chain up here in New England, he was talking about the supermarket cards and said,
[17:54.000 --> 17:59.000]  you know, it's really great and the best part is the customers have no idea how much data we're gathering on them
[17:59.000 --> 18:01.000]  when they scan that card.
[18:01.000 --> 18:05.000]  So he raised my hand, you know, just kind of a member of the audience who didn't know who I was,
[18:05.000 --> 18:08.000]  and I said, excuse me, why are you spending all that money?
[18:08.000 --> 18:11.000]  You know, these things are expensive. You've got to pay for the card.
[18:11.000 --> 18:14.000]  You've got to pay for the key fobs and especially you have to pay for the data entry.
[18:14.000 --> 18:18.000]  You've got to build in this huge infrastructure into all of your cash registers.
[18:18.000 --> 18:20.000]  Why are you doing that?
[18:20.000 --> 18:27.000]  And he said, well, we're hoping to recoup some of our expenses by sharing the information with HMOs.
[18:27.000 --> 18:33.000]  And, you know, this was back in, what, 2003, 2004, so nearly 10 years ago.
[18:33.000 --> 18:35.000]  And now you've got the Wall Street Journal coming out saying it directly.
[18:35.000 --> 18:37.000]  Yeah, absolutely, that's what they're doing.
[18:37.000 --> 18:42.000]  By the way, if there are any employees of Safeway out there listening to this radio show,
[18:42.000 --> 18:48.000]  Safeway was one of the very first supermarkets in the country to introduce the Safeway Club card,
[18:48.000 --> 18:52.000]  you know, the bonus card, the reward card, the Safeway Club card.
[18:52.000 --> 18:58.000]  And what they're not telling you is that Safeway employees are kind of the vanguard.
[18:58.000 --> 19:01.000]  They're at the front end of this new plan.
[19:01.000 --> 19:06.000]  If you are a Safeway employee, you actually can receive a, and I'm going to cough when I say this,
[19:06.000 --> 19:08.000]  I'm going to make air quotes with my fingers,
[19:08.000 --> 19:17.000]  you can receive a discount on your health insurance by allowing Safeway to record every single stitch of celery,
[19:17.000 --> 19:24.000]  every single hamburger that you purchase and consume through Safeway stores so that they can monitor that you are eating healthy.
[19:24.000 --> 19:30.000]  And if you do, they'll give you, and again, I'll cough and use air quotes, they'll give you a discount on your insurance.
[19:30.000 --> 19:39.000]  I would argue that now that they're putting this all together, this ability to convert all of your food purchases into nutritional records,
[19:39.000 --> 19:42.000]  believe me, Obamacare is not going to be far behind.
[19:42.000 --> 19:46.000]  All right, I'm your host, Dr. Catherine Albrecht, filling in for Alex Jones.
[19:46.000 --> 19:52.000]  Let's all join together and send him some warm wishes of relaxation, a little bit of a rest.
[19:52.000 --> 20:17.000]  All right, stay tuned, I'll be right back right after this break.
[20:22.000 --> 20:27.000]  Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[20:27.000 --> 20:34.000]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[20:34.000 --> 20:43.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine,
[20:43.000 --> 20:51.000]  hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[20:51.000 --> 21:00.000]  Get your Pro-Pure with the new Pro-One filters today at Infowarsstore.com or by calling 888-253-3139.
[21:21.000 --> 21:27.000]  Water filters are 27% off. Try our fruit-flavored hydropack combo water filtering pouches in March.
[21:27.000 --> 21:35.000]  Buy five 10-packs for a 50% discount. Stock up on wheat with a year's supply of grains for $70 off, only at BePrepared.com.
[21:35.000 --> 21:41.000]  And this month, power up with a Goal Zero Sherpa 50 solar-powered recharging kit at $110 off MSRP,
[21:41.000 --> 21:45.000]  and we'll throw in a free $50 Emergency Essentials gift card.
[21:45.000 --> 21:55.000]  The March sale ends March 31st at BePrepared.com. For contents and details, call Emergency Essentials at 800-999-1863 or click BePrepared.com.
[21:55.000 --> 22:00.000]  The choice is clear. Be unprepared or BePrepared.com.
[22:00.000 --> 22:07.000]  Stop the pain from broken, chipped and damaged nails with a revolutionary new nail hardener, Nails of Steel.
[22:07.000 --> 22:12.000]  Apply just one drop of Nails of Steel over natural or polished nails and go.
[22:12.000 --> 22:17.000]  With Nails of Steel, there's virtually no drying time, and it's guaranteed.
[22:17.000 --> 22:23.000]  Order this all-natural, antifungal and herbal formula for women and men at NailsOfSteel.com.
[22:23.000 --> 22:29.000]  That's NailsOfSteel.com. Nails of Steel. It's like a salon in a bottle.
[22:29.000 --> 22:35.000]  Hi, this is Ted Anderson. Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[22:35.000 --> 22:41.000]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[22:41.000 --> 22:44.000]  Gold is outperformed paper investments, yet no word about IRAs.
[22:44.000 --> 22:49.000]  If you would like to have gold for your retirement, call 800-686-2237.
[22:49.000 --> 22:55.000]  Don't get left behind by rising inflation and low returns, call 800-686-2237.
[22:55.000 --> 22:59.000]  Secure your future and call 1-800-686-2237.
[22:59.000 --> 23:05.000]  American gardeners and fellow Patriots make the right choice with your money, time and your family food supply.
[23:05.000 --> 23:10.000]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[23:10.000 --> 23:15.000]  Why spend more? The Survival Seed Vault from MyPatriotsupply.com is only $37.95.
[23:15.000 --> 23:19.000]  It includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[23:19.000 --> 23:23.000]  Yes, only $37.95. That's 70% less than our competitors.
[23:23.000 --> 23:27.000]  You could buy three Survival Seed Vaults for less than one of theirs.
[23:27.000 --> 23:33.000]  The Survival Seed Vault from MyPatriotsupply.com includes detailed planting and seed-saving instructions and ships same day.
[23:33.000 --> 23:36.000]  Plus, all orders over $49 ship free.
[23:36.000 --> 23:40.000]  MyPatriotsupply.com is American-owned by Patriots like you.
[23:40.000 --> 23:46.000]  Passionate about freedom and preparedness, call now, 866-229-0927.
[23:46.000 --> 23:49.000]  That's 866-229-0927.
[23:49.000 --> 23:54.000]  Or discover more emergency preparedness items when you order at MyPatriotsupply.com.
[23:54.000 --> 23:59.000]  Choose the original. Choose the Survival Seed Vault at MyPatriotsupply.com.
[23:59.000 --> 24:08.000]  We will not be forgotten. We won't be left behind. Our memories live on for a while.
[24:11.000 --> 24:18.000]  And boys and girls, we'll ride again.
[24:20.000 --> 24:23.000]  Yeah, sounds good to me. Catherine Albert, too, with you.
[24:23.000 --> 24:26.000]  Riding shotgun. Thanks for tuning in.
[24:26.000 --> 24:30.000]  I'm filling in for Alex Jones this week. So delighted to be with you.
[24:30.000 --> 24:36.000]  I've been a regular guest on Alex's show. I think the first time I was on his show was probably back in 2001 or 2002.
[24:36.000 --> 24:41.000]  And I've been listening to his show since before 1999 when I myself became an activist.
[24:41.000 --> 24:45.000]  So truly an honor and a real pleasure to be here with you guys this week.
[24:45.000 --> 24:50.000]  And again, just putting out all my best wishes for Alex to actually get a little bit of a break.
[24:50.000 --> 24:54.000]  I know he's been working overtime. I've heard even when he's on a break, though, he keeps working.
[24:54.000 --> 24:59.000]  So I'm going to send him a little email. Hey, Alex, hope you're taking a break. All right.
[24:59.000 --> 25:03.000]  Well, let's see, I've got a couple of additional things I want to bring to your attention this hour.
[25:03.000 --> 25:08.000]  And then I want to open up the phone lines here and get your thoughts on some of these stories.
[25:08.000 --> 25:14.000]  One of them is, speaking of young people, we know that if you want to change society,
[25:14.000 --> 25:20.000]  then if you can get all the young people into one place and condition them in a particular way,
[25:20.000 --> 25:24.000]  then you can create the future. Good or bad, I suppose.
[25:24.000 --> 25:30.000]  I don't know, the future I want to see does not involve large masses of people thinking the same in groupthink.
[25:30.000 --> 25:33.000]  But certainly the powers that be out there like that kind of thing.
[25:33.000 --> 25:39.000]  And that's one of the reasons why the government schools and all of this sort of mass groupthink,
[25:39.000 --> 25:44.000]  where kids are isolated and segregated by age, where they're isolated and segregated away from adults,
[25:44.000 --> 25:49.000]  other than the single authority figure who tells them what to do all day long, that's kind of the mindset.
[25:49.000 --> 25:54.000]  And of course, Hitler said to the people who opposed him back in the 1930s and 40s, he said,
[25:54.000 --> 25:59.000]  listen, guys, I don't care about you, meaning the adults who opposed him, his opponents.
[25:59.000 --> 26:04.000]  He said, I don't care about you because the future is your kids and they already belong to me.
[26:04.000 --> 26:10.000]  Yeah. So if you're sending your kids to the government schools, then do not be surprised if your kids come home
[26:10.000 --> 26:16.000]  and hold viewpoints that don't match your own. And if you're sending your kids out into the university world,
[26:16.000 --> 26:20.000]  they're going to get even more indoctrination. And let me tell you something.
[26:20.000 --> 26:24.000]  I, in 2006, I graduated from Harvard. I got my doctorate in 2006.
[26:24.000 --> 26:29.000]  And that year, the commencement speaker was Jim Lehrer.
[26:29.000 --> 26:33.000]  You know Jim Lehrer from the McNeil Lehrer News Hour?
[26:33.000 --> 26:38.000]  You may also know Jim Lehrer because he is a member of the Council on Foreign Relations.
[26:38.000 --> 26:43.000]  And if you've been paying attention, you know that those are the global elite that get the message out about
[26:43.000 --> 26:48.000]  whatever it is that they want to have publicized, right? You've got all the major mainstream,
[26:48.000 --> 26:53.000]  MSM mainstream media folks out there, and Jim Lehrer is one of them.
[26:53.000 --> 26:58.000]  I thought it was the weirdest thing ever when at my commencement speech, Jim Lehrer gets up.
[26:58.000 --> 27:03.000]  I didn't really know much about him. I mean, I've watched his TV show a couple of times, but I didn't really know much about him.
[27:03.000 --> 27:08.000]  He gets up and proceeds to deliver to all of these graduating future leaders of Harvard University
[27:08.000 --> 27:13.000]  a speech about how the goal is to get everybody
[27:13.000 --> 27:18.000]  performing service, that we all need to be reconnected with one another.
[27:18.000 --> 27:21.000]  Let me read you just a couple of quotes from there, and then I want to tie it into what's going on today.
[27:21.000 --> 27:24.000]  These guys always announce what they're going to do in advance.
[27:24.000 --> 27:29.000]  He says, we can spur great deeds. This is a literal quote from his speech at my commencement.
[27:29.000 --> 27:34.000]  We can spur great deeds that history will mark decades and even centuries from now.
[27:34.000 --> 27:39.000]  We can find the courage to change itself. It can change the world. He cited, quote,
[27:39.000 --> 27:44.000]  several opportunities, including the ongoing revolution in life sciences and biomedical research
[27:44.000 --> 27:49.000]  and all of that challenge. But then the key thing is he went on and talked
[27:49.000 --> 27:54.000]  about how we need to have some form of national service. Here's his quote.
[27:54.000 --> 27:59.000]  He says he entered the Marines reluctantly during peacetime, but the experience changed his life.
[27:59.000 --> 28:04.000]  The people my country forced me to serve my country, not for my country's sake, but for my own.
[28:04.000 --> 28:09.000]  And then he goes on and talks about how important it is that we have, listen to this,
[28:09.000 --> 28:14.000]  a national discussion about implementing a new compulsory service.
[28:14.000 --> 28:19.000]  He said this could encompass the military, the Peace Corps and other areas. Quote,
[28:19.000 --> 28:24.000]  I believe we need a new, real, hard, wait, hard, real world dose of shared experience.
[28:24.000 --> 28:29.000]  And then he goes on and talks about this. He says the problem with voluntary service
[28:29.000 --> 28:34.000]  is it gives people not enough options. It just, you know, it's not,
[28:34.000 --> 28:39.000]  voluntary service just isn't going to do it. He wants national service. He says, quote, 2006,
[28:39.000 --> 28:44.000]  I say let that debate and all others around national service begin. All right. Now,
[28:44.000 --> 28:49.000]  this is where these things get announced. Pay attention, by the way, and I'm going to start paying more attention
[28:49.000 --> 28:54.000]  to the commencement speeches delivered at the universities of the elite because
[28:54.000 --> 28:59.000]  they're after the future generations. So what is it now that's coming out?
[28:59.000 --> 29:04.000]  Well, we've got a new bill that has been introduced into Congress right now
[29:04.000 --> 29:09.000]  that would call for mandatory public service. So it all ties in.
[29:09.000 --> 29:14.000]  It comes around. It goes around. It's all part of the same circle. This is a new bill. I'll be giving you
[29:14.000 --> 29:19.000]  details on it if you want to oppose it. I would strongly recommend that it's going into committee, but it would call for
[29:19.000 --> 29:24.000]  mandatory national service for all Americans between the ages of 18 and 24.
[29:24.000 --> 29:29.000]  All right. Yeah, they're coming for the kids. They really are. So, yeah, you and I get it.
[29:29.000 --> 29:34.000]  I hope there are some kids listening out there. Hope you guys get it, too. They're coming for you.
[29:34.000 --> 29:39.000]  All right. Catherine Albrecht here filling in for Alex Jones. I am your temporary host
[29:39.000 --> 29:44.000]  and I'm going to open up the phone lines when we come back. 1-800-259-9231.
[29:44.000 --> 30:10.000]  Stay tuned. More right after this.
[30:14.000 --> 30:19.000]  Five percent of hydrofluorosolic acid advanced manufacturing technology combines silver impregnated
[30:19.000 --> 30:24.000]  white ceramic with new aqua medics, advanced media for removal of fluoride
[30:24.000 --> 30:29.000]  and other heavy metals all in one filter element. It is the only one that does it.
[30:29.000 --> 30:34.000]  And out of the gates, we have a discounted at 10 percent off with promo code water.
[30:34.000 --> 30:39.000]  This is the only system that in one unit helps reduce or remove pesticides,
[30:39.000 --> 30:45.000]  herbicides, chloramines, ammonia and chlorine, hydrofluorosolic acid,
[30:45.000 --> 30:51.000]  the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate.
[30:51.000 --> 30:56.000]  Get your pro pure with a new pro one filter today at info war store dot com or
[30:56.000 --> 31:02.000]  by calling 888-253-3139.
[31:02.000 --> 31:07.000]  If you want an American company with American products made by Americans,
