[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[03:02.120 --> 03:06.120]  And that budget limit right now is about $4 million a year.
[03:06.120 --> 03:10.120]  Clark says Austin businesses can also benefit from federal tax credits
[03:10.120 --> 03:15.120]  that pay for up to 80% of solar panel installation.
[03:15.120 --> 03:19.120]  Well, the feds will likely help Austin's main transit agency
[03:19.120 --> 03:24.120]  start a new rapid bus program for two very long north to south routes.
[03:24.120 --> 03:29.120]  It is part of a program from the president and designates 17 million in funding
[03:29.120 --> 03:32.120]  for two of Capital Metro's Metro rapid buses.
[03:32.120 --> 03:38.120]  CapMetro's Adam Shevitz tells KLBJ it means the agency will not have to front all of the money.
[03:38.120 --> 03:42.120]  The fact that we've already been recommended for about 17 million is really great news.
[03:42.120 --> 03:47.120]  Shevitz says ultimately they'll have to cover up to 37 million with federal funding.
[03:47.120 --> 03:51.120]  One route would link St. David's North with South Park Meadows to the south
[03:51.120 --> 03:56.120]  using Burnett and South Congress. The other route would link Tech Ridge with Westgate
[03:56.120 --> 04:00.120]  using Lamar Boulevard. Jared Allen, News Radio 590 KLBJ.
[04:00.120 --> 04:06.120]  The Texas House has adopted new guidelines over how corporate money can be used in elections.
[04:06.120 --> 04:10.120]  News Radio 590 KLBJ's Emily Trubb has more.
[04:10.120 --> 04:15.120]  The bill would ban corporate and union money from being used on political attack ads.
[04:15.120 --> 04:21.120]  Political parties and political action committees could only use money from corporate and union donations
[04:21.120 --> 04:26.120]  on administrative costs. Opponents argue that the measure hampers free speech.
[04:26.120 --> 04:29.120]  Emily Trubb, News Radio 590 KLBJ.
[04:29.120 --> 04:33.120]  Now the KLBJ ran our weather watch with Richard Luelling.
[04:33.120 --> 04:36.120]  Through the rest of the day, clouds will continue 77 tonight.
[04:36.120 --> 04:40.120]  Clear 54, Monday sunshine 84 from the Weather Channel.
[04:40.120 --> 04:43.120]  Everchadwelling, News Radio 590 KLBJ.
[04:43.120 --> 04:48.120]  Right now, mostly cloudy skies, 76 degrees at Austin's airport.
[04:48.120 --> 04:53.120]  I'm Sarah Hudaberg. You can get instant news alerts at home or at the office.
[04:53.120 --> 04:58.120]  Register online at 590klbj.com.
[04:58.120 --> 05:03.120]  Listen up, Central Texas. Alex Jones here with great news, vital to the security of your family.
[05:03.120 --> 05:08.120]  The hardware store incorporated in Austin is now a distributor for eFoods Direct Storeable Foods.
[05:08.120 --> 05:15.120]  Bob Desi's True Value Hardware Store is partnered with eFoods Direct to provide you with the best value in long-term storeable food.
[05:15.120 --> 05:20.120]  At the hardware store, you can see it now, get it now, and save money on shipping costs.
[05:20.120 --> 05:23.120]  And buy in complete privacy if you prefer.
[05:23.120 --> 05:28.120]  Call the hardware store at 512-250-1591 today and have your food tonight.
[05:28.120 --> 05:30.120]  Don't have a truck? Borrow one.
[05:30.120 --> 05:33.120]  In these uncertain times, storeable food is a great investment to make.
[05:33.120 --> 05:38.120]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[05:38.120 --> 05:45.120]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[05:45.120 --> 05:54.120]  By calling 908-6912608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[05:54.120 --> 06:02.120]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[06:02.120 --> 06:08.120]  Call 908-6912608 or visit hempusa.org today.
[06:08.120 --> 06:16.120]  Hempusa.org believes that now is the time to plan for the future, and food will be your greatest asset.
[06:16.120 --> 06:24.120]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[06:24.120 --> 06:34.120]  So don't delay, call today, 908-6912608 and see what our powder, seeds and oil can do for you.
[06:34.120 --> 06:37.120]  Repair yourself.
[06:37.120 --> 06:40.120]  Repair your experience.
[06:44.120 --> 06:47.120]  He stands for truth.
[06:47.120 --> 06:50.120]  He stands for justice.
[06:50.120 --> 06:52.120]  He stands for what's right.
[06:52.120 --> 06:55.120]  This is the Alex Jones show.
[06:55.120 --> 07:04.120]  Call Alex now toll-free at 877-590-5525.
[07:04.120 --> 07:10.120]  Now live from Austin, Texas, here's Alex Jones.
[07:10.120 --> 07:23.120]  Well, let me just start the broadcast by putting a time stamp on it, because we stand behind what we say over the years and the decades,
[07:23.120 --> 07:26.120]  and fortunately it all comes true right on time.
[07:26.120 --> 07:31.120]  Because we're reading the government's own declassified documents about how they work for offshore banks,
[07:31.120 --> 07:42.120]  to set up a world government, to carry out eugenics against the people of the planet. So it is May 17, 2009, a Sunday edition.
[07:42.120 --> 07:45.120]  We're going to be live here for the next two hours.
[07:45.120 --> 07:54.120]  Lots of phone calls today, 877-590-5525, 877-590-5525 will get you up.
[07:54.120 --> 08:01.120]  And on the air, you can also call the local line from the station that this syndicated transmission comes to you from.
[08:01.120 --> 08:06.120]  A news radio, 590-KLBJ, that's 836-0590.
[08:06.120 --> 08:15.120]  On any issue, any news item, anything you want to talk about, it is a complete and absolute total free for all today.
[08:15.120 --> 08:18.120]  That said, here is the news I have in front of me.
[08:18.120 --> 08:25.120]  The Bilderberg Group meeting is breaking up as we speak, and I guess they're eight hours ahead of us.
[08:25.120 --> 08:31.120]  So over there, it's almost the 18th over there.
[08:31.120 --> 08:33.120]  I guess it is the 18th over there.
[08:33.120 --> 08:42.120]  So yesterday in Greece, but today in North America, the Bilderberg Group concluded its 57th annual meeting.
[08:42.120 --> 08:51.120]  And for those that don't know, I put this in my film, Endgame, blueprint for global enslavement, but now it's been completely declassified by the British and U.S. governments.
[08:51.120 --> 09:01.120]  Wartime Army documents from the Army and Marines and the British military as well that the Nazis knew they were going to lose by 44.
[09:01.120 --> 09:10.120]  So they went underground and set up an organization that publicly emerged in 54 as the Bilderberg Group.
[09:10.120 --> 09:24.120]  They were going to set up a European Union, buy off the United States, and set up a North American Union, and that's in the Globe and Mail, BBC, and other major international publications.
[09:24.120 --> 09:29.120]  Now, I want to be clear, the New World Order is not Nazi.
[09:29.120 --> 09:37.120]  What really happened is, you know, the British media is spinning it that the European Union was set up by Nazis, and that's true to a certain extent.
[09:37.120 --> 09:47.120]  You had a lot of wealth, trillions of dollars, even in the numbers of the 40s, the tens of trillions today, that went underground.
[09:47.120 --> 09:52.120]  And it was intermarried with the British and other wealthy around Europe.
[09:52.120 --> 09:59.120]  And a lot of U.S. financiers and robber barons were buddies with the German aristocracy, the Crumps and others.
[09:59.120 --> 10:04.120]  The Rothschilds of England owned large parts of Germany at the time.
[10:04.120 --> 10:09.120]  The King of England had to advocate because he was a public Nazi, Edward VIII.
[10:09.120 --> 10:12.120]  That's all on record, though it's not common knowledge.
[10:12.120 --> 10:14.120]  It's in the mainline history books.
[10:14.120 --> 10:33.120]  And so in 54, the CIA with Prince Bernhard of the Netherlands and others set up the first Bilderberg Group meeting to kind of bring together the German money with the Anglo-American slash Dutch money.
[10:33.120 --> 10:38.120]  And the Dutch have always been more closely allied to the Anglo-Americans, the U.S. and England than they have been to the Germans.
[10:38.120 --> 10:40.120]  But that's kind of the nexus point.
[10:40.120 --> 10:47.120]  That's why it was the go-between point at the Bilderberg Hotel in the Netherlands for that meeting to take place.
[10:47.120 --> 10:52.120]  And the Bilderberg Group has been bragging the last five or six years.
[10:52.120 --> 11:02.120]  They released their minutes of their first meeting of some of the meetings in the 60s as well, decades later, where they had bragged that they set up the Treaty of Rome to set up the European Union covertly,
[11:02.120 --> 11:18.120]  that they're setting up the North American Union by stealth, that they're basically shaping the world we live in today, an undemocratic, tyrannical world ruled by a private group of banks.
[11:18.120 --> 11:23.120]  And then the German chancellors and British prime ministers, people like David Rockefeller, write memoirs.
[11:23.120 --> 11:28.120]  He wrote his memoir four and a half years ago, bragging, yes, I'm trying to overthrow the U.S. and set up a new world order.
[11:28.120 --> 11:31.120]  I'm proud of it.
[11:31.120 --> 11:35.120]  Now, the elite will have all the rights in the world under this system and everybody else will be poor slaves.
[11:35.120 --> 11:37.120]  Now, this is not a good system.
[11:37.120 --> 11:53.120]  Now, in the 40s, 50s, 60s, 70s and 80s and 90s and on through today, in the year 2009, they run TV shows and movies and news articles making fun of people that believe in the new world order and international banks.
[11:53.120 --> 11:58.120]  And then they would mix in absurd things, you know, well, I mean, here's a clip.
[11:58.120 --> 12:02.120]  And there's been tens of thousands of things I've seen on television like this. You've all seen it.
[12:02.120 --> 12:05.120]  It's propaganda. You're being brainwashed.
[12:05.120 --> 12:12.120]  Not so funny today, though, when you realize that openly they're announcing a new bank of the world that you will pay your global carbon taxes to.
[12:12.120 --> 12:17.120]  So we've learned the new Bilderberg group agenda for 2009 and 2010.
[12:17.120 --> 12:19.120]  We'll go over that.
[12:19.120 --> 12:32.120]  Now, that dovetails with government ready youth core to take on veterans in the United States. No, I'm not kidding. You heard me a youth core under the federal government to take on U.S. veterans and gun owners.
[12:32.120 --> 12:36.120]  Remember the DHS report a few months ago we broke. People never believed me all the years I warned you.
[12:36.120 --> 12:43.120]  Now we have the declassified documents that their main buildup of Homeland Security is for the American people.
[12:43.120 --> 12:48.120]  It's all been set up for us if we don't like the foreign bankers bankrupting everything.
[12:48.120 --> 12:50.120]  But let's go ahead and play Archie Bunker.
[12:50.120 --> 12:56.120]  And in fact, I don't have the print out in front of me. What year is this Archie Bunker from?
[12:56.120 --> 12:59.120]  I know it was back in the 70s.
[12:59.120 --> 13:07.120]  Here is Archie Bunker back in the 1970s talking about international bankers and communists wanting our guns.
[13:07.120 --> 13:10.120]  Ha, ha, ha, isn't Archie Bunker an idiot.
[13:10.120 --> 13:20.120]  This is so that years later when they openly set it up, when you tried to fight back against it, your neighbors, most of you don't know why you laugh at people that talk about global cabals.
[13:20.120 --> 13:23.120]  Most of you don't know why you won't get involved in defending your country.
[13:23.120 --> 13:29.120]  You've been preconditioned tens of thousands of times by TV and culture that it's kooky to do so.
[13:29.120 --> 13:36.120]  They destroyed your natural defenses for sovereignty, for patriotism. They call it evil nationalism.
[13:36.120 --> 13:41.120]  Well, here they are making fun of Archie Bunker. He's the buffoon. He's the racist. He's the idiot.
[13:41.120 --> 13:44.120]  And how dare him not want to turn his guns in and have international bankers ruling.
[13:44.120 --> 13:46.120]  Last Saturday.
[13:46.120 --> 13:47.120]  Good evening, everybody.
[13:47.120 --> 13:56.120]  This is Archie Bunker of 704 Hauser Street, veteran of the big war, speaking on behalf of guns for everybody.
[13:56.120 --> 13:58.120]  Now, question.
[13:58.120 --> 14:02.120]  What was the first thing that the communists done when they took over Russia?
[14:02.120 --> 14:10.120]  Answer, gun control. And there's a lot of people in this country who want to do the same thing to us here in the kind of conspiracy seat.
[14:10.120 --> 14:19.120]  You're going to take your big international bankers. They want to, what do you call, masticate the people of this year's nation like puppets on the week.
[14:19.120 --> 14:23.120]  And then they're going to get that gun and take us over to the communists.
[14:23.120 --> 14:29.120]  Oh, I'm glad they put you on the stool. You look tall. You're sitting down.
[14:29.120 --> 14:35.120]  Now, I want to talk about another thing that's on everybody's mind today. And that's your stickups in your skyjackets.
[14:35.120 --> 14:40.120]  Which, if that was up to me, I could end the skyjackets tomorrow.
[14:40.120 --> 14:41.120]  You could?
[14:41.120 --> 14:47.120]  All you got to do is arm all your passengers.
[14:47.120 --> 14:52.120]  If he ain't got no more superior gravity there, he ain't going to dare to pull out no rod.
[14:52.120 --> 15:00.120]  And then your airlines, then they wouldn't have to safe the passengers on the ground no more. They just pass out the pistols at beginning of the trip.
[15:00.120 --> 15:03.120]  And then put them up and down at the end.
[15:03.120 --> 15:06.120]  Thanks, folks.
[15:06.120 --> 15:13.120]  All right, folks, we're going to come right back and analyze this brainwashing and take your phone calls and a lot more.
[15:13.120 --> 15:18.120]  But this is how programming works. This is how it's always worked.
[15:18.120 --> 15:24.120]  But, you know, in the states where they have said everybody can be armed with concealed carry crime rates go down on average 24%.
[15:24.120 --> 15:53.120]  So, actually, that sounds radical to gelded domesticated slaves, but not to everybody else. We'll be right back.
[15:54.120 --> 16:22.120]  Let's go.
[16:22.120 --> 16:28.120]  Our beloved Republic is on her knees. The forces of globalism are destroying national sovereignty worldwide.
[16:28.120 --> 16:33.120]  But in Liberty's darkest hour, there is hope. The first time in modern history, the people are beginning to wake up.
[16:33.120 --> 16:39.120]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[16:39.120 --> 16:47.120]  Did you know that most skin creams, body lotions, shampoos, and toothpaste contain chemical additives such as sodium-loral sulfate, the same type of detergent used in dish soap?
[16:47.120 --> 16:51.120]  Did you know that many moldy vitamin supplements are made from synthetic vitamins?
[16:51.120 --> 16:57.120]  Do your herbal remedies have unwanted additives and fillers? Have you ever tested your body's pH level?
[16:57.120 --> 17:00.120]  Make the change to organic health and beauty products.
[17:00.120 --> 17:03.120]  Visit 2binatural.com and order today.
[17:03.120 --> 17:12.120]  2binatural.com carries exclusive all-natural chemical-free skincare, hair care, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[17:12.120 --> 17:23.120]  Visit 2binatural.com. That's T-O-B-E-NATURAL.COM. 2binatural.com. Use coupon code radio for 15% discount and free alkaline food chart.
[17:23.120 --> 17:33.120]  Call 1-888-417-1375. That's 1-888-417-1375 to order or request your free catalog.
[17:33.120 --> 17:40.120]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[17:40.120 --> 17:48.120]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[17:48.120 --> 17:56.120]  Is this a flaw for enterprise or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[17:56.120 --> 18:01.120]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[18:01.120 --> 18:06.120]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[18:06.120 --> 18:10.120]  A gripping adventure into the secret world of international banking cartel.
[18:10.120 --> 18:16.120]  Hi, this is Ted Anderson. I will give a silver dollar from the early 1900s to anyone who purchases this book.
[18:16.120 --> 18:24.120]  Call 1-800-686-2237 and order a copy today. It's critical that the public be made aware of the system.
[18:24.120 --> 18:32.120]  Call and order your copy today at 1-800-686-2237. That's 1-800-686-2237.
[18:32.120 --> 18:40.120]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S. and the world.
[18:40.120 --> 18:44.120]  And for the first time in their lives, they are feeling the need for preparedness.
[18:44.120 --> 18:51.120]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[18:51.120 --> 19:01.120]  Ready Reserve is the manufacturer. Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with doubly-nammeled cans and nitrogen packaging.
[19:01.120 --> 19:06.120]  When purchasing from Ready Reserve Foods, you are buying Factory Direct at wholesale prices.
[19:06.120 --> 19:12.120]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[19:12.120 --> 19:18.120]  Many companies do not even offer a catalog. We will be more than happy to send a catalog to you free of charge.
[19:18.120 --> 19:26.120]  Dial 1-800-453-2202 or visit our website at readyreservefoods.com.
[19:26.120 --> 19:33.120]  Factory Direct, wholesale pricing from Ready Reserve Foods. Call us at 1-800-453-2202.
[19:38.120 --> 19:43.120]  Have you ever noticed that celebrities are endorsing weight loss products and health aids?
[19:43.120 --> 19:47.120]  Do you think they endorse these products for free?
[19:47.120 --> 19:52.120]  I don't think so. I'm here to tell you, I'm not a celebrity and life change tea doesn't need one.
[19:52.120 --> 19:57.120]  Think about this. The product speaks for itself. What a concept!
[19:57.120 --> 20:01.120]  Our product works. You get healthy and you'll lose weight.
[20:01.120 --> 20:09.120]  Summer's coming. Look and feel good. Order now. 928-308-0408.
[20:09.120 --> 20:17.120]  Write this down. 928-308-0408. Or you can order online. It's easy. Getthetea.com.
[20:17.120 --> 20:22.120]  That's getthetea.com. You have nothing to lose.
[20:22.120 --> 20:28.120]  But the excess around your... anyway, life change tea. It speaks for itself.
[20:28.120 --> 20:49.120]  That's getthetea.com.
[20:49.120 --> 20:53.120]  We are back live. Thank you for joining us.
[20:53.120 --> 21:01.120]  Okay, I'm just going to go ahead and go to your phone calls. Eric and Walt and Steve and George and Bill and many others that are patiently holding us.
[21:01.120 --> 21:08.120]  Do you have one line open? That's a rarity. 877-590-5525 or 836-0590.
[21:08.120 --> 21:15.120]  And if you disagree with me, you're also welcome to call. Go to the head of the line as long as we can keep it civil here.
[21:15.120 --> 21:21.120]  Myself included. I have problems with that. 877-590-5525.
[21:21.120 --> 21:26.120]  And coming up, government readies at youth corps to take on vets.
[21:26.120 --> 21:30.120]  Ten minutes into Errant Mayhem in his town near the Mexican border.
[21:30.120 --> 21:34.120]  And a gunman, a disgruntled Iraq war veteran, has already taken out two people.
[21:34.120 --> 21:38.120]  One slumped at his desk. The other covered with blood on the floor.
[21:38.120 --> 21:44.120]  But here come the Boy Scouts under Homeland Security Command to seek and destroy and wipe out the vets.
[21:44.120 --> 21:49.120]  That's what the New York Times is reporting. And you know, this isn't just one little case of it.
[21:49.120 --> 21:53.120]  There's hundreds and hundreds I'm aware of. So I'm going to try to give folks the big picture.
[21:53.120 --> 21:57.120]  This happened in Germany. This happens in Russia. This happens in China.
[21:57.120 --> 22:01.120]  I'm going to break down. And folks are on infowars.com, you know, reading this article we wrote.
[22:01.120 --> 22:05.120]  Government readies, youth corps to take on vets.
[22:05.120 --> 22:12.120]  And they are saying, oh, look at these kids. They look like wimps. They'd be easy to wipe out.
[22:12.120 --> 22:18.120]  They're not coming today. They're training them when they're young and impressionable to turn them loose on you
[22:18.120 --> 22:24.120]  when they're 18 years old. Yes, we know at 14, they're not that formidable.
[22:24.120 --> 22:29.120]  The point is, in just a few years, they will be.
[22:29.120 --> 22:34.120]  They want them trained, but when they're still young and stupid at 18 and don't know what they're doing.
[22:34.120 --> 22:38.120]  And by the way, the government admits these are for the American people.
[22:38.120 --> 22:43.120]  Do you understand? This is serious. Okay, that's coming up. And then the latest on the Bilderberg group.
[22:43.120 --> 22:48.120]  Big developments there. The AP and Wall Street Journal and others finally reported on it.
[22:48.120 --> 22:53.120]  You never, never, never see mainstream reporting in the United States on the Bilderberg group.
[22:53.120 --> 22:57.120]  It was 130 world leaders meet and chart the course of the planet.
[22:57.120 --> 23:01.120]  But we made a big stink about it this year and AP and the Wall Street Journal reported on it.
[23:01.120 --> 23:05.120]  But the Wall Street Journal makes a joke out of it and says,
[23:05.120 --> 23:10.120]  the elite gather in Greece for a not so secret meeting and all what's the big deal?
[23:10.120 --> 23:14.120]  Yeah, you just said it didn't exist all these years and now it's not so secret.
[23:14.120 --> 23:19.120]  They just arrested more than a dozen members of the press, including London Guardian reporter.
[23:19.120 --> 23:26.120]  We're trying to get within two miles on public beaches and sidewalks of the hotel.
[23:26.120 --> 23:31.120]  I mean, this is amazing. What is this Russia or China? I guess it is.
[23:31.120 --> 23:37.120]  So we'll get to that coming up. Very, very important. Eric in California, you're on the air. Thanks for holding.
[23:37.120 --> 23:40.120]  Alex, how are you doing? Hey, buddy, welcome.
[23:40.120 --> 23:49.120]  Hey, great news, Alex. Late last year, I just worked for Dave Mustaine and Megadeth on their new studio.
[23:49.120 --> 23:57.120]  So I got to know Dave a little bit. I didn't, you know, try to press him for conversation, all that, but expected his time.
[23:57.120 --> 24:03.120]  But about a week and a half ago, I dropped by the studio and just kind of sat down with him for about a half hour
[24:03.120 --> 24:11.120]  and talked about various things. I had mentioned the fact that he'd been on your show interviewed by you
[24:11.120 --> 24:17.120]  and if you'd like to do it again. And he said he's got to talk to his manager and go through all the proper channels and whatnot.
[24:17.120 --> 24:25.120]  Maybe you might want to call him up, set that up, because they're getting ready to send out a new album this fall.
[24:25.120 --> 24:33.120]  And I had one more song to write and I asked him if she had seen a bomb deception yet and he hadn't, so I gave him a copy.
[24:33.120 --> 24:43.120]  I had some on my truck. I also gave him a copy of Freedom Fascism, 9-11 Road to Tyranny, Terror Storm, and Endgame.
[24:43.120 --> 24:51.120]  So sometime this week, I'm going to follow up with him and see if he'd like to collaborate on a project to reach out to youth,
[24:51.120 --> 24:56.120]  because this is something that's very, very deep in my heart.
[24:56.120 --> 25:02.120]  I had Dave Mustang on because the music is all about one world government, New World Order.
[25:02.120 --> 25:06.120]  And I remember listening to it in like Junior High, I'm pretty young, only 35.
[25:06.120 --> 25:13.120]  I remember listening to it being 12, 13, getting all pumped up, going out and having a fist fight down at the railroad tracks.
[25:13.120 --> 25:17.120]  But the point is, is I didn't really get what the songs were about. I just liked it.
[25:17.120 --> 25:21.120]  And years later, listening to it, it's all about the New World Order and all the album covers and everything.
[25:21.120 --> 25:26.120]  And yeah, when I had him on the show, he was well aware of a lot of that, so I would like to have Dave back on.
[25:26.120 --> 25:29.120]  Have you got any feedback from him since he saw the films?
[25:29.120 --> 25:36.120]  Not yet. He said he was going to watch a bomb deception that night and they might inspire his last song.
[25:36.120 --> 25:44.120]  So I'm definitely going to follow up. I've actually got some lyrical ideas that I'd like to bounce off of, but that's not why I went.
[25:44.120 --> 25:47.120]  I just want to talk to him and that's great.
[25:47.120 --> 25:51.120]  Well, listen, that's how we network. So stay in touch and I appreciate it, Bubba.
[25:51.120 --> 25:54.120]  I will keep you sure. Go ahead, Eric. What else?
[25:54.120 --> 25:57.120]  Absolutely. Yeah, you bet. I'll be talking to him this week.
[25:57.120 --> 26:02.120]  Hey, thanks a lot, man. I appreciate it. Yeah, you know the person I'm proudest of waking up is Bruce Willis.
[26:02.120 --> 26:07.120]  But Bruce is a private guy, so I'm not going to get into it or talk about it.
[26:07.120 --> 26:12.120]  But according to Bruce, you won't be seeing him work for the neocons anymore.
[26:12.120 --> 26:14.120]  He still doesn't like the Democrats.
[26:14.120 --> 26:17.120]  But, well, I can talk about what is known.
[26:17.120 --> 26:20.120]  I had Rick Linklater on about two years ago when a scanner darkly came out,
[26:20.120 --> 26:25.120]  filmed my men with Keanu Reeves, a well-known writer, and Woody Erlson, and Mr....
[26:25.120 --> 26:29.120]  Who's the guy from... I mean, I met him a bunch.
[26:29.120 --> 26:35.120]  No, I know Keanu good. I always have... I always call him Morton Downey Jr.
[26:35.120 --> 26:37.120]  Robert Downey Jr. is not Morton Downey Jr.
[26:37.120 --> 26:40.120]  The guy with the talk show in the 80s, screaming and people smoking cigarettes.
[26:40.120 --> 26:42.120]  Yeah, Robert Downey Jr.
[26:42.120 --> 26:46.120]  Anyways, I'm in that movie. Pretty big part, but anyway, side issue.
[26:46.120 --> 26:48.120]  I never tried to be in it. Rick Linklater is just a great guy.
[26:48.120 --> 26:50.120]  Well, I did try once I heard I had a chance to be in it.
[26:50.120 --> 26:52.120]  I said, absolutely put me in it.
[26:52.120 --> 26:55.120]  Great guy, Tommy Pilotta, and Rick Linklater put me in it.
[26:55.120 --> 26:58.120]  I don't want to talk about myself all day, so I want to hurry and get back to your call.
[26:58.120 --> 27:04.120]  But the point is, I had Rick on about two years ago to promote a scanner darkly.
[27:04.120 --> 27:06.120]  And I wasn't bringing up 9-11 to Rick.
[27:06.120 --> 27:10.120]  And he started saying, he thought 9-11 was an inside job on the air.
[27:10.120 --> 27:12.120]  A lot of courage, you know, big director.
[27:12.120 --> 27:17.120]  School of Iraq, days of confused, you know, list goes on and on.
[27:17.120 --> 27:21.120]  And so I had him on about that.
[27:21.120 --> 27:25.120]  And he said, yeah, I gave your videos to Bruce Willis.
[27:25.120 --> 27:28.120]  And he watched him and came back and he sent me some of the emails.
[27:28.120 --> 27:31.120]  Bruce had sent him saying, yeah, this has really woken me up.
[27:31.120 --> 27:33.120]  Now I understand the left-right paradigm.
[27:33.120 --> 27:35.120]  I understand both parties are controlled.
[27:35.120 --> 27:40.120]  And then I had a chance later to talk to...
[27:40.120 --> 27:43.120]  Well, I'm just going to leave it at that.
[27:43.120 --> 27:47.120]  The point is, I had a private conversation with somebody after that about six months later.
[27:47.120 --> 27:50.120]  And then people didn't believe Rick Linklater when he said it on air.
[27:50.120 --> 27:53.120]  The Neocon website said there's no way that's true.
[27:53.120 --> 27:55.120]  You know, Michelle Malkin and people.
[27:55.120 --> 28:01.120]  And then he was in Vanity Fair when a big movie came out about a year ago.
[28:01.120 --> 28:05.120]  And he said, yeah, the same people that killed Kennedy are running things today.
[28:05.120 --> 28:09.120]  And I don't believe in the left-right paradigm anymore and all this stuff.
[28:09.120 --> 28:12.120]  So that is very, very exciting.
[28:12.120 --> 28:15.120]  I mean, you know, I didn't get into this to meet Charlie Sheen,
