[00:00.000 --> 00:12.000]  It's Friday, December 30th, twilight hours, twenty, one, two, three, get ready, this is
[14:14.000 --> 14:19.000]  We've got a lot of sponsors coming in next year, a lot of other things I'm doing where I won't have to sit here and beg so much.
[14:19.000 --> 14:22.000]  It's, believe me, it gets annoying. Plus, we've got great products you already need.
[14:22.000 --> 14:27.000]  So don't let the chai comms, don't let the globalist keep you from getting to mfowarstore.com.
[14:27.000 --> 14:34.000]  And listen, some of these products like the vitamin D3 gummies, being sold for $19.95, we don't even make $10 on that.
[14:34.000 --> 14:42.000]  These are high quality. So the greatest way for you to help us get out of this hole, the good news is the hole's not that big with a great audience like this.
[14:42.000 --> 14:52.000]  And I believe in you and I humbly ask for your support is to go get the vitamin D3 gummies that are the highest quality you're going to find for the price you're paying.
[14:52.000 --> 14:59.000]  This is just insanely good. The best vitamin D3 there is. Everybody needs it for your muscles, your brain, your body, your immune system.
[14:59.000 --> 15:04.000]  Separately, if you want to just make a one time donation, you can go to the front page of infowars.com.
[15:04.000 --> 15:08.000]  There's a big red banner at the top. There's a big red banner at mfowarstore.com.
[15:08.000 --> 15:17.000]  And it just says donate to info wars. You can make a one time $10 donation, $50 donation, $20 donation, or you can make a recurring donation, cancel any time with one click.
[15:17.000 --> 15:21.000]  You just go on your little profile at infowarstore.com and say, OK, I'm not going to give anymore.
[15:21.000 --> 15:25.000]  But that way you don't forget, please pledge $10 a month, please pledge $20 a month.
[15:25.000 --> 15:34.000]  If you have the money and want to fight the new world order, pledge $100 a month or make a one time donation at infowarstore.com or infowars.com.
[15:34.000 --> 15:41.000]  We've redirected the site. It was for my legal because that got taken care of. You guys did it, so thank you or wouldn't be here.
[15:41.000 --> 15:46.000]  So now we're redirecting it back to info wars to support FreeSpeak Systems and what we're doing here.
[15:46.000 --> 15:54.000]  So saveinfowars.com. Saveinfowars.com is going to be redirected right to the sub page at infowarstore.com to make donations.
[15:54.000 --> 15:59.000]  Such a critical time in the fight. Thanks for your support. We'll be right back.
[15:59.000 --> 16:09.000]  Ladies and gentlemen, we are now launching the most powerful supplements in the history of info wars under a new brand name, info wars platinum.
[16:09.000 --> 16:18.000]  Now, all three of these revolutionary products you see in front of you are already number one best sellers in the market for the last few years because they work so well.
[16:18.000 --> 16:28.000]  We've gone right to the manufacturer who are listeners, the owners of fan, and they've given us this huge deal off of retail, 40% off what these products are found for
[16:28.000 --> 16:37.000]  under other names and not just other one name. They sell these under three or four other brands that other major distributors and suppliers have put out.
[16:37.000 --> 16:46.000]  The difference is we have it for 40% off what it is in stores. We're talking about pain MD. We're talking about HGH max boost.
[16:46.000 --> 16:51.000]  We're talking about 1776 testosterone boost. These things are incredible.
[16:51.000 --> 16:59.000]  I would suggest you take half a dose or less what you first do and consult your healthcare provider because they're so powerful. Get them at infowarstore.com.
[16:59.000 --> 17:05.000]  I have an extremely important message to all of my fellow info warriors here in the United States and around the world.
[17:05.000 --> 17:15.000]  We are so excited to announce info wars MD. It turns out the top company in the US for supplements is owned by a patriot.
[17:15.000 --> 17:22.000]  And it turns out they're willing to give us deals that no one else is getting because they want to support info wars and keep us on the air.
[17:22.000 --> 17:26.000]  This deal has been a year in the making and finally the products are being brought to market.
[17:26.000 --> 17:37.000]  Up to 50% off what you get on top national brands of the highest rated under the info wars label info wars MD exclusively at infowarstore.com.
[17:37.000 --> 17:46.000]  Check out the first of 10 new products at infowarstore.com whether it's turmeric or whether it's joint care or whether it is super greens.
[17:46.000 --> 17:59.000]  We have them all at infowarstore.com under the banner of info wars MD. This is the best deal out there and it keeps info wars on the air info wars MD.
[17:59.000 --> 18:07.000]  Why does the establishment spend so much time demonizing info wars attacking myself and the crew and our other hosts?
[18:07.000 --> 18:17.000]  Because they know we're pro human. They know we're telling the truth. They know we've got their number. They know everything we do is about empowering humanity.
[18:17.000 --> 18:25.000]  And God gave us through Mother Nature incredible compounds that will supercharge our body, stamina, libido, energy and immune systems.
[18:25.000 --> 18:36.000]  And we came out many years ago with real red pill plus that has all the documented compounds like preglonone and so much more to supercharge your body.
[18:36.000 --> 18:44.000]  And to give your body the key elements and the key ingredients it needs to function at a proper level.
[18:44.000 --> 18:55.000]  This is the answer to the new world order's tyranny. This is real red pill plus sold out for two years 50% off at infowarstore.com.
[18:55.000 --> 19:19.000]  Get the red pill plus exclusively infowarstore.com.
[19:19.000 --> 19:26.000]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[19:26.000 --> 19:37.000]  Natural chemicals found in the hips may even be helpful for a variety of health conditions including those with osteoarthritis and for those with pain after surgery studies have shown.
[19:37.000 --> 19:46.000]  As for vitamin C and zinc themselves you probably already know that they play an important role in nutrition, immune defense and the maintenance of your everyday health.
[19:46.000 --> 19:53.000]  It has been reported that intake of both is often inadequate even in affluent populations like here in America.
[19:53.000 --> 20:02.000]  So next time you visit be sure to check it out at infowarstore.com where we promise our rose hips don't lie.
[20:02.000 --> 20:17.000]  This is the meeting of frontal assault on the lies of the new world order. It's Alex Jones.
[20:17.000 --> 20:34.000]  I have a blind spot and it's something weird that happens to me when something is so massive and so huge I learned about it this morning I went and checked the congressional record and the J6 committee record for myself and I have a copy of it here in my hand.
[20:34.000 --> 20:48.000]  This was so big that I should have started the broadcast immediately with us and I meant to but then I didn't. So I'm going to hit the other news now but when we come back I'm going to hit this.
[20:48.000 --> 20:58.000]  Please put the live show headline back up on screen. This makes me actually gasp for breath a little bit here. This is so insane we're going to play the clips.
[20:58.000 --> 21:07.000]  Ray apps confessed under oath to orchestrating January 6.
[21:07.000 --> 21:14.000]  And then they defended him in the New York Times and the J6 committee said he was a good person. We have him ramming signs into police.
[21:14.000 --> 21:20.000]  We have him telling people go into the breach. We have him saying attack the capital.
[21:20.000 --> 21:32.000]  And in the J6 transcripts when he was interviewed. Remember we kept saying release those release the 14,000 hours of footage they have from the thousands of cameras in the capital.
[21:32.000 --> 21:41.000]  They declared national security on those and said they're not releasing them for at least 20 years maybe like the JFK files and maybe here in 60 years.
[21:41.000 --> 21:51.000]  And Ray apps told them. He quote orchestrated it under oath. Now you know why he did that.
[21:51.000 --> 21:59.000]  The FBI did their job and subpoenaed his records. Remember he was on the wanted list for the first few days.
[21:59.000 --> 22:04.000]  But that's the low level FBI. They were shut down ladies and gentlemen.
[22:04.000 --> 22:14.000]  But under oath they had his text messages where he was bragging to a family member that he orchestrated the break in.
[22:14.000 --> 22:20.000]  Well we don't need Ray apps to tell us that. We have him running around like a chicken with his head cut off.
[22:20.000 --> 22:34.000]  Telling everybody to attack the capital days before and that day and ramming signs and tell people help him ram giant Trump signs into the police.
[22:34.000 --> 22:41.000]  And then it goes on from there. They ordered half the capital police away to do crowd control at the ellipse a mile away.
[22:41.000 --> 22:50.000]  And they said no to Trump and Millie threatened to resign if Trump overrode him.
[22:50.000 --> 23:04.000]  And tried to put National Guard there. Turns out General Flynn's brother who was in command put a direct request in and was overruled by the chairman of the joint chiefs of staff.
[23:04.000 --> 23:12.000]  And Pelosi got involved and had a film crew there with her daughter and for Netflix and to make a whole movie that day.
[23:12.000 --> 23:22.000]  And here came Ray apps and their operatives to create a mob psychology or a few oath keepers and a few proud boys got involved.
[23:22.000 --> 23:27.000]  Once the police got manipulated into a fight they couldn't win.
[23:27.000 --> 23:33.000]  And it's just like a bar fight. And if you've ever seen a bar fight I've been unfortunate enough to be dumb enough to be in a few of them.
[23:33.000 --> 23:42.000]  It looks just like an old Western movie with John Wayne where one guy punches one guy. That guy punches the other guy.
[23:42.000 --> 23:55.000]  He falls over the table. People get mad to attack that guy. His buddies jump in their buddies jump in and pretty soon there's tables and stools and chairs flying around and whiskey bottles hitting people upside the head.
[23:55.000 --> 24:00.000]  And that's exactly what they did. They had a million plus people marching to that capital.
[24:00.000 --> 24:04.000]  We had truck rallies everywhere that were peaceful putting two in D.C. right before it.
[24:04.000 --> 24:13.000]  We were there to show them that we weren't buying the fraudulent election and call for a legal 10 day investigation by the Senate that Democrats have called for before themselves in previous elections.
[24:13.000 --> 24:19.000]  And I walked right into a damn trap and I tried to stop people going in that building.
[24:19.000 --> 24:24.000]  So that's what happened ladies and gentlemen and they manipulated us into a bar fight with the police.
[24:24.000 --> 24:35.000]  The police were victims of being set up. The citizens were victims and it was all deep state coordinated ladies and gentlemen.
[24:35.000 --> 24:44.000]  And I showed up in the middle of the bar fight got upon a big stack of chairs and told people stop. Don't go in. You're going to get can't stated.
[24:44.000 --> 24:52.000]  People are going to get killed and it happened 30 minutes after I gave that speech.
[24:52.000 --> 25:00.000]  Ashley Bennett got executed. So see I said I'm going to cover it next segment but I'm going to I'm going to cover it properly.
[25:00.000 --> 25:10.000]  Next segment this is so big and can you imagine why they sealed their investigation for 20 years at least.
[25:10.000 --> 25:19.000]  It's now sealed for 20 years two decades absolutely criminal.
[25:19.000 --> 25:27.000]  While they ran around subpoenaing my records and harassing my crew and charging two of our crew that were peaceful there.
[25:27.000 --> 25:35.000]  And Owen Shroyer also told people not going the building and he's still facing years in prison.
[25:35.000 --> 25:41.000]  And the FBI and the Justice Department filed charges on him and you read those charges. They say he went in the Capitol.
[25:41.000 --> 25:46.000]  They say he led an attack. They say he attacked police. He didn't go in the damn Capitol.
[25:46.000 --> 25:53.000]  They said in a federal filing to the judge that he committed perjury and that he does not work at Info Wars.
[25:53.000 --> 26:05.000]  We've read the we've read the arrest filing and pre and later court filings they still go to a federal judge and say Owen Shroyer went in the building.
[26:05.000 --> 26:12.000]  Owen Shroyer attacked police. Owen Shroyer told people to attack. Owen Shroyer did the opposite. Owen Shroyer did not go in the building.
[26:12.000 --> 26:17.000]  Owen Shroyer did not attack police. Owen Shroyer tried to stop people.
[26:17.000 --> 26:25.000]  But Owen Shroyer is charged and Sam Montoya. I really like Sam.
[26:25.000 --> 26:32.000]  I said Sam you got to stay here. We got to have you and Harrison Smith stay when we take the crew up there. You can't go to show how lenient I am.
[26:32.000 --> 26:42.000]  I learned Sam was there when I learned he got footage of Ashley Abbott being executed and I chewed his ass out. I like Sam.
[26:42.000 --> 26:48.000]  But it didn't matter. They tried to then charge me for ordering him to go in there.
[26:48.000 --> 26:57.000]  That obviously they leaned on him but he hasn't lied. But that's where all this is. That's what's going on with these people and it's disgusting.
[26:57.000 --> 27:03.000]  Just like they set up the attack on Governor Whitmer. Okay I said I'd get to it next segment I will.
[27:03.000 --> 27:12.000]  But we have just so much to cover here today. And oh my goodness we've got new WEF information and videos.
[27:12.000 --> 27:18.000]  And we've got mainstream media bitching and complaining that their own children won't take the poison shots are in a wake.
[27:18.000 --> 27:30.000]  I mean there is a big movement exploding. People know now the new order is real and I just got to commend the crew and our guest and our family of callers and listeners and just everybody.
[27:30.000 --> 27:37.000]  Because when you call in and thank me it's obnoxious and I appreciate you. But thank yourself. Thank you for the support.
[27:37.000 --> 27:44.000]  I know you mean well and I love you but you need to understand you are the reason we're still on air.
[27:44.000 --> 27:49.000]  You did this. You're the tip of the spear. You know how important you are when you share articles and videos.
[27:49.000 --> 27:55.000]  You know how important you are when you buy our products. You need to understand that you changed the world.
[27:55.000 --> 28:03.000]  You put America not on its heels but on its toes. You helped awaken the world. We've already come so far together.
[28:03.000 --> 28:07.000]  I need you to realize that and keep sharing your articles and videos harder than ever.
[28:07.000 --> 28:14.000]  And I need you to go to infowarstore.com and get great products that you need especially in the winter for your immune system.
[28:14.000 --> 28:19.000]  The vitamin D3, the vitamin mineral fusion, the real red pill plus is back in stock.
[28:19.000 --> 28:25.000]  And yes ladies and gentlemen we have the donate button there so that we can stay on air.
[28:25.000 --> 28:30.000]  I really need folks to go make a one time or recurring donation at infowarstore.com.
[28:30.000 --> 28:37.000]  You see big red banner at the top of info wars and at infowarstore.com click there. Make $1, $10, $100.
[28:37.000 --> 28:44.000]  Make recurring donations. Make one time donations but we've got an over $200,000 a month deficit month after month for six months
[28:44.000 --> 28:49.000]  and we will not be able to stay on air if we don't get the donations. It's actually an easy hurdle to get over.
[28:49.000 --> 28:55.000]  Just please take action now and give yourself the gift of freedom and liberty knowing you're keeping us on air.
[28:55.000 --> 28:59.000]  Go to infowarstore.com right now. Go there right back.
[28:59.000 --> 29:08.000]  I want you to remember two words. Info wars platinum in the history of info war supplements and they're amazing.
[29:08.000 --> 29:16.000]  This is hands down the most powerful game changing products we've ever offered to the public.
[29:16.000 --> 29:23.000]  Now all three of these are private labels of three national bestsellers put out by a pharmaceutical company that also makes high end supplements
[29:23.000 --> 29:30.000]  and the owners a listener and a supporter. So they're giving them to us at 40% off what they're sold on stores
[29:30.000 --> 29:37.000]  over 20% off what they're sold online under the info wars platinum brand name. These are incredible.
[29:37.000 --> 29:45.000]  Pain MD, HGH max boost and of course 1776 testosterone boost. Read about them at infowarstore.com
[29:45.000 --> 29:53.000]  Learn about them and then try them out for yourself and I know you will be a repeat customer which is awesome.
[29:53.000 --> 29:58.000]  It will empower your life, make your life more amazing and it will keep us on the air a 360 win.
[29:58.000 --> 30:19.000]  Now available at infowarstore.com.
[30:19.000 --> 30:28.000]  So we've gone directly to the source and that means we can give you lower prices on the very same high quality supplements and in some cases even better.
[30:28.000 --> 30:49.000]  We're introducing info wars MD at infowarstore.com. Info wars MD exclusively at infowarstore.com has 10 new products. Tumeric 95, libido RX, better mood, nitric boost, much room max, at Etropic,
[30:49.000 --> 30:59.000]  and more. Just taking superfood greens. This is the highest quality greens out there and it's at a price way way lower than the same product on store shelves for twice the cost.
[30:59.000 --> 31:13.000]  Find info wars MD at infowarstore. Info wars MD is finally here. It's the very same high quality products you've been getting through info wars life but an expanded catalog and in some cases the prices are lower
[31:13.000 --> 31:21.000]  because we're going directly to the source that was supplying the supplement companies that we were buying our high quality products from.
[31:21.000 --> 31:34.000]  So we're able to lower prices and bring you more products via the info wars MD line. The highest quality, triple tested. Many of these products are sold on store shelves for more than twice the cost.
[31:34.000 --> 31:44.000]  You can find them at infowarstore.com under our exclusive label. We are bringing you the highest quality supplements directly from the factory right here in the USA to your door.
[31:44.000 --> 32:00.000]  It'll make your life healthy, better, boost your immune system and in case info wars store on the air. So again, introducing info wars MD now exclusively available at infowarstore.com with massive, massive savings.
[32:00.000 --> 32:11.000]  Look, it's not hype when you've delivered and info wars has been the tip of spear against tearing. And when it comes to the products we sell to funder operation, they're just like our news and information.
[32:11.000 --> 32:20.000]  They are powerful and they change the world. The real red pill plus one of our top sellers before over two years, it's been sold out because of supply chain breakdowns.
[32:20.000 --> 32:30.000]  It's finally back at stock or 50% off and then for short.com. Now, the limited time we have, I can't get into all the ingredients are in with this sucker is amazing.
[32:30.000 --> 32:40.000]  Look for yourself and how loaded each model is. Ladies and gentlemen, every one of these will supercharge your day and everything you do.
[32:40.000 --> 32:53.000]  Just look into the preglonone that we've got that's in this product. Get your real red pill plus of a proprietary product. Nobody else has exclusively back in stock for 50% off at info wars store.com.
[32:53.000 --> 33:11.000]  This is as close as the matrix red pill as you're going to get red pill plus 50% off infowarstore.com.
[33:23.000 --> 33:28.000]  Live from the info wars.com studios. It's Alex Jones.
[33:28.000 --> 33:32.000]  We are in a war of information.
[33:32.000 --> 33:41.000]  I want to play a clip before I get an array apps of the inventor of MRNA technology.
[33:41.000 --> 33:48.000]  And a special program that's airing tonight dealing with the battlefield of the mind.
[33:48.000 --> 34:08.000]  Dr. Robert Malone who from before the shots were even given predicted what would happen because they done rat studies that he was aware of with the viruses very similar to COVID-19 and it caused blood clots, infertility, heart attacks, myocarditis, strokes in rats.
[34:08.000 --> 34:21.000]  In fact it cut the rats in my life expectancy in half. It killed a small portion very early on in the first week or so and then it killed half of them early.
[34:21.000 --> 34:25.000]  This is what they've done to us and it's a big deal.
[34:25.000 --> 34:37.000]  We have to understand this is a war for the mind and there is a critical mass that is now being reached that is incredible.
[34:37.000 --> 34:41.000]  I don't get up here and tell you good news just to hype you up.
[34:41.000 --> 34:46.000]  When it's bad, man, I just want you to know it because that's how I am and we just need to understand what we're facing.
[34:46.000 --> 34:55.000]  And we got big problems but the new world orders got bigger ones because they needed to execute this attack, get away with it, have people accepted and just act like nothing happened.
[34:55.000 --> 35:07.000]  But if people mobilized and organized with criminal investigations that have now started around the world, the U.S., Germany, India, South Africa, the list goes on and on.
[35:07.000 --> 35:14.000]  It's came over. I mean the globalists are scared in their internal memos that come out and their body language and everything they do.
[35:14.000 --> 35:21.000]  They know they're losing the Info War. They thought they could use AI and intelligence agencies and these groups to control their body.
[35:21.000 --> 35:26.000]  It backfired on them. Thanks to you, the viewers and listeners of this audience, the tip of the spear.
