[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[14:14.000 --> 14:29.000]  Everything else was probing. Everything else was just intelligence gathering. They were testing the takeover. This is it. Apple is moving to China, giving them the keys to the database, the keys to all of your Apple IDs, the keys to the kingdom.
[14:29.000 --> 14:41.000]  Brad Pascal, the new head of the Trump campaign, his former tech head is saying, we're watching you in your censorship. Be good. Don't be evil. Being sarcastic to Google.
[14:41.000 --> 14:49.000]  No, we need antitrust now. We need hearings now. We need this stop now. This is going to steal the midterm elections.
[14:49.000 --> 14:57.000]  And Pascal knows, yeah, he's a smart guy, but he's not who won the election. It was the people. And he's one of those people, but it was all of us.
[14:57.000 --> 15:10.000]  And that's the volume has been turned down on Trump from 11, an ode to his final tap down to about a two. And the issue is it's being done all over the place.
[15:10.000 --> 15:30.000]  Pascal, I keep saying Pascal. I don't go off teleprompters. It's a bar scale. So it's on, ladies and gentlemen. And you better decide what you want to do because, oh, surprise, surprise, GOP says voting machines miscalibrated in district.
[15:30.000 --> 15:40.000]  We're lamb one. So come vote switch to lamb. Oh, surprise. And he's still only behind 600 or something and they're finding thousands and thousands of votes flipped.
[15:40.000 --> 15:47.000]  But you know the Democrats will still get the election, right? Because that's how it works. They're going to steal the midterms.
[15:47.000 --> 16:00.000]  I'm going to send an emergency transmission to the president. We got to have people there watching the polls. We got to be inside these computers because the Democrats in the deep state and the globalists are moving against our counter offensive.
[16:00.000 --> 16:17.000]  ID stronghold wallets are different. They may look the same on the outside. They're stylish. They'll hold your cards in cash, but they're hiding something great on the inside. No, there are no pyrotechnics and it doesn't sing when you open. But it does have magical powers.
[16:17.000 --> 16:32.000]  ID stronghold wallets protect your critical information and identity from thieves standing right next to you. Anyone can buy a cheap RFID scanner online and snag your information just by walking past you. Contactless credit cards, debit cards, even your work ID badge.
[16:32.000 --> 16:47.000]  ID stronghold was the first to pioneer RFID blocking technology over 12 years ago. ID strongholds wallets, sleeves and badge holders are trusted by the U.S. military and the executive office of the president. Something the competitors can't say.
[16:47.000 --> 16:55.000]  Secure your identity and save 10% by using coupon code MAGIC at checkout for a limited time at idstronghold.com.
[16:55.000 --> 17:15.000]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses. Individual share amounts begin at $107 a month and 347 for families.
[17:15.000 --> 17:28.000]  From three health sharing programs, holistic treatments may be eligible for sharing. See guidelines. Discount programs available for dental, vision and pharmacy. Go to libertyoncall.org. That's libertyoncall.org.
[17:45.000 --> 17:58.000]  Get to goberky.com or call 877-886-3653. 877-886-3653. Goberky.com.
[18:16.000 --> 18:36.000]  We have now managed to secure the sought-after beans in a highly customized blend. Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com. This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.000 --> 18:48.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers. Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[18:48.000 --> 19:00.000]  Available in original or with our immune support infusion blend. You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[19:00.000 --> 19:06.000]  Let's go to Debit in Florida. Debit in Florida, you're on the air.
[19:06.000 --> 19:22.000]  Great. Hey, thank you so much. Listen, I have bought your product and I gotta say they're amazing. Anyone who's on the fence, buy it because I've got caveman, superman of vitality, secret swell, vitamin interfusion, I've got the body armor.
[19:22.000 --> 19:27.000]  Wow, thank you. You're the type of lesser that makes it all possible. Which nutraceutical does you like best?
[19:27.000 --> 19:36.000]  I really like the vitamin mineral fusion to be honest. That's amazing. That's really incredible. I drank it in the morning and I swear to you, I felt incredible. I haven't felt sweet.
[19:36.000 --> 19:51.000]  My morning was fantastic and I love the guys, I love the info, it's true and I just want to take this opportunity to tell anybody out there who's on the fence, just buy it, you will love it. I'm telling you, I've never bought a bad product.
[19:51.000 --> 19:58.000]  What you find in our news is the same thing you find in our products at infowarslife.com. It's a win-win infowarslife.com.
[20:22.000 --> 20:41.000]  I want to say something here that's really, really important for everybody to understand in this information war and this fight for national sovereignty that's exploding across the world because people are hungry for self-determination and freedom.
[20:41.000 --> 21:00.000]  It's not our opinion that socialism and communism and forms of command and control governments create nightmares for 95% of the population and our failures by design and are just modern forms of feudalism with different mechanisms of control.
[21:00.000 --> 21:11.000]  And it's also not our opinion that there is a private corporate world government that has a very, very evil agenda of technocracy and breakaway civilization.
[21:11.000 --> 21:26.000]  This is the real world. This is what's discussed in all the major Fortune 100 boardrooms, the vertical integration, the social engineering plan and you are seen as dumb animals.
[21:26.000 --> 21:49.000]  The globalist believed until recently that you were unsalvageable and they believed that they could just relegate us to a joke and that my information was just discrediting to any type of liberty movement because it was so hardcore people weren't ready for it.
[21:49.000 --> 22:04.000]  They don't think that anymore and you and I and all of us together have devastated with a capital D devastated the planetary world government regime plan, the social engineering plan, all of it.
[22:04.000 --> 22:21.000]  We have already irrevocably damaged their program where the current 100 year program that they were going to the next phase of the second hundred years cannot be put back together again.
[22:21.000 --> 22:42.000]  Now they're going into an accelerated program and they think that they can try to reorganize it but they've got their own future predicting algorithms, they've got their big brain, idiot savants that can also stare into the lines of future convergence and they know what I'm saying is true.
[22:42.000 --> 22:54.000]  So they've already been beaten and they're trying to figure out how to reorganize things.
[22:54.000 --> 23:13.000]  I know inside major intelligence agencies and think tanks they told them that the plan has to be completely scrapped and it was not a good plan and that it's just going to blow back on the elites themselves but because really evil people at the top engineered it to begin with as a deception, it was just meant to destroy humanity to begin with.
[23:13.000 --> 23:33.000]  It was never meant to deliver the elites into Valhalla, into Elysium, the golden fields of the demigod, the worship of the AI, all of it envisioned over 100 years ago by Francis Galton and others, IBM.
[23:33.000 --> 23:51.000]  They were amazing futurists and they understood the power of humanity and ideas that if they put ideas out in literature and then in movies, people would then want that and would then build that a la 2001 space Odyssey, which is very accurate to how things are today.
[23:51.000 --> 24:04.000]  So all of this is secondary to the global gold rush for immortality and AI gods that I told you about 20 years ago that I put the film 11 years ago road to tyranny.
[24:04.000 --> 24:11.000]  That was 17 years ago in game blueprint for global enslavement.
[24:11.000 --> 24:25.000]  And now you see those headlines, the elite worship AI gods, they believe they're going to become gods, they're going to upload their consciousnesses, they're going to get rid of you, you have to die first, humanity's a scourge, they will perfect us.
[24:25.000 --> 24:28.000]  That was all in their literature.
[24:28.000 --> 24:44.000]  And I don't mean literature of a few futurists, this is the church, this is the Bible, this is the hymnal, this is the canon and cannons of who they are.
[24:44.000 --> 25:02.000]  They're going to make your world as ugly as possible, so that you then will buy into their digital world. And they're just like drug dealers. In the end, they will destroy you and everything they do bears rotting stinking fruit that's poisonous.
[25:02.000 --> 25:08.000]  Oh, immortality, Silicon Valley's latest obsession ushers in the transhumanist era.
[25:08.000 --> 25:16.000]  Oh, go read my book in game. See the film.
[25:16.000 --> 25:22.000]  Read the book out of print, but it's out there. It's online for free. 911.
[25:22.000 --> 25:31.000]  Descent into tyranny and I lay out the transhumanist era is the eugenics extension, and is the world government plan and is where world government takes us.
[25:31.000 --> 25:48.000]  It's just the vehicle to take us there. And now everything I said word for word is being put out in your face.
[25:48.000 --> 25:52.000]  Like you're an idiot.
[25:52.000 --> 26:00.000]  So that said, here's the important point I want to make.
[26:00.000 --> 26:05.000]  It's critical. Words cannot describe how critical it is.
[26:05.000 --> 26:14.000]  They sell you on the idea that if someone individually is being attacked or someone monetarily is being punished that they're losing.
[26:14.000 --> 26:24.000]  We lose the species. We lose everything of this plan goes through in their own words. We better take them serious because they've got us on this program.
[26:24.000 --> 26:29.000]  They got us in this prison.
[26:29.000 --> 26:34.000]  And if we're conscious of it, they'll never get away with it.
[26:34.000 --> 26:43.000]  And they take the weakest followers. They make them think it's cool. They give it media attention for people to be soy boys or, you know, transhumanist and all this.
[26:43.000 --> 26:50.000]  That's why they start with the trans, not about a man becoming a woman. It's about trans period into the robots.
[26:50.000 --> 26:59.000]  And that's why Crowder's joke that's been banned by Twitter is so accurate because really that's where the trans movement goes is to the chipped brain.
[26:59.000 --> 27:08.000]  I don't know if Crowder just as a kind of idiot savant did this or his researchers did or whether he understands that this guy identifies as a robot.
[27:08.000 --> 27:11.000]  That's actually where this is going.
[27:11.000 --> 27:24.000]  And so that's why you can't use the improper T words online in your band because as people begin to transmognify and go into these new things and are glorified,
[27:24.000 --> 27:34.000]  it's so you're glorified when you get the brain chips or when you have your consciousness uploaded to the computer and give up your body and there's a big party and everyone cheers and then I'm in the system.
[27:34.000 --> 27:42.000]  I'm in my avatar now and everyone's like, wow, you know, Joey's really cool. And then other people will beg and clamor.
[27:42.000 --> 27:50.000]  Oh, there's not a hard enough hard drive space in the cloud. It'll be another six months before someone else can, you know, upload into the consciousness and everyone will sign waiting lists to do it.
[27:50.000 --> 27:59.000]  And really they're going to kill you. They're going to kill you, but tell you it's really you and your family will believe it's you.
[27:59.000 --> 28:07.000]  When all it is is a digital hologram that scans your brains or memories or writings of voice print that fools you.
[28:07.000 --> 28:17.000]  This is the ultimate deception is dying. You will go to the euthanasia center.
[28:17.000 --> 28:25.000]  Just like Soylent Green, but you won't believe you're dying and then you will be killed.
[28:25.000 --> 28:34.000]  And then you'll just be a facsimile avatar that's not you just meant to fool more people into the ice grips.
[28:34.000 --> 28:44.000]  Now, I told you this about five years ago. Here it is today. Startup claims brain could be immortalized, digitally uploaded into the cloud.
[28:44.000 --> 28:54.000]  You see. And so that's where it is. And when you tell people the one world law will be this, when you go to the quote next level and upload your brain like childhood's in,
[28:54.000 --> 28:59.000]  which begins at Luminati Plan, it's not really you. If you criticize it, you'll be arrested.
[28:59.000 --> 29:06.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place.
[29:06.000 --> 29:09.000]  And what they don't steal will be destroyed.
[29:09.000 --> 29:18.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV.
[29:18.000 --> 29:25.000]  Even when you're miles away, security is a mindset and fake TV should be part of your security solution.
[29:25.000 --> 29:51.000]  Be vigilant, but not fearful. FakeTV.com.
[29:51.000 --> 29:58.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[30:22.000 --> 30:27.000]  We do the super mail and the super female vitality, big changes, a lot of energy.
[30:27.000 --> 30:32.000]  We've gotten off the cheap energy drinks, energy shots, they've got a ton of money there.
[30:32.000 --> 30:40.000]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated, or maximum potency.
[30:40.000 --> 30:45.000]  They want to stun and dumb down, and energy drinks and stuff just cover that up for a while, but then burn you out.
[30:45.000 --> 30:52.000]  In my experience, where the stuff that gets your glands naturally going goes right to the source, so it's pretty exciting and I love it.
[30:52.000 --> 30:59.000]  Visit infowarslife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[31:01.000 --> 31:06.000]  The reason InfoWars Life has five star ratings on major third-party sites is because I want products I'm going to use for my family.
[31:06.000 --> 31:13.000]  I take this, my family takes this, and then it funds the operation with the most hardcore, truthful information you're going to find anywhere.
[31:13.000 --> 31:17.000]  What you find in our news is the same thing you find in our products at infowarslife.com.
[31:17.000 --> 31:23.000]  If I ever forget to take them, I have a noticeable difference. I don't feel good.
[31:23.000 --> 31:27.000]  The nascent iodine is one of the ones that was life-changing for me.
[31:27.000 --> 31:35.000]  I've actually just run out of my super female. I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[31:35.000 --> 31:42.000]  Very exciting, feeling great, looking good, and I know my hair is a little luxurious once again.
[31:42.000 --> 31:44.000]  So obviously the super female is amazing. I love it.
[31:44.000 --> 31:48.000]  Nascent iodine is essential. Survival Shield X2.
[31:48.000 --> 31:54.000]  If there's one product that I would say is life-changing that I would suggest it's nascent iodine, Survival Shield X2.
[31:54.000 --> 32:13.000]  It's got a five-star rating. It's a win-win infowarslife.com.
[32:25.000 --> 32:35.000]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[32:35.000 --> 32:41.000]  The antioxidants found in cell force are some of the most powerful available on the market.
[32:41.000 --> 32:48.000]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[32:48.000 --> 32:54.000]  Boost, protect, and adapt with cell force from infowarslife.
[32:54.000 --> 33:20.000]  Or call 1-888-253-3139.
[33:24.000 --> 33:37.000]  The Jones Show
[33:37.000 --> 33:41.000]  So, as I predicted, it wasn't hard to do. It's the globalist plan.
[33:41.000 --> 33:47.000]  The ultimate transhumanism is to give up your body, because it's fatal, and the company now offers it,
[33:47.000 --> 33:55.000]  and you claim they can go in and download all the information off of your billions of neurons, and you'll live forever in the cloud.
[33:55.000 --> 34:00.000]  Yes, we'll put that article back up on screen here.
[34:00.000 --> 34:07.000]  Startup offers 100% fatal service that harvests brains for future upload.
[34:07.000 --> 34:15.000]  Yeah, I've got their program down. I can see exactly all the conditioning, all the programming. I know exactly what they're going to do.
[34:15.000 --> 34:18.000]  They're just dragging. It's just true.
[34:18.000 --> 34:22.000]  And this is how you convince people to kill themselves.
[34:22.000 --> 34:29.000]  They're going to make the world so hellish, it'll make you so addicted to your phones and your brain implants in the next 10, 20 years,
[34:29.000 --> 34:35.000]  that you'll be so depressed, as all these things are designed to make you depressed, that you'll believe like an anglerfish,
[34:35.000 --> 34:38.000]  you know, hangs out a little light to make the other fish swim into its mouth,
[34:38.000 --> 34:46.000]  deeper down the rat hole, deeper down the express elevator to hell,
[34:46.000 --> 34:49.000]  and that when you get down there to the bottom, you're going to find heaven.
[34:49.000 --> 34:57.000]  And look, if you go back 2000, 3000, 4000 years ago in China and in North Africa, in what's Egypt today and other areas,
[34:57.000 --> 35:06.000]  and in the Americas, in Mesoamerica, they found 15,000-year-old mummies in Central and South America and Mexico,
[35:06.000 --> 35:09.000]  and in the U.S. Southwest, they're always finding them.
[35:09.000 --> 35:14.000]  But only the ruling class, they believe they're ever going to live forever too.
[35:14.000 --> 35:19.000]  The scams always are the same. They just change how they do them.
[35:19.000 --> 35:24.000]  The only thing that's constant is change, and the more things change, the more they say the same.
[35:24.000 --> 35:27.000]  And that's it. Total scam.
[35:27.000 --> 35:33.000]  And I'm not going to get into how you freeze neurons and then they break, and then you unfreeze them, they shatter even more,
[35:33.000 --> 35:38.000]  how they're electrochemical and die once the electrochemical data starts going through them,
[35:38.000 --> 35:45.000]  and how you cannot resuscitate it, and how they have proven that there is a interdimensional spiritual force
[35:45.000 --> 35:52.000]  at the sixth dimension that your brain can actually peer into that opens a jump gate in your mind.
[35:52.000 --> 35:55.000]  That's how people have been able to predict the future, how they've been able to, you know, like,
[35:55.000 --> 35:59.000]  Aborigines in Australia are very famous for this.
[35:59.000 --> 36:03.000]  Like, especially the women, they'll know when their sons died in a mine, they'll just get up and say,
[36:03.000 --> 36:09.000]  I've got to be flown 2,000 miles, my son just died in the mine, and it's always accurate.
[36:09.000 --> 36:14.000]  That's just because they're tuned into their, their, that's how birds don't fly south for the winter,
[36:14.000 --> 36:21.000]  magnetic lines, we've got magnetic cells in our brains, but they all resonate with space time, space winds,
[36:21.000 --> 36:27.000]  the sun's energy, the planet's gravitational pull, its electromagnetic frequency,
[36:27.000 --> 36:30.000]  and then that's only third dimension.
[36:30.000 --> 36:38.000]  From there, just dark matter, all of those gravitational pulls, interdimensional vortices, all the mathematics show it,
[36:38.000 --> 36:44.000]  and the brain is an oracle, and the pineal gland, they've proven this scientifically that is opening to that.
[36:44.000 --> 36:48.000]  All the fake religions and all the scam artists know you know it's real,
[36:48.000 --> 36:54.000]  so they try to get in front as an intercessor in the priest class, and this whole thing is the priest class.
[36:54.000 --> 36:58.000]  You know you're going to live forever, you know you transfer on information.
[36:58.000 --> 37:05.000]  Genetically, all your ancestors onto your children, that's, see the universe, God made it in such a masterfulness
[37:05.000 --> 37:13.000]  that it's at the level we're at, three confirmed levels of immortality.
[37:13.000 --> 37:18.000]  As long as it continues its reproduction, it is immortal.
[37:18.000 --> 37:22.000]  That's why life then spreads itself, so even if something gets snuffed out, it's still immortal.
[37:22.000 --> 37:27.000]  Genetic immortality, and they've got genetic cells that are immortal.
[37:27.000 --> 37:30.000]  The Lazarus cell.
[37:30.000 --> 37:32.000]  Immortal cell lines.
[37:32.000 --> 37:37.000]  Then you've got cultural immortality, the written word, the transmitted word, ideas,
