[00:00.000 --> 00:05.160]  Look at that.
[04:08.280 --> 04:15.640]  Everyone can see it, and it's just something that we've absolutely got to do and we are
[04:15.640 --> 04:16.640]  going to do it.
[04:16.640 --> 04:23.640]  We're going to rise to the occasion, but I do intend to open the phones up and we come
[04:23.640 --> 04:26.640]  back in the next segment and plunge into it.
[04:26.640 --> 04:32.920]  Okay, let's just wait the 60 seconds of this break, and then when I come back I'll get
[04:32.920 --> 04:45.200]  into the terrorist storming the U.S. Embassy in Iraq and seeing and calling them protesters,
[04:45.200 --> 04:49.320]  and the latest move against the Second Amendment, the latest CHICOM move against the Second
[04:49.320 --> 04:51.880]  Amendment, and so much more.
[04:51.880 --> 04:59.800]  We'll be right back on this final transmission of the year 2019, stay with us.
[04:59.800 --> 05:07.200]  I spend a lot of time reminding the Info Wars family of listeners and viewers that without
[05:07.200 --> 05:10.720]  you we won't be on the air, and I spend a lot of time thanking you.
[05:10.720 --> 05:14.880]  But I really think you should thank yourself for keeping us on the air and really changing
[05:14.880 --> 05:19.160]  the world for the better and raising the alarm as modern ball reveres, but something I should
[05:19.160 --> 05:25.520]  spend more time on is just reminding you that these products are really amazing.
[05:25.520 --> 05:28.800]  You've got that pledge from me, but you've seen the third-party test out there, the air
[05:28.800 --> 05:33.600]  filtration, the water filtration, the supplements are all the very best you're going to find
[05:33.600 --> 05:34.600]  out there.
[05:34.600 --> 05:40.400]  And you can't fund an operation anywhere else that's fighting the globalist this hard.
[05:40.400 --> 05:44.280]  So it's not a burden to support Info Wars.
[05:44.280 --> 05:51.360]  It really is something that is good for everybody that stands for justice and freedom and makes
[05:51.360 --> 05:54.920]  your life and your family's life and your children's life so much better.
[05:54.920 --> 06:22.640]  So visit InfoWarsStore.com today.
[06:22.640 --> 06:24.480]  Hard to believe, but here we are.
[06:24.480 --> 06:31.640]  You've survived this far into the twilight of the twilight, the Gutturdama Rang, the
[06:31.640 --> 06:41.440]  battle of the gods, the last waning hours, minutes, and seconds down to the milliseconds
[06:41.440 --> 06:51.880]  of the year, 2019, and all over the news, we're being told that it is the dawn of a
[06:51.880 --> 06:56.320]  new decade.
[06:56.320 --> 07:04.720]  That's not true, and I know you know that, but the fact that it was a debate in 1999,
[07:04.720 --> 07:14.120]  the media couldn't wait to say that we ended the second thousand years since Christ's
[07:14.120 --> 07:23.760]  death and resurrection, as we mark it from Christ's birth, and they were so excited about
[07:23.760 --> 07:30.880]  saying that we were into a new millennia, not just a new century, that they told everyone
[07:30.880 --> 07:40.560]  that the year 2000, the start of that was the end of the 20th century and the second
[07:40.560 --> 07:45.560]  millennia after Christ, and the common calendar.
[07:45.560 --> 07:54.360]  Just absolutely not true, like saying men can have babies, they cannot.
[07:54.360 --> 07:58.080]  Now with all these genetically engineered artificial wombs that are really just human
[07:58.080 --> 08:03.120]  wombs outside of a woman, can they rig something up and grow some shriveled, poor human in
[08:03.120 --> 08:07.880]  there and roll it out and stick that in a man and say, oh, a man had a baby.
[08:07.880 --> 08:10.360]  Yeah, they can pretty much already do that.
[08:10.360 --> 08:19.320]  But that man didn't have a baby, a genetic Frankenstein was created, and a human soul
[08:19.320 --> 08:30.480]  was abused and tortured by mad scientist hell bent on playing God.
[08:30.480 --> 08:33.800]  Most people do makeup and hair before they go on air.
[08:33.800 --> 08:37.800]  I tend to forget about it and do it once I get on air.
[08:37.800 --> 08:38.800]  No makeup.
[08:38.800 --> 08:44.400]  I spent about five seconds calling my hair, which is evident side issue of your radio
[08:44.400 --> 08:48.400]  listening like what the hell's this guy talking about your TV or you get it, I'm like flyaway
[08:48.400 --> 08:49.400]  hair sticking up.
[08:49.400 --> 08:53.840]  Don't want that to become a distraction, do we five might just in the new year shave
[08:53.840 --> 08:54.840]  the head.
[08:54.840 --> 08:56.960]  My wife doesn't want me to she says, oh, no, your hair.
[08:56.960 --> 08:57.960]  I like it.
[08:57.960 --> 08:58.960]  Leave it.
[08:58.960 --> 08:59.960]  I don't know.
[08:59.960 --> 09:00.960]  I think in 2020.
[09:00.960 --> 09:05.440]  This this hair is going by by gotta give it up.
[09:05.440 --> 09:11.440]  Care less, can't wait to not mess with it.
[09:11.440 --> 09:12.440]  I'm digressing.
[09:12.440 --> 09:15.680]  Let me break down what's coming up today.
[09:15.680 --> 09:18.800]  And we'll watch these developments as they unfold.
[09:18.800 --> 09:23.280]  But I do want to shake things up, do things a little bit different.
[09:23.280 --> 09:30.920]  And so I want to go to your calls pretty much first on the embassy being overrun and attacked
[09:30.920 --> 09:36.760]  and what's behind that dangerous that is and the history of that and the different players
[09:36.760 --> 09:37.760]  that are involved.
[09:37.760 --> 09:39.400]  You're going to get a breakdown here.
[09:39.400 --> 09:41.920]  Believe me, you're not going to get pretty much anywhere else and it's going to be dead
[09:41.920 --> 09:49.120]  on dead on us embassy attacking Baghdad pro Iran mob death to America diplomats in safe
[09:49.120 --> 09:50.120]  room.
[09:50.120 --> 09:58.720]  Trump Tehran will pay that stretch report.com's accurate headline and here are the headlines
[09:58.720 --> 10:05.600]  from CNN that tells us America was never great will never be that great.
[10:05.600 --> 10:08.280]  Protesters try to storm the U.S. Embassy in Baghdad.
[10:08.280 --> 10:09.800]  Well, they're not protesters.
[10:09.800 --> 10:13.520]  They're terrorists that reportedly have injured and killed people and are burning down buildings
[10:13.520 --> 10:20.800]  and trying to take hostages till they got shot with tear gas and bean bag project calls
[10:20.800 --> 10:23.080]  and rubber bullets.
[10:23.080 --> 10:30.480]  That's U.S. soil I treaty people assaulting just like 1979 with the takeover of the U.S.
[10:30.480 --> 10:31.640]  Embassy in Tehran.
[10:31.640 --> 10:36.080]  We're going to be getting to that.
[10:36.080 --> 10:56.320]  It's currently going on and the takeover of the U.S. Embassy 1979 in Tehran, Iran.
[10:56.320 --> 11:02.440]  Continuing here's the Washington Post protesters chant death to America break into U.S. Embassy
[11:02.440 --> 11:05.600]  compound in Baghdad.
[11:05.600 --> 11:11.000]  So I guess if I went down to a federal building and broke into it and beat people up and aimed
[11:11.000 --> 11:14.400]  guns at them and then burned something down, I'll just go, oh, I'm a protester.
[11:14.400 --> 11:19.840]  Of course, I'd get shot dead and I should be unless I was storming the building, you
[11:19.840 --> 11:25.360]  know, to save kidnapped kids or something.
[11:25.360 --> 11:33.400]  People with battering rams wearing Hezbollah outfits, Hezbollah flags and the U.S. contractors,
[11:33.400 --> 11:41.160]  SOCs, the group that has a contract were ordered to stand down by the ambassador.
[11:41.160 --> 11:42.160]  And why is that?
[11:42.160 --> 11:45.920]  Oh, they're saying it's an Iranian trap to get us to shoot people so they can cause
[11:45.920 --> 11:48.240]  a civil war in Iraq.
[11:48.240 --> 11:56.880]  Well, when you attack an embassy like that, the default is defended or you end up with
[11:56.880 --> 12:06.640]  a bunch of people who are hostages with Iran trying the same thing again, like they did
[12:06.640 --> 12:10.480]  in 1979 in Tehran, Iran.
[12:10.480 --> 12:15.960]  And all you do is you go to YouTube, there it is, your TV viewer, and we can show you
[12:15.960 --> 12:28.040]  what happened back in 1979 and 1980 and that whole crazy situation, but it was a takeover
[12:28.040 --> 12:40.360]  by terrorists and they got a bunch of hostages and that's what they just tried to do again.
[12:40.360 --> 12:42.960]  There's another CNN headline.
[12:42.960 --> 12:50.160]  Others attack U.S. embassy in Baghdad after airstrike.
[12:50.160 --> 12:53.840]  The airstrikes were on Iranian forces engaged in military operations who were trying to
[12:53.840 --> 12:57.040]  take over Iraq, which isn't controlled by Iran.
[12:57.040 --> 12:59.120]  They've been trying to take it over for a long time.
[12:59.120 --> 13:03.520]  They had a seven-year war, eight-year war back in the 1980s.
[13:03.520 --> 13:06.440]  So Iran is the aggressor in all of this.
[13:06.440 --> 13:14.360]  Trump says Iran will be held fully responsible for attack on the U.S. embassy in Iraq.
[13:14.360 --> 13:16.360]  Iraqis attack U.S. embassy in Baghdad.
[13:16.360 --> 13:23.440]  Soldiers come under siege as Hezbollah supporters storm complex.
[13:23.440 --> 13:25.320]  Daily Mail got it right.
[13:25.320 --> 13:27.720]  Militiamen breach U.S. embassy in Baghdad.
[13:27.720 --> 13:29.520]  Trump blames Iran.
[13:29.520 --> 13:30.520]  Blames Iran.
[13:30.520 --> 13:31.520]  That's AP.
[13:31.520 --> 13:36.440]  That's a more accurate headline, though, but they won't even back the president when the
[13:36.440 --> 13:44.240]  people say, we're with Hezbollah, we block Iran, and Iran is openly phonening it.
[13:44.240 --> 13:49.720]  Our media is so anti-American they won't even agree with the president that the sky is blue.
[13:49.720 --> 13:53.200]  Violent protest erupt around U.S. embassy in Baghdad after U.S. airstrike.
[13:53.200 --> 13:54.200]  Reuters.
[13:54.200 --> 13:58.320]  Is U.S. embassy attacking Baghdad part of an Iran trap?
[13:58.320 --> 14:12.600]  A toll-free number to join us to discuss this, and so much more is 877-789-2539, 877-789-ALEX.
[14:12.600 --> 14:16.760]  And I do want to give first-time callers a chance in the first round to get on them.
[14:16.760 --> 14:17.760]  We'll take calls from everybody.
[14:17.760 --> 14:20.560]  And any callers yesterday that were left on hold, we got your number.
[14:20.560 --> 14:21.760]  We're able to call you back.
[14:21.760 --> 14:23.360]  We'll get you lined up first.
[14:23.360 --> 14:27.280]  As I promised we would do, I think I see some now popping up on the board, so that is all
[14:27.280 --> 14:28.280]  coming up.
[14:28.280 --> 14:32.920]  It's obviously not just this issue, though it's a big one.
[14:32.920 --> 14:38.880]  That's one way of the deep stake to try to derail Trump is another 1979-1980 hostage crisis
[14:38.880 --> 14:39.880]  with Iran.
[14:39.880 --> 14:42.200]  Iran is trying to repeat that, obviously.
[14:42.200 --> 14:44.760]  They're working with elements in the deep state.
[14:44.760 --> 14:50.320]  John Kerry, George Soros, Hillary Obama, to have shadow policy and to derail what Trump's
[14:50.320 --> 14:51.320]  been doing.
[14:51.320 --> 14:52.760]  They've admitted that.
[14:52.760 --> 14:55.920]  You talk about treason, that's it.
[14:55.920 --> 14:59.360]  And there was just some footage for TV viewers of what happened back in the 79.
[14:59.360 --> 15:00.800]  Let's keep rolling that.
[15:00.800 --> 15:06.720]  So they're trying this again, and if Trump wants to stop it, he has to beef up security
[15:06.720 --> 15:10.920]  at these embassies, especially the big green zone that's heavily fortified.
[15:10.920 --> 15:16.280]  And he has to give orders that if someone breaches it, you kill them.
[15:16.280 --> 15:19.760]  And if someone is organizing and approaching saying they're going to breach it with a battering
[15:19.760 --> 15:22.360]  ram, you light them up.
[15:22.360 --> 15:30.040]  But again, the head ambassador and others have evacuated, leaving others there to be
[15:30.040 --> 15:33.680]  hostages, and this all needs to be investigated.
[15:33.680 --> 15:38.720]  Who gave the order to let the terrorists breach the facility and set it on fire?
[15:38.720 --> 15:42.240]  So our media could call them loving protesters, kind of like when Al-Baghdadi got killed,
[15:42.240 --> 15:48.000]  they called him a austere religious leader, a man of goodness.
[15:48.000 --> 15:54.320]  So it's all coming up, the latest on the Chai comms, that's huge news.
[15:54.320 --> 15:58.000]  It's up on drugsreport.com, your phone calls, and so much more.
[15:58.000 --> 16:03.240]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival
[16:03.240 --> 16:07.480]  backup system but we're waiting for prices too crazy to pass up, this will be the most
[16:07.480 --> 16:09.280]  important message you'll ever hear.
[16:09.280 --> 16:13.160]  Bill Hyde, here I want to tell you about a huge sale with historically low prices on
[16:13.160 --> 16:17.760]  our PPX microgrid system that's going to let you produce an endless supply of electricity
[16:17.760 --> 16:18.760]  off the grid.
[16:18.760 --> 16:22.400]  The clearance price is a result of the historic flooding we're having here, right on the
[16:22.400 --> 16:24.160]  east bank of the Mississippi.
[16:24.160 --> 16:28.120]  Because of the flooding, we've had to move a lot of our inventory to a temporary location,
[16:28.120 --> 16:31.720]  and rather than move it back to the warehouse, we thought we'd offer the system at a price
[16:31.720 --> 16:36.080]  that might seem unbelievable if you didn't know the floodwater's backstory.
[16:36.080 --> 16:41.720]  So here's what you should do right now, check out the PPX microgrid system at myownpowergrid.com.
[16:41.720 --> 16:47.080]  That's myownpowergrid.com, over a thousand dollars in great off the grid gear and a ton
[16:47.080 --> 16:48.080]  of bonuses too.
[16:48.080 --> 16:52.320]  And the best part, you're not going to pay 750 or 500 dollars, 300 or even 200.
[16:52.320 --> 16:55.080]  Go to myownpowergrid.com to learn more.
[16:55.080 --> 16:58.000]  That's myownpowergrid.com.
[16:58.000 --> 17:03.000]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels
[17:03.000 --> 17:06.800]  may not be fully detected by you, but the symptoms are there.
[17:06.800 --> 17:11.680]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are
[17:11.680 --> 17:15.200]  just a few of these that can alert you that something is wrong.
[17:15.200 --> 17:19.720]  Here how heart and body extract is making a difference in thousands of people's lives
[17:19.720 --> 17:20.720]  across America.
[17:20.720 --> 17:24.520]  My blood pressure has normalized, my diabetes has totally improved.
[17:24.520 --> 17:28.320]  Everyone is telling me now how much healthier I look and I'm telling everyone how much
[17:28.320 --> 17:29.320]  healthier I feel.
[17:29.320 --> 17:31.960]  I recommend heart and body extract to everyone.
[17:31.960 --> 17:37.120]  Anybody over 40 in the North American continent should be using this product as a preventative
[17:37.120 --> 17:39.600]  to keep their cardiovascular system healthy.
[17:39.600 --> 17:50.680]  Enter your two month supply today by calling 866-295-5305 or order online hbextract.com.
[17:50.680 --> 17:59.560]  Heart and body extract 866-295-5305 or hbextract.com.
[17:59.560 --> 18:02.960]  Info wars has delivered.
[18:02.960 --> 18:08.360]  Info wars has come through time and time and time and time again.
[18:08.360 --> 18:15.440]  At that critical game changing moment, we have come through.
[18:15.440 --> 18:20.320]  And that means myself, the other hosts, the journalists, the researchers, the writers,
[18:20.320 --> 18:25.120]  the crew, down to the janitor, down to the bookkeeper.
[18:25.120 --> 18:26.880]  There is no top, there is no bottom.
[18:26.880 --> 18:31.040]  We are a family in this fight, ladies and gentlemen.
[18:31.040 --> 18:32.920]  And the stakes have never been higher.
[18:32.920 --> 18:35.160]  That's what the globalists want to take us out of the game.
[18:35.160 --> 18:38.960]  Only you keep info wars in the game.
[18:38.960 --> 18:40.480]  You are the info war.
[18:40.480 --> 18:44.400]  And now, this Christmas and come up to the end of the year is the time to spend your
[18:44.400 --> 18:50.440]  money at infowarstore.com to fund us into this next critical year of 2020 while getting
[18:50.440 --> 18:54.040]  great products that make your life and your family's life a lot better.
[18:54.040 --> 18:55.320]  Huge sales right now.
[18:55.320 --> 19:00.520]  Now's the time to shop at infowarstore.com.
[19:00.520 --> 19:05.360]  I've got a problem that I want to confess to listeners and viewers.
[19:05.360 --> 19:10.200]  I've been on the air so long that I take it for granted now when we break some massive
[19:10.200 --> 19:16.680]  story that changes the whole world and that really does great things for the future of
[19:16.680 --> 19:20.080]  not just our children, but our children's children.
[19:20.080 --> 19:22.000]  Info wars really has changed history.
[19:22.000 --> 19:25.200]  And that's why I need to pull back and ask the listeners, because I know you're a lot
[19:25.200 --> 19:29.200]  like me, to really think about a world without info wars.
[19:29.200 --> 19:33.680]  Because I can tell you right now, if people don't really step to the plate and really
[19:33.680 --> 19:38.280]  financially support our broadcast going into 2020, we're not going to be on the air in
[19:38.280 --> 19:39.920]  a year or so.
[19:39.920 --> 19:45.120]  If you do support us, we're not just going to stay on the air, but we are going to expand
[19:45.120 --> 19:47.600]  in ways that are going to blow you away.
[19:47.600 --> 19:49.200]  I've never let you down.
[19:49.200 --> 19:51.080]  You've never let me down.
[19:51.080 --> 19:52.080]  Step up to the plate now.
[19:52.080 --> 19:57.160]  Go to infowarstore.com, buy great products and fund our operation and watch us make history
[19:57.160 --> 20:02.160]  together again.
[20:02.160 --> 20:10.160]  You're listening to the Alex Jones show.
[20:10.160 --> 20:17.160]  We've got it.
[20:17.160 --> 20:21.600]  Waging war on corruption.
[20:21.600 --> 20:28.600]  This is Alex Jones coming to you live from the front lines of the info war.
[20:28.600 --> 20:31.600]  We've got it.
[20:31.600 --> 20:33.600]  We've got it.
[20:33.600 --> 20:35.600]  We've got it.
[20:35.600 --> 20:37.600]  We've got it.
[20:37.600 --> 20:39.600]  We've got it.
[20:39.600 --> 20:41.600]  We've got it.
[20:41.600 --> 20:43.600]  We've got it.
[20:43.600 --> 21:00.600]  We've got it.
[21:00.600 --> 21:07.600]  We've got it.
[21:07.600 --> 21:13.360]  St. Louis and just the great job he did in front of Congress pulling that off perfectly and all the rest of the great work
[21:13.360 --> 21:15.360]  He's doing our other reporters. You know
[21:16.200 --> 21:18.200]  I'm a fan of our crew
[21:19.400 --> 21:24.500]  I've met like Michael Jordan and all these other top Hollywood people and
[21:25.280 --> 21:28.040]  They're interesting and they've definitely got something about them, but I
[21:28.680 --> 21:31.380]  See like Owen Schreuer walking on the hall and I go, that's Owen Schreuer
[21:31.560 --> 21:34.200]  That's somebody fighting for my future my children's future
[21:34.200 --> 21:40.800]  That's the guy that has a will not to care what the global is due to him or be de-platformed or be lied about or be demonized
[21:40.800 --> 21:44.720]  And he just gets stronger in the face of it. That's the spirit
[21:46.720 --> 21:48.720]  Because the quote
[21:48.960 --> 21:50.960]  Roy Batty from Blade Runner
[21:51.240 --> 21:55.000]  It better get it better get it up or I'm gonna have to kill you
[21:56.040 --> 21:58.040]  Look at that
[21:59.800 --> 22:01.800]  Get it up or I'm gonna have to kill you
[22:01.800 --> 22:03.800]  Yeah, it's a good quote
[22:04.360 --> 22:06.960]  I don't know other good quotes in that movie, but let me
[22:08.120 --> 22:10.120]  Get back to what I was saying
[22:10.200 --> 22:13.000]  We're taking your calls right now and then
[22:15.320 --> 22:19.240]  Into the hour I'm gonna start the second I come in live
[22:20.520 --> 22:24.320]  The second I come in like a horse out of the gates and
[22:25.160 --> 22:28.600]  I'm going to cover what's really going on
[22:28.600 --> 22:32.040]  From the fluid situation and the different
[22:33.080 --> 22:40.560]  factions in our government and in the Iranian government and in the Middle East and how dangerous this attack on the embassy is and what it
[22:40.960 --> 22:48.560]  Signifies in the new year on how the globalists are gonna try to test and then derail Trump because they're billing it as his new Benghazi or
[22:49.240 --> 22:51.240]  His new Bay of Pigs
[22:51.440 --> 22:57.120]  But really what it is is a rerun of 1979 by the deep state to
[22:57.120 --> 22:59.120]  embarrass Jimmy Carter
[23:00.440 --> 23:02.440]  So that is all
[23:03.520 --> 23:04.760]  Coming up today
[23:04.760 --> 23:07.760]  I also shot a special report right before I went live on that
[23:08.160 --> 23:13.720]  That'll be posted on info wars.com has a lot of documentation and it in four clean minutes
[23:14.160 --> 23:16.280]  So that'll be on info wars.com soon
[23:17.720 --> 23:19.720]  Also, wow
[23:20.840 --> 23:25.000]  I had one of the reporters walk up and say hey, what do you want to call the article we put out every day?
[23:25.000 --> 23:28.360]  with a headline about the live feed of the show and what the main
[23:31.040 --> 23:37.440]  Topic is what the top story is and it really is the chai-kong takeover of the planet
[23:40.080 --> 23:41.120]  And
[23:41.120 --> 23:42.880]  I'm not for abortion
[23:42.880 --> 23:50.120]  But I am for metaphysical abortion of horrible monstrosities like baby Grendel rolling out from between his serpent mother's legs
[23:50.760 --> 23:53.440]  so I would like to kill Grendel in utero and
[23:53.440 --> 23:58.960]  and Trump got in and patriots are getting elected all the world in about the eight month and
[24:00.520 --> 24:05.960]  So Grendel's mommy has gone ahead and decided to push Grendel out and
[24:07.680 --> 24:10.080]  Grendel is getting up on his hind legs right now
[24:10.280 --> 24:15.200]  We really need Beowulf to rip his arm out by the socket and strangling like right now
[24:15.200 --> 24:22.920]  We need Beowulf right now to do a number on Grendel and then do a number on
[24:25.600 --> 24:31.480]  Grendel's mommy who is the globalist that have created this monstrosity so
[24:33.440 --> 24:39.600]  Here are those headlines that I'm gonna hit at the middle and I'm gonna do this of the second hour and I'm gonna do it
[24:39.600 --> 24:45.480]  Chinese state media gun ownership out of control in the US calls for our guns to be taken
[24:46.280 --> 24:48.280]  That's Breitbart
[24:48.280 --> 24:53.320]  Here's a big story Michael Snyder from end of the American Dream blog. It's posted up on dredger4.com
[24:53.880 --> 24:58.560]  The takeover China is building enormous self-sustaining
[24:59.320 --> 25:04.760]  Chinese cities all over the African continent will explain why that's so important
[25:05.760 --> 25:07.760]  because you're hearing that
[25:07.760 --> 25:10.000]  Globalism is dead in 2020
[25:11.920 --> 25:16.960]  Not so fast it's damaged it's exposed, but it was always meant to metastasize
[25:18.560 --> 25:20.560]  Into the takeover
[25:21.120 --> 25:28.240]  So if you want to know about that, I'm gonna lay it out bottom the next hour and the economic sabotage the globalists are engaged in to make sure that we never
[25:29.480 --> 25:31.480]  Are able
[25:31.480 --> 25:35.880]  To stop it, but if you're aware of this operation, it's very easy to be
[25:36.680 --> 25:42.680]  But you've got to admit how horrible it is to beat it and most people go. Hey, let's be in a stage of denial here
[25:43.440 --> 25:46.680]  Unless just convince ourselves. Everything's really gonna be okay. It's not that bad
[25:47.520 --> 25:55.680]  That's not being optimistic. That's not being realistic facing just how bad it is is what allows you to deal with it and defeat it
[25:56.680 --> 25:58.680]  hiding bad news
[25:58.680 --> 26:02.080]  It's not a good thing to do. Let's get out ahead of it because we can fix it
[26:03.200 --> 26:04.240]  easily
[26:04.240 --> 26:06.240]  but you've got to admit
[26:06.240 --> 26:08.240]  yourself the full
[26:08.760 --> 26:10.760]  Magnitude
[26:10.760 --> 26:12.760]  so that's coming up and
[26:12.840 --> 26:17.800]  The handover of the internet to the chai cons and all of it. How do we kill Grendel and
[26:18.600 --> 26:22.400]  Save the Chinese people who are the main blood source of this thing
[26:23.080 --> 26:25.560]  But it's gotta be done really really
[26:25.560 --> 26:28.400]  fast can't wait much longer
[26:29.080 --> 26:31.080]  to cut it off
[26:38.080 --> 26:43.360]  And it's that debate within globalism that's allowed us to drive a wedge into their own system and defeat them
[26:43.360 --> 26:46.160]  So it's it's it's a big deal. We're gonna cover that and
[26:46.720 --> 26:52.120]  the history of government protecting mass shooters and then hyping up mass shootings and the admissions that it's causing
[26:52.120 --> 26:55.680]  Mass shootings the way the media hypes it and what's coming in 2020 in my view as well
[26:55.680 --> 27:00.520]  But your calls though throughout the broadcast and it's probably been a couple years as I've gone to calls by this segment
[27:00.520 --> 27:03.520]  But I'm doing it right now. Jeff in Canada
[27:04.240 --> 27:08.160]  Jeff in Canada is our first caller. Thank you sir for joining us. Go ahead
[27:09.640 --> 27:11.640]  Yeah, thanks for taking my call
[27:12.160 --> 27:18.640]  Two things. I think the the first thing and most important thing is a personal relationship with Jesus second thing
[27:18.640 --> 27:24.040]  is the free speech issue is the hinge for every other issue and
[27:24.040 --> 27:28.720]  You were talking a couple shows ago about how do we wake up Trump to the fact that he
[27:29.240 --> 27:35.040]  He's the one that has to make this initiative. We can talk about it all day, but we're the frog is boiling, right?
[27:35.040 --> 27:37.040]  Or it was about to boil. So
[27:37.680 --> 27:39.680]  Here's what I was thinking
[27:39.920 --> 27:45.280]  What would it look like if Trump would look out into one of his rallies and he said
[27:45.280 --> 27:51.920]  Trump would look out into one of his rallies and he saw hundreds or thousands of people with duct tape on their mouth
[27:52.160 --> 27:57.480]  With I was censored for what looking at infowars. I was censored for
[27:58.200 --> 28:01.320]  Talking about vaccines. I was censored for whatever and
[28:02.200 --> 28:06.560]  What I'm seeing and I'll submit this to you. I'm not just a just an idea
[28:07.240 --> 28:15.080]  What about the the armored vehicle showing up at a Trump rally early when the big lines are out and go out hand out duck tape and
[28:15.080 --> 28:17.760]  talk to people about the essential
[28:18.840 --> 28:21.440]  fact that that free speech is going and
[28:22.120 --> 28:27.480]  Do a silent protest at a Trump rally with people putting duck tape over their mouth? Jeff
[28:27.480 --> 28:29.640]  How would you like to fly to Austin and?
[28:30.680 --> 28:36.280]  Get hired as a contractor for the next 300 days to run that operation because that that that's we actually
[28:36.880 --> 28:43.040]  talked about that a few weeks ago how to go mobilize the fans the patriots to not take over a Trump rally
[28:43.040 --> 28:49.840]  But to go in with a strong message and we actually debated like handing out t-shirts that said something like that
[28:49.840 --> 28:53.120]  But the duck tape over the mouth is even better stay right there
[28:53.640 --> 28:56.760]  That's why 2020 is the year of awakening
[28:58.000 --> 29:03.640]  Finally, there's a way for you to get into the blockchain the hottest financial sector without all the speculation
[29:03.640 --> 29:11.320]  No, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin seen on programs broadcast on Fox business news
[29:11.320 --> 29:16.280]  Blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace
[29:16.520 --> 29:24.480]  Inspired by entrepreneurs who sold picks and shovels during the gold rush the money is in the mining equipment used to manufacture dozens of critical digital assets
[29:24.880 --> 29:32.920]  Non-security IPO or note blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment
