[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[00:12:55.232 --> 00:12:58.857]  They use issues in order to achieve power.
[00:12:58.857 --> 00:13:02.201]  They're not really interested in the result.
[00:13:02.201 --> 00:13:05.365]  Wow, Ambassador Alan Keyes is our guest.
[00:13:05.365 --> 00:13:09.189]  Absolutely amazing how you just laid it all out and everything you were saying there
[00:13:10.208 --> 00:13:27.120]  It's true, because right in front of me today, ABC News and MSNBC and the New York Times in my stack, they spin it like it's good, and they go, look, the big insurance companies, look, the big doctors' unions, look, all these special interests are getting together.
[00:13:27.880 --> 00:13:28.501]  We're good to go.
[00:13:43.533 --> 00:13:49.658]  Congressman Conyers says they can't read a 1300 page bill, but the government can then implement all our health care.
[00:13:49.658 --> 00:13:56.364]  I mean, they can't get anything right, and really they're just grabbing the whole industry for themselves.
[00:13:56.364 --> 00:13:59.106]  So I'd like you to comment on that, and then secondarily...
[00:13:59.967 --> 00:14:12.489]  It's come out that White House-funded groups, ACORN and others, I mean, here's the actual ad, defend President Obama's health care plan over August recess, $500 a week, now is your chance to make health care work.
[00:14:12.489 --> 00:14:26.232]  Here they are, JobsThatMatter.org, a Democratic-funded group, paying people, and then they got caught, Obamacamp plant fake document, and Shea Guevara fan at Jackson Lee Forum,
[00:14:26.892 --> 00:14:36.098]  And they got caught with this woman who works for this lady, right here in the shot, who works with Obama, famously in the photo with her and Che Guevara.
[00:14:36.098 --> 00:14:48.326]  And then here she is, faking, going to staged questioners, posing as doctors, saying, so even the few people that they go to at their own town halls, it's staged, Ambassador!
[00:14:48.326 --> 00:14:51.949]  They've been accusing us of it being staged, they are caught staging it!
[00:14:52.549 --> 00:15:07.336]  Well, see, but this corresponds, and I hope a lot of people, well maybe a lot of people don't, but one of the standard practices of the old communists, right, in the 20th century was to accuse their opponents of doing the things that they themselves do routinely.
[00:15:08.156 --> 00:15:20.562]  And that's exactly what has been happening here, but particularly with respect to these staged meetings in the Soviet Union and Eastern European countries under communism, under these dictators in the third world.
[00:15:20.562 --> 00:15:32.607]  This idea of the staged event where you pretend you got all kinds of public support when you're actually ham-picked people to come out and do show trials, as it were, and show press conferences and all of this, that's standard practice.
[00:15:32.967 --> 00:15:36.589]  These people are simply showing themselves to be exactly what they are.
[00:15:36.589 --> 00:15:56.278]  A bunch of leftists following the handbook of the communists, trying to impose this system on the people of the United States against our will, with lies and staged manipulations of perception and so forth, exactly as Olinsky and others have recommended to the left-wingers that they do.
[00:15:56.278 --> 00:15:57.138]  It also, of course,
[00:15:58.095 --> 00:16:06.919]  Max of the tactics that were used during the era of the first National Socialist push, the right-wing National Socialists, we call them Nazis, right?
[00:16:06.919 --> 00:16:15.323]  And they had the same kind of approaches for manipulating politics and practiced the same effort to vilify their opponents.
[00:16:16.163 --> 00:16:33.198]  And to dehumanize them in various ways with name-calling and junk like this, just as these people are now trying to pretend that anybody who looks at this on the basis of the facts, analyzes it in light of the ideology and what it's all about, calls what they're doing socialism.
[00:16:33.198 --> 00:16:35.240]  And you've had these people standing up and saying, well, that's racist!
[00:16:35.240 --> 00:16:37.382]  That's just the code word for race!
[00:16:37.382 --> 00:16:39.064]  What nonsense is this?
[00:16:39.064 --> 00:16:40.645]  Do they really think we're that stupid?
[00:16:41.803 --> 00:16:46.365]  Well, I mean, they clearly, Ambassador, and I want your opinion on this, it's cold-blooded.
[00:16:46.365 --> 00:16:48.485]  They know.
[00:16:48.485 --> 00:17:04.651]  They took all these well-meaning people that voted for Obama, I know a lot of rednecks around here in Texas did, to prove they weren't racist, wanting to have everybody live together in peace, and then now cold-bloodedly these poverty pimps, these Annenberg Foundation people, these Ford Foundation people,
[00:17:05.431 --> 00:17:31.390]  knowingly come in and say if you disagree with cap and trade if you disagree with his policies on government health care you are a racist and I get hundreds of emails a week saying that I'm secretly a white supremacist because we posted the Obama Joker photo saying socialism I mean isn't that really the racism or invoking the racism as divide and conquer cold-bloodedly
[00:17:31.730 --> 00:17:32.730]  Absolutely.
[00:17:32.730 --> 00:17:34.031]  But then, think about it.
[00:17:34.031 --> 00:17:39.373]  The whole Obama effort was a cold-blooded invocation of race.
[00:17:39.373 --> 00:17:45.375]  Everything about what these people did was a cold-blooded effort to play the race card.
[00:17:45.375 --> 00:17:46.896]  And that's what it was all about.
[00:17:47.816 --> 00:18:01.144]  And the whole idea that you should vote for somebody not because of the color of their skin, but because of their qualities and characteristics and your agreement with what they were trying to do that was right for the country, that they threw out.
[00:18:01.144 --> 00:18:09.088]  And of course now they want it thrown out because most people look at what these up do, realize that people like myself were not exaggerating.
[00:18:09.608 --> 00:18:12.210]  You had a lot of people that said, oh, that's just extremism.
[00:18:12.210 --> 00:18:13.251]  You're exaggerating.
[00:18:13.251 --> 00:18:14.252]  No, he's not like that.
[00:18:14.252 --> 00:18:16.093]  His speeches are so moderate.
[00:18:16.093 --> 00:18:20.176]  But that's because, as we're discovering, the man's a pathological liar.
[00:18:20.176 --> 00:18:21.337]  I'm sorry.
[00:18:21.337 --> 00:18:22.538]  He lies.
[00:18:22.538 --> 00:18:23.879]  And he is studied at it.
[00:18:23.879 --> 00:18:25.300]  He is skillful at it.
[00:18:25.300 --> 00:18:31.385]  He is a shrewd actor, as it were, that turns his whole person and delivery into the lie.
[00:18:31.385 --> 00:18:33.987]  But nonetheless, it does not correspond with the truth.
[00:18:35.246 --> 00:18:38.127]  Well, that's what I was going to say.
[00:18:38.127 --> 00:18:40.848]  You live in Illinois, you knew him, and I respect you.
[00:18:40.848 --> 00:18:46.410]  I interviewed you for D Magazine back in the mid-90s, interviewed you again on radio many years ago.
[00:18:46.410 --> 00:18:49.491]  I respected you and thought that you were right.
[00:18:49.491 --> 00:18:53.753]  I just thought, well, Keyes doesn't usually have any rhetoric, but man, is Obama this bad?
[00:18:53.753 --> 00:19:02.336]  I mean, I wasn't for Obama, but I remember the speeches you gave and the warnings, and now it's all true, and that's what's concerning me.
[00:19:03.373 --> 00:19:06.134]  That's one of the problems, I guess, I have in life.
[00:19:06.134 --> 00:19:09.675]  I'm dealing with issues right now, whether it's the healthcare issue, the eligibility issue.
[00:19:09.675 --> 00:19:12.996]  People always try to pretend that there's some motive involved.
[00:19:12.996 --> 00:19:16.756]  I just try to look at things and call them as I see it.
[00:19:16.756 --> 00:19:23.898]  Based on the knowledge and experience that I've had, I try to clearly share with people conclusions that I think make sense.
[00:19:23.898 --> 00:19:25.479]  And that's what I try to do in that case.
[00:19:26.619 --> 00:19:27.680]  We're clear.
[00:19:27.680 --> 00:19:38.068]  And therefore, I feel that if you're a public person, you have an obligation to share that true understanding as best you can with the people that you're talking to.
[00:19:38.068 --> 00:19:44.373]  Well, since you gave those speeches and talked about him wanting to force abort babies, it's now been confirmed.
[00:19:44.373 --> 00:19:45.233]  Let's go over.
[00:19:45.233 --> 00:19:48.136]  You know this gentleman.
[00:19:48.136 --> 00:19:51.358]  You know who the president really is and who his controllers are.
[00:19:51.358 --> 00:19:55.001]  So let us in to your expertise on the other side.
[00:19:55.001 --> 00:19:56.202]  Ambassador Keyes is our guest.
[00:19:57.364 --> 00:20:05.131]  Robert Beatle's new book, Here's What You Do, was written for anyone who wants to survive the upcoming and ongoing financial storm.
[00:20:05.131 --> 00:20:10.196]  Get prepared and go to here'swhatyoudo.net and buy the $6 book.
[00:20:10.196 --> 00:20:15.741]  He is also trying to help us by running for Congress to stop the thievery and loss of liberties.
[00:20:15.981 --> 00:20:20.683]  Please arm yourself with his guide and go to hereiswhatyoudo.net.
[00:20:20.683 --> 00:20:22.823]  That's hereiswhatyoudo.net.
[00:20:22.823 --> 00:20:24.664]  Hereiswhatyoudo.net.
[00:20:24.664 --> 00:20:27.125]  Again, hereiswhatyoudo.net.
[00:20:27.125 --> 00:20:28.726]  Wondering about your retirement portfolio?
[00:20:28.726 --> 00:20:33.267]  Is your financial advisor experienced enough to combat rising interest rates, taxes, inflation?
[00:20:33.267 --> 00:20:35.628]  Stop guessing and go to the expert, Robert Chapman.
[00:20:35.728 --> 00:20:36.028]  We're good.
[00:20:57.481 --> 00:21:04.143]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth to retire and live out their golden years.
[00:21:04.143 --> 00:21:12.265]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:21:12.265 --> 00:21:20.087]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt, ensuring inflation and higher taxes?
[00:21:20.427 --> 00:21:25.508]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:21:25.508 --> 00:21:30.269]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:21:30.269 --> 00:21:35.091]  A gripping adventure into the secret world of international banking cartel.
[00:21:35.091 --> 00:21:36.171]  Hi, this is Ted Anderson.
[00:21:36.171 --> 00:21:40.212]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:21:40.672 --> 00:21:45.575]  Call 1-800-686-2237 and order a copy today.
[00:21:45.575 --> 00:21:48.577]  It's critical that the public be made aware of the system.
[00:21:48.577 --> 00:21:50.318]  Call and order your copy today at 1-800-686-2237.
[00:21:50.318 --> 00:21:50.578]  That's 1-800-686-2237.
[00:21:57.347 --> 00:22:03.151]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:22:03.151 --> 00:22:10.757]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:22:10.757 --> 00:22:16.902]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:22:17.282 --> 00:22:19.303]  Well, Obama's already fudging.
[00:22:19.303 --> 00:22:21.804]  He's fudged since day one of this election.
[00:22:21.804 --> 00:22:32.788]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:22:33.388 --> 00:22:35.049]  It's not about left or right.
[00:22:35.049 --> 00:22:36.910]  It's about a one world government.
[00:22:36.910 --> 00:22:43.835]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:22:43.835 --> 00:22:52.100]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:22:52.100 --> 00:22:53.661]  The Obama Deception.
[00:22:53.661 --> 00:22:54.862]  The people strike back.
[00:22:57.401 --> 00:22:58.643]  Do you have trouble getting through the day?
[00:22:58.643 --> 00:23:00.505]  Do you feel tired and worn out?
[00:23:00.505 --> 00:23:02.348]  Pounding expensive energy drinks?
[00:23:02.348 --> 00:23:07.254]  It's a proven fact many people do not get the proper daily intake of essential vitamins and nutrients.
[00:23:07.254 --> 00:23:11.860]  With the lifestyles we lead, eating fruits and vegetables is sometimes easier said than done.
[00:23:12.381 --> 00:23:14.222]  Introducing Choose4Health.
[00:23:14.222 --> 00:23:20.567]  Choose4Health brings you 16 powerful ingredients in one delicious chewable for around 75 cents per day.
[00:23:20.567 --> 00:23:24.910]  Each chewable contains a full day's worth of the necessary fruit and vegetable intake you need.
[00:23:24.910 --> 00:23:33.496]  Choose4Health also contains antioxidants and vitamin B12 to give you that extra boost to curb midday cravings for snacks, energy drinks, and coffee.
[00:23:33.496 --> 00:23:40.982]  Call 1-800-210-1922 right now and you will receive a one-week supply of Choose4Health absolutely free.
[00:23:40.982 --> 00:23:42.183]  Just pay shipping and handling.
[00:23:42.503 --> 00:23:44.784]  Call 1-800-210-1922.
[00:23:44.784 --> 00:23:48.146]  That's 1-800-210-1922.
[00:23:48.146 --> 00:23:50.768]  Or visit orderchoose.com.
[00:23:50.768 --> 00:23:54.050]  That's order, C-H-E-W-S, dot com.
[00:23:54.050 --> 00:23:58.272]  Start your healthy lifestyle now.
[00:23:58.272 --> 00:24:04.096]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:24:04.096 --> 00:24:08.178]  Because there's a war on for your mind.
[00:24:08.178 --> 00:24:11.000]  Loyaltytoliberty.blogspot.com
[00:24:12.441 --> 00:24:17.403]  Ambassador Keyes, are there any other sites or books or materials?
[00:24:17.403 --> 00:24:18.663]  What's some of your latest work?
[00:24:18.663 --> 00:24:20.804]  The World Net Daily articles?
[00:24:20.804 --> 00:24:26.566]  For people that want to... The major outlets for what I write these days, the most important one is Loyal to Liberty.
[00:24:26.566 --> 00:24:28.007]  That's Loyal to Liberty.
[00:24:28.007 --> 00:24:30.748]  L-O-Y-A-L-T-O-L-I-B-E-R-T-Y.
[00:24:30.748 --> 00:24:34.889]  You can also reach it, by the way, just by typing in alankeyes.com.
[00:24:34.889 --> 00:24:36.910]  A-L-A-N-K-E-Y-E-S dot com.
[00:24:37.390 --> 00:24:46.519]  It goes to the same place, because that's now become my major vehicle for sharing on a regular basis thoughts and writings of various lengths with people.
[00:24:46.519 --> 00:24:56.489]  I'm also serializing what I hope will become a couple of books that periodically I'm putting chapters up on the blog there for people to look at, and so forth.
[00:24:56.489 --> 00:24:57.991]  I also am writing for WorldNetDaily.
[00:24:58.571 --> 00:25:15.343]  I'm heavily involved in the work of America's Independent Party, which has a website, AIPnews.com, which is essentially an effort both to sign up people for a
[00:25:15.623 --> 00:25:16.243]  We're good to go.
[00:25:33.252 --> 00:25:34.493]  We want to take America back.
[00:25:34.493 --> 00:25:36.635]  The people must become the media.
[00:25:36.635 --> 00:25:53.270]  We must use the tools that are available so we're no longer relying on the corporate bought-and-paid-for media outlets that now are working for some of these big business enterprises that are essentially the fellow travelers of the Obama Socialists.
[00:25:53.820 --> 00:26:03.725]  And that more and more is happening, so they're openly saying, with the hate crimes law and the cyberbullying, that if something hurts someone's feelings, you're going to be federally charged.
[00:26:03.725 --> 00:26:06.686]  That's actually in the bills, I couldn't believe it.
[00:26:06.686 --> 00:26:11.008]  And especially the cyberbullying, so they're certainly coming after our free speech.
[00:26:11.008 --> 00:26:16.991]  They're not only saying that, saying it's socialism, is racist.
[00:26:17.901 --> 00:26:24.623]  Which is incredible race-baiting in my opinion, and as you said, cold-bloodedly using it to drive a wedge.
[00:26:24.623 --> 00:26:39.086]  But they're now calling for the arrest of people that put up Obama posters on light poles, but Obama was in the Washington Post telling his supporters to put up his hope sign on stop signs, which is illegal.
