whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:30.000 --> 00:01:33.000]   And it's everywhere on YouTube.
[00:01:33.000 --> 00:01:35.000]   It's so prevalent.
[00:01:35.000 --> 00:01:37.000]   And somehow or another that's okay.
[00:01:37.000 --> 00:01:41.000]   Like it's f***ing weird what's allowed and what's not allowed.
[00:01:44.000 --> 00:01:45.000]   All right.
[00:01:45.000 --> 00:01:50.000]   As any regular listener or viewer knows, I could care less about Hollywood.
[00:01:50.000 --> 00:01:51.000]   In fact, I hate it.
[00:01:51.000 --> 00:01:54.000]   I could care less about $100 million deals.
[00:01:54.000 --> 00:02:00.000]   I could care less about Spotify stock being up $4 million if it was just in the normal course of business.
[00:02:00.000 --> 00:02:10.000]   But with all the huge news we've got and the fact that I'm supposed to be taken off the show to work on the Bill Gates documentary and take the kids hiking, I'm here at work.
[00:02:10.000 --> 00:02:13.000]   I'm on air because of this.
[00:02:13.000 --> 00:02:15.000]   Joe called me yesterday.
[00:02:15.000 --> 00:02:18.000]   We talked about 45 minutes.
[00:02:18.000 --> 00:02:20.000]   And I've known him 22 years.
[00:02:20.000 --> 00:02:23.000]   And he has never spilled his guts to me like he did.
[00:02:23.000 --> 00:02:29.000]   And I mean there's been times when we both had like two bottles of liquor and been up for a day and a half in Vegas.
[00:02:29.000 --> 00:02:32.000]   And we didn't spill guts like this.
[00:02:32.000 --> 00:02:36.000]   So this was over the top.
[00:02:36.000 --> 00:02:38.000]   And the planets all aligned.
[00:02:38.000 --> 00:02:43.000]   And he told me three months ago about the deal but asked me not to talk about it until it was done.
[00:02:43.000 --> 00:02:46.000]   And I said, hey, it's great what you're doing.
[00:02:46.000 --> 00:02:58.000]   But then when he saw them ban all these medical doctors, prestigious doctors, hospital owners, Cedars-Sinai, clinic owners that were coming out and exposing the COVID fraud.
[00:02:58.000 --> 00:03:03.000]   And he saw the media put out the lies of Bill and Melinda Gates and all the fake models.
[00:03:03.000 --> 00:03:10.000]   And then he saw people he knew demonetized, banned, blocked for having those doctors on.
[00:03:10.000 --> 00:03:14.000]   He said that's it because he wasn't ready to do the deal.
[00:03:14.000 --> 00:03:16.000]   He wasn't sure about it.
[00:03:16.000 --> 00:03:18.000]   And he was on the razor's edge.
[00:03:18.000 --> 00:03:19.000]   And then he did that.
[00:03:19.000 --> 00:03:20.000]   Now, why is that so important?
[00:03:20.000 --> 00:03:22.000]   This is bigger than Joe Rogan, the number one podcast in the world.
[00:03:22.000 --> 00:03:24.000]   It's about free expression.
[00:03:24.000 --> 00:03:25.000]   And it's about the dominoes falling.
[00:03:25.000 --> 00:03:31.000]   And it's about the fact that Dave Rubin, Joe Rogan, Elon Musk, they're all moving to Austin.
[00:03:31.000 --> 00:03:36.000]   And they're classical liberals, not leftist authoritarians.
[00:03:36.000 --> 00:03:38.000]   And they're trying to escape the left.
[00:03:38.000 --> 00:03:45.000]   And with thought leaders like that, we could get the left to finally wake up to a great extent about what schmucks they are.
[00:03:45.000 --> 00:03:55.000]   And so a revolution against the globalists from the leftist movement and by liberals is victory.
[00:03:55.000 --> 00:03:58.000]   So, folks, you know you get next year's news today here, okay?
[00:03:58.000 --> 00:04:01.000]   I knew Trump was going to win.
[00:04:01.000 --> 00:04:03.000]   It was big when we had Trump on.
[00:04:03.000 --> 00:04:04.000]   I wasn't nervous at all.
[00:04:04.000 --> 00:04:06.000]   Not nervous when I talked to Trump on the phone.
[00:04:06.000 --> 00:04:07.000]   It's important.
[00:04:07.000 --> 00:04:08.000]   Trump's important.
[00:04:08.000 --> 00:04:11.000]   This Joe Rogan thing is way bigger.
[00:04:11.000 --> 00:04:20.000]   When I look at the tea leaves and the psychic imprint, you could say, makes me have not chills up the back, chills in my third eye.
[00:04:20.000 --> 00:04:22.000]   I mean, I'm having chills right here right now.
[00:04:22.000 --> 00:04:24.000]   I've never had that before.
[00:04:24.000 --> 00:04:27.000]   This is a tremor in the force.
[00:04:27.000 --> 00:04:30.000]   The last time I felt it was in the presence of my old master.
[00:04:30.000 --> 00:04:33.000]   This is a big enchilada.
[00:04:33.000 --> 00:04:40.000]   And I said, Joe, you sure you want me to go in there and say all this because he's he's he's I'm getting the big story because I'm in the story.
[00:04:40.000 --> 00:04:42.000]   And this is a story about all of us.
[00:04:42.000 --> 00:04:43.000]   We come back.
[00:04:43.000 --> 00:04:45.000]   We've got so much big news today.
[00:04:45.000 --> 00:04:48.000]   But believe me, you do not want to miss this transmission.
[00:04:48.000 --> 00:04:49.000]   Infowars dot com.
[00:04:49.000 --> 00:04:53.000]   Tomorrow's news today for a pro human future.
[00:04:53.000 --> 00:04:56.000]   Joe is defecting to the info war.
[00:04:56.000 --> 00:04:57.000]   That's right.
[00:04:58.000 --> 00:05:09.000]   I'm cutting this ad on May 10th, 2020, and within a week or so, many of the best selling items that were selling in for store dot com will no longer be a 50 percent off.
[00:05:09.000 --> 00:05:16.000]   In fact, last year I said I can't even percent off anymore because our market is just enough for us to get enough profit to operate this operation.
[00:05:16.000 --> 00:05:19.000]   But I want you to get the ultimate krill oil.
[00:05:19.000 --> 00:05:21.000]   I want you to get bazzo beats.
[00:05:21.000 --> 00:05:23.000]   I want you to get DNA Force Plus.
[00:05:23.000 --> 00:05:26.000]   I want you to experience X2.
[00:05:26.000 --> 00:05:28.000]   I want you to get real red pill and real red pill.
[00:05:28.000 --> 00:05:34.000]   Plus, they're all in stock right now and they're 30 to 60 percent off.
[00:05:34.000 --> 00:05:37.000]   More than 20 items are 50 percent off right now.
[00:05:37.000 --> 00:05:46.000]   But we're going to have to end the sale on most items in about a week because a lot of the products are getting close to selling out like real red pill, real red pill plus and bazzo beats.
[00:05:46.000 --> 00:05:47.000]   So take action.
[00:05:47.000 --> 00:05:48.000]   Be healthier.
[00:05:48.000 --> 00:05:51.000]   Boost your body's natural defenses and fund the info war.
[00:05:51.000 --> 00:05:58.000]   Get these great products at info war store dot com.
[00:06:00.000 --> 00:06:03.000]   [Music]
[00:06:03.000 --> 00:06:06.000]   [Music]
[00:06:08.000 --> 00:06:11.000]   [Music]
[00:06:11.000 --> 00:06:24.000]   [Music]
[00:06:24.000 --> 00:06:27.000]   [Music]
[00:06:27.000 --> 00:06:49.000]   The dams are stable at this time.
[00:06:49.000 --> 00:06:55.000]   We're just waiting for the water to crest. We're assessing what damages we have and we have been assisting people with sheltering.
[00:06:55.000 --> 00:06:58.000]   [Music]
[00:06:58.000 --> 00:07:17.000]   I thought I'd start the broadcast today with a horrible image of a major dam in Michigan built back when this country was still about building a pro-human future.
[00:07:19.000 --> 00:07:21.000]   And now you see it collapsing.
[00:07:21.000 --> 00:07:28.000]   Remember reading 20, 30, 40 years ago, leftist groups, Sierra Club, all of them, saying we want to get rid of all the dams in America.
[00:07:28.000 --> 00:07:31.000]   We want to get rid of fossil fuels too.
[00:07:31.000 --> 00:07:34.000]   We want to get rid of all the smelting plants.
[00:07:34.000 --> 00:07:38.000]   We want to get rid of all the farms because you're going to work in retail.
[00:07:38.000 --> 00:07:41.000]   You're going to work in service industry.
[00:07:41.000 --> 00:07:48.000]   And now as soon as they got the majority of people working in the service industry and America's de-industrialized, oh, guess what?
[00:07:48.000 --> 00:07:53.000]   Unless you're with a big Fortune 100 company, you are non-essential.
[00:07:53.000 --> 00:07:57.000]   You are a slave. You are obsolete. You are under siege.
[00:07:57.000 --> 00:08:01.000]   All right, let me do this.
[00:08:01.000 --> 00:08:03.000]   Let me get into all the big news that's unfolding right now.
[00:08:03.000 --> 00:08:08.000]   And then the next two segments after that, I'm going to give you the exclusive on Joe Rogan.
[00:08:08.000 --> 00:08:11.000]   And why it's such a big deal.
[00:08:11.000 --> 00:08:20.000]   This is a lot bigger than the market cap of Spotify going up almost $5 billion in the last 48 hours since Rogan made the announcement.
[00:08:20.000 --> 00:08:23.000]   From what, $30 billion to $35 billion.
[00:08:23.000 --> 00:08:28.000]   This is a lot bigger than Joe getting $100 and something million and believe me, that's just the beginning.
[00:08:28.000 --> 00:08:34.000]   I don't care to hear about Rolling Stones go on tour again, they make $200 million.
[00:08:34.000 --> 00:08:35.000]   Who cares?
[00:08:36.000 --> 00:08:42.000]   The reason this is important is it's a domino like in V for Vendetta being knocked over.
[00:08:42.000 --> 00:08:46.000]   And I already saw this coming and I worked on this with Joe.
[00:08:46.000 --> 00:08:51.000]   And I told Joe all this was coming. I'm not taking credit because Joe's as smart as I am or smarter.
[00:08:51.000 --> 00:08:56.000]   But Joe does care about his kids and America and the world.
[00:08:56.000 --> 00:08:58.000]   And he thought I was exaggerating.
[00:08:58.000 --> 00:09:05.000]   And now he has drunk the Kool-Aid in a good way.
[00:09:05.000 --> 00:09:07.000]   Or let's just say the antidote to the Kool-Aid.
[00:09:07.000 --> 00:09:10.000]   And that's why I got so pissed at Joe a few years ago.
[00:09:10.000 --> 00:09:14.000]   If you watch my last podcast with him, it's almost five hours long.
[00:09:14.000 --> 00:09:17.000]   His podcast, he's finishing my sentences.
[00:09:17.000 --> 00:09:26.000]   He's bringing in topics that he thinks I've presented too quickly or incorrectly and then really trying to help.
[00:09:26.000 --> 00:09:32.000]   And he really thought he could meet with all the executives and all these big billionaires and convince them this was the wrong path.
[00:09:32.000 --> 00:09:36.000]   And he worked very hard to get Infowars back platformed.
[00:09:36.000 --> 00:09:39.000]   And instead they started messing with him.
[00:09:39.000 --> 00:09:45.000]   And that doesn't work very well with Joe.
[00:09:45.000 --> 00:09:48.000]   I've known Joe 22 years. I know him very well.
[00:09:48.000 --> 00:09:52.000]   You know, he and I don't drink as much as we used to. I go a long time without drinking. So does Joe.
[00:09:52.000 --> 00:09:55.000]   And he doesn't smoke as much pot as he used to.
[00:09:55.000 --> 00:09:58.000]   Back when I first knew him, he didn't smoke pot. Actually, Eddie Bravo got him into it.
[00:09:58.000 --> 00:10:01.000]   I've known Eddie like 20 years. Good God.
[00:10:02.000 --> 00:10:03.000]   So.
[00:10:03.000 --> 00:10:13.000]   This is a big deal. It's about the globalist dam blocking freedom collapsing.
[00:10:13.000 --> 00:10:17.000]   So it's all coming up, ladies and gentlemen.
[00:10:17.000 --> 00:10:20.000]   And it's destiny.
[00:10:20.000 --> 00:10:25.000]   And Joe told me about his plans. And I told him, I said, this is hardcore, man.
[00:10:25.000 --> 00:10:30.000]   You really want me to tell people this? He said, yeah, no, I want you to go on air and tell everybody this.
[00:10:32.000 --> 00:10:33.000]   And so.
[00:10:33.000 --> 00:10:38.000]   Joe's always tried to stay politically neutral.
[00:10:38.000 --> 00:10:40.000]   And he tried to get along with the left.
[00:10:40.000 --> 00:10:44.000]   And they have acted like total monsters and he's done with them.
[00:10:44.000 --> 00:10:47.000]   He doesn't care what they do. He's coming after him.
[00:10:47.000 --> 00:10:50.000]   So that's what's exciting.
[00:10:50.000 --> 00:10:55.000]   And he is right now moving to Austin and he's got a bunch of the big plans. I'm not going to tell you about yet, but.
[00:10:57.000 --> 00:11:02.000]   You already see all these people that are out there like Elon Musk and Dave Rubin this week saying they're leaving L.A.
[00:11:02.000 --> 00:11:05.000]   And now Joe Rogan's leaving. And it's a collapse.
[00:11:05.000 --> 00:11:09.000]   Not just of the people that went to L.A. to try to be famous.
[00:11:09.000 --> 00:11:12.000]   Coming like locusts to Texas, but it's the inverse of that.
[00:11:12.000 --> 00:11:14.000]   It's the intelligentsia.
[00:11:14.000 --> 00:11:21.000]   Rejecting the left and rejecting their ideology and leaving it like you leave Sodom and Gomorrah.
[00:11:21.000 --> 00:11:25.000]   L.A.'s going to totally collapse. New York's going to totally collapse.
[00:11:25.000 --> 00:11:27.000]   Trump just left New York last year.
[00:11:27.000 --> 00:11:32.000]   And people are leaving the ideologies.
[00:11:32.000 --> 00:11:34.000]   They are rejecting.
[00:11:34.000 --> 00:11:38.000]   I wouldn't call Joe a leftist, but he was a liberal libertarian.
[00:11:38.000 --> 00:11:41.000]   And he now understands that.
[00:11:41.000 --> 00:11:45.000]   This stuff's real.
[00:11:45.000 --> 00:11:53.000]   And he understands that the credibility of Infowars is platinum right now.
[00:11:54.000 --> 00:11:56.000]   And I don't say that from a perspective of a power trip.
[00:11:56.000 --> 00:11:59.000]   It's the opposite. It's a great responsibility and God has guided our steps.
[00:11:59.000 --> 00:12:03.000]   And I certainly had a lot of problems, but my heart's in the right place and I've meant well.
[00:12:03.000 --> 00:12:06.000]   We've had about a 97% accuracy rate.
[00:12:06.000 --> 00:12:10.000]   And now the world's really waking up to what we face.
[00:12:10.000 --> 00:12:14.000]   And it can look like we're losing everything and all of a sudden the table's turning.
[00:12:14.000 --> 00:12:15.000]   It's the new world order.
[00:12:15.000 --> 00:12:19.000]   It's just like Alan Keyes said when he was on a few weeks ago.
[00:12:19.000 --> 00:12:20.000]   We got to get him back on.
[00:12:22.000 --> 00:12:26.000]   The enemies launched their attack and at first it looks like they're winning, but we haven't counterstruck yet.
[00:12:26.000 --> 00:12:31.000]   And evil always overruns you at first until you decide to fight.
[00:12:31.000 --> 00:12:34.000]   And then you turn the tide or you are destroyed.
[00:12:34.000 --> 00:12:38.000]   And when people wake up to the fact that, wait, the new world order doesn't mean prosperity.
[00:12:38.000 --> 00:12:43.000]   The new world order means implantable chips and my children being brainwashed and not having speech.
[00:12:43.000 --> 00:12:45.000]   Well, I'm going to fight you.
[00:12:45.000 --> 00:12:50.000]   And then they try to intimidate you and they go after you and that doesn't intimidate you.
[00:12:50.000 --> 00:12:51.000]   It pisses you off more.
[00:12:53.000 --> 00:12:57.000]   And so they made a real mistake messing with people like Dave Rubin at his house.
[00:12:57.000 --> 00:12:59.000]   He's not that big of a guy.
[00:12:59.000 --> 00:13:00.000]   He's a well-spoken guy and he's getting bigger.
[00:13:00.000 --> 00:13:07.000]   The point is or messing with Elon Musk who then sarcastically went, oh, yes, we'll have brain chips now in a new world order.
[00:13:07.000 --> 00:13:08.000]   And you're right.
[00:13:08.000 --> 00:13:09.000]   I'm joining your world government.
[00:13:09.000 --> 00:13:10.000]   I'm like, he's bad now.
[00:13:10.000 --> 00:13:13.000]   He was using reverse psychology on everybody.
[00:13:13.000 --> 00:13:14.000]   Like, you're right.
[00:13:14.000 --> 00:13:16.000]   I want world government and brain chips and all the children.
[00:13:18.000 --> 00:13:23.000]   Because Gates and Zuckerberg are all working on that quietly, getting ready to roll it out for real.
[00:13:23.000 --> 00:13:28.000]   And so Musk is like, oh, I just love world government now and it's the end of humanity.
[00:13:28.000 --> 00:13:31.000]   I used to think we could fight AI, but now I'm just going to submit to it.
[00:13:31.000 --> 00:13:34.000]   And it was absolute satire.
[00:13:34.000 --> 00:13:37.000]   People say, well, you know, do you really want to eat your neighbors?
[00:13:37.000 --> 00:13:39.000]   That was satire too.
[00:13:39.000 --> 00:13:45.000]   So people can smell the new world order now and it's in your face.
[00:13:45.000 --> 00:13:46.000]   It's not some hypothetical deal.
[00:13:47.000 --> 00:13:48.000]   People are going, you know what?
[00:13:48.000 --> 00:13:50.000]   I'm done with you.
[00:13:50.000 --> 00:13:52.000]   And by the way, I'm going to fight your ass.
[00:13:52.000 --> 00:14:02.000]   And so finally, men are beginning to find their testicles again and beginning to find their will and realizing fighting tyranny isn't heroic.
[00:14:02.000 --> 00:14:05.000]   Fighting tyranny is survival.
[00:14:05.000 --> 00:14:16.000]   When I swim down to the bottom of a 20-foot lake and I get to the bottom and I'm coming back to the top, it's not heroic that I'm going up for air.
[00:14:17.000 --> 00:14:18.000]   It's survival.
[00:14:18.000 --> 00:14:21.000]   This is coming up for air.
[00:14:21.000 --> 00:14:26.000]   Going under globalist control is like being held underwater.
[00:14:26.000 --> 00:14:35.000]   And anybody that pretends that you're going to get ahead in the system, the CEOs and billionaires that run this are the most unhappy enslaved people in the world.
[00:14:35.000 --> 00:14:38.000]   There are all these power cults that mess with each other all day long.
[00:14:38.000 --> 00:14:40.000]   It's nightmarish.
[00:14:40.000 --> 00:14:41.000]   It's hellish.
[00:14:41.000 --> 00:14:42.000]   The families are fake.
[00:14:42.000 --> 00:14:46.000]   They are all racked with disease, racked with mental illness, racked with suicide.
[00:14:46.000 --> 00:14:51.000]   The children of the establishment have the highest rates of mental illness and suicide.
[00:14:51.000 --> 00:14:52.000]   They are cursed.
[00:14:52.000 --> 00:14:54.000]   They are cursed.
[00:14:54.000 --> 00:14:58.000]   And I knock on wood and trust in Jesus, I am just blessed.
[00:14:58.000 --> 00:15:00.000]   I have to go through some stuff.
[00:15:00.000 --> 00:15:01.000]   I have to get attacked.
[00:15:01.000 --> 00:15:02.000]   But it's all phony.
[00:15:02.000 --> 00:15:06.000]   And as soon as I call the man behind the curtain, I'm just a little dog.
[00:15:06.000 --> 00:15:09.000]   Soon as I call it, it like mist every time disappears.
[00:15:11.000 --> 00:15:13.000]   But these sorcerers have their illusions.
[00:15:13.000 --> 00:15:19.000]   And as soon as you don't worry about that and say, it's like a nightmare dreams where people are stabbing you or killing you.
[00:15:19.000 --> 00:15:21.000]   I used to have those a lot 20, 30 years ago.
[00:15:21.000 --> 00:15:24.000]   And I finally just learned to just go ahead, stab me, be Christlike.
[00:15:24.000 --> 00:15:26.000]   And it all ends as soon as you just go, go ahead.
[00:15:26.000 --> 00:15:28.000]   It doesn't matter anymore.
[00:15:28.000 --> 00:15:31.000]   You don't fight demons in your sleep.
[00:15:31.000 --> 00:15:33.000]   You let Jesus do that.
[00:15:33.000 --> 00:15:36.000]   But in the real world, you fight them or God will leave your presence.
[00:15:36.000 --> 00:15:39.000]   And so people are now finding God.
[00:15:40.000 --> 00:15:41.000]   And I'm a long, I can't get into that.
[00:15:41.000 --> 00:15:43.000]   Sorry.
[00:15:43.000 --> 00:15:51.000]   Certain well-known person talked to me about Jesus quite a bit the other day and how much God has empowered them and how they trust fully in God.
[00:15:51.000 --> 00:15:55.000]   And so a lot of good things are happening.
[00:15:55.000 --> 00:15:56.000]   I'm talking about a major leader.
[00:15:56.000 --> 00:16:00.000]   We're living in insanely dangerous times.
[00:16:00.000 --> 00:16:06.000]   And I've told folks going back three months ago, I'm not buying storable food because I'm worried about the COVID-19 virus.
[00:16:06.000 --> 00:16:09.000]   I'm worried about the food shortages and the economic collapse.
[00:16:09.000 --> 00:16:16.000]   And now it's admitted that a chain reaction has begun that's already caused food shortages and the collapse of farms and ranches across the United States.
[00:16:16.000 --> 00:16:18.000]   And it's even worse in the third world.
[00:16:18.000 --> 00:16:21.000]   So I hope Trump with his initiatives to clean this up and fix it.
[00:16:21.000 --> 00:16:27.000]   But with the election fraud and the COVID-19, all the wars and the third world collapsing and everything else is going on.
[00:16:27.000 --> 00:16:31.000]   Now is the time to get storable foods because they'll last for 25 years.
[00:16:31.000 --> 00:16:33.000]   They're in easily totable bags.
[00:16:33.000 --> 00:16:37.000]   It's high quality food and it's good to have that box checked off to be ready.
[00:16:37.000 --> 00:16:40.000]   And it funds the InfoWars. So we have storable food available again.
[00:16:40.000 --> 00:16:44.000]   InfoWarsStore.com or call toll free triple A 253-3139.
[00:16:44.000 --> 00:16:48.000]   Whatever you do, get prepared and get ready because the globalists want you dependent on them.
[00:16:48.000 --> 00:16:50.000]   They do not want you to be self-sufficient.
[00:16:50.000 --> 00:16:54.000]   Get your storable food at InfoWarsStore.com right now while you still can.
[00:16:54.000 --> 00:16:59.000]   One of our best selling products is Living Defense.
[00:16:59.000 --> 00:17:04.000]   And it's been sold out for over four months because it's hard to source the ingredients that are organic.
[00:17:04.000 --> 00:17:07.000]   We've got a limited supply right now, but it's selling out fast.
[00:17:07.000 --> 00:17:10.000]   And I want those of you that haven't experienced Living Defense to get it for yourself.
[00:17:10.000 --> 00:17:12.000]   Here's just part of one testimonial.
[00:17:12.000 --> 00:17:17.000]   I looked in January 2016. I went in a hospital. I went in the VA hospital out here in Boise.
[00:17:17.000 --> 00:17:18.000]   And I was in there until June.
[00:17:18.000 --> 00:17:24.000]   And one of the only things that got me through that ordeal was listening to InfoWars three hours a day.
[00:17:24.000 --> 00:17:27.000]   And I kept hearing Dr. Group and all you guys talking about Living Defense.
[00:17:27.000 --> 00:17:28.000]   Let me tell you something, man.
[00:17:28.000 --> 00:17:33.000]   I had an internal digestive problem and I suffered with it for about five or six years.
[00:17:33.000 --> 00:17:35.000]   And the doctors, they tried every test.
[00:17:35.000 --> 00:17:37.000]   Nobody could figure out what it is.
[00:17:37.000 --> 00:17:40.000]   And then every day when I kept hearing you and Dr. Group and those commercials, I said,
[00:17:40.000 --> 00:17:43.000]   "You know what? I'm going to get me some of that freaking Living Defense."
[00:17:43.000 --> 00:17:46.000]   Now, I wasn't supposed to have any nutritionals because they don't want you to have that stuff.
[00:17:46.000 --> 00:17:49.000]   But I ordered it. I had it shipped to me. I got it. I hid it from the nurses.
[00:17:49.000 --> 00:17:53.000]   I started taking it. Man, that stuff changed my life. It saved my life.
[00:17:53.000 --> 00:17:56.000]   Alex Jones and InfoWars saved my life.
[00:18:00.000 --> 00:18:03.000]   You're listening to The Alex Jones Show.
[00:18:03.000 --> 00:18:19.000]   Crashing through the lies and disinformation, it's Alex Jones,
[00:18:19.000 --> 00:18:23.000]   coming to you live from the front lines of the InfoWars.
[00:18:24.000 --> 00:18:28.000]   [The Alex Jones Show]
[00:18:28.000 --> 00:18:38.000]   We are back live broadcasting worldwide on this May 21st Thursday global transmission.
[00:18:38.000 --> 00:18:46.000]   So, a lot of people see media as, "I don't watch football, so I don't care about NFL news."
[00:18:46.000 --> 00:18:49.000]   Or, "I don't like golf, so I don't watch the golf channel."
[00:18:49.000 --> 00:18:55.000]   Or, "I don't like MTV videos or MTV shows. I'm an idiot 12-year-old. I don't watch that."
[00:18:55.000 --> 00:18:58.000]   So, you hear about Joe Rogan. Everybody's heard about Joe Rogan.
[00:18:58.000 --> 00:19:03.000]   He's got about 15 million viewers a day on average with all those different videos that are out there
[00:19:03.000 --> 00:19:06.000]   that just keep building and reaching more people.
[00:19:06.000 --> 00:19:10.000]   And it's just expanding and expanding to where he is the modern Johnny Carson.
[00:19:10.000 --> 00:19:14.000]   There's not been something in 30 years that has that many viewers consistently
[00:19:14.000 --> 00:19:18.000]   that's a discussional talk that isn't scripted.
[00:19:18.000 --> 00:19:21.000]   And so, it's a big success.
[00:19:21.000 --> 00:19:25.000]   And I know that Joe knows about the New World Order and knows about globalism and cares about it
[00:19:25.000 --> 00:19:32.000]   because back when I first met him in 1998, and we got a chance to hang out quite a bit
[00:19:32.000 --> 00:19:38.000]   because he was dating a girl that lived in Houston. I'll just leave it at that.
[00:19:38.000 --> 00:19:43.000]   And I was friends with Kevin Booth that produced some of his shows.
[00:19:43.000 --> 00:19:49.000]   So, I got to know Joe and that's great and he just got bigger and bigger over the years and started Infowars.
[00:19:49.000 --> 00:19:55.000]   But then he's out in LA, he's married, he's got children, and he just wants to have a happy life.
[00:19:55.000 --> 00:19:59.000]   And he just wants to promote freedom, but he doesn't want to be political.
[00:19:59.000 --> 00:20:04.000]   And so, the world changes.
[00:20:04.000 --> 00:20:14.000]   And then the censorship purge takes place.
[00:20:14.000 --> 00:20:23.000]   And Joe quietly behind the scenes, one of the most powerful people in the media period,
[00:20:23.000 --> 00:20:29.000]   as important as Rush Limbaugh, but reaching a wide audience that isn't compartmentalized.
[00:20:29.000 --> 00:20:37.000]   He's reaching an audience that just isn't conservatives or liberals or Christians or Muslims or Satanists or agnostics or Hindus.
[00:20:37.000 --> 00:20:42.000]   He's reaching that big giant audience that isn't just one group.
[00:20:42.000 --> 00:20:46.000]   That's the Holy Grail. That's what Infowars has done as well.
[00:20:46.000 --> 00:20:50.000]   But not like Joe's been able to do it.
[00:20:50.000 --> 00:20:55.000]   Normally, you have a conservative show that's 90% conservative listeners or a liberal show that's 90% liberal listeners.
[00:20:55.000 --> 00:21:00.000]   With Infowars, we're 50% Christian, hardcore, conservative, and then some libertarians,
[00:21:00.000 --> 00:21:03.000]   and then some folks that are trying to figure out what's going on and people on certain topics,
[00:21:03.000 --> 00:21:05.000]   and then some leftists that tune in.
[00:21:05.000 --> 00:21:13.000]   I mean, we're maverick in that sense, but not like Joe Rogan, where if you look at the demographics of his show,
[00:21:13.000 --> 00:21:19.000]   sure, the core is men, you know, 18 to 56 or so.
[00:21:19.000 --> 00:21:21.000]   That's about 40% of his audience.
[00:21:21.000 --> 00:21:24.000]   But the rest is a wide spectrum in women and you name it.
[00:21:24.000 --> 00:21:31.000]   And so the corporate system tried to court him and the big CEOs tried to get him on board with the New World Order.
[00:21:31.000 --> 00:21:36.000]   I know he went and had meetings with some of the big guys.
[00:21:36.000 --> 00:21:43.000]   But once he found out they were bad news, and I was going after him saying, "You could change this.
