[00:00:00.593 --> 00:00:01.198]  Oh, no!
[00:07:49.666 --> 00:07:52.447]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:52.447 --> 00:07:54.288]  You can bet your life on efoodsdirect.
[00:08:24.994 --> 00:08:29.318]  From the front lines of the information war, it's Alex Jones.
[00:08:29.318 --> 00:08:41.691]  What we are looking at is good and evil, right and wrong.
[00:08:41.691 --> 00:08:42.271]  A new world order.
[00:08:42.271 --> 00:08:42.792]  A new world order.
[00:08:46.598 --> 00:08:54.637]  Well, I tell ya, we are really excited to have this fellow on because last year or so, he has exploded on the scene with Fox 19 television.
[00:08:58.388 --> 00:09:12.551]  And he's also worked at other TV stations around the country, and he just absolutely knocks it out of the park on pro-Second Amendment stuff, on covering how Ron Paul and the Liberty Movement were shafted by the Republican establishment.
[00:09:12.551 --> 00:09:22.574]  He got an interview with President Obama last week, that we're going to play a clip of later, where he really nails him down on the NDAA and secret arrests of American citizens.
[00:09:22.574 --> 00:09:23.614]  By the way, a federal court
[00:09:24.494 --> 00:09:27.517]  Two days ago, did a permanent injunction.
[00:09:27.517 --> 00:09:31.541]  Of course, we had Chris Hedges on, the Pulitzer Prize winning journalist, who was part of that suit.
[00:09:31.541 --> 00:09:34.884]  Now Obama is appealing to the Supreme Court.
[00:09:34.884 --> 00:09:43.552]  He also has looked at some of the anomalies of the shootings there in Colorado.
[00:09:43.552 --> 00:09:48.477]  So basically, he's like a professional focused, you know,
[00:09:50.072 --> 00:09:50.453]  I don't
[00:10:10.675 --> 00:10:16.637]  Like Tony Brown about the Illuminati and the New World Order, and I saw him on Extra, was it hard copy?
[00:10:16.637 --> 00:10:25.340]  20-something years ago, we have the tape, we played it, exposing how the government and E. Howard Hunt basically killed JFK.
[00:10:25.340 --> 00:10:33.663]  So I hope that Ben Swan, if he ends up on national television, doesn't turn over to the dark side like Bill O'Reilly.
[00:10:33.663 --> 00:10:37.585]  But I gotta tell you, it's just great to have him on, and I know there's other people out there.
[00:10:38.405 --> 00:10:42.846]  In fact, if you're a radio listener, if you could see him, we bring him up on Skype, you know who I'm talking about.
[00:10:42.846 --> 00:10:47.527]  But in a few minutes, we'll play some clips and you'll know who we're talking about.
[00:10:47.527 --> 00:10:52.109]  But Ben, it is great to have you on with us here today.
[00:10:52.109 --> 00:10:53.109]  Alex, thanks for having me on.
[00:10:53.109 --> 00:10:54.209]  I appreciate it.
[00:10:54.209 --> 00:10:56.550]  So, tell us about your awakening.
[00:10:56.550 --> 00:11:00.871]  I mean, how they allow you in mainstream television to tell the truth.
[00:11:02.227 --> 00:11:06.050]  You know, a lot of people are asking that question, and how we get to cover the things that we do.
[00:11:06.050 --> 00:11:07.931]  And I'm really blessed.
[00:11:07.931 --> 00:11:10.653]  I work at a TV station that is not owned by Fox.
[00:11:10.653 --> 00:11:12.034]  We're a Fox affiliate.
[00:11:12.034 --> 00:11:14.736]  And because of that, a lot of people assume that we're owned by Fox.
[00:11:14.736 --> 00:11:15.136]  We're not.
[00:11:15.136 --> 00:11:17.498]  We're owned by Raycon Media.
[00:11:17.498 --> 00:11:21.240]  And I work for guys who are just interested in getting out factual information.
[00:11:21.240 --> 00:11:23.582]  And so we've had a tremendous response.
[00:11:23.582 --> 00:11:26.104]  I think the response that we've gotten from people has been just
[00:11:26.644 --> 00:11:28.085]  Beyond expectation.
[00:11:28.085 --> 00:11:30.167]  Far above and beyond expectation.
[00:11:30.167 --> 00:11:31.508]  And people are really hungry for it.
[00:11:31.508 --> 00:11:36.893]  They're hungry for someone who will look beyond, you know, the typical mainstream narrative.
[00:11:36.893 --> 00:11:44.339]  And obviously, I mean, this is no surprise to you because clearly, you know, the issue with alternative media is it is growing so fast right now.
[00:11:45.240 --> 00:11:49.765]  Versus what's happening with national media or mainstream media, which is essentially dying right now.
[00:11:49.765 --> 00:11:50.746]  And there's a reason for that.
[00:11:50.746 --> 00:11:57.514]  I mean, people have already heard all these same types of narratives before and they're tired of them and they're moving beyond them.
[00:11:57.514 --> 00:12:02.059]  And so we're fortunate to be kind of a bridge, I think, between alternative media and mainstream media.
[00:12:02.239 --> 00:12:14.543]  By the way, I should add, they give you leeway because you have won both the Edward R. Murrow Award and two Emmys that you got, I guess, reporting from Texas.
[00:12:14.543 --> 00:12:19.944]  So, I mean, you are quite the journalist, and so you're actually really doing real research.
[00:12:19.944 --> 00:12:21.645]  It's just, it's amazing.
[00:12:21.645 --> 00:12:28.186]  And again, mainstream media would still be dominant if people like you were on the national scene.
[00:12:28.186 --> 00:12:29.787]  How long have you been there in Cincinnati?
[00:12:30.407 --> 00:12:33.608]  For about a year and a half, just a little over a year and a half.
[00:12:33.608 --> 00:12:43.551]  And about two to three months after I came to this station, we had this idea that we were going to try something different because it was time to kind of rebrand ourselves a little bit.
[00:12:43.551 --> 00:12:48.913]  We moved towards a balanced news brand, which again, sounds very much like the Fox brand.
[00:12:48.913 --> 00:12:57.235]  And so there are advantages to that, but then there are some disadvantages because there are some people who go into it automatically thinking, well, you're just, you know, little mini Fox News.
[00:12:58.976 --> 00:13:06.984]  Part of the goal of that balanced brand was to do this segment called Reality Check, where we'd look beyond headlines and actually hold politicians accountable.
[00:13:06.984 --> 00:13:15.132]  I'm not sure my bosses realized how accountable we were going to hold them, but so far they've been extremely supportive of it, and we're doing our best to get out there and get to the facts.
[00:13:16.187 --> 00:13:18.288]  How did you get the Obama interview?
[00:13:18.288 --> 00:13:19.809]  And then give us some of the behind the scenes.
[00:13:19.809 --> 00:13:21.871]  We're going to play a clip of it in a moment.
[00:13:21.871 --> 00:13:23.732]  But I mean, pretty amazing.
[00:13:23.732 --> 00:13:28.755]  Out of a sea of journalists and so-called mainstream media, no one will ever ask him a hard question.
[00:13:28.755 --> 00:13:33.078]  We know now, for the first time ever, they're vetting the questions beforehand.
[00:13:33.078 --> 00:13:35.840]  They're in the press briefing room.
[00:13:35.840 --> 00:13:42.965]  And also, when Obama goes out and gives official press conferences, you obviously got off script there and actually did your job.
[00:13:43.902 --> 00:13:46.804]  Well, you know, with the Obama interview, it's pretty simple.
[00:13:46.804 --> 00:13:52.708]  I mean, he's been very good about doing these interviews with local media everywhere he goes.
[00:13:52.708 --> 00:13:59.112]  And it's actually a very good strategy because what you wind up having are reporters who go out and ask a number of questions.
[00:13:59.112 --> 00:14:01.433]  Typically, they're locally focused.
[00:14:01.433 --> 00:14:04.435]  So in the case of Ohio, they'll ask about the auto industry.
[00:14:04.435 --> 00:14:09.558]  They're going to ask about jobs in Ohio, the economy, which is actually doing better than a lot of places in the nation.
[00:14:09.558 --> 00:14:11.960]  And so it's really a good place for him to do those interviews.
[00:14:11.960 --> 00:14:12.921]  But he does them everywhere.
[00:14:13.701 --> 00:14:15.923]  And we were just next on the list.
[00:14:15.923 --> 00:14:20.687]  And as we went down the list and they gave us the call and said, you know, send somebody up and it was us.
[00:14:20.687 --> 00:14:28.454]  I think one of the advantages that I had was the week before we had done a one-on-one with Mitt Romney and Paul Ryan together.
[00:14:28.454 --> 00:14:31.417]  And when we sat down with them, you know, we weren't easy on them.
[00:14:31.417 --> 00:14:36.101]  And one of the questions we asked Romney about was how, you know, his campaign along with the RNC
[00:14:36.781 --> 00:14:37.942]  We're good to go.
[00:15:00.323 --> 00:15:02.605]  Uh, you know, they allowed us to come in and do the interview.
[00:15:02.605 --> 00:15:04.526]  They put no prerequisites on it.
[00:15:04.526 --> 00:15:07.808]  Just told us you have five minutes and when your five minutes is up, you know, you're done.
[00:15:07.808 --> 00:15:09.629]  And so we went from there.
[00:15:10.996 --> 00:15:11.477]  Incredible.
[00:15:11.477 --> 00:15:13.418]  We're going to play a clip of that right now.
[00:15:13.418 --> 00:15:16.281]  In fact, here it is from the intro of the news piece.
[00:15:16.281 --> 00:15:19.604]  Folks can go to Fox19.com and watch the whole thing.
[00:15:19.604 --> 00:15:26.531]  And I should add, other Fox affiliates around the country who are on YouTube are lucky to get a few thousand views, even a big story.
[00:15:26.531 --> 00:15:30.394]  Your stories are getting hundreds of thousands and millions of views.
[00:15:30.394 --> 00:15:30.735]  Again,
[00:15:31.355 --> 00:15:35.617]  Showing that the future is real reporting, real questions.
[00:15:35.617 --> 00:15:38.199]  There's no debate the NDAA is unconstitutional.
[00:15:38.199 --> 00:15:39.379]  The courts have already ruled it.
[00:15:39.379 --> 00:15:40.160]  There's no debate.
[00:15:40.160 --> 00:15:42.641]  It's super scary right out of Nazi Germany.
[00:15:42.641 --> 00:15:46.963]  So media though just acts like, oh, we're going to be, you know, non-biased.
[00:15:46.963 --> 00:15:49.425]  Well, I mean, a ham sandwich is a ham sandwich.
[00:15:49.425 --> 00:15:52.866]  A draconian piece of legislation is draconian.
[00:15:52.866 --> 00:15:54.447]  And that's the end of it.
[00:15:54.447 --> 00:15:55.968]  I mean, you have to report the facts.
[00:15:55.968 --> 00:15:57.109]  You've done that.
[00:15:57.109 --> 00:15:58.950]  And the media can take a cue from this.
[00:15:58.950 --> 00:15:59.330]  Here it is.
[00:16:00.253 --> 00:16:03.457]  Mr. President, first of all, thank you for taking the time to talk with us.
[00:16:03.457 --> 00:16:11.205]  When you signed the National Defense Authorization Act into law, you issued a signing statement at that time that said you would not use that power for indefinite detention on Americans.
[00:16:11.205 --> 00:16:13.447]  You understood the concerns that people had.
[00:16:13.447 --> 00:16:18.773]  A judge earlier this year issued that the administration couldn't use those powers because it's unconstitutional.
[00:16:19.645 --> 00:16:24.446]  So why are the government's own lawyers fighting that judge's order, the injunction in particular?
[00:16:24.446 --> 00:16:30.107]  Well, look, the basic principle here is, number one, my first job is to keep the American people safe.
[00:16:30.107 --> 00:16:36.589]  Number two, we've got to do it in a way that respects our values and our traditions and rule of law.
[00:16:36.589 --> 00:16:39.089]  That's why I banned torture.
[00:16:39.089 --> 00:16:42.330]  That's why I've argued that we should actually close Guantanamo.
[00:16:43.130 --> 00:16:55.799]  But I've also said that, you know, we've got some bad guys who are down there who we may not be able to try in a traditional court, but have pledged to try to hurt Americans.
[00:16:55.799 --> 00:17:00.682]  And so that's something that we inherited, that we're dealing with, and it's complicated.
[00:17:00.682 --> 00:17:03.264]  On the other hand, what I also said was a U.S.
[00:17:03.264 --> 00:17:06.566]  citizen can never be subject to that kind of detention.
[00:17:06.566 --> 00:17:10.369]  Congress disagreed with me, and I didn't want us to
[00:17:11.009 --> 00:17:30.495]  Not be able to finance our military and pay our soldiers and our troops So I signed the bill, but what I also said was look that I'm never going to use this power and you know what I would suspect is that The courts are going to agree with us over the long term that that is not something that you can use when it comes to US citizens
[00:17:30.555 --> 00:17:37.638]  Well, let me ask you then also about the so-called presidential kill list that's gotten a lot of attention, and this list of folks who have been targeted for assassination.
[00:17:37.638 --> 00:17:39.078]  And on that list have been U.S.
[00:17:39.078 --> 00:17:41.699]  citizens who have not been afforded trial, including Anwar al-Assad.
[00:17:41.699 --> 00:17:42.660]  Let's stop right there.
[00:17:42.660 --> 00:17:49.983]  How do you, as president, or any president for that matter... Yeah, we've got Anwar al-Awlaki who dined secretly at the Pentagon.
[00:17:49.983 --> 00:17:51.403]  We've got all that going on.
[00:17:51.403 --> 00:17:55.865]  And we've got the fact that Obama, it turns out, demanded
[00:17:56.545 --> 00:18:14.793]  That it be added to the bill, the indefinite detention of Americans, and he's got his Justice Department fighting to defend the legislation of the NDAA and his signing of it, and then he just sat there, Ben, and told you that, oh, he knew that the courts would overturn it.
[00:18:14.793 --> 00:18:17.774]  I mean, that makes Bill Clinton look like he's honest.
[00:18:19.397 --> 00:18:33.190]  Well, you know, look, this story, especially on the kill list, has gotten so much attention nationally and to the point where it was picked up by the Atlantic and Huffington Post and a lot of liberal, even the UK Guardian, liberal publications ran that interview.
[00:18:33.190 --> 00:18:37.674]  And it was really interesting to me to go through and to read the comment section.
[00:18:37.674 --> 00:18:40.256]  Not so much what they were writing, but the comment section afterward.
[00:18:40.256 --> 00:18:42.198]  There were a couple of things that were very interesting there.
[00:18:42.478 --> 00:18:47.119]  Because I think you alluded to a minute ago, we're not really breaking ground here in terms of those questions.
[00:18:47.119 --> 00:18:50.460]  And those questions are not conspiratorial.
[00:18:50.460 --> 00:18:53.441]  They're not, you know, these kind of off-in-the-weeds questions.
[00:18:53.441 --> 00:18:56.702]  This is stuff that's pretty much out there and it's pretty easy to find.
[00:18:56.702 --> 00:18:58.562]  Any reporter can find it.
[00:18:58.562 --> 00:19:02.804]  The discussion on the NDAA or the kill list or the situation with Awolaki.
[00:19:02.804 --> 00:19:03.544]  The problem is,
[00:19:04.545 --> 00:19:12.947]  I believe the problem really stems from the fact that media won't talk about these things because it does require some real effort to dig into it.
[00:19:12.947 --> 00:19:16.287]  I got a couple of interviews with reporters who asked me about it.
[00:19:16.287 --> 00:19:17.508]  Why would you ask those questions?
[00:19:17.508 --> 00:19:18.988]  And how could you even ask that?
[00:19:18.988 --> 00:19:21.148]  I mean, how would you even have the background on it?
[00:19:21.148 --> 00:19:23.449]  Well, because we've been covering it for a year.
[00:19:23.449 --> 00:19:24.849]  We've covered all of these issues.
[00:19:24.849 --> 00:19:27.089]  You mentioned about the Obama administration asking for it.
[00:19:27.089 --> 00:19:29.810]  We've covered extensively that statement by Carl Levin.
[00:19:30.768 --> 00:19:32.689]  All of it was a fake.
[00:20:00.848 --> 00:20:01.849]  Hi there.
[00:20:01.849 --> 00:20:03.370]  My name is Frank Bates.
[00:20:03.370 --> 00:20:07.192]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:20:07.192 --> 00:20:16.358]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:20:16.358 --> 00:20:23.063]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:20:23.063 --> 00:20:25.244]  Some have called this a conspiracy.
[00:20:25.244 --> 00:20:30.328]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:20:31.048 --> 00:20:38.995]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:20:38.995 --> 00:20:44.579]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:20:44.579 --> 00:20:51.084]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:20:51.084 --> 00:20:56.809]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:20:56.809 --> 00:20:58.070]  Again, that's 123coverup.com.
[00:20:59.844 --> 00:21:06.789]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:21:06.789 --> 00:21:17.816]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:21:17.816 --> 00:21:23.620]  All Iodine Protection Packs are in stock, save you money, and ship for free in all 50 states.
[00:21:23.620 --> 00:21:26.002]  Visit HempUSA.org or call 908-691-2608 today!
[00:21:29.304 --> 00:21:38.630]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it lent back at interest, forcing taxes to service debt.
[00:21:38.630 --> 00:21:39.431]  This capitalism?
[00:21:39.431 --> 00:21:45.695]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:45.695 --> 00:21:46.556]  Hi, Ted Anderson.
[00:21:46.556 --> 00:21:49.818]  I'm placing a silver dollar in a book explains our monetary system.
[00:21:49.818 --> 00:21:50.618]  Call for your copy 800-686-2237.
[00:21:50.618 --> 00:21:52.019]  It's time to understand the system.
[00:21:52.019 --> 00:21:52.339]  Call 800-686-2237.
[00:21:52.339 --> 00:21:52.620]  That's 800-686-2237.
[00:21:59.504 --> 00:22:05.529]  Would it save you time to get the best quality water filters and the best quality storable foods from one company?
[00:22:05.529 --> 00:22:06.549]  You bet it would!
[00:22:06.549 --> 00:22:07.930]  And now you can!
[00:22:07.930 --> 00:22:18.418]  At BigBerkyWaterFilters.com, Big Berky Water Filter products and great tasting, long lasting, storable, wise foods are both now available on one website.
[00:22:18.418 --> 00:22:20.559]  BigBerkyWaterFilters.com.
[00:22:20.559 --> 00:22:21.260]  Wise Foods.
[00:22:21.460 --> 00:22:26.762]  Ready-to-eat meals are packed in airtight nitrogen pouches and come with a 25-year shelf life.
[00:22:26.762 --> 00:22:33.085]  Big Berkey water filters are powerful enough to purify treated, untreated, or even stagnant pond water.
[00:22:33.085 --> 00:22:37.627]  Combine Berkey water filters with Wise Foods for an unbeatable preparedness combination.
[00:22:37.987 --> 00:22:44.893]  Get free shipping on every order over $50, and GCN listeners receive 5% off all ceramic filter systems.
[00:22:44.893 --> 00:22:52.178]  Visit bigberkeywaterfilters.com or call 877-99-BERKEY.
[00:22:52.178 --> 00:22:56.141]  That's 877-99-BERKEY.
[00:22:56.141 --> 00:22:59.104]  Or go to bigberkeywaterfilters.com.
[00:22:59.104 --> 00:23:04.348]  American gardeners and fellow patriots, make the right choice with your money, time, and your family food supply.
[00:23:04.548 --> 00:23:09.732]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:23:09.732 --> 00:23:10.712]  Why spend more?
[00:23:10.712 --> 00:23:18.758]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy to grow heirloom seeds.
[00:23:18.758 --> 00:23:19.298]  Yes, only $37.95.
[00:23:19.298 --> 00:23:20.279]  That's 70% less than our competitors.
[00:23:22.921 --> 00:23:26.304]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:23:26.304 --> 00:23:32.950]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:23:32.950 --> 00:23:35.793]  Plus, all orders over $49 ship free.
[00:23:35.793 --> 00:23:39.656]  MyPatriotSupply.com is American owned by patriots like you.
[00:23:39.656 --> 00:23:41.438]  Passionate about freedom and preparedness.
[00:23:41.658 --> 00:23:45.523]  Call now 866-229-0927.
[00:23:45.523 --> 00:23:47.826]  That's 866-229-0927.
[00:23:47.826 --> 00:23:53.694]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:23:53.694 --> 00:23:54.775]  Choose the original.
[00:23:54.775 --> 00:23:58.320]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:24:07.279 --> 00:24:08.540]  Alright, we're back live.
[00:24:08.540 --> 00:24:10.342]  We've got Ben Swan.
[00:24:10.342 --> 00:24:13.964]  He reports for Fox 19 out of Cincinnati, Ohio.
[00:24:13.964 --> 00:24:20.089]  And every week makes national news because he covers hardcore issues and does his research.
[00:24:20.089 --> 00:24:22.931]  I think you were alluding before we went to break there, Ben.
