[00:00.000 --> 00:09.000]  This is an emergency transmission from FEMA Region 6 in occupied North America.
[11:36.000 --> 11:41.000]  It was a great year of battle as the storms come together.
[11:41.000 --> 11:48.000]  But 2018 is going to be the deciding year as the globalists have always threatened, you don't give us world government.
[11:48.000 --> 11:52.000]  We're going to bring you into World War III. That's why they gave the Soviets the weapons.
[11:52.000 --> 11:54.000]  They gave the Chinese the weapons.
[11:54.000 --> 11:55.000]  They couldn't develop those.
[11:55.000 --> 11:57.000]  They didn't have the technology, the communists.
[11:57.000 --> 12:06.000]  And they built up that threat to then create a global threat so a global government was needed to fight that threat.
[12:06.000 --> 12:14.000]  And so every time a nation tries to come out of that and the strangling anti-family, anti-Christian globalism, they try to invoke it again.
[12:14.000 --> 12:26.000]  So Trump, instead of running away from the threat of war, is running headlong to face it in an attempt to show real strength and conviction to break the will of the communist Chinese that run North Korea
[12:26.000 --> 12:37.000]  and the globalists that have been manipulating it as a detonator for war and a way to get the U.S. in line to allow Chinese expansion globally for the last few decades.
[12:37.000 --> 12:44.000]  America was about getting away from royalty and away from like North Korea's royalty and being about the individual.
[12:44.000 --> 12:56.000]  So you see the tabloids and the media worshiping and like, oh, Trump might get rejected by Hollywood and he might get rejected by some sniveling prince that sits there and has some effete, effeminate,
[12:56.000 --> 13:10.000]  foppish interview with Obama and then, oh, the world rejects Trump and the royalty rejects him and then the scared British prime minister, you know, in her kept nation run by Islamicists,
[13:10.000 --> 13:14.000]  oh, Khan, the Islamic mayor of London, we don't want you.
[13:14.000 --> 13:16.000]  This is ridiculous.
[13:16.000 --> 13:21.000]  Trump is a rock star with the people in the U.K. now and a leader for fighting globalism.
[13:21.000 --> 13:27.000]  Info wars is incredibly popular. We're winning because royalty hates us, because Hollywood hates us.
[13:27.000 --> 13:29.000]  This is all a good thing.
[13:29.000 --> 13:34.000]  I've had invitations from the highest levels of globalism, highest levels of rock and roll, all of it.
[13:34.000 --> 13:39.000]  And I just don't even accept them anymore because I'm just not part of it.
[13:39.000 --> 13:44.000]  Even if they're halfway decent people, the whole system they represent is a giant rotting carcass.
[13:44.000 --> 13:48.000]  And I don't want to be part of an old rotting, diseased, fetid, demonic carcass.
[13:48.000 --> 13:53.000]  I trailblaze. I'm into the future. I want us to go to space. I want life extension technology.
[13:53.000 --> 14:02.000]  I believe in the people. I want to build a world for and by humans, not technocracy, not the age of humans as dead, not all this crap we get told.
[14:02.000 --> 14:13.000]  We just accept that we're supposed to watch NFL sports become giant fat people, roll over, and then the tech giants who worship the AI gods that I first told you about 10 years ago in in-game,
[14:13.000 --> 14:18.000]  then take over and overwrite the world and build this perfect new thing.
[14:18.000 --> 14:21.000]  Well, they don't even know where they came from or who they are.
[14:21.000 --> 14:23.000]  And that's in the news as well.
[14:23.000 --> 14:30.000]  Remember in-game, told you about the tech gods, how they worship the AI computer, because that's in their internal writings that are public.
[14:30.000 --> 14:35.000]  Now, Elon Musk comes out and says, beware those that tell you about tech gods.
[14:35.000 --> 14:38.000]  They're exterminists that want to take over the planet and think humans are obsolete.
[14:38.000 --> 14:42.000]  They're programming the AI right now to get rid of us and make us obsolete.
[14:42.000 --> 14:44.000]  That's because that's what they've been planning.
[14:44.000 --> 14:46.000]  How many years have I told you?
[14:46.000 --> 14:48.000]  I've known about that 18 years.
[14:48.000 --> 14:53.000]  It's just the evergreen film is in-game.
[14:53.000 --> 14:57.000]  It's free online.
[14:57.000 --> 15:00.000]  Get it. Copy it. Show it to people. Get it out there.
[15:00.000 --> 15:02.000]  Buy the DVD at forestore.com.
[15:02.000 --> 15:05.000]  The point is, that's the reality.
[15:05.000 --> 15:12.000]  And here's some of these articles. 2017, the year AI took over. That's RT.
[15:12.000 --> 15:15.000]  They're already putting AI in to run everything.
[15:15.000 --> 15:18.000]  It's not self-aware, but it's artificially intelligent.
[15:18.000 --> 15:21.000]  It knows what you're going to order from Amazon before you order it.
[15:21.000 --> 15:29.000]  My God, might as well commit suicide if you're going to just keep giving everything to Amazon, everything to Google, and just letting them run your life.
[15:29.000 --> 15:34.000]  When their owners have already said you're obsolete and you're showing you're obsolete.
[15:34.000 --> 15:38.000]  Rasmussen, Trump approval hits one month high. He's at 45.
[15:38.000 --> 15:45.000]  And Rasmussen, again, adding 9 to 12 usually, you can go look up their particular nomenclature here and their methodology.
[15:45.000 --> 15:51.000]  So what's that got Trump at? 65? 55?
[15:51.000 --> 15:53.000]  I mean, God only knows.
[15:59.000 --> 16:02.000]  This is Dan Pilla. Do you owe the IRS money you can't pay?
[16:02.000 --> 16:06.000]  Are tax debts crippling you? I've defended people from the IRS for over 30 years.
[16:06.000 --> 16:09.000]  I've helped thousands and I can help you too.
[16:09.000 --> 16:13.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[16:13.000 --> 16:17.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[16:17.000 --> 16:21.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[16:21.000 --> 16:28.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[16:28.000 --> 16:33.000]  The answer to being in control of your own health care is freedom from insurance.
[16:33.000 --> 16:39.000]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[16:39.000 --> 16:44.000]  Individual share amounts begin at $107 a month and $347 for families.
[16:44.000 --> 16:46.000]  Choose from three health sharing programs.
[16:46.000 --> 16:48.000]  Holistic treatments may be eligible for sharing.
[16:48.000 --> 16:53.000]  See guidelines, discount programs available for dental, vision, and pharmacy.
[16:53.000 --> 16:58.000]  Go to libertyoncall.org. That's libertyoncall.org.
[16:58.000 --> 17:01.000]  Heart disease is on the rise.
[17:01.000 --> 17:06.000]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[17:06.000 --> 17:08.000]  But the symptoms are there.
[17:08.000 --> 17:13.000]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat
[17:13.000 --> 17:16.000]  are just a few of these that can alert you that something is wrong.
[17:16.000 --> 17:22.000]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[17:22.000 --> 17:26.000]  My blood pressure has normalized. My diabetes has totally improved.
[17:26.000 --> 17:30.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[17:30.000 --> 17:32.000]  I recommend heart and body extract to everyone.
[17:32.000 --> 17:38.000]  Anybody over 40 in the North American continent should be using this product as a preventative
[17:38.000 --> 18:00.000]  to keep their cardiovascular system healthy.
[18:00.000 --> 18:04.000]  Alex Jones here to tell you about how you can help spread liberty worldwide.
[18:04.000 --> 18:09.000]  I'm also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[18:09.000 --> 18:14.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico
[18:14.000 --> 18:18.000]  where the Chiapas farmers grow their unique shade-grown Arabica beans.
[18:18.000 --> 18:22.000]  We have now managed to secure the sought-after beans in a highly customized blend.
[18:22.000 --> 18:29.000]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at infowarslife.com.
[18:29.000 --> 18:34.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn
[18:34.000 --> 18:36.000]  that so many other coffees give me personally.
[18:36.000 --> 18:41.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly
[18:41.000 --> 18:43.000]  to the Chiapas Mexican farmers.
[18:43.000 --> 18:47.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[18:47.000 --> 18:51.000]  Available in original or with our immune support infusion blend.
[18:51.000 --> 18:57.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[18:57.000 --> 19:00.000]  Available at infowarslife.com.
[19:00.000 --> 19:06.000]  We have developed with the top firms in the United States powerful 50 billion live organism
[19:06.000 --> 19:14.000]  probiotic flora life that is so critical to having a healthy gut and a healthy life
[19:14.000 --> 19:17.000]  and that has changed my life and so many other people's lives.
[19:17.000 --> 19:23.000]  The other part is a compound like Mycos EX that has all these key ingredients of organic herbs
[19:23.000 --> 19:27.000]  and other systems that are known to break down this garbage in the body.
[19:27.000 --> 19:30.000]  That's why as we go through Christmas and now into the new year,
[19:30.000 --> 19:37.000]  we're extending the free shipping and 50% off on all our best-selling items while supplies last.
[19:37.000 --> 19:44.000]  You can also get the two products together and get them at 50% off when you combo them.
[19:44.000 --> 19:46.000]  So popular, sold out for more than six months.
[19:46.000 --> 19:51.000]  Now back in stock for limited time at infowarsstore.com, infowarslife.com
[19:51.000 --> 19:55.000]  or by calling toll free, triple A, two, five, three, three, one, three, nine.
[20:03.000 --> 20:07.000]  You're listening to the Alex Jones show.
[20:11.000 --> 20:18.000]  It's the year their BS stopped working on a majority of people and it's getting worse for them by the minute.
[20:18.000 --> 20:24.000]  All the evidence shows, all the graph show, all the feedback shows, all the bellwethers,
[20:24.000 --> 20:28.000]  all the weather veins, all the statistics, all the real raw data shows,
[20:28.000 --> 20:32.000]  a global explosive awakening against everything mainstream.
[20:32.000 --> 20:38.000]  Hollywood, not just here but the Hollywoods they've got in France and the Hollywoods they've got in Italy
[20:38.000 --> 20:40.000]  and the Hollywoods they've got in Japan.
[20:40.000 --> 20:44.000]  All the establishment media, people are running away from it.
[20:44.000 --> 20:47.000]  They're sick of it. They can't stand it.
[20:47.000 --> 20:54.000]  The establishment gurus, the establishment systems, the establishment new age stuff, all of it.
[20:54.000 --> 20:58.000]  People are running away from it and rejecting it.
[20:58.000 --> 21:03.000]  GMO, they're rejecting. Vaccines, they're rejecting because we know they're tainted and being spiked.
[21:03.000 --> 21:06.000]  Globalism, mainline sports, all of it.
[21:06.000 --> 21:11.000]  And their answer is we'll march EU armies in if you try to leave Europe, the EU.
[21:11.000 --> 21:13.000]  We'll get rid of your national sports teams.
[21:13.000 --> 21:16.000]  That'll make you love the EU. There's only our sports team.
[21:16.000 --> 21:20.000]  All of this is a desperate attempt and it's not working.
[21:20.000 --> 21:24.000]  And their final big desperate attempt was to say anyone that likes Trump is Hitler.
[21:24.000 --> 21:26.000]  Anyone that's a nationalist is Hitler.
[21:26.000 --> 21:31.000]  We're going to call you horrible names and destroy you and fire you or kill you or shoot you
[21:31.000 --> 21:34.000]  like Congressman Scalise if you don't give in to us and it didn't work.
[21:34.000 --> 21:37.000]  People turned the corner to the bullies.
[21:37.000 --> 21:44.000]  They took the fact that we were calm and the fact that we were asleep for weakness.
[21:44.000 --> 21:52.000]  Instead, now the sleeping giant has awoken like when Admiral Yamamoto telegraphed back December 7, 1941,
[21:52.000 --> 21:54.000]  the day they live in infamy. He telegraphed back the next day.
[21:54.000 --> 21:59.000]  He said, fear, we've awakened a sleeping giant.
[21:59.000 --> 22:06.000]  So just think about that, how we've been domesticated, what we've been turned into and now we're turning the corner.
[22:06.000 --> 22:08.000]  So all they've got is racism now.
[22:08.000 --> 22:13.000]  Divide and conquer, how the British would go into India or other places and be outnumbered a thousand to one or more and take over.
[22:13.000 --> 22:22.000]  I mean, a couple thousand British troops and their sociologists that they would send in years before as traders and stuff to get businesses,
[22:22.000 --> 22:28.000]  they would come in and play tribes off against each other and in a matter of years they took over China, they took over India,
[22:28.000 --> 22:32.000]  divide and conquer and this is how they did it, tribe against tribe.
[22:32.000 --> 22:39.000]  You know the Indians look the same, act the same, even the same culture, they played them off against each other and that's their plan.
[22:39.000 --> 22:41.000]  Hindu against Muslim, you name it.
[22:41.000 --> 22:48.000]  Racist, buzzfeed, list things, white people need to stop running in 2018 and this is the whole thing from universities everywhere.
[22:48.000 --> 22:51.000]  Whites are inherently bad. Whites are inherently evil.
[22:51.000 --> 22:55.000]  Whites are inherently not good genetically.
[22:55.000 --> 22:57.000]  What is Sink Uggur?
[22:57.000 --> 23:00.000]  Or Chink, what do you say his name, Jinger Gugur?
[23:00.000 --> 23:01.000]  Clink Blunger.
[23:01.000 --> 23:03.000]  I'm really not making fun of his name, I can't ever.
[23:03.000 --> 23:04.000]  Chink Unger.
[23:04.000 --> 23:14.000]  You know in his writing he's like these women are genetically trash and garbage and well he's a Muslim from Turkey folks.
[23:14.000 --> 23:24.000]  I mean of course he has an, I mean it's just like Linda Sir Sir's mother writes books about chopping all women's genitals off and then she leads the women's marches.
[23:24.000 --> 23:30.000]  I mean it's all about force feeding you something ridiculous and that's it right here.
[23:30.000 --> 23:38.000]  Buzzfeed has published a list of 37 things, white people need to stop running in 2018, yet another example of lefts brazen anti-white racism.
[23:38.000 --> 23:44.000]  And then it just goes over the list of things that is just absolutely incredible.
[23:44.000 --> 23:48.000]  So this is all they've got.
[23:48.000 --> 23:59.000]  I mean can you imagine what you could say about 30 things that blacks do that's bad and then stereotype and say horrible things.
[23:59.000 --> 24:01.000]  I mean it would be terrible.
[24:01.000 --> 24:04.000]  It would be a horrible thing.
[24:04.000 --> 24:07.000]  This is beyond that and it just shows who they are.
[24:07.000 --> 24:08.000]  They're desperate.
[24:08.000 --> 24:14.000]  They've always used race to control manipulator body and they're the enemy of prosperity and everything else that's happening right now.
[24:14.000 --> 24:16.000]  It's miraculous what's happening.
[24:16.000 --> 24:17.000]  We should all give thanks.
[24:17.000 --> 24:18.000]  I give thanks to God.
[24:18.000 --> 24:19.000]  I give thanks to you.
[24:19.000 --> 24:22.000]  And I just want you to know we've blown Hillary Clinton's operation sky high.
[24:22.000 --> 24:24.000]  You've really devastated the globalist.
[24:24.000 --> 24:26.000]  You've done an incredible job.
[24:26.000 --> 24:27.000]  I love you.
[24:27.000 --> 24:28.000]  I appreciate you.
[24:28.000 --> 24:34.000]  And I'm going to really codify through the next few weeks every day just examples of the successes and the good things that have happened.
[24:34.000 --> 24:41.000]  And just how much amazing things have gone on and how we stood up to the bullying and how we have rallies and half the folks there aren't white.
[24:41.000 --> 24:51.000]  That is so good because they always told minorities you can't be part of the Tea Party or libertarianism when it's been socialism and colonialism and collectivism that have absolutely enslaved everybody.
[24:51.000 --> 24:56.000]  And here we are at this great new renaissance that's happening.
[24:56.000 --> 24:58.000]  And humanity's found its fight again.
[24:58.000 --> 25:05.000]  And it's because of you and the great crew here and all of us little people standing up to Hollywood and mainstream media and the globalist.
[25:05.000 --> 25:12.000]  And they've just thrown everything they've got at us, even though it's destroying the NFL and destroying the NBA and destroying Hollywood.
[25:12.000 --> 25:18.000]  They just can't stop because it's all about the spiritual control they want because they're from the chicken shit dimension.
[25:18.000 --> 25:19.000]  Basically is what I call it.
[25:19.000 --> 25:20.000]  That's my term.
[25:20.000 --> 25:21.000]  The chicken shit dimension.
[25:21.000 --> 25:22.000]  I invented that.
[25:22.000 --> 25:29.000]  They just have it out for green fields and happy families and fly over country and people coming together.
[25:29.000 --> 25:34.000]  That's the will of evil is to take things over and then destroy it.
[25:34.000 --> 25:38.000]  And they wonder why they're so desperate, why they're so unhappy, why things are so terrible.
[25:38.000 --> 25:43.000]  If they could just pull down somebody that they think is better than them, then they would be somebody.
[25:43.000 --> 25:46.000]  And they're really projecting that they're trying to pull themselves down.
[25:46.000 --> 26:02.000]  Because if they weren't ugly before, they have become spiritually and physically ugly because they have gone into an economy of envy and an economy of class warfare.
[26:02.000 --> 26:08.000]  That even conservatives and libertarians claim we're not trying to be part of, but that permeates everything.
[26:08.000 --> 26:16.000]  And then sometimes you have to fight that culture war with its own symbols, even though you realize that you're even playing into it at a certain level.
[26:16.000 --> 26:27.000]  But there's an equation where it does more good than bad because you can't even communicate to people at a zombie level unless you enter into that paradigm of the false left-right system.
[26:27.000 --> 26:30.000]  But the truth is we're all children once.
[26:30.000 --> 26:31.000]  We all have hopes and dreams.
[26:31.000 --> 26:34.000]  We all have amazing ancestors from one point or another.
[26:34.000 --> 26:35.000]  We wouldn't be here.
[26:35.000 --> 26:40.000]  And we're going through a lot right now through this process like we're space traveling to Mars.
[26:40.000 --> 26:44.000]  And when you get to Mars after a year of voyage, a lot of people would be able to walk or even hardly get up.
[26:44.000 --> 26:45.000]  Like I said, getting out of the coma.
[26:45.000 --> 26:48.000]  And it's like that.
[26:48.000 --> 26:52.000]  We're in this artificial world now going through all these changes, good and bad.
[26:52.000 --> 27:04.000]  And it's a great quickening and a great time of testing and a great time for us to realize that the great destiny and continuum of humanity is the great arc of history and the great arc of the future.
[27:04.000 --> 27:10.000]  And the great arc that ties us to the past, present and through our dreams and genetic time flow to the future.
[27:10.000 --> 27:19.000]  And so there is an eternal life guaranteed within the spectrum of life and knowledge and information we transfer forward.
[27:19.000 --> 27:33.000]  But that everything being multi-dimensional in God's master plan, there are other dimensions to that spiritually that also live on but resonate towards the energy and towards the force that it is likened to.
[27:33.000 --> 27:41.000]  So the hell is those that are evil and corrupt, vampires not having anyone spiritually to feed on together forever.
[27:41.000 --> 28:01.000]  And good is ever higher levels of joining with God as God opens up more and more of the universe to those that are able to grasp the face of God than the mind of God, the soul of God and the continuum of God as we join closer and greater with God.
[28:01.000 --> 28:03.000]  And these are the secrets they don't want you to know.
[28:03.000 --> 28:05.000]  And it's transcended.
[28:05.000 --> 28:07.000]  So I love you and I appreciate you and I thank you.
[28:07.000 --> 28:09.000]  Celebrate your victories.
[28:09.000 --> 28:11.000]  Celebrate what you've done.
[28:11.000 --> 28:15.000]  Celebrate the commitment you've made and where we're going together.
[28:15.000 --> 28:21.000]  Because I want to salute all of you as I've always done and thank you for what you've done.
[28:21.000 --> 28:25.000]  Because these globalist bullies think they can dominate and control humanity.
[28:25.000 --> 28:30.000]  But as I've said a thousand times, I don't know how all this is going to end.
[28:30.000 --> 28:33.000]  But if they want to fight, they better believe they got one.
[28:33.000 --> 28:35.000]  Because it's the fight that matters.
[28:35.000 --> 28:39.000]  It's the fight and the resistance is the destination.
[28:39.000 --> 28:41.000]  The journey is the destination.
[28:41.000 --> 28:43.000]  The journey is the destination.
[28:43.000 --> 28:45.000]  You are fulfilled.
[28:45.000 --> 28:46.000]  You are strong.
[28:46.000 --> 28:47.000]  You are beautiful.
