[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[00:03:41.255 --> 00:03:49.041]  So, and the number of white people who are killed by police every year is double the amount that's killed by black people every year.
[00:03:49.041 --> 00:03:53.644]  Because the facts that I'm giving you don't align with your cult narrative.
[00:03:53.644 --> 00:03:55.786]  What is it about me that disgusts you?
[00:03:55.786 --> 00:03:58.648]  You're angry because I told you facts.
[00:03:58.648 --> 00:04:02.271]  Black people are not being killed by police in just numbers.
[00:04:02.271 --> 00:04:03.052]  It's not happening.
[00:04:04.132 --> 00:04:06.233]  You're just full of rage for no reason.
[00:04:06.233 --> 00:04:09.595]  More than half of the black babies in New York City are aborted.
[00:04:09.595 --> 00:04:10.275]  More than half.
[00:04:10.275 --> 00:04:11.836]  You care about those black lives.
[00:04:11.836 --> 00:04:13.857]  Because I don't want you to try to incite anger.
[00:04:13.857 --> 00:04:14.617]  Learn some facts.
[00:04:14.617 --> 00:04:16.898]  You don't have to be so angry.
[00:04:16.898 --> 00:04:18.979]  Oh, no!
[00:04:18.979 --> 00:04:20.400]  It's not just there's more white people.
[00:04:20.400 --> 00:04:27.003]  If you're a white man, you're twice as likely to be shot by the police because the police aren't scared to shoot you if you pull a gun on them.
[00:04:27.003 --> 00:04:27.723]  And cops aren't perfect.
[00:04:27.723 --> 00:04:32.686]  There's certainly some bad ones, but I'm watching these black dudes with BLM go to the hospital
[00:04:34.312 --> 00:04:41.655]  And there's like hours of this footage, daring cops to shoot him, screaming, hoping the police die.
[00:04:41.655 --> 00:04:45.977]  Because they think there's an epidemic of black people being killed by police.
[00:04:45.977 --> 00:04:50.079]  This is mind control, ladies and gentlemen.
[00:04:59.502 --> 00:05:06.145]  You've always had a pledge from me, and it's that I'll come to you with the truth, at least as good as my human temporal truth can get.
[00:05:06.145 --> 00:05:16.530]  Because as the Bible says, we all see through a rose-colored, darkly kind of a foggy lens that distorts what we actually can perceive, so that everything we do is actually a fallen sin.
[00:05:16.530 --> 00:05:19.611]  Everything we do is actually a twisted distortion of God's will.
[00:05:19.611 --> 00:05:24.713]  So, when I tell you I'm telling you the truth, it's the best truth this fallen creature's got.
[00:05:24.713 --> 00:05:25.854]  But I'll tell you, it's all I got.
[00:05:26.920 --> 00:05:33.586]  And when I tell you that this country and the world is under major satanic threat, you don't need me to tell you that.
[00:05:33.586 --> 00:05:35.267]  You can look out the window.
[00:05:35.267 --> 00:05:36.428]  You can look into your own family.
[00:05:36.428 --> 00:05:37.269]  You can turn on the news.
[00:05:39.070 --> 00:05:40.671]  But you've got this commitment.
[00:05:40.671 --> 00:05:42.672]  I do recognize the truth of God, and so do you.
[00:05:42.672 --> 00:05:44.332]  We're going to win this fight, but it's going to be hard.
[00:05:44.332 --> 00:05:50.695]  And I want to keep M4 Wars in the main position to fight, and that only happens when you support what you've been doing.
[00:05:50.695 --> 00:05:51.636]  So again, I thank you.
[00:05:51.636 --> 00:05:57.279]  But go to m4warsstore.com, buy the product, spread the word, because that's how we're going to win.
[00:05:57.279 --> 00:05:58.099]  Again, I thank you all.
[00:06:10.892 --> 00:06:13.699]  Live, raw, and unfiltered.
[00:06:13.699 --> 00:06:15.364]  It's the Alex Jones Show!
[00:06:41.334 --> 00:06:46.319]  It's September 15th on this Tuesday, Global Edition, 48 days out.
[00:06:46.319 --> 00:06:47.560]  I am your host, Alex Jones.
[00:06:47.560 --> 00:06:48.981]  Very honored, very blessed to be here.
[00:06:48.981 --> 00:06:59.651]  I want to thank you all for being listeners and viewers and supporters, because without you, the enemy would have destroyed us and this country, along with the rest of us.
[00:06:59.651 --> 00:07:05.116]  Yes, it's a fact, without InfoWars, the entire global landscape
[00:07:06.078 --> 00:07:09.841]  Of understanding how the world really works would not have happened.
[00:07:09.841 --> 00:07:11.182]  We would not have President Trump.
[00:07:11.182 --> 00:07:13.283]  We would not have Bolsonaro.
[00:07:13.283 --> 00:07:17.367]  We would not have Nigel Farage.
[00:07:17.367 --> 00:07:19.208]  We would not have all these people in those positions.
[00:07:19.208 --> 00:07:26.373]  I've been told by Bolsonaro's son, this is right-hand man, a member of Congress in Brazil, face-to-face.
[00:07:26.373 --> 00:07:29.996]  I've been told by Nigel Farage on this show.
[00:07:29.996 --> 00:07:33.819]  I've been told by Donald Trump that
[00:07:35.251 --> 00:07:40.015]  They know InfoWars is what ignited the Global Awakening.
[00:07:40.015 --> 00:07:52.804]  It was already there, the Patriots already knew what was going on, the John Birch Society, Barry Goldwater, Ron Paul, who came along later, but we supercharged it.
[00:07:52.804 --> 00:08:00.410]  This audience and everyone that helped promote InfoWars material, like Drudge did for 15 years, changed the whole face of the world.
[00:08:00.410 --> 00:08:02.652]  That's why it's hard to get mad at Drudge, who's obviously
[00:08:05.225 --> 00:08:09.026]  Supporting the other team when he helped get us to this point.
[00:08:09.026 --> 00:08:10.426]  I haven't talked to Drudge in years.
[00:08:10.426 --> 00:08:13.867]  I don't know what Drudge is up to or why Drudge is doing that.
[00:08:13.867 --> 00:08:22.589]  That's why I have nothing but support for Drudge because again, just giving credit where credit's due.
[00:08:22.589 --> 00:08:25.690]  Paul Watts has got a big video out on him saying what the hell happened to him.
[00:08:25.690 --> 00:08:26.350]  It's a good question.
[00:08:26.350 --> 00:08:29.691]  In fact, I'm going to play it later today and talk about that, but that's a side issue.
[00:08:32.193 --> 00:08:34.155]  Infowars changed the world.
[00:08:34.155 --> 00:08:56.637]  It's our job not to be popular up front, but to have the courage to cover the things that we know will be attacked for, because we know it's true, to break the ice and make it safe for other people like Glenn Beck and Sean Hannity and Tucker Carlson to come along and adopt our worldview, which is the accurate worldview.
[00:08:58.151 --> 00:09:06.232]  The Globalist program has put out thousands of different flavors of disinfo and then hope you never read their white papers.
[00:09:06.232 --> 00:09:09.153]  Well, I read the white papers.
[00:09:09.153 --> 00:09:13.154]  I read hundreds and hundreds of books by the Globalist for the Globalist.
[00:09:13.154 --> 00:09:14.514]  I infiltrated their organizations.
[00:09:14.514 --> 00:09:18.115]  I interviewed all the major defectors against them.
[00:09:18.115 --> 00:09:19.515]  And we are the brain trust.
[00:09:19.515 --> 00:09:20.475]  You are the brain trust.
[00:09:20.475 --> 00:09:22.095]  You did it.
[00:09:22.095 --> 00:09:24.176]  We're winning.
[00:09:24.176 --> 00:09:26.196]  The new world order is in big trouble, but
[00:09:27.642 --> 00:09:32.586]  The system is created of corruption and surveillance and evil is growing like a cancer.
[00:09:32.586 --> 00:09:39.111]  But the people that thought they'd build this world government and have it take over, they are in deep trouble.
[00:09:39.111 --> 00:09:46.616]  That doesn't mean the system they built is in deep trouble, but that's the next phase of what we're going to do, and we will do it, and we will be successful.
[00:09:46.616 --> 00:09:50.559]  Just like George Herbert Walker Bush said in 1992 that he was going to bring us into one world government.
[00:09:50.559 --> 00:09:54.342]  He goes, when we are successful, and we will be,
[00:09:56.323 --> 00:09:58.685]  We're going to establish our New World Order.
[00:09:58.685 --> 00:10:01.827]  Well, you can see the New World Order coming into view.
[00:10:01.827 --> 00:10:09.312]  We're nation-states and people have no power and megacorporations are above the law and totally evil.
[00:10:09.312 --> 00:10:11.774]  So let me tell you what's in the stack today.
[00:10:11.774 --> 00:10:17.939]  I just called and I said, let's get, because Paul Watson I think is doing Wednesday or Thursday this week, let's get Bishop Larry Gators on.
[00:10:19.531 --> 00:10:29.938]  Because he's been exposing that LeBron James and that the founders of Black Lives Matter and all them are actually into an anti-African cult that feeds off the energy of black people.
[00:10:29.938 --> 00:10:42.826]  Now I know the globalists do that from my own studies, but everything he said about Black Lives Matter, the founder has now come out and said that killing police is a form of sacrifice to the devil.
[00:10:44.110 --> 00:10:47.372]  It's a big Gateway Pundit article, and I'm glad they went and dug these quotes out.
[00:10:47.372 --> 00:10:57.098]  These people are not hiding this, about how they pray to these gods, and that it's all black magic.
[00:10:57.098 --> 00:10:59.300]  Spirits want murder.
[00:11:06.311 --> 00:11:08.832]  So when we say it's a spiritual battle, it is.
[00:11:08.832 --> 00:11:15.233]  These women, these Marxists, who tell you, we don't want men to have testicles, we don't want to have a black family.
[00:11:15.233 --> 00:11:22.655]  How could you say you're a bigger enemy of humans, of black people, than to say, we are here to destroy the family?
[00:11:22.655 --> 00:11:24.956]  That is their maxim.
[00:11:24.956 --> 00:11:29.237]  And the greatest sacrament is a man having his testicles cut off.
[00:11:29.237 --> 00:11:31.298]  Talk about witches.
[00:11:31.298 --> 00:11:32.098]  Talk about devils.
[00:11:37.264 --> 00:11:45.710]  You know, a great historian in Vietnam, highly decorated veteran, Oliver Stone wrote Conan the Barbarian, the first Conan movie.
[00:11:45.710 --> 00:11:47.571]  The second one was unwatchable crap.
[00:11:47.571 --> 00:11:49.272]  The first one is excellent.
[00:11:49.272 --> 00:11:53.135]  A lot of ancient lore mixed together with fiction.
[00:11:53.135 --> 00:11:59.299]  And in it, Conan is wanting to find out who killed his family and he comes into this ladies'
[00:12:01.181 --> 00:12:06.103]  House in the mountains and she says, I'll tell you where those snakes eating snakes came from.
[00:12:06.103 --> 00:12:10.804]  I'll tell you where that amulet came from, but there is a price barbarian.
[00:12:10.804 --> 00:12:12.185]  And what does she want to do?
[00:12:12.185 --> 00:12:19.507]  She wants to take his sexual energy and a sexual ritual and kill him while she's raping him.
[00:12:19.507 --> 00:12:20.908]  This is Alistair Crowley magic.
[00:12:22.076 --> 00:12:23.957]  And that's what these women are involved in.
[00:12:23.957 --> 00:12:26.317]  These are real black magic witches.
[00:12:26.317 --> 00:12:29.038]  And I don't mean black magic because they're black.
[00:12:29.038 --> 00:12:32.799]  I mean, they are some devils.
[00:12:32.799 --> 00:12:34.820]  And they admit it.
[00:12:34.820 --> 00:12:45.163]  And you look at the spell they've got over people that have taken on this, just murder the police, murder innocent people, shoot people at checkpoints, burn things down, go into restaurants and attack people because of what color they are.
[00:12:47.042 --> 00:12:55.345]  And these women conducting their little white magic rituals out in the open like Irina Baranovic does, but then the black magic is done internally.
[00:12:55.345 --> 00:12:59.146]  I mean, these are just arrogant, slob-like jokes.
[00:12:59.146 --> 00:13:10.850]  But they've got the power of Soros, who is a dark magician of the highest order, behind them.
[00:13:10.850 --> 00:13:11.810]  And Alexander Soros.
[00:13:11.810 --> 00:13:13.571]  And we're going to talk about that when we come back.
[00:13:15.031 --> 00:13:18.832]  That's why the Justice Department's leaked emails that Antifa's organized.
[00:13:18.832 --> 00:13:22.793]  Remember they had blackmailed J Edgar Hoover reportedly.
[00:13:22.793 --> 00:13:26.974]  LaCosta Nostra had the Italian Mafia.
[00:13:26.974 --> 00:13:30.395]  And up until the 50s they said there's no such thing as organized crime.
[00:13:30.395 --> 00:13:31.115]  It doesn't exist.
[00:13:31.115 --> 00:13:34.096]  Well it's the same thing here.
[00:13:34.096 --> 00:13:34.576]  Oh!
[00:13:34.576 --> 00:13:42.038]  The FBI, still run by leftists at the highest levels in some areas, not completely, but part of it, says white supremacy is the biggest threat, right?
[00:13:42.038 --> 00:13:43.179]  Biggest killer, sure.
[00:13:43.179 --> 00:13:43.819]  So is the Easter Bunny.
[00:13:45.265 --> 00:13:50.067]  But, they say they don't know who runs Antifa though.
[00:13:50.067 --> 00:13:55.749]  Really, I have their corporate bylaws and their minutes and all of it right here, I'll be showing everybody.
[00:13:55.749 --> 00:14:02.392]  They buy full-page ads in newspapers across the country for millions of dollars a pop.
[00:14:02.392 --> 00:14:04.833]  It's $200,000 for the ad they bought in the New York Times.
[00:14:04.833 --> 00:14:07.495]  They bought them in major papers across the country.
[00:14:07.495 --> 00:14:08.655]  Millions of dollars.
[00:14:08.655 --> 00:14:09.535]  And they're highly financed.
[00:14:09.535 --> 00:14:10.536]  We'll show you exactly who runs them.
[00:14:11.772 --> 00:14:18.495]  And the same dude just gave $220 million on top of all the other hundreds of millions to what?
[00:14:18.495 --> 00:14:21.297]  Black Lives Matter!
[00:14:21.297 --> 00:14:23.478]  Black Lives Matter!
[00:14:23.478 --> 00:14:30.681]  And then 98% of the money is siphoned off to the Democratic Party and all the old white people.
[00:14:30.681 --> 00:14:38.185]  And then you've got obese, insane witches strutting around doing rituals being worshipped by men
[00:14:39.721 --> 00:14:48.347]  When that women are coming archetypally to destroy their masculine energy, to feed on the species and enslave humanity.
[00:14:48.347 --> 00:14:52.110]  They come for the men.
[00:14:52.110 --> 00:15:03.558]  I mean, just thank God every moment that you are not a demonic slob like this lady, dressed up as a black-winged angel.
[00:15:03.558 --> 00:15:08.322]  We'll play the video coming up, but Pastor Bishop
[00:15:10.250 --> 00:15:14.474]  Gators will be joining us in the fourth hour today.
[00:15:14.474 --> 00:15:16.456]  He certainly is an expert on this.
[00:15:16.456 --> 00:15:20.360]  And just like me, when you have a lot of info, you tend to move fast.
[00:15:20.360 --> 00:15:24.384]  I'm going to ask him today to really drill into the occult areas of this and really take his time.
[00:15:24.384 --> 00:15:27.267]  Because I know a lot of the stuff he knows, so I know he's not BSing.
[00:15:27.267 --> 00:15:29.209]  But he's moving so quick when I'm watching, I'm just like...
[00:15:30.205 --> 00:15:35.466]  He explains all the languages that these globalists use, and how it's all their gang language that we don't know.
[00:15:35.466 --> 00:15:41.148]  And he's dead on, so you can know where they're coming from and what they think their source of power is.
[00:15:41.148 --> 00:15:42.688]  And it's in blood!
[00:15:42.688 --> 00:15:47.790]  Killing babies when they're not born, killing them when they're born, killing old people, killing cops.
[00:15:47.790 --> 00:15:52.591]  Because to kill a warrior, and to kill someone that defends the tribe, that's the highest level of sacrifice you can get.
[00:15:52.591 --> 00:15:55.752]  The Druids did it with the Burning Man, where they would burn the pure warriors.
[00:15:56.810 --> 00:16:01.133]  The trick that social engineers use is very, very simple.
[00:16:01.133 --> 00:16:15.763]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats, and that if we just sit back and enjoy the ride, everything will be great.
[00:16:15.763 --> 00:16:21.747]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, and we need to be phased out.
[00:16:21.747 --> 00:16:25.950]  So, they're very open about what they're doing, and they count on us
[00:16:26.790 --> 00:16:32.574]  Just being very passive, living in the Matrix-like system that they're building.
[00:16:32.574 --> 00:16:39.779]  But what defines humans more than anything from the rest of the quote, animal kingdom, is that we control our environment.
[00:16:39.779 --> 00:16:41.900]  We build our own environments.
[00:16:41.900 --> 00:16:43.221]  We create our own systems.
[00:16:43.221 --> 00:16:49.745]  We really geoengineer and terraform the planet and its systems towards our aims.
[00:16:49.745 --> 00:16:54.328]  But instead, we're acting like animals, and the globalists play the part of humans, and us as cattle.
[00:16:54.328 --> 00:16:55.249]  And that's the trick.
[00:16:57.085 --> 00:16:58.686]  It was a sleeper product.
[00:16:58.686 --> 00:17:03.871]  It wasn't popular at first, but as people tried it, it's become one of our top five best sellers.
[00:17:03.871 --> 00:17:06.833]  I'm talking about the 8-pack Power Stack.
[00:17:06.833 --> 00:17:13.799]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[00:17:13.799 --> 00:17:15.441]  It's available right now at $60.
[00:17:16.181 --> 00:17:22.030]  percent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[00:17:22.030 --> 00:17:24.613]  This has changed my life and so many other people's lives.
[00:17:24.613 --> 00:17:25.535]  Now here's the problem.
[00:17:25.535 --> 00:17:31.023]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[00:17:31.263 --> 00:17:31.823]  We're good to go.
[00:17:58.727 --> 00:18:01.343]  You're listening to The Alex Jones Show.
[00:18:25.284 --> 00:18:26.785]  48 days.
[00:18:26.785 --> 00:18:32.429]  48 days racing towards us with agonizing slowness.
[00:18:32.429 --> 00:18:39.454]  There's that paradox that the time is flying by, but each second is like a year.
[00:18:39.454 --> 00:18:41.796]  That is the paradox of the universe.
[00:18:41.796 --> 00:18:47.160]  I am your host, Alex Jones, on this Live Tuesday, teleprompter free, global transmission.
[00:18:49.918 --> 00:18:55.739]  All right, so we've got a lot of incredible COVID world government news we're going to be getting to.
[00:18:55.739 --> 00:19:03.781]  We've also got the globalist next frontier of censorship we're going to be exposing and how easy it is to defeat this fraud.
[00:19:03.781 --> 00:19:10.162]  But first, let's get into who exactly is behind Antifa.
[00:19:10.162 --> 00:19:16.383]  Now, that's kind of a joke to have the feds leak that, oh, we've discovered it's orchestrated and run
[00:19:18.183 --> 00:19:19.003]  By someone.
[00:19:19.003 --> 00:19:22.205]  Now, they get patsies to come and do more of the violent stuff and pay them cash.
[00:19:22.205 --> 00:19:26.827]  It's compartmentalized, but we know they're getting centralized directives.
[00:19:26.827 --> 00:19:34.851]  Well, that's funny because the Chinese government, through the Maoist Institutes, and places like the University of Texas fund them,
[00:19:36.895 --> 00:19:43.839]  And the Refused Fascism, which is a Maoist group with Weatherman involved that also gets Soros money, is controlling it.
[00:19:43.839 --> 00:19:46.000]  And all of this can be looked up.
[00:19:46.000 --> 00:19:51.683]  And so just let me do the FBI's job for them as if they don't know every damn bit of this and more.
[00:19:51.683 --> 00:19:57.966]  Meet Refused Fascism, the domestic Maoist group endorsing Joe Biden.
[00:19:57.966 --> 00:20:00.487]  That's out of Justice News.
[00:20:00.487 --> 00:20:01.148]  Just the News.
[00:20:01.148 --> 00:20:01.568]  Continuing.
[00:20:02.560 --> 00:20:12.443]  No surprise, the Transition Integrity Project is working to remove President Trump from office no matter what, has connections to China, Soros, Obama, and Hunter Biden.
[00:20:12.443 --> 00:20:19.504]  And Gateway Pundit, a big lengthy article, details all the funding of the groups, including a foreign government.
[00:20:19.504 --> 00:20:29.967]  Now remember, I told you three years ago, four years ago, this is four now, we infiltrated Antifa, Austin with undercover people, and they were meeting at UT with a UT board member running it, who's
[00:20:31.601 --> 00:20:34.542]  On the payroll of China and a Confucius Institute.
[00:20:34.542 --> 00:20:37.864]  And they were proud, pledging allegiance to Xi Jinping.
[00:20:37.864 --> 00:20:43.826]  And when we were there, we later got approached by the military and the CIA.
[00:20:43.826 --> 00:20:45.807]  And they said, hey, we know you're infiltrating these groups.
[00:20:45.807 --> 00:20:46.587]  They're very dangerous.
[00:20:46.587 --> 00:20:47.408]  We're aware of it.
[00:20:47.408 --> 00:20:48.648]  We're in there as well.
[00:20:48.648 --> 00:20:50.869]  I'm like, well, you sure as hell ought to be doing something about it.
[00:20:50.869 --> 00:20:54.111]  Cause this was like whole meeting rooms with hundreds of people at UT.
[00:20:54.111 --> 00:20:55.211]  Okay.
[00:20:55.211 --> 00:20:59.393]  And when we, you had to have a pass a code word to get in, we got in.
[00:21:00.652 --> 00:21:01.473]  Okay.
[00:21:01.473 --> 00:21:03.514]  And I told you about that four years ago.
[00:21:03.514 --> 00:21:06.236]  So, and now you've seen they've shut down the Confucius Institutes.
[00:21:06.236 --> 00:21:08.277]  These are foreign paid operatives.
[00:21:08.277 --> 00:21:10.019]  Let's continue.
[00:21:10.019 --> 00:21:14.201]  Meet Refused Fascism, the domestic Maoist group endorsing Joe Biden.
[00:21:14.201 --> 00:21:20.506]  No surprise, the Transition Integrity Project is working to remove President Trump from office no matter what.
[00:21:20.506 --> 00:21:23.808]  Has connections to China, Soros, Obama, and Hunter Biden.
[00:21:23.808 --> 00:21:24.589]  DHS has
[00:21:25.996 --> 00:21:32.304]  Overwhelming intel that Portland violence organized by violent Antifa anarchists leaked emails.
[00:21:32.304 --> 00:21:35.588]  And it goes into CBS News reporting that the feds say that it's organized.
[00:21:35.588 --> 00:21:35.988]  Really?
[00:21:35.988 --> 00:21:39.212]  Really?
[00:21:39.212 --> 00:21:42.476]  Meanwhile, the billionaire backers of insurrection.
[00:21:43.410 --> 00:21:45.612]  The Transition Integrity Project.
[00:21:45.612 --> 00:21:48.655]  Big article out of American Greatness.
[00:21:48.655 --> 00:21:54.120]  And it links to all the facts and how Soros funds it and how he gave hundreds of millions of dollars to the groups that fund it.
[00:21:54.120 --> 00:21:54.920]  And it's all right there.
[00:21:54.920 --> 00:21:56.021]  This is all open and shut.
[00:21:56.021 --> 00:21:56.922]  It's not even hidden.
[00:21:56.922 --> 00:21:57.283]  Breaking!
[00:21:57.283 --> 00:21:58.344]  DHS leaked.
[00:21:58.344 --> 00:22:00.085]  Email confirms Antifoza is an organized group.
[00:22:00.085 --> 00:22:01.927]  Wow!
[00:22:01.927 --> 00:22:04.009]  They confirmed that cows walk on four legs.
[00:22:05.916 --> 00:22:07.357]  Then we have the New York Times defending him.
[00:22:07.357 --> 00:22:10.941]  Trump's shredding of civil liberties won't stop with Antifa.
[00:22:10.941 --> 00:22:18.387]  They go on to say that the man that reportedly shot the other Patriot prayer person probably wouldn't even do it.
[00:22:18.387 --> 00:22:20.389]  He's just a suspect.
[00:22:20.389 --> 00:22:23.692]  The police probably killed him on purpose and he's a hero.
[00:22:23.692 --> 00:22:26.095]  Meanwhile the guy said he killed him and admits he killed him.
[00:22:26.095 --> 00:22:28.257]  It's just the New York Times.
[00:22:28.257 --> 00:22:29.057]  Breaking CDC!
[00:22:30.643 --> 00:22:35.625]  Defies Trump executive order, moves forward with critical race theory indoctrination.
[00:22:35.625 --> 00:22:38.126]  Now why is this important?
[00:22:38.126 --> 00:22:40.227]  Because it's an example of why Trump can't get anything done.
[00:22:40.227 --> 00:22:43.589]  The bureaucracies and the agencies do not do what he lawfully says.
[00:22:43.589 --> 00:22:45.510]  So they're going to go ahead
[00:22:47.315 --> 00:22:55.237]  With a multi-month long, brainwashing, 13-week series titled, Naming, Measuring, and Addressing the Impacts of Racism.
[00:22:55.237 --> 00:22:59.737]  And it goes on to say, America's bad, America's racist, America's evil.
[00:22:59.737 --> 00:23:00.578]  Go read it for yourself.
[00:23:00.578 --> 00:23:05.799]  It actually says, the country should not exist.
[00:23:05.799 --> 00:23:06.479]  It's unbelievable.
[00:23:06.479 --> 00:23:10.000]  There's a good article in Town Hall that breaks this down.
[00:23:10.000 --> 00:23:11.820]  Democrats are trying to threaten their way into power.
[00:23:11.820 --> 00:23:13.260]  Exactly.
[00:23:13.260 --> 00:23:16.981]  Meanwhile, they've elected all these former Weathermen people and their children to be
[00:23:18.507 --> 00:23:20.989]  District attorneys around the country.
[00:23:20.989 --> 00:23:22.930]  So let me again show you who they are, FBI.
[00:23:22.930 --> 00:23:25.371]  Let me show everybody who they are.
[00:23:25.371 --> 00:23:26.912]  The nightmare must end.
[00:23:26.912 --> 00:23:28.854]  The Trump-Pence regime must go.
[00:23:28.854 --> 00:23:33.857]  November 4th, it begins.
[00:23:33.857 --> 00:23:38.540]  And it has Refuse Fascism right here, and who they are, and what they do, refusefascism.org.
[00:23:38.540 --> 00:23:46.445]  And that is the original group that founded Antifa more than 30 years ago, and then set up Refuse Fascism in
[00:23:49.138 --> 00:23:50.839]  2016 as their new super PAC.
[00:23:50.839 --> 00:23:54.642]  But that's the group, that's the organization, that's the people.
[00:23:54.642 --> 00:23:56.784]  You can go read all about it.
[00:23:56.784 --> 00:24:02.488]  Refuse Fascism is a radical Maoist group with funding from China and Confucius organizations.
[00:24:02.488 --> 00:24:07.612]  Read the Kit Daniels article, full-page New York Times ad demands anti-revolution, don't overthrow Trump.
[00:24:07.612 --> 00:24:14.618]  Here is the executive action summaries from Alexander Soros with their command groups trying to trigger martial law riots in Maryland.
[00:24:17.771 --> 00:24:20.233]  So, you want to know what's going on?
[00:24:20.233 --> 00:24:21.354]  Here it is right here, okay?
[00:24:21.354 --> 00:24:26.599]  I could go on for hours about this, but let's talk about the aftermath.
