[00:00.000 --> 00:15.000]  The answer to 1984 is 1776.
[06:20.000 --> 06:27.000]  Super blue fluoride free toothpaste is a groundbreaking new formula that's loaded with good halogen iodine, so the bad halogen fluoride.
[06:27.000 --> 06:34.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[06:34.000 --> 06:42.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[06:42.000 --> 06:46.000]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children.
[06:46.000 --> 06:50.000]  We have created the new bubblegum flavored super blue that is spearmint free.
[06:50.000 --> 06:59.000]  Learn more about the new bubblegum flavored super blue toothpaste and more at info wars life dot com and support the info war while you support healthy gums and teeth.
[06:59.000 --> 07:03.000]  A new shipment of bio truth selenium is now available at info wars life dot com.
[07:03.000 --> 07:05.000]  We've been sold out for months.
[07:05.000 --> 07:10.000]  Our one of a kind info wars life bio truth selenium formula is now back in stock at info wars life dot com.
[07:10.000 --> 07:14.000]  This is the true selenium formula that has rocked the nutraceutical industry to its core.
[07:14.000 --> 07:19.000]  Nearly every other selenium supplement on the market is produced with synthetic selenium.
[07:19.000 --> 07:24.000]  The bio truth selenium is made from a source of 100% organic mustard seed.
[07:24.000 --> 07:32.000]  The effects of the essential trace mineral selenium are well known from supporting the thyroid gland and immune system to DNA production and eyesight.
[07:32.000 --> 07:40.000]  Bio truth selenium is also the perfect supercharger to survival shield x2 nascent iodine as both help support a healthy thyroid and many other systems.
[07:40.000 --> 07:45.000]  This is info wars life dot com to order your bottle of bio truth selenium before we sell it again.
[07:45.000 --> 07:54.000]  That's info wars life dot com to secure your selenium and other key products that don't only help yourself and your family but also fund our operation against the globalist a 360 win.
[07:54.000 --> 08:16.000]  We ask for this fight but we're in this fight. This is the time to support info wars. That's info wars life dot com.
[08:16.000 --> 08:25.000]  We now take you live to the central Texas command center in the heart of the resistance. It's Alex Jones.
[08:25.000 --> 08:30.000]  Welcome ladies and gentlemen welcome to another global transmission.
[08:30.000 --> 08:33.000]  I'm going to tell you about the big guess we've got the huge breaking news.
[08:33.000 --> 08:41.000]  The bottom line is the globalists now admit they're starting a civil war in this country and we've entered a shocking new chapter.
[08:41.000 --> 08:53.000]  That if we're aware of what's happening and like judo use their momentum and their action against us as a major time to separate ourselves financially more and more from the globalist.
[08:53.000 --> 09:08.000]  If we use their tools against them we're going to have absolute devastating death blow political and cultural victory.
[09:08.000 --> 09:22.000]  CNN MSNBC ABC News USA Day are all announcing go out and bully everyday people ask them if they voted for Trump and then get in their face and tell them they're a white supremacist.
[09:22.000 --> 09:34.000]  Fire them remove them ostracize them there's the CNN headline white supremacist by default how ordinary people made Charlottesville possible.
[09:34.000 --> 09:43.000]  Oh my gosh how the left brought in all the jihadi Muslims that killed 30 times what died in Charlottesville the last week.
[09:43.000 --> 09:50.000]  But that's just each knife attack each car attack just a blip on the radar don't even call it Islamic.
[09:50.000 --> 09:56.000]  Hell CNN said maybe it's because of Charlottesville we see Islamic attacks maybe they're copying the conservatives.
[09:56.000 --> 10:12.000]  So this is a complete full on bullying operation and I have stacks of articles here documenting it where they actually say that you need to get out on the street and getting people's faces.
[10:12.000 --> 10:22.000]  Blame President Trump for his kept the moral response this is CNN call the neo Nazis and white nationalist thugs fill your Facebook and Twitter accounts with moral outrage.
[10:22.000 --> 10:33.000]  It's not enough CNN says because the average person quote ordinary people elected Trump and they're responsible see oh somebody dies from a gun.
[10:33.000 --> 10:37.000]  It's all gun owners fault.
[10:37.000 --> 10:46.000]  Somebody runs over a young woman in the middle of a melee where the police stand down it is collectively your fault.
[10:46.000 --> 10:59.000]  This is hard core Soviet style policies and we've all got to buck this weather this storm and become stronger through it and realize this is a corporate system of compliance.
[10:59.000 --> 11:09.000]  They say everybody be nice everybody be sweet and business you want everybody's business is how they sell this everybody be friendly.
[11:09.000 --> 11:18.000]  But then the globalist stimulate the pressure groups the astroturf to come in with super radical demands.
[11:18.000 --> 11:30.000]  And then the corporations acquiesce to those demands and then act like it's normal for government and academia and churches to all acquiesce to the demands.
[11:30.000 --> 11:39.000]  And suddenly you're the bad guy if you don't want to teach five year olds and kindergarten how to have anal sex or how to masturbate that's what goes on.
[11:39.000 --> 11:46.000]  Now pedophilia sexualization of children if some guy did that to park to your daughter you'd get up and punch him in the nose.
[11:46.000 --> 11:52.000]  Some lady did that to your son in the park you punch him in the nose you'd call the police they'd go to jail.
[11:52.000 --> 12:06.000]  But as long as it's done around openness and done around not being racist or sexist or as long as it's you're not a homophobe then it's completely normalized.
[12:06.000 --> 12:11.000]  But what's not normal oh the family don't say you have a mother and father.
[12:11.000 --> 12:23.000]  Use a she or he and don't talk about Miller female because someone else might not be that now language itself evil you think oh well this is just craziness they've gone off the reservation their nuts.
[12:23.000 --> 12:27.000]  No they're not it's a scientific plan.
[12:27.000 --> 12:34.000]  This is on info wars dot com right now we're going to go over it more in detail but I'm going to just mention it hysteria.
[12:34.000 --> 12:40.000]  Leftist triggered by ACLU tweeting photo of a white baby.
[12:40.000 --> 12:49.000]  Little white baby boy girl you really can't tell nice blue sky.
[12:49.000 --> 13:00.000]  Talks about the ACLU defends America's values of free speech and they had him back and they say how insulting and insensitive a white person a white supremacist.
[13:00.000 --> 13:09.000]  And they go oh my god you're right we apologize thank you for correcting us and they took it down a white kid with a flag.
[13:09.000 --> 13:11.000]  And keep scrolling down.
[13:11.000 --> 13:17.000]  I'd rather have this future and then it shows a black woman with a gun.
[13:17.000 --> 13:28.000]  But only a black woman with a gun actually thought someone retweeted a white genocide account on to my timeline that's right a little white kid with an American flag is not acceptable.
[13:28.000 --> 13:30.000]  Supporting Nazis.
[13:30.000 --> 13:42.000]  Even tweeting little blonde kids get your bleep together oh yeah supporting Nazis now to say that people have a right to free speech see that's why CNN had reports yesterday saying it's time to end free speech that's right.
[13:42.000 --> 13:46.000]  Nazis yes we must ban Nazis and then free speech.
[13:46.000 --> 13:54.000]  You need help if a picture of a small white child triggers you does it take a lot of energy to offend all the time.
[13:54.000 --> 14:04.000]  The reason there's an issue with this tweet in context the ACLU has recently been criticized for supporting white supremacists that's right for just saying First Amendment First Amendment.
[14:04.000 --> 14:13.000]  What a blonde folk I don't get this silly post the future ACLU wants is a little blonde kid.
[14:13.000 --> 14:34.000]  Your chip on the shoulder minorities taught to be classically tribal classically racist with a bunch of other white allies tweeting thousands of them but the best part is the ACLU said thank you for showing us how to be better you're right what we did was wrong and insensitive.
[14:34.000 --> 14:44.000]  Just like the man named Robert Lee who's Chinese who was going to call a baseball game.
[14:44.000 --> 14:49.000]  For the social engineering network ESPN.
[14:49.000 --> 14:57.000]  And they said sorry you basically can't work here anymore your names Robert Lee.
[14:57.000 --> 15:05.000]  Probably 30 million Chinese with the name Lee sorry folks you're in trouble just like Lynch Hall being banned.
[15:05.000 --> 15:18.000]  Robert Lee ESPN under fire for taking announcer off UVA game and CNN can play the good cop see in the Overton window look they move it way over here to families are bad mothers are bad.
[15:18.000 --> 15:21.000]  Everything's evil that's traditional.
[15:21.000 --> 15:29.000]  White kids are bad but then over here more reasonable oh ESPN you want a little too far he's an Asian man.
[15:29.000 --> 15:37.000]  He should be allowed to have the last name Lee you know let's be reasonable now we understand you're trying to be good but you're under fire for that so.
[15:37.000 --> 15:48.000]  And the whole attention isn't gross domestic product isn't literature isn't math isn't science it's just I saw something called Lynch I saw something called Lee look look.
[15:48.000 --> 15:51.000]  Right here it's a white baby.
[15:51.000 --> 15:58.000]  The insensitivity is the FCC ban profanity.
[15:58.000 --> 16:05.000]  That's why they want to legalize child porn Nambolo wants people to have access to your kids in the UN agrees with it but.
[16:05.000 --> 16:10.000]  A little white kid is obscene.
[16:10.000 --> 16:19.000]  And you know I read this some in Dallas when I was young I had blonde hair it was good looking and blue eyes and.
[16:19.000 --> 16:23.000]  I would have like liberal white people.
[16:23.000 --> 16:27.000]  Say are you a Nazi.
[16:27.000 --> 16:33.000]  I'd be wearing like a Metallica shirt and blue jeans and cowboy boots and I'd say excuse me.
[16:33.000 --> 16:40.000]  I would always think it was like a joke or something I remember being in a record store buying a cassette tape.
[16:40.000 --> 16:44.000]  And I walked over and was buying it from the guy behind the counter was kind of beatnik looking.
[16:44.000 --> 16:47.000]  So I was just an Americana guy.
[16:47.000 --> 16:52.000]  He goes I can't wait till this Nazi technology's been phased out and come out with CDs.
[16:52.000 --> 16:54.000]  What do you think of Nazis.
[16:54.000 --> 17:00.000]  I was like yeah I didn't really even know that Nazis invented tape.
[17:00.000 --> 17:03.000]  I bought tape got invented a lot of places.
[17:03.000 --> 17:06.000]  Just like radio got invented in three different countries at the same time.
[17:06.000 --> 17:07.000]  I was like are you kids.
[17:07.000 --> 17:11.000]  Oh you know a lot about history.
[17:11.000 --> 17:13.000]  And it was just real nasty.
[17:13.000 --> 17:20.000]  And then I learned that's his uniform braided beards you know dreadlocks I didn't care I didn't look down on him.
[17:20.000 --> 17:25.000]  I wasn't a bigot that he was a white guy who hated white people.
[17:25.000 --> 17:32.000]  I was just in there to buy my cassette tape of Van Halen or something.
[17:32.000 --> 17:38.000]  But I learned it like 15 16 something's something's going on.
[17:38.000 --> 17:41.000]  And then I went to college a couple of years and made it matter what class it was.
[17:41.000 --> 17:44.000]  They marched you in and said whites are inherently evil.
[17:44.000 --> 17:49.000]  They'd hold up a picture of a person that looked like somebody from Egypt and they'd say this is going to be the perfect person.
[17:49.000 --> 17:54.000]  We're all just brown and there's no more white people and it was always a white professor saying.
[17:54.000 --> 17:59.000]  I had one math teacher that was a black lady who'd been a liberal and been to Africa.
[17:59.000 --> 18:03.000]  I remember her not doing the propaganda and going you hear a lot of bad stuff about America.
[18:03.000 --> 18:09.000]  But let me tell you I've been to Africa and it's it's bad and what you hear all this liberal stuff on campus isn't quite accurate.
[18:09.000 --> 18:15.000]  There was one lady that wasn't just it matter where it was just hammering us with rainwashing.
[18:15.000 --> 18:20.000]  And I was just like I'm going to go get a sales job and I'm going to go get into media and I'm going to do something about this.
[18:20.000 --> 18:26.000]  I said I'm out of here.
[18:26.000 --> 18:33.000]  But then you read these articles and go over these stories and it's it's right there.
[18:33.000 --> 18:48.000]  I've got articles here where coffee shops flower shops florist you go in and they say we want you to denounce racism or we're going to refuse you service.
[18:48.000 --> 18:51.000]  Well I mean if somebody said that to me I'd say I thought what is this a cult.
[18:51.000 --> 18:57.000]  I'm in here to get grandma or my wife flowers or get flowers for somebody that's been sick at work.
[18:57.000 --> 19:04.000]  I'm not here to bow down to you with some priest class that I've got to kiss your butt kiss your ring.
[19:04.000 --> 19:08.000]  There is a Chicago flower shop refuses to business with bigots daily news.
[19:08.000 --> 19:13.000]  But what they're really doing is making first contact like a police officer or an interrogator.
[19:13.000 --> 19:18.000]  It's like a TSA verbal screening.
[19:18.000 --> 19:26.000]  See oh you won't make a gay couple their cake you get sued the government gets behind that suit.
[19:26.000 --> 19:28.000]  I'm a libertarian I think you should make the cake.
[19:28.000 --> 19:32.000]  But oh we're going to refuse all of you service and we're going to attack you in restaurants.
[19:32.000 --> 19:41.000]  We're going to spit on you on the street and we're going to do it and scream Nazi at you when we're a bunch of thugs acting like Nazis because it's time for us to have power.
[19:41.000 --> 19:45.000]  And this is our revolution and we were supposed to have it with Hillary.
[19:45.000 --> 19:47.000]  And after all the president's mentally ill.
[19:47.000 --> 19:49.000]  We told you that back on May.
[19:49.000 --> 19:50.000]  Roger Stone's coming up.
[19:50.000 --> 19:57.000]  I hope you'll tell you the inside baseball how he learned it because he learned their new talking point would be Alzheimer's and now it's everywhere.
[19:57.000 --> 20:23.000]  Stay with us.
[20:23.000 --> 20:41.000]  Are you one of the 15 million men who suffer from an enlarged prostate if your life revolves around finding the closest bathroom if you're tired of waking up many times the night to urinate then you need to know about prostate miracle prostate
[20:41.000 --> 20:55.000]  miracle contains beta saddle sterile which is 3000 times stronger than salt bow metal to claim your $10 Patriot discount go to prostate miracle dot com and enter promo code Patriot or call 877-965-2140.
[20:55.000 --> 21:00.000]  That's 877-965-2140 fully cooked ready to eat bacon.
[21:00.000 --> 21:05.000]  I'm talking thick meaty center cut presidential bacon savory and delicious.
[21:05.000 --> 21:08.000]  I buy some I use some I store some awesome.
[21:08.000 --> 21:13.000]  No refrigeration needed with a 10 year shelf life NASA pack technology.
[21:13.000 --> 21:28.000]  Bacon fully cooked fully hydrated ready to eat right from the pack bacon or warm and serve life saving ready to eat bacon 10 year shelf life bacon ships free at fully cooked bacon dot com fully cooked bacon dot com.
[21:28.000 --> 21:38.000]  Maybe not today maybe not tomorrow but soon you'll need a plan and place to survive forget bunkers you're not a live underground gopher.
[21:38.000 --> 21:49.000]  You need survivalist camps the ultimate fully functional off the grid mobile survival bug outhouse that's well equipped and custom built to outlast any other RV or trailer bold statement you bet.
[21:49.000 --> 21:57.000]  See him now at survivalist camps dot com that's survivalist camps dot com trust your family survival to survivalist camps dot com.
[21:57.000 --> 22:02.000]  It's been said any society is only three missed meals away from chaos.
[22:02.000 --> 22:04.000]  Those times may be near.
[22:04.000 --> 22:05.000]  Think about it.
[22:05.000 --> 22:09.000]  Our country faces multiple terrorist threats and aggressions from Russia and North Korea.
[22:09.000 --> 22:20.000]  Social unrest and violent marches yet again may lead to looting of stores and city shutdowns and our crumbling infrastructure leaves our power grid vulnerable to long term outages from a single cyber attack.
[22:20.000 --> 22:27.000]  When the chaos from any one of these threats arises the government knows it can't provide during a widespread national emergency.
[22:27.000 --> 22:30.000]  That's why you need your own plan for self reliance.
[22:30.000 --> 22:36.000]  That's where my Patriot supply comes in get a four week survival food supply for only $99.
[22:36.000 --> 22:49.000]  That includes breakfast lunches and dinners order online at prepare with GCN dot com 99 bucks for four weeks of survival food that tastes like homemade cooking and lasts up to 25 years from my Patriot supply.
[22:49.000 --> 22:54.000]  Get your kits today at prepare with GCN dot com free shipping is included.
[22:54.000 --> 22:57.000]  Prepare with GCN dot com.
[22:57.000 --> 22:58.000]  It's a no brainer.
[22:58.000 --> 23:00.000]  A big Berkey water filter is the one you need period.
[23:00.000 --> 23:10.000]  You need a water filter that removes chlorine fluoride pharmaceuticals BPA and other endocrine disruptors pesticides bacteria viruses and much more right and does it all at only two cents per gallon.
[23:10.000 --> 23:18.000]  Get the original most trusted name and gravity water filtration big Berkey and now GCN listeners receive 5% off ceramic filter systems using code GCN.
[23:18.000 --> 23:23.000]  Call or click 1-877-99 Berkey or big Berkey water filters dot com.
[23:23.000 --> 23:26.000]  That's 1-877-99 BERKEY.
[23:26.000 --> 23:32.000]  If you had purchased $100 of Bitcoin in 2010 today you'd have $2,600,000.
[23:32.000 --> 23:39.000]  While that sinks in you now have a huge cryptocurrency opportunity at below market price at a guaranteed 10 cents per coin.
[23:39.000 --> 23:49.000]  A coin publicly traded on the open market easily converted to cash available in 60 countries and pro coin is the only cryptocurrency offering coin back rewards for consumers and merchants.
[23:49.000 --> 23:52.000]  Take action by August 31st at procoincurrency.net.
[23:52.000 --> 23:54.000]  That's procoincurrency.net.
[23:54.000 --> 24:10.000]  The deadline for 10 cent guarantee is August 31st.
[24:24.000 --> 24:44.000]  Even the KKK wouldn't complain about the ACLU tweeting out a little picture of a black child with an American flag.
[24:44.000 --> 24:53.000]  Even the KKK but the main line liberals say you sent out a picture of a white child this is insulting and it's not satire.
[24:53.000 --> 25:02.000]  People asked Atlantic Monthly last week they said your article saying the total eclipse is racist because it mainly hits white areas of the country.
[25:02.000 --> 25:12.000]  Are you joking and they said no we're serious and they said well you look like fools and they go you'll see because they don't look like fools.
[25:12.000 --> 25:31.000]  They are getting a cult of people that literally think that I was talking to Bartender years ago and I even saw something about this in the news that Negro Mandela was talking about changing their name because Negro means black in Spanish and it's dark beer.
[25:31.000 --> 25:42.000]  That's all it means just like you know you go to the store and it says black rum you know dark rum. Something's dark doesn't mean it's against black people. It means it's got a rum I like.
[25:42.000 --> 25:52.000]  But the point is that I've even seen articles where they're like calling porno movies named chocolate this or whatever racist.
[25:52.000 --> 26:02.000]  Well the women it's a nice term chocolate it's saying you're not allowed to have any language period.
[26:02.000 --> 26:04.000]  It's mind control.
[26:04.000 --> 26:08.000]  It's absolute war on communication.
[26:08.000 --> 26:29.000]  And the best example of this is Robert Lee a Asian American and ESPN has worked there it turns out for close to a decade as an announcer for sporting events and they go listen dude we're pulling you because you may be triggering.
[26:29.000 --> 26:37.000]  Wow that sounds like a mental asylum.
[26:37.000 --> 26:47.000]  Oh and the media talks about Stephen Bannon says oh he calls it a war. He calls it a war machine and Alex Jones calls it info wars.
[26:47.000 --> 26:54.000]  They're the ones that are in a war against us with lies. It is an info war. That's what the Pentagon calls it.
[26:54.000 --> 27:01.000]  And we need to wake up and realize they know they're lying. They know you're not racist.
[27:01.000 --> 27:16.000]  They know it's garbage. But they are projecting on to every single person in America this mental illness of having chips on our shoulders so we can all be put into different groups and controlled according to what color we are.
[27:16.000 --> 27:34.000]  Instead of what we actually stand for and do they are overturning 108 degrees the work of Martin Luther King that said judge people by the character of their deeds and what they do not what color they are and isn't that common sense.
[27:34.000 --> 27:49.000]  That I'll hire somebody if they're black, Hispanic, Asian, white. I don't care if they're smart and hard working and got a good sense of humor. In fact I like but I put my ads out to hire more quote minorities but you know what a lot of them tell us in the emails back.
[27:49.000 --> 27:56.000]  They say listen I'm not working for you. You're racist.
[27:56.000 --> 28:10.000]  You see the real racist social engineers just cut them out of their future and they're telling them you can't be part of the Tea Party and low taxes and self defense and prosperity because America is racist because capitalism is racist.
[28:10.000 --> 28:19.000]  Why? Because the globalist social engineers are billionaires and they control trillions and almost to a man.
[28:19.000 --> 28:37.000]  They have ganged up to take control of the economy, dumb the public down, make everybody be race obsessed while they steal the future, steal the technology, steal the money and are tax exempt and then point their finger at what's left of the free market in the middle class and say that's racist repudiated.
[28:37.000 --> 28:45.000]  You don't have any part at 4th of July. You don't have any part in nice cars and swimming pools and good medical care and the right to religion.
[28:45.000 --> 28:53.000]  You don't have any part of that of your Hispanic even though you're going to be 70% of America in about 30 years.
[28:53.000 --> 29:06.000]  You had kids. You thought that was valuable. You thought life was valuable. You went out, you did that and you're hard working on average. You're going to inherit America. You've already got America.
[29:06.000 --> 29:21.000]  They're trying to tell you, no, no, no. Oh, no, no, no, no. You want Venezuela. You want North Korea. You want a socialist failed state. You want what South Africa's turned into.
[29:21.000 --> 29:37.000]  You want that, don't you? And they're telling the black people that and boy, the black folks on average, you bought it and they're more poor and they're more in prison and they're more absolutely on the street and the highest rates of everything.
[29:37.000 --> 29:48.000]  You can imagine illegitimacy all because they signed on the Democrats and overnight were destroyed because it's by design big news coming up. Stay with us.
[29:48.000 --> 29:55.000]  We're on the March. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:18.000 --> 30:30.000]  We're on the launch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[30:30.000 --> 30:40.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[30:40.000 --> 30:52.000]  Info Wars Life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve and experience the power of knockout.
[30:52.000 --> 31:00.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[31:00.000 --> 31:14.000]  You know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor. That's right. Now's the time to build your own food storage with Harvest Rights Freeze Dryers.
[31:14.000 --> 31:28.000]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use. And let me tell you something. It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[31:28.000 --> 31:38.000]  Woo! That's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[31:38.000 --> 31:48.000]  Harvest Rights Freeze Dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[31:48.000 --> 31:59.000]  Now that's what I call the miracle of food preservation. Harvest Rights is truly the world's best, most affordable freeze dryer. So what are you waiting for? Check it out right now at infowarsstore.com.
[32:18.000 --> 32:22.000]  You never know when we will be able to secure an additional supply of the key ingredients.
[32:22.000 --> 32:32.000]  The secret behind DNA Force is its powerful lineup of patented ingredients like OQ10, systematic enzymes, NAR-lipolic acid, BiopQQ and many others.
[32:32.000 --> 32:40.000]  BiopQQ alone is backed by an unprecedented 175 clinical studies and just one batch of this stuff costs us more than $30,000.
[32:40.000 --> 32:51.000]  Visit infowarslife.com and read the reviews for yourself. Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third party certified review agency Power Review.
[32:51.000 --> 33:15.000]  Take advantage of this new limited shipment and get DNA Force today at infowarslife.com before it sells out again. That's infowarslife.com.
[33:15.000 --> 33:31.000]  We have a stack of CNN MSNBC articles, London independent stories, you name it, with the Democrats and the globalists at the Soros crowd have announced their plan for a revolution of in pecking and bullying at point blank range.
[33:31.000 --> 33:42.000]  Remember six months ago, Starbucks said they were going to ask everybody if they were racist or if they were concerned about racism or to donate to Black Lives Matter or to say that they were sorry as a white person?
[33:42.000 --> 33:53.000]  That is reeducation camp level brainwashing. Their stock took a close to 25% drop as people exited and basically ran as far as they could from Starbucks.
[33:53.000 --> 34:05.000]  But they're back now with flower shops and other businesses saying are you a racist? Because if you are, we're not going to serve you if you're white coming in and it's white people doing it.
[34:05.000 --> 34:17.000]  ACLU has issued an apology for tweeting on an image of a white two-year-old talking about America's future. That was triggering, that was racist. They have now apologized.
[34:17.000 --> 34:26.000]  But ladies and gentlemen, I have a way to defeat this. They're not the productive folks in the blue states. That's a scientific fact that's admitted.
[34:26.000 --> 34:43.000]  Geographically, 85% of the country is now Republican. We can take the entire country back. They know they're in crisis, so they're involved in a death row battle to overthrow free speech and have the mouse that roared intimidate the lion.
[34:43.000 --> 34:57.000]  The answer is, why are you buying stuff on Amazon when Bezos is sworn to overthrow the Second Amendment, the First Amendment, owns the Washington Post, lying about Trump, you name it? Why are you giving money to big corporations?
[34:57.000 --> 35:07.000]  Why are you supporting them? It's now time, folks, to brutally cut your cable off and let them know why you did. To brutally not go to the corporate hotels and let them know why.
[35:07.000 --> 35:23.000]  To brutally not go to Starbucks. To brutally stop buying on Amazon. We went off Amazon a few years ago because of this. They run massive scams. It's racketeering. It's organized crime. It is well-known monopoly activity.
[35:23.000 --> 35:33.000]  They're above the law. They get $1.48 every package of taxpayer money. Think about that. And they're killing Main Street. They're even killing the evil Walmart. They're so cancerous.
[35:33.000 --> 35:49.000]  That cancer is now dying because the bigger cancer is getting all the blood. Ladies and gentlemen, this isn't left as stuff we're seeing. This is global corporate intimidation telling their people to go mega aggro and physically attack folks.
[35:49.000 --> 36:05.000]  You've got videos of them beating up their own antifa because they look too white. And it's white people doing it. And they're in a hysteria, a crazed, out-of-control, malice freakout, which they admit in the literature they've been planning.
[36:05.000 --> 36:18.000]  So the answer to all of this is pulling out of it more and more. Pulling out of their schools. Pulling out of their public systems. Not sending your kids to get a worthless degree at these big colleges.
