[00:00.000 --> 00:01.020]  In the conditioning!
[11:48.860 --> 11:50.380]  So here's old man Joe.
[11:50.380 --> 11:51.660]  Nobody gets to be an old man.
[11:51.660 --> 11:53.500]  He's the one always saying he can kick Trump's ass.
[11:53.500 --> 11:58.060]  He slurs his way through first speech as presidential candidate.
[11:58.060 --> 12:02.140]  So this is the sleepy, creepy, weak Joe Biden.
[12:02.140 --> 12:05.180]  This is the best they can muster against Trump.
[12:05.180 --> 12:29.180]  Here it is.
[12:29.180 --> 12:57.980]  And that's why I get all the big Wall Street money and Trump don't.
[12:57.980 --> 12:59.900]  But that thing is stupid like me.
[13:00.460 --> 13:05.900]  I think maybe Hillary takes on kind of an urban accent when she's in front of blacks.
[13:05.900 --> 13:06.940]  So does AOC.
[13:08.060 --> 13:12.060]  So maybe he just thinks that these union workers are mentally retarded.
[13:12.060 --> 13:12.860]  Maybe that's why.
[13:12.860 --> 13:14.780]  I'm not making fun of other people.
[13:14.780 --> 13:16.380]  I'm really worried about Biden.
[13:16.380 --> 13:17.740]  They just have a big stroke.
[13:18.300 --> 13:20.300]  He's up to tell us about Wall Street.
[13:21.420 --> 13:22.460]  Let's go back to him.
[13:23.180 --> 13:26.060]  All my time in public life, I've gotten involved.
[13:26.060 --> 13:32.700]  The country wasn't built by Wall Street bankers, CEOs, and hedge fund managers.
[13:32.700 --> 13:35.180]  If the enterprise is hard times, everybody took a hit.
[13:35.900 --> 13:42.620]  Union workers, the UAW took incredible cuts in their future and their pensions in the left
[13:42.620 --> 13:44.060]  to get GM working.
[13:44.060 --> 13:49.660]  They also got that last year and try to cut wages or freeze wages for their people.
[13:49.660 --> 13:53.020]  Right today, the same is happening in big hospital systems.
[13:53.020 --> 13:58.860]  They've got to rethink how we define what constitutes a successful economy.
[13:58.860 --> 14:02.460]  Folks in America don't think their children have the same standard of living they had.
[14:02.460 --> 14:04.220]  The same standard with them.
[14:04.220 --> 14:05.580]  Take me to be maintained.
[14:05.580 --> 14:07.340]  I got beer for the tiny.
[14:07.340 --> 14:08.140]  Why do they do that?
[14:08.140 --> 14:13.420]  It means investing much more in medical research to conquer devastating diseases like
[14:13.420 --> 14:13.900]  cancer.
[14:13.900 --> 14:15.820]  They're going to kill the baby after they're born.
[14:15.820 --> 14:19.020]  God bless you all and make God protect our troops.
[14:19.020 --> 14:24.220]  God protect our troops?
[14:24.220 --> 14:26.140]  I mean, that's literally not a manipulated video.
[14:26.140 --> 14:28.460]  If you're a radio listener, it's even worse watching.
[14:28.460 --> 14:31.340]  Because he has to put on that tough guy fake talk act all the time.
[14:31.340 --> 14:33.020]  But this guy's a little bit tiring.
[14:37.260 --> 14:38.700]  Porky Pig meets PCP.
[14:40.300 --> 14:44.940]  Oh, by the way, when we come back, we'll also get into all the big, massive reports coming
[14:44.940 --> 14:46.940]  out in the Wall Street Journal and Fox News.
[14:46.940 --> 14:52.700]  Everything you already heard here years ago, that Joe Biden got $3 billion through his
[14:52.700 --> 14:57.580]  sons for the Chinese government directly from the Chai Cops.
[14:57.580 --> 15:04.460]  I mean, arresting Indyta Jash, hauling him up in front of a jury and then giving
[15:06.620 --> 15:08.780]  the penalty you get for traitors.
[15:08.780 --> 15:13.740]  Seriously, if this country is ever going to heal, we need to have due process and it needs
[15:13.740 --> 15:18.540]  to be carried out and then Joe Biden needs to be led to the gallows poll.
[15:19.420 --> 15:21.660]  After conviction, I wish no violence against him.
[15:21.660 --> 15:22.780]  That would turn him into a martyr.
[15:22.780 --> 15:25.740]  I want him like the Nazis at Nuremberg.
[15:25.740 --> 15:30.380]  I want him given a trial and I want him and Hillary and all the rest of, you know what,
[15:30.380 --> 15:31.340]  let me be magnanimous.
[15:31.340 --> 15:31.980]  I don't want that.
[15:31.980 --> 15:33.180]  That'd make him a martyr too.
[15:33.180 --> 15:35.980]  How about a nice prison sentence for you?
[15:36.940 --> 15:39.260]  How about we send him to a Chinese slave work camp?
[15:40.060 --> 15:41.740]  Always running his mouth against America.
[15:41.740 --> 15:44.060]  Hello, I'm Joe Biden.
[15:44.060 --> 15:48.780]  I've been selling America out for a low time and I'm going to keep doing it.
[15:48.780 --> 15:53.740]  When we come back, watch a crowd of race-like, what appear to be mess mouth,
[15:53.740 --> 16:21.740]  uh, bandage, attack a reporter, get their asses kicked.
[16:24.060 --> 16:28.140]  Come trust your family survival to survivalist camps.com.
[16:29.420 --> 16:31.340]  Heart disease is on the rise.
[16:31.340 --> 16:36.060]  Clawed arteries, high blood pressure and high cholesterol levels may not be fully detected
[16:36.060 --> 16:38.300]  by you, but the symptoms are there.
[16:38.300 --> 16:40.940]  Loss of energy, blood sugar, spikes and drops,
[16:40.940 --> 16:45.500]  poor circulation and irregular heartbeat are just a few of these that can alert you that
[16:45.500 --> 16:46.620]  something is wrong.
[16:46.620 --> 16:52.460]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[16:52.460 --> 16:54.300]  My blood pressure has normalized.
[16:54.300 --> 16:56.540]  My diabetes has totally improved.
[16:56.540 --> 16:59.980]  Everyone is telling me now how much healthier I look and I'm telling everyone how much
[16:59.980 --> 17:00.940]  healthier I feel.
[17:00.940 --> 17:03.180]  I recommend heart and body extract to everyone.
[17:03.180 --> 17:08.780]  Anybody over 40 in the North American continent should be using this product as a preventative
[17:08.780 --> 17:11.100]  to keep their cardiovascular system healthy.
[17:11.100 --> 17:16.140]  Order your two-month supply today by calling 866-295-5305.
[17:16.140 --> 17:22.140]  That's 866-295-5305 or order online hbextract.com.
[17:22.140 --> 17:28.460]  Heart and Body Extract 866-295-5305 or hbextract.com.
[17:28.460 --> 17:34.860]  The United States of Empire is a book that claims the United States is the empire of the world.
[17:34.860 --> 17:37.900]  George Washington had warned us against foreign wars.
[17:37.900 --> 17:43.740]  The United States of Empire shows that World Wars I and II left England broken.
[17:43.740 --> 17:47.580]  Its former colony, the U.S., had to save the empire.
[17:47.580 --> 17:48.860]  Was there ever a vote?
[17:48.860 --> 17:50.220]  Who do we fight for?
[17:50.220 --> 17:53.100]  The Deep State began with World War I.
[17:53.100 --> 17:57.980]  The United States of Empire by James Dunn, available at Amazon Books.
[18:02.620 --> 18:07.980]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[18:07.980 --> 18:12.220]  where the Chiapas farmers have spent years perfecting their techniques.
[18:12.220 --> 18:17.260]  Faced of hundreds of years of traditional techniques and perfect conditions,
[18:17.260 --> 18:22.140]  we've sourced only the best to provide you with our immune support and wake up America
[18:22.140 --> 18:23.580]  Patriot Blend coffee.
[18:23.580 --> 18:27.100]  Ancient Mayan knowledge is paired with the natural fertility of the land
[18:27.100 --> 18:29.580]  to generate the world's finest coffee bean.
[18:29.580 --> 18:34.380]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.380 --> 18:38.940]  Patriot Blend coffees have a smooth, bold flavor with great depth
[18:38.940 --> 18:41.020]  to give you just what you need in the morning.
[18:41.020 --> 18:45.260]  You can even choose to start your morning healthier with the Immune Support blend,
[18:45.260 --> 18:49.180]  infused with a powerful blend to support your immune response and stamina.
[18:49.180 --> 18:51.660]  It's time to take care of your morning routine.
[18:51.660 --> 18:54.300]  Get a bag of Patriot Blend coffee to support the show
[18:54.300 --> 19:16.300]  while enhancing your morning routine at infowarstore.com.
[19:24.700 --> 19:28.060]  Life with ease while encouraging hormonal balance.
[19:28.060 --> 19:33.420]  Perfect by itself or with super male vitality in the true alpha male path.
[19:33.420 --> 19:38.140]  Alpha Power can help lose performance, help maintain normal testosterone levels,
[19:38.140 --> 19:40.700]  support healthy cholesterol and more.
[19:40.700 --> 19:44.380]  Let Alpha Power help bring you to the peak of your optimal health.
[19:44.380 --> 19:47.420]  Don't fall short on energy in the fight against tyranny.
[19:47.420 --> 19:51.500]  Show the world what a true alpha male looks like today with Alpha Power.
[19:51.500 --> 19:59.180]  Head to infowarstore.com today.
[19:59.180 --> 20:28.860]  Crashing through the lies and disinformation, it's Alex Jones.
[20:29.180 --> 20:58.860]  I'm an Elemental, my sight is clean, I am perpetual.
[20:58.860 --> 21:10.540]  I'm an Elemental, my sight is clean, I am perpetual.
[21:28.860 --> 21:48.540]  I'm an Elemental, my sight is clean, I am perpetual.
[21:59.820 --> 22:01.340]  FBI report.
[22:01.340 --> 22:08.300]  Antifa activists scheme with drug cartel associates to staged armed rebellion at U.S.
[22:08.300 --> 22:11.020]  border. And what do you think? The trip's being disarmed.
[22:11.020 --> 22:14.780]  And the Mexican government incursions into the U.S. are about.
[22:14.780 --> 22:18.380]  It's all about getting in our face, probing, seeing what we'll put up with.
[22:19.420 --> 22:22.700]  And that ties into all these tweets that Trump has put out about this.
[22:22.700 --> 22:27.740]  The coyotes and drug cartels are in total control of the Mexico side of the southern border.
[22:27.740 --> 22:31.980]  They have labs nearby where they make drugs to sell them into the U.S.
[22:31.980 --> 22:34.380]  Mexico, one of the most dangerous countries in the world.
[22:34.940 --> 22:40.460]  Must eradicate this problem now. Also stop the march to the United States,
[22:40.460 --> 22:43.580]  which just a few months ago the Democrats didn't say even existed.
[22:43.580 --> 22:47.740]  Now they have to admit it and now the Democrats know their own constituents are turning against
[22:47.740 --> 22:52.220]  them over this. So now they're going, okay, there is a border crisis, but Trump created it.
[22:52.220 --> 22:53.580]  Of course you did.
[22:53.580 --> 22:57.340]  If the Democrats don't give us the votes to change our weak,
[22:58.060 --> 23:02.220]  ineffective and dangerous immigration laws, we must fight hard to vote them out,
[23:02.220 --> 23:09.180]  Trump went on to say, in 2020. But all of that now dovetails with this latest footage.
[23:09.180 --> 23:12.620]  In fact, maybe we should put a compilation together of all the times,
[23:12.620 --> 23:17.180]  there's hundreds of these videos, or Antifa walks over and hits a woman in the head of the bike lock
[23:17.180 --> 23:23.980]  and then like 20 dudes just grab her and she just disappears. Like the last episode of Game of
[23:23.980 --> 23:28.060]  Thrones where the zombies climb over the parapet walls and then grab somebody and they just
[23:28.060 --> 23:32.700]  disappear being chewed into pieces. You see that footage at Berkeley of the woman trying to get
[23:32.700 --> 23:37.900]  into here. Milo Yiannopoulos speak and they first hit her and she's bleeding and crying.
[23:37.900 --> 23:42.780]  She holds onto a gate, they grab her and she goes into the dark and they just boil over her and
[23:42.780 --> 23:48.220]  bruises all over, cuts all over, is just men stomper and stomper and glee and other women get
[23:48.220 --> 23:54.700]  in and kick her in the face. The opposite of chivalry, the opposite of honor, treating women
[23:54.700 --> 24:01.260]  like absolute crap, bullies ganging up on people, being anti-free speech. But then there's hundreds
[24:01.260 --> 24:07.900]  of videos of one lone man or maybe two men standing up to 10, 15, 20 of them. Tommy Robinson did it,
[24:07.900 --> 24:11.740]  fought nine of them, knocked five or six down to the ground before they got on top of them and
[24:11.740 --> 24:16.940]  started stomping him. When the police came, Tommy was the bad guy. Even though it was all on footage,
[24:16.940 --> 24:22.860]  he was just trying to leave a McDonald's. Well, now there's new footage and boy, let me tell you,
[24:23.660 --> 24:29.580]  the police reports out, he knocked out four or five more of them after the camera got disconnected.
[24:29.580 --> 24:34.780]  They broke the camera, but he got the tape. The full 18 minutes of video is up on infowars.com.
[24:34.780 --> 24:38.460]  I want to get this journalist on the show. Wish we had the budget, I'd try to hire him.
[24:38.460 --> 24:44.540]  It's up on infowars.com. Journalist defends himself against the Antifa Mob attack. Violent left-wing
[24:44.540 --> 24:49.340]  group stunned by YouTubers' response. Paul Joseph Watson, a journalist, defended himself
[24:49.340 --> 24:55.740]  against a violent Antifa Mob attack during a protest at Huntington Beach on Saturday. The
[24:55.740 --> 25:00.620]  demonstration saw true groups with opposing views on illegal immigration face off against each other.
[25:00.620 --> 25:04.140]  During the rally, a YouTube journalist who goes by the moniker, that's the point,
[25:04.140 --> 25:09.820]  with Brandon, became involved in the confrontation. And you watch the full 18-minute video. This is a
[25:09.820 --> 25:14.540]  short clip. He's just trying to cover the events. He's being nice. They get in his face, start hitting
[25:14.540 --> 25:18.940]  him over and over again, shoving him. The cops come over and say, well, they're not going to let
[25:18.940 --> 25:23.980]  you get on the sidewalk. They own the city now. It's kind of a liberal cop, a leftist cop. But
[25:23.980 --> 25:30.620]  they still attack the journalist. He kicks their ass and the police did arrest five of the ringwraiths.
[25:30.620 --> 25:36.860]  So again, they love to target women. They love to target people in wheelchairs. They are the scum
[25:37.420 --> 25:42.300]  of the earth. And there's more articles out today with professors all over the U.S. calling for
[25:42.300 --> 25:48.620]  physically attacking any Trump supporter that you see in public. So these are terrorist calling
[25:48.620 --> 25:52.860]  for bullying. It's not going to work. We're not cowardly scum like you. It's going to have this
[25:52.860 --> 25:57.260]  response. Radio listeners, I'll try to give you play-by-play, but here it is. Are you guys going
[25:57.260 --> 26:07.660]  skiing? You guys going skiing today? I can ask people questions. Don't put your hand on me.
[26:07.660 --> 26:14.300]  You put your hand on me again. It's going to be a problem. There ain't no problem. Why? They
[26:14.300 --> 26:17.740]  shouldn't be a problem. This is America. I should be able to talk and walk wherever I want, right?
[26:17.740 --> 26:21.660]  Isn't that what you guys stand for? For the freedom and no government and all that bull
[26:21.660 --> 26:28.300]  s***. We're building a wall. We're building a wall. You don't weigh enough, little boy. You're
[26:28.300 --> 26:37.020]  underage, dude. You're underage. Hey, somebody get this child out of my face, please. Hey, don't
[26:37.020 --> 26:52.140]  touch me. Let's go. Let's go. Let's go. Let's go. Let's go. Let's go. Let's go. Let's go. And then
[26:52.140 --> 26:55.660]  the camera, audio gets knocked off and the camera itself gets knocked off. But the police report
[26:55.660 --> 27:01.500]  says they continue to attack him with clubs and he knocked another three people down who all then
[27:01.500 --> 27:05.980]  tried to file charges, but the cops watched the video and arrested them. One appears to be a man,
[27:05.980 --> 27:10.860]  a woman. Well, there, men and women don't exist. I forgot. Whatever Google says today they are,
[27:11.740 --> 27:18.380]  hits him with a club in the head and he knocks the, what appears to be a ghoul out.
[27:19.660 --> 27:25.340]  So it's, it's pretty amazing footage. It's up on info wars.com and these people are literally
[27:25.340 --> 27:30.940]  LARPers, live action role play. And so they don't meet in the park anymore to be each other over
[27:30.940 --> 27:38.540]  the head with rubber swords or foam swords or foam darts. By the way, I'm not not anybody that
