whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:58.000 --> 00:02:02.000]   That way they don't have to stage the events and then get caught.
[00:02:02.000 --> 00:02:08.000]   But they love to make you focus on homeland security as the center of the family,
[00:02:08.000 --> 00:02:14.000]   as the center of the culture, as basically a little baby Jesus in the creche,
[00:02:14.000 --> 00:02:21.000]   there with Mary and Joseph and the three wise men.
[00:02:21.000 --> 00:02:25.000]   Just like at Walmart, when you're checking out there at the market,
[00:02:25.000 --> 00:02:32.000]   they have big droning, well now 9,000 different stores, not just the 800 plus Walmarts are announcing.
[00:02:32.000 --> 00:02:36.000]   And it'll be 20,000 and 50,000 and just everywhere.
[00:02:36.000 --> 00:02:38.000]   Government droning, giving you orders.
[00:02:38.000 --> 00:02:40.000]   It's the boss. It's the master.
[00:02:40.000 --> 00:02:43.000]   They make the sun shine. They make the grass grow.
[00:02:43.000 --> 00:02:48.000]   So they want to make sure during the Christmas holiday that you learn to worship naked body scanners,
[00:02:48.000 --> 00:02:53.000]   you learn to worship black uniforms, you learn to worship threat fusion centers that spy on you,
[00:02:53.000 --> 00:02:59.000]   you learn to worship the foreign banks raping you, or the dangerous scary men with turbines will get you.
[00:02:59.000 --> 00:03:04.000]   And they're hiding under every desk, in every closet, under every bed, in every cupboard, in every attic,
[00:03:04.000 --> 00:03:10.000]   in every basement, in every culvert out in the park that kids are scared of.
[00:03:10.000 --> 00:03:15.000]   There's not trolls now in there. There's Alciatis and they're going to get you.
[00:03:15.000 --> 00:03:22.000]   Got a better chance again of dying from being struck by lightning or when you're swimming or from a bee sting,
[00:03:22.000 --> 00:03:24.000]   but it doesn't matter. It's scary.
[00:03:24.000 --> 00:03:30.000]   It doesn't matter if five to 12, depends on the year, between five and 12 people die from shark attacks.
[00:03:30.000 --> 00:03:33.000]   Everybody's scared when they're swimming in the ocean.
[00:03:33.000 --> 00:03:36.000]   It's the same thing. It's not real. It's not rational.
[00:03:36.000 --> 00:03:40.000]   But oh my gosh, I mean, these men are wearing turbines. This is scary.
[00:03:40.000 --> 00:03:45.000]   We've got to get rid of our free country. We've got to let the banks rob us because they want to help us.
[00:03:45.000 --> 00:03:48.000]   Or Al-Qaeda will get us. I mean, it's that simple.
[00:03:48.000 --> 00:03:53.000]   And here they are, Iraq, Al-Qaeda planning holiday attacks in the West.
[00:03:53.000 --> 00:03:56.000]   That's the headline here out of CBS News.
[00:03:56.000 --> 00:03:59.000]   Be afraid, be very afraid. I know I certainly am.
[00:03:59.000 --> 00:04:03.000]   I'm just glad Goldman Sachs is stealing all the money. That'll save us.
[00:04:03.000 --> 00:04:14.000]   Now, here's a mail online, Christmas chaos, Al-Qaeda is planning suicide attacks across Europe and the U.S., war insurgents.
[00:04:14.000 --> 00:04:21.000]   And don't worry, though, YouTube allows users to flag content as terror promotion.
[00:04:21.000 --> 00:04:25.000]   So now somebody can go say your video is violent or not appropriate.
[00:04:25.000 --> 00:04:31.000]   It could be two adults videotaping themselves playing Candyland or Tiddlywinks.
[00:04:31.000 --> 00:04:34.000]   And if someone says it's frightening to them, it's taken off YouTube.
[00:04:34.000 --> 00:04:42.000]   It's frightening. Well, now, if someone says it's promoting terror, it's gone.
[00:04:42.000 --> 00:04:49.000]   So this is the new communist America, the new Soviet, where your neighbor has said that you are evil.
[00:04:49.000 --> 00:04:52.000]   The East German Stasi will not take you away.
[00:04:52.000 --> 00:04:56.000]   And collective punishment when Al-Qaeda blows something up.
[00:04:56.000 --> 00:05:00.000]   We all have to have the government put their hands down our pants. It's all coming up.
[00:05:00.000 --> 00:05:05.000]   Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:05.000 --> 00:05:09.000]   This is our last chance to not relive history.
[00:05:09.000 --> 00:05:14.000]   As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[00:05:14.000 --> 00:05:20.000]   Tremendous influence on our president and Congress. And they really are calling the shots.
[00:05:20.000 --> 00:05:25.000]   I think it's incumbent upon all of us as American citizens to pay attention.
[00:05:25.000 --> 00:05:35.000]   Fall of the Republic identifies the enemies of our nation, the criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[00:05:35.000 --> 00:05:39.000]   Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[00:05:39.000 --> 00:05:42.000]   And the Congress is saying, who do we make the check out to?
[00:05:42.000 --> 00:05:49.000]   Today seems like nobody does care. And right now in Washington, D.C., we have seen a fall of the Republic.
[00:05:49.000 --> 00:06:00.000]   Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:06:00.000 --> 00:06:06.000]   Hi, folks. This is Alex Jones. I want to tell you about the silver lungs generator.
[00:06:06.000 --> 00:06:15.000]   Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:06:15.000 --> 00:06:19.000]   The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:06:19.000 --> 00:06:31.000]   The silver lungs generator infuses the respiratory system with your self-produced nano silver solutions and also delivers the silver nano particles instantly into the bloodstream.
[00:06:31.000 --> 00:06:40.000]   With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the silver lungs generator.
[00:06:40.000 --> 00:06:46.000]   Very easy to follow step by step instructions are provided, making production fast and simple.
[00:06:46.000 --> 00:06:53.000]   Go to www.silverlungs.com today and learn more about the breakthrough technology of the silver lungs generator.
[00:06:53.000 --> 00:06:56.000]   That's www.silverlungs.com.
[00:06:56.000 --> 00:07:08.000]   A very wealthy U.S. citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:07:08.000 --> 00:07:10.000]   He says it will change everything about our lives.
[00:07:10.000 --> 00:07:16.000]   The way you shop, travel, invest, educate your children and even how you take care of your health and your own family.
[00:07:16.000 --> 00:07:19.000]   Now this man has made some outrageous predictions over the years.
[00:07:19.000 --> 00:07:21.000]   The crazy part is he's usually right.
[00:07:21.000 --> 00:07:27.000]   You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac and America's biggest mall owner, General Growth Properties.
[00:07:27.000 --> 00:07:31.000]   In fact, Barron's called his work a dire prophecy.
[00:07:31.000 --> 00:07:37.000]   Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet.
[00:07:37.000 --> 00:07:38.000]   And it's a real eye opener.
[00:07:38.000 --> 00:07:40.000]   I can't stress this enough.
[00:07:40.000 --> 00:07:42.000]   You should at least watch this free video online today.
[00:07:42.000 --> 00:07:47.000]   He explains everything you need to know, including simple steps you can take to protect yourself.
[00:07:47.000 --> 00:07:51.000]   You can find the video at www.endofamerica3.com.
[00:07:51.000 --> 00:07:54.000]   That's end of America, the number three dot com.
[00:07:54.000 --> 00:07:58.000]   Watch the free video at www.endofamerica3.com.
[00:07:58.000 --> 00:08:00.000]   That's endofamerica3.com.
[00:08:00.000 --> 00:08:04.000]   He's the T-Rex of political talk.
[00:08:04.000 --> 00:08:07.000]   Alex Jones on the GCN Radio Network.
[00:08:07.000 --> 00:08:28.000]   Ladies and gentlemen, we're going to have wide open phones today.
[00:08:28.000 --> 00:08:49.000]   And then in the last 30 minutes of the third hour, we're going to have a guest on from a local activist group that has gone to the city council, gone to the different boards, and got the council subgroups to vote and say that Austin doesn't want naked body scanners in the airport.
[00:08:49.000 --> 00:08:51.000]   And that's a tag.
[00:08:51.000 --> 00:08:53.000]   Texas for Accountable Government doing a great job.
[00:08:53.000 --> 00:09:00.000]   But the larger issue here is we have this happening in Florida, Colorado, and a whole bunch of other states.
[00:09:00.000 --> 00:09:13.000]   Major towns and cities have had their district attorneys, their county attorneys come out and say, "If you stick your hands down people's pants, you're going to go to prison."
[00:09:13.000 --> 00:09:16.000]   Hands down the pants is a felony, and they do do that.
[00:09:16.000 --> 00:09:20.000]   Hands through the pants squeezing, that is a misdemeanor.
[00:09:20.000 --> 00:09:24.000]   And we've had some of those county and city attorneys on.
[00:09:24.000 --> 00:09:27.000]   And here's the big news.
[00:09:27.000 --> 00:09:29.000]   And I'm going to cover this again coming up in the third hour.
[00:09:29.000 --> 00:09:39.000]   The big news here is that Aaron Dykes and Rob Dew flew back from interviewing Charlotte Iserby.
[00:09:39.000 --> 00:09:43.000]   And by the way, she showed them secret skull and bones books of her father and grandfather.
[00:09:43.000 --> 00:09:46.000]   This is the stuff Anthony Sutton used, his secret source.
[00:09:46.000 --> 00:09:50.000]   They actually went up there and got to get a look at it and videotape it.
[00:09:50.000 --> 00:09:54.000]   And that's going to be up on PrisonPlanet.tv first of the year with a special report.
[00:09:54.000 --> 00:09:56.000]   It will probably be two hours long.
[00:09:56.000 --> 00:10:00.000]   Oh, yeah, Charlotte Iserby just wasn't the head of policy, Department of Education.
[00:10:00.000 --> 00:10:04.000]   She's the person that blew skull and bones wide open more than 20 years ago.
[00:10:04.000 --> 00:10:11.000]   But continuing with this information, I'm already digressing.
[00:10:11.000 --> 00:10:18.000]   They flew back through Boston Logan, which has always been the test airport, the most draconian.
[00:10:18.000 --> 00:10:21.000]   I mean they had naked body scanners in there years ago.
[00:10:21.000 --> 00:10:26.000]   They had passive MRI brain scanners that I saw eight years ago being tested.
[00:10:26.000 --> 00:10:28.000]   It's the main beta testing center.
[00:10:28.000 --> 00:10:32.000]   Other airports are to a certain extent like LAX, JFK and others.
[00:10:32.000 --> 00:10:37.000]   But this is the one where they really, really have been putting the screws in since day one.
[00:10:37.000 --> 00:10:39.000]   And Aaron and them flew through.
[00:10:39.000 --> 00:10:41.000]   They weren't using the body scanners.
[00:10:41.000 --> 00:10:44.000]   This was just on Wednesday they flew back.
[00:10:44.000 --> 00:10:49.000]   They interviewed her on Monday, but they flew back Tuesday.
[00:10:49.000 --> 00:10:55.000]   The point is they just flew back earlier this week, and they were not doing pat-downs.
[00:10:55.000 --> 00:10:57.000]   They were not using body scanners.
[00:10:57.000 --> 00:11:01.000]   And we're getting more and more reports that they're not using them at most airports,
[00:11:01.000 --> 00:11:03.000]   and they're not sticking hands down pants.
[00:11:03.000 --> 00:11:06.000]   They're not ripping colostomy bags off the sides of people.
[00:11:06.000 --> 00:11:12.000]   They're not making women take out their artificial breast if they've lost their breast through mastectomies from breast cancer
[00:11:12.000 --> 00:11:14.000]   or other injuries or problems.
[00:11:14.000 --> 00:11:20.000]   They've really backed off because, A, they know that this is causing a general revolt,
[00:11:20.000 --> 00:11:26.000]   but, B, and probably more important, all over the country, city councils, state legislatures,
[00:11:26.000 --> 00:11:32.000]   county attorneys, city attorneys, state police are saying, "We're going to arrest you.
[00:11:32.000 --> 00:11:33.000]   You're not above the law.
[00:11:33.000 --> 00:11:38.000]   A sworn peace officer can't stick their hands down somebody's pants unless it's an emergency
[00:11:38.000 --> 00:11:44.000]   or unless it is a warrant situation."
[00:11:44.000 --> 00:11:49.000]   And they go on and say, "Don't give us this garbage that you've bought your ticket so you've agreed.
[00:11:49.000 --> 00:11:54.000]   You can't buy a ticket and go to a topless bar and have one of the topless dancers stick their hand down your pants
[00:11:54.000 --> 00:11:56.000]   just because it's consensual.
[00:11:56.000 --> 00:11:58.000]   What you're doing is illegal.
[00:11:58.000 --> 00:12:01.000]   Don't do it anymore.
[00:12:01.000 --> 00:12:07.000]   You can't treat everyone as if they're guilty until proven innocent to keep you safe from the boogeyman.
[00:12:07.000 --> 00:12:13.000]   You can't kill a free society and destroy everyone's rights in the name of safety.
[00:12:13.000 --> 00:12:14.000]   It doesn't work.
[00:12:14.000 --> 00:12:16.000]   It's a fraud, and it won't keep you safe.
[00:12:16.000 --> 00:12:23.000]   As Benjamin Franklin said, "Those that will give up liberty for so-called security will get none of it."
[00:12:23.000 --> 00:12:24.000]   In fact, there are several variants of the quote.
[00:12:24.000 --> 00:12:30.000]   He said, "Those that give up liberty for security will get neither."
[00:12:30.000 --> 00:12:32.000]   Liberty or security.
[00:12:32.000 --> 00:12:35.000]   And then he had a longer quote where he said, "And they don't deserve it."
[00:12:35.000 --> 00:12:38.000]   But you can pull up those famous quotes if you'd like to see them in their full context.
[00:12:38.000 --> 00:12:44.000]   But that's common sense that we're dealing with here.
[00:12:44.000 --> 00:12:47.000]   And so it's very exciting to see this happening.
[00:12:47.000 --> 00:12:53.000]   Ahead of having our guest on, I want to play the local news piece to analyze it and critique it
[00:12:53.000 --> 00:13:06.000]   because the local news shows the city regulation board that did vote 5-0 against the naked body scanners.
[00:13:06.000 --> 00:13:12.000]   But then the news says, "Well, that's only ceremonial because the TSA makes the final decision."
[00:13:12.000 --> 00:13:25.000]   The TSA put into place after 9/11, the TSA gropers that were put into place by the transportation arm of Homeland Security.
[00:13:25.000 --> 00:13:31.000]   That agency was previously there, but they started the basic airport takeover at that point.
[00:13:31.000 --> 00:13:32.000]   That's all voluntary.
[00:13:32.000 --> 00:13:35.000]   The airports don't have to have them there.
[00:13:35.000 --> 00:13:41.000]   And it's the city of Austin that paid for the bonds for that stinking international airport.
[00:13:41.000 --> 00:13:42.000]   I paid for it.
[00:13:42.000 --> 00:13:46.000]   And so we elect our city council.
[00:13:46.000 --> 00:13:48.000]   And this is our town.
[00:13:48.000 --> 00:13:50.000]   This is not run by the feds.
[00:13:50.000 --> 00:13:55.000]   See, this is a 10th Amendment issue that goes right down to the city, the county, the state.
[00:13:55.000 --> 00:14:03.000]   I mean, the federal government is now saying they want to have TSA, and they're beta testing it on every major highway,
[00:14:03.000 --> 00:14:07.000]   on street corners, at bus stations, at train stations, at malls.
[00:14:07.000 --> 00:14:14.000]   They're already putting TSA-controlled announcements through Homeland Security in -- first it was 800-plus Walmarts.
[00:14:14.000 --> 00:14:17.000]   Now it's 9,000 retail centers.
[00:14:17.000 --> 00:14:24.000]   In the space of two weeks, it's gone from 800-plus to 9,000-plus in Homeland Security press releases.
[00:14:24.000 --> 00:14:27.000]   Just telescreens everywhere saying, "Watch your neighbor."
[00:14:27.000 --> 00:14:29.000]   This isn't freedom.
[00:14:29.000 --> 00:14:30.000]   Okay?
[00:14:30.000 --> 00:14:32.000]   I mean, it's just common sense.
[00:14:32.000 --> 00:14:33.000]   I know you know that.
[00:14:33.000 --> 00:14:42.000]   But the exciting news is all over the country, from Austin, Texas, to Orlando, Florida, people are saying no.
[00:14:42.000 --> 00:14:46.000]   And I was watching this YouTube video.
[00:14:46.000 --> 00:14:48.000]   It's up on the Alex Jones channel on YouTube.
[00:14:48.000 --> 00:14:57.000]   Paul Watson's written an article about it, but he actually posted on the local news station's video of the report.
[00:14:57.000 --> 00:15:02.000]   Austin joins rebellion against naked body scanners.
[00:15:02.000 --> 00:15:08.000]   And KXAN News Report, you can get all the details there.
[00:15:08.000 --> 00:15:12.000]   But the point is we can take back our cities.
[00:15:12.000 --> 00:15:17.000]   We can say no to sodium fluoride being added along with radium and uranium.
[00:15:17.000 --> 00:15:18.000]   Oh, that's added too.
[00:15:18.000 --> 00:15:19.000]   You didn't know that?
[00:15:19.000 --> 00:15:24.000]   That's now confirmed and admitted, along with lead and mercury and arsenic.
[00:15:24.000 --> 00:15:33.000]   Oh, yes, that's the toxic waste that comes out of the aluminum purification and smelting.
[00:15:33.000 --> 00:15:35.000]   It's the byproduct.
[00:15:35.000 --> 00:15:53.000]   Also, the power plant scrubbers where they basically shoot a stream of water up in the smokestacks across the furnace release valve where all that coal smoke filled with mercury and lead and arsenic and uranium and plutonium.
[00:15:53.000 --> 00:15:57.000]   Because that's where they mine it is out of coal deposits and limestone deposits.
[00:15:57.000 --> 00:15:59.000]   So it's in there naturally.
[00:15:59.000 --> 00:16:03.000]   And so it purifies out in this water or condenses out.
[00:16:03.000 --> 00:16:07.000]   And then they sell that as something good for your teeth.
[00:16:07.000 --> 00:16:09.000]   They call it fluoride.
[00:16:09.000 --> 00:16:10.000]   What a beautiful system.
[00:16:10.000 --> 00:16:14.000]   But I'm, again, already digressing here today.
[00:16:14.000 --> 00:16:17.000]   We can say no to all of this.
[00:16:17.000 --> 00:16:23.000]   And city councils will laugh at first when you go up and say, here's CBS News out of Houston.
[00:16:23.000 --> 00:16:27.000]   They say they don't know why there's uranium and radium in the drinking water all over Texas.
[00:16:27.000 --> 00:16:31.000]   But it's confirmed that the state covered it up for decades with the feds.
[00:16:31.000 --> 00:16:33.000]   Here's the CBS News article.
[00:16:33.000 --> 00:16:44.000]   Now let me read to you, and then they can read from the public documents and admissions of what the, quote, EPA allows to be put in your water, the over 300 chemicals.
[00:16:44.000 --> 00:16:47.000]   Again, it depends what company they're buying it from.
[00:16:47.000 --> 00:16:50.000]   It's always over 150 or so, sometimes over 300.
[00:16:50.000 --> 00:16:51.000]   But it's over 300 allowed.
[00:16:51.000 --> 00:16:54.000]   And you can just read that, as we've done many times on air, to the city council.
[00:16:54.000 --> 00:17:03.000]   Give them exhibits and say you're on notice that poison is being put in the water, uranium, radium, lead, arsenic, mercury, sodium fluoride.
[00:17:03.000 --> 00:17:08.000]   You can laugh and say fluoride's good for you because you've been brainwashed that it is.
[00:17:08.000 --> 00:17:10.000]   But all these other things are admittedly poisonous and bad.
[00:17:10.000 --> 00:17:11.000]   You're on notice.
[00:17:11.000 --> 00:17:17.000]   I'm going to sue the city in one month if you don't read these documents and if you don't do a review and respond.
[00:17:17.000 --> 00:17:28.000]   And then they respond in a month and say, okay, there is no uranium in the water, which we know is a lie, or we believe mercury is good for you, or we believe arsenic is good for you.
[00:17:28.000 --> 00:17:29.000]   Then you have them in court.
[00:17:29.000 --> 00:17:32.000]   I mean, look, I can't do all this, but I'm giving you the battle plan.
[00:17:32.000 --> 00:17:44.000]   For 15 years I've screamed and yelled about suing over them taking your baby's blood at birth and giving it to the Pentagon for a secret bioweapons/Rockefeller Foundation genetic engineering program.
[00:17:44.000 --> 00:17:49.000]   Finally, my listeners in Minnesota, in Austin, Texas as well, sued.
[00:17:49.000 --> 00:17:50.000]   They've won.
[00:17:50.000 --> 00:17:51.000]   It's proven it all.
[00:17:51.000 --> 00:17:53.000]   Now there's more suits.
[00:17:53.000 --> 00:17:55.000]   See, I can't do it all.
[00:17:55.000 --> 00:17:58.000]   I'm here telling you what's going on, laying it out.
[00:17:58.000 --> 00:18:00.000]   Okay, I'm telling you the truth.
[00:18:00.000 --> 00:18:09.000]   I know if you're a new listener and it sounds crazy that the government's putting uranium and radium and lead and arsenic and everything else you can imagine in the water and you can't believe it.
[00:18:09.000 --> 00:18:22.000]   If you'll just go and get a tour of your water treatment facility, 71% of cities and municipalities have it, and you get a full list and are allowed to get a sheet of what is on the bag, it will tell you.
[00:18:22.000 --> 00:18:24.000]   Okay?
[00:18:24.000 --> 00:18:25.000]   Real simple.
[00:18:25.000 --> 00:18:35.000]   Just like I told you last year, do not believe me that the H1N1 shot can give you Guillain-Barre, narcolepsy, or epilepsy.
[00:18:35.000 --> 00:18:38.000]   Do not believe me that it can cause brain damage or cancer, infertility.
[00:18:38.000 --> 00:18:40.000]   Read the insert.
[00:18:40.000 --> 00:18:42.000]   Read the insert.
[00:18:42.000 --> 00:18:44.000]   Read the insert.
[00:18:44.000 --> 00:18:46.000]   Read the insert.
[00:18:46.000 --> 00:18:48.000]   It's not a conspiracy theory.
[00:18:48.000 --> 00:18:54.000]   Don't read the fake fact sheets they send home with your kids from school about it's totally safe, no problems.
[00:18:54.000 --> 00:18:57.000]   Do you agree for them to have the shot?
[00:18:57.000 --> 00:19:01.000]   That's a lie, a criminal lie playing on our ignorance.
[00:19:01.000 --> 00:19:03.000]   Not their fake fact sheet.
[00:19:03.000 --> 00:19:11.000]   Go to Walgreens and ask them for the drug insert that came in the ampule of the shot itself.
[00:19:11.000 --> 00:19:16.000]   The actual drug sheet, not a fake fact sheet.
[00:19:16.000 --> 00:19:18.000]   Not a baloney sheet.
[00:19:18.000 --> 00:19:20.000]   Same thing on what's in your water.
[00:19:20.000 --> 00:19:28.000]   Let me say it again to all the yuppies that are in a daze and under mind control and have a psychological trigger compulsion to laugh when they hear something serious.
[00:19:28.000 --> 00:19:31.000]   There is poison in your water.
[00:19:31.000 --> 00:19:34.000]   There is poison in your water.
[00:19:34.000 --> 00:19:48.000]   The naked body scanners, literally hundreds of top scientists, radiologists, on record, LA Times, New York Times, on and on and on, Associated Press, admitting massive cancer risk from the body scanners.
[00:19:48.000 --> 00:19:50.000]   Do not say you weren't warned.
[00:19:50.000 --> 00:19:55.000]   Quite frankly, the naked body scanners from my research are nothing compared to what you're drinking in the drinking water.
[00:19:55.000 --> 00:19:58.000]   You want to know why everybody's so unhealthy no matter how much they work out or eat right?
[00:19:58.000 --> 00:20:00.000]   The water's a chemical weapon.
[00:20:00.000 --> 00:20:04.000]   In a coming apart world, you need something to keep it tied together.
[00:20:04.000 --> 00:20:08.000]   That something is Atwood Rope, the highest quality rope made in the USA.
[00:20:08.000 --> 00:20:14.000]   From exotic braids for military, rescue, arborists, shipyards, tow line or boating.
[00:20:14.000 --> 00:20:18.000]   Quality rope at affordable prices you and your customers can depend on.
[00:20:18.000 --> 00:20:22.000]   Find a dealer or shop online at atwoodrope.net.
[00:20:22.000 --> 00:20:27.000]   Enter promo code radio to receive 100 feet of 550 paracord free with purchase.
[00:20:27.000 --> 00:20:30.000]   Atwood Rope, working to keep the world tied together.
[00:20:30.000 --> 00:20:32.000]   Hi, this is Ted Anderson.
[00:20:32.000 --> 00:20:36.000]   Have you ever wondered why banks, stock brokers, investment advisors won't talk about gold IRAs?
[00:20:36.000 --> 00:20:42.000]   They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:20:42.000 --> 00:20:46.000]   Gold has outperformed paper investments yet no word about IRAs.
[00:20:46.000 --> 00:20:50.000]   If you would like to have gold for your retirement, call 800-686-2237.
[00:20:50.000 --> 00:20:56.000]   Don't get left behind by rising inflation and low returns, call 800-686-2237.
[00:20:56.000 --> 00:21:00.000]   Secure your future and call 1-800-686-2237.
[00:21:00.000 --> 00:21:08.000]   A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:21:08.000 --> 00:21:11.000]   He says it will change everything about our lives.
[00:21:11.000 --> 00:21:16.000]   The way you shop, travel, invest, educate your children and even how you take care of your health and your own family.
[00:21:16.000 --> 00:21:19.000]   Now this man has made some outrageous predictions over the years.
[00:21:19.000 --> 00:21:22.000]   The crazy part is, he's usually right.
[00:21:22.000 --> 00:21:28.000]   You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac and America's biggest mall owner, General Growth Properties.
[00:21:28.000 --> 00:21:31.000]   In fact, Barron's called his work a dire prophecy.
[00:21:31.000 --> 00:21:37.000]   Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet.
[00:21:37.000 --> 00:21:39.000]   And it's a real eye-opener.
[00:21:39.000 --> 00:21:43.000]   I can't stress this enough. You should at least watch this free video online today.
[00:21:43.000 --> 00:21:47.000]   He explains everything you need to know, including simple steps you can take to protect yourself.
[00:21:47.000 --> 00:21:52.000]   You can find the video at www.endofamerica3.com.
[00:21:52.000 --> 00:21:54.000]   That's end of America, the number 3.com.
[00:21:54.000 --> 00:21:58.000]   Watch the free video at www.endofamerica3.com.
[00:21:58.000 --> 00:22:00.000]   That's endofamerica3.com.
[00:22:00.000 --> 00:22:02.000]   Good day, Jim Newcomer from Midas Resources.
[00:22:02.000 --> 00:22:04.000]   December 16th, 2010.
[00:22:04.000 --> 00:22:06.000]   Gold opened this morning at $1381.30.
[00:22:06.000 --> 00:22:14.000]   One ounce gold coin can be purchased for $1417.09, $708.54 for a half ounce, or $354.27 for a quarter ounce.
[00:22:14.000 --> 00:22:19.000]   That's $1417.09, $708.54, or $354.27.
[00:22:19.000 --> 00:22:24.000]   Again, the Congressional Budget Office sounds the alarm, warning of Greek-style U.S. debt crises.
[00:22:24.000 --> 00:22:29.000]   CBO is drawing a parallel between U.S. economy and the Greek economic meltdown.
[00:22:29.000 --> 00:22:34.000]   Debt to GDP climbing to unfamiliar territory and deficits rising to unsupportable levels.
[00:22:34.000 --> 00:22:41.000]   Hi, Ted Anderson, the Federal Debt and Risk of Financial Crises document the CBO has published is a must-read for every American.
[00:22:41.000 --> 00:22:47.000]   Covering the risks of deficit spending, aging population, and rising interest rates spells economic disaster.
[00:22:47.000 --> 00:22:52.000]   Call today at 800-686-2237. I'll send it free.
[00:22:52.000 --> 00:22:55.000]   Again, call 800-686-2237.
[00:22:55.000 --> 00:22:59.000]   Ask for the CBO document. Call 800-686-2237.
[00:22:59.000 --> 00:23:05.000]   Did you know that you can be tracked and traced when you're online? With identity theft and cyber crimes on the rise,
[00:23:05.000 --> 00:23:11.000]   your passwords, your identity, and even your physical location can be revealed to complete strangers.
[00:23:11.000 --> 00:23:15.000]   Would you like to surf the Internet anonymously and not have to worry about these threats?
