[00:00.000 --> 00:05.120]  From the front lines of the information war, it's Alex Jones
[03:26.200 --> 03:30.920]  Yeah, there's the article with the video Bill O'Reilly smears Alex Jones and hate speech rent
[03:32.560 --> 03:37.400]  He goes, yeah, there's all these sex crimes going on the internet. They just cut to me screaming about the police
[03:38.400 --> 03:40.400]  Had nothing to do
[03:40.400 --> 03:44.920]  With women and I've never been charged with anything never been a I mean, it's just insane
[03:46.640 --> 03:48.640]  Only thing works is
[03:48.640 --> 03:55.200]  Only thing worse is MSNBC saying I influenced the Boston bombers with no proof and then I want cops dead
[03:57.320 --> 03:59.720]  And I don't mean to make the show about me
[03:59.720 --> 04:01.720]  It's just that if they can do this to me
[04:02.120 --> 04:07.280]  Or if they can blame the next Oklahoma City on, you know, who or Rush Limbaugh, we all fall
[04:09.360 --> 04:14.640]  If they can take down a drugs report like the White House has been caught saying they want to the media matters
[04:14.640 --> 04:16.680]  So they just gave a big award the White House did this week
[04:16.680 --> 04:23.960]  They can get me and you know who else they can get they can get your free speech because you take anybody's rights away
[04:24.640 --> 04:28.640]  They can take everybody's rights away when they try to bring down big organizations
[04:29.080 --> 04:33.880]  Let's try to bring down people that have tens of millions of listeners. You better believe that's an attack on your rights
[04:34.000 --> 04:40.880]  Not just the person under attack. All right, we've got the cops executed in New York in Brooklyn. We're gonna break that down
[04:40.880 --> 04:47.960]  We've got Team America also being removed from theaters like the Alamo draft house here in Austin and Dallas
[04:48.240 --> 04:50.240]  not just the
[04:51.040 --> 04:53.800]  New movie about Kim Jong-un the interview
[04:54.520 --> 04:56.640]  It's a big broadcast stay with us
[04:58.200 --> 05:00.200]  For all of recorded history
[05:01.040 --> 05:06.600]  Civilizations around the world praised the health benefits of silver at info wars life
[05:06.600 --> 05:11.320]  Our mission is to bring you the highest quality purest cleanest effective
[05:11.320 --> 05:14.840]  Colloidal silver on the market today for the lowest price available
[05:14.960 --> 05:20.960]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America
[05:21.200 --> 05:28.240]  When it comes to you and your family's health info wars life comm is very excited to announce our biggest run yet of
[05:28.360 --> 05:30.360]  Silver bullet colloidal silver
[05:30.360 --> 05:37.360]  Exclusively available at info wars life comm now info wars life comm has taken colloidal silver the next level using a cutting-edge
[05:37.680 --> 05:41.000]  Technique that is free of toxic artificial additives now more than ever
[05:41.000 --> 05:49.240]  It's important to stock up on high-quality silver bullet from info wars life comm and to help others during Christmas by teaching them about the powerful
[05:49.240 --> 06:01.080]  Benefits of silver secure your silver bullet today at info wars life comm or by calling toll-free 888-253-3139
[06:05.000 --> 06:06.760]  Aborted babies in
[06:06.760 --> 06:09.240]  generated to eat UK hospitals
[06:10.360 --> 06:18.000]  Silent green ladies and gentlemen is made out of people but now children are literally being passed through the furnace in
[06:18.000 --> 06:19.920]  order to fuel
[06:19.920 --> 06:25.520]  Hospitals in the UK. They're being sacrificed on the altar of efficiency and prosperity
[06:30.240 --> 06:37.120]  The powdered flesh from dead babies some people believe they can cure disease because of its enormous popularity
[06:37.960 --> 06:39.960]  Soil and green is in short supply
[06:40.480 --> 06:46.600]  Remember Tuesday is soil and green day the supply of soil and green has been exhausted
[06:46.600 --> 06:48.600]  You must evacuate the area
[06:51.960 --> 06:53.240]  That the
[06:53.240 --> 06:58.320]  Careholders of PepsiCo big builder bird group company are not allowed to know
[06:59.520 --> 07:03.000]  What they're using the baby parts for for in the flavoring, but we already know
[07:03.400 --> 07:07.040]  So enjoy the flavor. We're gonna get the real solution
[07:07.040 --> 07:13.320]  Which is going to be a combination of death panels and and sales taxes. I'm consistently pro-death. I'm for assisted suicide
[07:13.320 --> 07:19.920]  I'm for regulars. No, I'm for whatever gets the freeway moving is spending a million dollars on that last three months of life
[07:19.920 --> 07:25.520]  For that patient would it be better not to lay off the those ten teachers and
[07:26.120 --> 07:30.040]  To make that trade-off and medical costs, but that's called the death panel
[07:30.560 --> 07:35.560]  And you're not supposed to have that discussion. They told me to say that they were sorry
[07:35.560 --> 07:42.560]  But that you had become unreliable
[07:46.560 --> 07:52.080]  Is this the kind of society that you want to live in any kind of society that would do this to its children
[07:52.160 --> 07:56.320]  Will do it to its senior citizens. It will do it to its dissidents
[07:56.720 --> 08:03.680]  That kind of society will also eventually turn on its police on its army on its prison guards on the quiz lings and the
[08:03.680 --> 08:08.840]  Collaborators who make that possible. This is nothing, but a suicide cult
[08:08.840 --> 08:25.840]  The scoops are on their way. The scoops are on their way. I repeat the scoops are on their way. You will find out why soylent green means life. You will find out why soylent green means death. We're going to stop them.
[08:25.840 --> 08:40.840]  The next thing they'll be breeding is like cattle for food. You're going to tell them.
[08:43.840 --> 08:47.840]  And that is basically a boil down of
[08:48.840 --> 08:53.840]  Fiction soylent green that came out in the early 70s with Charlton Heston an excellent sci-fi film
[08:53.840 --> 09:01.840]  Integrated in with the current policies the anti-human policies that are being promoted
[09:02.840 --> 09:13.840]  I am your host Alex Jones. We're live. It is Sunday the 21st day of December 2014
[09:13.840 --> 09:25.840]  And I didn't tell the crew this but why don't we dig up some of the classical Beethoven or Mozart Christmas cannons
[09:26.840 --> 09:35.840]  And have a bit of that today into the spirit especially because it's so politically incorrect in such a free country all over the United States
[09:35.840 --> 09:43.840]  I have a stack of articles we'll be hitting in the second hour colleges high schools elementary schools are saying don't hand out Christmas cards
[09:44.840 --> 09:52.840]  Don't say Merry Christmas and whatever you do don't say Jesus Christ. Let me explain something on a college or a public school you can read the Bible at lunch
[09:53.840 --> 10:02.840]  You can give anybody Christmas cards you want as long as they're not obscene you could give them cards that weren't Christmas cards you could give them copies of the Bill of Rights
[10:02.840 --> 10:11.840]  It's your free association and Christmas trees are being banned in cities all over the country. I'm sick of it
[10:12.840 --> 10:22.840]  Plus a Christmas tree is not even really a Christian symbol they've dug up Christmas trees and 20,000 year old caves in Germany and France
[10:22.840 --> 10:35.840]  They hauled the trees in for the winter equinox which is today and they put evergreens which they thought were magic because they lived during the cold weather when the other trees lost their leaves
[10:36.840 --> 10:44.840]  And they would decorate them with ornaments and worship them many cultures worship trees it's in the Bible
[10:44.840 --> 10:52.840]  You know saying people that go out in the groves and worship the trees look out for them but the point is that I love Christmas trees
[10:53.840 --> 11:02.840]  Now it's a Christian symbol expropriated I'm not getting into that it's just that the pagans and people are always at the vanguard
[11:03.840 --> 11:10.840]  The Wiccans every time I turn around are filing lawsuits and stuff saying get rid of Christmas trees listen dummies
[11:10.840 --> 11:13.840]  The Christmas tree is your symbol
[11:16.840 --> 11:24.840]  I mean it's just over the top how ignorant people are but it doesn't matter it's part of western culture in the Netherlands
[11:25.840 --> 11:35.840]  They're trying to ban the black Peters which for over 800 years they've had before transatlantic slavery before one black slavery
[11:35.840 --> 11:43.840]  But people never even seen an African it was mythical that Santa Claus had black elves and white elves it was neat
[11:44.840 --> 11:50.840]  Nothing to do with putting black people down they're trying to ban the black Peters what it's called
[11:52.840 --> 11:58.840]  It's just getting ridiculous ladies and gentlemen
[11:58.840 --> 12:12.840]  Absolutely ridiculous to where remember last year the city of Seattle put out a release to all their agencies police you name it saying do not have brown bag days
[12:13.840 --> 12:25.840]  Where they'll have in-service training everybody has that in in professions and then you come and they say brown bag provided they were telling all the HR departments do not say the department will provide a brown bag lunch
[12:25.840 --> 12:29.840]  Everybody knows that means an apple chips and a ham sandwich or a chicken sandwich
[12:30.840 --> 12:43.840]  There it is KOMO news city officials urge ban on politically offensive language this is mental illness and it goes on to say the word brown bag and citizen is offensive
[12:43.840 --> 12:55.840]  Oh I forgot that part of it because if you say citizen that makes a non-citizen feel bad so now just everybody's a citizen and gets everything free
[12:56.840 --> 13:03.840]  Meanwhile all of us are losing our basic freedoms our bill of rights our constitution and all of us have our first amendment under attack and should be coming together against it
[13:03.840 --> 13:18.840]  Now I have been predicting the last three years intensely because I could see the drumbeat on CNN MSNBC and by the White House and by Mother Jones and just all the other auxiliaries of creating racial obsession and infighting and divide and conquer
[13:19.840 --> 13:28.840]  But then back in February of this year I issued an emergency alert before the brown case before any of these cases
[13:28.840 --> 13:36.840]  In fact there's another report flashback U.S. Army training to fight black Americans that's from November
[13:37.840 --> 13:40.840]  Originally July 17th we flashbacked it
[13:41.840 --> 13:49.840]  I can see a rollout just like Poland could see for six months the Nazis massing on their border in 1940
[13:49.840 --> 13:57.840]  And they were saying they were about to attack us and the Germans would say you're paranoid you're conspiracy theorist
[13:58.840 --> 14:12.840]  I can see the buildup I can see the preparation to try to create racial division and then race war but also play the populations off against the police which will then cause the police to become more paranoid and more paramilitary
[14:12.840 --> 14:20.840]  And go under federal control because they'll be indicted if they engage in any paramilitary activity unless they're under federal auspices
[14:21.840 --> 14:30.840]  Just like the feds and CNN demonized asset forfeiture seizure in the last 20 years to get it banned at the state level so the feds can be the only ones that administer it
[14:31.840 --> 14:36.840]  And then they give back up to 85% of the money to the local police that they seize effectively making them federal
[14:36.840 --> 14:52.840]  See how that works? And about three weeks ago Paul Watson did articles showing the Twitter pages and the Facebooks of urban black racist groups and black prison gangs
[14:53.840 --> 15:00.840]  The FBI later actually picked that up and put an alert out to police because the FBI does a good job a lot of the time and they've got good compartments within it
[15:00.840 --> 15:05.840]  But we were the first to point out I'm not bragging I'm saying we know what we're talking about we're going to go over that today
[15:06.840 --> 15:12.840]  That you're going to see as part of the urban protest and it's now in the gangster rap again financed by Hollywood
[15:13.840 --> 15:22.840]  That the way you protest if you're a black urban person who's mad is you go and just shoot a random cop at a donut shop or in their patrol car
[15:22.840 --> 15:30.840]  And of course we were then attacked by media matters openly run by the White House the head of it was given a presidential award last week
[15:32.840 --> 15:37.840]  Saying we're crazy making this up no cops are going to have their heads blown off well it just happened yesterday
[15:40.840 --> 15:47.840]  Because they are taking a few bad cases and hyping them to create racial division and certainly there's some problems out there
[15:47.840 --> 15:56.840]  But you don't randomly go kill someone because of their race or a uniform or anything else and it's to get us all at each other's throats
[15:59.840 --> 16:07.840]  As the year is coming to a close we all pause to reflect on what's happened in the past year we take a step back and thank God for what we have
[16:07.840 --> 16:16.840]  I'm David Hall founder of Diamond Gusset Jeans at Diamond Gusset we are celebrating the brush fires of liberty that are spreading across this great nation
[16:17.840 --> 16:25.840]  Another thing we are celebrating is you without the valued listeners of Alex Jones and our loyal customers we wouldn't be here today
[16:25.840 --> 16:34.840]  We offer a wonderful online shopping experience if you receive a pair that doesn't fit send them back and we'll exchange them at no cost to you
[16:34.840 --> 16:44.840]  Beat the shopping rush by visiting us at gusset.com and join our email newsletter to receive some great holiday discounts
[16:44.840 --> 16:50.840]  And paying no attention to political correctness Diamond Gusset wants to wish you all a merry Christmas
[16:50.840 --> 17:05.840]  Thanks for believing in our dream the original 100% American made Diamond Gusset Jean
[17:21.840 --> 17:24.840]  Gently cleanses the body while you sleep with easy capsules
[17:24.840 --> 17:30.840]  Tens of thousands of individuals have used oxy powder to cleanse their bodies and aid in their transformations
[17:30.840 --> 17:36.840]  Even info wars nightly news director Rob do has been using oxy powder with incredible success
[17:36.840 --> 17:42.840]  Took it that first day and I took it for six more days after that 12 pounds melted off in about a week I'd say a week seven days
[17:42.840 --> 17:50.840]  2015 can be different diet and exercise are important but a lot of us have already tried that oxy powder flushes it out
[17:50.840 --> 17:58.840]  Secure your oxy powder at info wars life dot com that's info wars life dot com or 888-253-3139
[17:58.840 --> 18:03.840]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation
[18:03.840 --> 18:10.840]  The exclusive info wars life secret 12 formulation is now back in stock in the last limited shipment of 2014
[18:10.840 --> 18:14.840]  The most bioactive form that has been created with our proprietary process
[18:14.840 --> 18:19.840]  This ultra clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years
[18:19.840 --> 18:24.840]  And is based on cellular science of how your body actively absorbs essential nutrients
[18:24.840 --> 18:29.840]  Secret 12 is taken by mouth right on the tongue and then swallowed no needles no injections
[18:29.840 --> 18:33.840]  Vitamin B12 deficiency is linked to scores of serious problems
[18:33.840 --> 18:39.840]  And secret 12 is a fusion of two organic proprietary forms of vitamin B12
[18:39.840 --> 18:46.840]  And you a true nutraceutical quality vitamin B12 secret 12 secret 12 is an excellent Christmas gift
[18:46.840 --> 18:52.840]  And is tailor made to boost your New Year's resolutions supplies of secret 12 are very limited
[18:52.840 --> 18:59.840]  Secure yours today at info wars life dot com or by calling toll free 888-253-3139
[18:59.840 --> 19:05.840]  Several months back I started taking your makes an iron eye and your super meal prior to this I was barely walking
[19:05.840 --> 19:12.840]  Now I'm able to function there a human again info wars life dot com you've heard the callers of the show
[19:12.840 --> 19:22.840]  Your products are great I use DNA force I use XQ super male vitality and lung cleanse every day they're great stuff
[19:22.840 --> 19:29.840]  Whether it's survival shield nascent iodine or DNA force super male vitality super female vitality lung cleanse
[19:29.840 --> 19:36.840]  Fluoride shield oxy powder I believe that all of these products will blow you away like they've done
[19:36.840 --> 19:40.840]  The thousands of other customers that have visited info wars life dot com
[19:40.840 --> 19:46.840]  Just amazing what it's able to do directly detoxing the body it's great stuff
[19:46.840 --> 20:00.840]  Check out info wars life dot com today and the entire line of ground breaking cutting edge hard core products
[20:00.840 --> 20:17.840]  You're listening to the Alex Jones show
[20:30.840 --> 20:57.840]  You're listening to the Alex Jones show
[20:57.840 --> 21:02.840]  I am your host Alex Jones
[21:02.840 --> 21:08.840]  Playing being Crosby I'm dreaming of a white Christmas Elvis also saying this to the Frank Sinatra
[21:08.840 --> 21:20.840]  And we had an article out a week ago where New York newspapers asked is it okay to have I'm dreaming of a white Christmas play at Rockefeller Center as part of the lineup
[21:20.840 --> 21:30.840]  And the answer is no it's racist it doesn't have to do with snow just like brown bags don't just mean a lunch bag it's code see
[21:30.840 --> 21:42.840]  And that's what mother Jones has come out this December issue and says are you racist science has the answer they hook you up with electrodes show you different images of people and if you don't
[21:42.840 --> 21:53.840]  Want to have sex with someone who you're not attracted to and that they have to be another race then you're a racist see having your own opinion having your own discretion
[21:53.840 --> 22:02.840]  Or your own discrimination is now racist and by discrimination maybe I like vanilla ice cream over chocolate I don't like chocolate over vanilla maybe I like strawberry over mango
[22:02.840 --> 22:14.840]  Doesn't mean I'm racist against mango maybe on average I'm attracted to blondes or brunettes maybe I like really white skin maybe I like tan skin
[22:14.840 --> 22:25.840]  Maybe maybe I like black women maybe I don't maybe I like some black women like I like some white women not I mean it's ridiculous but just I tend to lean towards fill in the blank
[22:25.840 --> 22:38.840]  That's called my opinion I drive a Ford truck not a Chevy but I like Chevy products even though they give money to gun control grips and Ford doesn't so I buy Ford
[22:38.840 --> 22:50.840]  And see I'm going to discriminate against Chevrolet because of their political activities and getting bailouts and I'm going to buy Ford because quite frankly Ford has raised the quality of their products
[22:50.840 --> 22:58.840]  I didn't like Ford back when I was a kid and saw my dad's Ford van breaking down all the time even though it was three years old
[22:58.840 --> 23:07.840]  They want to distract us from all the real issues and what are the real issues we're going to play this clip Obama caught ordering press to cover up Ebola
[23:07.840 --> 23:19.840]  Forbes reported that we broke it down November 6 that Forbes was at a meeting with the head of the CDC and they all agreed before the press conference started to not question apparent Ebola cases
[23:19.840 --> 23:36.840]  And joined hands to be part of the cover up now we've had a medical doctor on I've talked to a bunch off record that are scared in Dallas, Kansas City, St. Louis, Chicago, LA, Atlanta, New York
[23:36.840 --> 23:46.840]  Where there are apparent Ebola cases and they're whisk away and disappeared obviously it's getting worse in Africa they've moved the story out of the news because it started to blow back on Obama
[23:46.840 --> 23:59.840]  And get associated with amnesty and open borders and I was just thinking yesterday on Saturday I was up there doing a special live report on our crew covering protests
[23:59.840 --> 24:09.840]  And spoke in Washington of the sheriff's department getting federal training and saying their main enemy was basically constitutionalist and that's why they have these giant MRAP armored vehicles
[24:09.840 --> 24:22.840]  And I was thinking what am I going to cover tomorrow on the big Sunday show because we're here weekdays 11 to 2 and we have the Sunday show that's very popular 4 to 6 p.m. Central on over 100 affiliates now around the country
[24:22.840 --> 24:32.840]  And I was thinking I want to bring up Ebola and just point out hey you know it's peaking in Africa right now with about a million cases they believe more people are flying in
[24:32.840 --> 24:42.840]  Don't you think they're probably covering it up plus we've been told so by our own sources on record and off record by Forbes it's amazing
[24:42.840 --> 24:58.840]  This is from Fox News this audio and video is up on infowars.com right now if you're a radio listener you go to infowars.com and don't just download the free iPhone app so you can listen once you're outside of MNFM listening areas wherever you go
[24:58.840 --> 25:12.840]  Taking the show with you you can also just go to infowars.com forward slash show and right there weekdays and on the weekend and the special reports we do for special live events you can see what I'm about to play
[25:12.840 --> 25:26.840]  So infowars.com forward slash show I was out with some friends last week and one of them said I love watching your radio show and the other person said you know I don't listen to show a lot but what do you mean you watch his radio show
[25:26.840 --> 25:40.840]  Well that's kind of what people do. This is a Sunday on Fox News channel today media buzz investigative journalist Cheryl Eckerson said the CDC is not putting out the current information on how many potential cases of Ebola
[25:40.840 --> 25:52.840]  They are currently tracking in the United States and see that's the thing they could keep it secret for five months this year that they'd ordered the board patrol to ship the illegals in and give them vouchers by the hundreds of thousands a month
[25:52.840 --> 26:06.840]  The millions total. We had to go down and show it on the border and show the board of patrol doing it and break it nationally. Little infowars that shows how they can have the fix being in
[26:06.840 --> 26:21.840]  But the good news is it's coming out on Forbes and Fox News so see we're vindicated. We told you we had doctor sources and nurse sources medical sources saying this one of them was willing to go on the air with his name a medical director of three hospitals
[26:21.840 --> 26:33.840]  I know the director I'm going to leave it at that of some of the biggest hospitals in Dallas Fort Worth and they said it's guaranteed going on
[26:33.840 --> 26:41.840]  So let me just give you a news flash. I don't know how much Ebola is out there but it's going on and it's being covered up. Let's go to Fox News. Here's a clip
[26:41.840 --> 26:53.840]  I called CDC not long ago and said how many active cases are being monitored in the United States of Ebola and they said one thousand four hundred. I said where is that on your website these updates they said we're not putting it on the web
[26:53.840 --> 27:02.840]  So I think there is an effort to control the message and to tamp it down. This is public information we have a right to and I think the media should not hype it but cover it
[27:02.840 --> 27:16.840]  Yeah my doctor friend a pretty serious guy flies around in helicopters to work said that they believe the cases are in the thousands. It's basically known
[27:16.840 --> 27:26.840]  and they don't want to panic you because they know you're going to blame Obama with the totally open border and say why we've had all these governors come out Rick Perry
[27:26.840 --> 27:39.840]  Jindal all of us they do something Scott Walker other governments but oh no no you know what dummies just shut up nothing's going on
[27:39.840 --> 27:50.840]  kind of like you get these calls all over the web all over YouTube all over info wars just because I said don't go out and shoot cops or call for violence
[27:50.840 --> 28:01.840]  don't cause don't start a civil war that the just departments tried to foment the Trayvon Martin they got caught trying to foment the last two the Garner and the Brown case they got caught
[28:01.840 --> 28:09.840]  to get us all each other's throats does that mean there aren't some problems with the police and militarization and attack dog training yes
[28:09.840 --> 28:20.840]  but you don't fix that walking up to a patrol car and shooting two family men in the head that you don't know they're a bad cop I mean even if they were a bad cop
[28:20.840 --> 28:30.840]  they get due process they don't get shot in the head and it was reported by the New York Post and the New York Daily News I have the articles that are on info wars dot com
[28:30.840 --> 28:42.840]  that people were cheering as they were in Brooklyn as they were trying to save them and give a mouth to mouth people are going good you deserve it and clapping like when the two cops got run over in Denver
[28:42.840 --> 28:54.840]  that is sick that is sick that is sick and that is what they're trying to get going in this country and they want to just demonize the patriot movement say we deserve to be killed
[28:54.840 --> 29:06.840]  stay with us we'll be back on Alex Jones it's Christmas time 2015 is almost here and with it comes those New Year's resolutions to finally transform your body the way you want it
[29:06.840 --> 29:16.840]  there's a reason over 88% of New Year's resolutions fail make this year different by equipping yourself with oxy powder the next level in cleansing the body naturally
[29:16.840 --> 29:25.840]  using super oxygenation oxy powder available through info wars life calm gently cleanses the body while you sleep with easy capsules
[29:25.840 --> 29:34.840]  info wars nightly news director Rob do has been using oxy powder with incredible success took it that first day and I took it for six more days after that 12 pounds melted off
[29:34.840 --> 29:42.840]  in about a week I'd say a week seven days and I've been able to keep it off too my wife's like wow you look really good and I'm like I know I guess it's this oxy powder
[29:42.840 --> 29:53.840]  2015 can be different diet and exercise are important but a lot of us have already tried that oxy powder flushes it out secure your oxy powder at infowarslife.com
[29:53.840 --> 30:10.840]  that's infowarslife.com or 888-253-3139 sold out for weeks through the difficult and extensive proprietary process behind its creation the exclusive info wars life secret 12 formulation is now back in stock in the last limited shipment of 2014
[30:10.840 --> 30:21.840]  the most bioactive form that has been created with our proprietary process this ultra clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science
[30:21.840 --> 30:33.840]  of how your body actively absorbs essential nutrients secret 12 is taken by mouth right on the tongue and then swallowed no needles no injections vitamin B12 deficiency is linked to scores of serious problems
[30:33.840 --> 30:46.840]  and secret 12 is a fusion of two organic proprietary forms of vitamin B12 bringing you a true nutraceutical quality vitamin B12 secret 12 secret 12 is an excellent Christmas gift
[30:46.840 --> 30:59.840]  and is tailor made to boost your New Year's resolutions supplies of secret 12 are very limited secure yours today and infowarslife.com or by calling toll free 888-253-3139
[30:59.840 --> 31:12.840]  in the near future when you realize how fake it all is the football the basketball security alert this is homeland security analysis info wars building independent media operation
[31:12.840 --> 31:28.840]  but the worst people get controlled and tell us that we are the ones responsible prime directive credit Alex Jones Jones is the wildly popular conspiracy theory popular conspiracy theory talk show called info wars Alex Jones is now in an Austin jail
[31:28.840 --> 31:38.840]  these people are assaulting us targeting of patriots engaged they are never going to stop they're never going to deviate from their program until we stop them
[31:38.840 --> 31:48.840]  block free iphone at info wars dot com block free podcast and video feed imperative to destroy the planet TV
[31:48.840 --> 31:58.840]  you gotta set your eye on the enemy not worry about what propaganda they put out intellectually it's begun you can fail it
[31:58.840 --> 32:09.840]  the average person's life is filled with unexpected challenges unlock the energy it takes to defeat these daily beast with super male or super female vitality
[32:09.840 --> 32:27.840]  specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females super charge and conquer your world at info warslife.com or call 188-253-3139
[32:39.840 --> 32:54.840]  you can stop every round including hollow points and 308 sniper rounds is reasonably priced and fully legal but for how long go to infidel body armor dot com spelled I N F I D E L body armor dot com
[32:54.840 --> 33:01.840]  infidel body armor just won't quit
[33:01.840 --> 33:07.840]  you're listening to the Alex Jones show
[33:07.840 --> 33:13.840]  the most transparent administration in history and I can document how that is the case
[33:13.840 --> 33:19.840]  American journalists at a media event have criticized the U.S. administration over transparency issues
[33:19.840 --> 33:25.840]  we cover what we are allowed to cover lack of transparency is a huge political advantage
[33:25.840 --> 33:31.840]  information management has become so sophisticated every administration learns from the previous
[33:31.840 --> 33:41.840]  actions I have the legal authority to take as president what do you say to someone who believes the president took action to change the law
[33:41.840 --> 33:49.840]  we did not change the law we act within the law what they're not paying attention to is the fact that I just took an action to change the law
[33:49.840 --> 34:10.840]  breaking the law breaking the law breaking the law breaking the law breaking the law, breaking the law breaking the law breaking the law
[34:10.840 --> 34:24.680]  From the front lines of the Information War, it's Alex Jones.
[34:24.680 --> 34:33.320]  We're live, ladies and gentlemen, the 21st day already of December 2014.
[34:33.320 --> 34:38.320]  As I've been saying the last few months, 2014 is very long in the tooth, big white beard,
[34:38.320 --> 34:45.840]  and soon the year will die, and a new year will be born.
[34:45.840 --> 34:50.840]  And I want to be very clear here, a lot of really positive things are happening, not
[34:50.840 --> 34:54.000]  just here but around the globe.
[34:54.000 --> 35:01.000]  A lot of people are waking up to the tenets of liberty and true competition and prosperity.
[35:01.000 --> 35:05.560]  And corrupt power structures are moving to try to block and suppress populations, and
[35:05.560 --> 35:09.240]  that's only going to have the effect of causing more resistance.
[35:09.240 --> 35:19.720]  But we don't need mindless, criminal, stupid resistance to apparent evils.
[35:19.720 --> 35:30.560]  An apparent wrong of Garner being choked to death in New York or Long Island is not right
[35:30.560 --> 35:38.080]  to then go and shoot two police officers in the head in cold blood and then go kill yourself
[35:38.080 --> 35:41.680]  because you just shot your girlfriend to death and, well, instead of killing yourself, you're
[35:41.680 --> 35:45.480]  just going to go have death by cop or take a few with you.
[35:45.480 --> 35:46.480]  And that's what I've said.
[35:46.480 --> 35:48.680]  This is a trend I see getting promoted by the media.
[35:48.680 --> 35:54.440]  It will create copycats, just like 2020 had to admit in a special in 1995 that we've played
[35:54.440 --> 36:02.000]  clips of that death education started in 1990 and within three years it doubled and tripled
[36:02.000 --> 36:05.480]  suicides in high schools and middle schools.
[36:05.480 --> 36:11.360]  You teach 13-year-olds how to hang themselves or how to take pills or how to shoot themselves
[36:11.360 --> 36:19.800]  to say, don't do it, you've now put in their mind, don't do it.
[36:19.800 --> 36:22.520]  And it caused massive suicide increases.
[36:22.520 --> 36:30.960]  And the media starts hyping race riots and infighting and, oh, you're mad at the government.
[36:30.960 --> 36:38.240]  The thing to do is go blame the lowest level rubber meets the road police.
[36:38.240 --> 36:41.520]  And as you know, I'm the big critic of the globalists taken over the police, but not
[36:41.520 --> 36:42.520]  of the police.
[36:42.520 --> 36:43.920]  I'm the big critic of the police state.
[36:43.920 --> 36:48.600]  I'm the big critic of the MRAPs and the helicopters looking through our walls and all of it because
