[00:00.000 --> 00:10.000]  It's Sunday, January 22nd, 2023.
[18:34.000 --> 18:39.000]  These monsters are all over television wanting to give these shots to newborn babies. They're already given to the pregnant women.
[18:39.000 --> 18:51.000]  Miscarriages are off the chart. 80 plus percent increase in miscarriages in the first two prime ministers after these poison shots. We can and will save the children and they are counting on us.
[18:51.000 --> 18:58.000]  Let's do it together. And the fight starts at Infowars.com. And the fight continues with your financial support at Infowarsstore.com.
[18:58.000 --> 18:59.000]  Now take action now.
[18:59.000 --> 19:09.000]  Like a rock thrown into a pond, your actions, you know they may seem little, have a massive ripple effect throughout time and space. We're actually winning the Infowar.
[19:09.000 --> 19:18.000]  And when you realize that Band-Aught Video has hundreds and hundreds of censored directors and investigative journalists and talk show hosts whose information is beyond incredible.
[19:18.000 --> 19:24.000]  Hundreds of medical doctors and scientists, all of them right now telling the truth at Band-Aught Video.
[19:24.000 --> 19:36.000]  Millions of people today visiting Band-Aught Video. But you can take that information and cause a bigger ripple effect, an amplifying effect and make sure it gets out to your friends, your family, your neighbors and perfect strangers.
[19:36.000 --> 19:47.000]  You are the modern Paul Revere's. You are what takes our information and amplifies it. When you decide to take action, we as a species and as a race are invincible.
[19:47.000 --> 19:55.000]  So I thank you all for your past action and I challenge you to redouble your efforts now because humanity and the children are counting on you.
[20:17.000 --> 20:37.000]  It's Sunday, January 22nd, 2023. I'm your host, Alexander Emerson Jones, broadcasting from the front lines of the fight against the Genesis death cult New World Order.
[20:37.000 --> 20:48.000]  Well, I knew the globalists were real and their plans for depopulation and world government were real when I was about 19 years old because my family had told me about it.
[20:48.000 --> 21:01.000]  But you know when you're a young person, you tend to tune out most of what your parents and grandparents and families say, even though I knew they were serious, very smart people, it just sounded like science fiction and something else going on in another world.
[21:01.000 --> 21:11.000]  But it was going on because they knew, because they were informed and they were involved at different levels of the system and seen it for themselves.
[21:11.000 --> 21:25.000]  And I have been battling these people for 28 plus years now on air. And before I hit the rest of the news, I just want to remind listeners that I am not proud of our work. I am proud of you.
[21:25.000 --> 21:38.000]  But it's not a feeling of pride, it's a feeling of love, and it's a feeling of satisfaction. It's not that pride's necessarily a bad thing, you're proud of your son, you're proud of your daughter, you're proud of your parents, your grandparents, you're proud of your country, you're proud of our veterans.
[21:38.000 --> 21:46.000]  But with me, it's not that feeling, it's a feeling of satisfaction and compulsion.
[21:46.000 --> 21:58.000]  And like breathing in a breath of fresh air, it's something you need, it's something you got to have, it's not like something that's on the side, it's primary, it's central.
[21:58.000 --> 22:05.000]  And now we're reaching the main point of the fight. They planned for us to be out of the air long before we hit this point. They're in deep trouble.
[22:05.000 --> 22:16.000]  But I got to tell you listeners, we've gone over the hump with legal bills and so many fights, and we won those fights so far staying on air, and now we're going into the appeals process, the rest of it will take years.
[22:16.000 --> 22:27.000]  And it's only after that big fight that then we're able to lick our wounds and repair some of the things that have happened and move forward.
[22:27.000 --> 22:41.000]  But we can't do that without you. So if you appreciate the work we've all done together, this crew, this audience, this whole family of info wars, and you want to see us continue on, it is absolutely critical that you understand.
[22:41.000 --> 22:49.000]  I need your support right now. I need you to go to 1776coin.com, the fourth and final coin.
[22:49.000 --> 22:59.000]  And by final, we may do coins in the future, but that can be part of this founding member series. It's the 1776. Teddy Roosevelt, man, the arena coin, there's only about 1200 left.
[22:59.000 --> 23:11.000]  And when they're gone, that's it. And yes, a normal silver round like this would cost $30. It cost $100 with promo code 7076, because it's a fund raiser.
[23:11.000 --> 23:20.000]  And you have that momentum. And I need the extra funds to be able to operate and continue on. Plus, it's a historic coin.
[23:20.000 --> 23:31.000]  So I want to thank those that got the coins. And I want to encourage those of you that do not have the coin and want to have this coin, no more of this type will ever be made again.
[23:31.000 --> 23:47.000]  To get the coin now at 1776coin.com. And if you want to support your body and fund info wars and fund this operation, go to infowarstore.com.
[23:47.000 --> 23:57.000]  That's infowarstore.com and get 1776 testosterone boost and pain MD.
[23:57.000 --> 24:04.000]  Both of these are number one bestsellers in the country. They're made by a pharmaceutical company that's huge, but they're patriots.
[24:04.000 --> 24:09.000]  It's small compared to the big ones, but it's still huge. $10 million a year. The owner's a listener.
[24:09.000 --> 24:19.000]  I said, what are your big best products about a year ago? And he gave me a list of 16 or so products out of hundreds they make that are number one or number two, depending on the product in the country, depending on which month it is.
[24:19.000 --> 24:28.000]  They're both tested, tried, loved, do a great job for pain reduction, naturally, and of course for boosting natural testosterone and free testosterone in the body.
[24:28.000 --> 24:36.000]  They're amazing. They're available exclusively with our private label and other places as well at infowarstore.com.
[24:36.000 --> 24:44.000]  And you heard Mike Adams on this week without me asking him saying, he's got a big lab that tests supplements and products. That's what he does.
[24:44.000 --> 24:50.000]  That guy's very prolific. He publishes books all over the world in Chinese, German, and everything else. That guy's a Renaissance man.
[24:50.000 --> 24:58.000]  He's got his own big farm, produces milk and everything. But the point is, is that he tests CBD oil.
[24:58.000 --> 25:05.000]  And he said, wow, this is like a super high-end, full-spectrum one. He was on the show, he used to be selling us for $150.
[25:05.000 --> 25:11.000]  Well, that's what I said before on air. They retail this for $150. They have it on sale for $100 in stores.
[25:11.000 --> 25:18.000]  They've actually sold a lot of places, clinics, you name it. And we sell it for $67. We can easily sell it for $100.
[25:18.000 --> 25:26.000]  I mean, that's just my instinct. A lot of people say, well, Jones used to charge $150 and then people think it has a higher value and you probably sell more.
[25:26.000 --> 25:32.000]  And that's a weird psychological thing that people like want the brand name, even though it's the exact same thing.
[25:32.000 --> 25:41.000]  So think of this as like generic. It's the same factory, the same bottle, just a different label, and you get it for less than half the price.
[25:41.000 --> 25:46.000]  And we've already sold out of one of the CBDs. It's about to come back in, but the 1,000 milligram, the 25 milligram.
[25:46.000 --> 25:51.000]  And I would suggest you go with a low-power one at first. Doesn't get you high. Doesn't have any THC in it.
[25:51.000 --> 25:58.000]  Legal and all 50 states. But it's so good for pain, so good for inflammation, so good for your brain, so good for your heart.
[25:58.000 --> 26:03.000]  And doctors, I can tell you, prescribe this all day. You know, it's not prescription. They tell you, go get a CBD.
[26:03.000 --> 26:10.000]  And I had a doctor prescribe me CBD for my knee and my Achilles three years ago, and that's when I was looking around different companies.
[26:10.000 --> 26:16.000]  I found out this company we get it from is the same group, the private labels, for my medical doctor and his clinic.
[26:16.000 --> 26:25.000]  He's one of the top-rated doctors in Central Texas. He's actually got clinics in Dallas and San Antonio and Houston, but I get to actually see him in his home office.
[26:25.000 --> 26:32.000]  He's a listener. And of course, he helped me out in thinking about coming out with the DNA Force Plus, because he sells a product.
[26:32.000 --> 26:36.000]  It's basically that. We just made it even stronger. So that's what I do. I just bring in the very best stuff.
[26:36.000 --> 26:42.000]  So you really need to get the CBD oil as well from M4WarsMD and M4WarsTour.com, and that's what funds us.
[26:42.000 --> 26:47.000]  But particularly, ladies and gentlemen, you see these headlines everywhere.
[26:47.000 --> 26:55.000]  Ones in bankruptcy is asking for $40,000 a month. Oh, he's rich. My legal bills are usually 50 grand a month.
[26:55.000 --> 27:02.000]  The court has ruled I have to pay 40% of the legal bills. And it sounds like a lot of folks have the deep state law firms, all of them after us.
[27:02.000 --> 27:09.000]  We've already had the show trials, already all the depositions, the hell of the last four years. Now the legal expenses are going way down.
[27:09.000 --> 27:19.000]  In fact, it was up to $100,000 a month I was personally paying just a few months ago with all those trials and all the rest of it having to have security and all the rest of it.
[27:19.000 --> 27:26.000]  So we're over the hump, but we got it now. We're so bloodied after that fight that now we need the funds.
[27:26.000 --> 27:37.000]  So when you go to 1776coin.com, part of that money goes to fund free speech and M4Wars, but part of it goes to fund me personally and other things I'm doing and other things I'm up to.
[27:37.000 --> 27:46.000]  And I'll just leave it at that. And soon everybody that's a founding member that got any one of these four coins and then no more five member coins are going to be getting a lot of benefits.
[27:46.000 --> 27:56.000]  You've already gotten some sent to your email, but amazing stuff in the next week in your email box. So get that final coin now before it sells out at 1776.
[27:56.000 --> 28:12.000]  1776coin.com, 1776coin.com and get the other great M4Wars Platinum products, 1776 Asteroom Boost, and of course, PainMD at infowarstore.com.
[28:12.000 --> 28:22.000]  But you can't get the last coins at M4Wars store. They're only available at 1776coin.com and Brainforce Plus, Brainforce Ultra, Amazing Neutrophics, they're about to sell out,
[28:22.000 --> 28:33.000]  and they are on massive 50% discount right now at infowarstore.com as well. We need funds, God keeps us honest, we're just right there at the breakeven point, so thanks for your support.
[28:33.000 --> 28:48.000]  I'm done plugging, we're going to plunge into all this news. I mean, I am massively prepared when we come back, but it is you that keep us on air, and if we had enough funds, I wouldn't even plug, but I've got to plug because we're in a debt battle just like America and the world are.
[28:48.000 --> 29:00.000]  We're a microcosm, everything else, so I thank you for keeping us in the fight. Go now to 1776coin.com. Go now to 1776coin.com. Thank you.
[29:00.000 --> 29:10.000]  I talk a lot about the great successes M4Wars has had. I don't think anybody can deny it, and it is because of listeners and viewers supporting us.
[29:10.000 --> 29:19.000]  When we talk about the crew at M4Wars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[29:19.000 --> 29:28.000]  And we look at Harrison Smith and Owen Schreuer and the hard work they engage in every day, five, six, seven days a week. It's really just incredible.
[29:28.000 --> 29:37.000]  So for myself, the whole M4Wars crew, I thank you for your past support. I only encourage you now to realize that M4Wars cannot stay on air if you do not support us.
[29:37.000 --> 29:47.000]  I know you spread the word. I know you pray for us, and that's wonderful. Keep doing it. But most viewers and listeners never go to M4WarsStore.com and you never buy great products that enrich and empower your life.
[29:47.000 --> 29:53.000]  All at the same time, keep us on air. I know that less than 1% of our listeners actually go buy products at M4Wars.com.
[29:53.000 --> 29:59.000]  If just 1% more of you took action and went to M4Wars.com, our funding problems will be over. Please take action now.
[29:59.000 --> 30:13.000]  They want the planet for themselves, my friends. If we're so stupid, we let them kill us. We deserve it. Except children don't deserve it, do they?
[30:13.000 --> 30:32.000]  And I looked, and behold, a pale horse and he that sat on the horse was named Death.
[30:32.000 --> 30:43.000]  Another translation is, I looked, and behold, a pale horse and his name that sat on him was Death and Hell followed with him.
[30:43.000 --> 30:52.000]  A book of Revelation. Very serious times to be alive, folks. They're not just doing this as a one-off. This is the beginning of the rest of our lives. This is our fight.
[30:52.000 --> 30:59.000]  And I'm proud of humanity. The globalists even admit it's leaked. They're very upset that they're losing and that this hasn't gone the way they thought it would.
[30:59.000 --> 31:12.000]  In the year 2000, Alex Jones' film Dark Secrets Inside Bohemian Grove showed the world how our so-called elite leaders practice mock ritual sacrifices in private.
[31:12.000 --> 31:36.000]  In 2007, Alex Jones releases Endgame, exposing the world elite's plans for covertly using biological weapons against all of mankind. And by the time they launched their attack in 2020, Alex Jones' Info Wars and our audience were there to warn the people of the deadly vaccines that we knew were coming.
[31:36.000 --> 31:59.000]  This is why they attack us. This is why we need your support. Because we tell the truth, Alex Jones was right. Join the resistance. Buy products. Donate to the cause. Share the links. Join us in the fight for freedom and help us defeat the New World Order.
[31:59.000 --> 32:07.000]  Why does the establishment spend so much time demonizing Info Wars, attacking myself and the crew and our other hosts?
[32:07.000 --> 32:17.000]  Because they know we're pro-human. They know we're telling the truth. They know we've got their number. They know everything we do is about empowering humanity.
[32:17.000 --> 32:43.000]  And God gave us, through Mother Nature, incredible compounds that will supercharge our body's stamina, libido, energy, and immune systems. And we came out many years ago with Real Red Pill Plus that has all the documented compounds like preglonone and so much more to supercharge your body and to give your body the key elements and the key ingredients it needs to function at a proper level.
[32:43.000 --> 32:59.000]  This is the answer to the New World Order's tyranny. This is Real Red Pill Plus sold out for two years, 50% off at infowarstore.com. Get the Red Pill Plus exclusively, infowarstore.com.
[33:14.000 --> 33:22.000]  From the front lines of the information war, it's Alex Jones.
[33:22.000 --> 33:40.000]  Alright, I'm about to branch out to a lot of other big news that's very important, but I wanted to finish up here with the poison COVID shots that they call a vaccine and how it's coming out everywhere that it's so deadly and total vindication.
[33:40.000 --> 33:50.000]  Now, I told you it's like that Hoosong, meet the new boss, same as the old boss won't get fooled again, but at least they're having to shuffle deck chairs on the New World Order Titanic.
[33:50.000 --> 34:01.000]  Jacinda Ardenin pushed total police state, the worst in the world except for Communist China, then Canada and Italy were close third and fourth.
[34:01.000 --> 34:12.000]  And she knew the polls showed right at 20% support between 19 and 22 depending on the poll, so she quit months ahead of the election coming up in October.
[34:12.000 --> 34:20.000]  But then they installed the new Prime Minister of New Zealand, Chris Hipkins. Now, this is what he said just a year ago.
[34:20.000 --> 34:33.000]  If you're not jabbed, we will come looking for you, so if you thought Jacinda Ardenin was crazy, look what New Zealand has now, but he's another WEF alumni.
[34:33.000 --> 34:40.000]  He said, why do I care about New Zealand? It's the same people that run our CDC and FDA.
[34:40.000 --> 34:47.000]  We've got a lawyer that's working with Robert Kennedy Jr. who needs no introduction joining us in here in just a moment.
[34:47.000 --> 34:56.000]  But here's the clip. I think early next year we'll be in the phase of chasing up people who haven't come forward to get their vaccination or have missed their bookings and so on.
[34:56.000 --> 35:00.000]  So everyone will be able to get a vaccine between now and the end of the year.
[35:00.000 --> 35:09.000]  But of course, you know, and I want every New Zealander to come forward, but human behavior suggests that there will be some people that we have to actually really go out and look for.
[35:09.000 --> 35:15.000]  And some of that may spill into next year, but our commitment is everyone will have the opportunity to get the vaccine by the end of the year.
[35:15.000 --> 35:23.000]  Everyone will, but I can't say that, you know, that we're not going to have some hesitant people or some people who just haven't come forward that we don't have to go out and find next year.
[35:23.000 --> 35:26.000]  Go out and find forced injections.
[35:26.000 --> 35:31.000]  Now we know how Elon totally turned against the shots. He had questions that it shouldn't be mandatory two years ago.
[35:31.000 --> 35:37.000]  Now we know that six months ago he had to go to his German plant. They made him take it to come into the country.
[35:37.000 --> 35:45.000]  The second shot almost killed him and it almost killed his cousin that's one of his best friends who's in great shape and a decade younger than him.
[35:45.000 --> 35:50.000]  And as much as his family got sick from it, because obviously when they gave Musk the shot, they had the ones that hadn't been overheated.
[35:50.000 --> 35:58.000]  The silver lining of this is a lot of the shots didn't hurt people because even an hour or so above 87 degrees ruins the Moderna and Pfizer shots.
[35:58.000 --> 36:02.000]  Remember, they're the exact same shot. Moderna is just four of the shots.
