[00:00.000 --> 00:12.000]  Big Brother mainstream media government coverups you want answers well so does he
[10:56.000 --> 11:13.000]  who did have like a hundred eighty iq but was a flaming racist and wanted to exterminate every black person on earth and then you notice ibm funds all the multicultural push and all this stuff because they want to get blacks on the
[11:13.000 --> 11:30.000]  plantation in the inner city control grid on welfare socialized so they can be destroyed and boy have they destroyed them i mean they they have wrecked the black community they have devastated it every metric shows that so regardless of where you stand on abortion
[11:30.000 --> 11:45.000]  i'm not judging you if you've had an abortion i'm not on some high horse i'm not saying you're a devil okay i'm pointing out where it came from and why they're pushing it and what the agenda is
[11:45.000 --> 11:55.000]  and then once they collectivize things they say see we don't want to pay for all these poor people kill them we don't pay for these old people kill them we don't pay for these veterans put them on no treat list
[11:55.000 --> 12:02.000]  and this is what they say to me how dare you not want to abort the black babies nobody wants them i've had whites blacks all of them tell me that
[12:02.000 --> 12:12.000]  and i finally caught it on video i've told you about being in a pro-life demonstrations back when i still did stuff like that fifteen sixteen years ago
[12:12.000 --> 12:19.000]  and it all started from guilt from abortions that i was involved in i've never hidden that i'm ashamed of that
[12:19.000 --> 12:30.000]  but i'm honest about it and i'll admit my serious failings and i wasn't driving under pushing women to do it but i could have pressured them could have said i'm going to marry you
[12:30.000 --> 12:38.000]  could have changed the whole course of my life but i wish when i was sixteen i'd have got married i wish i wouldn't have been passively involved
[12:38.000 --> 12:43.000]  or then when i was twenty again i repent for that every day well frankly it's why i'm not afraid to die
[12:43.000 --> 12:50.000]  subconsciously sometimes i just hope somebody walks up and i'm in public and shoots me right in the head because i'm a sinner damn it
[12:50.000 --> 12:57.000]  and that's what it comes down to so i'm willing to do whatever it takes to stand up for the unborn
[12:57.000 --> 13:04.000]  i don't want to die i want to be here for my children i want to fight the globalist but i'm saying at the end of the day i am fearless
[13:04.000 --> 13:11.000]  because i know that's what i've got to do it's something i can't even describe i've got to be fearless i've got to have the will to do whatever it takes
[13:11.000 --> 13:20.000]  or i'm not going to be redeemed and that's not out of some fear either my soul knows it and wants to be good
[13:20.000 --> 13:26.000]  and lord knows i'm bad lord knows i'm bad these little wannabes want to be wicked
[13:26.000 --> 13:33.000]  what they don't know about the hearts of good men and women is that we our goodness is huge and large and strong and beautiful
[13:33.000 --> 13:42.000]  just like our whole soul is big but our bad size bigger deeper meaner sicker than these felt could ever imagine
[13:42.000 --> 13:53.000]  i cannot believe how weak servants of evil are it's all i can do to not want to just smash them
[13:53.000 --> 14:05.000]  they love death so much why do they want to visit on others i don't think visit on themselves
[14:05.000 --> 14:11.000]  so we have events we see things that happen points rubicons that are crossed
[14:11.000 --> 14:19.000]  and so it all started three weeks ago when mckels failing one of our great writers that's kind of reporters
[14:19.000 --> 14:27.000]  said you know they're talking about black lives matter all day it's a few hundred blacks a year that get shot in questionable situations by the police
[14:27.000 --> 14:36.000]  lord knows the police in some areas are out of control being federalized but we ought to do a story about and put out a meme on facebook about black lives matter
[14:36.000 --> 14:43.000]  and show the abortion numbers seventeen million sixteen and a half seventeen million the numbers vary of the fifty six million people
[14:43.000 --> 14:52.000]  in a very heavy way and i said even better let me talk to jacari and i know he's pro-life and a christian we ought to see if he wants to lead a demonstration
[14:52.000 --> 14:58.000]  just to point this out and we're sure the media will attack it and demonizes and then we can probably get these going around the country
[14:58.000 --> 15:06.000]  and try to hijack this soros you know war with the police movement and then i have reverend childrens on to promote this event
[15:06.000 --> 15:14.000]  in february he's been doing it at black genocide dot org separately in uh... in south carolina and other areas having a big effect
[15:14.000 --> 15:21.000]  so see our minds think alike as we're directed by the same energy we're on the same page we're brothers at a spiritual level
[15:21.000 --> 15:28.000]  and that's when you really start getting into this start warring against the globalist you become more spiritual and you get closer to god folks
[15:28.000 --> 15:38.000]  you will face devil worshipers at the bottom of the rat hole is always a evil satanist and i've told you so many times that the anarchists
[15:38.000 --> 15:45.000]  they're never anarchists they call themselves anarchists they're all about deception and i told them as soon as i saw them ten seconds in we went to break
[15:45.000 --> 15:50.000]  i said you see those folks in black i can tell by their demeanor their look they're gonna start blocking attacking people
[15:50.000 --> 15:55.000]  try to tear down signs they're gonna say they're anarchists they're gonna be communists and then they're gonna be satanist
[15:55.000 --> 15:59.000]  boom it starts getting announced instantly and i've seen them from england
[15:59.000 --> 16:05.000]  uh... to denver colorado from new york city to to l.a. they could be black they could be white
[16:05.000 --> 16:12.000]  they could be hispanic they all act and look the same and and they they radiate weakness
[16:12.000 --> 16:20.000]  they they radiate fallenness they radiate just a death wish for innocence they radiate hell
[16:20.000 --> 16:26.000]  and i don't like being in their presence because i'm gonna be honest
[16:26.000 --> 16:35.000]  i just i mean they are they are an abomination that they are they are what comes after the innocence they are the enemy
[16:35.000 --> 16:45.000]  they are the enemy manifest and if you don't want to throw yourself against that god spirits not in you
[16:45.000 --> 16:51.000]  i'm not up on some high horse folks i'm here to tell you right now if you aren't repulsed by these people
[16:51.000 --> 16:54.000]  something's wrong
[16:54.000 --> 16:57.000]  now we go out to this demonstration
[16:57.000 --> 17:00.000]  the videos are on info wars dot com and principle dot com
[17:00.000 --> 17:03.000]  and i see them being mean to david night's wife getting her face shoving on her
[17:03.000 --> 17:10.000]  i said that's it i'm going down there i get there a bunch of them run and leave when they see me arrive
[17:10.000 --> 17:14.000]  i get out i go over i'm just doing interviews i'm being nice
[17:14.000 --> 17:17.000]  they come over and cuss on the microphone
[17:17.000 --> 17:22.000]  then they all link arms how to run over it's knocking people over
[17:22.000 --> 17:27.000]  one of them punches me grabs at me grabs the mic i get it back grabs it again everybody's seen the video
[17:27.000 --> 17:31.000]  or heard it happen live on the radio here
[17:31.000 --> 17:36.000]  the videos on info wars dot com but we didn't know who we were dealing with i just said they're gonna
[17:36.000 --> 17:41.000]  i can just look at them on skype for five seconds go to break i told the whole crew
[17:41.000 --> 17:45.000]  i said well i said on air too i said those are going to be
[17:45.000 --> 17:51.000]  they're gonna say they're anarchist then they're gonna be communists but that's only gonna be a front for a bloodlust
[17:51.000 --> 17:55.000]  and i've been around communists more than a hundred times
[17:55.000 --> 17:59.000]  we have footage actually we have a footage a few times in new york
[17:59.000 --> 18:05.000]  it's the same growth a Maoist red guard it's a real national group
[18:05.000 --> 18:09.000]  and there were these older folks there and they come over and i go well Stalin killed
[18:09.000 --> 18:13.000]  millions and Mao killed millions they go too bad they didn't kill you
[18:13.000 --> 18:18.000]  and as soon as we turned away and walked off they walk over and we go they said we take over you're dead
[18:18.000 --> 18:22.000]  and i had a major well-known socialist here a few years ago to be in a film
[18:22.000 --> 18:26.000]  and i couldn't morally even put them in the film because i went to dinner with them and robbie was there
[18:26.000 --> 18:31.000]  and he said listen we take over we're gonna kill millions they're gonna be blood
[18:31.000 --> 18:35.000]  you better join us we're gonna kill we want blood we want death
[18:35.000 --> 18:40.000]  and see when you learn that Lenin was really a satanist all of it clicks
[18:40.000 --> 18:45.000]  that's even in mainline history books you can dig in he was a devil worshipper
[18:45.000 --> 18:50.000]  and this group's on their site saying they want red terror against me and all the rest of this
[18:50.000 --> 18:55.000]  as if i'm i go up against the globalist the heart their masters george soros
[18:55.000 --> 19:00.000]  the nazi collaborator that funds these anti-police groups do you think i fear you
[19:00.000 --> 19:10.000]  i mean what a joke you are only one tiny little magnifying glass of the rot for us to examine
[19:10.000 --> 19:28.000]  as a study piece as an educational prop as a textbook example of of what serving wickedness
[19:28.000 --> 19:35.000]  will turn you into when we come back i'm gonna get into all of it but then we go to their
[19:35.000 --> 19:39.000]  facebook and it's all them we ask them you know are you these communists are you doing
[19:39.000 --> 19:42.000]  they say no that's not us when it's all them we have their names everything it's on their
[19:42.000 --> 19:49.000]  facebook they didn't shield their private group settings and it's all how we're gonna
[19:49.000 --> 19:54.000]  kill the police and all this other stuff i mean it is just it is insane folks we'll be
[19:54.000 --> 19:59.000]  right back stay with us
[20:24.000 --> 20:28.000]  at silverlungs.com
[20:54.000 --> 20:58.000]  survivalist camp providing your basic needs to survive
[20:58.000 --> 21:03.000]  the human body is extraordinary despite all the stress we inflict upon it
[21:03.000 --> 21:07.000]  thousands of people across the country use an extremely effective product to help their
[21:07.000 --> 21:12.000]  body stay balanced it's heart and body extract an all natural herbal formula designed to
[21:12.000 --> 21:17.000]  help maintain healthy blood pressure clean arteries promote good circulation and balance
[21:17.000 --> 21:22.000]  cholesterol heart and body extract along with good nutrition and exercise can give you a
[21:22.000 --> 21:28.000]  life free from pain sickness and fear recapture your youthful vitality and experience your
[21:28.000 --> 21:33.000]  body healing itself with the aid of heart and body extract learn more and read scores
[21:33.000 --> 21:38.000]  of testimonials from satisfied customers at heartandbody.com heart and body extracts
[21:38.000 --> 21:43.000]  offers a lifetime guarantee with no price increase in over 14 years for free info call
[21:43.000 --> 21:53.000]  866-295-5305 now that's 866-295-5305 or heartandbody.com distributor inquiries
[21:53.000 --> 21:58.000]  welcome 866-295-5305
[21:58.000 --> 22:03.000]  this is Dan Pilla do you owe the irs money you can't pay our tax debts crippling you
[22:03.000 --> 22:07.000]  i've defended people from the irs for over 30 years i've helped thousands and i can
[22:07.000 --> 22:11.000]  help you too i wrote the book on irs settlement and i'm telling you there's no such
[22:11.000 --> 22:17.000]  thing as a hopeless case call 834 no tax to finally get free of irs debt with the irs
[22:17.000 --> 22:22.000]  new programs there's never been a better time to solve your problem call 834 no tax
[22:22.000 --> 22:27.000]  that's 834 no tax or my website danpilla.com
[22:27.000 --> 22:33.000]  we've all heard the news stories another shooting and they're getting worse that's
[22:33.000 --> 22:39.000]  why infidel body armor introduces infidel fridays exclusive 24 hour insider deals to
[22:39.000 --> 22:44.000]  save you money and possibly save your life make it a favorite when you log on to
[22:44.000 --> 22:48.000]  infidel body armor dot com then be sure to visit each and every infidel friday to
[22:48.000 --> 22:53.000]  get special insider pricing but for 24 hours only that's infidel body armor dot
[22:53.000 --> 22:58.000]  com infidel body armor just won't quit
[22:58.000 --> 23:03.000]  it's time to build your own emergency food stockpile with the industry leader my
[23:03.000 --> 23:08.000]  patriot supply once you try them you'll know why so many americans like you have
[23:08.000 --> 23:13.000]  their emergency preparedness plan experience the my patriot supply difference
[23:13.000 --> 23:18.000]  today with this unbelievable offer right now a four week food supply is only
[23:18.000 --> 23:24.000]  $99 and that includes free shipping that's 50% off the online price call
[23:24.000 --> 23:30.000]  800 274 3070 to claim yours limit to per caller while supplies last this
[23:30.000 --> 23:34.000]  offer isn't available online so you want to make sure and grab this opportunity
[23:34.000 --> 23:41.000]  prepared today 800 274 3070 to get your four week food supply for the incredible
[23:41.000 --> 23:48.000]  price of only $99 and it'll be shipped to you completely free call 800 274 3070
[23:48.000 --> 23:55.000]  right now that's 800 274 3070 to claim yours while supplies last don't wait
[23:55.000 --> 24:08.000]  call today
[24:08.000 --> 24:10.000]  welcome back ladies and gentlemen we've got
[24:10.000 --> 24:18.000]  massive FBI patriot act news huge TPP news we stopped at the senate last week
[24:18.000 --> 24:23.000]  they went ahead and passed it out of committee big trouble ladies and gentlemen
[24:23.000 --> 24:27.000]  looks like it may pass now congress approval writing plunges to an all-time
[24:27.000 --> 24:31.000]  low that treason is coming up when I start the next hour I'm going to cover the
[24:31.000 --> 24:34.000]  main body of global news then we're going to continue to focus on the war on the
[24:34.000 --> 24:38.000]  first amendment rob do is going to come in the last 30 minutes or so with
[24:38.000 --> 24:42.000]  universities all over the country banning libertarians conservatives christians
[24:42.000 --> 24:49.000]  and pro veterans groups and pro police groups from being able to have
[24:49.000 --> 24:53.000]  demonstrations when they're even activist on campus or being able to hold
[24:53.000 --> 24:57.000]  up signs and again whether you're for the police or not or for pro livers or
[24:57.000 --> 25:02.000]  not or whatever they have cops shutting people's free speech down under
[25:02.000 --> 25:07.000]  orders it is it is anti-american it is the end of this country if it continues
[25:07.000 --> 25:11.000]  and speaking of that I didn't know who we were dealing with yesterday if you
[25:11.000 --> 25:16.000]  just joined us again Alex Jones here back live a lot of you watched it on the
[25:16.000 --> 25:20.000]  live free streams and info wars dot com four slash show where you listen on the
[25:20.000 --> 25:25.000]  radio but we're about an hour into the show and cover another news pop it in
[25:25.000 --> 25:34.000]  with jacari I see I see these bottom feeding cave dwelling glow in the dark
[25:34.000 --> 25:43.000]  crawl out from the under a rock scum show up I see him start pushing on people
[25:43.000 --> 25:47.000]  blocking signs I say that's it I'm going down there so I drive down on the live
[25:47.000 --> 25:51.000]  feed get there and pretty soon I realize oh I've seen this before they start
[25:51.000 --> 25:56.000]  saying I love the fact I killed my children I love Satan you know basically
[25:56.000 --> 26:01.000]  all whites are bad period don't try to help black people that's racist just
[26:01.000 --> 26:07.000]  true scum of the earth devilish stuff weird guys that look like vampires like
[26:07.000 --> 26:13.000]  zombies attacking people shy I mean right out of right out of all those
[26:13.000 --> 26:17.000]  images the guy looks like a serial killer I'm not saying he's a serial killer he
[26:17.000 --> 26:20.000]  just looks like the hillside strangler or something he has that same crazy
[26:20.000 --> 26:25.000]  look on his eye that same empty shark-eyed look and they're not trying to act
[26:25.000 --> 26:33.000]  like that they are given over to it just soulless zombo stairs and then talking
[26:33.000 --> 26:37.000]  about I kill all my kids and licking their lips and they're not saying that to
[26:37.000 --> 26:43.000]  sound crazy this is really what they're into it is a sacrament and I've run
[26:43.000 --> 26:46.000]  into a lot of women over the years that God you bet I had an abortion and I
[26:46.000 --> 26:50.000]  like it the devil loves it out here and I mean you'll have women they're clean
[26:50.000 --> 26:54.000]  cut and nice at the Texas Capitol two years ago saw pro-lifers praying and
[26:54.000 --> 26:58.000]  just suddenly women who didn't even know each other just circled hands and went
[26:58.000 --> 27:04.000]  Satan oh Satan hill Satan I mean we've played the video was national news you
[27:04.000 --> 27:09.000]  will see I mean where does this come from women who aren't even into the whole
[27:09.000 --> 27:16.000]  Gothic Pibb vampire movement suddenly going Satan Satan Satan Satan it's like
[27:16.000 --> 27:26.000]  something out of the exorcist your mother's in hell and when you see these
[27:26.000 --> 27:31.000]  people you realize oh my gosh whether it's an archetype group consciousness
[27:31.000 --> 27:36.000]  demons you know space aliens whatever you call it something is influencing these
[27:36.000 --> 27:42.000]  people these are demons they weren't always like this they are just crawling on
[27:42.000 --> 27:47.000]  the ground like grammar warm tongue or something from Lord of the Rings or
[27:47.000 --> 27:53.000]  Gollum you have never and it's just just want to grab mother's throat I mean
[27:53.000 --> 27:59.000]  these are maggots and then you go to their websites and it's just kill the
[27:59.000 --> 28:04.000]  police and they have a demonstrations with rotting pig heads and and and
[28:04.000 --> 28:11.000]  we're gonna get you and it's time for war and they're so weak and then the cops
[28:11.000 --> 28:15.000]  didn't arrest them treated them lovingly patted them and oh we're so sweet to
[28:15.000 --> 28:19.000]  them and then did nothing when they were running around assaulting and hitting
[28:19.000 --> 28:23.000]  people and breaking microphones and doing all this in front of everyone
[28:23.000 --> 28:28.000]  because the city of Austin supports this the city of Austin loves it
[28:28.000 --> 28:33.000]  George Soros funds these groups in fact we're looking into it through UT we're
[28:33.000 --> 28:36.000]  doing research we've already connected them to a group that is Soros funded and
[28:36.000 --> 28:43.000]  their top advisor which again is one of these Islamov fascist socialists I
[28:43.000 --> 28:48.000]  mean you just cannot make this stuff up you cannot I mean just being deployed
[28:48.000 --> 28:54.000]  by UT they have these Mao meetings at UT where they sit up and pretend that
[28:54.000 --> 28:58.000]  they're the new Politburo and are deciding who's gonna be reeducated I mean
[28:58.000 --> 29:05.000]  it's sick and this is standard this is standard in America they're in the
[29:05.000 --> 29:09.000]  national news saying Alex Jones wants to kill police Alex Jones is a terrorist
[29:09.000 --> 29:14.000]  Alex Jones wants violence no proof meanwhile there are bottom feeding
[29:14.000 --> 29:22.000]  exorcist candidates writhing around hissing like snakes just just we love
[29:22.000 --> 29:30.000]  Mao kill the police this is our country falling this is our country in judgment
[29:30.000 --> 29:36.000]  this is our country overrun by filth at every level it is just and then they
[29:36.000 --> 29:40.000]  lecture us about your racist like it has power like they're on some high horse
[29:40.000 --> 29:44.000]  and then some of that people are like no I just want to adopt black babies and you
[29:44.000 --> 29:48.000]  know I adopted minority babies yeah we'll see what happens I kill my babies
[29:48.000 --> 29:53.000]  we're gonna play that when we come back the empires on the run Alex Jones and
[29:53.000 --> 30:01.000]  the GCN radio network in case you missed it yesterday the hashtag
[30:01.000 --> 30:06.000]  black lives matter protest was interrupted by members of Red Guards Austin
[30:06.000 --> 30:10.000]  a political organization that admits they are a Marxist-Leninist Maoist
[30:10.000 --> 30:15.000]  collective these guardians of the people attempted to block other people's free
[30:15.000 --> 30:19.000]  speech yelled at them and then even started to agitate by bumping into
[30:19.000 --> 30:22.000]  people pushing people around and even stealing and breaking some of our
[30:22.000 --> 30:26.000]  broadcast equipment luckily it was all caught on camera and we were able to
[30:26.000 --> 30:30.000]  explain to the cops what happened if you go to the Red Guards Austin Facebook
[30:30.000 --> 30:33.000]  page you can see pictures of some of these individuals who showed up yesterday
[30:33.000 --> 30:37.000]  during the live broadcast we were able to show Facebook images of these
[30:37.000 --> 30:41.000]  individuals carrying communist sickles burning American flags and basically
[30:41.000 --> 30:45.000]  trying to get everybody into a race war against the police of course they were
[30:45.000 --> 30:49.000]  there dressed in all black saying we're here for women's health but then even
[30:49.000 --> 30:53.000]  on tape they talked about how they love to kill babies check out our YouTube
[30:53.000 --> 30:57.000]  videos on the Alex Jones channel and the articles on info wars dot com Rob Dew
[30:57.000 --> 31:01.000]  reporting for info wars dot com another major health threat this one in Toledo
[31:01.000 --> 31:05.000]  Ohio where everybody in the entire city has been told not to drink the water Ohio
[31:05.000 --> 31:09.000]  governor declaring a state of emergency did you know that the average person
[31:09.000 --> 31:15.000]  uses about 80 to 100 gallons of water at home every single day if there's a water
[31:15.000 --> 31:20.000]  emergency will you be prepared panicked residents forming long lines throughout
[31:20.000 --> 31:24.000]  the day we're here in a supermarket in Toledo you can see the shelves empty
[31:24.000 --> 31:29.000]  where water once was to stay safe and healthy during a crisis you must have
[31:29.000 --> 31:34.000]  access to safe clean water water which will not be available at your local
[31:34.000 --> 31:38.000]  grocery store there's a mad dash on right now to stock up on supplies the
[31:38.000 --> 31:43.000]  pro pure pro one g2.0 water filtration system is a must have for every modern
[31:43.000 --> 31:48.000]  independently minded household protect your family's safety during an emergency
[31:48.000 --> 31:53.000]  go to info wars store dot com today to purchase your pro pure pro one g2.0
[31:53.000 --> 32:01.000]  water filtration system or call 1-88-253-3139 in the near future when you
[32:01.000 --> 32:07.000]  realize how fake it all is the football the basketball security alert this is
[32:07.000 --> 32:12.000]  homeland security analysis info wars building independent media operation
[32:12.000 --> 32:17.000]  but the worst people get controlled and tell us that we are the ones responsible
[32:17.000 --> 32:22.000]  prime director discredit Alex Jones Jones is the wildly popular conspiracy
[32:22.000 --> 32:27.000]  theory popular conspiracy theory talk show called info wars Alex Jones is now
[32:27.000 --> 32:31.000]  in an Austin jail these people are assaulting us targeting of patriots
[32:31.000 --> 32:36.000]  engaged they're never going to stop they're never going to deviate from their
[32:36.000 --> 32:43.000]  program until we stop them block free iphone at info wars dot com block free
[32:43.000 --> 32:49.000]  podcast and video feed imperative
[32:49.000 --> 32:54.000]  on the enemy not worry about what propaganda they put out intellectually
[32:54.000 --> 32:59.000]  it's begun you can feel it
[33:05.000 --> 33:10.000]  aborted babies incinerated to heat UK hospitals
[33:10.000 --> 33:16.000]  silent green ladies and gentlemen is made out of people but now children are
[33:16.000 --> 33:21.000]  literally being passed through the furnace in order to fuel hospitals in the
[33:21.000 --> 33:26.000]  UK they're being sacrificed on the altar of efficiency and prosperity
[33:26.000 --> 33:36.000]  the powder flesh from dead babies some people believe they can cure disease
[33:36.000 --> 33:41.000]  because of its enormous popularity silent green is in short supply
[33:41.000 --> 33:46.000]  remember Tuesday is silent green day the supply of soil and green has been
[33:46.000 --> 33:52.000]  exhausted you must evacuate the area
[33:52.000 --> 33:58.000]  that the shareholders of Pepsi co big builder bird group company are not
[33:58.000 --> 34:03.000]  allowed to know what they're using the baby parts for foreign the flavoring
[34:03.000 --> 34:08.000]  but we already know so enjoy the flavor we're going to get the real solution
[34:08.000 --> 34:11.000]  which is going to be a combination of death panels and and sales taxes
[34:11.000 --> 34:16.000]  I'm consistently pro-death I'm for assisted suicide I'm for regular
[34:16.000 --> 34:20.000]  I'm for whatever gets the freeway moving is spending a million dollars on that
[34:20.000 --> 34:25.000]  last three months of life for that patient would it be better not to lay off
[34:25.000 --> 34:30.000]  the those 10 teachers and to make that trade up in medical costs but that's
[34:30.000 --> 34:34.000]  called the death panel and you're not supposed to have that discussion
[34:34.000 --> 34:41.000]  they told me to say that they were sorry but you had become unreliable
[34:48.000 --> 34:52.000]  is this the kind of society that you want to live in any kind of society
[34:52.000 --> 34:56.000]  that would do this to its children will do it to its senior citizens
[34:56.000 --> 35:00.000]  it will do it to its descendants that kind of society will also eventually
[35:00.000 --> 35:05.000]  turn on its police on its army on its prison guards on the quiz lings and
[35:05.000 --> 35:10.000]  the collaborators who make that possible this is nothing but a suicide cult
[35:10.000 --> 35:15.000]  the scoops are on their way the scoops are on their way
[35:15.000 --> 35:19.000]  I repeat the scoops are on their way
[35:19.000 --> 35:24.000]  you will find out why soylent green means life you will find out why soylent
[35:24.000 --> 35:31.000]  green means death we gotta stop them
[35:31.000 --> 35:36.000]  silent green is people
[35:36.000 --> 35:42.000]  they gotta stop them next thing they'll be breeding is like cattle for food
[35:42.000 --> 35:46.000]  you gotta tell them
[35:46.000 --> 35:50.000]  and that piece was made two years ago
[35:50.000 --> 35:54.000]  which one of our great info warriors put that piece together I forget
[35:54.000 --> 35:58.000]  is it Jacari Jackson was it Darren McBreen I think it was Darren
