[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[07:05.000 --> 07:09.000]  But those that knew him privately knew he knew God controlled battlefields.
[07:09.000 --> 07:11.000]  God controlled governments.
[07:11.000 --> 07:13.000]  God controls the games.
[07:13.000 --> 07:22.000]  And all his success was because of his love of God and being in line with God.
[07:22.000 --> 07:29.000]  So never forget, we worship the true God that created the universe and all of us.
[07:29.000 --> 07:36.000]  And the satanic globalists trying to take control of us and trying to play God are fallen and are failed.
[07:36.000 --> 07:43.000]  And we need to just keep our eyes on Christ and never back down and never surrender.
[07:43.000 --> 07:47.000]  At four o'clock today, we're going to march back to the Supreme Court.
[07:47.000 --> 07:49.000]  You got some other great folks at Freedom Plaza.
[07:49.000 --> 07:52.000]  If some of you aren't here later, go get them.
[07:52.000 --> 07:55.000]  Leave them to Supreme Court at four at this great event.
[07:55.000 --> 07:56.000]  But pray for America.
[07:56.000 --> 07:57.000]  Pray for the world.
[07:57.000 --> 07:58.000]  Pray for Trump.
[07:58.000 --> 08:00.000]  And realize you're not going to get instant gratification.
[08:00.000 --> 08:02.000]  But with Trump, it's as close as it got.
[08:02.000 --> 08:04.000]  Look how far we've come.
[08:04.000 --> 08:06.000]  Look at what we've been able to do.
[08:06.000 --> 08:08.000]  And this is just the beginning.
[08:08.000 --> 08:11.000]  I'm going to turn this over to my buddy for two minutes.
[08:11.000 --> 08:13.000]  My great cohost at infoawards.com.
[08:13.000 --> 08:14.000]  Owen Schreuer.
[08:14.000 --> 08:18.000]  And then the next great, the next great guest you're coming up at.
[08:18.000 --> 08:20.000]  But remember this.
[08:20.000 --> 08:27.000]  God ordained this Republic to stand against the Satanic empires, the Nazis and the Communists and others.
[08:27.000 --> 08:36.000]  And so 1776 is God's number of victory over the Satanic 1984.
[08:36.000 --> 08:38.000]  God bless you all.
[08:38.000 --> 08:39.000]  And I salute you.
[08:39.000 --> 08:41.000]  Thank you, Jesus.
[08:41.000 --> 08:55.000]  Ladies and gentlemen, thank you so much for joining us on this live Monday, December 14, 2020 transmission.
[08:55.000 --> 09:00.000]  And today is the day that the electors are supposed to vote.
[09:00.000 --> 09:03.000]  Whether they are going to be faithful or faithless.
[09:03.000 --> 09:09.000]  But when the Democrats and the globalists steal an election, it is not just the right of the electors.
[09:09.000 --> 09:16.000]  It is the duty of those electors to do that.
[09:16.000 --> 09:22.000]  And so when the electors, I predict, will mainly go for Biden from the states that went for Biden.
[09:22.000 --> 09:27.000]  Then you'll have some faithless that will say that there was enough fraud that they're going to go with Trump.
[09:27.000 --> 09:32.000]  But I think they're going to try to claim that the electoral college has certified Biden today.
[09:32.000 --> 09:34.000]  Now that's not really true.
[09:34.000 --> 09:36.000]  There are more checks and balances.
[09:36.000 --> 09:38.000]  And I've got some reports I'll be laying out.
[09:38.000 --> 09:49.000]  We've got Joe Hoff, he's a really smart statistician and big international auditor who has been the really the leading person out of a constellation of amazing researchers out there.
[09:49.000 --> 09:52.000]  There's been exposing the wide spectrum of fraud.
[09:52.000 --> 09:55.000]  He will be joining us, I believe, for the entire third hour.
[09:55.000 --> 10:07.000]  So we'll try to give him the floor to walk through just historically from the perspective of how big this theft is from the American people and if they're able to complete it, what we expect to come after that as well.
[10:07.000 --> 10:10.000]  We cannot give up yet.
[10:10.000 --> 10:11.000]  And I want to explain something.
[10:11.000 --> 10:16.000]  This is very complex, but it's also very, very simple at the same time.
[10:16.000 --> 10:22.000]  And so I'm going to try really my best to do this right now, because I want to tell you the truth.
[10:22.000 --> 10:25.000]  And I want to tell you what's really happening.
[10:25.000 --> 10:35.000]  And I want to give you my perspective and vision of how the globalist criminal continuum operates and where the central brain of it is taking us.
[10:35.000 --> 10:44.000]  And not even where the minion globalists think they're going or even their top generals and top wizards really don't get the full import of where they're going.
[10:44.000 --> 10:52.000]  That's why they want me off the air because they don't like their minions hearing what losers they are and how they're going to be destroyed.
[10:52.000 --> 11:17.000]  And that's why they're working very, very hard with over a thousand articles showing up on Google News alone over a thousand The New York Times, The Washington Post, RT, Daily Mail, Newsweek, calls for Alex Jones to be arrested after speech about removing Biden.
[11:17.000 --> 11:20.000]  Now, why do they want me arrested?
[11:20.000 --> 11:25.000]  Well, they say I death-threaded him. That's not what I did. And that's actually the last thing I want.
[11:25.000 --> 11:32.000]  This hit me talking on both sides of my mouth where I kind of make a veiled thread and then, and then, and then, oh, we don't want him to get hurt.
[11:32.000 --> 11:39.000]  The last thing we want is violence, especially towards that creature. They're planning to get rid of him and bring in Kamala.
[11:39.000 --> 11:50.000]  He's already said I might faint an illness and quit if the people running my operation don't agree with me. I mean, wow. Wow.
[11:50.000 --> 11:54.000]  I'm not going to play the clip. You heard it last week.
[11:54.000 --> 11:59.000]  So that's what this is turned into.
[11:59.000 --> 12:11.000]  And so it's not about Alex Jones. It's about they see me as the symbol of the populist movement that got Trump elected. They admit that. They've had CIA whole operations groups trying to get us off air.
[12:11.000 --> 12:22.000]  A bunch of leftists, a lot of patriots in the CIA and in the FBI and in the military have been supportive of us and they're good people, but they're not in the management positions.
[12:22.000 --> 12:35.000]  And they're just as disgusted as I am and very upset, but you've seen them striking back all the news of the Bidens being Communist Chinese agents and having all those files on top Americans that have been infiltrated by their Chai Comm operatives.
[12:35.000 --> 12:41.000]  I'm going to be talking about that coming up at the start of the next hour. Also tend to open the phones up.
[12:41.000 --> 12:52.000]  You know, I've met with former top folks.
[12:52.000 --> 13:02.000]  And I'll just leave it at that. And we had some interesting meetings and I separately ran into General Flynn and his security team ran up.
[13:02.000 --> 13:11.000]  They were behind the stage about to speak at the Jericho event that I was about to speak yet. You just saw some of and you saw me kind of jumped like you saw a ghost.
[13:11.000 --> 13:17.000]  I said, are you scared? He said, no, no, thank you for working with my son. I really appreciate your work. And then he turned away from me.
[13:17.000 --> 13:25.000]  And I said, hey, don't be scared. Come here and shake my hand. Are you scared to be on camera with me? And he said, no, no, no, I'm just, but he seemed really scared.
[13:25.000 --> 13:32.000]  And I get it. Flynn's a great guy. But the judge had just re indicted him illegally. There's no such thing as he did it though.
[13:32.000 --> 13:40.000]  And so we don't care about your pardon. We're going to re indict you and send you to prison. So Flynn is just shell shocked and I get it.
[13:40.000 --> 13:47.000]  And people who scared of me. I mean, when you get seen on stage with me, they come after you. And I think Flynn's already been attacked so much.
[13:47.000 --> 13:57.000]  I met with some of the other military people and one fellow ran some of the current operations for Trump.
[13:57.000 --> 14:05.000]  And I'll just leave it at that. And that was a good meeting. And they told me about some of the things that we should relate to the listeners.
[14:05.000 --> 14:10.000]  And so a lot happened in Washington, DC.
[14:10.000 --> 14:18.000]  I was right there in a hotel next to the White House. So we were able to have some meetings. They sent the secret service over to see us.
[14:18.000 --> 14:27.000]  And they sent some other people over to have little conversations with us. And they took our phones over our remote control and just to let us know they were in charge.
[14:27.000 --> 14:38.000]  And it was a very interesting time. But the army came by and one of Trump's he ran major operations for a while for Trump.
[14:38.000 --> 14:42.000]  And another individual dropped by. We had a nice little conversation.
[14:42.000 --> 14:49.000]  But let's just say we were both the feds told us we were under surveillance. So it was it was quite the trip.
[14:49.000 --> 14:56.000]  It's like you're under surveillance. We're here to follow you. We know you're good. Just we're in order to be here because Biden's already taken over.
[14:56.000 --> 15:04.000]  Biden's already in charge. Basically, everybody's abandoned Trump. 99% of people positions of power. They're all wanting their next job.
[15:04.000 --> 15:09.000]  Well, Trump's own daughter won't even say he really won his son's will.
[15:09.000 --> 15:15.000]  So everybody is just thinking about themselves right now them Don Jr.
[15:15.000 --> 15:27.000]  And so that's why we got to be honest with you about the stakes and you know where things are because this is not a game for the fate of heart.
[15:27.000 --> 15:37.000]  You know, you're tough. Well, they try to put your ass in prison and follow you around 24 seven. A lot of people get scared because they just can't believe America is like the Soviet Union.
[15:37.000 --> 15:45.000]  It's not that they're scared. They're startled. All right, we'll be right back in full wars.com and news wars.com tomorrow's news today.
[15:45.000 --> 15:53.000]  There is a path to victory. It's a little bit different than what you thought. That's why God works in mysterious ways. I'm Alex Jones.
[15:53.000 --> 16:06.000]  Let's tell folks to tune in. Introducing info wars life. Pure turmeric extract. This is taken under the tongue. It is pure turmeric.
[16:06.000 --> 16:15.000]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[16:15.000 --> 16:23.000]  This is absorbed under the tongue into the bloodstream and then the remaining also is absorbed by the stomach. So it's more of an intense delivery system.
[16:23.000 --> 16:30.000]  The two formulas are different, but both are concentrated and our first product got rave reviews. We've now been testing this out for several months.
[16:30.000 --> 16:38.000]  Some of our staff like it more than bodies. Some like bodies better. For me, they're both amazing for their anti inflammatory action and so much more.
[16:38.000 --> 16:48.000]  And they find the info war. So get our new liquid turmeric extract exclusively info wars.com today. An additional 25% off. This is a 360 win.
[16:48.000 --> 17:10.000]  Turmeric is renowned for what it does for all of our bodies for inflammation and so much more. Get yours today at info wars life.com. It's time to show them what a real alpha male looks like with one of our most powerful products ever made alpha power.
[17:10.000 --> 17:24.000]  The test of time and assist in restoring that lost energy and move that comes with time and a alpha powers incredible ingredients can help you boost your sports performance or enhance your day to day life with heat while encouraging hormonal balance.
[17:24.000 --> 17:37.000]  Perfect by itself or with super male vitality in the true alpha male path alpha power can help boost performance help maintain normal testosterone levels support healthy cholesterol and more.
[17:37.000 --> 17:58.000]  Let alpha power help bring you to the peak of your optimal health. Don't fall short on energy in the fight against tyranny. Show the world what a true alpha male looks like today with alpha power head to info wars store.com today.
[18:07.000 --> 18:26.000]  Here's the good news.
[18:26.000 --> 18:29.000]  And it's the bad news at the same time.
[18:29.000 --> 18:40.000]  I told you that I would tell you the truth about our situation. It's fantastically horrible. But on the end of it the enemies destroyed.
[18:40.000 --> 18:52.000]  So I'm going to really try to unpack that statement and I think you all know that's true. I think you all know we deserve what's about to happen to us.
[18:52.000 --> 19:02.000]  That are on the devil side really deserve it. So let's just go through this together and get closer to Christ.
[19:02.000 --> 19:21.000]  You already have to go to the other side of the planet to hear there's HIV in the vaccine. You have to go to the other side of the planet to even hear that a major leak of Chinese government documents how they took over the Democratic Party and how they took over the major fortune 100.
[19:21.000 --> 19:36.000]  But again that's part of the process. And this face sucking globalist system is going to be so hard to get off of us that it's going to kill us in the process.
[19:36.000 --> 19:51.000]  Metaphysically. But see countries and populations and ideas are transcendent. So you can have the death of something but then it rises again.
[19:51.000 --> 20:00.000]  So I'll try to unpack that and lay that out but this is the real world because I don't want you to get demoralized when they put Joe Biden in on January 20th.
[20:00.000 --> 20:11.000]  And right now on our current trajectory. That's what's going to happen. Remember I told you about the 79 days of hell. Told you about all the real stuff. This isn't fantasy land stuff.
[20:11.000 --> 20:20.000]  This isn't breadcrumbs on the Internet. This is the real stuff guys.
[20:20.000 --> 20:30.000]  It really comes down to a choice of what are we going to do because the New World Order is going to put us into a total depression. They're never going to take their boot off our neck. We're going to have to take the boot off our neck.
[20:30.000 --> 20:41.000]  And when we try to just defend ourselves they're going to call that violent. That's why they're saying I called for violence and called for the murder of Joe Biden though that's not true because they're putting that idea out.
[20:41.000 --> 20:52.000]  So I can be made an example of that when they just accuse you of that you get killed or you get arrested because that's the wheelhouse we're going into. And if you think you can hide from this.
[20:52.000 --> 21:01.000]  And if you think you can just grovel to them and you'll survive longer than others. That's how their whole algorithm works and it's how they get everybody.
[21:01.000 --> 21:08.000]  So I'm here to be first in line. Just like I was first in line to be totally banned and demonized. I'm first in line.
[21:08.000 --> 21:19.000]  Kill me. Put me in prison do whatever it is. I'm not backing down. I'm not signing on to your Satanism. And I pray to God to give me strength and I commit my soul into Jesus Christ hands.
[21:19.000 --> 21:34.000]  And that's it. Because it's you that serves Satan that will have vengeance delivered on you by God, not by me. I'm not going to harm a hair on your filthy head Joe Biden. God is going to use you to destroy the New World Order.
[21:34.000 --> 21:45.000]  As God uses all evil men in the end to bring down the system. But God's got to have good men that are willing to stand.
[21:45.000 --> 21:55.000]  Anyway, since I mentioned Australia, here's a clip of them talking about the big chai con thing. It's hardly on the news here or it's like, oh, big deal with Chinese run everything. Here it is.
[21:55.000 --> 22:10.000]  But tonight I start with some breaking news that will be front page of the Australian tomorrow and big news in the UK as well. Amid rising tensions in the Australia-China relationship, there has now been a major leak of official records from the Chinese Communist Party.
[22:10.000 --> 22:28.000]  It is believed to be the first leak of its kind in the world. A register with the details of nearly 2 million Communist Party members. It includes their name, party position, birth date, national ID number, ethnicity, and in some cases, even their phone number.
[22:28.000 --> 22:40.000]  What's amazing about this database is not just that it exposes people who are members of the Communist Party and who are now living and working all over the world from Australia to the US to the UK.
[22:40.000 --> 22:48.000]  But it's amazing because it lifts the lid on how the party operates under President and Chairman Xi Jinping.
[22:48.000 --> 22:58.000]  But this leak shows that party branches are embedded in some of the world's biggest companies and even inside government agencies. That's right.
[22:58.000 --> 23:14.000]  Communist Party branches have been set up inside Western companies, allowing the infiltration of those companies by CCP members who, if called on, are answerable directly to the Communist Party, to the Chairman, the President himself.
[23:14.000 --> 23:29.000]  Along with the personal identifying details of 1.95 million Communist Party members, mostly from Shanghai, there are also the details of 79,000 Communist Party branches, many of them inside companies.
[23:29.000 --> 23:53.000]  This leak, and it's going to be front page of the Australian Tomorrow and a big story in the UK as well, is a significant security breach that is likely to embarrass the Chinese President. But it's also going to embarrass some global companies who appear to have no plan in place to protect their intellectual property from theft, from economic espionage.
[23:53.000 --> 24:06.000]  Now, Australia is a very sophisticated question, and it's a very sophisticated government that has been put in charge by the British Crown from beginning to oppress their great people.
[24:06.000 --> 24:14.000]  But they have a great culture at the same time, and the Chai comms almost took Australia over completely.
[24:14.000 --> 24:26.000]  And they've got most of their major cities are run by Chai comm double agent operatives, so they're in the middle of trying to remove it. And the Chai comms are one dimensional, they thought just shut off all the Western economies and hurt people.
[24:26.000 --> 24:37.000]  The central government of Australia has been letting the Chai comms shut them down to then now blame them and fully get them out of there.
[24:37.000 --> 24:46.000]  So the Aussies really pulled something on the Chai comms, I can tell you. And that's what we need here. That's what we need Trump to do.
[24:46.000 --> 24:53.000]  And I'll talk about it next segment. He's just come out and completely level with everybody and just point blank, state it like it is.
[24:53.000 --> 25:00.000]  And by the way, Trump doesn't need me to tell him that. What do you think all this is you're about to see?
[25:00.000 --> 25:07.000]  I'm just telling you, the globalists are not intending to stop even when it comes out there Chinese agents. And it's totally illegal.
[25:07.000 --> 25:16.000]  Because then it comes down to the point where, well, the FBI is in charge of that. And they're not going to do a damn thing, because they're so compromised.
[25:16.000 --> 25:22.000]  And they're not just blackmailing people for money they took 20 years ago or whatever, they're threatening to kill them.
[25:22.000 --> 25:29.000]  And most people can't handle their wife having somebody come up to them at the grocery store and threaten to cut their head off.
[25:29.000 --> 25:41.000]  Most people can't handle, you know, really scary men messing with their kids at school and, you know, like calling up Jim Garrison and saying, hey, we saw your little girl playing in the backyard.
[25:41.000 --> 25:47.000]  They were in that Pugatot dress. We're going to cut her head off, son of a bitch. But first we're going to rape her to death.
[25:47.000 --> 25:55.000]  Well, Jim Garrison had guts. He didn't back down, but most people can't handle it.
[25:55.000 --> 26:04.000]  And, you know, that's why when I saw General Flynn, and he was basically like really shaken. See, it's in and like the leftist Q side thing.
[26:04.000 --> 26:10.000]  Oh, look, the great Flynn, it doesn't like Jones. No, he said, thank you for working with my son. Thank you for what you've done.
[26:10.000 --> 26:17.000]  And then turned away looking for cameras because he doesn't want to get in more trouble and have more problems being associated with me.
[26:17.000 --> 26:29.000]  It doesn't matter. When General Flynn was off running Defense Intelligence Agency, I was in the trenches of America, waging war on the globalist and waking the entire planet up to build the platform of the resistance.
[26:29.000 --> 26:37.000]  And that's what we've done. And it's people power and ground power that's going to defeat the New World Order, not Alex Jones, not General Flynn, not Donald Trump.
[26:37.000 --> 26:43.000]  It's going to be you not submitting and taking action in this whole thing.
[26:43.000 --> 26:48.000]  Now, do you think Flynn's just scared of the M4 war and scared of the association with it?
[26:48.000 --> 26:54.000]  Imagine how the globalists feel about it. They fear you. That's why they hate me.
[26:54.000 --> 26:58.000]  LEMSTER's dictionary has a very simple definition of terrorism.
[26:58.000 --> 27:08.000]  Other dictionaries have similar ones. Terrorism is the threat of force or actually carrying out force for a political or financial reason.
[27:08.000 --> 27:12.000]  It's basically scaring the hell out of people until you submit to them.
[27:12.000 --> 27:16.000]  That's exactly what all this overblown COVID-19 garbage is.
[27:16.000 --> 27:20.000]  You see the headlines from CNN, ABC News. Doctors say it's worse than they ever thought.
[27:20.000 --> 27:23.000]  COVID more devastating than they could ever imagine.
[27:23.000 --> 27:29.000]  They told us that two and a half million people would be dead just eight months ago, within three months.
[27:29.000 --> 27:35.000]  Okay? It's a quarter million if you count all of the people that died of other things.
[27:35.000 --> 27:39.000]  We're talking 96% had comorbidity. These are real numbers. These are real facts.
[27:39.000 --> 27:44.000]  This is the chicken little event where we all run our houses, never come out and are taught we're not essential.
[27:44.000 --> 27:47.000]  Well, the big box stores in Amazon take over the planet.
[27:47.000 --> 27:54.000]  You could stand up against it. This is slavery. It is not something you can put up with and survive.
[27:54.000 --> 27:59.000]  I've got some really exciting good news and I've also got some bad news.
[27:59.000 --> 28:06.000]  M4 Wars is getting the highest traffic we have ever gotten since the election in 2016.
[28:06.000 --> 28:13.000]  Despite all the bans, all of the system trying to censor us and suppress us, you with your word of mouth have overridden that
[28:13.000 --> 28:19.000]  and they are so scared of M4Wars.com and Bandod video and they're so scared of you being able to communicate and share the truth.
[28:19.000 --> 28:24.000]  But we're bringing in the same amount of money we brought in last December right now.
[28:24.000 --> 28:28.000]  This is our most important month to be able to fund ourselves in the next year.
[28:28.000 --> 28:31.000]  And I understand the economy shut down. I understand there's not as much money as there used to be.
[28:31.000 --> 28:35.000]  They're trying to kill Trump's recovery, but M4 Wars really needs your support.
[28:35.000 --> 28:41.000]  You just buy great items. Do your Christmas shopping at M4Wars.com with huge sales, amazing products.
[28:41.000 --> 28:48.000]  And then you know you're funding the M4 War and not funding Amazon and Jeff Bezos and the globalists that are openly trying to destroy small businesses.
[28:48.000 --> 28:54.000]  Continue to fund the Second American Revolution while getting great products at the same time at M4Wars.com. Thank you.
[28:54.000 --> 28:58.000]  Three months ago we sold out of our privacy pouches.
[28:58.000 --> 29:06.000]  The reason we sold out is they are super high quality and it's all over the news that the UN and the Clintons and Microsoft and others
[29:06.000 --> 29:09.000]  and contact tracers are tracking everywhere you go and everything you do.
[29:09.000 --> 29:14.000]  They admit it's a cover for bringing in their cashless society, AI system of total control.
[29:14.000 --> 29:19.000]  So to block the UN, to block the globalists, to get in the habit of realizing what a surveillance system phones are,
[29:19.000 --> 29:25.000]  everybody needs a privacy pocket. They fit almost all sizes of droids and iPhones from small to big.
[29:25.000 --> 29:29.000]  They also make a great gift to educate friends and family about what's going on.
[29:29.000 --> 29:34.000]  Now again, there's lots of privacy pocket type systems out there, most of them are about 90% effective.
[29:34.000 --> 29:40.000]  We found a model that's actually pretty inexpensive and has around 99% effectiveness.
[29:40.000 --> 29:43.000]  If you're right under a cell tower, it'll still blast through the fair day cage.
[29:43.000 --> 29:50.000]  They're at M4Wars.com at $19.95. This exact same system is sold everywhere else for $29. It's still a great deal.
[29:50.000 --> 29:53.000]  We sell a lot of these. We have the best price. It is a great Christmas gift.
[29:53.000 --> 29:55.000]  M4Wars.com
[30:23.000 --> 30:28.000]  I was riding on a folk coast and everything was fine.
[30:28.000 --> 30:32.000]  So we took a shorter road to save some time.
[30:32.000 --> 30:37.000]  The bandits only fired once. They shot me in the chest.
[30:37.000 --> 30:44.000]  They may have wounded me, but they'll never get the best of better men.
[30:44.000 --> 30:46.000]  The better men have got to stand.
[30:46.000 --> 30:52.000]  Better men have got to realize that this is part of the continuum.
[30:52.000 --> 30:55.000]  This is part of the fight.
[30:55.000 --> 31:00.000]  And it's got to be us that puts our weight and our will against the new order and never surrenders,
[31:00.000 --> 31:06.000]  and who become invigorated in the fight, not exhausted.
[31:06.000 --> 31:11.000]  You know, during the break, the great camera operator and boom operator, John,
[31:11.000 --> 31:14.000]  that does an amazing job as a smart guy, too, because we love the news tips.
[31:14.000 --> 31:18.000]  He goes, hey, are you going to hit the giant forensic audit confirmed by the state of Michigan
[31:18.000 --> 31:23.000]  of total systematic fraud, Dominion designed as an organized crime unit to carry out fraud
[31:23.000 --> 31:26.000]  at an industrial level?
[31:26.000 --> 31:33.000]  That's a big, respected auditing firm. The judge authorized its release.
[31:33.000 --> 31:36.000]  Of course, it's designed for fraud by dictators, for dictators.
[31:36.000 --> 31:41.000]  The Chai comms put 400 million into it on October 7th.
[31:41.000 --> 31:43.000]  And yes, I am going to cover that.
[31:43.000 --> 31:48.000]  Joe Hoft is a big statistician auditor, corporate auditor.
[31:48.000 --> 31:51.000]  He has been tipping the spear, exposing a lot of this.
[31:51.000 --> 31:54.000]  He's going to be on in the third hour to go into all of it and great detail,
[31:54.000 --> 31:56.000]  but I want to explain something.
[31:56.000 --> 32:01.000]  I'm glad John raised that because this is the point I was about to already make before he said that to me.
[32:01.000 --> 32:06.000]  None of this matters if we don't expose that Joe Biden's a communist Chinese agent.
[32:06.000 --> 32:09.000]  And even if he won the election, which he didn't, he is illegitimate.
[32:09.000 --> 32:13.000]  We must start that attack now before he weasels his way in there,
[32:13.000 --> 32:18.000]  that he cannot be allowed to be the damn president.
[32:18.000 --> 32:22.000]  Imagine if you said, you know, I bet underneath that piece of plywood over there in the junkyard,
[32:22.000 --> 32:26.000]  there's a rattlesnake. You go lift it up, there's no rattlesnake.
[32:26.000 --> 32:29.000]  Well, I bet over there there's a water moccasin underneath that barrel.
[32:29.000 --> 32:31.000]  You know, there's no water moccasin.
[32:31.000 --> 32:34.000]  Well, I bet there's a copperhead in those plants over there.
[32:34.000 --> 32:36.000]  I saw one. You go over there, there's no copperhead.
[32:36.000 --> 32:41.000]  Now that's the Democrats about Trump being a Russian agent.
[32:41.000 --> 32:46.000]  Joe Biden is a barrel of snakes, a snake farm.
[32:46.000 --> 32:51.000]  Just snakes? What snakes are like? It's like Indiana Jones Temple of Doom.
[32:51.000 --> 32:54.000]  There's just snakes everywhere.
[32:54.000 --> 32:59.000]  When it comes to communist China and Russia, the guy is a slot machine.
[32:59.000 --> 33:02.000]  The guy is a vending machine.
[33:02.000 --> 33:11.000]  The guy literally sells out multi-billion dollar deals for like a million dollars apiece.
[33:11.000 --> 33:14.000]  He sells out 20 billion dollar deals for 20 million.
[33:14.000 --> 33:21.000]  I mean, the guy would sell his mother for a stick of bubble gum.
[33:21.000 --> 33:27.000]  He is the greatest lawyer, sack of garbage, no vision, no nothing.
[33:27.000 --> 33:31.000]  He'll do anything.
[33:31.000 --> 33:37.000]  And so that's what needs to be exposed is that, yeah, the media is covering up all the fraud.
[33:37.000 --> 33:39.000]  Yeah, they're threatening the legislatures.
[33:39.000 --> 33:41.000]  Yeah, they're threatening the Supreme Court.
[33:41.000 --> 33:46.000]  Yeah, we're being betrayed because the swamp is made out of weak people that comply.
[33:46.000 --> 33:53.000]  The system's been weakening us and getting rid of strong individuals for decades.
[33:53.000 --> 33:55.000]  Here's an illustration.
[33:55.000 --> 34:04.000]  Major transgender activist group calls for all boys to be sterilized.
[34:04.000 --> 34:07.000]  People are like, wow, what do you think the goal is?
[34:07.000 --> 34:11.000]  The newer lawyer wants to get rid of a group, Europeans, the West.
[34:11.000 --> 34:13.000]  You kill them in.
[34:13.000 --> 34:16.000]  Well, you can't like Pharaoh, who ordered the firstborn of the Israelites killed.
