[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[16:38.000 --> 16:46.000]  Silver Lungs. With the addition of our unique lung delivery system, respiratory infections are targeted directly where traditional oral administration simply cannot reach.
[16:46.000 --> 16:52.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[16:52.000 --> 16:59.000]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com. That's SilverLungs.com.
[17:22.000 --> 17:38.000]  The United States of Empire is a book that claims the United States is the Empire of the World. George Washington had warned us against foreign wars.
[17:38.000 --> 17:44.000]  The United States of Empire shows that World Wars I and II left England broken.
[17:44.000 --> 18:00.000]  In his former colony, the U.S. had to save the Empire. Was there ever a vote? Who do we fight for? The Deep State began with World War I, the United States of Empire, by James Dunn, available at Amazon Books.
[18:00.000 --> 18:15.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[18:15.000 --> 18:23.000]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[18:23.000 --> 18:34.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean. Carefully harvested and free of toxic chemicals used in big agricultural productions,
[18:34.000 --> 18:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:49.000]  You can even choose to start your morning healthier with the immune support blend, infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 19:00.000]  It's time to take care of your morning routine. Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:19.000 --> 19:39.000]  Hey, how would you like to take info wars with you wherever you go? Well, now you can do just that with the new official info wars end.
[19:39.000 --> 19:51.000]  And here's the best part. It is absolutely free at the Apple Store and Google Play. You can join the info war today. Check it out right now at info wars.com forward slash app app.
[19:51.000 --> 20:12.000]  It's the info wars official app taken on the globalist at point blank range. And with your help spreading it and with your help downloading it, we are unstoppable.
[20:51.000 --> 21:12.000]  Ladies and gentlemen, we are back live broadcasting worldwide as another Chi Com operative. He certainly gave them US money for Chinese globalist projects around the world, steps down from the World Bank leadership as the head of it.
[21:12.000 --> 21:25.000]  And it's absolutely central and critical to everything for folks to understand that the globalist, the Rockefeller UN combined set up China since 49 to take over the world economically and militarily.
[21:25.000 --> 21:35.000]  And they gave them all one sided deals. We've been in Afghanistan 18 years, mainly so that China can now extract up to $44 billion a year in rare earth minerals.
[21:35.000 --> 21:48.000]  We extract zero out of Afghanistan. We're there for their security so they can come in with their heavy equipment and mine it out and then a few US and global traders make money with the Chi Coms.
[21:48.000 --> 22:05.000]  That's how these companies are profitable. If you've got $100 billion on average a year of US security in Afghanistan alone to haul all that lithium and other goodies out of there, then it's pretty profitable.
[22:05.000 --> 22:20.000]  Remember when we took over Iraq and the US got zero of the oil but China and France got it all? And everybody was saying, oh, Bush is doing it for oil. No, Bush was a globalist trader.
[22:20.000 --> 22:38.000]  His father set up the deal with China in the 70s to open it up and do this deal. George Herbert Walker, the devil, the globalist, the Democrat Republican, the Rockefeller Republican, he set up the deal with the Rockefellers in the 70s.
[22:38.000 --> 22:53.000]  And when Nixon balked at it being a one-sided deal, they removed him. Early 70s. Has been going on before that, but it's been official. So you have to understand, we go in and spend, what was the Iraq War? $3 trillion?
[22:53.000 --> 23:05.000]  To secure trillions in oil for the Chi Coms. Nice little deal, but then the money's back channeled to the Bushes who walk around where cowboy has to go, I'm a good taxing boy.
[23:05.000 --> 23:15.000]  I'm going down to Dairy Queen having me about Buster today.
[23:15.000 --> 23:31.000]  Think about that. In Iraq, and I can go further. Oh, oh, who had the deal? In 1980, the deal was signed in 1978, Jimmy Carter transferred the Panama Canal that no one can even build today, they think.
[23:31.000 --> 23:36.000]  Tens of thousands died building it. The French couldn't build 10% of it. We came in and built it.
[23:36.000 --> 23:42.000]  Teddy Roosevelt, we just gave it to him.
[23:42.000 --> 23:54.000]  Just like we gave him the missile technology and the hydroelectric technology and the aerospace technology and the nanotech technology and the genetic engineering technology.
[23:54.000 --> 24:03.000]  And then had regulations here, which I agree with, that didn't let us do immoral things like cloning, but let them all do it in China.
[24:03.000 --> 24:07.000]  How you like them apples?
[24:07.000 --> 24:18.000]  So this has been the complete bleeding out of America, basically taking blood transfusions from us and giving it to China until we're now a shriveled person from these vampires.
[24:18.000 --> 24:29.000]  And Trump says, you know what? You're not going to fully kill us. And they go, you are the enemy. Get rid of him, says Hollywood and the Democrats and the neocons and the woke William Crystal.
[24:29.000 --> 24:37.000]  Now the left's like, man, we like William Crystal, the neocon war monger that was for all these evil wars and selling America out in one side of trade deals.
[24:37.000 --> 24:52.000]  Now the Democrats on MSNBC call him woke and hip hop rappers go, man, you're woke, bro. Praising their war monger and saying, how dare Trump?
[24:52.000 --> 25:02.000]  How dare him try to pull us out of these wars? How dare him pass criminal justice reform so black people don't get triple the sentences for the same drugs that whites use?
[25:02.000 --> 25:08.000]  How dare you literally are saying this?
[25:08.000 --> 25:14.000]  But then Kanye West comes out and says, no, I'm 100% behind Trump. He said he'd do that. He did that. That's a really nice thing.
[25:14.000 --> 25:24.000]  And I can't believe the Democrats helped engineer putting black people in prison. Hillary Clinton got it passed, called them animals, so they need to be brought to heal like a dog.
[25:24.000 --> 25:35.000]  So she gets praised by people like Sean King and, you know, the new Black Panther Party and all these other groups who will talk about when we come back.
[25:35.000 --> 25:42.000]  Who are busily trying to get a race war going in this country.
[25:42.000 --> 25:47.000]  Who is that white lady that poses a black lady and she still doesn't?
[25:47.000 --> 26:00.000]  Rachel Dolezal. Every time I see this Sean King guy on the news, it's like a white guy with a little eyeliner mustache.
[26:00.000 --> 26:05.000]  Dalcom X. I mean, I don't know what's going on here.
[26:05.000 --> 26:13.000]  But why is it always a white dude posing like a black guy leading black people into rioting?
[26:13.000 --> 26:20.000]  And I'm talking about, of course, all the countries on the edge of war and all this craziness is happening.
[26:20.000 --> 26:29.000]  Even after Tip, Texas Sheriff and Sean King push false narrative in Jasmine Barnes' murder.
[26:29.000 --> 26:35.000]  Oh, yeah. He was already arrested Saturday afternoon in front of the news cameras.
[26:35.000 --> 26:46.000]  A black guy, other shooter black guy, they come in, they admit that they thought it was a mistaken identity, thought it was a drug car at 6.30 in the morning at this gas station, convenience store.
[26:46.000 --> 26:54.000]  They shoot the portable girl and they were still tweeting at that time that it was a white supremacist.
[26:54.000 --> 26:58.000]  There's your white supremacist, your TV viewer, two black guys.
[26:58.000 --> 27:08.000]  So again, ladies and gentlemen, that's what this comes down to and the media seizing on this, pushing this narrative, hyping it till the end of the earth.
[27:08.000 --> 27:20.000]  And then it took them till Sunday night to start retracting, not the old stories, but saying, okay, it was mistaken identity, probably a drug deal gone bad or something, or they thought it was a drug deal and shot these people.
[27:20.000 --> 27:25.000]  And we're not going to show you mug shots. We're not going to show you.
[27:25.000 --> 27:35.000]  Oh, it's a black guy. We've been saying for a week it's a white guy and there's white devils and there's a national crime epidemic of whites killing blacks, which isn't true.
[27:35.000 --> 27:38.000]  No, they just kind of removed the story out of the news.
[27:38.000 --> 27:52.000]  And now we learn that Sean King last Wednesday was contacted by folks telling him exactly who the shooter and the driver were.
[27:52.000 --> 28:09.000]  But he passed that tip on to the sheriff who sat on it and they kept putting out the composite even Saturday night after one guy was in custody and it already pled guilty.
[28:09.000 --> 28:11.000]  Did you hear that?
[28:11.000 --> 28:23.000]  He already had him and the sheriff was putting out whitey because he got a milk it for every drop you can get in race-based politics.
[28:23.000 --> 28:32.000]  That's Sheriff Ed Gonzalez down there in the blue oasis of Houston, the blue sewer.
[28:32.000 --> 28:37.000]  So there you go. And then you got Sean King. Can we put Sean King up?
[28:37.000 --> 28:46.000]  I mean, I could take a black marker and put a little thin mustache up there and then say, I mean, he looks like a famous 1940s actor.
[28:46.000 --> 28:56.000]  Who's the guy in the Gamba the Wind played Red Butler? I mean, that's what he actually looks like. It's a white dude.
[28:56.000 --> 29:08.000]  And wolfhillamo.com. We love shotguns. We offer the best specialty shotgun ammo on the market, including our defensive combo packs for home and retreat.
[29:08.000 --> 29:17.000]  Our last lethal combo is good for animal control. The four-legged kind and two-legged. When lethal force is necessary, reach for our stop them, drop them or our home defense combos.
[29:17.000 --> 29:27.000]  These five round packs include different heavy hitters to protect your loved ones. Visit wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[29:27.000 --> 29:50.000]  Wolfhillamo.com.
[29:58.000 --> 30:08.000]  Please, whatever you do realize that we're all getting punched drunk to the censorship and you saw 18 Twitter accounts, they say affiliated with InfoWars.
[30:08.000 --> 30:13.000]  Yes, some of them are like little side accounts. They even know we had like InfoWars stores that just showed our products.
[30:13.000 --> 30:20.000]  But they just banned them all yesterday in punishment that I be in a Trump rally and be mobbed by all these folks that loved us.
[30:20.000 --> 30:31.000]  Your excitement about America, your excitement about this broadcast is what brought the country and the world back from the brink. But the globalists now want to target where the resistance came from so that we're not pesky in the future.
[30:31.000 --> 30:41.000]  I want to be troublesome and pesky. I want to keep going. I want to make them do the ultimate, not just destroy us financially. I want to push all the way.
[30:41.000 --> 30:53.000]  I've committed to do that. I've prayed for that. And I've been told that's going to happen. But you've got to back us and I promise you this. I will never falter. I will never waver at the spiritual level. I physically will.
[30:53.000 --> 31:00.000]  But I give you my commitment if you financially support us. InfoWars.com to give you my absolute total commitment.
[31:00.000 --> 31:08.000]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck even take your dogs for a walk.
[31:08.000 --> 31:20.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day. But thanks to SupermailVitality at InfoWars.com, I still have that energy.
[31:20.000 --> 31:34.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals and the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours to still have the stamina and endurance, energy and drive.
[31:34.000 --> 31:40.000]  To get to the gym, get to the park and get exercise that you need for your health.
[31:40.000 --> 31:53.000]  So go to InfoWars.com and get SupermailVitality before it's gone. This is actually our last run of SupermailVitality. So I want you to experience SupermailVitality before it's too late.
[31:53.000 --> 32:07.000]  Unleash the Supermail in you. This is SupermailVitality.com.
[32:07.000 --> 32:26.000]  Ultimate Crill Oil is a powerhouse formula that takes advantages of the EPA, DHA and Omega-3s found in our high quality, ultra-pure Crill Oil concentrate. Consaining powerful antioxidants such as Azazanthin and Omega-3s, Ultimate Crill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[32:26.000 --> 32:38.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[32:38.000 --> 32:50.000]  And while other Crill Oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high quality Crill Oil concentrate, paired with our Ultimate Fish Oil or used separately.
[32:50.000 --> 32:57.000]  It's time to see what Crill Oil can do for you with Ultimate Crill Oil, now available at InfowarsStore.com.
[33:20.000 --> 33:42.000]  Okay, Roger Stone is only popping in for one segment because I saw it in the New York Times yesterday and most of the time the New York Times is lying or spinning or twisting, especially when it has to do with America or Trump or the Second Amendment or Christians or anything else that's good.
[33:42.000 --> 33:51.000]  But they were saying that Roger Stone, according to insiders, was the creator of the idea of a wall.
[33:51.000 --> 33:57.000]  And so I called Roger this morning and I said, is that true?
[33:57.000 --> 34:01.000]  And he said, well, yes, but let me be specific and clarify.
[34:01.000 --> 34:07.000]  And it's not about who gets the credit, the media trying to spin it as a good rhetoric point, but a bad idea.
[34:07.000 --> 34:13.000]  I now more than ever think it's a great idea because it's a symbol of national sovereignty.
[34:13.000 --> 34:21.000]  It's a make work project, but also it will save a lot of lives and the U.S. has built walls around Iraq.
[34:21.000 --> 34:23.000]  We've put up fences in Afghanistan.
[34:23.000 --> 34:35.000]  And the idea that the Democrats are demonizing the idea that we even have borders and that they say that it's evil, if we even have a barrier, is just ridiculous.
[34:35.000 --> 34:37.000]  So it's a symbol.
[34:37.000 --> 34:39.000]  And he has shut the government down.
[34:39.000 --> 34:40.000]  He said he wouldn't back down.
[34:40.000 --> 34:41.000]  He hasn't.
[34:41.000 --> 34:45.000]  They try to spend it and say, well, the Democrats may agree to a metal barrier.
[34:45.000 --> 34:51.000]  If you've got 30 foot metal slacks that are bars, it's a wall.
[34:51.000 --> 34:54.000]  A cell wall is a membrane.
[34:54.000 --> 34:56.000]  It's not stone or concrete or metal.
[34:56.000 --> 35:01.000]  A wall can be anything.
[35:01.000 --> 35:04.000]  It's the Chinese Great Firewall of censorship.
[35:04.000 --> 35:10.000]  If it blocks people, if it's physical, I think steel is better than even concrete.
[35:10.000 --> 35:16.000]  And the designers have said it is the best design to not be scalable and to not have people get through it.
[35:16.000 --> 35:19.000]  But they spin it like he's not keeping his promise.
[35:19.000 --> 35:29.000]  All Trump's done is kept his promises, now especially trying to pull out of Iraq and other areas and being blocked by out-of-control Pentagon individuals.
[35:29.000 --> 35:31.000]  He promised to get prison reform through.
[35:31.000 --> 35:32.000]  He did that.
[35:32.000 --> 35:37.000]  He's not going to go through all the accomplishments, getting out of the TPP, getting thousands of factories to come back.
[35:37.000 --> 35:47.000]  But so we can talk to the admitted progenitor, the coiner of the wall, Roger Stone.
[35:47.000 --> 35:48.000]  Talk about an influential guy.
[35:48.000 --> 35:53.000]  Trump's chief advisor up until the middle of the campaign hounded by Robert Mueller.
[35:53.000 --> 36:01.000]  Also is asking him, is it true that Mueller is going through his garbage as well?
[36:01.000 --> 36:02.000]  I've been going through ours.
[36:02.000 --> 36:05.000]  I know at my house and here at the office.
[36:05.000 --> 36:15.000]  So Roger, getting your take on this wall situation and the inside baseball on that as the man who had the idea to do it.
[36:15.000 --> 36:19.000]  I think you're uniquely set to be able to talk about it.
[36:19.000 --> 36:29.000]  Well, first Alex, I appreciate the opportunity because it's Donald Trump who identified unfettered immigration as a burning issue for this country.
[36:29.000 --> 36:33.000]  It's Donald Trump who came up with the idea of a barrier on our southern border.
[36:33.000 --> 36:38.000]  All I did was suggest the rhetorical flourish of calling it the wall.
[36:38.000 --> 36:47.000]  And then he road tested it out on the road in rallies and in mass crowd events.
[36:47.000 --> 36:51.000]  And it was a hit and therefore he continued to use it.
