[00:00:08.504 --> 00:00:12.973]  Leading a frontal assault on the lies of the New World Order.
[00:03:24.938 --> 00:03:29.500]  Meanwhile, local governments are imploding and falling in on themselves.
[00:03:29.500 --> 00:03:34.361]  USA Today, of course, finally reporting on what we've been talking about for more than six months.
[00:03:34.361 --> 00:03:38.223]  Headline, cutbacks force police to curtail
[00:03:39.534 --> 00:03:42.015]  Calls for some crimes.
[00:03:42.015 --> 00:03:48.076]  And you've seen, of course, Oakland and other areas saying they won't respond to robbery and grand theft and home invasions.
[00:03:48.076 --> 00:04:03.980]  But the taxes go up and up and up as almost all the money now converts from real services to interest on the debt to these bankers, just like Argentina, just like Nigeria, just like Rhodesia, just like what, I guess Zimbabwe today.
[00:04:03.980 --> 00:04:05.681]  It's the same story.
[00:04:06.661 --> 00:04:17.027]  Budget cuts are forcing police around the country to stop responding to fraud, burglary, and theft calls as officers focus limited resources on violent crime.
[00:04:17.027 --> 00:04:25.593]  And then they go through cuts in Tulsa, Norton, Massachusetts, Oakland, California, and hundreds and hundreds of small cities and towns.
[00:04:25.593 --> 00:04:28.935]  In some cases, they're laying off more than half their officers.
[00:04:28.935 --> 00:04:33.998]  In Tulsa, they're going from 110 to... I mean, they're cutting 110.
[00:04:37.083 --> 00:04:45.586]  from 739 and the police are still going to be out there generating revenue.
[00:04:45.586 --> 00:04:47.847]  In fact, they're saying that's their new focus.
[00:04:47.847 --> 00:04:52.449]  That's what they are now intensifying and pushing for.
[00:04:52.449 --> 00:04:57.150]  Congressman Ron Paul coming up on this August 29, 2010 edition.
[00:04:57.150 --> 00:04:58.511]  Then Joel Skousen and more.
[00:04:58.511 --> 00:04:58.911]  Stay with us.
[00:05:00.151 --> 00:05:04.694]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:05:04.694 --> 00:05:05.615]  Number one.
[00:05:05.615 --> 00:05:09.037]  New climate legislation could easily double or triple your electric bill.
[00:05:09.037 --> 00:05:09.897]  Number two.
[00:05:09.897 --> 00:05:14.780]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:14.780 --> 00:05:15.541]  It's true.
[00:05:15.541 --> 00:05:20.404]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:20.404 --> 00:05:21.224]  Number three.
[00:05:21.224 --> 00:05:24.807]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:24.807 --> 00:05:28.509]  And now, new socialist legislation is only compounding the problem.
[00:05:28.709 --> 00:05:29.510]  Number 4.
[00:05:29.510 --> 00:05:32.272]  Dangerous weather is always a threat to local grids.
[00:05:32.272 --> 00:05:35.956]  Every year, thousands of families lose their power from weather-related outages.
[00:05:35.956 --> 00:05:36.757]  Number 5.
[00:05:36.757 --> 00:05:40.900]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:40.900 --> 00:05:45.665]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:45.945 --> 00:05:50.111]  You can get more information at www.mysolarbackup.com.
[00:05:50.111 --> 00:05:51.913]  That's mysolarbackup.com.
[00:05:51.913 --> 00:05:54.156]  Remember, the government doesn't own the sun.
[00:05:54.156 --> 00:05:56.500]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:09.307 --> 00:06:14.870]  Ladies and gentlemen, until the end of the hour, we're joined by Congressman Ron Paul, Dr. Paul.
[00:06:14.870 --> 00:06:22.093]  Of course, his son has still got a healthy lead against the Democratic candidate there in Kentucky and needs your support.
[00:06:22.093 --> 00:06:24.795]  We'll talk a little bit about the hoaxes.
[00:06:24.795 --> 00:06:33.119]  There's five of them we've counted that have been run, but we're mainly going to focus on the Iran situation, the economy, and so much more.
[00:06:33.119 --> 00:06:34.880]  Congressman, thank you for joining us.
[00:06:34.880 --> 00:06:35.460]  Good to be with you.
[00:06:36.330 --> 00:06:39.777]  So much is happening, and you're always nice to join us each month.
[00:06:39.777 --> 00:06:46.670]  I've got all my questions, but for you, Congressman, what is most important on your radar right now you'd like to talk about?
[00:06:47.628 --> 00:06:48.808]  I don't think anything is new.
[00:06:48.808 --> 00:06:50.989]  I keep talking about the same issue.
[00:06:50.989 --> 00:06:53.050]  The bold and broad issue, of course, is liberty.
[00:06:53.050 --> 00:06:56.851]  And then I deal so much in foreign policy.
[00:06:56.851 --> 00:06:58.611]  We don't talk enough about foreign policy.
[00:06:58.611 --> 00:07:03.853]  They are talking about domestic policy and the debt, and that's very good, and that's what the election seems to be about.
[00:07:03.853 --> 00:07:06.994]  But according to the polls, they say that nobody cares about these wars.
[00:07:07.834 --> 00:07:19.862]  I have a little trouble believing that because it shouldn't take much of a leap for people to understand that running an empire and spending all this money is very detrimental to our economy.
[00:07:19.862 --> 00:07:25.646]  So that's high on my agenda and of course the economic situation and how they're making it much worse.
[00:07:25.646 --> 00:07:28.808]  Hopefully I can get as much interest in
[00:07:28.848 --> 00:07:48.015]  I'm trying to allow people to opt out of the system with competing currencies because I think we're getting much closer to a currency crisis and if people would only have that option to get out and it's encouraging news to know that the Indonesians are now looking toward hard money and maybe we'll put some pressure on Western nations as well.
[00:07:48.695 --> 00:08:00.165]  Because if we went to hard money or a hard money-backed currency, that would take the power away from the central banks to basically build up their power at the expense of the real free market?
[00:08:00.165 --> 00:08:00.765]  Yeah, that's right.
[00:08:00.765 --> 00:08:05.769]  I don't think you have to by force be able to have the political power to go in and close down the Fed.
[00:08:05.769 --> 00:08:07.651]  That's not going to happen soon.
[00:08:07.651 --> 00:08:08.932]  But they can self-destruct.
[00:08:09.292 --> 00:08:15.114]  What we have to do is educate people to know what the other alternative is and an option to do it.
[00:08:15.114 --> 00:08:26.258]  That's why I really fear it when people try to use constitutional money, silver and gold coins, you know, they can end up in prison or harassed to death or fined to death.
[00:08:26.258 --> 00:08:29.299]  And yet, that is the answer.
[00:08:29.299 --> 00:08:30.319]  Why should they fear it?
[00:08:30.319 --> 00:08:33.060]  They fear it because they want power and the power
[00:08:33.722 --> 00:08:40.780]  The special interests have power when they can print the money and control it and make sure the people suffer the consequences of the inflation.
[00:08:41.874 --> 00:08:53.262]  Congressman, looking at foreign policy, you've talked about sanctions on Iran being an act of war under international law and our own law.
[00:08:53.262 --> 00:09:03.149]  And now we've got Bolton, the former ambassador from the United States of the UN, saying we've got to hit them by the 21st, that's just three days away, or they're going to fuel the reactor.
[00:09:03.149 --> 00:09:05.991]  We've got the Gulf states lining up now in support.
[00:09:06.551 --> 00:09:08.612]  Of an attack on Iran.
[00:09:08.612 --> 00:09:14.296]  Our government had lied the last three years and said we don't have contractors or troops in Pakistan.
[00:09:14.296 --> 00:09:16.517]  They now admit that they are there.
[00:09:16.517 --> 00:09:23.221]  They're now trying to hype up an increased conflict, not just with Iran, but Pakistan.
[00:09:23.221 --> 00:09:29.865]  Can you speak directly to the war clouds that are gathering over Iran and Pakistan?
[00:09:30.902 --> 00:09:36.666]  Yeah, I mean, there's a lot in the neocon camp that's all they agitate for.
[00:09:36.666 --> 00:09:42.230]  They think that's the only solution for the mess that, actually, the West has created.
[00:09:42.230 --> 00:09:46.693]  The European, as well as the West, including us, have created this mess.
[00:09:47.493 --> 00:09:50.896]  And they're determined to, you know, move in that direction.
[00:09:50.896 --> 00:10:03.646]  I keep, you know, hoping and praying that they're not successful and they're not about to be as stupid as to bomb Iran, but they're liable to and that is going to be a major, major catastrophe.
[00:10:03.646 --> 00:10:05.548]  And I think the argument is still going on.
[00:10:05.548 --> 00:10:07.329]  I don't think the plans have been laid.
[00:10:07.329 --> 00:10:13.995]  I doubt if it'll happen in the next three days or next month for that matter, but that doesn't mean the issue is going to go away.
[00:10:14.435 --> 00:10:19.097]  Do you agree that we're moving towards a green lighting?
[00:10:19.097 --> 00:10:34.385]  Because many of the experts we interview concur that the war drums are intensifying and that the propaganda mechanisms, the very same neocons that promoted fictional WMDs in Iraq in 2002-2003 are right back at it.
[00:10:37.967 --> 00:10:40.849]  I don't know that answer because I'm not on the inside.
[00:10:40.849 --> 00:10:44.411]  I still think there's some disagreements going on.
[00:10:44.411 --> 00:10:48.454]  If it had been unified on this, Bush would have done it.
[00:10:48.454 --> 00:10:55.138]  So obviously there's two arguments even among the radical neocons and the other ones that are less radical.
[00:10:55.138 --> 00:10:56.118]  I think it's still going on.
[00:10:57.339 --> 00:11:00.181]  And I think reality sets in, too.
[00:11:00.181 --> 00:11:03.942]  There has to be some military people who are really worried about this.
[00:11:03.942 --> 00:11:06.984]  What are they going to fight a war with?
[00:11:06.984 --> 00:11:16.669]  They had these war games where they theoretically bombed Iran, and the consequence would be
[00:11:18.712 --> 00:11:19.032]  We're good.
[00:11:34.569 --> 00:11:38.233]  That's all we need right now is more of this.
[00:11:38.233 --> 00:11:43.299]  I think the debate is still going on and I certainly don't have the answer on exactly when.
[00:11:43.299 --> 00:11:46.383]  But I know there's a lot of people there who would like to do it.
[00:11:46.383 --> 00:11:47.204]  People like Bolton.
[00:11:47.204 --> 00:11:49.807]  They're going to agitate and agitate until they have their way.
[00:11:49.807 --> 00:11:51.428]  Hopefully they don't win this fight.
[00:11:52.452 --> 00:12:03.204]  Well, Jeffrey Goldberg of The Atlantic, who pushed some of the key disinfo on Iraqi WMDs, he's back, and they're putting him on television, and he's writing for The New Atlantic.
[00:12:03.204 --> 00:12:12.995]  But at the same time, I, three weeks ago, saw the Financial Times of London, with top Clinton advisor and also Obama advisor Robert Shapiro, saying,
[00:12:13.596 --> 00:12:21.343]  If we don't have another Oklahoma City or 9-11 to make Obama look strong, we're going to probably lose the House and the Senate.
[00:12:21.343 --> 00:12:26.868]  And then now other neocons are openly writing articles saying, Obama, attack Iran.
[00:12:26.868 --> 00:12:28.249]  We'll back you.
[00:12:28.249 --> 00:12:29.791]  You'll get political support.
[00:12:29.791 --> 00:12:37.117]  So a lot of people I'm talking to are really concerned that Obama may back an Israeli strike or even a U.S.
[00:12:37.117 --> 00:12:37.478]  strike.
[00:12:38.338 --> 00:12:49.965]  Well, I guess it's a possibility, but like I said, I don't know the answer to that.
[00:12:49.965 --> 00:12:56.929]  I think our job is to point out the great dangers and at least, you know, explain to many of our
[00:12:57.794 --> 00:13:04.941]  Friends in the conservative movement that, you know, the typical conservative should be endorsing illegal and constitutional wars of aggression.
[00:13:04.941 --> 00:13:07.863]  And that, I think, that should be our job.
[00:13:07.863 --> 00:13:15.971]  And I just can't say that I can either alter the future nor know the future, but I do know what our obligations ought to be.
[00:13:17.162 --> 00:13:17.462]  I think?
[00:13:35.211 --> 00:13:42.358]  They're talking about the Federal Reserve putting out trillions of more dollars the taxpayers will have to pay back.
[00:13:42.358 --> 00:13:51.747]  Congressman Paul studying the economy and being very accurate in predicting what happened in 2008 and that the stimulus would not work in the last year and a half.
[00:13:51.747 --> 00:13:55.951]  What is your economic prognosis for the United States?
[00:13:56.738 --> 00:14:02.142]  Well I don't talk about double dips because I don't think the economy ever really recovered.
[00:14:02.142 --> 00:14:07.325]  Everything that said the economy was recovering were artificial statistics coming from the government.
[00:14:07.325 --> 00:14:14.850]  Let's say they give a tremendous tax credit for somebody to refinance their house or buy a house and then there's a little blip upwards.
[00:14:14.850 --> 00:14:17.892]  They spend a couple trillion dollars and that translates into
[00:14:17.912 --> 00:14:21.274]  To a hundred billion dollars or so of GDP increase?
[00:14:21.274 --> 00:14:22.335]  I mean, what does that mean?
[00:14:22.335 --> 00:14:25.697]  The cost was ten times more than the GDP increase.
[00:14:25.697 --> 00:14:32.501]  So they talk about a recovery, a weak recovery, and now there's going to be a double dip.
[00:14:32.501 --> 00:14:35.823]  I think if we were honest with ourselves, we would say we started slipping.
[00:14:37.063 --> 00:14:42.666]  Nearly 10 years ago, in the year 2000, when the Nasdaq double collapsed, good jobs went overseas.
[00:14:42.666 --> 00:14:46.448]  We've lost jobs that never came back over that whole decade.
[00:14:46.448 --> 00:14:50.790]  Things got much, much worse after the last crisis hit in 2008.
[00:14:50.790 --> 00:14:55.152]  And I think it's a continuation of downhill for us.
[00:14:55.152 --> 00:15:02.095]  And since they're doing all the same things that they did to put us into this crisis, we can expect this economy to get much worse.
[00:15:02.675 --> 00:15:09.938]  The American people are going to be a lot poorer, and they're only going to have the printing press to look to.
[00:15:09.938 --> 00:15:16.480]  They're going to keep printing money, and that's going to precipitate the dollar crisis, and that'll be a political crisis.
[00:15:16.480 --> 00:15:28.985]  That's when we better have our ducks lined up so that we know you have enough allies to replace the system we have today with a constitutional system, sound money, free markets, private property rights, all the things that we believe in.
[00:15:31.026 --> 00:15:34.931]  That is coming, but once again, you don't know when.
[00:15:34.931 --> 00:15:38.014]  Now, we were just talking about the Iranian situation.
[00:15:38.014 --> 00:15:47.205]  If next week they go ahead and bomb Iran and the oil prices double or triple, and one of our ships gets sunk, that war would spread rather quickly.
[00:15:47.205 --> 00:15:51.290]  That would be a whole new ballgame and may be what would collapse the dollar.
[00:16:00.202 --> 00:16:03.345]  Listen up friends, this is Alex Jones with key information.
[00:16:03.345 --> 00:16:07.128]  The mainstream media is now admitting that we're going into a depression.
[00:16:07.128 --> 00:16:10.011]  Don't be dependent on the government for you and your family.
[00:16:10.011 --> 00:16:14.936]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:16:15.376 --> 00:16:21.321]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:16:21.321 --> 00:16:27.006]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:16:27.006 --> 00:16:31.529]  Try their new Evacuation Pack, a two-week supply of delicious, easy-to-fix food.
[00:16:31.529 --> 00:16:40.036]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:16:40.036 --> 00:16:42.238]  Get yourself and your family ready today.
[00:16:42.238 --> 00:16:44.240]  The place to go is efoodsdirect.com.
[00:16:44.600 --> 00:16:52.446]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:16:52.446 --> 00:16:57.469]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:17:01.875 --> 00:17:04.419]  And you're subject to other police action.
[00:17:04.419 --> 00:17:05.681]  Tyranny is here.
[00:17:05.681 --> 00:17:09.466]  The grim future foretold in 1984 has become reality.
[00:17:09.466 --> 00:17:11.849]  It really says that the state is God.
[00:17:11.849 --> 00:17:17.036]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:17:17.697 --> 00:17:24.363]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:17:24.363 --> 00:17:30.328]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:17:30.328 --> 00:17:34.052]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:17:34.512 --> 00:17:38.814]  Prepare to enter the secretive world of emergency dictatorship.
[00:17:38.814 --> 00:17:44.757]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:17:44.757 --> 00:17:48.318]  It's only the beginning of the New World Order's hellish plan.
[00:17:48.318 --> 00:17:50.299]  The police state isn't coming.
[00:17:50.299 --> 00:17:51.420]  It's here.
[00:17:51.420 --> 00:17:58.223]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:18:01.974 --> 00:18:05.935]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:18:05.935 --> 00:18:14.796]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:18:14.796 --> 00:18:19.417]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:18:19.417 --> 00:18:30.239]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:18:30.879 --> 00:18:40.382]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:18:40.382 --> 00:18:45.824]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:18:45.824 --> 00:18:53.307]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:18:53.307 --> 00:18:55.708]  That's www.SilverLungs.com.
[00:18:59.904 --> 00:19:04.391]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:19:04.391 --> 00:19:11.862]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:19:11.862 --> 00:19:15.307]  By tracking 300 separately defined domestic and international trends,
[00:19:15.908 --> 00:19:20.433]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:19:20.433 --> 00:19:28.302]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:19:28.302 --> 00:19:35.511]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:19:36.071 --> 00:19:38.853]  Extra information to keep you well informed throughout the year.
[00:19:38.853 --> 00:19:46.377]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:19:46.377 --> 00:19:50.660]  When you subscribe to the Trends Journal, you'll also receive trends alerts.
[00:19:50.660 --> 00:19:52.821]  Visit TrendsResearch.com today.
[00:19:52.821 --> 00:19:55.123]  That's TrendsResearch.com.
[00:19:55.123 --> 00:19:56.984]  Subscribe to the Trends Journal.
[00:19:56.984 --> 00:19:58.725]  This information is too important to wait.
[00:20:01.178 --> 00:20:04.779]  Coast to coast, direct from Austin.
[00:20:04.779 --> 00:20:08.361]  You're listening to the Alex Jones Broadcasting Network.
[00:20:08.361 --> 00:20:20.345]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:23.601 --> 00:20:36.788]  I know you don't like people to talk about how great you are, Congressman, but you really are a true statesman, a medical doctor, someone who's been given honorary degrees for your understanding of economics.
[00:20:36.788 --> 00:20:43.531]  And yourself, Judge Andrew Napolitano, and many others in the last eight months have come on this show repeatedly.
[00:20:43.531 --> 00:20:47.193]  And I read the bill as well on air, the financial reform bill.
[00:20:47.973 --> 00:20:48.133]  I think?
[00:21:13.184 --> 00:21:21.089]  You also read the different versions of the health care bill and said this raises taxes, cuts benefits.
[00:21:21.089 --> 00:21:27.053]  It does allow the government to come in and set parameters on what type of care people will get.
[00:21:27.053 --> 00:21:33.476]  And the Democrats and Republican leadership, they stonewalled on this and said none of that was true.
[00:21:33.476 --> 00:21:37.799]  Now everything you said six months ago on this show is admitted.
[00:21:37.799 --> 00:21:39.220]  They're coming out and admitting
[00:21:39.600 --> 00:21:46.205]  Okay, this doesn't cover pre-existing conditions, it's a tax increase, and the insurance companies wrote it to rip you off as a bailout.
[00:21:46.205 --> 00:21:53.370]  Okay, it's true, this gives the Federal Reserve even more power, and more junk bonds are being issued, and record derivatives are being issued.
[00:21:53.370 --> 00:21:57.153]  I mean, it's clear they're accelerating all this over the edge of the cliff.
[00:21:57.153 --> 00:21:59.394]  So, so, I mean, you've been proven right again.
[00:21:59.394 --> 00:22:02.817]  I mean, it's so incredible how criminal this is.
[00:22:03.490 --> 00:22:05.410]  Well, I guess it's better late than never.
[00:22:05.410 --> 00:22:08.111]  You know, people are starting to read it and find out.
[00:22:08.111 --> 00:22:15.233]  I think the most atrocious statement came from Nancy Pelosi when she says, well, when people were arguing, well, we need to see the bill and study it.
[00:22:15.233 --> 00:22:19.274]  And then she says something like, well, we need to pass the bill so we can read it.
[00:22:19.274 --> 00:22:25.115]  And that's, boy, the understatement of the century, because that's exactly what happened.
[00:22:25.115 --> 00:22:27.996]  And even as hard as my staff works,
[00:22:29.336 --> 00:22:34.718]  Every little comma and every little phrase, it's pretty tough to dissect all of that.
[00:22:34.718 --> 00:22:37.459]  That's why the whole process is so bad.
[00:22:37.459 --> 00:22:49.403]  But I protect myself against ever endorsing that because it doesn't take long to find out what their goals are and what their intent is, making government bigger, raising more taxes.
[00:22:50.163 --> 00:22:56.967]  But even as bad as it is, it's even worse than some people think.
[00:22:56.967 --> 00:22:59.148]  Barney Frank is a big regulator.
[00:22:59.148 --> 00:23:00.429]  He loves his stuff.
[00:23:00.429 --> 00:23:05.912]  And I work with him on some issues, but obviously on this regulatory bill I did not.
[00:23:05.912 --> 00:23:12.156]  And he, I believe, was honestly surprised about how much more power was given to the SEC.
[00:23:13.336 --> 00:23:19.560]  Because he has a sort of an instinct of more transparency, and he actually wants to do something about that.
[00:23:19.560 --> 00:23:24.424]  And he is probably the most informed person about that bill as we're going through.
[00:23:24.424 --> 00:23:26.785]  I'm amazed at how much detail he knows.
[00:23:26.785 --> 00:23:35.210]  But he can't possibly know every single thing that the FED and the SEC does behind the scenes and sticks this stuff in at the last minute.
[00:23:35.210 --> 00:23:42.055]  And it's just absolutely out of control, and that's why this system will end and has to be replaced by something else.
[00:23:42.794 --> 00:23:44.375]  Again, Congressman Ron Paul joins us.
[00:23:44.375 --> 00:24:00.420]  Remember what a month and a half ago, Senator DeMint got up and reported that 94% of the Senate bills are never even read and are literally written by the special interest lobbyists, many of them foreign lobbyists.
[00:24:00.740 --> 00:24:03.322]  This is a foreign corporate takeover of our government.
[00:24:03.322 --> 00:24:12.607]  If the President can launch wars without Congress declaring it, the private central banks can issue all this fiat currency to their enrichment and our detriment.
[00:24:12.607 --> 00:24:16.730]  But he said in his speech he didn't know the number on the House.
[00:24:16.730 --> 00:24:23.594]  Do we have any idea of what number of House bills are never even read and are brought out 30 minutes before they're passed?
[00:24:24.840 --> 00:24:26.921]  Not exactly.
[00:24:26.921 --> 00:24:40.045]  The big problem would be that some of those bills float around and you can read them, but the night before they're due to come to the floor, they go to the Rules Committee, and the Rules Committee has tremendous license to change things.
[00:24:40.045 --> 00:24:50.948]  The chairman of the Rules Committee can have a manager's amendment, which was used originally to change some grammatical things and just a few technical things, technical changes.
[00:24:51.508 --> 00:24:55.071]  But now they used the Manager's Amendment to replace the whole bill.
[00:24:55.071 --> 00:24:57.614]  That's what they did with the Patriot Act.
[00:24:57.614 --> 00:25:02.718]  They, you know, Bob Barr and others tried to protect us to a degree, you know, against the Patriot Act.
[00:25:02.718 --> 00:25:05.821]  He worked months on it, or at least several weeks on that.
[00:25:05.821 --> 00:25:13.467]  But when the Manager's Amendment came from the Rules Committee, they put the whole new bill into it, which meant that nobody could read it.
[00:25:13.467 --> 00:25:16.170]  So it depends on the particular issue.
[00:25:17.030 --> 00:25:31.584]  But even if the bill's available, the financial reform bill was available and discussed in a lot of hearings and a lot of talk, but that still doesn't mean that many members would have had a total comprehension and been able to read this bill.
[00:25:31.584 --> 00:25:33.886]  It is so massive, so I would say that
[00:25:34.446 --> 00:25:46.801]  If you're talking about how often all the members read everything that's being presented, I would think that it's less than 5% where people can say, oh, I've read the whole bill and I fully understand it.
[00:25:46.801 --> 00:25:49.004]  That just very rarely happens.
[00:25:49.224 --> 00:25:59.968]  And that's why you're known as Dr. No and they try to criticize you because if you can't read some 3,000 page bill and they give it to you an hour before it's time to vote, it would be immoral for you to pass it.
[00:25:59.968 --> 00:26:09.452]  Nah, that should be an easy no for everybody and hopefully what's going on in this country, it'll get easier because the American people are sick and tired of this.
[00:26:09.452 --> 00:26:13.234]  I mean, sometimes they just say, why don't you guys read the bills?
[00:26:13.234 --> 00:26:15.094]  Why don't we do anything else?
[00:26:15.094 --> 00:26:16.375]  Let's have a delayed time.
[00:26:16.375 --> 00:26:17.115]  Read the bills!
[00:26:19.476 --> 00:26:20.857]  That, I think, is good.
[00:26:20.857 --> 00:26:31.063]  The American people are getting very upset with the status quo and I think they're wise enough now to be very cautious about saying, well, if we just elect the Republicans, they'll take care of it.
[00:26:31.063 --> 00:26:33.905]  This is a Republican versus Democrat issue.
[00:26:33.905 --> 00:26:34.505]  It isn't.
[00:26:34.505 --> 00:26:43.631]  It's the people who believe in big government and big taxes and a lot of war and welfare against the people who have to pay all the bills and all they want is to be left alone.
[00:26:44.111 --> 00:26:53.559]  Congressmen, even establishment political analysts, as you know, admit there's been one of the biggest political realignments in history against the Democrats and the Republicans.
[00:26:53.559 --> 00:27:01.425]  Almost every pro-establishment candidate, whether they be Democrat or Republican, are losing in the primaries.
[00:27:01.425 --> 00:27:05.629]  And great patriots like your son, Dr. Rand Paul, are winning.
[00:27:05.629 --> 00:27:07.710]  That's got the system panicked.
[00:27:07.710 --> 00:27:10.373]  And the Daily Poll ran a story yesterday.
[00:27:11.353 --> 00:27:15.997]  Uh, says Ron Paul to run for president in 2012 will announce in January 2011.
