[00:00:01.727 --> 00:00:03.188]  You have the power.
[00:03:29.506 --> 00:03:39.694]  All of them, oh, election night, the primary, your vote, you voted, you count, this is your country, we're gonna see what happens, one man, one vote.
[00:03:39.694 --> 00:03:48.501]  And they go, oh, actually, it doesn't matter if Donald Trump has 12,000 or 1,220 something delegates, or it doesn't matter if he has double what Ted Cruz has, it doesn't matter.
[00:03:48.501 --> 00:03:54.785]  We're gonna go ahead and just change the rules however we want, in the middle of the game, to make sure he loses.
[00:03:55.816 --> 00:03:58.758]  And they're throwing it in our face and acting like it's completely normal.
[00:03:58.758 --> 00:04:01.060]  What is the other big shoe to drop after that?
[00:04:01.060 --> 00:04:03.602]  What else is coming?
[00:04:03.602 --> 00:04:06.704]  And what will you do when they do this?
[00:04:06.704 --> 00:04:08.785]  The media is throwing a conniption fit.
[00:04:08.785 --> 00:04:17.532]  The dinosaur media, the prostitute media, the Decepticon media, the predator media, the collaborator media, the traitor media.
[00:04:17.532 --> 00:04:22.335]  I don't know what you call them, just absolute Decepticons.
[00:04:22.335 --> 00:04:24.577]  They're freaking out on the fact that Roger Stone
[00:04:26.044 --> 00:04:28.906]  Who is one of Trump's top advisors.
[00:04:28.906 --> 00:04:31.768]  His former business partner is now becoming basically his new chief of staff.
[00:04:31.768 --> 00:04:34.590]  They're freaking out.
[00:04:34.590 --> 00:04:37.753]  He came on the show Thursday and said, was it Wednesday?
[00:04:37.753 --> 00:04:40.034]  Took him a few days to notice it.
[00:04:40.034 --> 00:04:52.403]  And said, hey, if they steal the election in the RNC this year in Cleveland, Ohio, we need to have giant demonstrations pointing out it's happening.
[00:04:52.403 --> 00:04:54.125]  And then they try to imply that's somehow evil.
[00:04:57.879 --> 00:05:01.082]  A clean, toxic-free body is the foundation of true health.
[00:05:01.082 --> 00:05:03.424]  Deep Cleanze by InfoWarsLife.com.
[00:05:03.424 --> 00:05:10.450]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:05:10.450 --> 00:05:15.775]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:05:15.775 --> 00:05:24.743]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:05:25.183 --> 00:05:34.071]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:05:34.071 --> 00:05:41.156]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[00:05:41.156 --> 00:05:46.521]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[00:05:46.801 --> 00:05:52.422]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:05:52.422 --> 00:06:05.505]  That's InfoWarsLife.com or call 888-253-3139.
[00:06:05.505 --> 00:06:16.367]  We now take you live to the Central Texas Command Center in the heart of the resistance rallying patriots worldwide.
[00:06:20.593 --> 00:06:23.224]  You're listening to The Alex Jones Show.
[00:06:42.472 --> 00:06:48.954]  It's already the third day of April 2016 on this Sunday Worldwide Broadcast.
[00:06:48.954 --> 00:06:50.594]  I'm Alex Jones, your host.
[00:06:50.594 --> 00:06:52.015]  Thank you so much for joining us.
[00:06:52.015 --> 00:06:57.516]  We'll be here live for the next two hours.
[00:06:57.516 --> 00:07:06.879]  Stand up and be counted for what you are about to receive.
[00:07:06.879 --> 00:07:07.359]  I have
[00:07:08.609 --> 00:07:10.470]  I've been studying the globalists for about 25 years.
[00:07:10.470 --> 00:07:17.532]  I've been on air more than 21 years.
[00:07:17.532 --> 00:07:20.613]  And I've expected to see a lot of tyranny.
[00:07:20.613 --> 00:07:29.896]  I've expected to see global government grow and take over the planet and put surveillance equipment in every major appliance and watch us and listen to us and track everything we do.
[00:07:33.083 --> 00:07:48.573]  So that the social engineers can predict the future and predict trends and dominate the future and control the economic destiny and hence the physical destiny, the cultural destiny of humans on this planet.
[00:07:48.573 --> 00:07:57.759]  People think they're listening to you with AI computers over your smart TV and your smartphone 24-7 at all times because they want to know if you're a terrorist.
[00:07:57.759 --> 00:07:59.760]  No, they run and fund the real terrorists.
[00:08:01.209 --> 00:08:03.010]  The controllers at the top do.
[00:08:03.010 --> 00:08:05.873]  They steer them.
[00:08:05.873 --> 00:08:21.005]  They want all of your data so that they can actuary in algorithms everything you're going to do, did do, and will do into the future.
[00:08:21.005 --> 00:08:23.867]  People say, I don't care if they're spying on me, I have nothing to hide.
[00:08:23.867 --> 00:08:27.310]  Really, as if the people spying on you, the big corporations,
[00:08:28.544 --> 00:08:34.031]  The multinationals, the foreign governments, our so-called government.
[00:08:34.031 --> 00:08:38.377]  As if they might not want to use your information against you.
[00:08:38.377 --> 00:08:43.123]  As if they might not want to use it to manipulate the economy.
[00:08:43.123 --> 00:08:46.246]  And say, increase the price of natural gas.
[00:08:48.254 --> 00:08:53.795]  Or manipulate the price of a commodity, or that's how this whole thing works.
[00:08:53.795 --> 00:09:04.618]  And as everything gets wired in, that allows these AI systems to totally game everything for the insiders.
[00:09:04.618 --> 00:09:07.718]  We told you decades ago that the stock market was rigged.
[00:09:07.718 --> 00:09:15.560]  They came out in the last month and said that 98% of the trades in the last decade in the United States were basically controlled,
[00:09:16.539 --> 00:09:24.985]  And artificial and manipulated by the private Federal Reserve for their shareholders gain, not yours.
[00:09:24.985 --> 00:09:28.307]  The interest rates for decades have been completely rigged globally.
[00:09:28.307 --> 00:09:31.929]  Currency rates have been rigged.
[00:09:31.929 --> 00:09:33.190]  It goes on and on.
[00:09:33.190 --> 00:09:35.912]  It's a totally rigged system.
[00:09:35.912 --> 00:09:37.033]  It's not capitalism.
[00:09:37.033 --> 00:09:38.934]  It's not communism.
[00:09:38.934 --> 00:09:44.498]  It is artificial synthetic AI fascism.
[00:09:46.581 --> 00:10:03.596]  And they can give you a tiny slice of synthetic food, baubles, games, false culture, reality TV that sucks you in so that while you sleep, the social engineers live.
[00:10:03.596 --> 00:10:05.257]  They don't want you in the real world.
[00:10:05.257 --> 00:10:06.919]  They don't want you being informed.
[00:10:06.919 --> 00:10:08.220]  They don't want you involved.
[00:10:08.220 --> 00:10:11.483]  They want you to respond to their stimuli
[00:10:14.443 --> 00:10:32.793]  React to what they program you with so you cease to be a sentient, conscious being and become a totally predictable, programmable cog in their machine.
[00:10:32.793 --> 00:10:43.039]  There was an article out in a big study earlier this week that children, we'll put it on screen, spend more time indoors in the Western world than prisoners do.
[00:10:45.120 --> 00:10:53.263]  And now you see articles every few days where a 10, 12, 13 year old, their parents don't get home till 5.30 or 6.
[00:10:53.263 --> 00:10:55.064]  They get home at 3.30 or 4.
[00:10:55.064 --> 00:10:56.184]  They forget their key.
[00:10:56.184 --> 00:10:58.205]  That happened to me many times.
[00:10:58.205 --> 00:11:04.628]  So they're caught in the backyard playing basketball or caught across the street at the park.
[00:11:04.628 --> 00:11:10.150]  And they're taken by CPS from their parents because they just label it neglect.
[00:11:13.783 --> 00:11:18.905]  Just like you can label any word or any phrase as hateful and then have, quote, government ban it.
[00:11:18.905 --> 00:11:23.467]  This is the incredible oppression that's not coming, it's here.
[00:11:23.467 --> 00:11:34.572]  And I go back to that because if we don't understand how we're losing our physicality, how we're losing our humanity, we have no future.
[00:11:34.572 --> 00:11:38.553]  Here's the Financial Times of London.
[00:11:38.553 --> 00:11:41.675]  Technology slaves missing out on real experiences.
[00:11:42.438 --> 00:11:52.586]  I'm gonna cover some of that article today because that's at the heart of what we face as a species.
[00:11:52.586 --> 00:12:05.316]  But if you take time out to read the white papers, to read the books written by the social engineers, you'll understand this is a plan by design that they're very proud of.
[00:12:05.316 --> 00:12:11.141]  And they think you're too stupid to go find out this has been a laid in the foundations of the global government,
[00:12:12.108 --> 00:12:30.224]  Operation to turn you into someone who isn't even conscious, someone who isn't even alive, someone who isn't even sentient, and so someone who doesn't even have rights.
[00:12:30.224 --> 00:12:37.971]  And their big joke is you have to be convinced to accept it and that you will sign away and write away by thousands of decisions on paper.
[00:12:38.908 --> 00:12:53.314]  Millions of little decisions, but thousands of big decisions that you will submit to them and opt into their operation, and opt in to losing your humanity and what's left of it.
[00:12:53.314 --> 00:13:06.800]  And the social engineers believe that you have no right to consciousness, because if you were ever conscious to begin with, you couldn't have been induced to waive your rights and become a mind-wiped slave to begin with.
[00:13:09.605 --> 00:13:18.191]  So we're cutting right to the chase here, the foundation of where all this comes from, what it's currently doing, and where it's going.
[00:13:18.191 --> 00:13:30.861]  I've got plenty of riveting, powerful news today, and we're gonna get into it right now, but I just need to relay to everybody that this is not a simulation, this is not a drill, this is not a game, it's not a joke, it's really happening.
[00:13:37.512 --> 00:13:57.029]  Now, I'm going to get today into this big breaking story about offshore money that is flooding into Panama and other areas, and the biggest data leak ever, bigger than WikiLeaks, and oh my gosh, it's going to destroy the elite.
[00:13:57.029 --> 00:13:58.910]  They're in so much trouble.
[00:13:58.910 --> 00:14:01.893]  Just a first approximation of this, because it broke last night.
[00:14:03.425 --> 00:14:03.846]  Is that
[00:14:19.878 --> 00:14:40.326]  Tax robbery from quote tax havens to claw that money back, not into nation states or individuals, but into the global power structure to not use the money to turn the economy on, to use the money to further turn the economy off by simply destroying the digital money by assigning it to giant derivative black holes.
[00:14:42.881 --> 00:14:52.928]  And I say that because I look at who they list in here, the heads of the big global soccer federations, movie stars, people like that.
[00:14:52.928 --> 00:14:57.151]  The type of folks the general public think of as rich, powerful elites.
[00:14:57.151 --> 00:15:03.796]  And the type of people leaving France by the thousands and England and Germany and just taking their money legally and lawfully and leaving the country.
[00:15:06.067 --> 00:15:25.514]  The establishment wants to extinguish all of that because they want everyone so poor that only the establishment has currency and property and capital and so that everyone has to basically sell themselves even further to the establishment and fully have their backs broken so they will be forced to totally submit.
[00:15:27.668 --> 00:15:42.159]  And at another level, beyond just Nouveau-Riche trying to hide some of their money, that's why there's a war on lemonade stands, a war on Amish, a war on raw milk, a war on swap meats, a war on farmers markets.
[00:15:42.159 --> 00:15:43.220]  They admit there's a war on them.
[00:15:43.220 --> 00:15:52.206]  To shut down any basic human activity at the grassroots level, there's gonna be one giant global plastic corporate culture.
[00:15:52.206 --> 00:15:55.789]  And if you don't talk the way they say, your global ID card will be turned off.
[00:15:56.926 --> 00:15:57.627]  Uh, yeah.
[00:15:57.627 --> 00:16:03.452]  First of all, I want to say Secret 12, X2, Supermail, Brain Force, Prostagart, Silver Bullet.
[00:16:03.452 --> 00:16:04.412]  I use them all.
[00:16:04.412 --> 00:16:05.393]  They're phenomenal.
[00:16:05.393 --> 00:16:06.134]  They work.
[00:16:06.134 --> 00:16:06.974]  Buy them, folks.
[00:16:06.974 --> 00:16:07.455]  Thank you, brother.
[00:16:07.455 --> 00:16:09.376]  I want to thank you guys for putting those out there.
[00:16:09.376 --> 00:16:16.222]  I am a relatively short-time listener and I'm quite a supporter of your fine, fine products.
[00:16:16.222 --> 00:16:17.603]  Welcome to the InfoWar.
[00:16:17.603 --> 00:16:23.008]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWar at the same time.
[00:16:23.448 --> 00:16:24.169]  I'm a nine-year listener.
[00:16:24.169 --> 00:16:28.833]  I buy all the nutraceuticals, QFX, Nascent... Let me ask you a question.
[00:16:28.833 --> 00:16:29.894]  Have they worked for you?
[00:16:29.894 --> 00:16:32.736]  They're the most unbelievable products I've ever had in my life.
[00:16:32.736 --> 00:16:34.058]  What products are you taking?
[00:16:34.058 --> 00:16:42.105]  Everything from Supermail to Brain Force to Winter Sun, X2, even got a little DNA Force.
[00:16:42.105 --> 00:16:45.548]  So I just re-upped everything and I just went to Autofill.
[00:16:45.728 --> 00:16:50.772]  Visit Infowarslife.com to read the information and research and to see the reviews for yourself.
[00:16:50.772 --> 00:16:52.814]  That's Infowarslife.com or call 888-253-3139.
[00:16:57.990 --> 00:17:01.773]  Thousands of years ago, there was a basic form of chivalry.
[00:17:01.773 --> 00:17:09.499]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:17:09.499 --> 00:17:18.106]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:17:18.106 --> 00:17:22.509]  But in the 21st century, there are silent weapons for quiet war.
[00:17:22.509 --> 00:17:27.693]  Pathenogens added to the food and water, to the lining of plastics that destroy our vitality,
[00:17:28.113 --> 00:17:32.355]  Turn off our hormones and accelerate our journey towards death.
[00:17:32.355 --> 00:17:35.776]  I personally counter this onslaught with AnthroPlex.
[00:17:35.776 --> 00:17:46.921]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:17:46.921 --> 00:17:49.822]  Discover why AnthroPlex is turning so many heads today.
[00:17:49.822 --> 00:17:55.805]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[00:17:57.708 --> 00:18:01.670]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[00:18:01.670 --> 00:18:07.994]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:18:07.994 --> 00:18:15.279]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:18:15.279 --> 00:18:24.064]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[00:18:24.384 --> 00:18:30.548]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:18:30.548 --> 00:18:35.392]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:18:35.392 --> 00:18:38.974]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:18:38.974 --> 00:18:40.875]  No needles, no injections.
[00:18:40.875 --> 00:18:42.516]  Don't take my word for it.
[00:18:42.516 --> 00:18:43.717]  Try it for yourself.
[00:18:43.717 --> 00:18:46.039]  Discover the secret, Secret 12.
[00:18:46.039 --> 00:18:50.302]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com
[00:18:50.742 --> 00:18:51.284]  Or call 888-253-3139.
[00:18:51.284 --> 00:18:52.027]  InfoWarsLifeSecret12.
[00:18:57.481 --> 00:19:02.543]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:19:02.543 --> 00:19:11.187]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:19:11.187 --> 00:19:15.348]  Longevity also offers you an ingenious way to augment your income.
[00:19:15.348 --> 00:19:16.129]  And the best part?
[00:19:16.129 --> 00:19:19.010]  You'll be helping your friends and family along the way.
[00:19:19.010 --> 00:19:21.611]  Visit InfoWarsTeam.com today.
[00:19:21.611 --> 00:19:22.391]  Become a member.
[00:19:22.391 --> 00:19:26.453]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:19:26.673 --> 00:19:33.415]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:19:33.415 --> 00:19:34.355]  Another win-win.
[00:19:34.355 --> 00:19:38.096]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[00:19:38.096 --> 00:19:39.336]  And you can be too.
[00:19:39.336 --> 00:19:39.897]  It's simple.
[00:19:39.897 --> 00:19:42.837]  Just go to InfoWarsTeam.com today.
[00:19:42.837 --> 00:19:44.938]  Complete a short sign-up and you're part of the team.
[00:19:44.938 --> 00:19:48.179]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[00:19:48.179 --> 00:19:54.481]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[00:19:54.481 --> 00:19:55.781]  Check it out for yourself today.
[00:20:00.848 --> 00:20:14.824]  You're listening to The Alex Jones Show!
[00:20:14.824 --> 00:20:20.810]  Big Brother Mainstream Media Government Cover-Ups
[00:20:22.108 --> 00:20:24.210]  Do you want answers?
[00:20:24.210 --> 00:20:26.112]  Well, so does he.
[00:20:26.112 --> 00:20:35.282]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:35.282 --> 00:20:39.567]  Alright, I kind of went off into a rant about how the globalists operate.
[00:20:40.902 --> 00:20:43.723]  I'll be covering that some more in the next hour.
[00:20:43.723 --> 00:20:47.263]  Our intrepid reporter Rob Deu and crew will be joining us.
[00:20:47.263 --> 00:20:50.004]  They have been following Trump in Wisconsin this week.
[00:20:50.004 --> 00:20:51.224]  Joe Biggs is on the East Coast.
[00:20:51.224 --> 00:20:53.004]  He'll be joining us tomorrow.
[00:20:53.004 --> 00:20:58.085]  A lot of amazing interviews, a lot of amazing videos up on InfoWars.com.
[00:20:58.085 --> 00:21:04.746]  The media will go interview one anti-Trump person but then ignore hundreds of people for Trump.
[00:21:04.746 --> 00:21:07.827]  We estimate it's 50 to 1 in Wisconsin for Trump.
[00:21:08.663 --> 00:21:15.064]  We have videos showing that up on Infowars.com, and I want to be clear.
[00:21:15.064 --> 00:21:17.885]  I have issues with Trump on the Apple iPhone.
[00:21:17.885 --> 00:21:19.885]  I have issues with Trump on torture.
[00:21:19.885 --> 00:21:27.746]  I have issues with Trump on a lot of things, but I think he genuinely really says what he thinks he has to say, and the establishment is scared of him.
[00:21:27.746 --> 00:21:35.808]  But regardless, he's winning the popular vote by a landslide in the primaries, and already, in multiple states,
[00:21:37.349 --> 00:21:42.552]  They have taken the popular vote from him and given it to Ted Cruz.
[00:21:42.552 --> 00:21:45.954]  I shot a special report on that yesterday.
[00:21:45.954 --> 00:22:00.082]  In Tennessee, in Louisiana, and now other states, he wins, but they give the delegates to Cruz and then say he wins, and then the Tennessean newspaper and others come out and act like Trump's a sore loser.
[00:22:00.082 --> 00:22:06.426]  The media says, oh, Donald Trump doesn't know what he's doing, that's why he's losing his delegates.
[00:22:07.796 --> 00:22:13.057]  The delegates are pledged in their precinct to whoever got the popular vote.
[00:22:13.057 --> 00:22:15.258]  And then they're proportioned in most states.
[00:22:15.258 --> 00:22:18.538]  Some states are one or take all.
[00:22:18.538 --> 00:22:21.459]  But very few.
[00:22:21.459 --> 00:22:22.699]  That's why they're prized and coveted.
[00:22:22.699 --> 00:22:25.840]  But most states like Texas and other areas, it's apportioned.
[00:22:25.840 --> 00:22:33.942]  And then so if someone in a district as a delegate is then apportioned for those groups, they represent those voters and they pledge to do that.
[00:22:33.942 --> 00:22:34.922]  That's the way it's always been.
[00:22:37.295 --> 00:22:42.239]  But now they quote, change the rules in 78, but we're never willing to actually overthrow an election.
[00:22:42.239 --> 00:22:45.301]  They talked about it with Reagan in 1980.
[00:22:45.301 --> 00:22:48.984]  Trump's now hired Roger Stone's former business partner.
[00:22:48.984 --> 00:22:58.471]  Stone was involved as well with a firm that battled for Reagan in 1980 and defeated the move to do that.
[00:22:58.471 --> 00:23:00.673]  And now Trump's
[00:23:02.315 --> 00:23:24.081]  Former Chief of Staff has been somewhat sidelined, and Stone's business partner is now being made, according to the New York Times, and of course I heard about it before it was in the New York Times, but the point is, now I can talk about it, that really this is the face-saving, you know, shadow head of the campaign, will just remain the shadow, which is a consortium of people, and they'll still have Ladowski out there.
[00:23:24.081 --> 00:23:28.982]  Nothing against Ladowski, he's just not as sophisticated as some of these other people, so that's a big plus for Trump.
[00:23:30.672 --> 00:23:41.002]  I just sit here watching the psychological warfare, the PSYOP, of every channel I watch, from MSNBC to Fox, going, what's the big deal?
[00:23:41.002 --> 00:23:53.054]  Priebus on Fox, Priebus on CNBC, the head of the Republican Election Rules Committee, Curly Hewlin, we're going to play a clip of him in a moment, saying, hey,
[00:23:55.646 --> 00:23:58.087]  Media, stop telling folks the popular vote should count.
[00:23:58.087 --> 00:23:59.247]  It never has.
[00:23:59.247 --> 00:24:00.928]  It's always been the party.
[00:24:00.928 --> 00:24:02.129]  That's not true.
[00:24:02.129 --> 00:24:13.113]  You have election money, you have state election laws, you have false advertising that they're saying your vote counts, your election, get out there, go for your candidate.
[00:24:13.113 --> 00:24:20.796]  This giant fraud, the media, making billions every election cycle, every year, covering your vote tonight, what happened with you.
[00:24:20.796 --> 00:24:21.817]  And now they say, oh, guess what?
[00:24:21.817 --> 00:24:22.337]  It's all fake.
[00:24:24.224 --> 00:24:35.467]  Well, I think it's the author of The Fix is In back on where he breaks down how the NFL tickets and all the other major tickets say on them, entertainment purposes only.
[00:24:35.467 --> 00:24:37.588]  This is not really a game.
[00:24:37.588 --> 00:24:46.250]  And then that's how they're allowed at key games and key events with the billions that are being gambled every game, bigger than the whole profit of the sport for a whole year.
[00:24:46.250 --> 00:24:47.851]  I'm just picking out the NFL.
[00:24:47.851 --> 00:24:48.411]  They all do it.
[00:24:49.321 --> 00:24:53.503]  And then when it comes time, every team, folks, engages in fraud.
[00:24:53.503 --> 00:24:57.164]  Every major quarterback takes a dive.
[00:24:57.164 --> 00:25:05.187]  Every, I mean, it's just fraud up one side and down the other, because it's all entertainment.
[00:25:05.187 --> 00:25:08.568]  Now that's according to our sources and our experts, and it's come out.
[00:25:08.568 --> 00:25:12.790]  And the FBI's never been allowed to go after any big sports.
[00:25:12.790 --> 00:25:17.472]  That's why, you know, Pete Rowe's gotten so much trouble gambling when he was a coach.
[00:25:19.107 --> 00:25:22.190]  Because he got caught and oh, it's totally clean.
[00:25:22.190 --> 00:25:24.012]  No one's ever gotten in trouble.
[00:25:24.012 --> 00:25:25.894]  He was just so out in the open about it.
[00:25:25.894 --> 00:25:29.398]  That's why he was punished.
[00:25:29.398 --> 00:25:36.145]  So the corruption is coming out and Donald Trump says, look, they want to knock out the outsider.
[00:25:36.145 --> 00:25:37.546]  They want to keep their little party going.
[00:25:37.546 --> 00:25:39.509]  I'm going to play that clip.
[00:25:39.509 --> 00:25:40.069]  And then MSNBC.
[00:25:42.836 --> 00:25:45.998]  Saying Trump's losing delegates because he doesn't know what he's doing.
[00:25:45.998 --> 00:25:50.281]  Funny, I thought he went, I thought he ran, I thought they were pledged to him.
[00:25:50.281 --> 00:25:53.883]  And even if there was going to be a fight over the delegates, it would happen in Cleveland this summer.
[00:25:53.883 --> 00:25:57.566]  No, Ted Cruz and the RNC are getting them at the state level.
[00:25:57.566 --> 00:26:04.070]  So they announced, oh, Trump won Tennessee, Trump won Louisiana, and then a week later, sorry, he lost it.
[00:26:04.070 --> 00:26:07.733]  Then the newspapers come out and say, well, the delegates didn't go to him.
[00:26:07.733 --> 00:26:09.734]  They go to Ted Cruz now.
[00:26:12.116 --> 00:26:15.758]  And kooks don't like it.
[00:26:15.758 --> 00:26:32.786]  So I guess if a child molester grabs your five-year-old out of the backyard, and a month later the cops pull him over and find your kid dead in the trunk, all that killer's got to do is get out and say, hey, it's a conspiracy theory that what I did was wrong.
[00:26:32.786 --> 00:26:36.688]  The serial killer won't even deny there's a dead kid in the back of the trunk.
[00:26:37.651 --> 00:26:40.712]  And video cassettes of the serial killer torturing him.
[00:26:40.712 --> 00:26:49.475]  The serial killer will say, you are a conspiracy theorist for thinking it's wrong I grabbed your five-year-old out of the backyard and tortured him for three weeks.
[00:26:49.475 --> 00:26:51.395]  And let me tell you, it was fun.
[00:26:51.395 --> 00:26:52.736]  I have a right to grab your kid.
[00:26:52.736 --> 00:26:54.176]  I have a right to torture him.
[00:26:54.176 --> 00:26:59.818]  I have a right to kill him and have him beg for mommy and daddy for three weeks before I finally strangle him.
[00:26:59.818 --> 00:27:01.359]  I killed him.
[00:27:01.359 --> 00:27:02.219]  I'll kill more kids.
[00:27:03.780 --> 00:27:07.582]  There's nothing you can do, and the fact that you don't like it makes you a conspiracy theorist.
[00:27:07.582 --> 00:27:18.066]  You see, they've gone from if you question a known lying government, saying you're a conspiracy theorist, to if you don't like something.
[00:27:18.066 --> 00:27:19.887]  I've had the PSA when I don't want to be searched.
[00:27:21.345 --> 00:27:24.106]  Say, oh, we got one of these conspiracy theorists.
