[00:00.000 --> 00:05.000]  1884 is 1776.
[17:40.000 --> 17:45.000]  They're not going to ever stop their attacks until they have the fear of God put into them.
[17:46.000 --> 17:51.000]  The average person still doesn't even know about the new world order or about globalism or about corporate fascism.
[17:51.000 --> 17:57.000]  And it's not until people understand that and that we're under attack that we have any chance of beating these people.
[18:21.000 --> 18:24.000]  It is specifically designed to establish healthy waste tanks and pits.
[18:25.000 --> 18:30.000]  BioPortaPro, Digest Grease, Fats, Oil, Sludge, Paper and Organic Matter with ease.
[18:31.000 --> 18:38.000]  It contains no chemicals, no GMOs and is safe for all portable restrooms, porta-potties, outhouses and pit toilets.
[18:39.000 --> 18:40.000]  It is also human and animal safe.
[18:41.000 --> 18:44.000]  Get up to 20 treatments with the scoop for easy applications.
[18:45.000 --> 18:47.000]  Just pour and flush, it's that simple.
[18:47.000 --> 18:52.000]  Say goodbye to septic problems, gas buildup and odor, guarantee.
[18:53.000 --> 18:55.000]  Visit theBioPros.com and see for yourself.
[18:58.000 --> 19:01.000]  Cognitive dissonance is a major issue amongst the left.
[19:02.000 --> 19:06.000]  It can be very stressful dealing with facts you refuse to accept.
[19:07.000 --> 19:10.000]  If you have a family member suffering from this degenerative mental condition,
[19:11.000 --> 19:15.000]  buy them a bottle of ultimate fish oil from InfowarsStore.com.
[19:15.000 --> 19:21.000]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure,
[19:22.000 --> 19:25.000]  decrease triglyceride levels, decrease the growth rate of plaque
[19:26.000 --> 19:31.000]  and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[19:32.000 --> 19:36.000]  Recent studies have suggested that high EPA and DHA fish oil
[19:37.000 --> 19:43.000]  can stimulate immune function by increasing the concentration and activity of immune cells.
[19:43.000 --> 19:51.000]  It worked for my family and now I can have a logical and calm discussion about actual facts that pertain to reality.
[19:51.000 --> 20:13.000]  Get your ultimate fish oil for a friend, family member or yourself at InfowarsStore.com.
[20:22.000 --> 20:27.000]  Remember, you'll have nothing, you'll own nothing, you'll like it, you'll drink sewage water and eat river plants.
[20:28.000 --> 20:34.000]  Bill Gates says that you're going to get used to eating soybeans and getting used to the flavor.
[20:35.000 --> 20:36.000]  He's the biggest owner of farmland in the U.S.
[20:37.000 --> 20:40.000]  He's converting it from a beef production to soybean.
[20:41.000 --> 20:47.000]  The type of soybean he puts out through his holdings in Monsanto into McDonald's is the whole soybean.
[20:47.000 --> 20:50.000]  You know, soybean is fine if it's just the outside of the soybean,
[20:51.000 --> 20:55.000]  but if you put the center of the soybean in, it's very toxic levels of estrogen.
[20:56.000 --> 21:02.000]  And then that gives women massive cancers and also feminizes men and then gives men cancer as well.
[21:03.000 --> 21:06.000]  So it's all about the chemical biological attack on humanity.
[21:07.000 --> 21:09.000]  They're not just hitting us through the poison shots,
[21:09.000 --> 21:18.000]  but they want the poison shots to be able to then bring in the world ID that is tied to the carbon tax and the social credit score.
[21:19.000 --> 21:25.000]  And then again, once your immune systems are raised, they will simply say, oh, you're sick and dying because of the unvaccinated.
[21:26.000 --> 21:30.000]  But then when it's heart attacks and blood clots and the lungs filling up with fluid,
[21:31.000 --> 21:34.000]  they just say, oh, we don't know what it is and it's a big mystery.
[21:34.000 --> 21:39.000]  I'm going to be reading that report next segment and going over it.
[21:40.000 --> 21:45.000]  But do you understand we just can't get normalized to this information?
[21:46.000 --> 21:51.000]  That's why they've been talking about giving our children these experimental shots for 20 months before they even had them ready.
[21:52.000 --> 21:54.000]  Of course, they really secretly already did have the developments come out.
[21:54.000 --> 22:03.000]  So you just get so sick of hearing about, hey, the FDA panel, the third one they had to put in charge with a bunch of big pharma heads on it now.
[22:04.000 --> 22:07.000]  They took the scientists off and put the executives on it, just voted.
[22:08.000 --> 22:13.000]  It wasn't unanimous, but it was the majority to start shooting five-year-olds up.
[22:14.000 --> 22:17.000]  And so now Biden will announce it as he promised to do months ago on Halloween.
[22:18.000 --> 22:20.000]  It's all a big in-your-face operation.
[22:20.000 --> 22:31.000]  So think about that and think about how huge that is that what they're really saying is your five-year-olds to go to school or to go on a plane or anywhere.
[22:32.000 --> 22:38.000]  That's what they're taking us is they have to have this shot that erases their immune system for general problems,
[22:39.000 --> 22:45.000]  but then heightens your immune system for any type of virus similar to COVID, which is a coronavirus.
[22:45.000 --> 22:53.000]  So they've already done the studies and the tests in the last year on children two and up with these sick leftist parents that are doing this,
[22:54.000 --> 22:57.000]  that worship the states in the form of human sacrifice.
[22:58.000 --> 23:00.000]  But most of them just have Stockholm syndrome.
[23:01.000 --> 23:04.000]  But now they're going to try to force you to do it.
[23:05.000 --> 23:08.000]  So this is a real line in the sand they're crossing.
[23:08.000 --> 23:17.000]  And I'm just wondering how much we're going to put up with as a society and as a civilization because this is war.
[23:18.000 --> 23:23.000]  We confirmed with all these different studies and reports and even the advisories they've got to put on these shots.
[23:24.000 --> 23:34.000]  Now they can cause a raft of serious cardiovascular issues, heart swelling, flat-out heart attacks, death, and there it is.
[23:34.000 --> 23:42.000]  And then yesterday, Dr. Fleming and his big medical report and study put out with other scientists under the microscope
[23:43.000 --> 23:52.000]  showing that it takes oxygenated blood and destroys the hemoglobin when you put the Pfizer vaccine in with fresh blood in vitro.
[23:53.000 --> 23:57.000]  Anybody that knows about blood, it's very hard to get oxygenated blood to change its color.
[23:58.000 --> 24:01.000]  So this is doing a big, big, big, big, big disservice to everybody.
[24:01.000 --> 24:05.000]  And now we know why people that have taken the shots are having so much trouble breathing.
[24:06.000 --> 24:13.000]  It's because when it gets into a capillary that gets into an artery or vein, it then really triggers a chain reaction in your body.
[24:14.000 --> 24:21.000]  And a lot of people drop dead around the world here in the U.S. as well within 30 minutes of taking these shots.
[24:22.000 --> 24:29.000]  They fall down, they have a convulsion because it gets into an artery or vein and then it clocks up and then it hits the brain
[24:29.000 --> 24:32.000]  or the lungs of the heart and it is bye-bye.
[24:33.000 --> 24:38.000]  It is time to go six feet under for a long dirt nap.
[24:39.000 --> 24:47.000]  We don't just have all the documents of the science and the background and the pathology national board of Germany coming out and saying this five months ago.
[24:48.000 --> 24:52.000]  Everyone I know has family that's dead or died after the shot.
[24:53.000 --> 24:57.000]  Everybody I know knows young people that took it and got either paralyzed or had heart swelling.
[24:57.000 --> 24:59.000]  Everybody I know.
[25:00.000 --> 25:16.000]  In fact, I was talking to a family member who has a really good friend whose sister's boyfriend who's 22 years old died in Florida two weeks after it had the shot.
[25:17.000 --> 25:21.000]  And then they know another person that's died and then another and another.
[25:22.000 --> 25:24.000]  I mean, it's just, I was just hearing about that yesterday.
[25:24.000 --> 25:26.000]  And they even said, yeah, it looks like the vaccine killed them.
[25:27.000 --> 25:34.000]  The doctors know this, but it's not just Alex Jones up here anecdotally telling you this or what you see in your own life.
[25:38.000 --> 25:43.000]  This is the report right here that I'm getting to next segment.
[25:44.000 --> 25:48.000]  ERs are now swamped with seriously ill patients, but many don't have COVID.
[25:48.000 --> 25:57.000]  Is this the worst it's ever been? They've got national numbers on it and they say it's heart attacks, heart swelling, blood clots, and of course the other list of things.
[25:58.000 --> 26:02.000]  The FDA and CDC quietly predicted it would indeed be doing.
[26:03.000 --> 26:07.000]  And now they're coming after the children and then we've got the UK with the seminal numbers.
[26:07.000 --> 26:18.000]  Oh, and now, oh, sorry, fully vaxed. This is the third shot the FDA says and the CDC says. No, no, no, it's a fourth shot.
[26:19.000 --> 26:22.000]  Wow. So they're adding about a shot every couple months now.
[26:23.000 --> 26:31.000]  So I guess in a year we'll be up to seven, eight, nine, 10 shots, which is what Gates Moderna Prospectus about 18 months ago said.
[26:31.000 --> 26:36.000]  They said, oh, we'll be getting a lot of boosters every year up to 10.
[26:37.000 --> 26:41.000]  You see, because this erases your immune system and so they're going to say, oh, you're sick, you need more.
[26:42.000 --> 26:46.000]  Kind of like a person's drowning, you just say, well, let's tie a couple bowling balls to your legs.
[26:47.000 --> 26:51.000]  Or how about some cement buckets, some cement shoes? That'll help you swim the English Channel.
[26:52.000 --> 26:57.000]  We're going to go to break. We're going to come back and get into all this huge, massive news.
[26:57.000 --> 27:02.000]  You've seen food prices explode as we told you they would 20 months ago. That's a plan of the great reset.
[27:03.000 --> 27:06.000]  You've seen supply chains break down. That's all part of the globalist operation.
[27:07.000 --> 27:13.000]  And we just got word that our great supplier that had waited a long time to do this.
[27:14.000 --> 27:16.000]  Other suppliers have gone up five or six times the last couple of years.
[27:17.000 --> 27:18.000]  They only went up a little bit a few years ago.
[27:18.000 --> 27:26.000]  But my Patriot supply is going to be forced to go up across the board some on all of their high-quality, storeable foods on November 15th.
[27:27.000 --> 27:32.000]  So the prices will go up some at infowarstore.com and preparewithalix.com.
[27:33.000 --> 27:36.000]  It takes you right to the subpage, the infowarstore.com, preparewithalix.com.
[27:37.000 --> 27:44.000]  And so I wouldn't wait. They got the food ready, fresh, packed, hundreds of different types of foods, specialty diets, stuff last decades.
[27:44.000 --> 27:52.000]  It's in big sealed plastic, you know, tote containers that would cost a lot of money at the store by themselves.
[27:53.000 --> 27:56.000]  And then they have sealed plastic pouches inside that are super strong.
[27:57.000 --> 28:01.000]  I mean, this is high-quality food, incredibly well packaged because that's very important.
[28:02.000 --> 28:03.000]  It's fresh and it's ready to ship to you right now.
[28:04.000 --> 28:06.000]  And your purchase keeps the show on the air.
[28:07.000 --> 28:08.000]  So it's a 360 win.
[28:08.000 --> 28:14.000]  The only way I see are going to fail is not getting a three-month bug out pack, not getting a six-month, not getting a year,
[28:15.000 --> 28:19.000]  and not just having that, just looking at firearms and water filtration as a reserve.
[28:20.000 --> 28:21.000]  So preparewithalix.com.
[28:22.000 --> 28:24.000]  We have the Alexa Pure water filtration systems that are the highest rated.
[28:25.000 --> 28:29.000]  At about half the price you'll pay for leading competitors that are just as good in the rating service.
[28:30.000 --> 28:32.000]  And there's only, there's probably 100 gravity-fed filters. We're in the top three.
[28:33.000 --> 28:36.000]  And so, again, for the price, you can't get something better.
[28:36.000 --> 28:39.000]  So that's their air filtration, water filtration, all that.
[28:40.000 --> 28:44.000]  But the same folks that bring in my Patriot supply at infowarstore.com,
[28:45.000 --> 28:47.000]  preparewithalix.com, I would get prepared now.
[28:48.000 --> 28:50.000]  That's how you beat inflation is to get that food and hold on to it.
[28:51.000 --> 28:56.000]  And then down the road, well, it's going to go up faster than the price of real estate here in this hyperinflationary system.
[28:58.000 --> 29:04.000]  Hey, everybody, Alex Jones here on the morning of Friday, October 22nd, 2021,
[29:04.000 --> 29:08.000]  with a very important update for supporters of InfoWars.
[29:09.000 --> 29:13.000]  Several of our best-selling products are back in stock, limited supplies,
