[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[09:10.000 --> 09:21.000]  He should protest all those things. This week it's pollution, but we've been called viruses and garbage. The Nazis called Jews, garbage viruses and rats.
[09:21.000 --> 09:29.000]  So if he just adds rats on there, he'll have his Nazi pallet of verbal lies down correctly.
[09:29.000 --> 09:37.000]  And it's good. George Soros is lacking, so he works for a Nazi collaborator, at least in spirit.
[09:37.000 --> 09:43.000]  And these aren't words. This is the truth. Versus what they are, known quantities from WikiLeaks.
[09:43.000 --> 09:52.000]  Everything's rigged, fake town halls, fake debates, fake questions, fake polls, fake, fake, fake, fake, fake, fake, fake, fake.
[09:52.000 --> 09:55.000]  They are the bonafide fake, but they're not just that.
[09:55.000 --> 10:00.000]  In the Soviet Union, the government would go out and censor media. In America, it's...
[10:00.000 --> 10:05.000]  See, being in the middle of this, I'm learning how it all works, which is fascinating for all of us to understand.
[10:05.000 --> 10:10.000]  Project Veritas has released two videos where you've got Twitter, Facebook and YouTube.
[10:10.000 --> 10:13.000]  Twitter and Facebook on one, YouTube on another.
[10:13.000 --> 10:21.000]  Executives with the New York Times, senior people, heads of operations for their internet outreach, saying,
[10:21.000 --> 10:25.000]  Our main job is shutting down Alex Jones, and we watch him for Google or in a partnership.
[10:25.000 --> 10:29.000]  We've got other groups that advise us, Snopes, George Soros, and this is the whole video.
[10:29.000 --> 10:32.000]  There's hours of the footage, Project Veritas, and they said,
[10:32.000 --> 10:36.000]  We are main job shut down Alex Jones. They go, well, like, what else?
[10:36.000 --> 10:40.000]  Well, if you like American flags, or you say you like veterans, you're banned too.
[10:40.000 --> 10:44.000]  I mean, you don't know you're banned, but we don't let anybody see what you've done, and you feel all alone.
[10:44.000 --> 10:46.000]  And it really depresses them, and they all start laughing.
[10:46.000 --> 10:52.000]  I mean, we played these clips many times, and they have congressional hearings.
[10:52.000 --> 10:58.000]  You know, you saw at lunch, Imple Wars was number one, with fake news that a Muslim ran people over in New York.
[10:58.000 --> 11:04.000]  And of course, this is the day it happened three months ago, and you're like, but he did do that that day.
[11:04.000 --> 11:07.000]  And Congresswoman Quigley goes, no Muslim attacked.
[11:07.000 --> 11:11.000]  They go, you're right, sir, no Muslim attacked. We banned him.
[11:11.000 --> 11:14.000]  He banned the number one article by Paul Watson.
[11:14.000 --> 11:18.000]  And imagine how it is for me. Do, do, do, do, do, do, do, do. No Muslim attacked.
[11:18.000 --> 11:21.000]  Dude, he's like, I'll opt by running people over.
[11:21.000 --> 11:24.000]  Yeah, if you want to see it, there it is, Vin, the video.
[11:24.000 --> 11:29.000]  Dim Lawmaker demands Twitter, censor, Imple Wars. So I'm giving you the backstory here.
[11:29.000 --> 11:34.000]  So Paul Watson calls me two weeks ago, and he goes, why aren't you covering my article you normally do?
[11:34.000 --> 11:38.000]  It's pretty big. This is going to be the attack, Alex.
[11:38.000 --> 11:43.000]  They say, they admit it's about money, and they're going to shut us down, and then everybody else,
[11:43.000 --> 11:48.000]  because they believe that if they think one popular was some by getting rid of us, others will accept it.
[11:48.000 --> 11:54.000]  Then the president said, I go, Paul, I don't need a authoritarian history lesson, my friend.
[11:54.000 --> 11:57.000]  Yes, I understand what they're doing.
[11:57.000 --> 12:03.000]  They've been demonizing us for years, so the public will accept our banning.
[12:03.000 --> 12:10.000]  And when they came out and said CNN is actively trying to ban Imple Wars off YouTube and other platforms,
[12:10.000 --> 12:14.000]  and then set a bunch of lies we didn't say, not in quotes, not video.
[12:14.000 --> 12:18.000]  I don't know how journalistically fraudulent that is to say, Joan says no one died in Florida.
[12:18.000 --> 12:23.000]  Joan says all of this. Joan says that they're all crisis actors.
[12:23.000 --> 12:25.000]  We said none of it.
[12:25.000 --> 12:30.000]  And then to not even show a clip or a quote.
[12:30.000 --> 12:38.000]  And then to brag they're in our account looking at our videos and talking about our account and our revenue and everything.
[12:38.000 --> 12:45.000]  Imagine if it was like, I was like, I'm in CNN's YouTube account, I'm trying to ban it right now, I know everything about it.
[12:45.000 --> 12:48.000]  And we know all about how much money Mr. Jones makes, by the way.
[12:48.000 --> 12:56.000]  Because you know, we're Imple Wars, we're just allowed to, you know, be in your corporate agreements, because, you know, we're God, you know, dude.
[12:56.000 --> 13:05.000]  Just like the NSA spying on you or the big telecoms, and they just do it.
[13:05.000 --> 13:11.000]  And it isn't about me, what has me upset about this, because again, short term, this just makes us even better.
[13:11.000 --> 13:14.000]  I mean, it's like the amount of traffic is incredible.
[13:14.000 --> 13:17.000]  It's the precedent.
[13:17.000 --> 13:19.000]  The precedent for this is incredible.
[13:19.000 --> 13:22.000]  This is their admission of taking over.
[13:22.000 --> 13:30.000]  And they've got all these paid YouTube people, liberal and conservative, that are allowed to be promoted because they go after free speech, they agree with the bans of others.
[13:30.000 --> 13:33.000]  And then they bitch and complain when they themselves get banned.
[13:33.000 --> 13:37.000]  It's like guys, you know, at IBM, I knew, that train their Indian replacements.
[13:37.000 --> 13:41.000]  And there were people below them going, you know, in a year, they'll fire you next.
[13:41.000 --> 13:43.000]  They're like, I don't care, they're going to keep me on.
[13:43.000 --> 13:47.000]  And then those guys were crying a year later when they got fired.
[13:47.000 --> 13:51.000]  Replaced by Indians paid 20, you know, percent of what they were paid.
[13:51.000 --> 13:57.000]  And it's that same thing where, and I see all these YouTube channels and stuff with the same talking points, the same script.
[13:57.000 --> 13:59.000]  I know what they're going to say next, because it's a script.
[13:59.000 --> 14:01.000]  We've gotten copies of the scripts.
[14:01.000 --> 14:03.000]  We've covered it.
[14:03.000 --> 14:04.000]  And so they have these scripts.
[14:04.000 --> 14:12.000]  So CNN and the New York Times, the Washington Post, they are all on video saying they police info wars.
[14:12.000 --> 14:17.000]  And that they believe if they can shut info wars down, they can shut everybody down.
[14:17.000 --> 14:26.000]  So this is, we've had lots of testing and lots of shadow banning and lots of cutting conservatives back and lots of blocking and lots of this and that.
[14:26.000 --> 14:31.000]  Now the full assault and boy, since Friday, thousands of emails have come in.
[14:31.000 --> 14:34.000]  Everybody's calling the other media going, it's true.
[14:34.000 --> 14:36.000]  They're blocking our channel and banning us.
[14:36.000 --> 14:37.000]  Big talk show host.
[14:37.000 --> 14:43.000]  Everybody else is saying, yeah, my videos are all being taken down because it's on folks.
[14:43.000 --> 14:44.000]  It's on.
[14:44.000 --> 14:46.000]  This is the new offensive.
[14:46.000 --> 14:47.000]  This is the new attack.
[14:47.000 --> 14:55.000]  It's here on the Internet and how they're going to set the precedent is just like the Wall Street Journal said.
[14:55.000 --> 15:00.000]  Our CEO met with the CEO of YouTube and they're going to call everything bullying now.
[15:00.000 --> 15:07.000]  So you can have four kids out of 3000 be the spokespersons of anti-gun, anti-gun parents.
[15:07.000 --> 15:08.000]  They can be in the drama club.
[15:08.000 --> 15:10.000]  They can be all those things.
[15:10.000 --> 15:11.000]  Not saying they're fake.
[15:11.000 --> 15:12.000]  We're saying they're actors.
[15:12.000 --> 15:14.000]  They admit they are Buzzfeed admits it.
[15:14.000 --> 15:15.000]  They're putting out talking points.
[15:15.000 --> 15:17.000]  They can be the only ones you hear from.
[15:17.000 --> 15:27.000]  They can get up at town halls and say, Dana Loesch, you're a murderer and the crowd starts chanting, burn her, burn her, like some ancestral memory of burning witches or something like a hot woman.
[15:27.000 --> 15:28.000]  It scares them.
[15:28.000 --> 15:29.000]  A hot, smart woman.
[15:29.000 --> 15:30.000]  They want to murder her immediately.
[15:30.000 --> 15:32.000]  So they're chanting, murder a woman.
[15:32.000 --> 15:33.000]  Boy, me too.
[15:33.000 --> 15:34.000]  Hot almighty.
[15:34.000 --> 15:36.000]  Where's your me too movement?
[15:36.000 --> 15:42.000]  And it's all cutesy and it's all out of simple casting from the anti-gun drama club at the school.
[15:42.000 --> 15:43.000]  That's all admitted.
[15:43.000 --> 15:48.000]  And if you talk about it, Glenn Beck comes on and agrees you should be banned with Brian Stelter.
[15:48.000 --> 15:49.000]  So that's coming up next.
[15:49.000 --> 15:54.000]  Glenn Beck and all of them lined up saying ban info wars.
[15:54.000 --> 15:56.000]  Stop info wars.
[15:56.000 --> 15:59.000]  And that means ban the free internet and Beck thinks you'll be on the new net.
[15:59.000 --> 16:03.000]  You know, I've got some talking points here about caveman from info wars life.com.
[16:03.000 --> 16:07.000]  But instead of going with those talking points, let me just give you what I've experienced personally.
[16:07.000 --> 16:12.000]  From all the wives tales in every culture, we know that the bones have the essence.
[16:12.000 --> 16:15.000]  We know chicken noodle soup is great for people that are sick.
[16:15.000 --> 16:19.000]  Again, in every culture, this has been reported because it works.
[16:19.000 --> 16:32.000]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[16:32.000 --> 16:40.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy.
[16:40.000 --> 16:47.000]  This, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there.
[16:47.000 --> 16:49.000]  And it's amazing.
[16:49.000 --> 16:51.000]  Find out for yourself today at infowarstore.com.
[16:51.000 --> 16:53.000]  What do you do for your family?
[16:53.000 --> 16:55.000]  And again, I want to thank you all for your support.
[16:55.000 --> 17:21.000]  We are funding the Information War in 2018.
[17:21.000 --> 17:29.000]  In the history of infowarstore's life, we've brought out a lot of amazing products like Survival Shield X2, SuperMail Vitality and so many others.
[17:29.000 --> 17:39.000]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[17:39.000 --> 17:41.000]  And this part is most important.
[17:41.000 --> 17:48.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[17:48.000 --> 17:51.000]  That means it's clean. That means it's pure.
[17:51.000 --> 17:54.000]  And rest secured, you're funding the tip of the spear in the info war.
[17:54.000 --> 17:57.000]  That's infowarslives.com and vitamin mineral fusion.
[17:57.000 --> 18:19.000]  And now before we sell out.
[18:19.000 --> 18:28.000]  Let me tell you something. It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[18:28.000 --> 18:30.000]  That's what I'm talking about.
[18:30.000 --> 18:38.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[18:38.000 --> 18:48.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:48.000 --> 18:51.000]  Now that's what I call the miracle of food preservation.
[18:51.000 --> 18:55.000]  Harvest right is truly the world's best, most affordable freeze dryer.
[18:55.000 --> 19:22.000]  So what are you waiting for? Check it out right now at infowarstore.com.
[19:22.000 --> 19:29.000]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[19:29.000 --> 19:39.000]  Instead of containing fluoride, our super blue line is floated with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[19:39.000 --> 19:46.000]  Super blue, fluoride free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[19:46.000 --> 19:52.000]  Silatol, nano silver and iodine. Notice the difference with our super blue fluoride free products.
[19:52.000 --> 19:57.000]  Refresh your breath and invigorate your oral health routine at infowarstore.com.
[19:57.000 --> 20:03.000]  That's infowarstore.com.
[20:03.000 --> 20:11.000]  You're listening to the Alex Jones show.
[20:11.000 --> 20:26.000]  Big Brother mainstream media government coverups.
[20:26.000 --> 20:29.000]  You want to stop tyranny? Well, so does he.
[20:29.000 --> 20:35.000]  Live from the infowarst.com studios, it's Alex Jones.
[20:35.000 --> 20:42.000]  So, if they came for the internet, if they came for your free speech and that meant all the other amendments, all your basic freedoms.
[20:42.000 --> 20:50.000]  If Hollywood was being bought up by the Communist Chinese who just voted to make the Chinese dictator for life.
[20:50.000 --> 21:01.000]  If that was happening, if they were pushing anti-God, anti-family, if CNN and MSNBC was criticizing the State of the Union because the president talked about family and churches.
[21:01.000 --> 21:06.000]  If that was happening, would you do something? Well, the answer is you have done something.
[21:06.000 --> 21:11.000]  You've been awake. You overpowered the corporate fake stream media.
[21:11.000 --> 21:21.000]  We elected Trump. He's done a great job as much as he can as a real lion against these hyenas and wolves and against these jackals getting much of what he said he would do done.
[21:21.000 --> 21:29.000]  And they're mad because power is being returned to Washington and to the states from these global combines.
[21:29.000 --> 21:47.000]  And a lot of people are asking, what do we do about the admitted massive censorship of conservatives and libertarians and Christians and veterans groups and nationalist groups that is just incrementally intensifying and now it's hitting a boiling point like the frog in the boiling pot.
[21:47.000 --> 21:54.000]  You realize it's not work. You realize it's the animating contest of liberty that Jefferson talked about. You call local talk radio.
[21:54.000 --> 22:02.000]  You call C-SPAN. You call Congress. You go to public events. You go out and demonstrate even if it's you by yourself.
[22:02.000 --> 22:13.000]  You climb up that billboard that says kill members of the NRA that's calling for criminal action in Florida and the murder of innocent people as a citizen's arrest and you spray paint on that, whatever you think's best.
[22:13.000 --> 22:17.000]  I'm not saying do that, but I am saying they're not taking it down.
[22:17.000 --> 22:26.000]  What are we going to do when they're calling for murder and violence and the police are bought and paid for in many areas and won't do anything? What are we going to do?
[22:26.000 --> 22:34.000]  We'll be talking in the next few days about what we do.
[22:34.000 --> 22:38.000]  But first, we have to raise the alarm that this is even happening.
[22:38.000 --> 22:50.000]  So if you just joined us, you can pull up the Wall Street Journal articles. We've already shown them on air, already mentioned it last segment. They came out two weeks ago and said we've got a plan to shut down the free Internet.
[22:50.000 --> 22:58.000]  We're going to call everything hate speech or bullying or Russian and we're going to start banning info wars on YouTube, Facebook and Twitter in the next month.
[22:58.000 --> 23:04.000]  And then once we have the public accepting that the precedent will be set, we're going to have about 100 providers online and that'll be it.
[23:04.000 --> 23:10.000]  No more websites will be accessible on any major platform. Now, they then said we'll go after all the servers and everybody else.
[23:10.000 --> 23:19.000]  So that then got picked up by everybody else and they said, look out, Alex Jones, YouTube's going to shut you down. That was the next day.
[23:19.000 --> 23:32.000]  So it's here. How do they do it? Well, they don't just say we're banning free speech. They go, Alex Jones bullied children and said there was no shooting in Florida and that they're all crisis actors.
[23:32.000 --> 23:49.000]  No, I said they're scripted. They're having scripted town halls. They only have four people out of 3,000 students who are saying known exact scripted gun control lines from the Brady Center, from the Violence Policy Center, from the Bloomberg Group, which the kids call themselves activists for.
[23:49.000 --> 24:01.000]  But they don't when they start banning us on YouTube as YouTube's announcing. They don't show a clip of us. They don't. Again, that's not journalistic to say I said something and they're not show a clip.
[24:01.000 --> 24:15.000]  That is so fraudulent. That's the telltale sign and they just move forward. So it's here. This is their big assault. And what's the key for the 2018 midterm elections?
[24:15.000 --> 24:27.000]  They are going to have election fraud, the likes of which dirty tricks, the likes of which you've never seen. You are going to see the globalists in their full attempt to keep control of the US because they're using that to control the world.
[24:27.000 --> 24:40.000]  Now, I've got all these clips I want to go to here and then I'm going to go through the big news. We told you there was a share of stand down the day after because we saw a bunch of videos on local news that ever made it nationally.
[24:40.000 --> 24:53.000]  And we saw a bunch of videos that local news shot and reporters got mad that it got cut from the nightly news. So they put them out on their Twitter accounts or we saw video shot from iPhones or droids over people's shoulders.
[24:53.000 --> 25:05.000]  You saw them here. Those are the videos that got banned of people reporting multiple shooters about 10 cop cars pulled up. Nobody got out until the shooting was over. There was army soldiers inside.
[25:05.000 --> 25:21.000]  Well, all these days later, I don't hear about army soldiers and the cops standing down. I said, I don't know if this is true, but these are pretty well spoken students, white girls, Hispanic girls, young black men, all very well spoken, better spoken than I am in many cases.
[25:21.000 --> 25:31.000]  And then we talked to other witnesses and they go, yeah, that's what we saw too. And I'm like, wow, I know real school shootings happen. This is crazy.
[25:31.000 --> 25:37.000]  We know a lot about babies and incubators getting their brains bashed out to get us in the Gulf War in 1992. That's all it's been. It's seen in us.
[25:37.000 --> 25:53.000]  Fakes gun attacks in Atlanta saying they're in Saudi Arabia. And then and then and then now it's all come out first one deputy now four more now 10 deputies standing down for at least seven, eight, nine minutes just like Jalen Martin and other students.
[25:53.000 --> 26:02.000]  And what did snopes say they said Jalen Martin was fake. He was an actor. George Soros snopes manages stuff for Google decides what's real and isn't fun about George Soros.
[26:02.000 --> 26:12.000]  And they said Jalen wasn't real. He was an actor. So they're shutting our YouTube accounts down saying we said that this nothing happened. And they say our witnesses are fake when they're real.
[26:12.000 --> 26:25.000]  And we had their student ID and they had to back off. So see everything they do, they accuse us of. But what Jalen Martin said the day after was that it must have been 10 called the police vehicles.
[26:25.000 --> 26:30.000]  They were sheriff's vehicles, Broward County pull up and none of them went in. Why would they be in order to stand down?
[26:30.000 --> 26:41.000]  They're trained to go in the school resource officer who been in that 34 years ran the drills. It's in the news for school shooting stood down stood down.
[26:41.000 --> 26:53.000]  We said that on the day after it happened. And I said, is it a stand down? That's what students say. And it's memorialized by a bunch of so called newspapers and media matters.
[26:53.000 --> 27:01.000]  Saying Alex Jones says the sheriff and the FBI stood down. They got 30 something warnings. They did stand down. They were ordered to.
[27:01.000 --> 27:11.000]  And now the state admits he was on psychotropic drugs under state control. That was released last week. I almost no media attention.
[27:11.000 --> 27:25.000]  That indeed it was the mass murder of pills. Little local term I have. So let's go out to break with Glenn Beck. Acting like he's being thoughtful. Oh, I don't know. Alex Jones, something to be done by this pollution stelter.
[27:25.000 --> 27:34.000]  And he's like, I don't know. Yeah. Well, Facebook and Twitter, they just make it worse. Oh, yeah, it's terrible. See, he was told two years ago, Internet censorship is coming.
[27:34.000 --> 27:42.000]  And he decided to join with them. He thinks he'll be left as the conservative voice in the new fake synthetic political landscape. We're going to go to break. Come back with it.
[27:42.000 --> 27:53.000]  He thinks he is going to be the person that's left. And I said that two years ago because he pretty much admitted it.
[27:53.000 --> 28:01.000]  Can you imagine he keeps waiting because we got Trump in. We still have someone with free speech. His audience. He's been dumped by half the radio stations he's on.
[28:01.000 --> 28:11.000]  I mean, he's barely got his contract at news core, but he's got a cult of followers that are brainwashed that still buy, you know, gold at two times the price it is and all the rest of it.
[28:11.000 --> 28:19.000]  And he's back to CNN where he came from, where he was trained, where he was deployed. And the reason I know is I was approached by the very same networks.
[28:19.000 --> 28:26.000]  A year before Beck came on the scene before 9 11 and they said, we got book deals. We got movie deals. We want you to be the new Rush Limbaugh. You are going to be it.
[28:26.000 --> 28:33.000]  We are ready to hire you. And I didn't take the 3 million a year. And this guy did.
[28:33.000 --> 28:42.000]  I was to be going back. That's how I know. We bring a lot more than 3 million in here now. We're kicking your big fat globalist butts up and down the street.
[28:42.000 --> 28:51.000]  But we got something you don't have real red blooded Americans of every race, color and creed that are back in this transmission and know we're throwing all the money behind the fighting against you.
[28:51.000 --> 28:58.000]  And we're going in no matter what happens. We're never giving in. We're never giving up. We're going on to the end and we're going to win one way or another.
[29:21.000 --> 29:27.000]  Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[29:27.000 --> 29:31.000]  Info Wars Life wants to bring you the highest quality products.
[29:31.000 --> 29:40.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[29:40.000 --> 29:44.000]  Support your body and mind and take yourself to the next level.
[29:44.000 --> 29:48.000]  Boost your vitality and energize your life.
[29:48.000 --> 29:58.000]  Take control of your body. Grab a bottle of super male vitality today at InfoWarsLife.com. That's InfoWarsLife.com.
[30:19.000 --> 30:25.000]  This deodorant combines mineral crystals with natural botanicals to ionize odor, keeping me fresh throughout the day.
[30:25.000 --> 30:31.000]  While shooting hoops, the last thing I want is sweaty armpits making my hands slippery and the ball wet.
[30:31.000 --> 30:35.000]  That's why I recommend EmRick's Essentials fragrance-free deodorant.
[30:35.000 --> 30:43.000]  Even though it's unscented, it's effective at combating strong body odor and I don't have to worry about any unwanted allergic reactions to my sensitive skin.
[30:43.000 --> 30:48.000]  Whether you're a guy or gal, the last thing you want to be worried about is your deodorant.
[30:48.000 --> 30:52.000]  No petroleum-based ingredients, 100% natural and cruelty-free.
[30:52.000 --> 31:14.000]  Stay in the game with EmRick's Essentials fragrance-free natural deodorant, available at InfoWarsStore.com.
[31:22.000 --> 31:29.000]  Pharms experience less seasonal distress symptoms like runny nose, itchy watery eyes and excessive mucus production.
[31:29.000 --> 31:34.000]  They begin studying the effects in their public trials.
[31:34.000 --> 31:42.000]  Now we are introducing the fruit of the research, a fast-acting chewable tablet, just two tablets at the first sign of seasonal distress
[31:42.000 --> 31:48.000]  and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[31:48.000 --> 32:00.000]  Enjoy the air you breathe naturally with fast-acting pollen block, available now at InfoWarsLife.com or by calling toll 3-888-253-3139.
[32:00.000 --> 32:09.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
