[00:00.000 --> 00:10.580]  xbox test
[10:43.640 --> 10:51.640]  their anti-human project. But Trump, the Washington Post reports, and that doesn't
[10:51.640 --> 10:57.320]  mean it's true, but it means the proposal has been brought to him repeatedly, is considering
[10:57.320 --> 11:02.040]  and it's one of his best friends who is proposing it to him, that we know is true, with Ivanka
[11:02.040 --> 11:08.320]  Trump quarterbacking it, to have all devices listen and watch. Now they're already doing
[11:08.320 --> 11:11.160]  it, but you're ever wondering how they're going to come out with it instead of all this
[11:11.160 --> 11:15.400]  bad PR because they're having to admit they're doing it because of Terms of Service, because
[11:15.400 --> 11:22.400]  of lawsuits, because of us first breaking it, 2004 with the documents from Google. Think
[11:22.400 --> 11:30.800]  about that, 15 years ago. So what are they going to have to do? They need a coming out.
[11:30.800 --> 11:36.880]  And so the coming out is, oh, a new federal agency, it's already set up. DARPA was set
[11:36.880 --> 11:42.720]  up by psychiatrists, and I'm going to show you the documents, to run all of this and
[11:42.720 --> 11:47.760]  to track how their propaganda is working on you, and how you would have handheld computers
[11:47.760 --> 11:52.720]  that would then wirelessly or plug into central terminals to track everything you do, your
[11:52.720 --> 12:01.040]  currency would be on it. All of this was proposed by the head scientist at DARPA and put into
[12:01.040 --> 12:09.120]  public papers in 1962. It's DARPA and the Brain Initiative. And it says it word for
[12:09.120 --> 12:14.120]  word, you're merger with machines, and then I'm going to give you the key. They were tasked
[12:14.120 --> 12:22.080]  in 1951, the Carnegie Endowment for Ending War. And then they created State Department
[12:22.080 --> 12:27.600]  of Random 7277, I'm going to show you. And they said the only way to end war is to end
[12:27.600 --> 12:34.400]  humanity. And the only way to do it is to remove the family, the sexes, and make us
[12:34.400 --> 12:44.320]  units that live in tanks. And our own heat will then power the circuitry in a human
[12:44.320 --> 12:48.800]  machine interface. Now you may have heard of that in 1999 film, The Matrix. That's all
[12:48.800 --> 12:57.400]  revelation and the method. I'm going to show you, after Paul Watson leaves us in the second
[12:57.400 --> 13:05.240]  hour, I have got more than 100 documents directly from DARPA, directly from MIT that are public.
[13:05.240 --> 13:12.320]  This is public. And you're going to reach stuff from 1962 that is all now happened exactly
[13:12.320 --> 13:19.200]  as they said. Now people are going to want to augment with the microchips and the wires
[13:19.200 --> 13:25.440]  next year that Elon Musk is rolling out, you'll need to upgrade. And then soon it'll be, hey,
[13:25.440 --> 13:29.000]  you'll live forever supposedly. It's going to be great. Just put your body in this tank
[13:29.000 --> 13:32.720]  and then as your body prepares to transition, you'll never know you just transitioned into
[13:32.720 --> 13:36.880]  The Matrix. Really, you're going to actually die. The truth is you don't live in those
[13:36.880 --> 13:41.520]  tanks. You die in those tanks. But they're going to plug into your pleasure centers where
[13:41.520 --> 13:46.680]  it's going to feel like 500 orgasms at once. And then they're going to plug you in and
[13:46.680 --> 13:52.440]  say, sign the paper. You're going to go, oh, hell, yeah. You're going to sign the paper
[13:52.440 --> 13:57.400]  and then you're going to go in the tank. They want to start putting people in tanks within
[13:57.400 --> 14:08.160]  10 years. That's been announced. So listen to me very carefully. They've already addicted
[14:08.160 --> 14:13.400]  your children. They've already addicted most of you. They've addicted myself, but I'm weaning
[14:13.400 --> 14:21.520]  off of it. This is real. This is the plan. And obviously, the globalists didn't get this
[14:21.520 --> 14:36.520]  out of the air. Some really bad folks cook this up. And let's just say they don't like
[14:36.520 --> 14:42.960]  people too much. So everybody better decide which side you're going to be on here, ladies
[14:42.960 --> 14:49.960]  and gentlemen, because El Diablo is cleared to fire right now. And we're going into it.
[14:49.960 --> 14:58.160]  Global government, mark of the beast. And it's here. We're the prequel, you see, to
[14:58.160 --> 15:01.880]  the matrix. This is the prequel right now. They know that they show you revelation of
[15:01.880 --> 15:08.040]  the method. You won't oppose it once it actually starts happening. We'll just think, oh, that's
[15:08.040 --> 15:12.080]  a movie, but your subconscious will be prepared and accepting and it won't be alien. It will
[15:12.080 --> 15:16.240]  seem natural. So you will conform and see it at a Pavlovian level where you're eating
[15:16.240 --> 15:22.760]  milk duds and a cherry slurpee and a hot dog at the movie. While you're watching these
[15:22.760 --> 15:27.520]  horrible things, you were being imprinted that it was non-threatening entertainment.
[15:27.520 --> 15:34.840]  You understand. There are a lot of paths. They may just go with the biological weapon
[15:34.840 --> 15:40.800]  extermination of humanity. But on the books is this plan. And this is the dominant plan.
[15:40.800 --> 15:44.640]  And Trump reportedly is set to roll it out and tell you everything you're doing is being
[15:44.640 --> 15:49.040]  watched and listened to and will confiscate your guns under a red flag that destroys all
[15:49.040 --> 15:54.360]  the process and is run by government psychiatrists inside big tech. This is their total revolution.
[15:54.360 --> 15:56.200]  We'll break it all down and stay with us.
[15:56.200 --> 16:01.520]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize
[16:01.520 --> 16:06.080]  my mother's house. I sued the IRS in one. I beat the IRS then and I've been beating
[16:06.080 --> 16:10.120]  them ever since. I wrote the book on tax debt settlement and I've helped thousands of people
[16:10.120 --> 16:14.120]  deal with tax problems they thought might never be solved. I can help you too. If you
[16:14.120 --> 16:18.120]  owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless
[16:18.120 --> 16:27.280]  tax case. Call 800-34-NO-TAX or go to my website, danpilla.com. That's danpilla.com, danpilla.com.
[16:27.280 --> 16:32.440]  Attention GCN self-reliance listeners. If you've ever wanted an emergency solar survival
[16:32.440 --> 16:36.680]  backup system but were waiting for prices too crazy to pass up, this will be the most
[16:36.680 --> 16:40.600]  important message you'll ever hear. Bill Hyde, here I want to tell you about a huge sale
[16:40.600 --> 16:45.440]  with historically low prices on our PPX microgrid system that's going to let you produce an
[16:45.440 --> 16:50.040]  endless supply of electricity off the grid. The clearance price is a result of the historic
[16:50.040 --> 16:53.920]  flooding we're having here right on the east bank of the Mississippi. Because of the flooding
[16:53.920 --> 16:58.040]  we've had to move a lot of our inventory to a temporary location and rather than move
[16:58.040 --> 17:02.760]  it back to the warehouse we thought we'd offer the system at a price that might seem unbelievable
[17:02.760 --> 17:06.640]  if you didn't know the floodwater's backstory. So here's what you should do right now. Check
[17:06.640 --> 17:13.800]  out the PPX microgrid system at myownpowergrid.com. That's myownpowergrid.com. Over a thousand
[17:13.800 --> 17:17.880]  dollars in great off the grid gear and a ton of bonuses too. And the best part, you're
[17:17.880 --> 17:24.280]  not going to pay 750 or $500, 300 or even 200. Go to myownpowergrid.com to learn more. That's
[17:24.280 --> 17:30.880]  myownpowergrid.com. Hunters, anglers, campers and survivalists, get back to nature. Expand
[17:30.880 --> 17:35.440]  your horizons with the highest quality, most versatile, unique sling shots and sling bows
[17:35.440 --> 17:41.760]  on the market at Slingbow.com. Slingbow products are compact and models start from just 1798.
[17:41.760 --> 17:46.080]  They're perfect for your bug out bag or storing in your vehicle. Give yourself and your loved
[17:46.080 --> 17:51.320]  ones the excitement and tradition of Slingbow. A new frontier in archery and truly modern
[17:51.320 --> 17:58.280]  twist on this primitive survival tool. Feel the thrill only at Slingbow.com.
[17:58.280 --> 18:00.440]  Josh in Washington, you're on the air. Go ahead.
[18:00.440 --> 18:05.840]  God bless you. I have an idea for a new info wars t shirt instead of this is your brain.
[18:05.840 --> 18:09.720]  This is your brain on drugs. This is your brain. This is your brain on 5g.
[18:09.720 --> 18:10.720]  Oh, yeah.
[18:10.720 --> 18:13.920]  Showing your brain, getting frat. Then I have some comments on your supplements, man.
[18:13.920 --> 18:18.880]  Totally changed my life. I use turbo force bodies, alpha power, brain force, fish oil,
[18:18.880 --> 18:23.920]  ultra 12 daily X two every several days. Now, what I've found is, is really combining them
[18:23.920 --> 18:29.440]  is a totally synergistic and transcendent feeling that I get by combining all your products.
[18:29.440 --> 18:32.200]  And I just want to urge all your listeners who haven't tried them. I just want to say
[18:32.200 --> 18:33.200]  why not?
[18:33.200 --> 18:36.800]  Well, you're right. All of these things are known to be incredible, whether it's turmeric
[18:36.800 --> 18:40.400]  or whether it's the fish oil or the krill oil, or whether it's the DNA force with the
[18:40.400 --> 18:44.000]  coke, you 10 and bio PQQ and all the rest of it. All of these are things that are like
[18:44.000 --> 18:48.440]  rocket fuel on the body. You take these bases together, then you have your foundation. Now
[18:48.440 --> 18:52.400]  you can build the big strong temple with these products I take when I were literally remembered
[18:52.400 --> 18:56.040]  to take them. It makes my life so much better. And then it funds the information war, which
[18:56.040 --> 18:59.040]  is so critical. Thank you so much. God bless you.
[18:59.040 --> 19:03.880]  Thermal vitality is already in the top three of our best sellers for the six years we've
[19:03.880 --> 19:10.400]  had it. It is a award winning formula produced in Utah by one of the top herbal companies
[19:10.400 --> 19:15.800]  in the nation that we've been private labeling. It is cold pressed. It takes at least three
[19:15.800 --> 19:21.080]  times the herbs that are wild crafted and organic to be able to produce this. It's not
[19:21.080 --> 19:27.840]  boiled. It's not heated. It's never been dried. It's taken from fresh herbs. That's why it's
[19:27.840 --> 19:34.440]  so strong. That's why it's so effective for libido, stamina and energy. And I'm so excited
[19:34.440 --> 19:40.680]  about super mill vitality and carnivore 30 that I'm offering you with every order of
[19:40.680 --> 19:47.040]  super mill vitality at 25% off a free bottle of carnivore digestive enzyme. We're going
[19:47.040 --> 19:51.600]  to sell out of this very quickly, but it's an offer so that you experience how amazing
[19:51.600 --> 20:01.960]  both these products are. Secure yours at m4store.com today or m4slife.com.
[20:01.960 --> 20:24.320]  We're listening to the Alex Jones show.
[20:24.320 --> 20:38.280]  Ladies and gentlemen, we're broadcasting worldwide on this Wednesday, September 4th, 2019, global
[20:38.280 --> 20:43.400]  transmission. We're reaching millions of people on AM and FM stations, TV stations in the
[20:43.400 --> 20:48.720]  course of our own streams at infowars.com and newswars.com. You know why? Because we've
[20:48.720 --> 20:54.680]  been banned off every platform. You can't even say my name or show infowars.com in positive
[20:54.680 --> 21:00.520]  light as of three months ago on Facebook. You talk about incredible censorship, incredible
[21:00.520 --> 21:06.560]  authoritarianism. Well, now DrudgeReport.com is top linked, the big giant link, social
[21:06.560 --> 21:13.880]  credit score to determine who can buy a gun. President Trump, according to the Washington
[21:13.880 --> 21:24.880]  Post, is saying that they want the devices, your Alexa from Amazon, your Google Assist,
[21:24.880 --> 21:29.680]  all the systems from Facebook to listen and watch you. And if you say something violent
[21:29.680 --> 21:35.960]  or dangerous, all of it sent back live time to DARPA and big tech with a new agency called
[21:35.960 --> 21:43.640]  HARPA, with health and human services and then extrajudicially, you will lose your guns under
[21:43.640 --> 21:49.200]  red flags and or you can't buy a gun. And I said it when I started the broadcast. If
[21:49.200 --> 21:55.440]  Trump supports this, then he needs to be impeached. Violates the Fourth Amendment, new process,
[21:55.440 --> 22:03.560]  the shooter in Florida last year, Mr. Cruz threatened 44 times to kill people at the
[22:03.560 --> 22:10.440]  school. The police were called 44 times, the FBI twice. We had our early warnings. All
[22:10.440 --> 22:13.800]  these shooters wouldn't have been stopped with this, but what it is is the rollout of
[22:13.800 --> 22:17.760]  all the devices admittedly listening to everybody. And I'm going to go over all those articles
[22:17.760 --> 22:22.640]  for the rest of the hour with Paul Joseph Watson who wrote the story that's up on DrudgeReport.com.
[22:22.640 --> 22:26.380]  And this is a human action. If everybody can share that link and make this the biggest
[22:26.380 --> 22:32.160]  story in the world, then we can really have a debate about this because if you're wondering
[22:32.160 --> 22:35.560]  how they're going to roll out, the fact they're listening to all of us, the privatization
[22:35.560 --> 22:40.560]  of NSA spy grid making Orwell blush. Well, ladies and gentlemen, this is it. You opt
[22:40.560 --> 22:48.200]  in. They do this. And well, let's be clear, Paul, they say Trump is starting to support
[22:48.200 --> 22:52.840]  this. I have the quotes here. And then obviously they say Ivanka is pushing this and the guy
[22:52.840 --> 22:58.000]  proposing it is one of Trump's best friends. Of course, he's just the front guy for DARPA.
[22:58.000 --> 23:03.000]  They admit that. So that's why this is so dangerous. And I think Trump is giving it
[23:03.000 --> 23:08.480]  ear. This is the total big brother acceptance. This is the AI surveillance grid takeover.
[23:08.480 --> 23:13.120]  This is the global social score. This is the end of the due process. This is I mean, I've
[23:13.120 --> 23:18.000]  got to think that the Washington Post is engaged in deception. But regardless, I don't want
[23:18.000 --> 23:22.240]  to hate Ivanka Trump or Jared Kushner. Everybody keeps saying they're in bed with Google. Well,
[23:22.240 --> 23:26.920]  Google's proposing this. Apple's proposing this. Tim Cook goes out to dinner with Kushner
[23:26.920 --> 23:32.600]  and Ivanka. So all I can say is, hey, guys, I don't want to live in brave new world meets
[23:32.600 --> 23:40.040]  THX 1138 meets Gattaca meets a nightmare system. Paul Joseph Watson. This is an incredible
[23:40.040 --> 23:48.600]  moment in 2019. Well, exactly, Alex. And it goes back to 2006, literally 13 years ago
[23:48.600 --> 23:53.120]  when we came out with the first big report, government industry to use computer microphones
[23:53.120 --> 24:00.080]  to spy on 150 million Americans. That was an article that we found September 2006, almost
[24:00.080 --> 24:06.800]  to the day it was September 6 predicting everything that would happen. Of course, in 2013, just
[24:06.800 --> 24:13.200]  before the rollout of Google Home, Amazon Echo and Alexa, these home hub devices that
[24:13.200 --> 24:18.320]  listen to your conversations and basically surveil your entire existence to help you
[24:18.320 --> 24:23.360]  with telling you what food you should buy and how to get to work the best route possible
[24:23.360 --> 24:28.760]  and stuff like that. Right as they were releasing those or like a year before, Google engineering
[24:28.760 --> 24:33.320]  director Scott Hoffman came out and said that it was eventually designed to be a chip in
[24:33.320 --> 24:38.800]  your brain. He literally put out in an article for the London Independent, December 2013,
[24:38.800 --> 24:43.080]  which we reported on as well, called conspiracy theorists at the time for doing so. No doubt.
[24:43.080 --> 24:48.000]  Quote, Google believes it can ultimately fulfill people's data needs by sending results directly
[24:48.000 --> 24:53.040]  to microchips implanted in its user's brains. Now, of course, not everyone's going to accept
[24:53.040 --> 24:56.600]  an implant in their brain, Alex, so they're probably going to, you know, make it a little
[24:56.600 --> 25:01.480]  tattoo that you can get on your wrist, make it cool, make it trendy, make the early adopters
[25:01.480 --> 25:06.880]  encourage the rest of the sheet to get branded with this technology. And it brings it up
[25:06.880 --> 25:12.440]  to today, Alex, where we've got this Harper proposal by the Trump administration being
[25:12.440 --> 25:18.800]  reported on by the Washington Post, where they want to catch early diagnosis of neuropsychiatric
[25:18.800 --> 25:25.040]  violence. How are they going to do it by measuring your physiological levels, your biological
[25:25.040 --> 25:31.200]  levels via Apple Watchers, Fitbit, Amazon Echo, and Google Home? How are they going
[25:31.200 --> 25:36.480]  to do that? They're going to measure the aggression, the anger in your voice, because as we know,
[25:36.480 --> 25:42.320]  these home hub surveillance devices record conversations. I pulled up this headline, Alex,
[25:42.320 --> 25:48.320]  from October last year, where they'd already prepared this. Amazon wants Alexa to detect
[25:48.320 --> 25:53.480]  when you are sick and sell you meds. They put out they've got the patent already, which
[25:53.480 --> 25:58.200]  says the upgrades would allow Alexa to detect abnormal physical conditions such as sore
[25:58.200 --> 26:04.120]  throats and coughs, even psychological ones, such as an excited emotional state or a sad
[26:04.120 --> 26:09.160]  emotional state. So they've already got the patent for the technology. Now, Giovanka,
[26:09.160 --> 26:14.560]  the Globalist Alliance is saying that this could be used to prevent Americans from buying
[26:14.560 --> 26:20.760]  guns because those surveillance devices could detect anger, could detect a slippery staff
[26:20.760 --> 26:27.160]  down to a level of resentment where people are too angry, too hyper to be able to buy
[26:27.160 --> 26:28.840]  guns. This is frightening.
[26:28.840 --> 26:34.440]  Paul, I want people to pull back and understand. I'm going to show people later in the last
[26:34.440 --> 26:38.880]  second of the hour when you're with me, the actual original MIT documents where they laid
[26:38.880 --> 26:43.680]  all this out right on the timeline. They're following it exactly. It sounds like science
[26:43.680 --> 26:48.680]  fiction. We're in the year 2019. They are admitting that everything you do, your interactions
[26:48.680 --> 26:53.520]  with your children, your interactions with your mate, your significant other, everything,
[26:53.520 --> 26:58.440]  and then there's no judge, no jury. It's all psychiatrists and bureaucrats and SJWs in
[26:58.440 --> 27:04.480]  big tech interfacing with US intelligence that will just claim your violent or your bad
[27:04.480 --> 27:10.600]  and pre-crime and disappear you. This is beyond minority report. This is beyond any novel,
[27:10.600 --> 27:18.200]  any movie because truth is stranger than fiction. This is just so tyrannical out of the gates
[27:18.200 --> 27:22.240]  and then to know that because it's in the Washington Post, Ivanka Trump admits she's
[27:22.240 --> 27:27.440]  pushing this. So I'm sorry, Ivanka, I mean, this is the whole architecture. It's always
[27:27.440 --> 27:33.600]  been meant to do this. Now it's here. We've got to form a global debate and say no to
[27:33.600 --> 27:34.600]  this.
[27:34.600 --> 27:37.800]  Precisely because we know where it's going, Alex. In China, the government just cracked
[27:37.800 --> 27:44.520]  that they'd restricted 2.5 million people in the months of July alone from buying plane
[27:44.520 --> 27:49.120]  tickets because they had bad social credit scores. You've got all these apologists out
[27:49.120 --> 27:54.600]  in the Western media saying, oh, it's just to ensure good behavior. Literally 2.5 million
[27:54.600 --> 28:01.440]  people plus 90,000 people in China cannot travel, cannot buy plane or train tickets because
[28:01.440 --> 28:07.080]  of what? Well, here's the list. Bad driving, smoking on trains, buying too many video games,
[28:07.080 --> 28:11.760]  buying too much junk food, buying too much alcohol, calling a friend who has a low credit
[28:11.760 --> 28:17.080]  score. So if you're friends with someone who misbehaves, that impacts you. Posting fake
[28:17.080 --> 28:21.200]  news. What is fake news? Anything that disagrees with the mainstream media? Criticizing the
[28:21.200 --> 28:25.240]  government, visiting an authorized website, walking your dog without a leash, letting
[28:25.240 --> 28:30.000]  your dog bark too much. They even talk about preventing people and have prevented people
[28:30.000 --> 28:35.120]  in China from using dating websites. Literally micro management of every facet of your life.
[28:35.120 --> 28:40.360]  And it's in place now. 1.4 billion people are already under it. Our tech giants built
[28:40.360 --> 28:45.880]  it. It's coming here and who's resisting it? Matt Grudge, Alex Jones, Tucker Carlson,
[28:45.880 --> 28:53.280]  the American people. Wow. This isn't the science fiction movie, folks. You're in it. It's 2019.
[28:53.280 --> 29:01.520]  Stay with us. Heart disease is on the rise. Clogged arteries, high blood pressure and
[29:01.520 --> 29:06.760]  high cholesterol levels may not be fully detected by you, but the symptoms are there. Loss of
[29:06.760 --> 29:11.720]  energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just
[29:11.720 --> 29:16.640]  a few of these that can alert you that something is wrong. Hear how heart and body extract
[29:16.640 --> 29:21.720]  is making a difference in thousands of people's lives across America. My blood pressure has
[29:21.720 --> 29:26.640]  normalized. My diabetes has totally improved. Everyone is telling me now how much healthier
[29:26.640 --> 29:30.560]  I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract
[29:30.560 --> 29:35.880]  to everyone. Anybody over 40 in the North American continent should be using this product
[29:35.880 --> 29:40.520]  as a preventative to keep their cardiovascular system healthy. Order your two month supply
[29:40.520 --> 29:50.760]  today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com. Heart and
[29:50.760 --> 30:01.080]  body extract 866-295-5305 or hbextract.com. There are only a few days left for you to
[30:01.080 --> 30:09.520]  get DNA Force Plus at 50% off and get a free bottle of Carnivore 90 for free. That's 90
[30:09.520 --> 30:16.120]  powerful enzyme capsules designed to help you digest and absorb protein and fat and
[30:16.120 --> 30:21.800]  to clean out your guts in a healthy way. DNA Force Plus is our flagship product and needs
[30:21.800 --> 30:27.040]  to introduction. But Carnivore is so amazing that I want to offer you a free bottle of
[30:27.040 --> 30:32.280]  it so you can experience how great it is. We will be out of Carnivore in just the next
[30:32.280 --> 30:36.680]  week or so at current sales levels. I'm doing this because it's such an important product
[30:36.680 --> 30:42.040]  for people. I want those of you on the fence to experience it like so many others have.
[30:42.040 --> 30:48.720]  So again, we are running this special as long as our stock of Carnivore 90 is still here.
[30:48.720 --> 30:55.120]  Get your DNA Force Plus 50% off right now at MFullWarsStore.com or MFWarsLive.com and
