[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[00:04:51.039 --> 00:04:53.962]  But people like Hitler and people like you never stop.
[00:04:53.962 --> 00:04:56.105]  Not until you're in a bunker.
[00:04:56.105 --> 00:04:57.747]  We crawl in there and get your ass.
[00:05:01.371 --> 00:05:05.255]  The July 4th Mega Sale ends on July 12th.
[00:05:05.255 --> 00:05:06.716]  Storewide free shipping.
[00:05:06.716 --> 00:05:07.937]  Double Patriot Points.
[00:05:07.937 --> 00:05:18.166]  50 to 60% off all these best-selling items, including a bunch that have been sold out for months and are back in limited supply, like Winner, some of vitamin D3 and vitamin K for your immune system.
[00:05:18.166 --> 00:05:19.648]  Sold out, back in stock.
[00:05:19.648 --> 00:05:20.769]  Ultra 12, I call it B12.
[00:05:20.769 --> 00:05:22.770]  50% off, sold out for months.
[00:05:22.770 --> 00:05:26.954]  Bodies, the best-seller, ultimate tumeric formula, concentrated tumeric, back in stock.
[00:05:27.955 --> 00:05:28.916]  We're good to go.
[00:06:14.935 --> 00:06:31.622]  115 planet rotations until we are in the middle of what will be a giant contested election, the cherry on top, the detonator to take this country into hot civil war.
[00:06:31.622 --> 00:06:39.825]  Inside the Pentagon, everyone is being approached and being asked, will you support a coup
[00:06:41.937 --> 00:06:44.118]  Against President Trump.
[00:06:44.118 --> 00:06:58.387]  That even came out three years ago that a former top Obama official from the Pentagon, that's the headline, former Obama official canvassing the Pentagon on whether they will support a coup against Trump.
[00:06:58.387 --> 00:07:08.033]  That was back when they were trying to block his electors from seating him on January 20th, 2017 as the 45th President of the United States of America.
[00:07:09.090 --> 00:07:16.519]  Well now I have the Council on Foreign Relations, America's Democratic Unraveling.
[00:07:16.519 --> 00:07:22.426]  On page 50, on page 5 it says, the armed forces will be needed to remove Trump.
[00:07:23.373 --> 00:07:26.954]  That if he contests the election in any way, he will be removed by the U.S.
[00:07:26.954 --> 00:07:27.814]  military.
[00:07:27.814 --> 00:07:30.554]  Here's a new one out of the Stanford Advocate.
[00:07:30.554 --> 00:07:34.695]  Anyone saying that he will not leave will be arrested.
[00:07:34.695 --> 00:07:40.576]  Trump could lose and not leave, but cabinet members would try to help face prison.
[00:07:40.576 --> 00:07:44.157]  And what did Goldman Sachs say yesterday?
[00:07:44.157 --> 00:07:52.618]  They said it will be contested, they believe, because of all of the mail-in ballots and all the craziness and the court's ruling that they're going to let states
[00:07:55.663 --> 00:07:59.444]  Count the popular vote and then not send forward their delegates.
[00:07:59.444 --> 00:08:03.666]  This is going to turn into a giant court battle by design.
[00:08:03.666 --> 00:08:06.887]  Just like the Democrats did with Russiagate, Ukrainegate, and the rest of it.
[00:08:06.887 --> 00:08:08.568]  That's their admitted plan.
[00:08:08.568 --> 00:08:14.009]  They're not going to accept the results of the election.
[00:08:14.009 --> 00:08:20.792]  And they're letting Trump know, you don't go, we're going to arrest you and we're going to arrest your cabinet members.
[00:08:22.031 --> 00:08:26.336]  And I told you this was going on before it was ever in the news.
[00:08:26.336 --> 00:08:31.382]  I talked to a member of Congress and I talked to a member of the U.S.
[00:08:31.382 --> 00:08:35.867]  Senate.
[00:08:35.867 --> 00:08:42.615]  And they told us that Nancy Pelosi's daughter was quarterbacking on the Hill a plan to use the military to take Trump out.
[00:08:45.879 --> 00:08:48.101]  I went on air and I talked about that.
[00:08:48.101 --> 00:08:52.224]  And I said she's trying to get the electors to not seat him.
[00:08:52.224 --> 00:08:54.786]  I said that two weeks before it came out in the news.
[00:08:54.786 --> 00:08:59.350]  And she went on Fox News two weeks later and said, Alex Jones threatened to kill me.
[00:08:59.350 --> 00:09:01.191]  He needs to be arrested.
[00:09:01.191 --> 00:09:11.179]  And the Justice Department, later it came out, opened up a criminal investigation off of her total lie that I said harm against her.
[00:09:16.687 --> 00:09:17.748]  I said nothing even near that.
[00:09:17.748 --> 00:09:19.349]  I said she's engaged in treason.
[00:09:19.349 --> 00:09:20.650]  She's a treacherous rat.
[00:09:20.650 --> 00:09:22.051]  She's a piece of garbage.
[00:09:22.051 --> 00:09:23.131]  This is insane.
[00:09:23.131 --> 00:09:25.013]  They're trying to overthrow the election.
[00:09:25.013 --> 00:09:39.682]  And this ongoing coup that never got punished for the four coup attempts against the president and our election in 2016 aren't going to give up in 115 days.
[00:09:39.682 --> 00:09:43.425]  So everybody better understand, you better strap yourselves in because
[00:09:45.711 --> 00:09:59.614]  Biden has run around on TV three times, and we'll play these clips coming up in the last segment of this hour, three times, and said the military is going to remove the president when he contests the election.
[00:09:59.614 --> 00:10:02.835]  And then Goldman Sachs says it will be contested.
[00:10:02.835 --> 00:10:04.095]  The Democrats say they will.
[00:10:04.095 --> 00:10:09.116]  So again, they're going to contest.
[00:10:09.116 --> 00:10:12.037]  It'll be total fraud.
[00:10:12.037 --> 00:10:12.837]  That's their specialty.
[00:10:14.497 --> 00:10:20.526]  When they're the ones stealing it, they're the ones in bed with the Russians, the Chaikoms, so they say the Patriots are.
[00:10:20.526 --> 00:10:23.510]  They're the ones that are hurting children, so they say we are.
[00:10:23.510 --> 00:10:26.635]  It's always the inverse of reality with these people.
[00:10:30.336 --> 00:10:30.876]  There it is.
[00:10:30.876 --> 00:10:35.458]  Biden military will escort Trump out of the White House if he loses the election and refuses to leave.
[00:10:35.458 --> 00:10:36.679]  Print me that as well.
[00:10:36.679 --> 00:10:38.779]  I'll do the presentation last second of this hour.
[00:10:38.779 --> 00:10:45.042]  Okay, let me tell you what we're going to cover in the first hour, and then the second hour, and the third hour, and the fourth hour, because it's jam-packed.
[00:10:47.040 --> 00:11:07.350]  I have absolute smoking gun on top of smoking gun, on top of red flag, on top of hand and cookie jar, on top of just absolute ridiculousness, that COVID-19 is a giant fraud at every level, every facet, every angle, designed for planetary takeover, AI takeover, depopulation, you name it.
[00:11:07.350 --> 00:11:15.875]  And now, on the CDC's own website, they say that COVID-19
[00:11:18.268 --> 00:11:20.750]  Is not.
[00:11:20.750 --> 00:11:24.032]  A epidemic.
[00:11:24.032 --> 00:11:26.453]  And that actually.
[00:11:26.453 --> 00:11:29.775]  It is a nose diving death curve.
[00:11:29.775 --> 00:11:34.938]  And that's why every headline you see says America's entered a black hole of COVID.
[00:11:34.938 --> 00:11:36.519]  America failed.
[00:11:36.519 --> 00:11:38.160]  America sucks.
[00:11:38.160 --> 00:11:40.842]  America opened too early.
[00:11:40.842 --> 00:11:45.245]  America.
[00:11:45.245 --> 00:11:47.326]  Unbelievable.
[00:11:53.174 --> 00:11:57.857]  Meanwhile, right here on the CDC website, it says it's not.
[00:11:57.857 --> 00:12:10.586]  Because they admit that almost all the cases are false positives, because again, if you've ever had coronavirus or the flu, on average in a decade, you can lose the immunity, and it won't show up usually in about 10 years.
[00:12:10.586 --> 00:12:14.809]  That's why you take a shot every 10 years, if you believe in all their crap.
[00:12:14.809 --> 00:12:17.091]  And it turns out, they're almost all false positives.
[00:12:17.091 --> 00:12:19.913]  But, they're ramping up testing everywhere!
[00:12:21.633 --> 00:12:25.676]  And this whole thing is based on that fraud.
[00:12:25.676 --> 00:12:29.739]  And so when they say you're a hero and you need to wear your mask and all this, no.
[00:12:29.739 --> 00:12:37.686]  You're going along with total depression, election fraud, the end of the country, the third world, hundreds of millions dying, billions.
[00:12:39.192 --> 00:12:50.304]  Like a zombie apocalypse racing over our borders and the UN will direct the planetary collapse and we'll have world government and we'll be conquered militarily, economically, spiritually, culturally.
[00:12:50.304 --> 00:12:52.066]  This is the assault.
[00:12:52.066 --> 00:12:53.367]  It is official.
[00:12:53.367 --> 00:13:01.796]  I have all the documents and I will go into it in great detail again in the third hour today with all the details.
[00:13:03.183 --> 00:13:12.771]  We can defeat this if the people, and the military, and the Congress, and our allies around the world understand they're under the exact same attack plan.
[00:13:12.771 --> 00:13:16.574]  Bolsonaro understands.
[00:13:16.574 --> 00:13:18.856]  Boris Johnson understands on the surface.
[00:13:18.856 --> 00:13:20.417]  Nizel Farage understands.
[00:13:20.417 --> 00:13:22.039]  Do you understand?
[00:13:22.039 --> 00:13:24.421]  This is not some type of fear porn.
[00:13:24.421 --> 00:13:25.542]  This is the reality.
[00:13:27.062 --> 00:13:31.824]  It's like you hear your door knocked in, and dudes in black masks are in there with crowbars.
[00:13:31.824 --> 00:13:36.906]  You're gonna roll over and piss yourself, or you're gonna grab your shotgun and go to work.
[00:13:36.906 --> 00:13:42.469]  You better get yourselves ready.
[00:13:42.469 --> 00:13:44.970]  And I don't want you to physically get your shotguns and go to work.
[00:13:44.970 --> 00:13:49.992]  It's an allegory of politically blasting the truth out, not complying, saying no.
[00:13:49.992 --> 00:13:51.713]  I go in places all the time.
[00:13:51.713 --> 00:13:54.174]  The problem is I gotta have somebody go with me now so I can always get it on tape.
[00:13:57.369 --> 00:13:58.369]  And I just refuse.
[00:13:58.369 --> 00:14:01.330]  I don't even, I don't even say I have a medical reason not to wear it.
[00:14:01.330 --> 00:14:02.351]  That's the law.
[00:14:02.351 --> 00:14:03.251]  That's a waiver.
[00:14:03.251 --> 00:14:04.691]  Or I have anxiety, I don't have to.
[00:14:04.691 --> 00:14:06.252]  I start getting in their face about it.
[00:14:06.252 --> 00:14:10.333]  And when they say, fine, you can't shop here, I'd say, great, I'll never be here again.
[00:14:10.333 --> 00:14:12.374]  Tell your manager.
[00:14:12.374 --> 00:14:15.955]  They always go, sorry, I know it's a fraud too, okay?
[00:14:15.955 --> 00:14:16.896]  Well then say no!
[00:14:16.896 --> 00:14:19.957]  Because it's a test to see what you'll submit to.
[00:14:19.957 --> 00:14:20.957]  Sorry, let me tell you what's coming up.
[00:14:22.757 --> 00:14:30.323]  We have massive news here, not just tied into this, on the, well, just wait till next segment, on the COVID-19 hoax.
[00:14:30.323 --> 00:14:31.084]  I'm loaded for bear.
[00:14:31.084 --> 00:14:35.467]  This entire group of stacks here is unbelievable.
[00:14:35.467 --> 00:14:37.569]  Each one is three hours of radio time.
[00:14:37.569 --> 00:14:40.331]  I mean, it's just all over the top.
[00:14:40.331 --> 00:14:42.373]  We got Bohemian Grove news.
[00:14:42.373 --> 00:14:50.259]  The Supreme Court has handed over half of Oklahoma so they can defend a convicted child rapist.
[00:14:50.259 --> 00:14:51.200]  I'm not kidding.
[00:14:51.200 --> 00:14:51.861]  That's no joke.
[00:14:53.024 --> 00:14:57.396]  Supreme Court gives half of Oklahoma a way to save pedophile rapists.
[00:14:57.396 --> 00:15:01.146]  Speaking of that, there's new news on gaslighting Maxwell.
[00:15:02.591 --> 00:15:05.374]  Mainstream News now admits everything you do is tracked by your phone.
[00:15:05.374 --> 00:15:12.641]  You're being listened to by corporations and they even can control what you're going to do later by stimuli to manipulate you.
[00:15:12.641 --> 00:15:23.412]  Wall Street Journal reports how you feel depends on where you are and they're admitting that the phones are tracking and watching you and actually creating psychological profiles on you to control your life.
[00:15:24.053 --> 00:15:25.554]  So I thought you might want to know that.
[00:15:25.554 --> 00:15:29.216]  We've got the latest SJW tear-down-the-nation operation.
[00:15:29.216 --> 00:15:34.499]  They're now pushing for Ford to no longer sell police cars to police.
[00:15:34.499 --> 00:15:36.000]  I'm not kidding.
[00:15:36.000 --> 00:15:37.721]  And so much more.
[00:15:37.721 --> 00:15:46.266]  Joe Biden has officially adopted the Bernie Sanders platform and wants replacement migration, no borders, and 600 million migrants we pay for here double the U.S.
[00:15:46.266 --> 00:15:47.247]  population within 20 years.
[00:15:48.027 --> 00:15:49.772]  Total destruction is here.
[00:15:49.772 --> 00:15:52.558]  Absolute annihilation of all your freedom.
[00:15:52.558 --> 00:15:56.608]  That young lady about the viral video about she supports Trump, they're taking her high school diploma away.
[00:15:58.595 --> 00:16:04.161]  I am cutting this ad on Friday, and by Monday afternoon, we have to end this special.
[00:16:04.161 --> 00:16:12.731]  Because even though a lot of these items have been sold out and just came back in, we only ordered a limited amount of things like bodies, our ultimate turmeric formula.
[00:16:12.731 --> 00:16:19.999]  Because quite frankly, the supply chain has broken down with COVID-19 and a lot of products we've been unable to even get back in stock.
[00:16:20.399 --> 00:16:23.381]  Because the companies we get them from are partially shut down.
[00:16:23.381 --> 00:16:24.622]  This is totally crazy.
[00:16:24.622 --> 00:16:35.088]  So you've got just a few days left to take advantage of the July 4th Mega Sale with storewide free shipping, double Patriot Points, and up to 60% off on high quality products.
[00:16:35.088 --> 00:16:36.149]  DNA Force Plus, 50% off.
[00:16:36.909 --> 00:16:37.109]  Thank you.
[00:16:57.987 --> 00:16:59.648]  It's finally here.
[00:16:59.648 --> 00:17:03.751]  Introducing the new Survival Shield X2 Spray.
[00:17:03.751 --> 00:17:10.096]  Available now for 33% off at InfoWarsTore.com.
[00:17:10.096 --> 00:17:19.523]  Listeners have been asking us for months to develop an iodine spray made with our exclusive Deep Earth Crystal Nascent Iodine.
[00:17:20.303 --> 00:17:34.871]  Our proprietary new Aerodyne technology allows us to harness the full power of ancient iodine crystals from 7,000 feet below the Earth's surface into the ultimate spray formula.
[00:17:34.871 --> 00:17:42.936]  Iodine is an essential mineral that helps support thyroid health, healthy metabolism, and healthy cognitive function.
[00:17:43.616 --> 00:17:51.221]  Get the new Survival Shield X2 Spray for 33% off intro pricing at InfoWarsTore.com.
[00:17:51.221 --> 00:18:01.207]  That's Survival Shield X2 Spray at InfoWarsTore.com.
[00:18:01.207 --> 00:18:03.809]  You're listening to the Alex Jones Show.
[00:18:19.424 --> 00:18:21.325]  The answer to 1984 is 1776.
[00:18:21.325 --> 00:18:28.908]  You're listening to the Alex Jones Show.
[00:18:28.908 --> 00:18:32.930]  Alright, I am going to absolutely blow you away with the facts, with the evidence.
[00:18:34.127 --> 00:18:44.437]  The COVID-19 is an absolute planetary takeover plan and how to defeat it because people are submitting at a great level, but even small levels of resistance will derail it.
[00:18:44.437 --> 00:18:49.281]  And we've got way higher numbers of the resistance that we need to even stop it.
[00:18:49.281 --> 00:18:55.167]  But people need to know how to be targeted about this and how to expose the entire fraud.
[00:18:55.167 --> 00:18:57.129]  You don't battle little pieces of it.
[00:18:57.129 --> 00:18:58.590]  It gets lost in minutia.
[00:18:58.590 --> 00:18:58.970]  But first,
[00:18:59.844 --> 00:19:11.808]  You could give those different psychological names, but if you study authoritarians throughout history, it's a formula they've deployed, and in the 19th, 20th, and now 21st centuries, it's become not an art form, but a science.
[00:19:11.808 --> 00:19:17.409]  So, if we have a document we can have shot, please, I'm going to do a primitive illustration here.
[00:19:17.409 --> 00:19:22.331]  Here we are in January, and they've not closed the noose in around us yet.
[00:19:23.407 --> 00:19:25.429]  But monkey see, monkey do.
[00:19:25.429 --> 00:19:31.814]  We sit there and we watch what's happening in China and the apocalyptic images so we get scared.
[00:19:31.814 --> 00:19:35.898]  And so, that is the new normal, we believe, once it comes here.
[00:19:35.898 --> 00:19:40.002]  And we're told, oh, just 15 days because the hospitals will be overwhelmed.
[00:19:40.002 --> 00:19:41.943]  We're going to lock you in your house.
[00:19:41.943 --> 00:19:44.346]  So they close the noose down really, really tight.
[00:19:45.285 --> 00:19:50.710]  Then they know that you're going to really get upset, do your research, find out it's a fraud if they don't release the news.
[00:19:50.710 --> 00:19:54.534]  So after a couple months, they release it, but not all the way.
[00:19:54.534 --> 00:20:03.383]  They release it about 90%, but then instantly begin contracting it back down again.
[00:20:04.710 --> 00:20:10.391]  And they do this over and over again, each time not releasing it as much as they did last time.
[00:20:10.391 --> 00:20:19.373]  So through successive approximation, incrementalism, you end up where their endgame is, down here, a post-human world.
[00:20:19.373 --> 00:20:20.933]  Okay?
[00:20:20.933 --> 00:20:23.814]  In fact, when I talk about monkeys see monkey do, I meant to hit this yesterday.
[00:20:23.814 --> 00:20:25.875]  Guys, search engine this.
[00:20:25.875 --> 00:20:29.615]  Monkeys now adopting wearing mask.
[00:20:29.615 --> 00:20:32.316]  In India, in Africa,
[00:20:33.789 --> 00:20:42.514]  In Southeast Asia, monkeys have all now been seen picking up masks out of trash piles and putting them on.
[00:20:42.514 --> 00:20:50.818]  Now, we're a lot smarter than our fellow primate, these different types of monkeys that are doing this, but they think of humans as more advanced, as successful.
[00:20:50.818 --> 00:20:52.459]  They watch us closely.
[00:20:52.459 --> 00:20:59.603]  We drop food and stuff for them, and they know that we're more advanced, so they're now putting the mask on.
[00:20:59.603 --> 00:21:01.384]  They're now beginning to wear clothing.
[00:21:03.206 --> 00:21:05.728]  Now there you go, there's a monkey wearing a mask.
[00:21:05.728 --> 00:21:08.551]  This is happening all over the world now.
[00:21:08.551 --> 00:21:08.951]  Okay?
[00:21:08.951 --> 00:21:11.553]  Because they've been watching us doing it.
[00:21:11.553 --> 00:21:12.174]  Let's move on.
[00:21:13.749 --> 00:21:22.173]  Now are we smart enough to not be like the monkey and see that we're being put into a social construct called peer pressure?
[00:21:22.173 --> 00:21:36.300]  Now normally peer pressure, if you grew up in a village of a couple hundred people in some seaside little town, whether it was in the Pacific Ocean and you're Asian, or whether you were Northern European, or whether you were an African on the west coast of Africa, your tribe cared about you.
[00:21:36.860 --> 00:21:39.002]  They stood up for you against other tribes.
[00:21:39.002 --> 00:21:39.882]  They taught you how to fish.
[00:21:39.882 --> 00:21:40.523]  They taught you how to hunt.
[00:21:40.523 --> 00:21:41.404]  They taught you how to cook.
[00:21:41.404 --> 00:21:42.565]  They taught you how to sew.
[00:21:42.565 --> 00:21:43.745]  They taught you medicine.
[00:21:43.745 --> 00:21:46.187]  The witch doctors taught you about different herbs and plants.
[00:21:46.187 --> 00:21:51.912]  And, you know, if somebody was a little weird or bad, they got thrown out of the tribe or they got their head beat in.
[00:21:51.912 --> 00:21:54.854]  They got thrown off a cliff.
[00:21:54.854 --> 00:21:58.577]  That's how justice operated and how we built civilization.
[00:21:58.577 --> 00:22:00.499]  But when you get to this point of corruption,
[00:22:01.621 --> 00:22:15.290]  And if the global is feeding on us and breeding us like cattle and controlling us and that there's a scientific establishment that's broken the social construct with us and broken the social compact, compliance is not success.
[00:22:15.290 --> 00:22:22.195]  You're 10 years old with your tribe and the 70-year-old elder and your 30-year-old dad and all the rest of them are telling you things.
[00:22:22.195 --> 00:22:23.836]  Most of the time it's going to be right.
[00:22:23.836 --> 00:22:25.837]  And complying is a good thing.
[00:22:25.837 --> 00:22:29.960]  You comply with David Rockefeller and Bill Gates and Queen Beatrix
[00:22:31.069 --> 00:22:33.230]  Who openly said they want your ass dead.
[00:22:33.230 --> 00:22:35.071]  You're an idiot!
[00:22:35.071 --> 00:22:38.693]  I'm not complying with none of it!
[00:22:38.693 --> 00:22:40.794]  I'll comply with common sense.
[00:22:40.794 --> 00:22:42.715]  I will not comply with my own destruction.
[00:22:42.715 --> 00:22:45.457]  So let's lay it out right now.
[00:22:45.457 --> 00:22:51.300]  CDC feels pressured from Trump as RIF grows over coronavirus response.
[00:22:51.300 --> 00:22:52.981]  Because Trump knows it's a fraud.
[00:22:52.981 --> 00:22:55.302]  He knows that bureaucracy works for Bill Gates.
[00:22:55.302 --> 00:22:58.644]  Trump, as I told you first, a month and a half ago, was going to sideline Fauci.
[00:22:59.611 --> 00:23:00.511]  Happened two weeks later.
[00:23:00.511 --> 00:23:02.572]  They even used the term sideline.
[00:23:02.572 --> 00:23:03.813]  Had that directly from the White House.
[00:23:03.813 --> 00:23:05.354]  That they got the message.
[00:23:05.354 --> 00:23:07.775]  I've advised the White House, destroy him.
[00:23:07.775 --> 00:23:08.895]  Destroy Gates.
[00:23:08.895 --> 00:23:09.875]  Annihilate them.
[00:23:09.875 --> 00:23:12.697]  They have, they've got the patents on the vaccines.
[00:23:12.697 --> 00:23:13.897]  They pre-planned it all.
[00:23:13.897 --> 00:23:15.438]  You're starting to see that come out.
[00:23:15.438 --> 00:23:16.458]  Trump's the real deal, folks.
[00:23:16.458 --> 00:23:18.019]  But he's got to hit them now.
[00:23:18.019 --> 00:23:20.080]  He can't wait.
[00:23:20.080 --> 00:23:20.820]  And he's the President.
[00:23:20.820 --> 00:23:24.102]  These are traitors working with China.
[00:23:24.102 --> 00:23:26.142]  I mean, hit them politically, President, as hard as you want.
[00:23:26.142 --> 00:23:27.103]  The American people will back it.
[00:23:28.387 --> 00:23:30.569]  Or maybe Fauci just goes away on a long trip.
[00:23:30.569 --> 00:23:31.470]  Along with Bill Gates somewhere.
[00:23:31.470 --> 00:23:34.332]  Maybe they just vacation together someplace we never see him again.
[00:23:34.332 --> 00:23:35.133]  Who knows?
[00:23:35.133 --> 00:23:37.635]  They're like Whitman, Price and the Dodd.
[00:23:37.635 --> 00:23:41.358]  Their debt to society paid in full.
[00:23:41.358 --> 00:23:43.080]  Last season's winners.
[00:23:43.080 --> 00:23:44.461]  Let's continue.
[00:23:44.461 --> 00:23:49.706]  Colorado town threatens a year in jail for residents who refuse to wear a mask.
[00:23:49.706 --> 00:23:51.867]  $2,000 fines in Austin.
[00:23:54.454 --> 00:23:56.154]  See, it's more draconian.
[00:23:56.154 --> 00:23:58.555]  They tighten the noose, loosen the noose.
[00:23:58.555 --> 00:24:01.235]  Tighten the noose, but don't loosen it as much.
[00:24:01.235 --> 00:24:02.655]  Tighten it more the next time.
[00:24:02.655 --> 00:24:04.076]  Don't loosen it as much.
[00:24:04.076 --> 00:24:08.997]  Because they found you'll struggle out up front if you know it's death up front.
[00:24:08.997 --> 00:24:12.937]  But if they can just tighten it, and then let it go.
[00:24:12.937 --> 00:24:14.098]  Tighten it, and then let it go.
[00:24:14.098 --> 00:24:15.718]  And that's, both the strippers actually do that.
[00:24:15.718 --> 00:24:17.658]  They get around you, they squeeze.
[00:24:17.658 --> 00:24:21.159]  When you really fight hard, they kind of let off a little, knowing you're going to...
[00:24:22.645 --> 00:24:26.168]  So the best thing to understand is you got a boa constrictor just got around you.
[00:24:26.168 --> 00:24:31.813]  And if you think listening to it and doing what it says while it hisses in your ear is a good idea, well then, just lay back.
[00:24:31.813 --> 00:24:37.377]  He's going to break your ribs and unhinge his jaw and swallow you down whole.
[00:24:37.377 --> 00:24:40.119]  As for me, I'm going down fighting with old Bill Gates.
[00:24:40.119 --> 00:24:45.864]  Fauci says he hasn't briefed Trump on COVID-19 in two months.
[00:24:45.864 --> 00:24:46.545]  The U.S.
[00:24:46.545 --> 00:24:46.625]  is
[00:24:47.895 --> 00:24:52.748]  Diving into the dark COVID hole and there's no plan to get out, says CNN.
[00:24:53.803 --> 00:25:00.847]  Meanwhile, the deaths have totally plunged because everybody found out they were killing the old people and killing people so they can't do the ventilators.
[00:25:00.847 --> 00:25:02.669]  We need ventilators!
[00:25:02.669 --> 00:25:07.892]  We need millions of them or we won't get up to the two million dead, said Cuomo.
[00:25:07.892 --> 00:25:09.153]  Remember?
