[00:00.000 --> 00:08.940]  big brother mainstream media government cover-ups you want answers well so does
[22:30.700 --> 22:36.700]  if you'd like to take a look at gold for your retirement call 800-686-2237
[22:36.700 --> 22:41.700]  don't get left behind by rising inflation and low return on your paper investments
[22:41.700 --> 22:46.700]  call 800-686-2237 make sure that you secure your future
[22:46.700 --> 22:56.700]  call 800-686-2237 that's 1-800-686-2237
[22:56.700 --> 23:00.700]  everyone knows that omega 3 should be an essential part of our daily diet
[23:00.700 --> 23:06.700]  with so many different methods of consumption how do you choose a simple yet effective way to get your daily intake
[23:06.700 --> 23:10.700]  the friendly knowledgeable folks at North American nutrition have the answer
[23:10.700 --> 23:17.700]  natures gem premium omega 3 unlike other flax seed our golden flax is grown on our farm in northern Minnesota
[23:17.700 --> 23:24.700]  providing cooler temperatures and longer summer hours producing the highest quality premium golden flax seed around
[23:24.700 --> 23:29.700]  in addition we selectively harvest and sort flax seeds by size and weight
[23:29.700 --> 23:33.700]  keeping only the best seeds that can produce the highest abundance of omega 3
[23:33.700 --> 23:36.700]  the result is a delicious nutty buttery flavor
[23:36.700 --> 23:42.700]  natures gem golden flax is pure there is nothing added and nothing taken away and non GMO
[23:42.700 --> 23:48.700]  we offer a 100% money back guarantee order natures gem premium golden flax today at goldenflax.com
[23:48.700 --> 23:56.700]  goldenflax.com or call 800-387-5516 that's 800-387-5516 free shipping included
[23:56.700 --> 24:06.700]  dotnet
[24:06.700 --> 24:23.700]  everybody knows that the days are loaded everybody rolls with their fingers crossed everybody knows the war is over everybody knows the good guys
[24:23.700 --> 24:33.700]  we are back live it is December 9th 2008 General Hamid Ghul one of the most famous members of commanders of Pakistani intelligence
[24:33.700 --> 24:39.700]  who worked in with the United States and the whole operation against the Russians was the commander of those operations
[24:39.700 --> 24:46.700]  is our guest with us graciously until 40 after general not wasting any more time
[24:46.700 --> 24:54.700]  I listed earlier the fact that Indian intelligence captains in the army have been caught in India staging bombings
[24:54.700 --> 25:04.700]  that's Indian news that Indian intelligence and police have been caught giving cell phones to the supposed shooters the police stood down
[25:04.700 --> 25:12.700]  and only the anti-terror commanders that had said that India was staging terror they were killed in the initiation of the attacks in Mumbai
[25:12.700 --> 25:21.700]  that's some of the evidence of Mumbai being an inside job namely why do you believe Mumbai is a staged event two weeks ago a and b
[25:21.700 --> 25:23.700]  what is the motive
[25:23.700 --> 25:34.700]  well the motive is very simple that Americans want Indians to come on board with them in their war against terror especially when they run out of troops
[25:34.700 --> 25:44.700]  in Afghanistan the NATO allies are pulling out they are dragging their feet they are not prepared to fight there but they want to make it an Indian call
[25:44.700 --> 25:56.700]  and they want nearly 150,000 troops in Afghanistan that is one reason where there is an American motive there is an Israel motive
[25:56.700 --> 26:06.700]  which is similar that the Americans should not pull out of Afghanistan just because they are sort of troops so they must have more troops there
[26:06.700 --> 26:17.700]  because if they go away without denuclearizing Pakistan state of Israel will remain in under perpetual danger so they have an innate fear
[26:17.700 --> 26:27.700]  that Americans may lose heart and pull out of this region they are already going out of Iraq and if they were to go out of Afghanistan as well
[26:27.700 --> 26:33.700]  this will be an unfinished agenda and that Israel would be at the losing end
[26:33.700 --> 26:48.700]  so the Neocons and the Zionists they together want to have a conspiracy so that Obama gets trapped into a situation where for next four years he will keep on sorting out this
[26:48.700 --> 27:04.700]  embryo as far as the ability is concerned which is the other element can you imagine that people traveling from Karachi in two rickety boats they can travel all the way to Bombay and then go into action immediately
[27:04.700 --> 27:15.700]  and fight a battle for 72 hours and they are just 10 of them and in each group there were two this is impossible they were carrying so much of munitions with them
[27:15.700 --> 27:30.700]  and that munitions lasted they were fighting virtually the crack troops of the Indian army for so long and you know that in Narima house the five Jewish hostages they were killed by the Indian commandos
[27:30.700 --> 27:37.700]  they were not killed by these people so why would the Indian commandos kill them and Israeli suppressed this information
[27:37.700 --> 27:49.700]  it initially came out in one of the Indian Israeli delis but then it was suppressed so if you go by the record of the Indian acquisitions against Pakistan
[27:49.700 --> 27:59.700]  in the past in year 2001 on December 13 there was an attack on the Indian Lok Sabha and they blamed Pakistan and Lashkere Taiba for it
[27:59.700 --> 28:14.700]  but it turned out that these were Indian Kashmiris themselves and because India is committing so much of atrocities in Kashmir therefore there is a good reason for them that they would carry out something like that
[28:14.700 --> 28:32.700]  when they again in 2006 there was this Punjab express case in which 68 passengers mostly Pakistanis were killed and this train was stopped at an obscure railway station in Haryana and then those were locked and the train was set on fire
[28:32.700 --> 28:45.700]  and again this was the claim that it was Pakistani Lashkere Taiba and that they had done it because they wanted to derail the peace process but now three countries has been caught in it
[28:45.700 --> 28:58.700]  and there are other Indian officers who are his accomplices and he has a big network they took the RDX from Diolali depot which is a military depot
[28:58.700 --> 29:06.700]  so one can say that there is a deep penetration of the militant Hindus in military and intelligence organization in India
[29:06.700 --> 29:16.700]  so in this case why would they not do that because they want to again derail this process and when Obama says that he will mediate on Kashmir
[29:16.700 --> 29:34.700]  and there is a Kashmiri political movement picking up momentum and in this situation he said that he would send Bill Clinton as the mediator obviously the militants in India do not want this to happen and they had to preempt it
[29:34.700 --> 29:46.700]  so Pakistan doesn't gain, the Pakistani ISI doesn't gain anything from it, the net beneficiary is either the militant Hindus...
[29:46.700 --> 29:54.700]  we are on the march, the empires on the run, Alex Jones and the GCN radio network
[29:54.700 --> 30:08.700]  the headlines are clear, the worldwide economic collapse is here, the military is being positioned for martial law, the market of beast is at hand
[30:08.700 --> 30:15.700]  governments are calling for a new world cashless economic system, having a long term food solution is your only hope to stay free
[30:15.700 --> 30:25.700]  now Survival of Seeds introduces their escape to beast kit, 24 varieties of all natural non-genetically modified heirloom seeds for true patriots and homesteaders wanting food insurance
[30:25.700 --> 30:33.700]  that's over 5 pounds of rare historic seeds for a penny per seed, 15,000 seeds that will feed a family healthy food for 7 years
[30:33.700 --> 30:47.700]  Big John Lipscomb, host of Don't Tread on Me is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him, restaurants and small delis
[30:47.700 --> 30:56.700]  Order today before it's too late, survivalistseeds.com, that's survivalistseeds.com, a long term food solution
[30:56.700 --> 31:09.700]  Terror Storm, a history of government sponsored terror, loose change final cut, in game blueprint for global enslavement, the true story of the Bilderberg group, the late great USA, America freedom to fascism
[31:09.700 --> 31:16.700]  these are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com
[31:16.700 --> 31:26.700]  When you visit prisonplanet.com you can connect to our amazing online store whether you're looking for survival and wellness products like Berkey water filters or you would like a book on the history of the Federal Reserve
[31:26.700 --> 31:37.700]  we've got the most well researched and documented titles all available at prisonplanet.com or if you'd like you can give the info or store a call at 888-253-3139
[31:37.700 --> 31:54.700]  or you can view more than a thousand titles in super high quality right now at prisonplanet.tv, knowledge is power and the information you need to effectively wake up your fellow man and fight the new world order is available right now at truthnews.us and prisonplanet.tv
[31:54.700 --> 32:08.700]  join the info war today.
[32:24.700 --> 32:33.700]  Kielorex does not contain EDTA and is made from all natural ingredients enhancing the body's natural mechanisms for excreting heavy metals and preventing their reabsorption
[32:33.700 --> 32:44.700]  Kielorex contains antioxidants to protect the liver, kidneys, central nervous system and immune functions and effectively mobilizes mercury and 15 other heavy metals including aluminum, arsenic, lead and more
[32:44.700 --> 33:03.700]  find out what Kielorex can do for you by calling 1-800-675-4568 or visit us online at C-H-E-L-O-R-E-X.com that's Kielorex.com today or today
[33:03.700 --> 33:18.700]  Waging war on corruption, Alex Jones on the GCN radio network
[33:18.700 --> 33:34.700]  Ladies and gentlemen, a rare interview, extremely enlightening, we're talking to the former head of Pakistani intelligence, the ISI, I want to thank Paul Watson who we've got on the line who's going to pop in with a question or two, I want to thank Simon over in the UK for getting us this number
[33:34.700 --> 33:42.700]  and I want to thank Aaron for staying up late last night to get the producing job done to get this interview right here on the GCN radio network.
[33:42.700 --> 33:58.700]  General, continuing with motive, I have the headline here, Pakistan asserts hoax war call was real, Press Minister fingers India High Commission as sorts of reports that threatening cell call was fake, as you know this is in most of the
[33:58.700 --> 34:12.700]  major Pakistani papers, the government has the caller ID and the phone records that the threatening call saying that India was going to attack within minutes of the terrorist attacks beginning in Mumbai a few weeks ago.
[34:12.700 --> 34:30.700]  This provocative call within minutes saying India was going to attack Pakistan, attempting to get Pakistan I guess to move troops to the border and have a conflict and the media saying that a possible war between the two thermal nuclear powers was narrowly averted, can you speak to that?
[34:30.700 --> 34:50.700]  Yes indeed I think the Americans and the Indians both have been very responsible about it because Condoleezza writes his statement in India when he went and visited Delhi, they were very threatening towards Pakistan and it was sort of a dictation that you have to satisfy India.
[34:50.700 --> 35:08.700]  Now this is amazing that Pakistan had to satisfy India on what score Indians are still to come out with the evidence and as far as this one man that they have caught, who knows that this is not a bogey and that this man was loitering around somewhere.
[35:08.700 --> 35:26.700]  There are lots of Pakistanis who crossed the border illegally or legally and he could have been picked up and he has become the front man for singing all those stories. So one doesn't really know, it's too early to start threatening war against Pakistan because Pakistan is a nuclear country
[35:26.700 --> 35:48.700]  and if they brandish their power, conventional power then I can assure you that as a soldier I will say that a conventional war, limited war within the nuclear environment is not possible in the subcontinent and if it comes to exchange of nuclear weapons then this becomes a third world war.
[35:48.700 --> 36:06.700]  China cannot stay out, Russia will not stay out, Russia is already showing its diligence towards America and Europe and China of course is a very major economic power, they are a nuclear power and if this thing happens in their backyards they will not accept it.
[36:06.700 --> 36:32.700]  So this is a very dangerous situation, I think it's playing with the file. So the whole thing is getting could get out of hand. It is again as I told you that the part of the unfinished agenda that new cons had in their mind and they think that now Obama will carry it out even though the Americans want to change.
[36:32.700 --> 36:54.700]  But let's look at what change means. Obama has not very clearly enunciated what change would be but one can assume that change means focusing on the domestic issues, there is an economic meltdown, the car industry is going sick and many other things are happening inside America, the social welfare and the Medicare etc.
[36:54.700 --> 37:05.700]  So in all these things there is a need for the new administration to focus entirely on the domestic issues and for that it will have to disengage externally.
[37:05.700 --> 37:29.700]  General, as you know in the last three months before Obama was even elected he said Pakistan and Afghanistan would be his main focus, the strikes inside Pakistan, it's clear that his change means what Zbigniew Brzezinski wants, shifting what the Rand Corporation has said they want, shifting the war out of the Middle East into Central Asia.
[37:29.700 --> 37:41.700]  So I believe the change is going to be these provocations. Look at the neo-cons with Israeli and NATO back forces launching the sneak attack on the Russian held South Ossetia on 888.
[37:41.700 --> 37:54.700]  So it appears that they are trying to launch a major larger than a theater war as the Rand Corporation said a month ago they want a major new war.
[37:54.700 --> 38:13.700]  Yes indeed you are right because this is old theory which is your strategic theory put out first by Mekinder and then by Mahan who was an admiral in the US Navy that this is the rim land you have to first control the rim land in Asia before you can strike in the heartland of Asia.
[38:13.700 --> 38:29.700]  So this heartland rim landing I think it fits into the story, it fits into the picture that if they have a conflict in the rim land and they can control it and then it becomes so much easier to go and penetrate into the heartland.
[38:29.700 --> 38:54.700]  But this is really asking too much at a state when America is not in a very healthy economic condition. So I think this is the brinkmanship of the highest order and if they enlarge the area of conflict in this war against terrorism and if they prolong the period of conflict then America will definitely lose.
[38:54.700 --> 39:11.700]  Because I know that when you are fighting the irregular fighters when area of conflict is enlarged let's say it is extended into the tribal areas of Pakistan or it is pushed into Kashmir as well so that China can be monitored and watched quite easily.
[39:11.700 --> 39:22.700]  Then the area will become larger and the US does simply does not have the troops and there is not a moral cause strong enough for the American people to be mobilized behind it.
[39:22.700 --> 39:27.700]  So this is here madness to be thinking of fighting at this time.
[39:27.700 --> 39:35.700]  So that's why they need proxies like India to destabilize the region for the encirclement of Russia and of course China blocking those pipelines.
[39:35.700 --> 39:45.700]  Now sir in the time we've got left you worked with the United States and Saudi Arabia with Israel or at least Pakistan did fighting the Russian invasion.
[39:45.700 --> 39:52.700]  Of course if these reports are incorrect correct me but you were one of the main commanders helping the Mujahideen.
[39:52.700 --> 39:59.700]  Then you were the head of Pakistani intelligence right at the time that you finally had the victory against the Russians.
[39:59.700 --> 40:14.700]  It is reported here that Al Qaeda was founded by the new Secretary of Defense Gates and Zbigniew Brzezinski that they were the Wahhabist fighting corps and that they are now being used to try to bring down the Pakistani government
[40:14.700 --> 40:18.700]  and to stage attacks inside India.
[40:18.700 --> 40:26.700]  So can you speak with your particular expertise to that and then also the fact that they're trying to now list you as a terrorist.
[40:26.700 --> 40:30.700]  And then thirdly did you ever meet Osama bin Laden?
[40:30.700 --> 40:33.700]  Is Osama bin Laden dead many years ago of kidney failure?
[40:33.700 --> 40:35.700]  Has been as Arbuto said.
[40:35.700 --> 40:45.700]  Well I was actually in charge of operations against the Soviet occupation of Afghanistan and the Americans were providing the logistics support
[40:45.700 --> 40:56.700]  and the Saudis were sharing one half of the budget for this war and it was a cheap war because in all those 10 years that we were fighting the Russians
[40:56.700 --> 41:07.700]  we spent not more than 5 billion dollars out of the American expectation so it was a very cheap war for the Americans to have defeated the Russians
[41:07.700 --> 41:13.700]  and rid the whole of the west of this red man that they used to call.
[41:13.700 --> 41:25.700]  So at that time Osama bin Laden and his colleague they were admired and they were romanticized by the CIA operators.
[41:25.700 --> 41:31.700]  I had never met him then I had nothing to do with him because I was only busy training the Afans.
[41:31.700 --> 41:40.700]  We had to win a war, we had a task on our hand, it was a very big task and we were so occupied with the training only the Afans.
