[00:00:00.689 --> 00:00:02.990]  Ohhhhhhhhhh
[00:07:55.268 --> 00:08:09.075]  And the fight is between will we have a future based on the greater ideals of Christendom and the Renaissance and the true enlightenment and America?
[00:08:09.075 --> 00:08:19.539]  Or of the anti-human, godless, beyond evil, communist Chinese and their globalist allies.
[00:08:19.539 --> 00:08:20.740]  George Soros
[00:08:23.086 --> 00:08:34.171]  He's one of the main deep state controllers of the takedown of the Western world and the persecution of Christian institutions.
[00:08:34.171 --> 00:08:49.877]  He admits on CNN with Fareed Zakaria three years ago that he used five billion dollars of State Department money given to him by Barack Obama and that he directed
[00:08:54.654 --> 00:08:58.875]  Civil War and overthrow of the elected government of Ukraine.
[00:08:58.875 --> 00:09:01.696]  That's just one thing he bragged about.
[00:09:01.696 --> 00:09:04.477]  Just type it in to a search engine.
[00:09:04.477 --> 00:09:12.939]  George Soros told Fareed Zarkaria that he overthrew the Ukrainian government.
[00:09:12.939 --> 00:09:14.639]  That he was behind the revolution.
[00:09:14.639 --> 00:09:18.440]  You'll get CNN.com and the video.
[00:09:18.440 --> 00:09:20.901]  Now why is that so important?
[00:09:22.779 --> 00:09:42.614]  Because when Donald John Trump and his surrogates talk about that, like Lou Dobbs or Tucker Carlson or Alex Jones, MSNBC, CNN and even Fox come out and apologize and say, we're not going to have the head of Judicial Watch on ever again.
[00:09:42.614 --> 00:09:44.576]  He's banned.
[00:09:44.576 --> 00:09:51.181]  For in January of this year, 11 months ago, saying,
[00:09:52.131 --> 00:09:54.673]  Soros still has people in control of the State Department.
[00:09:54.673 --> 00:10:01.178]  They're getting the money through USAID to fund the collapse of the border and the refugee centers.
[00:10:01.178 --> 00:10:05.302]  That was true!
[00:10:05.302 --> 00:10:16.851]  But the news said it wasn't.
[00:10:16.851 --> 00:10:21.094]  And pretended like that was fake news, just like Fiona Hill a month ago.
[00:10:22.486 --> 00:10:29.129]  In the whole fake situation with the impeachment hearings.
[00:10:29.129 --> 00:10:30.730]  They said, do you know George Soros?
[00:10:30.730 --> 00:10:31.570]  Did you work for him?
[00:10:31.570 --> 00:10:34.431]  She's like, no.
[00:10:34.431 --> 00:10:35.252]  Are you a globalist?
[00:10:35.252 --> 00:10:37.573]  No, I don't know what that is.
[00:10:37.573 --> 00:10:38.473]  Are you a leftist?
[00:10:38.473 --> 00:10:40.454]  Well, yes, a European leftist.
[00:10:40.454 --> 00:10:43.936]  That's a communist.
[00:10:43.936 --> 00:10:46.477]  She said, nothing Roger Stone and Alex Jones say about me is true.
[00:10:46.477 --> 00:10:50.399]  And they went on to say, well, he'll serve prison for his lies.
[00:10:52.185 --> 00:11:00.370]  Well, Prince Valiant was the head board member on the main foundation run by Soros.
[00:11:00.370 --> 00:11:01.971]  Funded by Soros.
[00:11:01.971 --> 00:11:06.874]  But you could technically say she didn't work for him because he isn't on the foundation board.
[00:11:06.874 --> 00:11:10.956]  He just created it and funded it.
[00:11:10.956 --> 00:11:17.199]  It's like saying I don't... I'm not connected to my mother because my umbilical cord was cut 45 years ago.
[00:11:17.199 --> 00:11:18.340]  But I'm connected to my mother.
[00:11:18.340 --> 00:11:19.421]  I came out of her loins.
[00:11:21.107 --> 00:11:22.488]  Now why do they do that?
[00:11:22.488 --> 00:11:23.389]  This is the key to everything.
[00:11:23.389 --> 00:11:24.450]  I've got all this news.
[00:11:24.450 --> 00:11:27.753]  The key to this.
[00:11:27.753 --> 00:11:35.099]  Because it's the elephant in the room, the crimes they've committed, the things they've done.
[00:11:35.099 --> 00:11:49.391]  The documents I have right here, that are public, where Alexander Soros gives hundreds of millions of dollars to local leftist organizations in Antifa to go out with the express
[00:11:50.518 --> 00:11:57.862]  Orders to try to get black people to riot and create a civil war.
[00:11:57.862 --> 00:12:02.025]  Well, the Attorney General, we got these documents two years ago.
[00:12:02.025 --> 00:12:04.166]  January of 2018.
[00:12:04.166 --> 00:12:06.228]  So, 23 months ago.
[00:12:06.228 --> 00:12:06.968]  Huge story.
[00:12:06.968 --> 00:12:11.171]  Documents to tell plan for civil unrest and martial law in Baltimore.
[00:12:11.171 --> 00:12:13.672]  This is organized crime.
[00:12:13.672 --> 00:12:17.174]  This is racketeering.
[00:12:17.174 --> 00:12:18.375]  Statute of limitations isn't up.
[00:12:20.575 --> 00:12:26.280]  You can indict Soros and his son now for this, open and shut.
[00:12:26.280 --> 00:12:28.401]  Now why is that so important?
[00:12:28.401 --> 00:12:32.965]  Why is that so critical?
[00:12:32.965 --> 00:12:46.736]  Because I have a stack of news and court rulings and documents where AG Barr says, we need to fish or cut bait, that's a quote.
[00:12:46.736 --> 00:12:49.458]  Another way of saying, crap or get off the pot.
[00:12:50.984 --> 00:12:57.967]  He said, we either need to do that on antitrust by the next few months or drop it.
[00:12:57.967 --> 00:13:02.129]  But he said, but that's not letting big tech off the hook.
[00:13:02.129 --> 00:13:06.010]  He said, they've been involved in criminal activities.
[00:13:06.010 --> 00:13:13.193]  We believe that we're investigating with foundations.
[00:13:13.193 --> 00:13:16.835]  I'm going to read you the quotes coming up.
[00:13:16.835 --> 00:13:18.936]  Now, who do you think those foundations are?
[00:13:19.881 --> 00:13:21.421]  Government comes and goes.
[00:13:21.421 --> 00:13:22.982]  Bureaucrats even come and go.
[00:13:22.982 --> 00:13:24.282]  But not the foundations.
[00:13:24.282 --> 00:13:26.862]  They are the ones that train the bureaucrats.
[00:13:26.862 --> 00:13:28.263]  And have the funding.
[00:13:28.263 --> 00:13:31.683]  It's outside of politics.
[00:13:31.683 --> 00:13:36.784]  So Republicans may be raising money, 6 to 1, right now, with cash on hand.
[00:13:36.784 --> 00:13:38.225]  That doesn't matter.
[00:13:38.225 --> 00:13:44.026]  Because the Democrats had all political advertising banned on the internet, basically, because they don't call their propaganda.
[00:13:46.564 --> 00:13:57.673]  Political ads, they call it news or foundation, public interest behavior, Chicago social justice organizing.
[00:13:57.673 --> 00:14:08.882]  So here's the Attorney General, not just saying Comey's a liar, he played that last week, but now saying that Soros
[00:14:10.137 --> 00:14:14.560]  Is taking over DAs, hundreds of them, and sheriffs.
[00:14:14.560 --> 00:14:16.121]  And then it's organized crime.
[00:14:16.121 --> 00:14:20.764]  I mean, imagine if the mafia was trying to buy off sheriffs and DAs.
[00:14:20.764 --> 00:14:31.552]  The FBI would bust those DAs faster than a twinkle in your mother's eye.
[00:14:31.552 --> 00:14:33.813]  Think about that.
[00:14:33.813 --> 00:14:39.197]  And so, Barr and Trump are getting ready to make their move.
[00:14:42.403 --> 00:14:47.346]  And now you see Horowitz coming out saying it's all criminal, reversing himself.
[00:14:47.346 --> 00:15:09.760]  You see all the rest of them reversing themselves because they know the hammer's coming down, and they know that they've been caught in the corruption, and they know that they better signify to Trump that they are going to play ball and let the country be great again, and let the globalists be thrown out of this nation and defeated, or they're going to go to prison as well.
[00:15:09.760 --> 00:15:11.862]  So I'm seeing a rout right now.
[00:15:13.706 --> 00:15:18.909]  Of globalist forces.
[00:15:18.909 --> 00:15:29.554]  And you see poll numbers admitting that Trump's way up even in skewed polls because impeachments backfired on them.
[00:15:29.554 --> 00:15:36.057]  But they're going to counter strike and we're going to look at every single angle of it.
[00:15:36.057 --> 00:15:42.220]  Coming up here today and the desperate deep state plan to trigger civil unrest
[00:15:43.621 --> 00:15:46.305]  Martial law, civil war.
[00:15:46.305 --> 00:15:49.651]  And the man that predicted it all in 2003 is joining us.
[00:15:49.651 --> 00:15:55.159]  When you read what he predicted in 2003, it's all happening today with us.
[00:15:59.980 --> 00:16:02.383]  We're closing out the year 2019.
[00:16:02.383 --> 00:16:06.527]  I don't have to tell you that 2020 is going to be make it or break it.
[00:16:06.527 --> 00:16:09.791]  Not just for Infowars, not just for America, but the whole world.
[00:16:09.791 --> 00:16:15.437]  We are in a battle between the forces of globalism that want a post-human world and those that want a pro-human world.
[00:16:15.437 --> 00:16:17.880]  We're in a fight between Satan and Christ.
[00:16:17.880 --> 00:16:21.124]  And it's being played out amongst us mortals, but
[00:16:21.684 --> 00:16:23.725]  It's being directed from on high.
[00:16:23.725 --> 00:16:29.727]  And I'm just telling the listeners of this broadcast, without you, we're going to lose this fight.
[00:16:29.727 --> 00:16:34.989]  I need all of you to realize how important you are and how important InfoWars is and what we've done together.
[00:16:34.989 --> 00:16:40.670]  And to just take stock and take measure here at the end of the year and think about what you're going to do.
[00:16:40.670 --> 00:16:46.772]  Whether supporting InfoWars or buying products from us or starting your own show, just whatever you do, take action now.
[00:16:46.772 --> 00:16:47.893]  History is happening.
[00:16:48.633 --> 00:16:50.657]  Please do your Christmas shopping.
[00:16:50.657 --> 00:16:53.381]  Please do your New Year shopping at InfoWarsTour.com.
[00:16:53.381 --> 00:16:54.663]  We've got the best products.
[00:16:54.663 --> 00:16:56.305]  You're only helping the globalists if you don't do it.
[00:16:56.305 --> 00:16:58.789]  Thank you.
[00:16:58.789 --> 00:17:00.992]  InfoWars has delivered.
[00:17:02.190 --> 00:17:07.614]  InfoWars has come through time and time and time and time again.
[00:17:07.614 --> 00:17:13.778]  At that critical, game-changing moment, we have come through.
[00:17:13.778 --> 00:17:23.124]  And that means myself, the other hosts, the journalists, the researchers, the writers, the crew, down to the janitor, down to the bookkeeper.
[00:17:24.325 --> 00:17:26.127]  There is no top, there is no bottom.
[00:17:26.127 --> 00:17:30.190]  We are a family in this fight, ladies and gentlemen.
[00:17:30.190 --> 00:17:32.071]  And the stakes have never been higher.
[00:17:32.071 --> 00:17:34.253]  That's why the Globals want to take us out of the game.
[00:17:34.253 --> 00:17:38.156]  Only you keep InfoWars in the game.
[00:17:38.156 --> 00:17:39.697]  You are the InfoWar.
[00:17:39.697 --> 00:17:52.747]  And now, this Christmas, and coming up to the end of the year, is the time to spend your money at InfoWarStore.com to fund us into this next critical year of 2020 while getting great products that make your life and your family's life a lot better.
[00:17:53.147 --> 00:17:54.288]  Huge sales right now.
[00:17:54.288 --> 00:17:58.912]  Now's the time to shop at m4store.com.
[00:17:58.912 --> 00:18:01.675]  My fault, I fear.
[00:18:01.675 --> 00:18:07.380]  I thought that you'd want what I want.
[00:18:07.380 --> 00:18:14.707]  I'm sorry, my dear.
[00:18:14.707 --> 00:18:16.969]  But where are the clowns?
[00:18:19.682 --> 00:18:22.386]  Send in the clowns.
[00:18:30.688 --> 00:18:32.589]  The globalists have sent in the clowns.
[00:18:32.589 --> 00:18:34.369]  They've sent in Antifa.
[00:18:34.369 --> 00:18:38.390]  They've broken our borders with some of the most hardened criminals from around the world.
[00:18:38.390 --> 00:18:42.371]  They've tried to poison us with fluoride and GMO and the tainted vaccines.
[00:18:42.371 --> 00:18:44.052]  They've sent in their clowns.
[00:18:44.052 --> 00:18:49.453]  But now, the men and women of America are taking action and confronting globalists everywhere.
[00:18:49.713 --> 00:18:52.495]  And I'm so proud of InfoWars leading the charge.
[00:18:52.495 --> 00:18:58.558]  But the only way we can do that is when you keep spreading the word about our broadcast and when you keep buying the great products at InfoWarsTore.com.
[00:19:05.541 --> 00:19:19.667]  I've been on the air so long that I take it for granted now when we break some massive story that changes the whole world and that really does great things for the future of not just our children, but our children's children.
[00:19:19.667 --> 00:19:22.048]  Infowars really has changed history.
[00:19:22.048 --> 00:19:29.311]  And that's why I need to pull back and ask the listeners, because I know you're a lot like me, to really think about a world without Infowars.
[00:19:29.771 --> 00:19:40.037]  Because I can tell you right now, if people don't really step to the plate and really financially support our broadcast going into 2020, we're not going to be on the air in a year or so.
[00:19:40.037 --> 00:19:47.801]  If you do support us, we're not just going to stay on the air, but we are going to expand in ways that are going to blow you away.
[00:19:47.801 --> 00:19:49.242]  I've never let you down.
[00:19:49.242 --> 00:19:50.983]  You've never let me down.
[00:19:50.983 --> 00:19:52.364]  Step up to the plate now.
[00:19:52.364 --> 00:19:58.187]  Go to mfulworthstore.com, buy great products and fund our operation and watch us make history together again.
[00:20:01.741 --> 00:20:04.923]  You're listening to The Alex Jones Show.
[00:20:04.923 --> 00:20:11.686]  Monday through Friday.
[00:20:25.114 --> 00:20:26.255]  From 11 a.m.
[00:20:26.255 --> 00:20:29.416]  to 3 p.m., I'm here live.
[00:20:29.416 --> 00:20:31.037]  I'm Alex Jones, your host.
[00:20:31.037 --> 00:20:32.298]  Then I come back Sundays, live.
[00:20:32.298 --> 00:20:34.479]  4 to 6 p.m.
[00:20:34.479 --> 00:20:36.200]  Central.
[00:20:36.200 --> 00:20:38.801]  We have David Knight, weekday mornings, 8 a.m.
[00:20:38.801 --> 00:20:45.605]  Owen Schroer, War Room, 3 to 6 p.m., and many live shows and special events we do at night as well.
[00:20:45.605 --> 00:20:51.848]  Yesterday, I came in and did a two-hour special report from 2 to 4 p.m.
[00:20:51.848 --> 00:20:52.749]  that's posted as well.
[00:20:54.622 --> 00:21:02.946]  You know, we first broke the Jeffrey Epstein information 13, 14 years ago when he was first arrested.
[00:21:02.946 --> 00:21:09.030]  We've been tracking him and knew who he worked for and what he really represented.
[00:21:09.030 --> 00:21:13.332]  Yes, he didn't kill himself, but he also isn't the story.
[00:21:13.332 --> 00:21:16.974]  He's just an errand boy, a grocer.
[00:21:16.974 --> 00:21:21.216]  Well, tomorrow, we have
[00:21:23.584 --> 00:21:29.565]  Dr. Steve Pachinick, who was one of the founders of Delta Force, ran the Camp David Accords.
[00:21:29.565 --> 00:21:31.105]  That's how long he's been around.
[00:21:31.105 --> 00:21:34.386]  He's the character Jack Ryan and Tom Clancy's based on.
[00:21:34.386 --> 00:21:37.707]  The expert of Tom Clancy, how he knew all that secret stuff.
[00:21:37.707 --> 00:21:39.227]  That's the guy.
[00:21:39.227 --> 00:21:43.068]  He's gonna come on and reveal a lot of big secrets tomorrow.
[00:21:43.068 --> 00:21:46.868]  And then, I'm gonna tape a special show.
[00:21:46.868 --> 00:21:49.149]  Right after I go off here tomorrow.
[00:21:49.149 --> 00:21:50.269]  It's gonna go up tomorrow night.
[00:21:51.411 --> 00:21:55.915]  With all the new information about Epstein.
[00:21:55.915 --> 00:21:56.636]  And did you know?
[00:21:56.636 --> 00:22:03.562]  The stuff that was going on then is still going on with the same people.
[00:22:03.562 --> 00:22:06.184]  And we're gonna name names.
[00:22:06.184 --> 00:22:09.687]  You see, cause not everybody's cowards.
[00:22:09.687 --> 00:22:10.708]  Not everybody's fake.
[00:22:12.079 --> 00:22:14.602]  Not everybody serves Satan.
[00:22:14.602 --> 00:22:16.724]  Some people are real.
[00:22:16.724 --> 00:22:23.490]  And you as the listeners and viewers, I don't call you an audience because you're an activist.
[00:22:23.490 --> 00:22:31.699]  You've changed the world by holding this operation up when I would have collapsed a long time ago.
[00:22:31.699 --> 00:22:33.600]  You did it.
[00:22:33.600 --> 00:22:34.662]  It's not about credit.
[00:22:34.662 --> 00:22:35.162]  You don't want credit.
[00:22:40.151 --> 00:22:45.835]  You need to recognize who the man and the woman in the arena is.
[00:22:45.835 --> 00:22:46.615]  You may be old.
[00:22:46.615 --> 00:22:47.396]  You may be young.
[00:22:47.396 --> 00:22:48.617]  You may be a man or a woman.
[00:22:48.617 --> 00:22:50.338]  You may be a child.
[00:22:50.338 --> 00:22:51.759]  You may be on death's doorstep.
[00:22:51.759 --> 00:22:53.280]  You may have black skin.
[00:22:53.280 --> 00:22:54.961]  You may have white skin.
[00:22:54.961 --> 00:22:59.124]  You may have brown skin.
[00:22:59.124 --> 00:23:03.667]  You may have freckled little polka dotted skin like me.
[00:23:03.667 --> 00:23:06.429]  But you've got red blood.
[00:23:06.429 --> 00:23:07.850]  You've got that same spirit.
[00:23:07.850 --> 00:23:09.731]  You've got that same connection to God.
[00:23:12.571 --> 00:23:14.732]  And you belong.
[00:23:14.732 --> 00:23:15.873]  You belong.
[00:23:15.873 --> 00:23:17.614]  I belong.
[00:23:17.614 --> 00:23:26.339]  And we have a kinship that is infinity more complex and deeper than the color of our skin.
[00:23:26.339 --> 00:23:34.923]  It's the content of our character and our deeds that is the evidence of the light in our soul and who we serve.
[00:23:43.493 --> 00:23:53.901]  So tomorrow, I'm going to do something I should have done a year ago.
[00:23:53.901 --> 00:24:04.529]  And I didn't hold off on the latest Epstein information because I'm scared of being sued.
[00:24:04.529 --> 00:24:10.954]  I did it because at a gut level, and I always follow my gut, and in the past I didn't, I knew it wasn't time yet.
[00:24:12.130 --> 00:24:14.133]  And it isn't that I held any information back.
[00:24:14.133 --> 00:24:16.916]  A lot more has come out since then.
[00:24:16.916 --> 00:24:20.121]  It's just now is the time to act.
[00:24:20.121 --> 00:24:21.743]  I was going to wait until the new year.
[00:24:21.743 --> 00:24:29.513]  Then an investigator that I know contacted me a few days ago and he said, you know, now's the time to strike on all this.
[00:24:30.601 --> 00:24:37.825]  And I brought a bunch of this to you and I brought it to the publications, New York Post, you name it.
[00:24:37.825 --> 00:24:40.867]  And they've done nothing with it because they're scared even though it's all confirmed.
[00:24:40.867 --> 00:24:42.668]  It's not like this is speculative.
[00:24:42.668 --> 00:24:46.430]  This is cut and dry stuff.
[00:24:46.430 --> 00:24:50.092]  These are suspects, named suspects with Epstein.
[00:24:50.092 --> 00:24:54.174]  These are people that ran operations for him, were paid by him.
[00:24:54.174 --> 00:24:56.615]  And the stuff's still going on.
[00:24:56.615 --> 00:24:57.476]  And we know where and how.
[00:25:01.247 --> 00:25:10.809]  And when you're like me, you go, hey, here, FBI, here's this, or hey, you know, Wall Street Journal, Fox News.
[00:25:10.809 --> 00:25:12.470]  And I've given them all this stuff, too.
[00:25:12.470 --> 00:25:19.051]  And people say, well, why wouldn't you want to break that?
[00:25:19.051 --> 00:25:22.652]  It would take five hours to describe wisdom.
[00:25:22.652 --> 00:25:25.353]  And by wisdom, I mean each point of wisdom.
[00:25:25.353 --> 00:25:29.614]  It takes, you understand, it takes too much to go into why and how you come to weigh that.
[00:25:30.649 --> 00:25:47.554]  But a lot of it is, they knew that we were the vanguard of exposing how they use pedophilia and these other corrupt things to blackmail and take over systems, not just government, but corporate, academic, ecclesiastical.
[00:25:47.554 --> 00:25:53.036]  And so, once they demonized us on that topic,
[00:25:54.428 --> 00:26:11.208]  With the general public, if we break something big in that arena, they're automatically able to cover it up because of all the propaganda they've already laid in that, oh, Jones says there's Martian slave colonies, which I never said, or Jones got it wrong about this or that, which didn't really happen.
[00:26:14.124 --> 00:26:23.153]  But because all of this has already come out from other people, and it's exactly what I already said, now you've got to let the public realize that you were right.
[00:26:23.153 --> 00:26:29.239]  You've got to see that see change, and everybody apologize to you in the street, or at the mall, or at the DMV.
[00:26:29.239 --> 00:26:32.682]  That's your sign of when it's time to strike with the new information.
[00:26:32.682 --> 00:26:36.065]  I forget, what book of the Bible is it?
[00:26:36.065 --> 00:26:37.627]  Can you guys look it up?
[00:26:37.627 --> 00:26:38.307]  Just type in...
[00:26:41.277 --> 00:26:53.126]  Passages, verses in the Bible about a time to reap, a time to sow, a time to fight, a time for peace, a time to... But there's those times.
[00:26:53.126 --> 00:27:01.893]  And you gotta really hold your trigger finger back until you really got them dead in the
[00:27:04.005 --> 00:27:16.772]  And you just can squeeze and pull that metaphorical trigger, and you just know that bullet's gonna hit the exact spot you're aiming for, politically.
[00:27:16.772 --> 00:27:18.072]  There it is, Ecclesiastes 3, 1, 8.
[00:27:18.072 --> 00:27:25.056]  To everything there is a season and a time, to every purpose under the heaven.
[00:27:25.056 --> 00:27:26.417]  Time to be born and time to die.
[00:27:27.659 --> 00:27:31.681]  Time to plant, time to pluck up that which is planted.
[00:27:31.681 --> 00:27:35.262]  Time to kill, and a time to heal.
[00:27:35.262 --> 00:27:38.143]  Time to break down, and a time to build up.
[00:27:38.143 --> 00:27:39.744]  Time to weep, and a time to laugh.
[00:27:39.744 --> 00:27:41.985]  A time to mourn, and a time to dance.
[00:27:41.985 --> 00:27:45.427]  A time to cast away stones, and a time to gather stones together.
[00:27:45.427 --> 00:27:48.508]  A time to embrace, and a time to refrain from embracing.
[00:27:49.704 --> 00:27:52.185]  This is not as pretty because it's not the King James.
[00:27:52.185 --> 00:27:54.185]  A time to get, and a time to lose.
[00:27:54.185 --> 00:27:56.686]  A time to keep, and a time to cast away.
[00:27:56.686 --> 00:27:59.687]  A time to rend, and a time to sow.
[00:27:59.687 --> 00:28:02.108]  A time to keep silence, and a time to speak.
[00:28:02.108 --> 00:28:03.668]  A time to love, and a time to hate.
[00:28:03.668 --> 00:28:07.290]  A time of war, and a time of peace.
[00:28:07.290 --> 00:28:11.151]  That's nice, but from a modern translation, not as good as the King James.
[00:28:11.151 --> 00:28:13.752]  You just might print me that from the King James, thanks.
[00:28:13.752 --> 00:28:17.993]  So, I'll get into the news, and then a very special guest when we come back.
[00:28:20.399 --> 00:28:25.863]  But now is the time to hit them with everything we've got.
[00:28:25.863 --> 00:28:34.510]  And so, I'm gonna hit the system with everything I've got in the next weeks and months.
[00:28:34.510 --> 00:28:37.633]  And it's all in God's hands.
[00:28:37.633 --> 00:28:41.215]  So I'm gonna hit them with everything I've got.
[00:28:41.215 --> 00:28:42.156]  With the truth.
[00:28:42.156 --> 00:28:42.977]  With justice.
[00:28:43.737 --> 00:28:45.238]  And I'm going with God.
[00:28:45.238 --> 00:28:47.740]  I pray that God lead, guide, and direct everything we do.
[00:28:47.740 --> 00:28:51.422]  Not just with the Sepstein announcement and information, but with all of it.
[00:28:51.422 --> 00:28:53.303]  It's time for total commitment.
[00:28:53.303 --> 00:28:54.944]  The children demand it.
[00:28:54.944 --> 00:28:56.145]  And God will have it.
[00:28:59.420 --> 00:29:10.893]  Christmas is here, and it's time to give yourself, your family, and your loved ones the gift of having incredible energy, stamina, focus, libido.
[00:29:10.893 --> 00:29:14.957]  Now, look, there are a lot of stimulants out there that'll give you that for a while, but then burn you out.
[00:29:14.957 --> 00:29:19.803]  But if you have the foundation of what your body needs, then it takes you to the next level.
[00:29:20.463 --> 00:29:21.104]  We're good to go!
