[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[08:16.000 --> 08:25.000]  Political correctness is a Soviet reeducation camp term and they will start out with something that seems reasonable.
[08:25.000 --> 08:28.000]  Don't use the N-word, it hurts people's feelings.
[08:28.000 --> 08:32.000]  Then it will be, don't criticize your government, it could cause violence.
[08:32.000 --> 08:36.000]  Then it will be, don't say we're targeting this area for sales.
[08:36.000 --> 08:39.000]  The word target is now an N-word.
[08:39.000 --> 08:49.000]  And we have John King on CNN obviously earlier in the week saying, oh, I apologize, our political analysts just said these are races being targeted.
[08:49.000 --> 08:53.000]  And he said, I apologize, we'll not use that anymore.
[08:53.000 --> 08:55.000]  They know that looks absurd.
[08:55.000 --> 09:00.000]  They're training you that there's thousands of words you can't use.
[09:00.000 --> 09:17.000]  And to illustrate that, Roger Ebert had his blog banned on Facebook for abusive content because he said he hated looking at himself in the mirror without his lower mandible removed because of cancer surgery.
[09:17.000 --> 09:20.000]  He now has a handsome prosthesis.
[09:20.000 --> 09:23.000]  So he's not allowed to say he doesn't like himself.
[09:23.000 --> 09:27.000]  That's banned for our own good.
[09:27.000 --> 09:32.000]  Just incredible, absolutely incredible.
[09:32.000 --> 09:36.000]  This is the nanny state back before Christmas.
[09:36.000 --> 09:48.000]  I was on vacation at a tropical destination and I was coming out of the hotel elevator with my daughter and my son.
[09:48.000 --> 09:54.000]  And my daughter had a little bit of sun kiss on her legs, a little bit of sun on there, which is healthy and good.
[09:54.000 --> 09:56.000]  We put a lot of sunscreen on them.
[09:56.000 --> 10:02.000]  And this control freak social worker type woman didn't address me, but rudely said, you poor little deer, you're all burned.
[10:02.000 --> 10:03.000]  You're dead.
[10:03.000 --> 10:04.000]  He doesn't care.
[10:04.000 --> 10:05.000]  I didn't say anything to her.
[10:05.000 --> 10:08.000]  She started freaking out and going, how did that happen?
[10:08.000 --> 10:09.000]  How did that happen?
[10:09.000 --> 10:10.000]  Oh, you're not putting sunscreen on.
[10:10.000 --> 10:14.000]  This is their little secret police control freak world.
[10:14.000 --> 10:19.000]  Oh, Roger Ebert said he didn't like to look at himself in the mirror, but now does.
[10:19.000 --> 10:21.000]  He hateful banned his blog.
[10:21.000 --> 10:26.000]  That's bad against people that are, that are handicapped or hurt them.
[10:26.000 --> 10:28.000]  Oh, John King.
[10:28.000 --> 10:30.000]  You know, don't say the word target.
[10:30.000 --> 10:31.000]  Oh my goodness.
[10:31.000 --> 10:32.000]  Here's another one.
[10:32.000 --> 10:37.000]  Area teachers object removing inward for Mark Twain's Huck Finn, which is against racism.
[10:37.000 --> 10:40.000]  Did a lot to open up racial dialogue.
[10:40.000 --> 10:47.000]  The word, the N word is bad, but then Chris Matthews can call white people who don't want government healthcare crackers.
[10:47.000 --> 10:57.000]  See, multiculturalism is about invoking racial division, invoking, uh, in fighting, making you quote, see your differences.
[10:57.000 --> 11:02.000]  And then the government, the media, they play the part of the big referee in the sky.
[11:02.000 --> 11:07.000]  So I thought I'd go over the Sovietization of America and how it dovetails.
[11:07.000 --> 11:08.000]  I'm going to cover this next hour.
[11:08.000 --> 11:19.000]  How it dovetails with this incredible news from info wars.com and prison planet.com from Eric Blair, who writes the activist post.
[11:19.000 --> 11:26.000]  We have a link to his blog on the bottom and I've been aware of this for some time, but I went over it and it's absolutely accurate.
[11:26.000 --> 11:34.000]  Google seeks to weaken search engine ranking of content farming websites.
[11:34.000 --> 11:38.000]  Trudge report.com, gizmodo.com, info wars.com.
[11:38.000 --> 11:50.000]  Most of your local radio station websites have some of their own content, but they'll also put links up and a little paragraph of blurb or a YouTube video so that the host can then tell their listeners where to go to see what they're talking about.
[11:50.000 --> 11:54.000]  That's how I started 14 years ago info wars.com.
[11:54.000 --> 12:10.000]  11 years ago prisonplanet.com because I wanted to be able to show listeners what I was talking about if I say I've got a piece of legislation that says that the food safety act was really written by big agribusiness.
[12:10.000 --> 12:14.000]  I have a link to mainstream news reporting on that to shut down family farms and ranches.
[12:14.000 --> 12:24.000]  I'll have a link to the bill saying you in law codex alimentarius so you can I'll tell you the subsection why it's right up at info wars.com.
[12:24.000 --> 12:37.000]  Go there. There it is. Click it. Look at it. Oh, no. See, those are the most popular type of sites now because if you look at the mainstream financial times of London, Guardian, New York times, more and more, they even post our videos.
[12:37.000 --> 12:46.000]  It's a it's a it's an embedded YouTube but but they'll talk about what I'm talking about more and more. They are content farms or aggregators.
[12:46.000 --> 12:53.000]  Now I have to say info wars.com and prisonplanet.com we've probably got more than 50 writers. Now they're part time five or six that are full time.
[12:53.000 --> 12:58.000]  We have more than a lot of you know medium sized little papers and we do reach several million people a day now.
[12:58.000 --> 13:07.000]  But it doesn't matter. We already know Google is selectively censoring info wars in present planet and we know this is going to be used against the drudge report.
[13:07.000 --> 13:15.000]  It's going to be used against info wars.com and prisonplanet.com and we have their vice president whose overall of this breaking it down.
[13:15.000 --> 13:27.000]  So I'm going to talk about that next hour and tie it in with the political correct censorship and the cocktail, the evil mixture, the stratagem, the overall deceptive operation that's going to be used
[13:27.000 --> 13:32.000]  to further crack down on free speech because the system is scared.
[13:32.000 --> 13:46.000]  In fact, that's how Eric Blair ends his article saying at its core this new Google algorithm seems to punish information sharing in favor of protectionist conglomerates with large writing staffs.
[13:46.000 --> 13:56.000]  When the alternative media would do well to recognize that these actions are being taken by the elite of the media world are just another sign of their weakened state.
[13:56.000 --> 14:01.000]  Now is the time for the alternative media to seek more writers and more cooperation.
[14:01.000 --> 14:06.000]  And that is exactly what we do at info wars.com. We bring the alternative media on.
[14:06.000 --> 14:11.000]  We give our information out to everyone freely to repost in full. Many give that to us.
[14:11.000 --> 14:19.000]  If you want to run your writing by us and see if we can post it, just got to be well documented and well sourced. Writers at info wars.com.
[14:19.000 --> 14:26.000]  Because these are heavy issues we cover and we have to be more documented than even mainstream media show writers and info wars.com.
[14:26.000 --> 14:31.000]  If you'd like to join the team in that fight. But regardless, that's just a Google cover.
[14:31.000 --> 14:36.000]  Google delisted prisonplanet.com several months ago from its news aggregator.
[14:36.000 --> 14:40.000]  It's been up there for nine years and that hasn't stopped us from getting the word out.
[14:40.000 --> 14:46.000]  The system is getting scared and we've seen Jay Rockefeller say we'd be better off if the Internet was never invented.
[14:46.000 --> 14:55.000]  We have seen him also say he'd like to get rid of MSNBC and Fox, both the extremes, because if they can kill those two big elephants,
[14:55.000 --> 14:59.000]  if they can shut down those two big juggernauts and set the precedent there, they've got it all.
[14:59.000 --> 15:04.000]  And that's part of the firing of Keith Oberman that you just saw, though I don't like Keith Oberman.
[15:04.000 --> 15:10.000]  It's another demagogic demigod, but it's a very dangerous trend overall.
[15:10.000 --> 15:17.000]  Also coming up now in the AP, Hawaii law bars release of Obama birth certificate.
[15:17.000 --> 15:24.000]  It was only a month ago that their new governor, Mr. Abercrombie said that, oh, I'm when as soon as I get in,
[15:24.000 --> 15:27.000]  I'm going to go get it and I'm going to release it.
[15:27.000 --> 15:34.000]  And then he told the Honolulu advertiser on Tuesday that he couldn't find it.
[15:34.000 --> 15:40.000]  And then now the spin has begun. Now they're saying the law bars them releasing it.
[15:40.000 --> 15:45.000]  But not before he shot his mouth off and said, yeah, it's not there. This is going to be a campaign issue.
[15:45.000 --> 15:54.000]  Oops. That's big news, isn't it? That's coming up as well. But the big news on China, the big news on China.
[15:54.000 --> 15:59.000]  This is powerful info. Wait till you hear this.
[15:59.000 --> 16:04.000]  Diamond Gusset is proud to announce the anthem of the Patriot movement.
[16:04.000 --> 16:08.000]  They're offering a free CD, t-shirt and bumper sticker with a qualifying purchase.
[16:08.000 --> 16:13.000]  Diamond Gusset offers great products at great prices while keeping Americans working.
[16:13.000 --> 16:18.000]  I'm looking for a factory where a man can feed his family.
[16:18.000 --> 16:28.000]  Not worried about them moving south, closing the doors and shutting her down tomorrow.
[16:28.000 --> 16:34.000]  I'm looking for America.
[16:34.000 --> 16:39.000]  Where American and be proud, go to gusset.com forward slash America.
[16:39.000 --> 16:52.000]  The land I live free and my home of the brave seems like I just woke up one day and it was gone, long gone.
[16:52.000 --> 16:59.000]  But I know in my heart it's still the same.
[17:22.000 --> 17:28.000]  The power grid is dangerously overloaded and now new socialist legislation is only compounding the problem.
[17:28.000 --> 17:35.000]  Dangerous weather is always a threat to local grids. Every year thousands of families lose their power from weather-related onages.
[17:35.000 --> 17:40.000]  A solar power generator provides powerful backup insurance and peace of mind.
[17:40.000 --> 17:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[17:45.000 --> 17:51.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[17:51.000 --> 18:00.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[18:00.000 --> 18:07.000]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions.
[18:07.000 --> 18:15.000]  Yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[18:15.000 --> 18:20.000]  My name is Mario Safaldi and I'm the developer of the Silver Lungs Generator.
[18:20.000 --> 18:25.000]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[18:25.000 --> 18:33.000]  it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[18:33.000 --> 18:41.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[18:41.000 --> 18:51.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[18:51.000 --> 19:13.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[19:22.000 --> 19:31.000]  Get a free, detailed catalog by calling 800-340-7091 or see them online at 5starsope.com or infowars.com.
[19:31.000 --> 19:59.000]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[20:01.000 --> 20:10.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:10.000 --> 20:35.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[20:35.000 --> 20:41.000]  Over a billion, one hundred million people and rowing. In fact, I forget the Chinese population.
[20:41.000 --> 20:50.000]  Jeremy, pull that up for me. Thank you. We can give folks that exact factoid of six and a half billion people in this world.
[20:50.000 --> 21:09.000]  In every six is Chinese. And the Chinese people are very diverse, very diverse political ideas. But if you even try to be a peaceful, nonviolent, quasi, not even really religious, Buddhist, like the Falun Gong, this is on record.
[21:09.000 --> 21:28.000]  All over the news for many years, as you know, they take you and imprison you and then keep you healthy. They love Falun Gong because they eat healthy, don't use drugs and exercise, and then they blood type you and then sell your organs and they have mobile execution vans.
[21:28.000 --> 21:39.000]  The Chinese population is one billion, three hundred and thirty-one million, four hundred and sixty thousand. Yeah, I knew when I said one billion, one hundred million that they'd recently done a census and it had gone up.
[21:39.000 --> 21:48.000]  In fact, I was thinking one point three, but it's one point three three billion. So over a billion, three hundred million.
[21:48.000 --> 22:00.000]  And I talked about mobile execution vans. Let's show prisonplanet.tv viewers who are watching the TV radio simulcast. Let's search Chinese mobile execution vans. You'll get Times of London Associated Press.
[22:00.000 --> 22:15.000]  Let's show the young woman being choked for committing a supposedly small crime and being taken to the mobile execution van to have her organs chopped out and flown to Japan where wealthy Westerners land to get their organs.
[22:15.000 --> 22:33.000]  The point is when you don't have a Bill of Rights in Constitution, when you don't have freedom, the armies of corrupt, ruthless, powerful armed institutions will come and will take your property, will take your life.
[22:33.000 --> 22:47.000]  There's USA Today. China makes ultimate punishment mobile. That's from 2005. The mobile execution van. You can scroll down and see the mobile execution van there.
[22:47.000 --> 22:53.000]  The point is I don't want to sit here and talk about China and then have people deny anything I'm saying.
[22:53.000 --> 23:07.000]  Now, every major city has upwards of 14 of these vans. They are gutting people 24 seven and the Communist Chinese inner party is made up of just in the upper party, a few hundred families.
[23:07.000 --> 23:13.000]  They own the whole country. They live in giant palaces. They do whatever they want and the global elite love them.
[23:13.000 --> 23:33.000]  George Herbert Walker Bush was flown in in the mid 1970s to have them sign on the State Department of Random 200 or a secret treaty declassified in 92 and it stated, if you reduce your population, if you have forced abortion, if you have forced infanticide of already born babies,
[23:33.000 --> 23:49.000]  if you accept world government, if you let select Western businesses come in only and do business to shut down our competition in Europe, in the U.S. and Canada, Australia, if you do that, and we will let you be at the highest levels of world government.
[23:49.000 --> 24:02.000]  And David Rockefeller has written articles about it in the New York Times praising Mao. That's in my film Endgame. We had actually went to UT and got the microfilm of the articles in the New York Times praising Mao who killed between 60 and 80 plus million.
[24:02.000 --> 24:18.000]  There's debates about it. I mean, this is like saying Hitler's a great guy or Stalin's a great guy. And they made a deal, select Western corporations and banks to have inside sweetheart deals with China to only work with them to create mass retailers
[24:18.000 --> 24:32.000]  that nobody could compete with, that nobody could undercut. You know the name of that company. They got 40 plus percent of world retail sales, almost all of it made in China, but they've got big American flags hanging up saying buy American.
[24:32.000 --> 24:44.000]  It's a joke. You've got the symbol of America, but then there's nothing there made America. Maybe the marshmallows, if you buy some marshmallows or a head of lettuce, maybe it's not made in Mexico.
[24:44.000 --> 24:55.000]  And the Chinese jokingly ship in melamine filled milk for children formula and our media comes out the FDA headline melamine not bad for children. It doesn't matter if it's killing them.
[24:55.000 --> 25:06.000]  Our government just says it's good. I have an MSNBC clip where our media says, oh, lead lead and toys is good. You can just search the term MSNBC host lead and toys is good.
[25:06.000 --> 25:15.000]  Oh, I've got another newscast. Oh, Mercury's not bad. We've got to do whatever China wants. Our economy will fall apart if we don't accept their goods.
[25:15.000 --> 25:26.000]  So China has revolts going all over the country. They're taking little poor farmers, tiny pieces of ancestral land. Their population hates what's going on.
[25:26.000 --> 25:36.000]  They work with Google and Yahoo and Microsoft to test out Internet censorship, which they're now exporting here. I'm going to cover that next hour. Very same systems.
[25:36.000 --> 25:43.000]  In fact, even last year, Australia had the headline government installing Chinese style net censorship. The people rebel. They didn't get it in.
[25:43.000 --> 25:51.000]  But they said this is the model. This is the Chinese or Singaporean authoritarian model. It's praised.
[25:51.000 --> 26:03.000]  China is now praised all over our own media. They've gone from not criticizing China in the last decade to now praising authoritarianism as if it's getting things done.
[26:03.000 --> 26:12.000]  The inside jobs, the corruption, this tiny communist elite living in giant palaces while people are starving to death.
[26:12.000 --> 26:23.000]  China with no environmental standards, no regulations, while our own government piles more on us run by the very corporations that own the factories in China.
[26:23.000 --> 26:37.000]  That's how they make sure we can't have business. They put incredible expenses on small U.S. telecommunications, but then signed a deal last week with a Pakistan company to have no regulations on it.
[26:37.000 --> 26:47.000]  Because the inside ruling political class made a deal to get some money, just like Obama has given over 500 waivers.
[26:47.000 --> 26:57.000]  This is key to McDonald's and others, 500 companies, plus and growing. Every week it's like 100 and something I haven't looked at in the last month.
[26:57.000 --> 27:08.000]  Oh, you don't have to buy insurance for your employees, but the hamburger place next to you does. Oh, you didn't give money to the Democratic Party? You don't get to keep your GM dealership now that we've taken it over.
[27:08.000 --> 27:17.000]  I mean, this is happening in the open. This is mafia protection money. And China is that billion, 300 million slaves.
[27:17.000 --> 27:27.000]  China signed on to the U.N. operation. China admittedly will take a newborn baby if a mother has it secretly at home and kill it in front of her, or they will take it.
[27:27.000 --> 27:39.000]  I've seen reports of this and keep it for live medical experiments. Now, the elite of the West looks at that and says, hey, we like you. You are psychopathic, sadist killers.
[27:39.000 --> 27:49.000]  We want to join forces with you to deindustrialize the U.S. while our idiot populations busy getting drunk and watching the NFL football playoffs.
[27:49.000 --> 27:58.000]  We're going to get behind you fully. You want the missile systems? You want the weapons systems? You want the stealth technology? You've got it. You've got it.
[27:58.000 --> 28:09.000]  And again, CFR, Trilateral Commission, just search the term the Chinese century. You'll see them bragging, laughing. The elite that runs this country has always hated you.
[28:09.000 --> 28:19.000]  They hate your ownership of land. Very few places in the world you can really own land. They hate your ownership of guns. You are hated. We are hated. I am hated.
[28:19.000 --> 28:31.000]  And the globalists have merged, have teamed up with China. And now, here's the big news. This is Epoch Times, also up at infowars.com and prismplina.com.
[28:31.000 --> 28:40.000]  Chinese pianist plays propaganda tune at White House. U.S. humiliated the eyes of China by song use to inspire anti-Americanism.
[28:40.000 --> 28:50.000]  This is the song played as the battle hymn during the Korean War. When tens of thousands of U.S. troops died, it is the most popular by the communist Chinese government.
[28:50.000 --> 29:00.000]  We're going to go over all the quotes. It talks about killing American jackals, our troops. Obama sat there while this was played with pleasure.
[29:00.000 --> 29:11.000]  A very wealthy U.S. citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years. He says it will change everything about our lives.
[29:11.000 --> 29:16.000]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[29:16.000 --> 29:24.000]  Now, this man has made some outrageous predictions over the years. The crazy part is, he's usually right. You see, he predicted the collapse of GM.
[29:24.000 --> 29:31.000]  Like Panny May, Freddie Mac, and America's biggest mall owner, General Growth Properties. In fact, Barron's called his work a dire prophecy.
[29:31.000 --> 29:39.000]  Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet, and it's a real eye-opener.
[29:39.000 --> 29:47.000]  I can't stress this enough. You should at least watch this free video online today. He explains everything you need to know, including simple steps you can take to protect yourself.
[29:47.000 --> 30:00.000]  You can find the video at www.EndOfAmerica3.com. That's End of America. The number 3.com. Watch the free video at www.EndOfAmerica3.com. That's End of America3.com.
[30:18.000 --> 30:29.000]  In addition to converting your shrinking dollars into gold and silver, you should consider a food savings account from eFoodsDirect. They both make fabulous investments.
[30:29.000 --> 30:40.000]  Food is our greatest dependency, and we know it will be more precious than any financial resource. You and your family need food to survive a crisis, and you can't eat paper, stocks, or metals.
[30:40.000 --> 30:49.000]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term. This will freeze the cost of your food while you can still afford it.
[30:49.000 --> 30:59.000]  Visit eFoodsDirect.com on the internet, or call 800-409-5633. That's eFoodsDirect.com, or 800-409-5633.
[31:01.000 --> 31:08.000]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[31:08.000 --> 31:13.000]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[31:13.000 --> 31:19.000]  I've turned an innocent influence on our president in Congress, and they really are calling the shots.
[31:19.000 --> 31:24.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[31:24.000 --> 31:34.000]  For the Republic identifies the enemies of our nation, the criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[31:34.000 --> 31:41.000]  Tim Geithner, Bernanke, and Arsonists, they're asking for more matches, and the Congress is saying, who do we make the checkout to?
[31:41.000 --> 31:48.000]  Today seems like nobody does care, and right now in Washington, D.C., we have seen a fall of the Republic.
[31:48.000 --> 31:59.000]  Get your copy of Fall of the Republic on DVD at infowars.com. We're watching online right now in super high quality at PrisonPlanet.tv.
[31:59.000 --> 32:04.000]  Hello friends, this is Alex Jones. You've heard me talk about Calvin 5 Star Soaps for years.
[32:04.000 --> 32:10.000]  This is an American made product of the highest quality, and compares to nothing you will find in stores.
[32:10.000 --> 32:19.000]  You can buy factory direct, shipped via UPS right to your door. Check them out on the web at 5starsoap.com, or call 800-340-7091.
[32:19.000 --> 32:23.000]  Take my word for it. Once you've used pure soap, you won't buy anything else.
[32:23.000 --> 32:30.000]  Since 1947, Calvin's soap company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[32:30.000 --> 32:38.000]  Buy American and stay clean. As well as support info wars, visit 5starsoap.com today, or call 1-800-340-7091.
[32:38.000 --> 32:40.000]  Well Marty, what do you have to say?
[32:40.000 --> 32:59.000]  As founder and owner for over 63 years, satisfaction is guaranteed, or double your dirt back. Call us at 1-800-340-7091 for free catalog, or visit our website 5starsoap.com. Thank you.
[33:10.000 --> 33:20.000]  Alright, we're back live here. Now think about what it signifies politically.
[33:20.000 --> 33:31.000]  And we've gone in just the last decade from the media at least criticizing China's police state to it being fully embraced,
[33:31.000 --> 33:35.000]  and China being the biggest owner of our debt.
[33:35.000 --> 33:42.000]  But when you look at the debt, it's not really our debt, and the private central banks have organized all this and teamed up with them.
[33:42.000 --> 33:54.000]  Now, this is from the Epoch Times. It's a syndicated newspaper. It's published in Dallas, Toronto, Los Angeles, New York. It's published, I know, in more than 50 major cities.
[33:54.000 --> 34:02.000]  But I didn't just go off this. I went and did some searching several hours today. I was so shocked by this and checked the Chinese dailies.
[34:02.000 --> 34:10.000]  Now, China has no media that's not government-controlled and run. They allowed for two years a private magazine to run.
[34:10.000 --> 34:18.000]  It was very milk-toed, pro-government. But the Communist Chinese, like all media under their control, because of the power and prestige of those few families,
[34:18.000 --> 34:26.000]  it is hereditary, just like North Korea, with the hereditary dictatorship of Kim Jong-il and now his son.
[34:26.000 --> 34:34.000]  And so they shut it down just a month or so ago.
[34:34.000 --> 34:42.000]  And I went and looked this up, and it does air in China. It's called Phoenix Television, and it was from the White House.
[34:42.000 --> 34:53.000]  Lang Lang is a very popular Chinese pianist and singer, and he gave interviews here, and you can click through and watch him give the interviews in English.
[34:53.000 --> 35:02.000]  And this is the number one anti-American song in China. Our troops are called jackals, dirty jackals.
