[00:00:08.192 --> 00:00:10.593]  Wow, Friday.
[00:08:52.551 --> 00:08:54.533]  5.7 million voting illegally.
[00:08:55.393 --> 00:09:12.365]  All of it confirmed now coming out in the last election but still they lost despite the fake polls, despite giving the debate questions weeks before to Hillary to try to rig it, despite having the moderators go after Trump where it'd be 3-1.
[00:09:12.365 --> 00:09:16.008]  Trump called it out and said it's 3-1 but still I'm winning.
[00:09:17.321 --> 00:09:21.306]  And it's that same attitude, ladies and gentlemen, that we've all got to have.
[00:09:21.306 --> 00:09:22.607]  Forget the Super Bowl.
[00:09:22.607 --> 00:09:24.590]  Forget NBA basketball.
[00:09:24.590 --> 00:09:29.816]  This is the real game of life for the future of America and the world.
[00:09:29.816 --> 00:09:31.878]  Freedom versus slavery.
[00:09:31.878 --> 00:09:33.660]  This is such an amazing time to be alive.
[00:09:33.660 --> 00:09:36.163]  This is going to be a powerful transmission today.
[00:09:37.455 --> 00:09:39.436]  Just look at these headlines.
[00:09:39.436 --> 00:09:44.657]  MSNBC's Brzezinski, Trump is developing a dictatorship, must be stopped.
[00:09:44.657 --> 00:09:47.558]  MSNBC analyst compares Trump to a suicide bomber.
[00:09:47.558 --> 00:09:55.181]  And of course another MSNBC host, an analyst, called for ISIS to hit Trump properties like Trump Tower.
[00:09:55.181 --> 00:09:57.102]  So everything they say about Trump, they are.
[00:09:57.842 --> 00:10:03.224]  They're trying to overthrow the election instead of a dictatorship of the bureaucracy and the deep state.
[00:10:03.224 --> 00:10:17.848]  Connecticut campus shut as professor flees following let them effing die tweet directing students to begin killing right-wingers and Trump supporters and all bigots saying smile a bit as you kill them and as you murder them.
[00:10:19.178 --> 00:10:24.902]  More and more campuses are just totally having to shut because of mass total mental illness.
[00:10:24.902 --> 00:10:25.683]  Unbelievable.
[00:10:25.683 --> 00:10:29.506]  These are re-education camps, but they've been contained.
[00:10:29.506 --> 00:10:31.868]  They're designed to be culture bombs.
[00:10:31.868 --> 00:10:33.809]  They're designed to be social disruptor systems.
[00:10:33.809 --> 00:10:35.070]  That's all declassified.
[00:10:35.070 --> 00:10:41.435]  But if you contain them, if you contain the weapons system and it can't replicate, it degrades and implodes on itself.
[00:10:41.915 --> 00:10:44.117]  They're going through a degrade implosion right now.
[00:10:44.117 --> 00:10:47.500]  We're having devastating victories.
[00:10:47.500 --> 00:10:48.601]  Devastating.
[00:10:48.601 --> 00:10:50.923]  We're devastating the enemy worldwide.
[00:10:50.923 --> 00:10:52.284]  They may set off a nuke in D.C.
[00:10:52.284 --> 00:10:54.105]  They may release a bioweapon, though.
[00:10:54.105 --> 00:10:56.087]  Soros and the Globalists are very wicked.
[00:10:56.087 --> 00:10:57.508]  Do not underestimate them.
[00:10:57.508 --> 00:11:00.911]  But even if that happens, the survivors will dig them out of their bunkers.
[00:11:00.911 --> 00:11:05.515]  We will dig you out of your bunkers, no matter where you go, Globalists, even if you release the bioweapon.
[00:11:05.515 --> 00:11:06.495]  We're fully aware of your plans.
[00:11:07.296 --> 00:11:11.159]  Continuing, ladies and gentlemen, the military is fully aware of your operations.
[00:11:11.159 --> 00:11:14.821]  You're all, right now, in the sights, and you know it, don't you, globalist?
[00:11:14.821 --> 00:11:18.183]  Yeah, this is a two-way street, baby, and you've now shown yourself.
[00:11:18.183 --> 00:11:20.825]  Just keep showing yourself, keep burning yourself down.
[00:11:20.825 --> 00:11:21.845]  That's all coming up.
[00:11:21.845 --> 00:11:25.308]  But let me put the cherry on top before I do this key report that Darren McBrain put together.
[00:11:26.525 --> 00:11:32.969]  Johnny Depp is a drug addict meth head that looks like a child molester you'd see on the side of the road, okay?
[00:11:32.969 --> 00:11:34.570]  I'm not saying he's a child molester.
[00:11:34.570 --> 00:11:35.631]  He just looks like one.
[00:11:35.631 --> 00:11:39.494]  Johnny Depp is a talentless joke trying to act cool.
[00:11:39.494 --> 00:11:44.117]  Hey, Stevie Ray Vaughan could play the guitar great and had that style in the 80s.
[00:11:44.117 --> 00:11:45.097]  He was cool.
[00:11:45.097 --> 00:11:48.760]  You look like just a joke stumbling around.
[00:11:48.760 --> 00:11:50.161]  Six hundred million dollars you made.
[00:11:50.161 --> 00:11:51.422]  You lost it all.
[00:11:51.422 --> 00:11:55.064]  You've got some other old geezer liberal wannabe trendy.
[00:11:55.064 --> 00:11:56.405]  I mean, I used to not like Hollywood.
[00:11:57.065 --> 00:12:03.087]  I can't look at it, I can't listen to it, I can hardly put up with any of it anymore.
[00:12:03.087 --> 00:12:14.912]  It is just so anti-human, so elitist, so drugged out, so brainwashed, so filthy rich, while it's bitching about Trump trying to cut taxes for the middle class and trying to get jobs back for factory workers.
[00:12:16.059 --> 00:12:17.160]  It's just sick.
[00:12:17.160 --> 00:12:21.983]  And I saw it this morning and couldn't find good audio of it because he's mumbling so bad.
[00:12:21.983 --> 00:12:29.547]  And then he just sits there like he's such a genius when he says he dreams of killing Trump, of assassinating Trump, like he's the greatest genius ever.
[00:12:29.547 --> 00:12:30.507]  And then you see a bunch of
[00:12:31.933 --> 00:12:42.437]  You just moronic, mind-numbed, zombie-looking twit fans, when he says it, just hold on every word like God had just said something.
[00:12:42.437 --> 00:12:49.140]  No, a meth-head, loser, joke, punk, jumped on the whole bandwagon of other
[00:12:50.180 --> 00:13:05.089]  Harpies and sea hags like Madonna and everybody else saying, kill, kill, kill, kill, kill Trump, kill his supporters, kill America, kill Christians, kill flyover country, bring in the radical Muslims, have women wear hijabs.
[00:13:05.089 --> 00:13:10.333]  We're allied with anything that hates Christendom and hates Western civilization and hates freedom.
[00:13:11.053 --> 00:13:12.294]  But here's the good news.
[00:13:12.294 --> 00:13:16.837]  All over Africa, all over Latin America, people are rejecting globalism, and they're rejecting it here.
[00:13:16.837 --> 00:13:26.082]  People want prosperity, they want freedom, they want families, they want true diversity, they want true open societies, but not bullying brainwash facilities we see everywhere.
[00:13:26.082 --> 00:13:32.667]  So Johnny Depp is such a pathetic, I'm not just saying that, you know it, just a doddering
[00:13:33.647 --> 00:13:35.728]  Drugged out with meth mouth.
[00:13:35.728 --> 00:13:36.808]  He can barely talk.
[00:13:36.808 --> 00:13:37.948]  Looked like Carrie Fisher.
[00:13:37.948 --> 00:13:38.789]  Feel sorry for her.
[00:13:38.789 --> 00:13:43.530]  You know, she was a drug addict, admittedly, but at least she wasn't a hateful person politically.
[00:13:43.530 --> 00:13:50.012]  Depp is this drugged out, shrivel-brained, looks like a child molester.
[00:13:50.012 --> 00:13:52.153]  You'd see him, again, driving around in a creeper van.
[00:13:52.913 --> 00:13:57.174]  And he's up there dreaming of, can actors kill presidents?
[00:13:57.174 --> 00:14:02.135]  Or have, oh but I'm not an actor making a little joke trying to invoke murder and death.
[00:14:02.135 --> 00:14:08.636]  Hey Johnny Depp, can somebody find out where you're at sometime and walk up and pump a bunch of bullets into your sorry ass?
[00:14:08.636 --> 00:14:10.076]  Because I don't want that to happen.
[00:14:10.076 --> 00:14:13.697]  I don't walk around in people's yards trying to find dog crap to step in.
[00:14:13.697 --> 00:14:19.258]  But you know, if dogs keep laying it down in front of us, we're going to step on some of you by accident, you jerk!
[00:14:20.351 --> 00:14:23.073]  I mean, you think you're playing games here, boy?
[00:14:23.073 --> 00:14:25.635]  You and you Hollywood scum, bunch of wannabe gangsters?
[00:14:25.635 --> 00:14:29.278]  You've taken America's kindness and openness to crap all over it!
[00:14:29.278 --> 00:14:30.919]  And that time's coming to an end!
[00:14:30.919 --> 00:14:36.463]  So to you and all the Hollywood gangsters and all of you, and I know who you are by name, you better watch your ass!
[00:14:36.463 --> 00:14:45.269]  Because we're gonna kick your ass politically, just like 1776, you keep running your mouth and starting a violent war that you're beating the drums for!
[00:14:45.269 --> 00:14:46.430]  You know what's gonna happen to you.
[00:14:46.430 --> 00:14:48.452]  Let's play Johnny Slimeball Depp.
[00:14:50.363 --> 00:14:51.961]  I think he needs help.
[00:14:55.578 --> 00:14:56.979]  I don't know.
[00:14:56.979 --> 00:15:00.421]  There's a lot of wonderful dark, dark places you could go.
[00:15:00.421 --> 00:15:08.065]  A lot of Doc Martens in the, uh... It's just a question.
[00:15:08.065 --> 00:15:09.746]  I'm not insinuating anything.
[00:15:09.746 --> 00:15:11.247]  By the way, this is gonna be in the press.
[00:15:11.247 --> 00:15:12.367]  It'll be horrible.
[00:15:12.367 --> 00:15:14.068]  It'll be horrible.
[00:15:14.068 --> 00:15:16.029]  I'd like, I like that you're all a part of it.
[00:15:16.029 --> 00:15:19.811]  When was the last time an actor assassinated a president?
[00:15:19.811 --> 00:15:24.294]  When was the last time somebody killed an actor for running their mouth?
[00:15:28.024 --> 00:15:30.486]  Seriously.
[00:15:30.486 --> 00:15:36.252]  Now, I want to clarify, I'm not an actor.
[00:15:36.252 --> 00:15:37.653]  I lie for a living.
[00:15:37.653 --> 00:15:40.396]  That's right you do, you piece of filth.
[00:15:40.396 --> 00:15:42.058]  Turn him off.
[00:15:42.058 --> 00:15:46.162]  Darren McBrain did an incredibly powerful piece on The Deep State that I'm going to premiere at the bottom of the hour.
[00:15:47.796 --> 00:15:59.523]  But if you look at all of this, I mean, these people are on every channel there is, beating the drum incessantly to kill Trump, kill his family, kidnap his wife, rape her.
[00:15:59.523 --> 00:16:03.546]  And Bow Wow had the sense to come out and apologize.
[00:16:03.546 --> 00:16:07.168]  And Snoop Dogg has had the decency to shut his mouth, because here's the deal.
[00:16:07.168 --> 00:16:13.932]  You got your free speech, but you keep calling for killing people, and Trump supporters are getting shot and stabbed all over the place.
[00:16:13.932 --> 00:16:14.813]  Congressman got shot.
[00:16:15.865 --> 00:16:19.408]  Was fighting for his life until just two days ago and has had a bunch of surgeries.
[00:16:19.408 --> 00:16:28.276]  And you people are so evil, you go out and demonstrate and boo and hiss when people call for his recovery.
[00:16:28.276 --> 00:16:29.357]  That's who you are.
[00:16:29.357 --> 00:16:31.679]  And you're running your mouths.
[00:16:31.679 --> 00:16:33.120]  You live in the lap of luxury.
[00:16:33.120 --> 00:16:36.603]  You run around acting tough and cool all day.
[00:16:36.603 --> 00:16:38.465]  And you have no idea.
[00:16:38.465 --> 00:16:40.026]  No idea!
[00:16:40.026 --> 00:16:40.627]  No idea!
[00:16:42.059 --> 00:16:45.862]  That goes for David Brock and all the rest of these people.
[00:16:45.862 --> 00:16:51.427]  We're aware of their operations, we're aware of their productions, we're aware of all the different things they're up to.
[00:16:51.427 --> 00:17:08.982]  And now the doctors, the scientists, the engineers, the surgeons have got their scalpels and their sutures and their instruments out and they're just deciding right now over the patient how much has to get cut out.
[00:17:08.982 --> 00:17:10.383]  And can the patient even live?
[00:17:11.809 --> 00:17:20.216]  But I will assure you in that process of that delicate surgery that you're going to get everything your evil little butts ever wanted.
[00:17:21.024 --> 00:17:22.585]  And I take no pleasure in that.
[00:17:22.585 --> 00:17:25.046]  I think it's pretty clear you're going to start a civil war.
[00:17:25.046 --> 00:17:28.588]  In fact, I think it's clear we've eased into one.
[00:17:28.588 --> 00:17:32.570]  And that's how a lot of wars, a lot of civil wars start, is you never really have a demarcation line.
[00:17:32.570 --> 00:17:36.152]  You don't have a shot heard around the world like we had in 1775.
[00:17:36.152 --> 00:17:38.874]  You just kind of slip into the lawlessness.
[00:17:38.874 --> 00:17:41.915]  And you guys are sowing the wind.
[00:17:41.915 --> 00:17:43.476]  And you know what happens then?
[00:17:43.476 --> 00:17:47.098]  You sow the wind, you reap the whirlwind.
[00:17:48.562 --> 00:17:52.943]  And most of you can hardly talk, you can hardly walk.
[00:17:52.943 --> 00:18:03.047]  It's like I was watching this morning, I saw a clip of The Wall, the music video from Pink Floyd, and it shows the kids going into the school normal, and they come out as little zombies.
[00:18:04.292 --> 00:18:06.553]  And they're just fed into a meat grinder.
[00:18:06.553 --> 00:18:09.955]  So first they dehumanize you, then they feed you into a meat grinder.
[00:18:09.955 --> 00:18:13.917]  And that's exactly how all of this works.
[00:18:13.917 --> 00:18:16.699]  And so you're now calling it a civil war.
[00:18:16.699 --> 00:18:18.480]  You're saying you want an insurrection.
[00:18:18.480 --> 00:18:21.082]  You're saying you want to hunt Trump supporters.
[00:18:21.082 --> 00:18:24.403]  You're saying you want to bomb things.
[00:18:24.403 --> 00:18:33.689]  You're saying Trump's a dictator, but you've got your elite publications calling for his overthrow and how they're going to have new elections run by Obama's old homeland security.
[00:18:34.867 --> 00:18:41.112]  And now you're gonna take our guns, and you're gonna shut the press off once and for all, and you're gonna start with Alex Jones?
[00:18:41.112 --> 00:18:42.574]  Good luck!
[00:18:42.574 --> 00:18:45.056]  Really, good luck with all of that, fools.
[00:18:45.056 --> 00:18:52.823]  The minute you try to actually shut us down completely, you take us from powerful to incredibly powerful.
[00:18:52.823 --> 00:18:55.345]  You turn us into martyrs, you take us to the next level.
[00:18:56.479 --> 00:18:59.164]  You can't win, to quote Episode 4 of Star Wars.
[00:18:59.164 --> 00:19:04.374]  You strike us down, we become more powerful than you can possibly imagine.
[00:19:04.374 --> 00:19:05.797]  That's history.
[00:19:05.797 --> 00:19:08.482]  That's art imitating life, not life imitating art.
[00:19:09.943 --> 00:19:11.344]  That's the truth.
[00:19:11.344 --> 00:19:19.947]  We have the upper hand as long as we're moral, as long as we're focused, as long as we have courage, and as long as we don't back down to you people, you're going to lose.
[00:19:19.947 --> 00:19:24.889]  It's not like Korea, where you set up a dictatorship where people never had freedom for thousands of years.
[00:19:24.889 --> 00:19:29.131]  And we're a hermitage-controlled vice system of China.
[00:19:30.413 --> 00:19:32.694]  Under vassal control.
[00:19:32.694 --> 00:19:40.756]  It's not like you're coming out of the Orthodox Christian and then the Czars and some of the oppressions in Russia into something even worse.
[00:19:40.756 --> 00:19:43.056]  The whole world's coming out of globalism.
[00:19:43.056 --> 00:19:45.397]  The renaissance is spreading.
[00:19:45.397 --> 00:19:48.157]  And this is only the birth pains of that.
[00:19:48.157 --> 00:19:56.139]  But that renaissance is humanity getting its feet on the ground before we face the AI and the Antichrist.
[00:19:56.139 --> 00:19:58.340]  So all this stuff you see is just testing.
[00:19:59.622 --> 00:20:04.103]  Hi, this is Ron Paul, former congressman and Republican presidential candidate.
[00:20:04.103 --> 00:20:12.066]  I love these summer months because this is when I get to enjoy the fresh fruits and vegetables that are being harvested on small farms and in our backyards.
[00:20:12.066 --> 00:20:15.087]  We all look forward to garden tomatoes and corn on the cob.
[00:20:15.087 --> 00:20:19.068]  Don't you wish there was a better way to preserve their true taste and flavors?
[00:20:19.068 --> 00:20:21.749]  I'm here to tell you that there is a better way.
[00:20:21.749 --> 00:20:25.430]  It's by using the amazing Home Freeze Dryer from Harvest Right.
[00:20:26.110 --> 00:20:30.092]  I have a Harvest Right freeze dryer and use it to preserve the foods I love.
[00:20:30.092 --> 00:20:35.314]  Strawberries, apples, and even lasagna and ice cream can stay fresh for 25 years.
[00:20:35.314 --> 00:20:41.156]  And the best part of my freeze drying is my family and I have a supply of long-lasting food on hand.
[00:20:41.156 --> 00:20:43.957]  So no matter what may come, we feel better prepared.
[00:20:44.477 --> 00:20:46.220]  We love our freeze dryer.
[00:20:46.220 --> 00:20:48.464]  To learn more, go to harvestright.com or call 800-923-9591.
[00:20:48.464 --> 00:20:49.325]  That's harvestright.com or 800-923-9591.
[00:20:58.703 --> 00:20:59.524]  Embrics Essentials.
[00:20:59.524 --> 00:21:00.644]  That's my middle name.
[00:21:00.644 --> 00:21:13.033]  I've spent seven years off and on trying to get a big national brand that's already trusted to let us private label an entire line of personal care products that's organic, high quality.
[00:21:13.033 --> 00:21:18.057]  This is one of the top three selling organic brands in the country.
[00:21:18.257 --> 00:21:22.141]  That puts out high-quality organic shampoo, mouthwash, you name it.
[00:21:22.141 --> 00:21:26.746]  And they're such patriots, they have let us basically keep their well-known packaging.
[00:21:26.746 --> 00:21:33.854]  It is an answer to prayer, and because we're cutting out the middleman, 20% off retail, sign up for auto ship, an additional 25% off.
[00:21:33.854 --> 00:21:35.015]  It's all there.
[00:21:35.015 --> 00:21:35.696]  The Body Wash.
[00:21:35.956 --> 00:21:40.401]  The shampoo, the deodorant, the mouthwash, all of it is truly game-changing.
[00:21:40.401 --> 00:21:51.112]  It is the exact same product, just the name is different, Emrix Essentials, and it's on average 20% off what it would be in stores, buying it directly from InfoWarsStore.com.
[00:21:51.112 --> 00:21:53.695]  Help us win the Info War while getting products everybody needs.
[00:21:53.695 --> 00:21:57.760]  InfoWarsLife.com, where you'll find the entire line of Emrix Essentials.
[00:21:58.243 --> 00:22:03.367]  The answer to being in control of your own health care is freedom from insurance.
[00:22:03.367 --> 00:22:09.071]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:22:09.071 --> 00:22:14.255]  Individual share amounts begin at $107 a month and $347 for families.
[00:22:14.255 --> 00:22:16.216]  Choose from three health sharing programs.
[00:22:16.216 --> 00:22:18.598]  Holistic treatment may be eligible for sharing.
[00:22:18.598 --> 00:22:19.539]  See guidelines.
[00:22:19.539 --> 00:22:22.821]  Discount programs available for dental, vision, and pharmacy.
[00:22:22.821 --> 00:22:24.783]  Go to LibertyOnCall.org.
[00:22:24.783 --> 00:22:26.624]  That's LibertyOnCall.org.
[00:22:28.095 --> 00:22:29.977]  Fully cooked, ready to eat bacon.
[00:22:29.977 --> 00:22:33.201]  I'm talking thick, meaty, center cut, presidential bacon.
