[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[17:37.320 --> 17:40.320]  Over recent decades, numerous economic systems have failed.
[17:40.320 --> 17:47.320]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[17:47.320 --> 17:53.320]  Secure your assets today by calling 1-800-686-2237, extension 129.
[17:53.320 --> 17:55.320]  Do this while paper can still buy gold.
[17:55.320 --> 18:18.320]  Call me at 1-800-686-2237, extension 129.
[18:26.320 --> 18:29.320]  These cards can be read while still in your wallet or purse.
[18:29.320 --> 18:34.320]  So, this Christmas, give your friends and family a pack of secure sleeves from Identity Stronghold.
[18:34.320 --> 18:43.320]  Our radio blocking Secure Sleeves blocked the signals needed to read the RFID chip inside their new credit cards and passports, keeping the personal data safe and secure.
[18:43.320 --> 18:58.320]  You can buy them on the web at www.idstronghold.com or call toll-free 800-610-2770.
[18:58.320 --> 19:00.320]  Order now and get them in time for Christmas.
[19:00.320 --> 19:25.320]  Go to idstronghold.com today.
[19:25.320 --> 19:41.320]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more.
[19:41.320 --> 19:45.320]  This is one of the finest, most affordable seed offers that is on the market today.
[19:45.320 --> 19:56.320]  Variety in your garden means a diverse and healthy diet for your family year-round, so go to getseeds.net or call 1-877-394-6657.
[19:56.320 --> 19:58.320]  Supplies are limited, so order today.
[19:58.320 --> 20:03.320]  That's getseeds.net or 1-877-394-6657.
[20:03.320 --> 20:24.320]  You're listening to GCN, the Genesis Communications Radio Network.
[20:24.320 --> 20:34.320]  Let me break this down again for people.
[20:34.320 --> 20:37.320]  It's fun to laugh at the brown people and say, yeah, kill them, troops, kill them.
[20:37.320 --> 20:38.320]  We're America.
[20:38.320 --> 20:39.320]  We're big.
[20:39.320 --> 20:40.320]  We're bad.
[20:40.320 --> 20:41.320]  Well, this isn't America.
[20:41.320 --> 20:48.320]  The United States has been seized by foreign financial institutions and is being used as an engine to dominate the planet.
[20:48.320 --> 21:00.320]  And now they're done with us, let me explain again, $8.5 trillion, $8,500 billion has been stolen so far that we know of.
[21:00.320 --> 21:10.320]  And the Federal Reserve has told Congress, has told media institutions and others, we run this country and we don't have to tell you where it went.
[21:10.320 --> 21:16.320]  Also, the New York Times reported on Thursday the Federal Reserve is going to start issuing its own Treasury bills,
[21:16.320 --> 21:18.320]  but it'll be Federal Reserve bills.
[21:18.320 --> 21:26.320]  So they are openly becoming the government and announcing you will pay your carbon taxes, your environmental taxes, to an international board.
[21:26.320 --> 21:32.320]  The Financial Times of London last Tuesday ran the headline, and now for world government.
[21:32.320 --> 21:39.320]  And their foreign affairs editor, Mr. Raykman, bragged that, yes, we've been setting up world government in secret.
[21:39.320 --> 21:42.320]  Now we're unleashing it and we're going to take over the planet.
[21:42.320 --> 21:43.320]  We control everything.
[21:43.320 --> 21:50.320]  That's how proud they are, and he said, yes, it's anti-democratic, it's not freedom, but this is what you need.
[21:50.320 --> 21:55.320]  Then he went on to say, but we'll save you from the financial crisis, which the very banks engineered.
[21:55.320 --> 22:01.320]  And don't worry, we'll save you from global warming, we'll tax you, and don't worry, we'll save you from terrorism,
[22:01.320 --> 22:06.320]  which the New World Order is funding and financing and allowing to happen, and in many cases staging themselves.
[22:06.320 --> 22:12.320]  But understand, all these years you heard me talk about how they would do this, and now it's happening.
[22:12.320 --> 22:17.320]  And remember, two months ago, the Army Times comes out, interview with Secretary of Defense Gates,
[22:17.320 --> 22:24.320]  and they say this is 20,000 troops on the streets of the United States to start with,
[22:24.320 --> 22:33.320]  and they are to fight terror and fight civil insurrection and rioting, and they behave like it just now began.
[22:33.320 --> 22:40.320]  But if you read the 400-plus page report Gates put out, the Pentagon put out his 50-page cover sheet on it,
[22:40.320 --> 22:47.320]  he says, hey, this has already been implemented years ago secretly, we're now just unveiling this to the public.
[22:47.320 --> 22:59.320]  So the military, with the police, secretly merging and secretly surveilling senators, congressmen, legislators, local city leaders,
[22:59.320 --> 23:06.320]  this is total federalization, this is total control, and the feds are internationally controlled,
[23:06.320 --> 23:11.320]  so this is a hostile corporate takeover of the United States, and this is not my opinion.
[23:11.320 --> 23:18.320]  Hundreds of newspapers have announced in the last two months that world government is openly being unveiled.
[23:18.320 --> 23:22.320]  It was already set up, covertly, they are bragging.
[23:22.320 --> 23:30.320]  Now, you will not hear the mainline liberals, though, and US TV still say it doesn't exist, ABC News reported yesterday,
[23:30.320 --> 23:33.320]  none of it exists, and that we are, quote, mentally ill.
[23:33.320 --> 23:36.320]  We have a link to that story up on infowars.com.
[23:36.320 --> 23:42.320]  So if I read the Financial Times of London or the Wall Street Journal saying, yes, world government's good, yes, we set it up covertly
[23:42.320 --> 23:49.320]  because it scares stupid American gun owners, that's actually in the Financial Times of London.
[23:49.320 --> 23:58.320]  They say, yes, we lied, yes, we covered it up because you're too stupid to know you need tyrannical world government.
[23:58.320 --> 24:02.320]  We know what's best, we're the elite, and what are the elite doing?
[24:02.320 --> 24:08.320]  They got control under the National Security Dictatorship, they staged the terror attacks to sell the police state.
[24:08.320 --> 24:11.320]  Now, the average copper military person even means well.
[24:11.320 --> 24:17.320]  They've been slowly brainwashed, they've been ordered in cadet school for 30 years under federal grants to say it's us against them,
[24:17.320 --> 24:22.320]  they're all against you, the people all hate you, their civilians, your paramilitary,
[24:22.320 --> 24:29.320]  all of this brainwashing from the police and sheriff's deputies being creatures of the local county and city with the people,
[24:29.320 --> 24:36.320]  the guardians to being law enforcement, no more protect and serve but to dominate.
[24:36.320 --> 24:40.320]  And here's another one, Posse Comintatus has not been repealed.
[24:40.320 --> 24:45.320]  So every time the police go out with the military, the military and the police are engaging in felonies.
[24:45.320 --> 24:55.320]  And I had the head of the St. Mary's Law School Center on Terrorism on what just a week ago or so on the show,
[24:55.320 --> 25:01.320]  the weekday show, and he admitted that it is illegal, okay?
[25:01.320 --> 25:03.320]  It is all illegal.
[25:03.320 --> 25:06.320]  So your law enforcement will enforce on yourself.
[25:06.320 --> 25:13.320]  And this Marine Corps captain is in the article saying, yeah, we don't know if it's legal but we've been told to do it so we're doing it.
[25:13.320 --> 25:16.320]  And by the way, drunk drivers are bad.
[25:16.320 --> 25:23.320]  Folks, when you read in the Army Times, they say that it'll be for fighting the American people and PR,
[25:23.320 --> 25:30.320]  helping at car wrecks and DWIs with the jaws of life as if the firemen or police couldn't do that.
[25:30.320 --> 25:33.320]  Oh, well, you're not against the Army on all the local newscast.
[25:33.320 --> 25:34.320]  They're here.
[25:34.320 --> 25:37.320]  They're the girl was trapped in the car and they helped.
[25:37.320 --> 25:42.320]  This is a military psi-op to prepare you and to condition you.
[25:42.320 --> 25:48.320]  That's why they had thousands of drills to take over our country.
[25:48.320 --> 25:50.320]  Now, I'm going to get into something we can do something about.
[25:50.320 --> 25:57.320]  We can do something about the militarization, educating our city leaders, state leaders, exposing the fact this is criminal,
[25:57.320 --> 26:00.320]  showing how historically it's tyranny.
[26:00.320 --> 26:04.320]  But with the GMO and the toxins in the food, that's something we can demand change on.
[26:04.320 --> 26:07.320]  And even with our own purchases, vote with our dollars and change.
[26:07.320 --> 26:10.320]  We're going to cover that and take your calls.
[26:10.320 --> 26:11.320]  And a lot of other issues coming up.
[26:11.320 --> 26:13.320]  We have a guest coming up.
[26:13.320 --> 26:16.320]  But look, I've said this many times.
[26:16.320 --> 26:18.320]  I'll say it again.
[26:18.320 --> 26:20.320]  I heard about this stuff.
[26:20.320 --> 26:28.320]  And so I went to some of these events and I got called by police sources and emergency managers and police chiefs in Texas that heard my radio show
[26:28.320 --> 26:31.320]  and knew that I was telling the truth and they would tip me off.
[26:31.320 --> 26:37.320]  And I've been there and I've witnessed the Army, the Marines, and I've had listeners all over the country send me footage as well.
[26:37.320 --> 26:38.320]  Where you'll read the paper.
[26:38.320 --> 26:47.320]  Oh, the Marines were doing drills in the city today to fight in Iraq or to fight in Serbia, you know, or to fight in Macedonia or to fight here or there.
[26:47.320 --> 26:53.320]  And then I would go to the event or my listeners would go to the event and the Marines would walk over with guns and say, turn your camera off.
[26:53.320 --> 27:00.320]  And then we'd have another guy across the street catching that on video, training the local Boy Scouts how to tattle on their parents,
[27:00.320 --> 27:05.320]  training local Boy Scouts how to go into their homes and report if their parents have guns.
[27:05.320 --> 27:07.320]  It's all in my three police state films.
[27:07.320 --> 27:09.320]  By the way, they're all free on Google and YouTube.
[27:09.320 --> 27:17.320]  And Curt Nemo has written an article, Marines Establish Military Presidents in San Bernardino County, California.
[27:17.320 --> 27:25.320]  And you can go there to that article and you can watch the video for yourself.
[27:25.320 --> 27:30.320]  And you can see the military training with roleplayers screaming, I'm an American.
[27:30.320 --> 27:31.320]  Please don't put me in a camp.
[27:31.320 --> 27:32.320]  Please don't take my guns.
[27:32.320 --> 27:38.320]  Obviously, I was going to come back on the radio and make films and screaming yell and freak out over this and tell you it was coming
[27:38.320 --> 27:42.320]  and tell you they were going to stage terror as the pretext introduced this to you, the public,
[27:42.320 --> 27:45.320]  but that it was really for when they financially imploded the nation.
[27:45.320 --> 27:46.320]  How did I know that?
[27:46.320 --> 27:51.320]  Because in the IMF and World Bank documents that have been declassified in what Smedley Butler,
[27:51.320 --> 27:56.320]  the most highly decorated Marine in US history, two-time congressional medal of honor winner,
[27:56.320 --> 27:59.320]  he was about to become the commandant of the Marine Corps in the 30s.
[27:59.320 --> 28:01.320]  They said, we want to hire you for martial law.
[28:01.320 --> 28:03.320]  You've overthrown all these other third world countries.
[28:03.320 --> 28:05.320]  We want to do this in America.
[28:05.320 --> 28:08.320]  We want you to covertly train the police to merge with the Marines.
[28:08.320 --> 28:12.320]  And he went and reported to Congress and they arrested a bunch of people.
[28:12.320 --> 28:15.320]  So see, this is that they've been trying this for a long time.
[28:15.320 --> 28:18.320]  Now they're actually going with it.
[28:18.320 --> 28:24.320]  Okay, and only real patriots in the Marine Corps and the Army and other places have stopped this.
[28:24.320 --> 28:26.320]  And I want to explain something to you.
[28:26.320 --> 28:32.320]  This is about stealing your bank accounts, your pension funds, destroying property rights,
[28:32.320 --> 28:38.320]  nationalizing your businesses, socializing America so the bankers can manage us and control us.
[28:38.320 --> 28:40.320]  I'm begging you.
[28:40.320 --> 28:46.320]  I'm begging you to check into what we've claimed and what we said and find out it's true.
[28:46.320 --> 28:51.320]  Marines at checkpoints all over California, pulling people out of their cars.
[28:51.320 --> 28:54.320]  Ladies and gentlemen, this is tyranny.
[28:54.320 --> 28:56.320]  This is corruption.
[28:56.320 --> 28:58.320]  This is martial law.
[28:58.320 --> 29:04.320]  This has been a silent coup not by a president but by the foreign banks through the executive.
[29:04.320 --> 29:06.320]  The headlines are clear.
[29:06.320 --> 29:09.320]  The worldwide economic collapse is here.
[29:09.320 --> 29:12.320]  The military is being positioned for martial law.
[29:12.320 --> 29:14.320]  The market of beast is at hand.
[29:14.320 --> 29:17.320]  Governments are calling for a new world cashless economic system.
[29:17.320 --> 29:20.320]  Having a long-term food solution is your only hope.
[29:20.320 --> 29:22.320]  To stay free.
[29:22.320 --> 29:29.320]  Now, Survival of Seeds introduces their Escape the Beast Kit, 24 varieties of all-natural non-genetically modified heirloom seeds
[29:29.320 --> 29:32.320]  for true patriots and homesteaders wanting food insurance.
[29:32.320 --> 29:36.320]  That's over five pounds of rare historic seeds for a penny per seed.
[29:36.320 --> 29:40.320]  15,000 seeds that will feed a family healthy food for seven years.
[29:40.320 --> 29:46.320]  Big John Lipska, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money.
[29:46.320 --> 29:52.320]  Selling the produce from his incredible heirloom seeds back to him, restaurants and small delis, don't buy from copycats.
[29:52.320 --> 29:54.320]  Their fancy packaging is not free.
[29:54.320 --> 29:56.320]  Order today before it's too late.
[29:56.320 --> 29:58.320]  Survivalistseeds.com.
[29:58.320 --> 30:00.320]  That's Survivalistseeds.com.
[30:00.320 --> 30:04.320]  A long-term food solution.
[30:04.320 --> 30:10.320]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[30:10.320 --> 30:15.320]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[30:15.320 --> 30:20.320]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[30:20.320 --> 30:26.320]  People who alkalize the water they drink experience normalized blood sugar, mental clarity, and loss of weight.
[30:26.320 --> 30:29.320]  It was intended for human beings to drink alkaline water.
[30:29.320 --> 30:32.320]  But due to modern way of life, most people are overly acidic.
[30:32.320 --> 30:36.320]  The fact is that disease simply cannot exist in an alkaline environment.
[30:36.320 --> 30:41.320]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[30:41.320 --> 30:45.320]  Do your part, alkalize, and supercharge your body now.
[30:45.320 --> 30:49.320]  Alkavision plasma pH drops contain a special mineral salt concentrate
[30:49.320 --> 30:54.320]  that raises the pH of the water you drink up to the pH of 10 with only 10 drops.
[30:54.320 --> 31:01.320]  Order your bottle of Alkavision plasma pH drops now by going directly to alkavision.com.
[31:01.320 --> 31:03.320]  Again, that's alkavision.com.
[31:03.320 --> 31:09.320]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[31:09.320 --> 31:13.320]  Are you safe when you walk to your car? Are your kids safe when they go out?
[31:13.320 --> 31:17.320]  Everyone needs something to give that extra edge in case of an attack.
[31:17.320 --> 31:21.320]  You need DPS pepper spray from MrDefense.com.
[31:21.320 --> 31:29.320]  DPS is the strongest pepper spray on the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[31:29.320 --> 31:30.320]  Need something more?
