[00:00:01.536 --> 00:00:08.164]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:12:20.856 --> 00:12:31.742]  And the new media is about the power of the grassroots getting beyond the left-right hoax to point out that the true architecture of control, and of course,
[00:12:33.982 --> 00:12:47.139]  In pointing out who controls that power system, we get called Jew-hating extremist radical terrorists by media organisations such as Media Matters and the SPLC.
[00:12:49.246 --> 00:12:55.532]  While simultaneously they can't seem to grasp the fact that they no longer have the power to dictate reality.
[00:12:55.532 --> 00:13:06.802]  Because as I just said, despite the fact that we're not funded by billionaire globalists, we still dwarf them in terms of size, readership and influence.
[00:13:06.802 --> 00:13:12.527]  Which is pretty amazing if you think about it, because when I visited Alex's office in 2005,
[00:13:15.336 --> 00:13:33.105]  About six, coming up to six years ago, there was basically one lady doing customer service, there were two guys, um, running InfoWars and another one, no in fact there was only one guy running InfoWars at the time, and another one was doing, um, video editing, and that was it!
[00:13:33.105 --> 00:13:36.107]  Apart from myself, that was the entire organisation!
[00:13:37.426 --> 00:13:48.133]  And in fact, back in those days, Alex didn't even have a radio producer, he had to do it himself, because there were literally about four employees.
[00:13:48.133 --> 00:13:54.098]  Now, granted, the organisation has grown moderately in the past five or six years, but
[00:13:54.878 --> 00:14:14.393]  I mean we've got nothing like the kind of resources enjoyed by these old media dinosaurs with their globalist billions networks like MSNBC funded by General Electric and yet still InfoWars.com gets more readers than MSNBC.com.
[00:14:15.376 --> 00:14:18.979]  Despite the fact that it's David versus Goliath.
[00:14:18.979 --> 00:14:26.926]  We're still beating the crap out of them and that's why they're so petrified of our growing influence.
[00:14:26.926 --> 00:14:33.732]  Because we're completely seizing control of their ability to dictate reality.
[00:14:33.732 --> 00:14:38.036]  Just as Hillary Clinton said this week in front of a
[00:14:39.369 --> 00:14:41.794]  Panel on Capitol Hill.
[00:14:41.794 --> 00:14:48.067]  Organisations that cover, quote, real news, not left-right sideshows.
[00:14:48.067 --> 00:14:49.710]  In other words, the new media.
[00:14:51.400 --> 00:15:08.975]  are now winning the information war and they're losing and she cited Russia Today which of course routinely gives a platform to the likes of Alex Jones, Webster Tarpley, Paul Craig Roberts, Wayne Madsen, Max Kaiser,
[00:15:10.120 --> 00:15:15.102]  And this is a news organisation that's growing in leaps and bounds.
[00:15:15.102 --> 00:15:27.206]  Which is why indeed they were targeted, Russia Today, when they tried to put advertisements up in US airports that merely encouraged people to think about both sides of a story.
[00:15:27.206 --> 00:15:28.366]  Oh no, can't have that!
[00:15:29.724 --> 00:15:33.625]  These posters were immediately torn down, and that's what I'm talking about.
[00:15:33.625 --> 00:15:39.807]  They're petrified about the new media seizing their ability to dictate reality.
[00:15:39.807 --> 00:15:46.909]  And we're going to get to this Bill O'Reilly clip after the break, and we're going to talk more about old media versus new media on the Alex Jones Show.
[00:15:46.909 --> 00:15:48.089]  I'm Paul Joseph Watson.
[00:15:48.089 --> 00:15:48.689]  Stay tuned.
[00:15:59.855 --> 00:16:04.418]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:16:04.418 --> 00:16:05.319]  Number 1.
[00:16:05.319 --> 00:16:08.762]  New climate legislation could easily double or triple your electric bill.
[00:16:08.762 --> 00:16:09.622]  Number 2.
[00:16:09.622 --> 00:16:14.506]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:16:14.506 --> 00:16:15.246]  It's true.
[00:16:15.246 --> 00:16:20.130]  Total government control of electricity in the name of smart grid technology is coming.
[00:16:20.130 --> 00:16:20.951]  Number 3.
[00:16:20.951 --> 00:16:24.533]  In some areas of the country, the power grid is dangerously overloaded.
[00:16:24.533 --> 00:16:28.236]  And now, new socialist legislation is only compounding the problem.
[00:16:28.436 --> 00:16:29.237]  Number 4.
[00:16:29.237 --> 00:16:31.999]  Dangerous weather is always a threat to local grids.
[00:16:31.999 --> 00:16:35.683]  Every year, thousands of families lose their power from weather-related outages.
[00:16:35.683 --> 00:16:36.464]  Number 5.
[00:16:36.464 --> 00:16:40.607]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:16:40.607 --> 00:16:45.372]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:16:45.652 --> 00:16:49.834]  You can get more information at www.mysolarbackup.com.
[00:16:49.834 --> 00:16:51.614]  That's mysolarbackup.com.
[00:16:51.614 --> 00:16:53.875]  Remember, the government doesn't own the sun.
[00:16:53.875 --> 00:16:56.496]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:16:56.496 --> 00:17:03.519]  Diamond Gusset is proud to announce the anthem of the Patriot Movement.
[00:17:03.519 --> 00:17:07.800]  They're offering a free CD, t-shirt, and bumper sticker with a qualifying purchase.
[00:17:07.800 --> 00:17:12.502]  Diamond Gusset offers great products at great prices while keeping Americans working.
[00:17:12.502 --> 00:17:14.363]  I'm looking for a factory
[00:17:15.183 --> 00:17:17.065]  We're American and be proud.
[00:17:17.065 --> 00:17:20.409]  Go to gusset.com forward slash America.
[00:17:41.360 --> 00:17:49.044]  Again, go to gusset.com forward slash America Today.
[00:17:59.770 --> 00:18:00.391]  Alex told you
[00:18:15.811 --> 00:18:17.112]  I haven't heard the news either.
[00:18:17.112 --> 00:18:20.153]  They've begun their long expected journey to the moon.
[00:18:20.153 --> 00:18:26.657]  In addition to converting your shrinking dollars into gold and silver, you should consider a food savings account from eFoods Direct.
[00:18:26.657 --> 00:18:28.858]  They both make fabulous investments.
[00:18:28.858 --> 00:18:34.201]  Food is our greatest dependency and we know it will be more precious than any financial resource.
[00:18:34.201 --> 00:18:39.484]  You and your family need food to survive a crisis and you can't eat paper, stocks or metals.
[00:18:39.484 --> 00:18:44.647]  Alex has been urging you to invest in delicious, easy fix meals to enjoy now or save for long term.
[00:18:44.847 --> 00:18:48.048]  This will freeze the cost your food while you can still afford it.
[00:18:48.048 --> 00:18:51.049]  Visit efoodsdirect.com on the internet or call 800-409-5633.
[00:18:51.049 --> 00:18:51.810]  That's efoodsdirect.com or 800-409-5633.
[00:19:03.326 --> 00:19:04.588]  Tyranny is here.
[00:19:04.588 --> 00:19:08.132]  The grim future foretold in 1984 has become reality.
[00:19:08.132 --> 00:19:10.755]  It really says that the state is God.
[00:19:10.755 --> 00:19:16.622]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:19:16.622 --> 00:19:22.869]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:19:23.269 --> 00:19:29.253]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:19:29.253 --> 00:19:33.436]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:19:33.436 --> 00:19:37.719]  Prepare to enter the secretive world of emergency dictatorship.
[00:19:37.719 --> 00:19:43.663]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:19:43.663 --> 00:19:47.226]  It's only the beginning of the New World Order's hellish plan.
[00:19:47.226 --> 00:19:49.207]  The police state isn't coming.
[00:19:49.207 --> 00:19:49.628]  It's here.
[00:19:50.288 --> 00:20:00.852]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:20:00.852 --> 00:20:02.393]  Coast to Coast.
[00:20:02.393 --> 00:20:04.433]  Direct from Austin.
[00:20:04.433 --> 00:20:07.635]  You're listening to the Alex Jones Broadcasting Network.
[00:20:12.580 --> 00:20:16.169]  Crashing through the lies and disinformation.
[00:20:16.169 --> 00:20:20.319]  It's Alex Jones on the GCN Radio Network.
[00:20:23.786 --> 00:20:31.752]  This is Paul Joseph Watson, editor and writer for PrisonPlanet.com, filling in for Alex Jones, who is sick.
[00:20:31.752 --> 00:20:33.974]  Hopefully he'll be back tomorrow.
[00:20:33.974 --> 00:20:38.157]  We're going to take some of your calls a little later in the hour.
[00:20:38.157 --> 00:20:40.179]  The calling number is 877-789-2539.
[00:20:40.179 --> 00:20:40.379]  That's 877-789-2539.
[00:20:49.690 --> 00:21:04.280]  We're talking about old media versus new media, and another example of the old media flailing in their desperate attempt to stay relevant with Bill O'Reilly of Fox News.
[00:21:04.280 --> 00:21:08.363]  Play the clip.
[00:21:08.363 --> 00:21:17.709]  Bill has selected The View, and Charlie Sheen has a friend in the media, some guy on the radio, we don't really know who he is, but he goes on The View, and this is what happens.
[00:21:19.022 --> 00:21:21.503]  We've got the TSA putting their hand down people's pants.
[00:21:21.503 --> 00:21:23.344]  Infowars.com covers it all.
[00:21:23.344 --> 00:21:25.146]  We've got the banks bankrupting the U.S.
[00:21:25.146 --> 00:21:26.286]  Wait, wait, wait.
[00:21:26.286 --> 00:21:28.628]  Let's stick with Charlie because that's way too much for me.
[00:21:28.628 --> 00:21:28.888]  No, no.
[00:21:28.888 --> 00:21:33.650]  Charlie is mad because he's held up his other problems.
[00:21:33.650 --> 00:21:34.631]  He didn't steal $23.7 trillion.
[00:21:34.631 --> 00:21:38.333]  We're just here to figure out what is happening with Charlie.
[00:21:38.333 --> 00:21:40.134]  That's what we're trying to figure out.
[00:21:40.134 --> 00:21:41.395]  Oh, they've been comparing him to Gaddafi.
[00:21:41.895 --> 00:21:43.676]  I think we were here to talk about Charlie Sheen.
[00:21:57.882 --> 00:22:00.724]  I don't know if that was the best booking choice.
[00:22:00.724 --> 00:22:06.506]  The real achievement here, Bill, is that this guy made the women on The View seem sane.
[00:22:06.506 --> 00:22:07.547]  No, here's a real achievement.
[00:22:07.547 --> 00:22:09.008]  They didn't walk off with that guy.
[00:22:09.008 --> 00:22:11.389]  Yeah, they walked off when you were there, but they actually tolerated him.
[00:22:11.389 --> 00:22:16.411]  The other thing is, this guy thinks America is a police state, yet he has a radio program.
[00:22:16.411 --> 00:22:18.793]  He is allowed to say whatever he wants.
[00:22:18.793 --> 00:22:21.834]  They can never actually... But this is why it's so dumb.
[00:22:21.834 --> 00:22:24.956]  What did the ladies think they were going to get when they invite a guy like this in?
[00:22:25.836 --> 00:22:28.798]  He took the show over, he did exactly what he wanted, and that was it.
[00:22:28.798 --> 00:22:29.659]  He gave me a headache.
[00:22:29.659 --> 00:22:30.479]  He gave them a headache.
[00:22:30.479 --> 00:22:31.920]  I don't know why they booked the guy.
[00:22:31.920 --> 00:22:35.242]  Dumbest thing of the week.
[00:22:35.242 --> 00:22:36.183]  So there you have it.
[00:22:36.183 --> 00:22:40.546]  Quote, some guy on the radio, we really don't know who he is.
[00:22:40.546 --> 00:22:52.954]  Now of course, Bill O'Reilly knows exactly who Alex Jones is, but again, the old media are so scared of us that they dare not even mention Alex's name.
[00:22:54.062 --> 00:23:04.304]  Uh, well Bill, if you're still in the dark as to who Alex Jones is, that's the guy who's completely creaming you in attracting listeners and readers.
[00:23:04.304 --> 00:23:14.287]  That's the guy who just, one of his websites is 43,000 places above your website on Alexa.com.
[00:23:15.507 --> 00:23:18.049]  I mean, this is truly pathetic.
[00:23:18.049 --> 00:23:32.418]  Bill O'Reilly.com, his flagship website, is numbered 45,000 on Alexa, compared to Infowars.com, which is at around 2,000, okay?
[00:23:32.418 --> 00:23:35.560]  The lower the rank, the more visitors to your website.
[00:23:35.560 --> 00:23:37.741]  I mean, 45,000, that's awful!
[00:23:41.227 --> 00:23:52.191]  There are bloggers with little websites who write one article a day about the truth, God forbid, and they're blowing O'Reilly away in terms of readership.
[00:23:52.191 --> 00:24:10.078]  I mean, just one guy who decides to start writing an article a day in his spare time about the economic collapse, for example, TheEconomicCollapseBlog.com, and almost instantly, he's creaming Fox News' biggest talking head.
[00:24:12.165 --> 00:24:12.725]  One guy.
[00:24:12.725 --> 00:24:19.629]  There's probably little old ladies who write about cooking that get more readers than Bill O'Reilly.
[00:24:19.629 --> 00:24:29.394]  I mean, this is a guy who's lost two-thirds of his geriatric TV audience, probably because most of them have croaked it in the last few years alone.
[00:24:29.394 --> 00:24:34.757]  And yet, he's got the nerve to pretend he doesn't even know who Alex Jones is.
[00:24:34.757 --> 00:24:37.838]  Well, that's the guy, Bill O.
[00:24:39.178 --> 00:24:55.147]  Who, every time he's on CNN and all these other networks, is invited to appear on Fox News, but then gets cancelled when certain talking heads at Fox News throw hissy fits, which is exactly what happened with Alex a week ago.
[00:24:55.147 --> 00:24:58.789]  Again, quote, some guy on the radio where you really don't know who he is.
[00:25:00.765 --> 00:25:17.225]  Maybe it's the guy who Rolling Stone Magazine just did a six-page spread about, including one article which documented how Fox News' Glenn Beck tries to stay relevant by stealing Alex Jones' material.
[00:25:19.295 --> 00:25:23.898]  And I'm afraid, Billo, the numbers don't lie.
[00:25:23.898 --> 00:25:32.044]  While you're hemorrhaging viewers to your TV show and visitors to your pathetic website, again, 45,000 on Alexa,
[00:25:35.678 --> 00:25:38.360]  Our ratings are exploding.
[00:25:38.360 --> 00:25:56.034]  You know, in a few years' time, Bill O'Reilly might be referred to as some guy on the TV, were it not for the fact that he's got this hilarious YouTube meltdown, which of course tells us everything we need to know about his putrid personality and the way he treats people.
[00:25:56.034 --> 00:26:00.058]  But again, it's another example of old media.
[00:26:00.959 --> 00:26:15.188]  Now there's smart old media and there's dumb old media and the likes of O'Reilly and Media Matters are just plain dumb and their haughtiness will spell their downfall because they refuse to adapt.
[00:26:15.188 --> 00:26:25.035]  They still live under this delusion that they've got millions and millions of viewers that believe what they say when in fact they're losing viewers every single year.
[00:26:26.448 --> 00:26:47.563]  Then you've got the likes of Glenn Beck, who understands that to maintain his audience he needs to put on sheep's clothing and rebrand himself as the new alternative, a true patriot, by basically copying Alex Jones' material to remain relevant.
[00:26:47.563 --> 00:26:54.788]  That's old media posing as new media, hijacking new media to stay in the game.
[00:26:56.837 --> 00:27:06.645]  But the interesting thing about this Bill O'Reilly clip and his other guest says that, well, if we're living in a police state, why is Alex Jones able to say what he likes?
[00:27:06.645 --> 00:27:14.412]  Well, you can still live in a police state and have the tacit freedom to express your dissatisfaction.
[00:27:14.412 --> 00:27:18.955]  Doesn't mean that there aren't TSA radiation vans rolling down the high street.
[00:27:19.736 --> 00:27:32.441]  and the highways doesn't mean there aren't swarms of TSA goons in train stations frisking nine-year-olds just because Alex Jones is allowed to talk about it.
[00:27:32.441 --> 00:27:42.945]  But again, the thing about this Bill O'Reilly clip is the fact that after it came out, Media Matters from the left side of the fake paradigm then writes an article about it
[00:27:44.318 --> 00:27:55.953]  And again, Media Matters, I dare you to address the statements made about how you yourselves admit that you're nothing more than a propaganda whore for the Obama White House.
[00:27:57.324 --> 00:28:08.831]  Media Matters writes an article on this attempting to smear Fox News because Andrew Napolitano had Jones appear on his Fox Business Show.
[00:28:08.831 --> 00:28:12.994]  And wait for it, Alex Jones talks about 9-11 truth.
[00:28:12.994 --> 00:28:17.496]  Oh my god, yes, he actually commits the thought crime.
[00:28:17.496 --> 00:28:23.500]  He commits the thought crime of agreeing with six of the ten 9-11 commissioners.
[00:28:23.500 --> 00:28:25.081]  So we've got Media Matters
[00:28:26.647 --> 00:28:31.712]  With their publicly stated agenda to drive home Obama's propaganda.
[00:28:31.712 --> 00:28:33.594]  This is their own people saying this.
[00:28:33.594 --> 00:28:37.978]  They admit to it and then they claim they're non-partisan.
[00:28:37.978 --> 00:28:44.904]  Media matters ring-fencing the mere thought of saying 9-11 didn't happen perfectly as the government said it did.
[00:28:44.904 --> 00:28:47.326]  Which is what Napolitano said.
[00:28:47.326 --> 00:28:49.709]  Ring-fencing it as a thought crime.
[00:28:51.104 --> 00:28:54.886]  We'll be back to discuss it more, and we'll also take your calls.
[00:28:54.886 --> 00:28:56.106]  This is the Alex Jones Show.
[00:28:56.106 --> 00:28:57.367]  I'm Paul Joseph Watson.
[00:28:57.367 --> 00:28:58.407]  Stay tuned.
[00:28:58.407 --> 00:29:00.108]  PrisonPlanet.TV.
[00:29:00.108 --> 00:29:00.728]  Hello, friends.
[00:29:00.728 --> 00:29:01.768]  This is Alex Jones.
[00:29:01.768 --> 00:29:05.130]  You've heard me talk about Calden 5 Star Soaps for years.
[00:29:05.130 --> 00:29:10.352]  This is an American-made product of the highest quality, and compares to nothing you will find in stores.
[00:29:10.352 --> 00:29:13.793]  You can buy factory direct, shipped via UPS, right to your door.
[00:29:13.793 --> 00:29:17.135]  Check them out on the web at 5starsoap.com, or call 800-340-7091.
[00:29:20.296 --> 00:29:21.437]  Take my word for it.
[00:29:21.437 --> 00:29:24.078]  Once you've used pure soap, you won't buy anything else.
[00:29:24.078 --> 00:29:30.601]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:29:30.601 --> 00:29:33.542]  Buy American and stay clean, as well as support InfoWars.
[00:29:33.542 --> 00:29:35.803]  Visit 5StarsSoap.com today or call 1-800-340-7091.
[00:29:35.803 --> 00:29:37.064]  Well, Marty, what do you have to say?
[00:29:40.433 --> 00:29:48.361]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:29:48.361 --> 00:29:53.466]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:29:53.466 --> 00:29:53.927]  Thank you!
[00:29:59.704 --> 00:30:04.247]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:30:04.247 --> 00:30:05.168]  Number 1.
[00:30:05.168 --> 00:30:08.590]  New climate legislation could easily double or triple your electric bill.
[00:30:08.590 --> 00:30:09.451]  Number 2.
[00:30:09.451 --> 00:30:14.354]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:30:14.354 --> 00:30:15.094]  It's true.
[00:30:15.094 --> 00:30:19.958]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:19.958 --> 00:30:20.798]  Number 3.
[00:30:20.798 --> 00:30:24.380]  In some areas of the country, the power grid is dangerously overloaded.
[00:30:24.380 --> 00:30:28.063]  And now, new socialist legislation is only compounding the problem.
[00:30:28.283 --> 00:30:29.064]  Number 4.
[00:30:29.064 --> 00:30:31.827]  Dangerous weather is always a threat to local grids.
[00:30:31.827 --> 00:30:35.511]  Every year, thousands of families lose their power from weather-related outages.
[00:30:35.511 --> 00:30:36.311]  Number 5.
[00:30:36.311 --> 00:30:40.456]  A solar-powered generator provides powerful backup, insurance, and peace of mind.
