whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:25.640 --> 00:01:29.740]   Newsflash to all those overpaid anchors living in their plastic bubble.
[00:01:29.740 --> 00:01:36.240]   A vast majority of Americans have truly had enough of the blatant disinformation.
[00:01:36.240 --> 00:01:37.240]   It's different for the media.
[00:01:37.240 --> 00:01:40.360]   So everything you learn about this, you're learning from us.
[00:01:40.360 --> 00:01:46.320]   Just today, the FBI comes out and says that 30%, 30% of their domestic terrorism cases
[00:01:46.320 --> 00:01:49.600]   that they're investigating are from folks who are refugees.
[00:01:49.600 --> 00:01:52.180]   It's important not to label all refugees bad people.
[00:01:52.180 --> 00:01:53.420]   That's not why I'm here.
[00:01:53.420 --> 00:01:54.420]   But...
[00:01:54.420 --> 00:01:58.660]   I was just going to say, Congressman, it's time to go.
[00:01:58.660 --> 00:02:01.340]   But I think the TV gremlins did that for us.
[00:02:01.340 --> 00:02:03.460]   Look, I want to see an honest press.
[00:02:03.460 --> 00:02:08.020]   And I started off today by saying that it's so important to the public to get an honest
[00:02:08.020 --> 00:02:09.020]   press.
[00:02:09.020 --> 00:02:11.740]   The press, the public doesn't believe you people anymore.
[00:02:11.740 --> 00:02:17.500]   He could have undermined the messaging so much that he can actually control exactly
[00:02:17.500 --> 00:02:18.600]   what people think.
[00:02:18.600 --> 00:02:20.540]   And that is our job.
[00:02:20.540 --> 00:02:24.460]   You know, basically, they're defaming her without any reason to do so.
[00:02:24.460 --> 00:02:26.780]   Because she's a woman, maybe because she's a black woman.
[00:02:26.780 --> 00:02:33.540]   I need Hillary to stand up right now and walk in and sue the United States of America.
[00:02:33.540 --> 00:02:35.920]   Was this an isolated incident?
[00:02:35.920 --> 00:02:39.420]   Or how about these bizarre green screen mishaps?
[00:02:39.420 --> 00:02:40.980]   Something is happening here.
[00:02:40.980 --> 00:02:43.180]   We're watching, we're scanning the skies for something else.
[00:02:43.180 --> 00:02:50.120]   Fast forward to the 2016 WikiLeaks release of flagrant collusion between the media Renfields
[00:02:50.120 --> 00:02:53.220]   and their power mad vampiric masters.
[00:02:53.220 --> 00:02:58.300]   Did this rude awakening push the leftist mob back towards an ethical center?
[00:02:58.300 --> 00:02:59.300]   Of course not.
[00:02:59.300 --> 00:03:01.580]   They tried to hack us and they failed.
[00:03:01.580 --> 00:03:04.980]   The DNC did not do that.
[00:03:04.980 --> 00:03:07.380]   And if they did it, they could not have been hacked.
[00:03:07.380 --> 00:03:09.740]   But they were hacked and terrible things came in.
[00:03:09.740 --> 00:03:13.420]   And you know, the only thing that I do think is unfair is some of the things were so they
[00:03:13.420 --> 00:03:17.140]   were when I heard some of those things I picked up the papers the next morning.
[00:03:17.140 --> 00:03:20.100]   So there's going to be front page wasn't even in the papers.
[00:03:20.100 --> 00:03:25.940]   Next on the agenda was the rollout of fake town halls.
[00:03:25.940 --> 00:03:34.060]   Republican politicians facing fiery backlashes at Republican town halls from Utah to Tennessee.
[00:03:34.060 --> 00:03:38.700]   We will probably be implanted with chips.
[00:03:38.700 --> 00:03:44.180]   CNN and the rest of the Legion of Doom do not speak to the American people anymore.
[00:03:44.180 --> 00:03:48.820]   Should President Barack Obama, the first African American president, apologize for slavery?
[00:03:48.820 --> 00:03:53.940]   They're speaking directly to themselves and talking down to the rest of us like we are
[00:03:53.940 --> 00:03:54.940]   children.
[00:03:54.940 --> 00:03:57.740]   Their message is peace and coming together in the country.
[00:03:57.740 --> 00:03:59.740]   What's your message?
[00:03:59.740 --> 00:04:01.700]   You don't believe that for one minute, do you?
[00:04:01.700 --> 00:04:02.700]   That their message is?
[00:04:02.700 --> 00:04:05.020]   Yeah, that's what they said to me.
[00:04:05.020 --> 00:04:06.020]   OK.
[00:04:06.020 --> 00:04:07.020]   Yeah, believe them.
[00:04:07.020 --> 00:04:11.460]   Any protests over the deaths of these cops in Baton Rouge?
[00:04:11.460 --> 00:04:16.940]   Any riots or protests over the police officers in Dallas, Texas?
[00:04:16.940 --> 00:04:25.900]   This anti police rhetoric sweeping the country has turned out some hateful things inside
[00:04:25.900 --> 00:04:30.260]   of people that are now playing themselves out on the American police officer.
[00:04:30.260 --> 00:04:35.300]   I want to know with all of the black on black violence in the United States of America,
[00:04:35.300 --> 00:04:38.220]   was there any reporting on a black officer who was killed today?
[00:04:38.220 --> 00:04:40.020]   But was there any reporting on?
[00:04:40.020 --> 00:04:42.940]   Sheriff, please, let's just let's just keep the volume down.
[00:04:42.940 --> 00:04:49.060]   So I offer a solution to finally pull the plug on this propaganda mutation inhabiting
[00:04:49.060 --> 00:04:50.700]   your television.
[00:04:50.700 --> 00:04:56.460]   Please be willing to open your doors to a whole new wave of media seeking the truth
[00:04:56.460 --> 00:04:58.620]   for truth's sake.
[00:04:58.620 --> 00:05:01.820]   John Bowne for Infowars dot com.
[00:05:01.820 --> 00:05:08.660]   The mainstream media can no longer claim that President Donald Trump is Putin's puppet.
[00:05:08.660 --> 00:05:17.260]   Tonight I ordered a targeted military strike on the airfield in Syria from where the chemical
[00:05:17.260 --> 00:05:19.140]   attack was launched.
[00:05:19.140 --> 00:05:26.820]   It is in this vital national security interest of the United States to prevent and deter
[00:05:26.820 --> 00:05:32.900]   the spread and use of deadly chemical weapons.
[00:05:32.900 --> 00:05:37.540]   Satellite pictures have been released of the major damage to the Syrian airfields.
[00:05:37.540 --> 00:05:44.900]   Meanwhile, Russia has responded by diverting warships to protect the Syrian coast and bolster
[00:05:44.900 --> 00:05:48.800]   missile defenses against further US strikes.
[00:05:48.800 --> 00:05:56.120]   As fear grows that this crisis could escalate into a major conflict between the United States
[00:05:56.120 --> 00:05:57.120]   and Russia.
[00:05:57.120 --> 00:06:20.480]   And you can learn more right now at Infowars dot com.
[00:06:20.480 --> 00:06:45.480]   Let's
[00:06:45.480 --> 00:07:14.480]   get
[00:07:14.480 --> 00:07:21.480]   started.
[00:07:22.480 --> 00:07:35.480]   the
[00:07:35.480 --> 00:08:02.480]   Russian
[00:08:02.480 --> 00:08:30.480]   attack
[00:08:30.480 --> 00:08:59.480]   at
[00:08:59.480 --> 00:09:28.480]   the
[00:09:28.480 --> 00:09:57.480]   Syrian
[00:09:57.480 --> 00:09:58.480]   airfield.
[00:09:59.480 --> 00:10:13.480]   to
[00:10:13.480 --> 00:10:40.480]   leave
[00:10:40.480 --> 00:11:08.480]   on
[00:11:08.480 --> 00:11:37.480]   a
[00:11:37.480 --> 00:12:02.480]   military
[00:12:02.480 --> 00:12:31.480]   attack
[00:12:31.480 --> 00:12:45.480]   on
[00:12:45.480 --> 00:13:03.480]   the
[00:13:03.480 --> 00:13:30.480]   Trump
[00:13:32.480 --> 00:13:59.480]   and
[00:13:59.480 --> 00:14:00.480]   the
[00:14:01.480 --> 00:14:02.480]   on
[00:14:02.480 --> 00:14:03.480]   the
[00:14:03.480 --> 00:14:04.480]   Russian
[00:14:04.480 --> 00:14:05.480]   attack
[00:14:05.480 --> 00:14:06.480]   on
[00:14:06.480 --> 00:14:07.480]   the
[00:14:07.480 --> 00:14:08.480]   Syrian
[00:14:08.480 --> 00:14:09.480]   airfield.
[00:14:09.480 --> 00:14:33.480]   I
[00:14:33.480 --> 00:15:00.480]   so
[00:15:00.480 --> 00:15:29.480]   have
[00:15:29.480 --> 00:15:30.480]   to
[00:15:31.480 --> 00:15:32.480]   the
[00:15:32.480 --> 00:15:33.480]   Russian
[00:15:33.480 --> 00:15:34.480]   attack
[00:15:34.480 --> 00:15:35.480]   on
[00:15:35.480 --> 00:15:36.480]   the
[00:15:36.480 --> 00:15:37.480]   Syrian
[00:15:37.480 --> 00:15:38.480]   airfield.
[00:15:38.480 --> 00:15:39.480]   I
[00:15:39.480 --> 00:15:40.480]   have
[00:15:40.480 --> 00:15:41.480]   to
[00:15:41.480 --> 00:15:42.480]   leave
[00:15:42.480 --> 00:15:43.480]   on
[00:15:43.480 --> 00:15:44.480]   the
[00:15:44.480 --> 00:15:45.480]   Syrian
[00:15:45.480 --> 00:15:46.480]   airfield.
[00:15:46.480 --> 00:15:47.480]   I
[00:15:47.480 --> 00:15:48.480]   have
[00:15:48.480 --> 00:15:49.480]   to
[00:15:49.480 --> 00:15:50.480]   leave
[00:15:50.480 --> 00:15:51.480]   on
[00:15:51.480 --> 00:15:52.480]   the
[00:15:52.480 --> 00:15:53.480]   Syrian
[00:15:53.480 --> 00:15:54.480]   airfield.
[00:15:54.480 --> 00:15:55.480]   I
[00:15:55.480 --> 00:15:56.480]   have
[00:15:56.480 --> 00:15:57.480]   to
[00:15:57.480 --> 00:15:58.480]   leave
[00:15:58.480 --> 00:15:59.480]   on
[00:15:59.480 --> 00:16:00.480]   the
[00:16:00.480 --> 00:16:01.480]   Syrian
[00:16:01.480 --> 00:16:02.480]   airfield.
[00:16:02.480 --> 00:16:03.480]   I
[00:16:03.480 --> 00:16:04.480]   have
[00:16:04.480 --> 00:16:05.480]   to
[00:16:05.480 --> 00:16:06.480]   leave
[00:16:06.480 --> 00:16:07.480]   on
[00:16:07.480 --> 00:16:08.480]   the
[00:16:08.480 --> 00:16:09.480]   Syrian
[00:16:09.480 --> 00:16:10.480]   airfield.
[00:16:10.480 --> 00:16:11.480]   I
[00:16:11.480 --> 00:16:12.480]   have
[00:16:12.480 --> 00:16:13.480]   to
[00:16:13.480 --> 00:16:14.480]   leave
[00:16:14.480 --> 00:16:15.480]   on
[00:16:15.480 --> 00:16:16.480]   the
[00:16:16.480 --> 00:16:17.480]   Syrian
[00:16:17.480 --> 00:16:18.480]   airfield.
[00:16:18.480 --> 00:16:19.480]   I
[00:16:19.480 --> 00:16:20.480]   have
[00:16:20.480 --> 00:16:21.480]   to
[00:16:21.480 --> 00:16:22.480]   leave
[00:16:22.480 --> 00:16:23.480]   on
[00:16:23.480 --> 00:16:24.480]   the
[00:16:24.480 --> 00:16:25.480]   Syrian
[00:16:25.480 --> 00:16:26.480]   airfield.
[00:16:26.480 --> 00:16:27.480]   I
[00:16:27.480 --> 00:16:28.480]   have
[00:16:28.480 --> 00:16:29.480]   to
[00:16:29.480 --> 00:16:30.480]   leave
[00:16:30.480 --> 00:16:31.480]   on
[00:16:31.480 --> 00:16:32.480]   the
[00:16:32.480 --> 00:16:33.480]   Syrian
[00:16:33.480 --> 00:16:34.480]   airfield.
[00:16:34.480 --> 00:16:35.480]   I
[00:16:35.480 --> 00:16:36.480]   have
[00:16:36.480 --> 00:16:37.480]   to
[00:16:37.480 --> 00:16:38.480]   leave
[00:16:38.480 --> 00:16:39.480]   on
[00:16:39.480 --> 00:16:40.480]   the
[00:16:40.480 --> 00:16:41.480]   Syrian
[00:16:41.480 --> 00:16:42.480]   airfield.
[00:16:42.480 --> 00:16:43.480]   I
[00:16:43.480 --> 00:16:44.480]   have
[00:16:44.480 --> 00:16:45.480]   to
[00:16:45.480 --> 00:16:46.480]   leave
[00:16:46.480 --> 00:16:47.480]   on
[00:16:47.480 --> 00:16:48.480]   the
[00:16:48.480 --> 00:16:49.480]   Syrian
[00:16:49.480 --> 00:16:50.480]   airfield.
[00:16:50.480 --> 00:16:51.480]   I
[00:16:51.480 --> 00:16:52.480]   have
[00:16:52.480 --> 00:16:53.480]   to
[00:16:53.480 --> 00:16:54.480]   leave
[00:16:54.480 --> 00:16:55.480]   on
[00:16:55.480 --> 00:16:56.480]   the
[00:16:56.480 --> 00:16:57.480]   Syrian
[00:16:57.480 --> 00:16:58.480]   airfield.
[00:16:58.480 --> 00:16:59.480]   I
[00:16:59.480 --> 00:17:00.480]   have
[00:17:00.480 --> 00:17:01.480]   to
[00:17:01.480 --> 00:17:02.480]   leave
[00:17:02.480 --> 00:17:03.480]   on
[00:17:03.480 --> 00:17:04.480]   the
[00:17:04.480 --> 00:17:05.480]   Syrian
[00:17:05.480 --> 00:17:06.480]   airfield.
[00:17:06.480 --> 00:17:07.480]   I
[00:17:07.480 --> 00:17:08.480]   have
[00:17:08.480 --> 00:17:09.480]   to
[00:17:09.480 --> 00:17:10.480]   leave
[00:17:10.480 --> 00:17:11.480]   on
[00:17:11.480 --> 00:17:12.480]   the
[00:17:12.480 --> 00:17:13.480]   Syrian
[00:17:13.480 --> 00:17:14.480]   airfield.
[00:17:14.480 --> 00:17:15.480]   I
[00:17:15.480 --> 00:17:16.480]   have
[00:17:16.480 --> 00:17:17.480]   to
[00:17:17.480 --> 00:17:18.480]   leave
[00:17:18.480 --> 00:17:19.480]   on
[00:17:19.480 --> 00:17:20.480]   the
[00:17:20.480 --> 00:17:21.480]   Syrian
[00:17:21.480 --> 00:17:22.480]   airfield.
[00:17:22.480 --> 00:17:23.480]   I
[00:17:23.480 --> 00:17:24.480]   have
[00:17:24.480 --> 00:17:25.480]   to
[00:17:25.480 --> 00:17:26.480]   leave
[00:17:26.480 --> 00:17:27.480]   on
[00:17:27.480 --> 00:17:28.480]   the
[00:17:28.480 --> 00:17:29.480]   Syrian
[00:17:29.480 --> 00:17:30.480]   airfield.
[00:17:30.480 --> 00:17:31.480]   I
[00:17:31.480 --> 00:17:32.480]   have
[00:17:32.480 --> 00:17:33.480]   to
[00:17:33.480 --> 00:17:34.480]   leave
[00:17:34.480 --> 00:17:35.480]   on
[00:17:35.480 --> 00:17:36.480]   the
[00:17:36.480 --> 00:17:37.480]   Syrian
[00:17:37.480 --> 00:17:38.480]   airfield.
[00:17:38.480 --> 00:17:39.480]   I
[00:17:39.480 --> 00:17:40.480]   have
[00:17:40.480 --> 00:17:41.480]   to
[00:17:41.480 --> 00:17:42.480]   leave
[00:17:42.480 --> 00:17:43.480]   on
[00:17:43.480 --> 00:17:44.480]   the
[00:17:44.480 --> 00:17:45.480]   Syrian
[00:17:45.480 --> 00:17:46.480]   airfield.
[00:17:46.480 --> 00:17:47.480]   I
[00:17:47.480 --> 00:17:48.480]   have
[00:17:48.480 --> 00:17:49.480]   to
[00:17:49.480 --> 00:17:50.480]   leave
[00:17:50.480 --> 00:17:51.480]   on
[00:17:51.480 --> 00:17:52.480]   the
[00:17:52.480 --> 00:17:53.480]   Syrian
[00:17:53.480 --> 00:17:54.480]   airfield.
[00:17:54.480 --> 00:17:55.480]   I
[00:17:55.480 --> 00:17:56.480]   have
[00:17:56.480 --> 00:17:57.480]   to
[00:17:57.480 --> 00:17:58.480]   leave
[00:17:58.480 --> 00:17:59.480]   on
[00:17:59.480 --> 00:18:00.480]   the
[00:18:00.480 --> 00:18:01.480]   Syrian
[00:18:01.480 --> 00:18:02.480]   airfield.
[00:18:02.480 --> 00:18:03.480]   I
[00:18:03.480 --> 00:18:04.480]   have
[00:18:04.480 --> 00:18:05.480]   to
[00:18:05.480 --> 00:18:06.480]   leave
[00:18:06.480 --> 00:18:07.480]   on
[00:18:07.480 --> 00:18:08.480]   the
[00:18:08.480 --> 00:18:09.480]   Syrian
[00:18:09.480 --> 00:18:10.480]   airfield.
[00:18:10.480 --> 00:18:11.480]   I
[00:18:11.480 --> 00:18:12.480]   have
[00:18:12.480 --> 00:18:13.480]   to
[00:18:13.480 --> 00:18:14.480]   leave
[00:18:14.480 --> 00:18:15.480]   on
[00:18:15.480 --> 00:18:16.480]   the
[00:18:16.480 --> 00:18:17.480]   Syrian
[00:18:17.480 --> 00:18:18.480]   airfield.
[00:18:18.480 --> 00:18:19.480]   I
[00:18:19.480 --> 00:18:20.480]   have
[00:18:20.480 --> 00:18:21.480]   to
[00:18:21.480 --> 00:18:22.480]   leave
[00:18:22.480 --> 00:18:23.480]   on
[00:18:23.480 --> 00:18:24.480]   the
[00:18:24.480 --> 00:18:25.480]   Syrian
[00:18:25.480 --> 00:18:26.480]   airfield.
[00:18:26.480 --> 00:18:27.480]   I
[00:18:27.480 --> 00:18:28.480]   have
[00:18:28.480 --> 00:18:29.480]   to
[00:18:29.480 --> 00:18:30.480]   leave
[00:18:30.480 --> 00:18:31.480]   on
[00:18:31.480 --> 00:18:32.480]   the
[00:18:32.480 --> 00:18:33.480]   Syrian
[00:18:33.480 --> 00:18:34.480]   airfield.
[00:18:34.480 --> 00:18:35.480]   I
[00:18:35.480 --> 00:18:36.480]   have
[00:18:36.480 --> 00:18:37.480]   to
[00:18:37.480 --> 00:18:38.480]   leave
[00:18:38.480 --> 00:18:39.480]   on
[00:18:39.480 --> 00:18:40.480]   the
[00:18:40.480 --> 00:18:41.480]   Syrian
[00:18:41.480 --> 00:18:42.480]   airfield.
[00:18:42.480 --> 00:18:43.480]   I
[00:18:43.480 --> 00:18:44.480]   have
[00:18:44.480 --> 00:18:45.480]   to
[00:18:45.480 --> 00:18:46.480]   leave
[00:18:46.480 --> 00:18:47.480]   on
[00:18:47.480 --> 00:18:48.480]   the
[00:18:48.480 --> 00:18:49.480]   Syrian
[00:18:49.480 --> 00:18:50.480]   airfield.
[00:18:50.480 --> 00:18:51.480]   I
[00:18:51.480 --> 00:18:52.480]   have
[00:18:52.480 --> 00:18:53.480]   to
[00:18:53.480 --> 00:18:54.480]   leave
[00:18:54.480 --> 00:18:55.480]   on
[00:18:55.480 --> 00:18:56.480]   the
[00:18:56.480 --> 00:18:57.480]   Syrian
[00:18:57.480 --> 00:18:58.480]   airfield.
[00:18:58.480 --> 00:18:59.480]   I
[00:18:59.480 --> 00:19:00.480]   have
[00:19:00.480 --> 00:19:01.480]   to
[00:19:01.480 --> 00:19:02.480]   leave
[00:19:02.480 --> 00:19:03.480]   on
[00:19:03.480 --> 00:19:04.480]   the
[00:19:04.480 --> 00:19:05.480]   Syrian
[00:19:05.480 --> 00:19:06.480]   airfield.
[00:19:06.480 --> 00:19:07.480]   I
[00:19:07.480 --> 00:19:08.480]   have
[00:19:08.480 --> 00:19:09.480]   to
[00:19:09.480 --> 00:19:10.480]   leave
[00:19:10.480 --> 00:19:11.480]   on
[00:19:11.480 --> 00:19:12.480]   the
[00:19:12.480 --> 00:19:13.480]   Syrian
[00:19:13.480 --> 00:19:14.480]   airfield.
[00:19:14.480 --> 00:19:15.480]   I
[00:19:15.480 --> 00:19:16.480]   have
[00:19:16.480 --> 00:19:17.480]   to
[00:19:17.480 --> 00:19:18.480]   leave
[00:19:18.480 --> 00:19:19.480]   on
[00:19:19.480 --> 00:19:20.480]   the
[00:19:20.480 --> 00:19:21.480]   Syrian
[00:19:21.480 --> 00:19:22.480]   airfield.
[00:19:22.480 --> 00:19:23.480]   I
[00:19:23.480 --> 00:19:24.480]   have
[00:19:24.480 --> 00:19:25.480]   to
[00:19:25.480 --> 00:19:26.480]   leave
[00:19:26.480 --> 00:19:27.480]   on
[00:19:27.480 --> 00:19:28.480]   the
[00:19:28.480 --> 00:19:29.480]   Syrian
[00:19:29.480 --> 00:19:30.480]   airfield.
[00:19:30.480 --> 00:19:31.480]   I
[00:19:31.480 --> 00:19:32.480]   have
[00:19:32.480 --> 00:19:33.480]   to
[00:19:33.480 --> 00:19:34.480]   leave
[00:19:34.480 --> 00:19:35.480]   on
[00:19:35.480 --> 00:19:36.480]   the
[00:19:36.480 --> 00:19:37.480]   Syrian
[00:19:37.480 --> 00:19:38.480]   airfield.
[00:19:38.480 --> 00:19:39.480]   I
[00:19:39.480 --> 00:19:40.480]   have
[00:19:40.480 --> 00:19:41.480]   to
[00:19:41.480 --> 00:19:42.480]   leave
[00:19:42.480 --> 00:19:43.480]   on
[00:19:43.480 --> 00:19:44.480]   the
[00:19:44.480 --> 00:19:45.480]   Syrian
[00:19:45.480 --> 00:19:46.480]   airfield.
[00:19:46.480 --> 00:19:47.480]   I
[00:19:47.480 --> 00:19:48.480]   have
[00:19:48.480 --> 00:19:49.480]   to
[00:19:49.480 --> 00:19:50.480]   leave
[00:19:50.480 --> 00:19:51.480]   on
[00:19:51.480 --> 00:19:52.480]   the
[00:19:52.480 --> 00:19:53.480]   Syrian
[00:19:53.480 --> 00:19:54.480]   airfield.
[00:19:54.480 --> 00:19:55.480]   I
[00:19:55.480 --> 00:19:56.480]   have
[00:19:56.480 --> 00:19:57.480]   to
[00:19:57.480 --> 00:19:58.480]   leave
[00:19:58.480 --> 00:19:59.480]   on
[00:19:59.480 --> 00:20:00.480]   the
[00:20:00.480 --> 00:20:01.480]   Syrian
[00:20:01.480 --> 00:20:02.480]   airfield.
[00:20:02.480 --> 00:20:03.480]   I
[00:20:03.480 --> 00:20:04.480]   have
[00:20:04.480 --> 00:20:05.480]   to
[00:20:05.480 --> 00:20:06.480]   leave
[00:20:06.480 --> 00:20:07.480]   on
[00:20:07.480 --> 00:20:08.480]   the
[00:20:08.480 --> 00:20:09.480]   Syrian
[00:20:09.480 --> 00:20:10.480]   airfield.
[00:20:10.480 --> 00:20:11.480]   I
[00:20:11.480 --> 00:20:12.480]   have
[00:20:12.480 --> 00:20:13.480]   to
[00:20:13.480 --> 00:20:14.480]   leave
[00:20:14.480 --> 00:20:15.480]   on
[00:20:15.480 --> 00:20:16.480]   the
[00:20:16.480 --> 00:20:17.480]   Syrian
[00:20:17.480 --> 00:20:18.480]   airfield.
[00:20:18.480 --> 00:20:19.480]   I
[00:20:19.480 --> 00:20:20.480]   have
[00:20:20.480 --> 00:20:21.480]   to
[00:20:21.480 --> 00:20:22.480]   leave
[00:20:22.480 --> 00:20:23.480]   on
[00:20:23.480 --> 00:20:24.480]   the
[00:20:24.480 --> 00:20:25.480]   Syrian
[00:20:25.480 --> 00:20:26.480]   airfield.
[00:20:26.480 --> 00:20:27.480]   I
[00:20:27.480 --> 00:20:28.480]   have
[00:20:28.480 --> 00:20:29.480]   to
[00:20:29.480 --> 00:20:30.480]   leave
[00:20:30.480 --> 00:20:31.480]   on
[00:20:31.480 --> 00:20:32.480]   the
[00:20:32.480 --> 00:20:33.480]   Syrian
[00:20:33.480 --> 00:20:34.480]   airfield.
[00:20:34.480 --> 00:20:35.480]   I
[00:20:35.480 --> 00:20:36.480]   have
[00:20:36.480 --> 00:20:37.480]   to
[00:20:37.480 --> 00:20:38.480]   leave
[00:20:38.480 --> 00:20:39.480]   on
[00:20:39.480 --> 00:20:40.480]   the
[00:20:40.480 --> 00:20:41.480]   Syrian
[00:20:41.480 --> 00:20:42.480]   airfield.
[00:20:42.480 --> 00:20:43.480]   I
[00:20:43.480 --> 00:20:44.480]   have
[00:20:44.480 --> 00:20:45.480]   to
[00:20:45.480 --> 00:20:46.480]   leave
[00:20:46.480 --> 00:20:47.480]   on
[00:20:47.480 --> 00:20:48.480]   the
[00:20:48.480 --> 00:20:49.480]   Syrian
[00:20:49.480 --> 00:20:50.480]   airfield.
[00:20:50.480 --> 00:20:51.480]   I
[00:20:51.480 --> 00:20:52.480]   have
[00:20:52.480 --> 00:20:53.480]   to
[00:20:53.480 --> 00:20:54.480]   leave
[00:20:54.480 --> 00:20:55.480]   on
[00:20:55.480 --> 00:20:56.480]   the
[00:20:56.480 --> 00:20:57.480]   Syrian
[00:20:57.480 --> 00:20:58.480]   airfield.
[00:20:58.480 --> 00:20:59.480]   I
[00:20:59.480 --> 00:21:00.480]   have
[00:21:00.480 --> 00:21:01.480]   to
[00:21:01.480 --> 00:21:02.480]   leave
[00:21:02.480 --> 00:21:03.480]   on
[00:21:03.480 --> 00:21:04.480]   the
[00:21:04.480 --> 00:21:05.480]   Syrian
[00:21:05.480 --> 00:21:06.480]   airfield.
[00:21:06.480 --> 00:21:07.480]   I
[00:21:07.480 --> 00:21:08.480]   have
[00:21:08.480 --> 00:21:09.480]   to
[00:21:09.480 --> 00:21:10.480]   leave
[00:21:10.480 --> 00:21:11.480]   on
[00:21:11.480 --> 00:21:12.480]   the
[00:21:12.480 --> 00:21:13.480]   Syrian
[00:21:13.480 --> 00:21:14.480]   airfield.
[00:21:14.480 --> 00:21:15.480]   I
[00:21:15.480 --> 00:21:16.480]   have
[00:21:16.480 --> 00:21:17.480]   to
[00:21:17.480 --> 00:21:18.480]   leave
[00:21:18.480 --> 00:21:19.480]   on
[00:21:19.480 --> 00:21:20.480]   the
[00:21:20.480 --> 00:21:21.480]   Syrian
[00:21:21.480 --> 00:21:22.480]   airfield.
[00:21:22.480 --> 00:21:23.480]   I
[00:21:23.480 --> 00:21:24.480]   have
[00:21:24.480 --> 00:21:25.480]   to
[00:21:25.480 --> 00:21:26.480]   leave
[00:21:26.480 --> 00:21:27.480]   on
[00:21:27.480 --> 00:21:28.480]   the
[00:21:28.480 --> 00:21:29.480]   Syrian
[00:21:29.480 --> 00:21:30.480]   airfield.
[00:21:30.480 --> 00:21:31.480]   I
[00:21:31.480 --> 00:21:32.480]   have
[00:21:32.480 --> 00:21:33.480]   to
[00:21:33.480 --> 00:21:34.480]   leave
[00:21:34.480 --> 00:21:35.480]   on
[00:21:35.480 --> 00:21:36.480]   the
