[00:00.000 --> 00:08.000]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[09:23.000 --> 09:30.000]  So as Senator Graham and they say it clearly shows Saudi Arabia carried out the attacks, NORAD was ordered to stand down.
[09:30.000 --> 09:48.000]  9-11 wasn't inside job. And that ties in to USX intelligence chief, the former head of defense intelligence, says on ISIS's rise, it was a willful Washington decision and an order that the Pentagon did not agree with.
[09:48.000 --> 09:56.000]  We told you this two and a half years ago when the Pentagon said no to the air bombardment, which is very rare. They just said, we're not going to follow illegal orders.
[09:56.000 --> 10:03.000]  And now that's come out in released DIA reports, US may willful decision to support ISIS Syria.
[10:03.000 --> 10:16.000]  We have the video of this coming up. What did Jeb Bush come out and do in a speech he gave that CNN aired last night? Jeb Bush blames Clinton Obama for Iraq problems.
[10:16.000 --> 10:18.000]  They're all in on it.
[10:18.000 --> 10:26.000]  So it's one hand blaming the other hand, the right hand blaming the left hand. And then he goes into how we need to take out Assad to stop ISIS.
[10:26.000 --> 10:35.000]  Now, I predicted this would happen. Assad's battling ISIS. The West has been funding al-Qaeda, al-Nusra slash ISIS for five years.
[10:35.000 --> 10:43.000]  They think we're so dumb, they're now saying bombard Assad and that will take out ISIS.
[10:43.000 --> 10:48.000]  That's like saying kill Superman and Lex Luthor will die.
[10:48.000 --> 11:01.000]  Or, I mean, it's just, it's saying Christ is the devil. It's saying black is white, up is down, left is right.
[11:01.000 --> 11:14.000]  It's just a total insult to everyone's intelligence. But when you realize the general public cannot even find the Middle East on a map in national surveys.
[11:14.000 --> 11:20.000]  And they think Sunni is Shiite and they think Saddam carried out 9-11.
[11:20.000 --> 11:29.000]  He can get up there when we've ganged up on Assad and his people and the Christians and the non radical Muslims for five years and killed 300,000 of them.
[11:29.000 --> 11:38.000]  And their tiny military with Russian backing has been valiantly fighting the entire Saudi Arabian jihad.
[11:38.000 --> 11:47.000]  And now the answer is to bomb the Syrian army.
[11:47.000 --> 11:54.000]  And now the airstrikes are beginning against U.S. trained rebels who are really ISIS.
[11:54.000 --> 12:03.000]  They've got the F-18 joint strike fighter beginning its attacks.
[12:03.000 --> 12:10.000]  To fight ISIS, they're going to bomb Assad. Who's fighting ISIS?
[12:10.000 --> 12:18.000]  That'd be like having a top general say General Green in the war for independence in 1778 say,
[12:18.000 --> 12:24.000]  get up at a podium while George Washington's addressing troops and shoot George Washington in the back of the head and say,
[12:24.000 --> 12:32.000]  I did that to help the cause of liberty against the corrupt crown. I've shot George Washington in the head.
[12:32.000 --> 12:37.000]  That's how dumb they think we are. And you know what? We are that dumb.
[12:37.000 --> 12:48.000]  They put hydrofluorosilic acid in the water that they've known for 150 years, eats holes in your brain, gives you bone cancer and destroys fertility and makes you servile.
[12:48.000 --> 12:54.000]  They put that in the water and they put it in the food up to 600 parts per million.
[12:54.000 --> 13:00.000]  1.6 part per million will lower IQ by more than 10 points if you drink it for just a few years.
[13:00.000 --> 13:09.000]  That's a Harvard report. Do you know what 600 parts per million does in bread powder, the powder on bread, processed bread, powdered eggs?
[13:09.000 --> 13:14.000]  Do you know what 600 parts per million does? It's devastating.
[13:14.000 --> 13:20.000]  I remember being a kid at camp and I'd eat powdered eggs and have to go take a nap or throw it up.
[13:20.000 --> 13:27.000]  Nobody told me it had fluoride in it. I just knew I felt like I'd been run over by a truck.
[13:27.000 --> 13:32.000]  And it's all a big, sick joke to put roach poison in your food.
[13:32.000 --> 13:41.000]  So of course they're selling baby parts. Of course they put roach poison in most of the processed food.
[13:41.000 --> 13:55.000]  But let me tell you, we're having victories. Two years ago, the FDA under lawsuits and their own scientists saying it's deadly, said ban fluoride as a food additive and remove it.
[13:55.000 --> 14:00.000]  And cut it out of the water 50% as a face-saving event.
[14:00.000 --> 14:07.000]  So I got all this news. I got tons of news here. New stack to the rafters. All of it over the top, important.
[14:07.000 --> 14:13.000]  But I just go back to the basics. We're not in Kansas anymore. Truth is stranger than fiction.
[14:13.000 --> 14:19.000]  We told you 20 years ago they were selling baby parts, keeping babies alive, vivisecting them.
[14:19.000 --> 14:25.000]  Photos of Margaret Sanger addressing the Klan, her giving awards to Hitler, getting awards from Hitler.
[14:25.000 --> 14:31.000]  But notice that's all 20-year-old news for our audience. That's in mainstream news today.
[14:31.000 --> 14:35.000]  It's finally on TV news showing Margaret Sanger at Klan rallies.
[14:35.000 --> 14:42.000]  The point is, I use the Force 10 from Navarone Allegory. That's a composite based on a true story.
[14:42.000 --> 14:45.000]  Just like the Patriots based on three true stories.
[14:45.000 --> 14:49.000]  Force 10 from Navarone's base. He didn't even say this in the movie, but I'll read it in the history book.
[14:49.000 --> 14:51.000]  It's based on a true story.
[14:51.000 --> 14:57.000]  Where they bombed a dam in Croatia to flood the Germans and knock out a bridge.
[14:57.000 --> 15:01.000]  And it took about a day for the dam to finally crack and explode and collapse.
[15:01.000 --> 15:06.000]  In the movie it takes like 20 minutes. That's the same thing. We've already blown their ass.
[15:06.000 --> 15:10.000]  You understand that? We've already smashed the living hell out of the enemy.
[15:10.000 --> 15:15.000]  That's why they got to take everything over now. It's like, I'll use more Hollywood analogies.
[15:15.000 --> 15:21.000]  It's like sending a Terminator back in history to take out Sarah Connor because we've already won in the future.
[15:21.000 --> 15:30.000]  They've got to accelerate, take over, shut everything down now because we've already smashed the living hell out of them.
[15:30.000 --> 15:36.000]  And excuse me getting so excited, but I'm just here to tell you, ladies and gentlemen, that it's all going to come out.
[15:36.000 --> 15:43.000]  The white slavery kidnapping rings. High level people in the federal government don't want to be part of this.
[15:43.000 --> 15:51.000]  The snuff films, the body parts, the government drug dealing, the Mexican drug cartels run by the CIA.
[15:51.000 --> 15:58.000]  Because people on the CIA don't want to go along with it. People are sick of it all. Everything's going to come out.
[15:58.000 --> 16:02.000]  And there's nothing they can do from stopping it.
[16:02.000 --> 16:07.000]  Here's the bad news. We're going to beat them on the current trajectory we're at.
[16:07.000 --> 16:18.000]  So they're tripling down now in their projections, in their war games, in their actuaries, in their analyses to try to beat us in the future.
[16:18.000 --> 16:24.000]  And I've looked at it. I don't have all their supercomputers and rest of it, but I've got history and the good sense God gave me.
[16:24.000 --> 16:27.000]  And I can sit back and look at them. I can tell you this.
[16:27.000 --> 16:33.000]  They're going to fail, but they may destroy the planet in the process of trying to keep control.
[16:33.000 --> 16:40.000]  So here's the big announcement for everybody. Get yourself strapped in because there's going to be big wars.
[16:40.000 --> 16:46.000]  There's going to be bioweapon releases. I think you're probably going to see nukes go off. They'll say they don't know who did it.
[16:46.000 --> 16:54.000]  It's going to get crazy. There is no doubt now we've crossed the threshold and are going into crazy town.
[16:54.000 --> 17:00.000]  I don't know how bad it's going to be. The faster we wake up, the more we wake up, may actually back them off.
[17:00.000 --> 17:07.000]  They may capitulate and just sue for peace and slow down. That's our only hope.
[17:07.000 --> 17:12.000]  And the reason so many of their own people are leaking info right now is they realize how evil this system is.
[17:12.000 --> 17:21.000]  They realize they were told a lie about globalism, that it was to bring in world peace, that it's a fraud,
[17:21.000 --> 17:27.000]  that it's been totally corrupted from the beginning. It was a deception.
[17:27.000 --> 17:34.000]  And that it all will come down.
[17:34.000 --> 17:39.000]  Now excuse me, using some mild French here on air. I apologize. It's just so real.
[17:39.000 --> 17:49.000]  In my gut, in my spirit, in my mind, I know that we've already placed explosives on the dam many times.
[17:49.000 --> 17:56.000]  It doesn't come down overnight and now it's starting to crack and the enemy can look at their system and tell it's coming down.
[17:56.000 --> 18:07.000]  That's why they want to go ahead and bring it all down, pose as the saviors and grab victory from the jaws of defeat.
[18:07.000 --> 18:14.000]  If we fail, we're going to be snatching defeat from the jaws of victory.
[18:14.000 --> 18:21.000]  All we got to do is spread the word. All we got to do is tell the truth. All we got to do is say we don't comply with unconstitutional garbage.
[18:21.000 --> 18:29.000]  All we got to do is stand strong and this system will come down. This system will fail. It will stall out.
[18:29.000 --> 18:37.000]  Does it mean we'll be in some utopia? Absolutely not. Does it mean we won't have bigger problems in some areas? No, we will.
[18:37.000 --> 18:47.000]  But there's forces of good and evil in this world, not just the evil. That's why everything they do is to dumb us down because they're scared of strong men and women.
[18:47.000 --> 18:54.000]  They're strong in the light in our eyes, they'll lighten our soul. They're scared of the fact that we want justice.
[18:54.000 --> 19:04.000]  We are outrageously horrifying to these people and we should be. If you look at our enemies, they are pathetically weak.
[19:04.000 --> 19:10.000]  That's why they seek power. It's time for good men and women to stand up and say no.
[19:10.000 --> 19:17.000]  And when we take that first mighty step into what appears to be oblivion, that's when God will catch us.
[19:17.000 --> 19:27.000]  But you have to take the first step and commit and say, just like that astronaut was talking about yesterday,
[19:27.000 --> 19:34.000]  once you get on top that rocket, you know there's a one-of-a-fifty chance going to blow up and kill you, but you're not a frag as you made the decision to do it.
[19:34.000 --> 19:46.000]  And some of us in this political system will be blown up. Some of us will be killed, destroyed, politically assassinated, but it's all part of God's greater plan.
[19:46.000 --> 19:54.000]  When we come back, the accelerating global meltdown now goes from a possibility to a probability as China begins to devalue.
[19:54.000 --> 20:00.000]  So I say to market lunch, look, you know, I keep hearing from the government that, you know, they're worried someday ISIS may get here.
[20:00.000 --> 20:06.000]  And I go, duck, a Garland, Texas, Mohammed cartoon shooting, ISIS is already here.
[20:06.000 --> 20:13.000]  I'm not waiting for these people to defend me. If they don't know ISIS as you already, they got no clue. I'm taking care of myself.
[20:13.000 --> 20:19.000]  Guns80.com, AR-15 kits, 30-shot magazines, great prices. They've even got the Hillary special.
[20:19.000 --> 20:24.000]  Guns80.com at 844-2-Guns80-Guns80.com
[20:49.000 --> 20:54.000]  For a free guide to Aquaponics, that's aquaponicssource.com
[21:19.000 --> 21:24.000]  That's 1-605-562-9000
[21:49.000 --> 22:01.000]  If you're worried about your health and you're tired of the nasty side effects of harsh drugs or antibiotics, then look no further.
[22:01.000 --> 22:14.000]  Supernatural silver is the answer. Supernatural silver is a powerful immune system enhancer that can be used every day to help keep you healthy and well with none of those nasty side effects.
[22:14.000 --> 22:23.000]  It's extremely safe for use internally as well as topically, and supernatural silver is hundreds of times more effective than colloidal or ionic silver.
[22:23.000 --> 22:28.000]  It is perfect for use in the sinuses, eyes, ears, and on any wound or skin issue.
[22:28.000 --> 22:38.000]  Supernatural silver is also extremely effective when taken orally and can help fight off bacteria, viruses, and mold that may be overwhelming your immune system.
[22:38.000 --> 22:53.000]  Go to supernaturalsilver.com and use the promo code Silver2015 for 30% off of your entire order and give yourself and your loved ones a fighting chance with supernatural silver.
[22:53.000 --> 23:00.000]  Hey Berkey guy here. Are you still drinking unfiltered tap water? Does your water contain chlorine or fluoride? Will you have drinkable water in an emergency?
[23:00.000 --> 23:06.000]  The Berkey guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[23:06.000 --> 23:11.000]  For Berkey water purification systems, the lowest available price is online. Don't go another moment without Berkey system.
[23:11.000 --> 23:14.000]  Over the last 10 years, we've helped thousands drink clean, purified water.
[23:14.000 --> 23:37.000]  Join them by visiting goberkey.com or call me the Berkey guy at 877-886-3653. That's 877-886-3653.
[23:44.000 --> 23:49.000]  Don't forget to leave a free tactical scarf for a limited time with any body armor package.
[23:49.000 --> 23:54.000]  That's catiharmor.com. Come and take it.
[23:54.000 --> 24:17.000]  You're listening to the Alex Jones Show. I'm Alex Jones.
[24:17.000 --> 24:22.000]  Knowing the globalist plans is key to stopping their operations.
[24:22.000 --> 24:40.000]  Educating the public that they are the social engineers, the economic and cultural masters that have shaped our world and that are pulling prosperity and decency down like a huge hydra pulling a ship into the North Atlantic.
[24:40.000 --> 25:04.000]  Here are the headlines on the China situation and we've got some great interns in here now and they're working on going back and getting our guest Earl Salente, Harry Dent, and so many others myself, talking about China being the time bomb for the economic meltdown.
[25:04.000 --> 25:16.000]  And the situation with the EU and Europe and deflation in the general economy with inflation in other areas of the economy.
[25:16.000 --> 25:23.000]  And really no one knows exactly what that mix, what that mix will be, but it's going to be serious.
[25:23.000 --> 25:34.000]  Again, I told you five and a half years ago that I talked to billionaires, elitist, government insiders, you name it. Some of them here on air.
[25:34.000 --> 25:40.000]  And they were saying get out of the United States within the next five years. That was in five years ago.
[25:40.000 --> 25:52.000]  And the quote, there wouldn't be a United States in five years. And I said, what does that mean? And they said, just what you say.
[25:52.000 --> 25:57.000]  What do you know? Don't have to tell you.
[25:57.000 --> 26:04.000]  Now, I hope to heaven that they're wrong. I hope to heaven all these signs are wrong.
[26:04.000 --> 26:17.000]  But it's like if you already had four or five heart attacks and your hand, your left hand gets numb and your shoulder starts hurting and your heart starts hurting, chances are you're having another heart attack.
[26:17.000 --> 26:23.000]  All the signs are there. And this time they're massing troops up against China and Russia.
[26:23.000 --> 26:36.000]  Because the one thing historically that will happen is during a total meltdown, governments will start wars before that even happens to politically divert the public's anger towards an outside enemy.
[26:36.000 --> 26:44.000]  That's just 101. When the economy goes belly up, they take you to war.
[26:44.000 --> 26:49.000]  China royals markets for second day as Yon tumbles the stocks.
[26:49.000 --> 27:02.000]  China has been pumping hundreds of billions of dollars, translated into Yon, into their stock market, as you know, the last month, trying to keep it up unsuccessfully.
[27:02.000 --> 27:14.000]  Now they're dropping their currency even further, which will kill any imports of even raw material into their country and put them at an even bigger advantage still.
[27:14.000 --> 27:24.000]  And that's why you see the major Pacific Fleet building up over there beforehand, because China began to break their deals with the globalist about three years ago.
[27:24.000 --> 27:35.000]  And I'm sorry, China is not Iraq or Assad.
[27:35.000 --> 27:44.000]  I mean, if you get in a war with the Chinese, they will fight. They'll just walk into machine gunfire and human wave attacks.
[27:44.000 --> 27:53.000]  Concerned China's economy is faltering torpedoed stocks around the world for a second day in fuel demand for the safety of gold and treasuries.
[27:53.000 --> 28:02.000]  See, I told you in my gut, I think gold's going up this fall and Christmas, even if there's an overall depression in other commodities.
[28:02.000 --> 28:10.000]  I just, I just see elites buying it up, institutions buying it up quietly.
[28:10.000 --> 28:16.000]  That's just my gut. Maybe it's wrong and maybe they'll manipulate that won't happen, but it's already going up.
[28:16.000 --> 28:23.000]  China's yawn slipped 1% in offshore trading, leading the biggest two-day slide in Asian currency since 2008.
[28:23.000 --> 28:30.000]  Well, speculation of financial markets turmoil will force the fellow reserve to delay raising interest rates, set the dollar tumbling versus the yen in the euro.
[28:30.000 --> 28:40.000]  The U.S. currency bolstered the investment appeal oil while a measure of global equity slid the most in a month.
[28:40.000 --> 28:45.000]  That's out of Bloomberg business.
[28:45.000 --> 28:50.000]  And it's like we had a time machine, if you were listening a year ago, six months ago, you, you heard about all this, remember?
[28:50.000 --> 28:51.000]  Not bragging.
[28:51.000 --> 28:58.000]  Mainstream media could have got all this right. They're paid to lie to you.
[28:58.000 --> 29:03.000]  I can't tell you how many major anchors have been down here or called me or I've run into an event in New York or LA and they go,
[29:03.000 --> 29:11.000]  Man, listen, let's get off our back. We're just doing our job. We know how bad it is. In fact, it's worse than you know. In fact, it's scary.
[29:11.000 --> 29:15.000]  If you don't tell anybody, I'm going to tell you a little.
[29:15.000 --> 29:22.000]  And I've had police chiefs, FBI all to get me going. I know we know. Believe me, it's worse than you know.
[29:22.000 --> 29:31.000]  Well, then stand up against it. I mean, there's got to be some point where we're going along with the system isn't a suicide pack.
[29:31.000 --> 29:37.000]  Nobody says you got to make waves, but when the ship's capsizing, you got to climb up on top of it or you're going to drown.
[29:37.000 --> 29:43.000]  We'll be back with the rest on the China situation on Hillary Clinton being FBI rated and more.
[29:43.000 --> 30:12.000]  We're on the March. The Empire's on the run. Alex Jones and the GCN radio network.
[30:12.000 --> 30:19.000]  This move had an immediate impact on the stock market. The U.S. stock market responded by dropping nearly 500 points in two days.
[30:19.000 --> 30:28.000]  Many fear this is the start of a currency war. Regular viewers of the Alex Jones show and Impo Wars Nightly News will note that we have been covering this story for many, many years.
[30:28.000 --> 30:36.000]  We've had predictions from Gerald Salente, Paul Craig Roberts, Harry Dent and a host of others saying this is the time that the plug is going to be pulled from the economy.
[30:36.000 --> 30:44.000]  This is a manufactured crisis to create a global currency by which every transaction can be analyzed and controlled.
[30:44.000 --> 31:12.000]  Stay tuned for more reports on the Info Wars Nightly News and the Alex Jones show. Rob Dew reporting for infowars.com.
[31:12.000 --> 31:24.000]  It is concentrated herbs and natural organic compounds known to energize the body's natural processes that are blocked by estrogen mimicers and other toxic elements in the food chain.
[31:24.000 --> 31:37.000]  Supermal vitality from infowarslife.com has sold out multiple times in the last three months. To fix that problem, we have now produced the biggest and most concentrated high quality batch of supermal vitality in the product's history.
[31:37.000 --> 31:47.000]  Our new ultra strength formula is even stronger. Check out the third party reviews and informational videos at infowarslife.com. Now it's time to get your body in balance and fight back.
[31:47.000 --> 31:54.000]  I'm Alex Jones for supermal vitality and infowarslife.com and I salute you, our supporters.
[31:54.000 --> 32:10.000]  Introducing Secret 12, the new Info Wars Life Vitamin B12 formulation. Secret 12 is a binary of nutrimentical grade, bioavailable, coenzyme forms of B12, methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[32:10.000 --> 32:23.000]  Secret 12 is simply taken by mouth, right on the tongue and then swallowed. No needles, no injections. Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139.
[32:23.000 --> 32:35.000]  When cells become toxic, they die early and aging sets in. No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[32:35.000 --> 32:45.000]  Just one of the key compounds, BioPQQ, is backed by major clinical studies. You want the best that's out there at the lowest price anywhere? We now have the synergistic solution.
[32:45.000 --> 32:54.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[33:15.000 --> 33:28.000]  And I hope that judge ain't blind. Amorello by morning. Amorello's on my mind.
[33:28.000 --> 33:39.000]  Legionnaires' disease is super scary. It's at the biggest outbreak in history and it's now showing up in prisons and stuff and they say it's not related. Pretty creepy. We're going to break some of that down.
[33:39.000 --> 33:56.000]  Here's another headline. Russia and NATO actively preparing for war. You're like, tell us something you haven't told us 500 times. I know I've told you that, but now it's in the London Telegraph and governments are saying it.
[33:56.000 --> 34:18.000]  We've got a ton of news on the Hillary Clinton front where the FBI has now raided the hard drives and seized them and the DOJ has taken possession, which is also controlled by the very same people.
[34:18.000 --> 34:32.000]  She had satellite images, highly classified stuff on her computer. Again, top secret emails found as Clinton Prove expands to key aids. Go to drudgereport.com. It's got the big, blazoned headline.
[34:32.000 --> 34:40.000]  Hillary top secret email found. FBI seizes drives. DOJ takes possession. Satellite images.
[34:40.000 --> 34:57.000]  We'll break down some of the headlines at infowars.com as well. Video cop repeatedly smashes student with baton for refusing to comply, then caught lying on police report, now arrested and fired.
[34:57.000 --> 35:04.000]  I got to say, in more and more cases, when you get bad cops, they're being arrested or fired. Or both.
[35:04.000 --> 35:16.000]  Again, there's Kurt Nemo's article. NATO and Russia prepare for war. He basically rewrote and expanded on the Reuters story.
[35:16.000 --> 35:34.000]  Blacks for Smithsonian to remove exhibition honoring racist planned parenthood founder. Yeah, if you're going to dig up Confederate generals that had nothing to do with slavery and lie to a bunch of ignorant people, then you should certainly remove somebody who said blacks were subhuman and it should be killed.
[35:34.000 --> 35:43.000]  Minority report style ad billboard shaped like eyes to watch consumers. We're going to go into that article. It's up on infowars.com.
[35:43.000 --> 35:53.000]  A really bizarre story. This is NASA saying this. The universe is steadily deteriorating and so is the human race. What is happening?
[35:53.000 --> 36:04.000]  Inspector General says Clinton had top secret sensitive compartmentalized information. Angry customers to ditch target stores after they remove gender based signage.
[36:04.000 --> 36:14.000]  Boy's clothing section. Girls clothing. Boys toys. Girls toys. I mean just cult like attack on language.
[36:14.000 --> 36:22.000]  It's an occult attack on the species itself. Not of this world.
[36:22.000 --> 36:36.000]  But I want to get particularly into the world economy first. Then we'll talk to Congressman Jones. He isn't just coming on about the 28 pages.
[36:36.000 --> 36:52.000]  He's coming on. He contacted us, which is great because when he has breaking news he contacts us about the move to try to unseat Boehner from the Speaker of the House position.
[36:52.000 --> 36:59.000]  So Congressman Jones joins info wars in about 25 minutes on the move to remove Boehner.
[36:59.000 --> 37:11.000]  So we should tweet that Congressman will discuss plan afoot to remove Boehner from speakership live infowars.com.
[37:11.000 --> 37:17.000]  And then please retweet that out on Twitter everybody at Real Alex Jones so that folks can tune in and hear this info.
[37:17.000 --> 37:26.000]  Because if we promote it, if we push it, Boehner is very unpopular with the GOP. He's got like a 12% approval rating in national polls.
[37:26.000 --> 37:35.000]  He needs to be removed. And we need to put somebody in there like Walter Jones who has integrity and tells the truth.
[37:35.000 --> 37:44.000]  That's all we got to do is remove Nancy Pelosi and John Boehner and a few other nasty little creatures like Harry Reid from leadership positions.
[37:44.000 --> 37:50.000]  And we can take this country back. Most governors don't want to deep six the country.
[37:50.000 --> 37:57.000]  Most county commissioners don't. Most people want prosperity and justice, but they're compartmentalized.
[37:57.000 --> 38:02.000]  They're not part of the main power structure. So they're not aware of what's really going on.
[38:02.000 --> 38:07.000]  And if you tell them, hey, Planned Parenthood secretly sells baby parts, they say no way they go to jail for that.
