[00:00.000 --> 00:04.000]  You can feel it
[04:19.800 --> 04:25.600]  how great it is and dancing syringes, and then all the people dead and dying, oh, that's
[04:25.600 --> 04:26.600]  all just suppressed.
[04:26.600 --> 04:30.880]  Yeah, it's true, you got a heart attack from the Pfizer shot, but Facebook says you're
[04:30.880 --> 04:32.680]  not allowed to talk about it.
[04:32.680 --> 04:37.520]  Oh, your doctor says you've got about five years to live on average, well, bye-bye.
[04:37.520 --> 04:43.280]  This type of microcarditis on average kills you in five years if you live.
[04:43.280 --> 04:46.680]  Yeah, the coronavirus is here forever, and how do you live with it?
[04:46.680 --> 04:50.240]  Well, you live under a new high-tech police state, even Atlantic Monthly, the defense
[04:50.240 --> 04:53.920]  pedophilia took a breath and talked about something else, they said, oh, we got to have
[04:53.920 --> 05:00.800]  total surveillance or everybody, that'll save everyone.
[05:00.800 --> 05:06.400]  So this could be literally your last chance with all the insane things happening in the
[05:06.400 --> 05:13.000]  world to get in force products and to support us into 2022, the do or die year, store-wide
[05:13.000 --> 05:18.960]  free shipping, double patriot points, brain force plus 50% off, amazing, new tropic, ultimate
[05:18.960 --> 05:23.800]  krill oil, back in stock, highest rated krill oil, so good for your whole body, 50% off.
[05:23.800 --> 05:28.600]  We've got knockout sleep support, 50% off, hair and beard support, 60% off.
[05:28.600 --> 05:33.640]  We also have COVID-land 2, the mask film, when you order the very important film, you
[05:33.640 --> 05:38.960]  get a free DVD with two films on it about Bohemian growth, turbo force, 10-hour clean
[05:38.960 --> 05:45.400]  energy, 40% off, body's ultimate tumeric formula, 40% off, DNA force plus the rural's
[05:45.400 --> 05:51.840]  rice for your cells and immune systems, 40% off, infoorcestore.com, this could be potentially
[05:51.840 --> 05:56.360]  your last chance to get a t-shirt, a book, a film, or these great supplements, we're
[05:56.360 --> 06:06.360]  going to keep going 110% but we need your support.
[06:06.360 --> 06:13.360]  From the front lines of the information war, it's Alex Jones.
[06:13.360 --> 06:24.160]  All right, I'm going to take a deep breath, and I'm going to put the live show headline
[06:24.160 --> 06:30.280]  on screen for TV viewers, I'm going to read it out for all of our great radio listeners
[06:30.280 --> 06:37.440]  across the United States and those listening on Global Shortwave, Sunday Live, White House
[06:37.440 --> 06:47.160]  vows to strike back after Biden's great reset bill derailed, meanwhile, deep state generals
[06:47.160 --> 06:53.800]  are publicly calling for Biden to establish martial law ahead of the midterm elections
[06:53.800 --> 06:59.680]  to deter a new insurrection.
[06:59.680 --> 07:10.040]  The New World Order has almost destroyed America, but the people are waking up fast and the
[07:10.040 --> 07:16.960]  defeat of the globalist build back better plan could prove to be a mortal blow if we
[07:16.960 --> 07:20.840]  keep fighting hard.
[07:20.840 --> 07:27.080]  That's the real world you live in, and as it begins to dawn on Joe Rogan and Tucker Carlson
[07:27.080 --> 07:35.280]  and the general public, and Donald Trump and Dr. Paul, that this is premeditated, this
[07:35.280 --> 07:43.040]  is a plan, this is being done by design, this is a depopulation weapon, it's a problem
[07:43.040 --> 07:47.520]  you can't ever fix, it just takes up all your rights with surveillance and control and then
[07:47.520 --> 07:51.800]  gives you injections that erase your immune system.
[07:51.800 --> 07:57.400]  As the public begins to get that, and as Laura Ingram gets that, we have a real chance, but
[07:57.400 --> 08:04.000]  if we don't face this for what it is, a eugenics depopulation premeditated plan by Bill Gates
[08:04.000 --> 08:10.760]  and the globalist, we don't have a damn hope.
[08:10.760 --> 08:13.920]  Now I've got a lot of massive news to cover here today, it all ties together, but let's
[08:13.920 --> 08:16.840]  just be very, very clear.
[08:16.840 --> 08:26.040]  I didn't get up here 21, 22 months ago in February of last year, that's 22 months ago.
[08:26.040 --> 08:33.080]  I didn't get up here and say all the things I said that came exactly true because I am
[08:33.080 --> 08:38.760]  Nostradamus, it's because it's a laid out enemy plan and they've been very public about
[08:38.760 --> 08:43.320]  it for decades, how they use a virus to do it, and they've war-gamed it hundreds of
[08:43.320 --> 08:50.000]  times I know of, we've covered more than 20 of those drills on air, like Lockstep, Event
[08:50.000 --> 08:58.360]  201, Crimson Contagion, Spars 2023, and it's all right there, and then we got thanks to
[08:58.360 --> 09:04.800]  Lou Dobbs and Judicial Watch in 2007, right as I was finishing in-game.
[09:04.800 --> 09:09.920]  They got documents from the BAMF Canada, North American Union, UN, DeBose Group meeting at
[09:09.920 --> 09:16.760]  BAMF Canada, totally secret with thousands of Western politicians being bought and sold
[09:16.760 --> 09:24.280]  there, and the minutes of that document came out and they said, we will get our North American
[09:24.280 --> 09:32.800]  Union and our European Union, our Asian Union, all merged in the future under Agenda 21 using
[09:32.800 --> 09:36.720]  the threat of a deadly virus.
[09:36.720 --> 09:41.760]  So I've known this all along, I've known this for a very long time, made a film about
[09:41.760 --> 09:47.160]  it in-game, blueprint for global enslavement.
[09:47.160 --> 09:52.160]  And so I just need everybody to understand, we're not up here giving you our opinions
[09:52.160 --> 09:57.240]  on subjects like this, I can give you my opinions on the metaphysical, I can give you my opinions
[09:57.240 --> 10:03.440]  on life after death, I can give you my opinions on what my favorite foods are, those views
[10:03.440 --> 10:10.800]  all very person to person, but what I'm talking about, cut and dry, is what's going on.
[10:10.800 --> 10:20.600]  Yeah, there are Agenda 21 documents from the mid-90s, 1995, and if you follow those now,
[10:20.600 --> 10:28.240]  they have implemented just that, I mean this is happening, and that's what's so frustrating,
[10:28.240 --> 10:31.160]  so let me just explain this.
[10:31.160 --> 10:34.720]  They were always going to say they were new variants, they were always going to say the
[10:34.720 --> 10:39.800]  shot didn't work, but you have to take it, and they were always going to censure everybody
[10:39.800 --> 10:43.720]  and bring out a world ID and a world medical ID on a social credit score and carbon tax
[10:43.720 --> 10:48.840]  tied to it, and that's now officially been launched.
[10:48.840 --> 10:53.640]  So Agenda 21 was passed into global UN law, we didn't ever pass it here in the US, but
[10:53.640 --> 10:59.160]  George Herbert Walker Bush signed us on to it, to put us under UN UNESCO law by executive
[10:59.160 --> 11:07.000]  fiat in 1992 and Rio de Janeiro, and by the year 2021 they were supposed to have launched
[11:07.000 --> 11:14.120]  the deindustrialization plan to cut off the carbon, to just bring in hell on earth, to
[11:14.120 --> 11:21.120]  collapse the third world, merge it with the first world, and that by the year 2030 under
[11:21.120 --> 11:26.560]  Agenda 2030, which is another public plan, that the world would be free of war and famine
[11:26.560 --> 11:30.360]  because the world would be at least 80% depopulated.
[11:30.360 --> 11:35.440]  We are eight years out from that, and in the past I would have experts on it, scientists
[11:35.440 --> 11:38.320]  and researchers and people that worked in the federal government, the highest levels
[11:38.320 --> 11:44.560]  that were briefed on all this, and people were like, you know, that's crazy in 2005
[11:44.560 --> 11:49.400]  or 2010 or 2015, yeah, there'll be a world lockdown, we'll have to wear masks, they'll
[11:49.400 --> 11:55.120]  tell us we can't go out and go to ball games, you'll have to have a pass to travel, yeah
[11:55.120 --> 11:58.120]  Alex, that's not really going to happen.
[11:58.120 --> 12:02.280]  And now you see how quickly it is happening, and now you can see how eight years from now
[12:02.280 --> 12:07.560]  they plan to have 80% of people dead, this is all just a drill right now to lock us down
[12:07.560 --> 12:14.240]  to make sure we'll behave when they release the real bio weapons on us, when they release
[12:14.240 --> 12:17.600]  the really nasty stuff.
[12:17.600 --> 12:22.280]  So do you really want to see the next phase of this come true?
[12:22.280 --> 12:25.560]  You really want to be saying Alex Jones is right in a couple of years when billions
[12:25.560 --> 12:27.680]  are dying.
[12:27.680 --> 12:31.680]  Make no mistake no matter who you are, some fancy pants lawyer at the justice department,
[12:31.680 --> 12:35.800]  or some big muckity muck preacher, or some big guy in the military, this is going to
[12:35.800 --> 12:44.080]  be a civilization destroying cascade of events that are designed and planned.
[12:44.080 --> 12:49.200]  I told you a year and a half ago that the CDC was under UN directives and would begin
[12:49.200 --> 12:53.280]  claiming that they had to put people who they think might have been in contact with somebody
[12:53.280 --> 12:56.280]  with COVID in a camp.
[12:56.280 --> 13:01.040]  And then if you don't behave yourself, you stay in the camp longer, it's penal.
[13:01.040 --> 13:04.320]  They penalize you.
[13:04.320 --> 13:08.560]  New York just signed an executive order to round anybody up they want and disappear them.
[13:08.560 --> 13:12.120]  Same stuff is already in place in Canada, same stuff is already in place in Europe, the
[13:12.120 --> 13:18.080]  UK, New Zealand, Australia, it's all unified ladies and gentlemen.
[13:18.080 --> 13:22.520]  And the globalists, let me explain this very slowly, are locking the first world down because
[13:22.520 --> 13:27.200]  they plan to depopulate us the most because we're middle class and the rest of the world
[13:27.200 --> 13:30.120]  looks up to that and our rights and freedoms.
[13:30.120 --> 13:35.920]  So we're slated to be devastated and wiped out first.
[13:35.920 --> 13:40.040]  And totally locked down as a fortress system for who survives and then they're going to
[13:40.040 --> 13:42.440]  wipe out the third world.
[13:42.440 --> 13:46.160]  So for the racist and people out there that want to kill all the black and brown people,
[13:46.160 --> 13:51.040]  don't worry, they're all going to get killed too and so are you.
[13:51.040 --> 13:54.960]  We either come together and stop this or we're all dead.
[13:54.960 --> 13:58.320]  And you can pretend it isn't happening, you can, oh, Alex is being a little extreme.
[13:58.320 --> 14:02.280]  No, I'm telling you exactly what's going on and exactly what's happening.
[14:02.280 --> 14:07.520]  Now, listen, everybody's really excited that the build back better, which is a UN, Davos
[14:07.520 --> 14:13.440]  Group, global mafia term that our own leaders in Congress don't say, hey, that's the UN,
[14:13.440 --> 14:14.440]  that's the Davos Group.
[14:14.440 --> 14:15.440]  You'll own nothing, you'll have nothing.
[14:15.440 --> 14:20.960]  I mean, where are our leaders saying, what is this UN program for our economy and saying
[14:20.960 --> 14:23.600]  we don't want it?
[14:23.600 --> 14:27.680]  It failed by one vote in the Senate today because Senator Manchin, who's having a come
[14:27.680 --> 14:32.640]  to Jesus moment, said, if we spend another $5 trillion right now, we will certainly bankrupt
[14:32.640 --> 14:35.080]  the nation.
[14:35.080 --> 14:38.520]  And plus it gives the money to all these communist and globalist groups.
[14:38.520 --> 14:43.320]  And then in the bill, the old reason he said no is it totally shuts off our coal within
[14:43.320 --> 14:47.880]  two years, it's already halfway shut off, and then it shuts down most of the oil within
[14:47.880 --> 14:50.440]  eight years, of course, and will destroy us.
[14:50.440 --> 14:55.440]  We will be a fricking road warrior collapse system.
[14:55.440 --> 15:01.760]  You cut the fuel off and in two weeks you live in road warrior and people like celebrating,
[15:01.760 --> 15:04.600]  oh, look, we beat the Democrats barely.
[15:04.600 --> 15:05.600]  They're going to come back.
[15:05.600 --> 15:12.720]  Do you understand the death sentence, the insanity of trying to cut our power off?
[15:12.720 --> 15:14.240]  Russia and China aren't getting their power cut.
[15:14.240 --> 15:15.240]  They're upping it.
[15:15.240 --> 15:19.080]  Saudi Arabia is not, Mexico is not, none of these countries are.
[15:19.080 --> 15:23.240]  It's only Western countries that are targeted to be brought down first.
[15:23.240 --> 15:27.720]  This is modern warfare, and when we come back, I'm going to hit the big news, Washington
[15:27.720 --> 15:31.080]  Post up there saying we need troops on the streets.
[15:31.080 --> 15:35.400]  We need the Pentagon to occupy America to save us from insurrectionists.
[15:35.400 --> 15:41.080]  Oh, a bunch of people out of a million, 600, 700 going into capital, most of them nonviolent.
[15:41.080 --> 15:47.560]  Because of that, we need the real martial law of troops on the streets to shut down
[15:47.560 --> 15:53.280]  all political discourse ahead of them stealing the election in 324 days.
[15:53.280 --> 15:59.080]  They already had the coup, folks, now they want to secure their coup.
[15:59.080 --> 16:06.040]  So this could, this could be in full wars last Christmas, because it could be America's
[16:06.040 --> 16:09.160]  last Christmas, evil is taking over the planet.
[16:09.160 --> 16:14.200]  They're destroying our borders, our sovereignty, our supply chains, our language, our currencies.
[16:14.200 --> 16:15.520]  They're coming after us.
[16:15.520 --> 16:20.040]  And if we don't support American businesses, and if we don't support independent media
[16:20.040 --> 16:24.880]  in the final days of 2021, we have no future in the midterms in 2022.
[16:24.880 --> 16:29.040]  2022 is the year where America decides its fate.
[16:29.040 --> 16:31.040]  I want to thank you all for your support.
[16:31.040 --> 16:35.160]  I want to encourage you to your Christmas shopping and FullWarsHore.com, because I can
[16:35.160 --> 16:40.160]  barely keep our operation going, and I appreciate you keeping us in the position to fight back.
[16:40.160 --> 16:44.160]  I am so thankful for you, and I'm asking you now to realize the huge investment you made
[16:44.160 --> 16:48.680]  over the years in us, and I'll redouble your efforts to make sure that your investment
[16:48.680 --> 16:50.120]  in freedom continues on.
[16:50.120 --> 16:56.720]  infowarstore.com has incredible products, store-wide free shipping, up until December
[16:56.720 --> 16:59.520]  20th, so please take action now and keep us on the air.
[16:59.520 --> 17:00.520]  Thank you.
[17:00.520 --> 17:04.200]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[17:04.200 --> 17:08.720]  It has been proven that a poor sleep schedule is linked with numerous health problems, including
[17:08.720 --> 17:14.000]  weight gain, memory issues, mood changes, poor concentration, and even a weakened immune
[17:14.000 --> 17:15.000]  system.
[17:15.000 --> 17:21.000]  Introducing RocketRest, the new product from our Dr. Jones naturals line at infowarstore.com.
[17:21.000 --> 17:25.160]  The new RocketRest formula is loaded with the best natural ingredients to help not only
[17:25.160 --> 17:29.640]  improve your quality of sleep, but help you wake up feeling refreshed.
[17:29.640 --> 17:34.520]  Many competitor sleep formulas focus only on getting you to sleep, but RocketRest was
[17:34.520 --> 17:39.640]  specifically formulated to help you feel rested and ready to take on the next day.
[17:39.640 --> 17:44.880]  It uses a unique quick-release capsule system to ensure fast delivery of deep sleep-support
[17:44.880 --> 17:47.680]  ingredients like melatonin and magnesium.
[17:47.680 --> 17:52.440]  RocketRest helps you fall asleep fast, stay asleep, and wake up feeling rested, so get
[17:52.440 --> 17:58.200]  the new RocketRest formula from Dr. Jones naturals right now at infowarstore.com so you're
[17:58.200 --> 18:00.200]  ready to take off.
[18:59.200 --> 19:06.800]  In late August, infowar saw an explosion of orders because our audience understands that
[19:06.800 --> 19:13.040]  the globalists are destabilizing the planet by design and are attempting to cause an economic
[19:13.040 --> 19:15.400]  and financial collapse worldwide.
[19:15.400 --> 19:19.440]  Now, ladies and gentlemen, storable food has always been something that's important to
[19:19.440 --> 19:20.440]  have.
[19:20.440 --> 19:24.920]  It's a checkbox that everybody needs to have, taking care of, right along with water filtration,
[19:24.920 --> 19:27.200]  self-defense, and a relationship with God.
[19:27.200 --> 19:30.640]  But now, more than ever, you need to get your storable food orders in.
[19:30.640 --> 19:34.000]  Now, we're ready to ship to you within 24 hours of your order.
[19:34.000 --> 19:35.000]  It's high quality.
[19:35.000 --> 19:39.720]  It's very, very low cost at infowarstore.com because in the future, you're going to see
[19:39.720 --> 19:44.040]  more food supply shortages and you're going to see food supply price increases that are
[19:44.040 --> 19:45.040]  already taking place.
[19:45.040 --> 19:51.640]  So, lock in your storable food now at a lower price and fund the infowar at infowarstore.com.
[19:51.640 --> 19:56.280]  That's how you fight the great reset is by being self-sufficient and not under their control.
[19:56.280 --> 20:01.280]  So get prepared now at infowarstore.com.
[20:01.280 --> 20:28.400]  Leading of frontal assault on the lies of the New World Order, it's Alex Jones.
[20:28.400 --> 20:33.320]  Food epic gets overused, but it is certainly the correct term now.
[20:33.320 --> 20:34.840]  Biblical is another great term.
[20:34.840 --> 20:36.320]  Again, I'm Alex Jones, your host.
[20:36.320 --> 20:41.320]  Thank you for joining us on this live Sunday, December 19th, global transmission.
[20:41.320 --> 20:42.520]  So I want to explain something.
[20:42.520 --> 20:49.120]  A lot of listeners have asked on air and off air, why don't you talk about Jan 6th more?
[20:49.120 --> 20:54.120]  And I mean, I've talked about it quite a bit, but not as much as some people who were there
[20:54.120 --> 21:02.120]  and witnessed it because there's so many other big giant events unfolding and taking place.
[21:02.120 --> 21:08.480]  That said, I'm going to be talking about Jan 6th quite a bit now here on air, not just
[21:08.480 --> 21:11.320]  the political prisoners that we have covered a lot and should be covered.
[21:11.320 --> 21:15.320]  It's absolutely un-American, so dangerous and criminal what's happening and if it can
[21:15.320 --> 21:20.920]  be done to them, it can be done to any of us and all of us.
[21:20.920 --> 21:29.960]  But Jan 6 and the way it's now being used by the Democrats in the deep state is the biggest
[21:29.960 --> 21:36.640]  domestic issue in America coming up to the midterms in 324 days, because as I've been
[21:36.640 --> 21:45.280]  saying every day here for months, they are planning to pull something big before the
[21:45.280 --> 21:50.680]  midterm elections that are so critical where they're cool against America could be overwritten
[21:50.680 --> 21:57.280]  by a gigantic landslide that despite their mail-in ballots, they're going to pull again.
[21:57.280 --> 22:04.120]  The landslide is so huge, they have no way to overwrite it, and that's what the experts
[22:04.120 --> 22:05.120]  break down.
[22:05.120 --> 22:06.120]  That's what the numbers show.
[22:06.120 --> 22:10.640]  They tried to steal Texas, they tried to steal Florida, but they ran out of dead people
[22:10.640 --> 22:17.160]  votes and people that had moved out of state votes and illegal alien votes that they registered
[22:17.160 --> 22:18.160]  and put.
[22:18.160 --> 22:25.160]  So everything they had, but the landslide was so huge in Texas and so huge in Florida
[22:25.160 --> 22:26.320]  they failed.
[22:26.320 --> 22:30.920]  They ran out of bullets.
[22:30.920 --> 22:33.920]  And so they don't know what to do.
[22:33.920 --> 22:41.840]  Even their mainline polls show 80% of Republicans know the election was stolen and 45% of Democrats.
[22:41.840 --> 22:48.280]  And Biden in establishment polls that they admittedly add 15% more Democrats to the polling
[22:48.280 --> 22:52.680]  group arguing there's more Democrats than Republicans, that's not even true, to then
[22:52.680 --> 22:59.400]  sway opinion to make it look like people are really voting Democrat, even in those polls
[22:59.400 --> 23:04.440]  Biden has a 30 to 33% number.
[23:04.440 --> 23:11.160]  The lowest since scientific polling began 120 years ago, roughly.
[23:11.160 --> 23:17.440]  He has the lowest poll numbers ever recorded lower than Jimmy Carter before he left office
[23:17.440 --> 23:27.440]  lower than Richard Nixon when he was removed by stepping down more than anybody.
[23:27.440 --> 23:31.480]  The worst approval rating ever because he's not really the president.
[23:31.480 --> 23:32.480]  Everybody knows it.
[23:32.480 --> 23:34.000]  It's a sick joke.
[23:34.000 --> 23:41.000]  I mean Kamala Harris got a quarter point of black voters when she was running for president
[23:41.000 --> 23:42.920]  of the primaries, a quarter point.
[23:42.920 --> 23:44.720]  No one else got even near that low.
[23:44.720 --> 23:50.200]  And with whites she got almost 1%.
[23:50.200 --> 23:58.760]  Black people hate her because the woman you can look at her has zero apricot in her.
[23:58.760 --> 24:05.840]  It's like Elizabeth Warren saying she's a Native American, it's just not true.
[24:05.840 --> 24:09.960]  And Biden likes to say if you don't vote for me you ain't black.
[24:09.960 --> 24:13.560]  Well if you think Kamala Harris is black you ain't black.
[24:13.560 --> 24:22.800]  I mean it's all a sick joke in our faces, ladies and gentlemen.
[24:22.800 --> 24:26.920]  So here we are, ladies and gentlemen.
[24:26.920 --> 24:31.960]  And they are preparing the media, they're preparing the culture, they are on every channel
[24:31.960 --> 24:38.600]  and every local newspaper all over the country saying January 6th was a terror plot by the
[24:38.600 --> 24:44.000]  U.S. military working with Trump and Roger Stone and Alex Jones and General Flynn.
[24:44.000 --> 24:49.200]  And they've got New Republic magazine headlines with General Flynn and Rebel flags behind
[24:49.200 --> 24:55.640]  him and he's going to lead an insurrection, he's going to be a dictator.
[24:55.640 --> 24:59.920]  All of it, 100% bull, went and read the article.
[24:59.920 --> 25:08.320]  But that's the images they're putting out, what's on General Flynn's mind, what's his
[25:08.320 --> 25:14.880]  long-term view, I read the exact headline I read it earlier this morning, the article.
[25:14.880 --> 25:18.080]  But that's where we are.
[25:18.080 --> 25:25.040]  And so they are busy programming the public that the Republicans are going to attack but
[25:25.040 --> 25:29.680]  this time with guns and helicopters and bombs.
[25:29.680 --> 25:36.200]  And General Flynn is going to lead an attack and kill a bunch of people and I mean it's
[25:36.200 --> 25:42.240]  not, in fact, I'll pull it up for you, here it is, type in General Flynn, click news,
[25:42.240 --> 25:46.600]  I'll just do it, it's fine, it's nothing, I'll do it.
[25:46.600 --> 25:54.680]  So this is the point that we've gotten to here, ladies and gentlemen.
[25:54.680 --> 25:58.320]  And it's only going to get worse until we realize it, yes, there's the article.
[25:58.320 --> 26:01.200]  Go ahead and scroll down some of the headlines.
[26:01.200 --> 26:03.200]  What is Michael Flynn's long game?
[26:03.200 --> 26:08.480]  And then the cover of the magazine is burning buildings and a rebel flag with him commanding
[26:08.480 --> 26:10.760]  people to murder everyone.
[26:10.760 --> 26:17.680]  I mean the guy's not even from the south, the guy's from Rhode Island, a Catholic from
[26:17.680 --> 26:24.440]  Rhode Island, but this is how these people operate, no connection to reality, no connection
[26:24.440 --> 26:32.080]  to what is really going on because they don't care, ladies and gentlemen, they're getting
[26:32.080 --> 26:38.960]  ready to stage terror attacks and blame Trump and Flynn and Stone and Jones.
[26:38.960 --> 26:45.720]  You can bet your bottom dollar on it.
[26:45.720 --> 26:48.840]  And that's why when we go to break in a few minutes and I'll come back, you guys print
[26:48.840 --> 26:54.200]  me that article please, we'll come back and we'll go over all the information because
[26:54.200 --> 26:58.800]  I get upset sometimes on a piece of information and I just have to have it or I can't continue
[26:58.800 --> 26:59.800]  on.
[26:59.800 --> 27:05.720]  Everybody's great, I will find the cover of the current New Republic magazine that shows
[27:05.720 --> 27:10.560]  you what I'm talking about because I really have just got to show you that.
[27:10.560 --> 27:13.280]  You just saw the article but I'm going to show you the thing.
[27:13.280 --> 27:15.640]  I must do it, I must show you.
[27:15.640 --> 27:26.520]  So that's where we are and so everybody needs to ask themselves, what are you going to do
[27:26.520 --> 27:27.520]  about it?
[27:27.520 --> 27:28.520]  What should I do about it?
[27:28.520 --> 27:29.760]  What should Alex Jones do about it?
[27:29.760 --> 27:31.480]  What should General Flynn do about it?
[27:31.480 --> 27:33.040]  What should President Trump do about it?
[27:33.040 --> 27:38.840]  Because President Trump is busy, which is nice and cute and fun.
[27:38.840 --> 27:44.880]  Traveling around the country, he was just in Houston, here's a photo of it.
[27:44.880 --> 27:46.880]  There's the New Republic.
[27:46.880 --> 27:51.640]  What is Michael Flynn's long game and it's a bunch of people, rebel flags blowing everything
[27:51.640 --> 27:52.760]  up and killing everybody.
[27:52.760 --> 27:54.600]  Anyway, let's continue.
[27:54.600 --> 27:57.920]  Thousands turn out to see President Trump in Houston.
[27:57.920 --> 28:03.320]  Making video and we'll show you this when we come back next segment.
[28:03.320 --> 28:07.720]  So Trump's running around, having fun and dancing on stage and making fun of Kim Jong
[28:07.720 --> 28:12.960]  Un, the rocket man and telling cutesy stories and that's great and that's wonderful.
[28:12.960 --> 28:17.840]  All the globalists cut off our pipelines, destroy our borders, destroy our currency,
[28:17.840 --> 28:22.440]  try to start wars with Russia, sell us out to all these foreign powers, brainwash our
[28:22.440 --> 28:30.760]  children, censor the American people and the Republican Party.
[28:30.760 --> 28:38.720]  Blue Bloods are just going along with the whole thing and Trump is still at Marlago
[28:38.720 --> 28:44.360]  like he's at the prom every night wearing a frickin' tuxedo and I'm not even mad at
[28:44.360 --> 28:45.360]  Trump.
[28:45.360 --> 28:46.360]  I'm not mad at any of these people.
[28:46.360 --> 28:48.400]  I'm just like, do they understand how screwed they are?
[28:48.400 --> 28:52.280]  The deep state's getting ready to blow stuff up and blame it on you, you dumb bastard.
[28:52.280 --> 28:53.280]  Get all mighty.
[28:53.280 --> 29:00.320]  At least Flynn knows what's going on, geez.
[29:00.320 --> 29:05.880]  So this could be literally your last chance with all the insane things happening in the
[29:05.880 --> 29:12.480]  world to get Enforced products and to support us into 2022, the do or die year, store-wide
[29:12.480 --> 29:18.440]  free shipping, double-patriot points, Brainforce Plus, 50% off, Amazing Neutropic, Ultimate
[29:18.440 --> 29:23.280]  Crill Oil, back-and-stop, highest-rated Crill Oil, so good for your whole body, 50% off.
[29:23.280 --> 29:28.080]  We've got Knockout Sleep Support, 50% off, Hair and Beard Support, 60% off.
[29:28.080 --> 29:33.080]  We also have COVID Land 2, the Mask Film, and when you order the very important film,
[29:33.080 --> 29:36.720]  you get a free DVD with two films on it about Bohemian Grove.
