[00:00:00.049 --> 00:00:01.757]  A Russian member of parliament says U.S.
[00:02:53.796 --> 00:02:58.759]  Let's go to Michael Rivero, who's joining us to talk about this, and also the Gonzales hearings.
[00:02:58.759 --> 00:03:07.083]  We've got an audio clip coming up where Gonzales says that George Washington had electronic surveillance and surveilled us, and it's as American as George Washington, folks.
[00:03:07.083 --> 00:03:10.465]  So, if you're not for a police state, you're against George Washington.
[00:03:10.465 --> 00:03:12.966]  Michael, it's always great to have you here for your monthly visit.
[00:03:13.526 --> 00:03:15.347]  Thank you for having me on the show, Alex.
[00:03:15.347 --> 00:03:17.788]  You bet, and you've got WhatReallyHappened.com.
[00:03:17.788 --> 00:03:21.550]  We've got a big fat link to it up on InfoWars.com.
[00:03:21.550 --> 00:03:28.093]  But you just heard me going over what this Russian Member of Parliament is saying, mirroring analysis from Kurt Nemo, yourself, myself.
[00:03:28.093 --> 00:03:29.614]  Give us your take on it.
[00:03:29.614 --> 00:03:41.100]  Well, very obviously the United States has already decided they're going to go to war in Iran, much as they had decided for war in Iraq weeks or even months before it was announced to the public at large.
[00:03:41.913 --> 00:03:50.740]  The timing of the attack very clearly aligns with Iran's plan to open an oil bourse, which would trade Iran's oil in Euros.
[00:03:50.740 --> 00:03:57.426]  This, of course, would have a negative effect on the value of the dollar overseas, since it was no longer required to buy petroleum products.
[00:03:57.870 --> 00:04:16.462]  And this, of course, is one of the real issues behind this sudden decision to start invading Middle East countries left and right, because prior to the invasion of Iraq, Saddam Hussein started trying to negotiate to price the oil in the oil-for-food program based on euros rather than dollars.
[00:04:16.462 --> 00:04:18.023]  And, of course, the U.S.
[00:04:18.023 --> 00:04:27.309]  government sees this as a tremendous threat to our economy, because without that demand for dollars to buy petroleum products, the value of the dollar will fall against all other currencies.
[00:04:29.958 --> 00:04:38.425]  So, very clearly there is a push to go on to war, and this Russian individual definitely has it correct.
[00:04:38.425 --> 00:04:41.308]  There doesn't seem to be really any way to stop it.
[00:04:41.308 --> 00:04:46.312]  Well, let's go back to some now ancient history, though it's now just been revealed last week.
[00:04:47.805 --> 00:05:01.000]  I even said at the time when they were flying all those tornado fighter-bomber flights over targets that didn't matter but heavily defended, remember the quote, softening up, while they were quote, negotiating with Saddam, they had a full-scale bombing campaign.
[00:05:01.000 --> 00:05:05.525]  Imagine they're bombing him, Saddam was laying there taking it, not even shooting back.
[00:05:06.025 --> 00:05:10.969]  I mean, that is amazing, but they openly said then they wanted him to shoot some of the plane down.
[00:05:10.969 --> 00:05:12.230]  So that's old news.
[00:05:12.230 --> 00:05:14.652]  Now we learn they wanted to paint up a bunch of U.S.
[00:05:14.652 --> 00:05:16.253]  spy planes like U.N.
[00:05:16.253 --> 00:05:23.058]  planes, fly them low, get them shot down, get our pilots potentially killed, but they didn't even need that.
[00:05:23.058 --> 00:05:24.619]  They just went on to spy it.
[00:05:24.619 --> 00:05:28.922]  Bush also said in the new White House memo, and they're not denying it, this is admitted,
[00:05:30.960 --> 00:05:35.302]  We're going to have a defector come out and say he saw WMD.
[00:05:35.302 --> 00:05:48.767]  So for anybody that wonders if they manufacture this stuff, Michael, you're an expert on the past provocateuring with Mozadek and 53 with Iran, and they've done this so many other times with the Black Panthers and many others.
[00:05:48.767 --> 00:05:51.828]  Fill us in on how they love to stir stuff up.
[00:05:51.828 --> 00:05:58.771]  Well, it's called a false flag operation and basically it's trying to create some trouble that you blame on the other individual
[00:05:59.606 --> 00:06:15.732]  Certainly that story about the UN plane and contained in that same White House memo was the admission that Bush intended to attack Iraq even if no weapons of mass destruction were found, which of course is ultimately what happened.
[00:06:15.732 --> 00:06:22.454]  But this is nothing new for the government and it's kind of interesting, you were mentioning earlier, these very provocative
[00:06:23.334 --> 00:06:24.614]  Now, let's be clear.
[00:06:24.614 --> 00:06:30.116]  I believe in their First Amendment right to do it, but there have always been cartoons of Muhammad.
[00:06:30.116 --> 00:06:32.797]  You can find hundreds of them, making fun of him.
[00:06:32.797 --> 00:06:34.858]  The West made a point of picking a fight about this.
[00:06:49.022 --> 00:07:10.126]  To add to that, again, we know that these are neocon-based papers, and imagine what Christians would do when there's a sitcom, you know, the book of Daniel, making fun of Jesus, or Jesus Christ, that particular, it was called Jesus Christ something, where Jesus Christ is a homosexual, and there were all the big protests.
[00:07:10.126 --> 00:07:12.707]  You know, Christians get mad at this type of stuff too.
[00:07:12.707 --> 00:07:17.588]  I'm not saying that they don't have the right to print it, it's just people act like it's weird that Muslims get mad about it.
[00:07:18.320 --> 00:07:29.203]  Well, what's very interesting, you know, you're talking about free speech because apparently these same newspapers refused to run similar cartoons depicting Jesus in less... in a positive light.
[00:07:29.203 --> 00:07:31.904]  So very clearly there's a bias being shown here.
[00:07:31.904 --> 00:07:46.788]  But as I was watching this whole situation unfold, it reminded me of something that happened back in the 60s at the height of the conflict over civil rights and the Vietnam War and a disproportional number of black people being sent to serve on the front lines.
[00:07:47.568 --> 00:07:50.129]  And there was this group called the Black Panthers.
[00:07:50.129 --> 00:07:53.931]  Now, later on they became very militant and very fearful.
[00:07:53.931 --> 00:08:04.757]  But when they started out, most people don't remember this, when the Black Panthers started out, their agenda was originally breakfasts for children in the ghettos and local control of the school curriculum.
[00:08:04.757 --> 00:08:07.278]  Now, these are, of course, very benign agendas.
[00:08:07.618 --> 00:08:18.790]  But they were considered very threatening to the government which wanted to control the school agenda to steer kids toward a pro-military choices as they got out of the educational system.
[00:08:18.790 --> 00:08:24.316]  So the Black Panthers were starting to get some support and the FBI
[00:08:24.836 --> 00:08:29.801]  Put out this fake coloring book called the Black Panther Coloring Book and it was spread all over.
[00:08:29.801 --> 00:08:31.482]  It was even mailed to households.
[00:08:31.482 --> 00:08:37.728]  My household, which was like totally white, got one of these in the mail and the news were blaming it all on the Black Panthers.
[00:08:37.728 --> 00:08:44.495]  And then in the 70s, when the COINTELPRO hearings took place, it was revealed that this whole comic book was a creation of the FBI.
[00:08:47.437 --> 00:08:52.680]  Now, the government did the same thing with the militias.
[00:08:52.680 --> 00:08:57.023]  The militias started forming, had some good missions in the early 90s.
[00:08:57.023 --> 00:09:02.987]  The government demonized them, put provocateurs in to try to militarize them, to try to radicalize them.
[00:09:03.727 --> 00:09:08.593]  They want you running around in camo instead of running around in real urban camo, a suit and tie.
[00:09:08.593 --> 00:09:12.198]  They don't want you being mainstream, up front, taking over the system.
[00:09:12.198 --> 00:09:20.668]  They want to intimidate you, lie about you, get you to militarize, so then they can really demonize you and then treat you like a military group they can then attack.
[00:09:21.440 --> 00:09:29.904]  And mostly what they want you to do is get you fighting amongst yourself so that you're not fighting them, which was lying behind the Black Panther coloring book.
[00:09:29.904 --> 00:09:36.047]  And now, of course, we have these cartoons which are creating all kinds of friction between Christians and Muslims.
[00:09:36.047 --> 00:09:42.070]  And the very first result, of course, is that Western people and Christians are less willing than ever
[00:09:42.734 --> 00:09:48.058]  Uh, to listen to, uh, legitimate grievances coming from the Islamic world about how they're being treated.
[00:09:48.058 --> 00:10:00.668]  So, that seems to be the first purpose, uh, behind these cartoons, is to prevent people from listening to each other, to keep up the friction, to keep up the hostilities and the anger, uh, so that this communication can't happen.
[00:10:00.668 --> 00:10:01.629]  Well, it's meant... It's exactly.
[00:10:01.629 --> 00:10:05.291]  It's meant to get Europe on board for the attack on Iran.
[00:10:05.291 --> 00:10:05.812]  Absolutely.
[00:10:07.255 --> 00:10:10.097]  I want to add something about the quote, patriot movement.
[00:10:10.097 --> 00:10:16.001]  That's why I call it the truth movement now, and that's why I deal with just the general public, because it is full.
[00:10:16.001 --> 00:10:16.842]  And see, we don't do this.
[00:10:16.842 --> 00:10:24.607]  You go to Infowars.com, you go to PrisonPlanet.com, you go to WhatReallyHappened.com, you don't see people attacking each other.
[00:10:24.607 --> 00:10:30.992]  And even if somebody needs to be attacked, I tend to stay away from it, because so many of them are just disinfo artists.
[00:10:30.992 --> 00:10:35.215]  If they can get us fighting with each other over minutia, they've got the ball game won.
[00:10:36.275 --> 00:10:37.516]  Yeah, absolutely.
[00:10:37.516 --> 00:10:53.167]  And, you know, again, everyone's pushing for this invasion of Iran in March, so it certainly helps if they can get the Muslims, if they can trick the Muslims into behaving in a way that just seems adversarial and destroys any sympathy for the potential targets.
[00:10:54.378 --> 00:10:58.521]  And we saw a lot of the same thing in the run-up of the war, of the invasion of Iraq.
[00:10:58.521 --> 00:11:08.127]  Any way to demonize them, to make them seem less than human, to portray them all as terrorists, in order to justify what was essentially an economically motivated conquest.
[00:11:08.127 --> 00:11:15.772]  And now we know that the Pentagon was running PSYOPs with its Pentagon Office of Strategic Influence domestically and internationally.
[00:11:15.772 --> 00:11:21.476]  We know they premeditated, we have multiple memos from across the Atlantic and here in the U.S.
[00:11:21.476 --> 00:11:24.038]  They don't deny it, that they lied to us on purpose.
[00:11:24.498 --> 00:11:33.081]  And still, some people are going to believe this poison mother's milk that comes down from the government's propaganda ministries.
[00:11:33.081 --> 00:11:34.821]  Michael Rivero is our guest.
[00:11:34.821 --> 00:11:39.683]  A lot of other news coming up as we chronicle the criminal activities of the NWO.
[00:11:39.683 --> 00:11:40.883]  Your call is coming up as well.
[00:11:44.207 --> 00:11:51.235]  For months now, you've been hearing about the incredible health benefits of Zango, the functional health beverage made from the whole fruit of mangosteen.
[00:11:51.235 --> 00:12:04.349]  What you probably didn't know is that Zango joined forces with the leading manufacturer and distributor of functional health beverages like Capri Sun, Sobe, Mystic, and Red Bull to create the fastest growing business opportunity in America today.
[00:12:04.349 --> 00:12:06.131]  Are you sick of barely having enough money?
[00:12:06.311 --> 00:12:10.053]  Are you tired of working so hard yet feeling like you'll never get ahead?
[00:12:10.053 --> 00:12:14.096]  Are you ready to start investing in your own business instead of somebody else's?
[00:12:14.096 --> 00:12:19.339]  Whatever it is you seek, Zango could be that special company that helps you achieve your hopes and dreams.
[00:12:19.339 --> 00:12:21.281]  So take matters into your own hands.
[00:12:21.281 --> 00:12:25.523]  Create a future that doesn't depend on a fickle 401k and lateral promotions.
[00:12:25.523 --> 00:12:27.365]  Zango is what you are looking for.
[00:12:27.365 --> 00:12:28.806]  Find out more by calling 888-203-6666.
[00:12:31.187 --> 00:12:36.468]  Here it is, folks, the 2006 Red Book, the most comprehensive edition ever published.
[00:12:51.098 --> 00:12:55.520]  Midas Resources believes our clients should be as informed as possible.
[00:12:55.520 --> 00:12:57.061]  It includes the history of U.S.
[00:12:57.061 --> 00:13:01.783]  coins, the actual mintages, the grading standards.
[00:13:01.783 --> 00:13:03.864]  Learn the stability of real money.
[00:13:03.864 --> 00:13:06.325]  Protect yourself from fiat currencies.
[00:13:06.325 --> 00:13:08.085]  They are instruments of debt.
[00:13:08.085 --> 00:13:10.707]  Feel the comfort and safety of real money.
[00:13:10.707 --> 00:13:16.169]  Midas will send you the 2006 Red Book and the Genuine Silver Dollar for just $22.95 delivered.
[00:13:18.923 --> 00:13:20.244]  Call Midas today at 1-800-686-2237.
[00:13:20.244 --> 00:13:20.665]  That's 1-800-686-2237.
[00:13:20.665 --> 00:13:22.946]  Don't be lost in a sea of confusion.
[00:13:22.946 --> 00:13:24.227]  Get the 2006 Red Buck.
[00:13:24.227 --> 00:13:26.429]  Help steer your own financial ship.
[00:13:26.429 --> 00:13:27.150]  Call Midas now.
[00:13:27.150 --> 00:13:27.210]  1-800-686-2237.
[00:13:44.307 --> 00:13:53.150]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:13:53.150 --> 00:14:04.634]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, salt for odors, foul tastes, and much, much more.
[00:14:04.634 --> 00:14:07.615]  Yet, they leave in the nutritional minerals that your body needs.
[00:14:07.615 --> 00:14:11.717]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled
[00:14:11.937 --> 00:14:14.238]  And it can be used anywhere on a flat surface.
[00:14:14.238 --> 00:14:16.298]  That's because it has an elevated base.
[00:14:16.298 --> 00:14:22.580]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:14:22.580 --> 00:14:28.222]  It's rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:14:28.562 --> 00:14:32.528]  Get the Berculite, the ultimate filter for only $259 by calling New Millennium at 888-803-4438.
[00:14:32.528 --> 00:14:33.249]  That's toll-free, 888-803-4438.
[00:14:33.249 --> 00:14:33.930]  Not yet available in Iowa.
[00:14:44.423 --> 00:14:45.485]  You don't love me anymore?
[00:14:45.485 --> 00:14:47.668]  You used to take such good care of me.
[00:14:47.668 --> 00:14:49.291]  Is that my car talking to me?
[00:14:49.291 --> 00:14:49.872]  Yes.
[00:14:49.872 --> 00:14:50.893]  You neglect me.
[00:14:50.893 --> 00:14:54.719]  Change my oil late most of the time.
[00:14:54.719 --> 00:14:56.041]  Use the cheapest gas.
[00:14:56.041 --> 00:14:57.263]  I'm getting sick.
[00:14:57.263 --> 00:14:59.426]  One of these days, I'm just gonna give up.
[00:15:00.468 --> 00:15:01.048]  Wait a minute.
[00:15:01.048 --> 00:15:02.910]  I've got three more years of payments on you.
[00:15:02.910 --> 00:15:11.918]  If you want me to last forever, you need to add protected engine treatment, protected transmission treatment, and especially protected complete fuel system treatment.
[00:15:11.918 --> 00:15:17.343]  Protected unique synthetic fortifiers treat the metal and the oil to reduce friction like no other.
[00:15:17.603 --> 00:15:20.145]  Okay, I'll add some Protecta, but you'll have to perform.
[00:15:20.145 --> 00:15:22.346]  How about faster acceleration?
[00:15:22.346 --> 00:15:23.727]  More horsepower?
[00:15:23.727 --> 00:15:25.048]  Longer lasting?
[00:15:25.048 --> 00:15:26.889]  I'll always be there for you.
[00:15:26.889 --> 00:15:30.391]  So if you want more, treat it right with Protecta by SFR.
[00:15:30.391 --> 00:15:34.834]  For a special offer of free shipping, go to www.sfrcorp.com or call 888-USE-SFR1.
[00:15:34.834 --> 00:15:36.134]  That's www.sfrcorp.com or call 888-USE-SFR1.
[00:15:48.172 --> 00:15:51.937]  There's a video clip over the top of whatreallyhappened.com.
[00:15:51.937 --> 00:15:58.586]  Of course, we will get a link over to it or get it posted on prisonplanet.com or infowars.com.
[00:15:58.586 --> 00:16:02.792]  And I got a chance to watch some of the Gonzales hearings yesterday, and here's my take on it.
[00:16:03.786 --> 00:16:11.311]  They know that we're waking up to spying, so they take the most minimized, little, that seems reasonable portion of a constellation of spying.
[00:16:11.311 --> 00:16:25.159]  You know, they admit the Army's watching gun groups, liberal groups, people handing out peanut butter and jelly sandwiches protesting Halliburton corruption, people protesting Enron, bike riding groups that want more rights for bike riders, you know, the CIA's with the NYPD.
[00:16:25.159 --> 00:16:27.180]  I mean, it's massive, folks.
[00:16:27.180 --> 00:16:30.662]  So to legitimize it and put some polls out to legitimize spying itself,
[00:16:31.394 --> 00:16:34.898]  They go, oh, it's just the Bin Laden calls, we want to be able to hear him.
[00:16:34.898 --> 00:16:37.380]  Well, of course FISA court doesn't do that.
[00:16:37.380 --> 00:16:40.643]  It already gives them a blank check, so that's a fraud.
[00:16:40.643 --> 00:16:51.614]  So Gonzales gets up and the inspector and all these other people go, oh, this is terrible what you've done, but then later they're going to try to pass an amendment, and I've looked at it, that actually kind of codifies it where it's partially okay.
[00:16:51.614 --> 00:16:53.556]  Because there's already laws that say it's wrong.
[00:16:53.556 --> 00:16:54.777]  We don't need new amendments.
[00:16:55.932 --> 00:17:01.999]  And Michael Rivero's got a clip of Gonzales trying to say, well, this is as American as George Washington.
[00:17:01.999 --> 00:17:04.501]  Michael, why don't you set this clip up for us?
[00:17:04.501 --> 00:17:09.887]  Well, basically it's a clip that just came out of the hearings into the NSA spy scandal.
[00:17:09.887 --> 00:17:17.835]  And of course, Gonzales is trying to justify George Bush's spying on ordinary Americans.
[00:17:18.355 --> 00:17:20.756]  There was no such thing as electronic surveillance in George Washington's era.
[00:17:45.069 --> 00:17:46.630]  Yeah, that's exactly it.
[00:17:46.630 --> 00:17:52.293]  And it's silly to look at on the face and you can say, well, he's under the heat of the investigation.
[00:17:52.293 --> 00:17:56.315]  The first electronic surveillance was in the Civil War with the Telegraph.
[00:17:56.315 --> 00:17:57.215]  Absolutely.
[00:17:57.215 --> 00:18:05.299]  But the point is that Gonsalves is just making these broad sweeping statements to excuse away Bush's behavior.
[00:18:05.299 --> 00:18:08.901]  I don't believe he's actually under oath at these hearings.
[00:18:08.901 --> 00:18:12.163]  I'm surprised you didn't say that maybe Jesus did it or something.
[00:18:13.374 --> 00:18:15.055]  Well, could very well be.
[00:18:15.055 --> 00:18:20.337]  But basically he's just trying to say that everybody does it, therefore it's okay for Bush to do it.
[00:18:20.337 --> 00:18:25.900]  And the fact of the matter is that if we are going to be a nation of laws, then the President has to set the example.
[00:18:25.900 --> 00:18:28.301]  And he admittedly broke a whole bunch of them in their felonies.
[00:18:28.301 --> 00:18:29.302]  Let's roll the clip.
[00:18:29.302 --> 00:18:31.783]  Here's Lord Gonzales.
[00:18:31.783 --> 00:18:37.486]  225 years use of the exercise of the power of Commander-in-Chief.
[00:18:37.486 --> 00:18:41.728]  I gave in my opening statement some examples where President Washington
[00:18:42.541 --> 00:18:51.703]  President Lincoln, President Wilson, President Roosevelt have all authorized electronic surveillance on a far broader scale.
[00:18:51.703 --> 00:18:54.564]  Was there any kind of probable cause?
[00:18:54.564 --> 00:18:58.265]  Lincoln too, huh?
[00:18:58.265 --> 00:18:59.625]  Just everyone.
[00:18:59.625 --> 00:19:05.766]  Yeah, he just called all the names for the Magic Charm and said they did it too, therefore Bush is equal with them.
[00:19:05.766 --> 00:19:08.207]  And of course it is a silly statement and even if
[00:19:08.786 --> 00:19:13.207]  All those presidents conducted surveillance, electronic or otherwise, of Americans.
[00:19:13.207 --> 00:19:16.408]  If they did it without a warrant, they were committing a crime.
[00:19:16.408 --> 00:19:22.990]  Oh, I know, they always said... I mean, maybe like if they found a serial killer with 25 bodies in the backyard and he said, well, I killed 25 before.
[00:19:22.990 --> 00:19:24.771]  Why can't I just kill one more?
[00:19:24.771 --> 00:19:26.051]  Yeah, it is.
[00:19:26.051 --> 00:19:26.731]  It's the same thing.
[00:19:26.731 --> 00:19:27.631]  It's still illegal.
[00:19:27.631 --> 00:19:29.352]  It's still a crime.
[00:19:29.352 --> 00:19:31.833]  You know, Bush should be impeached not only for that.
[00:19:31.833 --> 00:19:34.833]  Well, number one, the people doing it are the terrorists.
[00:19:34.833 --> 00:19:36.474]  They carried out the attacks.
[00:19:36.474 --> 00:19:36.634]  Yes.
[00:19:37.695 --> 00:19:39.083]  So, I mean, that's the foundation.
[00:19:41.696 --> 00:19:43.197]  People are mad about this spying, though.
[00:19:43.197 --> 00:19:50.361]  Do you think it's going to bring them down, or are they just going to use Iran as the next smokescreen, upping the Ponzi scheme?
[00:19:50.361 --> 00:20:07.149]  I think that probably that Bush and his administration are thinking that by the time they get to March and they crank up the war in Iran, they'll be able to play the, you know, we're in the middle of a war, you can't annoy the President with these small little piddling things, and anybody who's trying to bring the President... And then the Iranians hit us with an A-bomb!
[00:20:07.149 --> 00:20:10.511]  After that point, everyone knew that the leader needed to be followed.
[00:20:11.091 --> 00:20:12.052]  Yeah, something like that.
[00:20:12.052 --> 00:20:18.358]  I'm frankly surprised, I'm glad, but I'm also surprised that we didn't see a staged terror attack at the Super Bowl.
[00:20:18.358 --> 00:20:23.984]  Of course, we still have the rest of the Olympics to get through, but Bush and his people may just feel it's not necessary.
[00:20:23.984 --> 00:20:27.187]  They give the orders, the orders are followed, nobody's standing up to them.
[00:20:29.309 --> 00:20:32.130]  Absolutely, and you know I have a feeling it is a little troubling to see
[00:20:46.676 --> 00:20:47.497]  Absolutely, absolutely.
[00:20:47.497 --> 00:20:49.679]  He did focus a little more on domestic policies, I think because
[00:21:05.994 --> 00:21:09.816]  At least among the public, the war has become a real election loser.
[00:21:09.816 --> 00:21:23.767]  But I think it's an indication of how out of control election fraud has become in this country, that Congress and the President don't seem all that concerned about the negative impact that a war in Iran is likely to have on the November elections.
[00:21:23.767 --> 00:21:25.809]  We'll be right back with Michael Rivero.
[00:21:25.809 --> 00:21:26.789]  I'm Alex Jones.
[00:21:26.789 --> 00:21:30.512]  Your calls and a ton of other key news items, straight ahead, PrisonPlanet.tv.
[00:21:34.042 --> 00:21:37.969]  We're on the march, the empire's on the run.
[00:21:37.969 --> 00:21:40.654]  Alex Jones and the GCN Radio Network.
[00:21:45.160 --> 00:21:49.882]  If you think your engine is safe by having the oil changed every 3,000 miles, think again.
[00:21:49.882 --> 00:21:53.624]  Every time you start your car, your engine creates friction between the moving parts.
[00:21:53.624 --> 00:22:01.987]  These moving parts wear against each other, and the result is small metal particles circulating through your oil, causing premature wear and damage to your engine.
[00:22:01.987 --> 00:22:07.630]  Oil filters do a good job of trapping the large metal particles, but they will not trap the most harmful tiny particles.
[00:22:07.930 --> 00:22:13.434]  These tiny particles circulate constantly through your oil and over time your engine begins to show signs of wear.
[00:22:13.434 --> 00:22:15.775]  This is why you need the Filter Mag.
[00:22:15.775 --> 00:22:27.923]  The Filter Mag is a powerful magnet that holds itself to the outside of your oil filter, trapping the tiny metal particles to the inside wall of the filter, extending the life of your oil and ultimately extending the life of your engine.
[00:22:28.183 --> 00:22:32.805]  The reusable FilterMag is maintenance-free, installs in two seconds, and lasts forever.
[00:22:32.805 --> 00:22:33.925]  So what are you waiting for?
[00:22:33.925 --> 00:22:35.686]  Go to FilterMag.com.
[00:22:35.686 --> 00:22:37.747]  That's FilterMag.com.
[00:22:37.747 --> 00:22:38.227]  Or call 800-345-8376.
[00:22:38.227 --> 00:22:38.427]  That's 800-345-8376.
[00:22:45.203 --> 00:22:48.526]  More than 700 chemicals have been found in our drinking water.
[00:22:48.526 --> 00:22:53.711]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[00:22:53.711 --> 00:22:58.375]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[00:22:58.375 --> 00:23:07.483]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[00:23:07.483 --> 00:23:11.106]  The media is non-toxic, environmentally sound, and is recyclable.
[00:23:11.386 --> 00:23:16.711]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[00:23:16.711 --> 00:23:23.937]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:23:23.937 --> 00:23:25.239]  What about you?
[00:23:25.239 --> 00:23:30.643]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[00:23:30.643 --> 00:23:31.664]  Call now to order at 1-888-803-4438.
[00:23:38.090 --> 00:23:39.411]  Order today and save $14 by calling 1-888-803-4438.
[00:23:39.411 --> 00:23:42.574]  Do you desire your health and vitality to be in harmony with the rhythms of nature?
[00:23:56.378 --> 00:24:05.385]  TriVortex technology features subtle energy products that boost energy levels, release pain and stress, and much more at very affordable prices.
[00:24:05.385 --> 00:24:13.331]  You have the opportunity to wear vitamins, minerals, and nutrients that absorb through your skin rather than taking them orally.
[00:24:13.331 --> 00:24:15.773]  This is real, not science fiction.
[00:24:15.773 --> 00:24:24.440]  Go to TriVortex.com, that is T-R-I-V-O-R-T-E-X.com to open a whole new realm of health and vitality for you and your family.
[00:24:26.937 --> 00:24:37.081]  This is Brian David Anderson, inventor of TriVortex technology products that assist in so many areas, such as pain relief, symptoms of menopause, losing weight, or stopping smoking.
[00:24:37.081 --> 00:24:41.003]  TriVortex technology is in harmony with the rhythms of nature.
[00:25:02.775 --> 00:25:08.319]  We see this in criminal enterprises, in Ponzi schemes predominantly.
[00:25:08.319 --> 00:25:17.164]  That's a scam where you take people's investments in and you pay off the previous investors and then publicize how much money they made and how great the investment is.
[00:25:17.164 --> 00:25:21.887]  And you build up the pyramid scheme bigger and bigger and bigger and bigger.
[00:25:23.064 --> 00:25:29.467]  And then you blow it out and leave town with a huge war chest of goodies.
[00:25:29.467 --> 00:25:31.048]  Of cash.
[00:25:31.048 --> 00:25:32.108]  Of gold.
[00:25:32.108 --> 00:25:33.909]  Of wealth.
[00:25:33.909 --> 00:25:34.789]  And that's what they do.
