[00:00.000 --> 00:02.000]  You've got it
[11:06.480 --> 11:08.480]  It's been reported by witnesses
[11:09.920 --> 11:14.640]  Oh, he had a heart attack or had some heart problems. Maybe they poisoned him then he's 43
[11:14.640 --> 11:19.200]  The point is the timing of this him saying i'm gonna bring you down obama. Oh, yeah
[11:19.760 --> 11:25.200]  You know get and jumping up and down at c-pac three weeks ago and telling people in you know march 1st
[11:25.200 --> 11:29.120]  It's over for obama and he dies march 1st. Let me come on mama didn't raise a fool
[11:30.960 --> 11:32.640]  Foul play
[11:32.640 --> 11:35.120]  My gut tells me it's absolute foul play and my gut
[11:36.720 --> 11:39.520]  The more I listen to my gut the better my life gets
[11:39.520 --> 11:45.440]  I just can't believe how accurate it is. So I still just don't go off my gut, but it's it's it's got a perfect record
[11:46.000 --> 11:48.000]  perfect unless i'm tired
[11:48.800 --> 11:53.600]  Uh, or uh, you know a too big a meal then my gut doesn't work because it's working on something else
[11:54.000 --> 11:58.000]  But here it is andrew brightbart corner wants to cover all the bases
[11:58.560 --> 12:04.640]  And uh, we'll be looking uh at all the causes including foul play. That's los angeles times. So there you go
[12:04.640 --> 12:10.240]  You know, I told you the big telltale sign he was killed is that within less than two hours of him being killed
[12:10.320 --> 12:14.160]  I went look to the timestamps on the articles. They were announcing that it was natural causes
[12:16.320 --> 12:18.720]  Now when that starts happening you better look out
[12:20.240 --> 12:24.560]  And then I said if they don't release the footage he was going to release march 1st. Look out now. They're saying two weeks
[12:28.400 --> 12:32.320]  So out of all these things going on in the world that are are more important
[12:32.320 --> 12:37.600]  And this individually though signals if it wasn't assassination, I hope it wasn't and maybe it's not
[12:39.760 --> 12:44.240]  It's scary because you know it came out in the newspapers a few years ago that i'm on the white house enemies list
[12:44.320 --> 12:48.240]  So is uh, andrew brightbart. So is matt drudge and now it's been
[12:48.960 --> 12:52.480]  Lawsuits have been filed and they've gotten the documents that drudge is spied on
[12:53.760 --> 12:58.400]  By homeland security. I mean they track everything and of course, uh
[12:58.400 --> 13:03.440]  Liberty guard headed up by bob bar has been suing. We got to get by the way get the former congressman back on
[13:03.520 --> 13:07.360]  He said he'd come back on he's been he's now suing. I'm trying to get
[13:08.640 --> 13:16.960]  For a request for searches of alex jones info wars.com drudgereport.com and things like that because their internal whistleblower told them
[13:17.680 --> 13:20.800]  That uh people that complain and stuff they're putting on the list
[13:20.800 --> 13:27.840]  Uh and that they were basically surveilling and and telling their employees that we're basically terrorist
[13:27.840 --> 13:33.520]  And that was like six months ago eight months ago bob bar was given that by sources and he's been suing asking for it
[13:33.520 --> 13:37.440]  They they well first he the foyer and they declared national security. So now he's suing
[13:37.600 --> 13:44.800]  So all of this is going on and big sis admits she reads our articles and you know, they're on drudge on other sites and does not like them
[13:45.520 --> 13:49.520]  And yeah, i'm going up against these corrupt individuals in homeland security
[13:49.520 --> 13:52.880]  That have been caught shipping guns into mexico to blame the second amendment
[13:54.320 --> 13:57.680]  So there's the news on that front erin dyke says a big report out
[13:58.320 --> 14:05.760]  On it right now at info wars.com. He's up here working on sunday the great Stalinist purge of media critics
[14:06.640 --> 14:08.640]  On obama's reported enemies list
[14:11.280 --> 14:17.280]  It's reported in an oh nine obama's enemies list a roadmap for a great purging of critics in the lead up to 2012 elections
[14:17.280 --> 14:19.840]  Well, if they'll ship guns into mexico that have killed 2,000 people
[14:20.880 --> 14:22.880]  In mexico hundreds here including
[14:23.920 --> 14:31.760]  What is it now three border patrol agents and three police officers 100 killed and it was 100 to blame the second amendment g
[14:33.280 --> 14:40.400]  If they'll fund al-qaeda to attack libya and take it over and purge tens of thousands of black people that's on record now
[14:40.400 --> 14:43.760]  We first told you with tarp Lee and others who went there to witness it
[14:43.760 --> 14:47.280]  And I had tarp Lee on while bombs were going off and the phone line would cut out here
[14:48.000 --> 14:50.000]  Boom
[14:50.000 --> 14:51.120]  And then you know the phone line would cut out
[14:52.480 --> 14:56.240]  And he said yes, they're lining blacks up and shooting them and then months later
[14:56.800 --> 15:01.200]  All the news here is like yeah, there's a big purge. I mean what on earth is going on here
[15:02.000 --> 15:07.680]  And now i'm unpatriotic because i don't support al-qaeda. Well, look if that's unpatriotic, then i'm sorry i'm not patriotic
[15:08.640 --> 15:11.200]  And then if it's patriotic have the tsa federal eyes
[15:11.200 --> 15:17.280]  And then if it's patriotic have the tsa federalizing everything if it's patriotic they have wide open borders while you say give up our rights
[15:18.960 --> 15:24.960]  You know my point about these horrible twisters is they don't tell people have storm sellers here in austin where i live and we're in tornado alley
[15:26.720 --> 15:28.720]  I was looking it up in central texas
[15:29.680 --> 15:33.760]  In just the last 20 years there's been over 300 deaths from tornadoes
[15:34.960 --> 15:36.960]  I mean how many they're killing jerry
[15:36.960 --> 15:40.400]  There's a whole bunch just in one one wheel in just a few minutes
[15:41.040 --> 15:47.200]  But but but again. Oh be scared of terrorism. You got a better chance of dying from honeybeesting or champagne cork or slipping in the shower
[15:47.760 --> 15:52.400]  Or tornadoes, but oh my gosh. Let's not get prepared for any of that or spiders biting you
[15:53.200 --> 15:59.200]  Or deer jumping out in front of you. Let's freak out about the scary man. It's all about the system power grabbing your tax money
[15:59.200 --> 16:06.240]  Hi folks, this is alex jones. I'm looking for people that have the wisdom to spot savings opportunity and recognize risk
[16:06.400 --> 16:13.200]  Saving means to make money the cow been pure soap company can save you thousands of dollars and give you good old-fashioned real soaps
[16:13.440 --> 16:16.720]  That are triple concentrated and twice as good as what you're using now
[16:17.120 --> 16:22.240]  Soaps made from vegetable and coconut oils that contain no useless dyes
[16:22.240 --> 16:27.840]  Perfumes deodorants or antibacterials your risk is the hundreds of hazardous toxins
[16:27.840 --> 16:29.840]  hundreds of hazardous toxic detergents
[16:30.080 --> 16:35.920]  That give you rashes itching sores and deteriorating clothing called lint if you want something better
[16:36.000 --> 16:39.840]  If you want something you've never had before you have to do something you've never done before
[16:40.080 --> 16:48.000]  Getting a free catalog is easy by calling 800-340-7091 or see calbin on the web at five stars soap dot com
[16:48.000 --> 16:59.360]  A little over a year ago
[16:59.360 --> 17:05.360]  I began to do a lot of research into why even if I had a pretty good size meal that I was still starving
[17:05.360 --> 17:13.360]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world
[17:13.360 --> 17:21.360]  Are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves
[17:21.360 --> 17:23.360]  Fight off cancer and be healthy
[17:23.360 --> 17:29.360]  I then searched out the best vitamin and mineral company out there and discovered young jevity
[17:29.360 --> 17:33.360]  The young jevity products are designed to give you the real nutrition you need
[17:33.360 --> 17:37.360]  And once you've got that you don't have to eat as much to be satisfied
[17:37.360 --> 17:41.360]  I've lost 37 pounds in two months
[17:41.360 --> 17:45.360]  Simply getting the vitamins and minerals I need
[17:45.360 --> 17:47.360]  Check it out for yourself, it's incredible
[17:47.360 --> 17:53.360]  Go to infowarsteam.com today and order your first canister of beyond tangy tangerine
[17:53.360 --> 17:57.360]  Complete multivitamin mineral complex dietary supplement
[17:57.360 --> 18:13.360]  infowarsteam.com
[18:27.360 --> 18:31.360]  The new alex jones quick fix family pack save you so much money
[18:31.360 --> 18:35.360]  The savings from eating this food will actually help you pay your other bills
[18:35.360 --> 18:39.360]  No matter what effect the mid-east crisis or the crashing economy have
[18:39.360 --> 18:43.360]  You'll have food as delicious tonight as 25 years from now
[18:43.360 --> 18:47.360]  Order now for 50% savings and free shipping on these affordable family packs
[18:47.360 --> 18:59.360]  Call 800-409-5633 or efoodsdirect.com slash alex
[18:59.360 --> 19:03.360]  This is alex jones with five good reasons you should consider buying a solar power generator
[19:03.360 --> 19:07.360]  Number one, new climate legislation could easily double or triple your electric bill
[19:07.360 --> 19:13.360]  Number two, our new energies are wants to control how much power your electric company allows you to have
[19:13.360 --> 19:19.360]  It's true, total government control of electricity in the name of smart grid technology is coming
[19:19.360 --> 19:23.360]  Number three, in some areas of the country the power grid is dangerously overloaded
[19:23.360 --> 19:27.360]  And now new socialist legislation is only compounding the problem
[19:27.360 --> 19:31.360]  Number four, dangerous weather is always a threat to local grids
[19:31.360 --> 19:35.360]  Every year thousands of families lose their power from weather related onages
[19:35.360 --> 19:39.360]  Number five, a solar power generator provides powerful backup insurance and peace of mind
[19:39.360 --> 19:43.360]  Folks, I really believe in the solar power generators offered by Solutions from Science
[19:43.360 --> 19:45.360]  One of my oldest sponsors
[19:45.360 --> 19:49.360]  You can get more information at www.mysolarbackup.com
[19:49.360 --> 19:51.360]  That's mysolarbackup.com
[19:51.360 --> 19:55.360]  Remember, the government doesn't own the sun, so go to mysolarbackup.com
[19:55.360 --> 20:09.360]  or call 1-877-327-0365
[20:25.360 --> 20:31.360]  All right, let me tell you some of the other big news that's obviously coming up today
[20:31.360 --> 20:33.360]  ahead of Dr. Corsi joining us
[20:33.360 --> 20:39.360]  Russian election, cheerful Vladimir Putin wins presidency
[20:39.360 --> 20:42.360]  And there's clear evidence of election fraud over there
[20:42.360 --> 20:46.360]  You can go over it if you want, but it's there
[20:46.360 --> 20:48.360]  But there's also media critics being silenced and things
[20:48.360 --> 20:52.360]  And there's election fraud in this nation, you better believe it
[20:52.360 --> 20:56.360]  When Ron Paul was winning early states, they just stole him in Iowa and Maine
[20:56.360 --> 21:00.360]  And it came out weeks and months later that they were stolen
[21:00.360 --> 21:03.360]  And they just say, we're not going to discuss it, move along
[21:03.360 --> 21:08.360]  And then it becomes a self-fulfilling prophecy that Romney is the man
[21:08.360 --> 21:13.360]  And between all of them, it doesn't matter
[21:13.360 --> 21:18.360]  I mean, Newt Gennrich is so bad that I guess Santorum or Mitt Romney are better
[21:18.360 --> 21:21.360]  I can't believe I just said that, but with somebody as bad as Gennrich
[21:21.360 --> 21:22.360]  I mean, that's just the way it is
[21:22.360 --> 21:25.360]  But it doesn't matter because they're just puppets
[21:25.360 --> 21:28.360]  Ron Paul's a real candidate, so he was shut out
[21:28.360 --> 21:32.360]  Oh, but Ahmed Denizad is in trouble
[21:32.360 --> 21:36.360]  He's coming very close to losing their seats in parliament
[21:36.360 --> 21:41.360]  And then of course, then that'll force him out and there'll be a new president
[21:41.360 --> 21:45.360]  But it doesn't matter because they're the moulas choose who can get on the ballot
[21:45.360 --> 21:49.360]  So it's kind of like here, the elites decide, okay, you can vote for Obama or Romney
[21:49.360 --> 21:52.360]  They both are paid for by Goldman Sachs on record
[21:52.360 --> 21:56.360]  And the former head of Bain Capital is going to be the head economic guy for Obama
[21:56.360 --> 21:59.360]  I mean, the guy that Mitt Romney hired and trained and works for him
[21:59.360 --> 22:02.360]  And Romney still owns a big part of Bain Capital
[22:02.360 --> 22:03.360]  It's in a blind trust
[22:03.360 --> 22:05.360]  Now works for Obama
[22:05.360 --> 22:08.360]  I mean, there is no difference, zero
[22:08.360 --> 22:15.360]  With those two guys, it is literally like WWF, Hulk Hogan versus Andre the Giant
[22:15.360 --> 22:19.360]  It isn't real, and I still run into adults that tell me wrestling's real
[22:19.360 --> 22:23.360]  You're the same folks that believe in Santa Claus, okay?
[22:23.360 --> 22:29.360]  And Ron Paul comes along and says, I'm not going to play along with the Santa Claus game
[22:29.360 --> 22:33.360]  And everybody freaks out
[22:33.360 --> 22:36.360]  And that's all that's happening, that's all that's going on here
[22:36.360 --> 22:41.360]  Okay, that said
[22:41.360 --> 22:44.360]  We're going to be getting into that
[22:44.360 --> 22:48.360]  Continuing here
[22:48.360 --> 22:54.360]  I want to get into a news piece that we're going to air at the end of this hour
[22:54.360 --> 22:57.360]  That isn't even really about the particular story I'm going to be covering
[22:57.360 --> 23:11.360]  But it's about how the police and other government systems are so used to dealing with media that just regurgitates whatever they say
[23:11.360 --> 23:16.360]  That they were completely blown away when we went out a few months ago
[23:16.360 --> 23:24.360]  And pointed out that they're buying millions and millions of dollars worth of armored gunboats with giant machine guns mounted on them
[23:24.360 --> 23:29.360]  And then it's a dangerous precedent, and now the media is using the term gunboat
[23:29.360 --> 23:36.360]  KVUE here in Austin and a bunch of other TV stations and publications
[23:36.360 --> 23:42.360]  So when my reporter showed up to film new boats with machine guns, giant machine guns mounted on them
[23:42.360 --> 23:44.360]  They just flipped out on them
[23:44.360 --> 23:49.360]  And then started calling our local affiliate 590 that we're on right now
[23:49.360 --> 23:51.360]  Trying to engage in a PSYOP
[23:51.360 --> 23:57.360]  So this is going to be a great teaching moment for the public but also for the Texas State Police
[23:57.360 --> 24:03.360]  Who are famous for files on people and illegal spy rings and things in the 70s and 80s that got shut down
[24:03.360 --> 24:08.360]  DPS intelligence, they're all back at their old tricks, it's subsidiary of Homeland Security
[24:08.360 --> 24:11.360]  The last DPS director was not going along with this so he's out
[24:11.360 --> 24:14.360]  And I've seen a lot of changes now that they got rid of the last director
[24:14.360 --> 24:17.360]  And I don't like it, and it's dangerous
[24:17.360 --> 24:20.360]  And what I saw out of them is creepy
[24:20.360 --> 24:23.360]  And that's why we're going to have to now examine the state police very closely
[24:23.360 --> 24:27.360]  And you are not on our radar screen, you are on it now
[24:27.360 --> 24:28.360]  Big time
[24:28.360 --> 24:32.360]  And obviously you're running scared, the wicked flea when none pursue
[24:32.360 --> 24:37.360]  So I don't know why you flipped out like this
[24:37.360 --> 24:44.360]  But wait till you hear the story, I mean it is bizarre, bizarre what happened
[24:44.360 --> 24:50.360]  So that is coming up with that report, with the video report of us trying to get to interview with their spokesman
[24:50.360 --> 24:59.360]  Okay, this next piece of news before I get into the big news I ran was so crazy
[24:59.360 --> 25:03.360]  And I called Paul Watson about this this morning and he said, you don't know, it's been out since Friday
[25:03.360 --> 25:07.360]  We posted it Friday, Georgia Port had it Friday, you don't know about this
[25:07.360 --> 25:13.360]  And I said no, and I read three different mainstream articles and I cannot believe this
[25:13.360 --> 25:18.360]  I cannot get my mind around it because it's so crazy
[25:18.360 --> 25:21.360]  It's so crazy
[25:21.360 --> 25:30.360]  You've heard of the TSA, making women drink their own breast milk to make sure it's not a bomb
[25:30.360 --> 25:36.360]  It's all about arbitrary, everybody's a terrorist, take your shoes off, take your belt off, go in a scanner
[25:36.360 --> 25:39.360]  We're going to touch your genitals, it's all slave training, prisoner training
[25:39.360 --> 25:42.360]  They admit that's what it is, and it's training everybody for federalization
[25:42.360 --> 25:49.360]  An unbonded, unsworn, non-police kind of brown shirt, brigade, every third world country does this
[25:49.360 --> 25:55.360]  They set up like an auxiliary oppression force
[25:55.360 --> 25:59.360]  Because the police are trained at least to know something in the Bill of Rights and Constitution
[25:59.360 --> 26:04.360]  You know, the cops don't pull you over and go, just randomly, okay, everybody, I pull over, I grab your genitals
[26:04.360 --> 26:08.360]  Everybody knows that's illegal violation of the Fourth Amendment, it's a violation of the Tenth Amendment
[26:08.360 --> 26:18.360]  And I've seen cases, literally hundreds of cases where they now make women go behind closed doors and take their bras off
[26:18.360 --> 26:20.360]  So that women can fondle them
[26:20.360 --> 26:24.360]  Look, why is it okay for same sex to fondle you?
[26:24.360 --> 26:30.360]  I mean, in a way, I'd kind of like the opposite sex to fondle me, not that I like it, but it might be a little better
[26:30.360 --> 26:34.360]  It's kind of like a couple times a year, I go get a massage and I request a woman
[26:34.360 --> 26:38.360]  It's not because I'm going to be doing anything with them in there, or a happy ending as they call it
[26:38.360 --> 26:43.360]  I don't like guys touching me, I don't like how guys smell, I don't like how they look
[26:43.360 --> 26:48.360]  Guys look like kind of dirty looking monkeys or something to me
[26:48.360 --> 26:56.360]  You know what I mean, women look beautiful, magical, juicy, you know, I mean, it's like a plate of enchiladas or something
[26:56.360 --> 27:04.360]  Men look like a bucket of dog crap, I'm sorry to use that, but you know, the point is, it's just like, well, don't worry
[27:04.360 --> 27:10.360]  We have women searching you, or we have women sticking their hands down your two-year-old daughter's pants
[27:10.360 --> 27:17.360]  How is that okay? I mean, guys rape guys, I mean, is it like okay if guys go out in the park and rape another guy?
[27:17.360 --> 27:22.360]  Well, it's a guy, I mean, it's like worse
[27:22.360 --> 27:30.360]  Okay, you're saying what is the craziest thing that I've ever seen and I'm about to talk about here
[27:30.360 --> 27:37.360]  She's got a breast pump, and they scan it, and it's the name of the company, it's a breast pump, and they say, well, the bottles are empty
[27:37.360 --> 27:42.360]  And the lady says, yeah, it's my breast pump, you know, I'm going out to tell my babies with me, I've got to work some
[27:42.360 --> 27:50.360]  There's a babysitter, I'm going to have to pump milk, you know, my wife did it three times when we were going to go out to dinner
[27:50.360 --> 27:59.360]  Or go out to dinner in a movie, we've gone three, four hours, my wife would have to sit there and pump the milk and give it to the babysitter or family that came over to keep one of our children
[27:59.360 --> 28:09.360]  I mean, I know it's evil, I know there's a war against breastfeeding, a war against organic, a war against anything reality based by this plastic culture of death
[28:09.360 --> 28:18.360]  But the TSA did apologize for this, but then they never stopped, and he said, you're going to pump that right now, you're going to come back and show me that you've got milk in your breast
[28:18.360 --> 28:21.360]  And if you don't want to hear this on the radio, I know this is what's happening to our women
