[00:00.000 --> 00:01.000]  Kinsley
[03:17.760 --> 03:22.480]  But really, it's the land of the dumbed out, home of the surveilled.
[03:22.480 --> 03:31.040]  And so when we get back from break, I want to talk about two different rails that really
[03:31.040 --> 03:33.600]  coincide.
[03:33.600 --> 03:40.200]  And that is that 2007 is the year of the North American Union.
[03:40.200 --> 03:47.440]  This is the year when it's really going to be in full operation.
[03:47.440 --> 03:56.040]  You could herald last year as the real birth of it, but it's now walking and talking.
[03:56.040 --> 03:59.800]  It's like a two year old.
[03:59.800 --> 04:03.880]  It was born in March of 2005.
[04:03.880 --> 04:07.640]  It began to crawl in January of last year.
[04:07.640 --> 04:12.960]  It began to total in the middle of last year, and now it's two years of age speaking in
[04:12.960 --> 04:13.960]  full sentences.
[04:13.960 --> 04:18.880]  It has extremely sharp teeth, by the way.
[04:18.880 --> 04:22.360]  It's not a friendly creature.
[04:22.360 --> 04:30.760]  So we will discuss that 2007, the year of the American Union in 2006, conversely, is
[04:30.760 --> 04:34.280]  the year America, the United States, died.
[04:34.280 --> 04:41.080]  So I thought I would go over that in the next segment and go over some of the voluminous
[04:41.080 --> 04:46.160]  evidence along those lines.
[04:46.160 --> 04:51.560]  Then I will plunge into, of course, the FEMA camp, one of two in Texas as reported by the
[04:51.560 --> 04:58.080]  Austin American statesman a week ago, and the alternative press has been out there videotaping
[04:58.080 --> 05:00.240]  and taking photos of it.
[05:00.240 --> 05:03.600]  The old days, when I was less conditioned, I would have been up there instantly, but
[05:03.600 --> 05:07.600]  I've been to so many FEMA camps and covered so many of them, I'm just kind of like, yeah,
[05:07.600 --> 05:12.520]  FEMA camp, FEMA camp, yeah, and they're down there.
[05:12.520 --> 05:17.320]  But it is important because children are in it.
[05:17.320 --> 05:22.960]  It's like when the Washington Post says we'll all be forced to take microchips in, I kind
[05:22.960 --> 05:24.120]  of go, eh, you know.
[05:24.120 --> 05:28.320]  Bush is to announce the new Iraq strategy, we'll tell you about that, too.
[05:28.320 --> 05:39.320]  It's a big January 2nd edition 2007, info wars dot go.
[05:39.320 --> 05:42.800]  It's here after a year in production and traveling the distant lands.
[05:42.800 --> 05:45.000]  My new film Terror Storm is complete.
[05:45.000 --> 05:48.800]  Shocking, declassified government documents prove that Western governments are orchestrating
[05:48.800 --> 05:53.640]  terror attacks against their own populations as a pretext to enslave them.
[05:53.640 --> 05:58.480]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in
[05:58.480 --> 06:00.920]  London were carried out by British intelligence.
[06:00.920 --> 06:05.200]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to
[06:05.200 --> 06:11.560]  disseminate fake news, NSA spy, secret police torture, the latest 9-11 information, and
[06:11.560 --> 06:12.560]  much, much more.
[06:12.560 --> 06:16.600]  Terror Storm is the definitive guide to the history of government-sponsored terrors.
[06:16.600 --> 06:18.800]  It's an anthology of government crimes.
[06:18.800 --> 06:23.360]  Terror Storm is a film that everyone who wants to be truly informed must see.
[06:23.360 --> 06:28.520]  Get your copy today on info wars dot com or prisonplanet dot com, or by calling toll 3
[06:28.520 --> 06:36.240]  1-888-2533139 or watch it right now online at prisonplanet.tv.
[06:36.240 --> 06:41.320]  Now you can bring Berkey purification power anywhere with a sport Berkey filtration bottle,
[06:41.320 --> 06:46.120]  ideal for sporting games, camping or boating, or sport Berkey is small enough to store in
[06:46.120 --> 06:47.120]  your glove box.
[06:47.120 --> 06:51.680]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[06:51.680 --> 06:54.960]  It's simply the best personal water filtration system available.
[06:54.960 --> 06:58.680]  So effective you can drink raw untreated water from lakes, rivers and streams.
[06:58.680 --> 07:03.080]  Unlike other sport bottles, a sport Berkey's patented filter formulation is so powerful
[07:03.080 --> 07:08.320]  it removes cysts, parasites, harmful bacteria and chemicals like herbicides and pesticides.
[07:08.320 --> 07:12.080]  It even reduces radon 222 lead and other heavy metals.
[07:12.080 --> 07:16.360]  This lightweight rugged 22 ounce filter is small enough to go everywhere so take one
[07:16.360 --> 07:19.440]  to work and keep another in your glove box for emergencies.
[07:19.440 --> 07:24.960]  Get the Berkey sport for only $39, get two for $70 by calling new millennium at triple
[07:24.960 --> 07:27.640]  eight eight oh three four four three eight.
[07:27.640 --> 07:29.280]  Order your Berkey sport today.
[07:29.280 --> 07:33.240]  That's toll three triple eight eight oh three four four three eight or order on the web
[07:33.240 --> 07:35.320]  at Berkeywater.com.
[07:35.320 --> 07:40.240]  Attention, attention everyone, a brand new invention just released.
[07:40.240 --> 07:45.600]  It's called wrist ease, the new patented portable ergonomic wrist support.
[07:45.600 --> 07:50.400]  Wrist ease comforts your wrists from the sometimes painful tasks of typing, writing, using a
[07:50.400 --> 07:52.360]  mouse or adding machine.
[07:52.360 --> 07:57.000]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat
[07:57.000 --> 08:03.080]  in front of your keyboard, wrist ease is totally portable and ideal for laptop users and technicians
[08:03.080 --> 08:05.200]  who are constantly on the go.
[08:05.200 --> 08:09.680]  Wrist ease is perfect for children doing homework or playing video games.
[08:09.680 --> 08:15.080]  Wrist ease provides the proper comfort and support for all ages and makes a great stocking
[08:15.080 --> 08:16.080]  stuffer.
[08:16.080 --> 08:21.120]  Honest, wrist ease provides comfort for victims of carpal tunnel syndrome and other repetitive
[08:21.120 --> 08:22.120]  injuries.
[08:22.120 --> 08:25.520]  You can order wrist ease now at wrist ease dot com.
[08:25.520 --> 08:31.800]  That's wrist ease, W-R-I-S-T-E-A-S-E, wrist ease dot com.
[08:31.800 --> 08:37.520]  Once again, wrist ease dot com.
[08:37.520 --> 08:44.080]  From his central Texas command center deep behind enemy lines, the information war continues.
[08:44.080 --> 08:49.480]  It's Alex Jones and the GCN radio network.
[08:49.480 --> 09:03.520]  Female camp, admittedly a FEMA camp for families in North Austin in the suburb, Taylor.
[09:03.520 --> 09:08.480]  Our guys are on the ground right there right now shooting a video and I want them to call
[09:08.480 --> 09:15.520]  in at the bottom of the hour with a report on what's happening up there and we'll give
[09:15.520 --> 09:19.600]  you the details of exactly what we're discussing.
[09:19.600 --> 09:23.320]  Don't have to go too far afield these days to find the FEMA camp, but just right here
[09:23.320 --> 09:31.520]  in my beloved Austin in the satellite of the city, the bedroom community.
[09:31.520 --> 09:37.600]  And we do have Michael Rivera for his once a month visit, his analysis that he always
[09:37.600 --> 09:40.880]  graces us with coming up into the second hour.
[09:40.880 --> 09:48.440]  And the third hour I'm going to air most of, not the entire 24 minute, well my favorite
[09:48.440 --> 09:54.720]  twilight zone episode, the obsolete man.
[09:54.720 --> 10:06.440]  Here's just the intro to that coming up the third hour.
[10:06.440 --> 10:11.240]  We're traveling through another dimension, a dimension not only of slight and sound but
[10:11.240 --> 10:15.240]  of light, a journey into a wondrous land whose boundaries are that of imagination.
[10:15.240 --> 10:23.880]  That's the signpost up ahead, your next stop, the twilight zone.
[10:23.880 --> 10:30.000]  Words were wrongly obsolescence.
[10:30.000 --> 10:31.000]  He's waiting Chancellor.
[10:31.000 --> 10:55.880]  All right, coming up in the third hour on this second transmission of 2007, 2007 has
[10:55.880 --> 11:02.280]  a wicked ring to it, it's no doubt going to be a wicked year.
[11:02.280 --> 11:11.400]  But before I get into all the news here that is Leviathan in front of me, let me just talk
[11:11.400 --> 11:17.240]  about what happened last year and what is coming up in the new year.
[11:17.240 --> 11:22.200]  2006 was the year that the United States died.
[11:22.200 --> 11:26.040]  Now you know I've said this several times in the last few months and I want to make
[11:26.040 --> 11:34.480]  it clear but I want to add some evidence today that in the scale of a year, that's only a
[11:34.480 --> 11:40.440]  few seconds in the life of a country, of a people, of a civilization, of a way of life.
[11:40.440 --> 11:46.680]  And so it is a premature death and if we defibrillate, if we admit the hardest stop beating of the
[11:46.680 --> 11:57.480]  country is dead by every yardstick, by every measurement, the U.S. is dead, it's cannons,
[11:57.480 --> 12:04.200]  it's basic tenants, it's underpinnings, it's physical borders, all of it.
[12:04.200 --> 12:12.040]  If we admit how bad it is, see that's the problem is the denial, then we can set about
[12:12.040 --> 12:13.040]  fixing it.
[12:13.040 --> 12:18.160]  It's like when Stalin was conservatively killing thirty million himself, there were
[12:18.160 --> 12:23.640]  denials that he was doing and he went right on doing it and our government funded him
[12:23.640 --> 12:25.520]  to help him do it.
[12:25.520 --> 12:32.200]  Now it's admitted history and even the Soviet archives admit it.
[12:32.200 --> 12:37.600]  It's time to stop living and denial number one, the country is gone.
[12:37.600 --> 12:40.760]  New World Order has won a major victory.
[12:40.760 --> 12:45.040]  But because this country, the country itself is different, because the country is made
[12:45.040 --> 12:49.160]  up of living tissue, that is each and every one of us out there, every man, woman and
[12:49.160 --> 12:53.960]  child, black, white, Hispanic, old, young, it doesn't matter.
[12:53.960 --> 13:00.880]  We can, with God's help, rise the country from the dead by passing electricity through
[13:00.880 --> 13:07.120]  its heart, but if we haven't turned it around in the next few years, you can stick a fork
[13:07.120 --> 13:13.240]  in us, we're done.
[13:13.240 --> 13:19.080]  Now Europe was deep in the EU and now when the final steps were being laid to reduce
[13:19.080 --> 13:24.040]  it to absolute despotism, the people pulled back the first time they were ever able to
[13:24.040 --> 13:28.160]  have a vote, by the way, on EU expansion and voted down in every major country.
[13:28.160 --> 13:32.160]  Same thing happened in Latin America, so we see whole regions, whole countries, whole
[13:32.160 --> 13:36.800]  areas rising from the dead.
[13:36.800 --> 13:45.600]  But still around our necks are these ravenous New World Order goblins still feeding in a
[13:45.600 --> 13:53.760]  bloody froth at our necks, whispering in our ear, while they do it, while they chew our
[13:53.760 --> 13:58.240]  feet off, that they're our friends keeping us safe from terrorists, just look at them,
[13:58.240 --> 14:03.160]  look at their fruits, no, they're a wicked lot.
[14:03.160 --> 14:08.360]  They are our enemies.
[14:08.360 --> 14:12.240]  They have used the good name of this country for their global empire and turned us from
[14:12.240 --> 14:17.440]  the most loved, the most hated.
[14:17.440 --> 14:24.880]  So when I say 2006 is the year the United States died, I mean it.
[14:24.880 --> 14:29.080]  It is the year that the agreement signed in March of the previous year went into effect
[14:29.080 --> 14:34.840]  and according to Council on Foreign Relations, newsreleasesandspp.gov, governmental releases,
[14:34.840 --> 14:39.080]  it is on track or ahead of schedule, depending on the two releases.
[14:39.080 --> 14:42.240]  On track, ahead of schedule.
[14:42.240 --> 14:44.640]  Robert Pasteur and others have said.
[14:44.640 --> 14:47.600]  Co-Chairman, Council of Foreign Relations.
[14:47.600 --> 14:50.320]  On the SPP advisory board.
[14:50.320 --> 14:59.400]  And by Chertoff and the other real heads of the three governments, Canada, Mexico, U.S.
[14:59.400 --> 15:03.480]  And so they are merging our social security, they are merging our roads, they are merging
[15:03.480 --> 15:08.480]  our military, they are merging our intelligence gathering, they are merging our regulations,
[15:08.480 --> 15:14.120]  they are merging the 25 big federal agencies under Homeland Security with the respective
[15:14.120 --> 15:19.280]  agencies in Mexico and Canada through the last hundred years of financing and the corporations
[15:19.280 --> 15:30.760]  writing legislation, the three governments fit together like three Legos, like snap tools,
[15:30.760 --> 15:39.680]  like a jigsaw puzzle, it just goes together like a hand in glove, like a horse in garage.
[15:39.680 --> 15:43.840]  All crafted, all machined, plop into place.
[15:43.840 --> 15:45.400]  And why do they want a new government?
[15:45.400 --> 15:54.720]  To erase the Bill of Rights and Constitution and any vestiges of common law in our body
[15:54.720 --> 15:56.600]  of law.
[15:56.600 --> 15:59.800]  They are replacing what we were with the new.
[15:59.800 --> 16:07.120]  No due process, no liberty, no freedom, no families, forced drugging, total control, no
[16:07.120 --> 16:14.560]  jobs of any significance, no control of your destiny, a nightmare.
[16:14.560 --> 16:18.120]  That's what they got Freedom of Information Act yesterday.
[16:18.120 --> 16:19.560]  This is Yahoo News.
[16:19.560 --> 16:25.360]  Social Security Agreement with Mexico released after three and a half year Freedom of Information
[16:25.360 --> 16:26.760]  Act battle.
[16:26.760 --> 16:32.400]  PR News wired for numerous refusals over the three and a half years, the Social Security
[16:32.400 --> 16:39.280]  Administration, SSA has released the first known public copy of the U.S. Social Security
[16:39.280 --> 16:40.280]  Totalization.
[16:40.280 --> 16:45.360]  That's what it's saying, we're not for global government, we're for global governance.
[16:45.360 --> 16:46.360]  Totalization, merger.
[16:46.360 --> 16:54.080]  U.S., Mexico, Social Security, totalization agreement, that's merger.
[16:54.080 --> 16:56.680]  Totalization means merging all the numbers, the total.
[16:56.680 --> 17:01.480]  The government was forced to make the disclosure in response to lawsuits filed under Freedom
[17:01.480 --> 17:08.600]  of Information Act by the TREA Senior Citizens League, the second largest senior citizens
[17:08.600 --> 17:15.920]  organization in the U.S. Dwarf by AARP, which is totally bought and paid for by the globalist.
[17:15.920 --> 17:21.080]  The totalization agreement could allow millions of illegal Mexican workers to draw billions
[17:21.080 --> 17:24.560]  of dollars from U.S. Social Security Trust Fund.
[17:24.560 --> 17:30.320]  The agreement between the U.S. and Mexico was signed in June of 2004 and is awaiting
[17:30.320 --> 17:32.080]  President Bush's signature.
[17:32.080 --> 17:36.880]  Once President Bush approves the agreement, which could be done without Congress's vote,
[17:36.880 --> 17:44.120]  neither House of Congress, neither House, would have 60 days to disapprove the agreement
[17:44.120 --> 17:47.360]  by voting to reject it.
[17:47.360 --> 17:50.960]  The Social Security Administration itself warns that Social Security is within decades
[17:50.960 --> 17:57.240]  of bankruptcy, it's already bankrupt, yet they seem to have no problem making arrangements
[17:57.240 --> 18:03.520]  and agreements that hasten its demise, said Ralph McCutcheon, Chairman of the TREA Senior
[18:03.520 --> 18:05.520]  Citizens League.
[18:05.520 --> 18:15.720]  Okay, they're merging every department, every agency.
[18:15.720 --> 18:17.680]  I mean, look at this story right here.
[18:17.680 --> 18:26.640]  They're not just in name merging the agencies and the laws and the regulations that this
[18:26.640 --> 18:33.760]  North American SPP group just writes up and then the heads of the agencies just implement
[18:33.760 --> 18:40.640]  without Congress even knowing what's going on or having any oversight, they're physically
[18:40.640 --> 18:42.000]  getting rid of the border.
[18:42.000 --> 18:46.280]  They're physically coming in and lobbying and buying up the politicians at the state
[18:46.280 --> 18:50.840]  level who then hand the roads over to those international bodies and their subsidiary
[18:50.840 --> 18:58.280]  companies and governmental organizations both, public-private partnership.
[18:58.280 --> 19:06.880]  We also have the taxation systems being equalized and being merged.
[19:06.880 --> 19:17.800]  And we have our military, 20% of the ground troops in Iraq are non-citizens.
[19:17.800 --> 19:24.120]  And if you go read the actual text of testimony before Congress last year, they're saying
[19:24.120 --> 19:32.600]  that by 2010, half of ground forces, infantry forces in the Marine Corps and the Army are
[19:32.600 --> 19:42.160]  projected to be non-citizen.
[19:42.160 --> 19:46.440]  And the Boston Globe reports there, quote, considering expanding the number of non-citizens
[19:46.440 --> 19:50.080]  in the ranks and expanding recruiting stations overseas.
[19:50.080 --> 19:54.840]  The average American has no idea there's recruiting stations overseas in the Philippines, in Mexico
[19:54.840 --> 20:00.040]  City, from Manila to Mexico City, and in Eastern Europe.
[20:00.040 --> 20:04.360]  They have no idea they're recruiting convicted felons, aggravated felons.
[20:04.360 --> 20:07.080]  That's been, though, in the news, but back to the paper.
[20:07.080 --> 20:11.880]  I mean, you can't get any more New World Order than that.
[20:11.880 --> 20:12.880]  We come back.
[20:12.880 --> 20:18.280]  I'll continue with the evidence of the death of the United States in 2006, and then we'll
[20:18.280 --> 20:27.800]  look forward into 2007, the year of the primacy of the American Union.
[20:27.800 --> 20:31.000]  And all this data I'm putting out fits into both these columns.
[20:31.000 --> 20:32.400]  We'll be right back.
[20:32.400 --> 20:34.400]  Stay with me, infowaters.com.
[20:34.400 --> 20:35.400]  Hi, folks.
[20:35.400 --> 20:45.000]  Jack Browner from Midas Resources, the real money folks.
[20:45.000 --> 20:47.240]  Let's review a few things from the past year.
[20:47.240 --> 20:56.120]  From November 2003 to November 2004, the dollars ranged from $9,800 to $10,300, a 5% increase.
[20:56.120 --> 21:02.760]  The dollar's value has dropped from 96 cents to 70 cents against the euro, a 24% decrease
[21:02.760 --> 21:06.320]  in spending power against the gold-backed euro.
[21:06.320 --> 21:12.600]  Gold has gone from the 390s to the 440s, a 16% increase in real money.
[21:12.600 --> 21:16.000]  Precious metals are the safe haven in today's hectic marketplace.
[21:16.000 --> 21:23.720]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[21:23.720 --> 21:27.160]  Remember, gold is liquid, private, and portable.
[21:27.160 --> 21:30.480]  Call now before your buying power shrinks even more dramatically.
[21:30.480 --> 21:36.640]  That's Midas Resources at 800-686-2237.
[21:36.640 --> 21:41.440]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[21:41.440 --> 21:46.040]  It provides you with purified water, light, power, and communications ability.
[21:46.040 --> 21:51.040]  The security pack includes a Berkey Light Water Purifier and LED face, two Berkey Sport
[21:51.040 --> 21:56.320]  filtration bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a
[21:56.320 --> 22:00.280]  backup set of two black Berkey purification elements.
[22:00.280 --> 22:04.920]  The Berkey Security Pack is important every day and a must during emergencies because
[22:04.920 --> 22:10.480]  it provides purified water, long-term low-energy lighting, backup battery power for your Berkey
[22:10.480 --> 22:16.640]  LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and
[22:16.640 --> 22:19.720]  cell phones, as well as power for small applications.
[22:19.720 --> 22:23.400]  Get the one-stop solution for your emergency and everyday needs.
[22:23.400 --> 22:30.120]  The Berkey Security Pack, a retail value of $518 for only $399 by calling new millennium
[22:30.120 --> 22:36.720]  at 888-803-4438, not yet available in Iowa.
[22:36.720 --> 22:42.160]  With David J. Smith for NewsWatch Magazine, Patrick Henry said, give me liberty or give
[22:42.160 --> 22:43.160]  me death.
[22:43.160 --> 22:48.040]  Did you know that he also forced the adoption of the Bill of Rights as a part of the Constitution
[22:48.040 --> 22:56.520]  of 1787 to guarantee your unalienable or unchangeable rights of freedom of speech, freedom of religion,
[22:56.520 --> 23:00.640]  and freedom to own a gun to protect our nation from tyranny?
[23:00.640 --> 23:06.680]  There is now an assault upon the unalienable, unchangeable rights to deprive you of them.
[23:06.680 --> 23:10.560]  We'd like to help you understand why these things are happening, but offering you an
[23:10.560 --> 23:15.680]  absolutely free one-year subscription to NewsWatch Magazine.
[23:15.680 --> 23:21.640]  Just call 1-800-516-8736.
[23:21.640 --> 23:27.280]  That's 1-800-516-8736.
[23:27.280 --> 23:28.520]  The call is free.
[23:28.520 --> 23:33.160]  Our operators are standing by to take your order for a year subscription to NewsWatch
[23:33.160 --> 23:39.360]  Magazine.
[23:39.360 --> 23:41.800]  Do you know the truth about breast cancer?
[23:41.800 --> 23:45.000]  Do you realize that the race for the cure is over?
[23:45.000 --> 23:49.440]  The best-kept secret in the world today is that now it's possible to kill cancer without
[23:49.440 --> 23:54.400]  personal suffering, mutilation, and poisoning of your entire system.
[23:54.400 --> 24:00.120]  Now it's cancer's turn to die, with lays made incorporate its patented methodology.
[24:00.120 --> 24:05.840]  By cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors
[24:05.840 --> 24:12.040]  of any size, without adverse side effects at a physician's office, Star War technology,
[24:12.040 --> 24:13.540]  at its best.
[24:13.540 --> 24:27.640]  For more information, call 702-953-0267, 702-953-0267, or visit www.laysmedink.com.
[24:27.640 --> 24:41.320]  Welcome back.
[24:41.320 --> 24:57.480]  So, 2006 is the year America died.
[24:57.480 --> 25:05.880]  It's been a long laborious program to do it, but they officially, after carrying out the
[25:05.880 --> 25:11.960]  terror attacks, took all the bureaucracies under the control of Homeland Security, then
[25:11.960 --> 25:17.720]  Homeland Security could implement the merger without Congress's oversight with Mexico and
[25:17.720 --> 25:19.760]  Canada.
[25:19.760 --> 25:23.320]  And then now they're advertising the North American Union as a way to keep us all safe.
[25:23.320 --> 25:28.880]  I'll never forget, UN General McKenzie, the Wednesday after, a week after 9-11, I guess
[25:28.880 --> 25:37.080]  eight days after 9-11, saying that we're going to have a continental security perimeter
[25:37.080 --> 25:42.440]  with Mexican, US, and Canadian troops patrolling the physical border of North America down
[25:42.440 --> 25:48.440]  from Alaska down to the border of Mexico with Guatemala.
[25:48.440 --> 25:54.040]  And then now, Robert Pasteur and others have been in the press and on CNN saying the exact
[25:54.040 --> 25:55.040]  same thing.
[25:55.040 --> 26:01.120]  The only thing that will keep you safe from terrorists is the North American Union.
[26:01.120 --> 26:03.400]  These guys are incredible.
[26:03.400 --> 26:07.440]  And of course, I was watching an old C-SPAN CFR meeting last night getting clips out of
[26:07.440 --> 26:09.560]  it for a film I'm making, and there they were there.
[26:09.560 --> 26:17.440]  It was the Gary Hart-Rudman-Warrant-Rudman Commission, which every one of their recommendations,
[26:17.440 --> 26:22.840]  all 50 of them got implemented into the letter, Department of Homeland Security and just Patriot
[26:22.840 --> 26:30.040]  Act, just every one of the things had already been written and packaged and was prepared.
[26:30.040 --> 26:34.240]  And so we do not have a border.
[26:34.240 --> 26:41.440]  They are with the new blanket MSD program that they're set to reintroduce in the next
[26:41.440 --> 26:47.080]  few days as Congress prepares to reconvene this week with Democrats first order of business
[26:47.080 --> 26:50.480]  is a hate crimes law to restrict free speech.
[26:50.480 --> 26:54.440]  And of course, a guest worker blanket MSD program.
[26:54.440 --> 26:58.640]  They are again, emerging our social security systems.
[26:58.640 --> 27:02.800]  They are recruiting heavily out of the third world to make up our military.
[27:02.800 --> 27:08.960]  Of course, non U.S. citizens are more likely to fire on U.S. citizens and to follow orders.
[27:08.960 --> 27:14.120]  Every empire, when it oppresses some people, brings in foreign troops to do the job.
[27:14.120 --> 27:19.720]  Of course, these will be foreign troops in our uniforms, as we told you they would.
[27:19.720 --> 27:25.720]  We went to urban warfare drills from Louisiana to California and showed you the footage
[27:25.720 --> 27:26.720]  of it.
[27:26.720 --> 27:35.800]  This has been a long, long program now coming to fruition.
[27:35.800 --> 27:42.200]  So 2007 was the year, will be the year of the American Union really standing on its
[27:42.200 --> 27:43.360]  own two feet.
[27:43.360 --> 27:45.840]  And this will be the test of it.
[27:45.840 --> 27:49.000]  Will the American people wake up to it?
[27:49.000 --> 27:51.160]  And it's different programs.
[27:51.160 --> 27:57.320]  Will they realize how dire the situation is or will they capitulate and accept it?
[27:57.320 --> 28:02.560]  Simultaneously in 2007, they're announcing from Indiana to Texas, from Oregon to New
[28:02.560 --> 28:08.960]  York, that foreign companies are being given, you really look at the deals, they're being
[28:08.960 --> 28:09.960]  given.
[28:09.960 --> 28:19.640]  At fire sale prices, the infrastructure, the ports, the roads, to be used as taxing mechanisms
[28:19.640 --> 28:22.080]  to fund the North American Union.
[28:22.080 --> 28:27.240]  When they seize a major interstate highway or a farm to market roads, say in Texas, and
[28:27.240 --> 28:33.760]  place toll roads on existing roads, it is apportioned out to the city, the county, the
[28:33.760 --> 28:39.240]  state, the federal government, and then a large portion to be rolled into an SPP, Security
[28:39.240 --> 28:45.400]  and Prosperity Partnership funding mechanism, this has all been announced, to even, quote,
[28:45.400 --> 28:48.520]  build roads in Mexico.
[28:48.520 --> 28:51.600]  This is a signed agreement, Congress isn't involved.
[28:51.600 --> 28:56.760]  A signed agreement between the bureaucracies of our government and the Mexican and Canadian
[28:56.760 --> 29:03.160]  governments to take our tax money and build the superhighway that goes south out of Texas
[29:03.160 --> 29:10.200]  down to the west coast of Mexico, where the Chinese goods will flow in.
[29:10.200 --> 29:17.480]  And again, everybody gets focused on the NAFTA superhighway I-35, which I am literally
[29:17.480 --> 29:20.120]  three miles from where I sit.
[29:20.120 --> 29:22.520]  That is only one major artery.
[29:22.520 --> 29:29.400]  They are grabbing 82, this is in the SPP documents, 82 existing, and if you count them, there's
[29:29.400 --> 29:32.400]  only 85 interstate highways.
[29:32.400 --> 29:42.520]  So there's 82 others, plus I-35, that's 83 of the 85, already slated to go under this,
[29:42.520 --> 29:46.240]  and they're throwing toll roads down on them right now.
[29:46.240 --> 29:51.160]  And that money is going to be taken and put into the bureaucracy to fund the further dismantling.
[29:51.160 --> 29:55.080]  I mean, if they grab the infrastructure of any country, especially its roads, the heart
[29:55.080 --> 30:01.240]  of an infrastructure, then the U.S. is even worse because we're totally dependent on roads.
[30:01.240 --> 30:08.020]  And we are a sprawling civilization compared to Europe or Japan.
[30:08.020 --> 30:10.360]  So it is a bloodless coup.
[30:10.360 --> 30:13.760]  The military industrial complex figured out that they could take over foreign countries,
[30:13.760 --> 30:18.480]  but why not just take over the one that funded them, the one where they grew in their own
[30:18.480 --> 30:19.480]  bosom?
[30:19.480 --> 30:23.000]  They are overthrowing the people and putting themselves into power.
[30:23.000 --> 30:26.720]  It always happens, it's happening again.
[30:26.720 --> 30:28.000]  We're on the march.
[30:28.000 --> 30:30.480]  The empire's on the run.
[30:30.480 --> 30:33.920]  Alex Jones and the GCN Radio Network.
[30:33.920 --> 30:39.200]  Hello friends, Alex Jones here with an important question.
[30:39.200 --> 30:41.600]  What was the last time you used pure soap?
[30:41.600 --> 30:46.960]  I mean, real hard to find all-natural pure soap that contains no dyes, perfumes, deodorants,
[30:46.960 --> 30:49.040]  detergents, or other dangerous toxins.
[30:49.040 --> 30:53.960]  The Calvin Pure Soap Company, for the past 57 years, has been making triple concentrated
