[00:00:06.750 --> 00:00:08.491]  Dragon Energy activates!
[00:12:44.173 --> 00:12:46.856]  They're the people that hate the bitter clingers and hate flyover country.
[00:12:46.856 --> 00:12:52.402]  And Democrat courts ban the American flag and say it's a gang symbol in public schools, 9th Circuit.
[00:12:53.882 --> 00:13:01.268]  They're the ones trying to bring in brainwashed, collapsed, third world populations that are communists out of Venezuela.
[00:13:01.268 --> 00:13:07.733]  Venezuela has had four million people the last six months, according to their own numbers, leave and they're going El Norte.
[00:13:07.733 --> 00:13:12.597]  And they're so dumbed down, they want to come where they think the communism is better.
[00:13:12.597 --> 00:13:13.298]  It's happening.
[00:13:17.247 --> 00:13:24.513]  Let's play this clip of Alexandria Cortez saying, occupy government buildings, borders US airports.
[00:13:24.513 --> 00:13:27.315]  Occupy it all, that's a communist term.
[00:13:27.315 --> 00:13:32.540]  Occupy, shut down the infrastructure for the civil unrest I told you that's coming.
[00:13:32.540 --> 00:13:34.622]  They are planning to launch a civil war.
[00:13:34.622 --> 00:13:37.244]  And July 4th, in their own admissions, was the demarcation line.
[00:13:37.244 --> 00:13:37.704]  Here she is.
[00:13:37.704 --> 00:13:41.868]  I believe the moral character of the United States is at stake.
[00:13:41.868 --> 00:13:43.989]  So for me, it wasn't a question of
[00:13:45.313 --> 00:13:49.215]  Whether I should go down there.
[00:13:49.215 --> 00:13:51.536]  We have to have a rapid response.
[00:13:51.536 --> 00:13:59.240]  And I think every day that we go on, especially a day when something that heinous happens, we have to occupy all of it.
[00:13:59.240 --> 00:14:00.940]  We need to occupy every airport.
[00:14:00.940 --> 00:14:02.661]  We need to occupy every border.
[00:14:02.661 --> 00:14:07.544]  We need to occupy every ICE office until those kids are back with their parents.
[00:14:07.544 --> 00:14:08.004]  Period.
[00:14:09.895 --> 00:14:13.376]  The kids you told to come here, the kids, many of their parents were killed coming through Mexico.
[00:14:13.376 --> 00:14:13.896]  You don't care.
[00:14:13.896 --> 00:14:15.797]  Hundreds of thousands dead over there.
[00:14:15.797 --> 00:14:16.657]  Never discussed that.
[00:14:16.657 --> 00:14:23.439]  You dictate America's moral authority as a rich girl posing as a poor girl selling communism and socialism.
[00:14:23.439 --> 00:14:24.879]  What a monster.
[00:14:24.879 --> 00:14:27.640]  So that's where we are as a culture.
[00:14:27.640 --> 00:14:29.921]  That's where we are as a society.
[00:14:29.921 --> 00:14:33.822]  And I'm going to lay out here their battle plan and what they're going to do.
[00:14:33.822 --> 00:14:34.942]  And I want to break something down here.
[00:14:36.007 --> 00:14:37.648]  I'm not trying to win a popularity contest.
[00:14:37.648 --> 00:14:40.731]  I'm not trying to have Google and Facebook and Twitter let me share all my posts.
[00:14:40.731 --> 00:14:44.274]  If I wanted to do that, I'd be a propagandist for the enemy.
[00:14:44.274 --> 00:15:04.030]  The fact that they are initiating against every libertarian, every conservative, every nationalist, every pro-gun group, every pro-Trump group, total draconian censorship, and suddenly Fox News isn't carrying many of Trump's speeches, shows they're going to go for broke again, just like they did last fall.
[00:15:06.135 --> 00:15:11.120]  But if we're aware of it, and if we get the word out, they won't be able to execute it.
[00:15:11.120 --> 00:15:12.060]  That's why they hate us.
[00:15:12.060 --> 00:15:16.845]  But the ignition phase, primary ignition, they've lit the fuse.
[00:15:16.845 --> 00:15:25.493]  That's what that means in coup parlance and nomenclature and in the legal vernacular of the CIA.
[00:15:25.493 --> 00:15:29.837]  So we are here with foreign multinationals.
[00:15:30.265 --> 00:15:37.850]  All right, ladies and gentlemen, we are going to have more from Alex Jones on the other side of this break, and he's going to get more into detail about what we're talking about.
[00:15:37.850 --> 00:15:39.612]  But we are under attack here at InfoWars.
[00:15:39.612 --> 00:15:42.474]  We need your support at InfoWarsStore.com.
[00:15:42.474 --> 00:15:46.176]  We've got the Defeat the Democrats censorship sale happening right now.
[00:15:46.176 --> 00:15:51.841]  You've got huge discounts, 50% off some of the top-selling supplements at InfoWarsStore.com.
[00:15:51.841 --> 00:15:54.863]  Support the InfoWars, support us, help us grow, InfoWarsStore.com.
[00:15:54.863 --> 00:15:56.364]  We'll be right back with more from Alex Jones.
[00:15:59.415 --> 00:16:10.438]  If you or anyone you love has been diagnosed with lung cancer, asbestosis, or mesothelioma, your diagnosis may be the result of job-related exposure to asbestos, and you may be entitled to compensation.
[00:16:10.438 --> 00:16:15.519]  Over $30 billion in trusts have been set aside for individuals who have been affected by asbestos exposure.
[00:16:15.519 --> 00:16:18.379]  How do you protect your rights and get the compensation you deserve?
[00:16:18.379 --> 00:16:20.000]  Call Capital Legal Group now at 800-400-LUNGS.
[00:16:21.360 --> 00:16:21.901]  I think so.
[00:16:42.344 --> 00:16:42.905]  We're good to go.
[00:16:59.454 --> 00:17:01.235]  Healthcare reform is confusing.
[00:17:01.235 --> 00:17:09.841]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:17:09.841 --> 00:17:13.544]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:17:13.544 --> 00:17:15.506]  Liberty HealthShare is not insurance.
[00:17:15.506 --> 00:17:21.550]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[00:17:21.550 --> 00:17:23.051]  Neighbor helping neighbor.
[00:17:23.051 --> 00:17:25.613]  Learn more now by going to libertyoncall.org.
[00:17:25.613 --> 00:17:27.494]  That's libertyoncall.org.
[00:17:28.891 --> 00:17:31.613]  Bacon lovers, we ship free.
[00:17:31.613 --> 00:17:33.434]  Try our amazing bacon.
[00:17:33.434 --> 00:17:35.455]  No refrigeration required.
[00:17:35.455 --> 00:17:45.061]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[00:17:45.061 --> 00:17:48.504]  Ready to eat right from the pouch or warm and serve.
[00:17:48.504 --> 00:17:50.365]  Savory and delicious.
[00:17:50.365 --> 00:17:53.327]  Wholesale price for your everyday use.
[00:17:53.327 --> 00:17:56.229]  Order today at ReadyToEatBacon.com.
[00:17:56.229 --> 00:17:57.529]  ReadyToEatBacon.com.
[00:18:00.157 --> 00:18:03.760]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.760 --> 00:18:05.522]  Introducing Pollen Block.
[00:18:05.522 --> 00:18:16.791]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.572 --> 00:18:26.759]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.759 --> 00:18:32.703]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:18:32.703 --> 00:18:37.826]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.826 --> 00:18:40.448]  Pollen block is natural and effective.
[00:18:40.448 --> 00:18:42.149]  It is not an antihistamine.
[00:18:42.149 --> 00:18:46.973]  In fact, current research has found that it actually acts by blocking the activity of tryptase,
[00:18:47.193 --> 00:18:52.135]  Which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.135 --> 00:18:54.776]  Go outside and enjoy the air you breathe.
[00:18:54.776 --> 00:18:59.498]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:04.997 --> 00:19:07.358]  The Real Red Pill Plus, ladies and gentlemen.
[00:19:07.358 --> 00:19:10.780]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:19:10.780 --> 00:19:17.823]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:19:17.823 --> 00:19:22.665]  The Real Red Pill Plus is an all-new version of the powerhouse Reglanone product.
[00:19:22.665 --> 00:19:30.349]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:19:30.809 --> 00:19:37.231]  A powerful pregnenone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:19:37.231 --> 00:19:47.714]  Now, with an extra proprietary energy blend inside, including green tea extract, yerba mate leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[00:19:47.714 --> 00:19:52.335]  It's got all the great stuff that Real Red Pill has, but it's also got the boosts in it.
[00:19:52.335 --> 00:19:55.836]  Get the Real Red Pill Plus at InfoWarStore.com.
[00:20:02.771 --> 00:20:11.815]  You're listening to the Alex Jones Show.
[00:20:11.815 --> 00:20:12.995]  Big Brother.
[00:20:12.995 --> 00:20:14.796]  Mainstream media.
[00:20:14.796 --> 00:20:16.717]  Government cover-ups.
[00:20:16.717 --> 00:20:18.377]  You want to stop tyranny?
[00:20:18.377 --> 00:20:20.038]  Well, so does he.
[00:20:20.038 --> 00:20:24.640]  Live from the InfoWars.com studios, it's Alex Jones.
[00:20:26.081 --> 00:20:30.405]  We are here with foreign multinationals backed by the Chai Koms.
[00:20:30.405 --> 00:20:31.886]  They're in Chinese papers bragging.
[00:20:31.886 --> 00:20:35.729]  They're at Davos saying, we'll defeat Trump, we'll defeat America.
[00:20:35.729 --> 00:20:41.034]  The EU, the unelected Juncker, the Nazi heir with the Chai Koms, all against America.
[00:20:41.034 --> 00:20:42.735]  Which side are you on?
[00:20:42.735 --> 00:20:48.921]  Now, when we continue, I'm going to break down what the president needs to do to counter this, in my humble opinion.
[00:20:48.921 --> 00:20:52.564]  Now, what does the president need to do?
[00:20:54.574 --> 00:20:56.196]  I understand subtlety.
[00:20:56.196 --> 00:20:57.957]  It's my job not to be subtle.
[00:20:57.957 --> 00:21:01.681]  I'm a shock troop.
[00:21:01.681 --> 00:21:02.822]  You're shock troops.
[00:21:02.822 --> 00:21:07.166]  You get bullied, you get attacked, you get discriminated against because you love freedom, you tell the truth.
[00:21:07.166 --> 00:21:09.288]  You know communism is a horrible, evil system.
[00:21:09.288 --> 00:21:10.510]  You support America.
[00:21:10.510 --> 00:21:12.231]  You support the better ideas of America.
[00:21:12.231 --> 00:21:16.976]  You support Martin Luther King's idea of unity and true ideas and what you stand for, not what color you are.
[00:21:18.152 --> 00:21:27.996]  Everything the weaponized corporate left is, is the 180 degree polar opposite of that.
[00:21:27.996 --> 00:21:36.040]  And they're trying to circumnavigate the success of liberty and freedom and hope we don't have a memory of history or the things they've done.
[00:21:36.040 --> 00:21:40.502]  But I know the president understands that if he comes out and says we've been penetrated by China,
[00:21:44.087 --> 00:21:47.649]  Our major 50 public universities were run by Chinese intelligence.
[00:21:47.649 --> 00:21:49.910]  I couldn't even believe the Washington Post admitted that two months ago.
[00:21:49.910 --> 00:21:52.051]  I've been talking about that for years.
[00:21:52.051 --> 00:21:56.333]  The Office of Personal Management, all our files were handed over by Obama five years ago.
[00:21:56.333 --> 00:21:57.594]  We are wide open.
[00:21:57.594 --> 00:21:59.775]  That would take the stock market.
[00:21:59.775 --> 00:22:01.296]  China owns our debt.
[00:22:01.296 --> 00:22:03.537]  The CFR positioned us for the Chinese century.
[00:22:03.537 --> 00:22:11.401]  We were set up between the EU, the big banks, and China to be looted, to be controlled, to be brought to heel, to be dominated.
[00:22:12.452 --> 00:22:19.154]  And that it'd only be a military set piece that they fully controlled to keep China in line.
[00:22:19.154 --> 00:22:30.276]  But the double cross was so huge in the global government program that they actually put China in the catbird seat and all the top globalists moved to China and bought houses there and have become dual citizens.
[00:22:30.276 --> 00:22:32.957]  And that's why Apple and all of them have officially moved there.
[00:22:32.957 --> 00:22:36.758]  Do you understand the level of treason I am breaking down to you and your family right now?
[00:22:36.758 --> 00:22:37.658]  This is all fact.
[00:22:38.706 --> 00:22:42.728]  I read four months ago in Reuters, where they said, well, it's normal.
[00:22:42.728 --> 00:22:46.490]  Tim Cook of Apple said, we move to China?
[00:22:46.490 --> 00:22:47.610]  And the government runs you there.
[00:22:47.610 --> 00:22:49.491]  Now we're tax exempt.
[00:22:49.491 --> 00:22:50.772]  US had 40% tax.
[00:22:50.772 --> 00:22:52.293]  China had 15.
[00:22:52.293 --> 00:22:52.833]  We went to 15.
[00:22:52.833 --> 00:22:54.054]  They went to zero.
[00:22:54.054 --> 00:22:56.015]  They said you got to be state run.
[00:22:56.015 --> 00:22:58.716]  And what had already been done behind the scenes went public.
[00:22:59.878 --> 00:23:03.582]  You understand the magnitude.
[00:23:03.582 --> 00:23:11.871]  If Trump gave the Office of Personnel Management files to Russia, if he allowed Apple to move to Russia, I would call for his impeachment.
[00:23:11.871 --> 00:23:12.692]  In fact, I would call...
[00:23:15.140 --> 00:23:18.982]  High treason charges, which I call for, for all these globalists that have done it.
[00:23:18.982 --> 00:23:20.522]  But Donald Trump didn't do that.
[00:23:20.522 --> 00:23:22.463]  He was steadfast.
[00:23:22.463 --> 00:23:23.724]  He believed in free market.
[00:23:23.724 --> 00:23:25.004]  He believed in America.
[00:23:25.004 --> 00:23:33.668]  He believed in pragmatically turning on the free market and trying to free these countries and trying to make a deal with North Korea and actually help their people with development.
[00:23:34.827 --> 00:23:36.628]  These cults of power, they don't want that.
[00:23:36.628 --> 00:23:43.051]  Communist China's trying to block that, and the left is celebrating, betting on China, saying, oh, China controls the North.
[00:23:43.051 --> 00:23:46.413]  You'll never get them to come into the light.
[00:23:46.413 --> 00:23:47.834]  You'll never get them to come out of the dark.
[00:23:47.834 --> 00:23:49.155]  You'll never get them to come in out of the cold.
[00:23:49.155 --> 00:23:50.815]  You'll never get them to free their people.
[00:23:50.815 --> 00:23:51.656]  Ha, ha, ha!
[00:23:51.656 --> 00:23:59.060]  And I watch Hollywood and the left and these cynical, evil people laughing at America and doing all these evil things.
[00:24:02.133 --> 00:24:04.153]  Oh yeah, China's the new IMF, the new World Bank.
[00:24:04.153 --> 00:24:05.014]  They're the new robber baron.
[00:24:05.014 --> 00:24:07.474]  They're the new economic hitmen.
[00:24:07.474 --> 00:24:08.474]  They go in.
[00:24:08.474 --> 00:24:09.814]  They're the Goldman Sachs.
[00:24:09.814 --> 00:24:13.315]  JPMorgan Albright last year, they said, you'll never save America.
[00:24:13.315 --> 00:24:15.496]  China's, we're giving them unlimited money.
[00:24:15.496 --> 00:24:20.096]  They've built dozens of cities bigger than Austin, Texas that no one even lives in.
[00:24:20.096 --> 00:24:25.177]  There's just huge empty buildings.
[00:24:25.177 --> 00:24:26.558]  And it's for the West.
[00:24:26.558 --> 00:24:28.078]  They say, when we collapse America,
[00:24:29.124 --> 00:24:31.807]  The rich Americans will come here and join the party.
[00:24:31.807 --> 00:24:33.508]  And they've done it.
[00:24:33.508 --> 00:24:36.231]  They've bet on 1.5 billion slaves.
[00:24:36.231 --> 00:24:42.457]  They've bet on China that didn't even have running water 60 years ago, didn't even have sewage.
[00:24:42.457 --> 00:24:45.379]  And 90 plus percent now, they have everything.
[00:24:45.379 --> 00:24:48.002]  All our secrets, everything.
[00:24:48.002 --> 00:24:51.705]  And this is what they've done to our country.
[00:24:52.901 --> 00:25:00.988]  And then I sit there and I watch these people piss on our desperate deathbed struggle, rallying, like I saw my grandmother rally.
