[00:00.000 --> 00:10.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[05:05.000 --> 05:12.000]  And he got all the other Democrats on the stage, nine others, to agree and said that he was a hero.
[05:12.000 --> 05:13.000]  Think about that.
[05:13.000 --> 05:17.000]  Now those Democrats have taken all the guns in the cities they control.
[05:17.000 --> 05:26.000]  Their blue cities are literal crap holes covered with needles and with massive drug dealing and incredible levels of violent crime.
[05:26.000 --> 05:28.000]  They know what they're doing.
[05:28.000 --> 05:36.000]  And now the Supreme Court's come out and ruled that gun manufacturers can be sued into oblivion for what criminals do using their firearms.
[05:36.000 --> 05:40.000]  My goodness, ladies and gentlemen, this country is under such incredible attack.
[05:40.000 --> 05:45.000]  But more and more towns and cities are saying they're sanctuaries for the Second Amendment
[05:45.000 --> 05:49.000]  and they're going to follow the original Bill of Rights and Constitution
[05:49.000 --> 05:52.000]  and they're not going to help in the confiscation of guns.
[05:52.000 --> 05:55.000]  So you see a lot of these cities ignore illegal aliens.
[05:55.000 --> 06:20.000]  Well, we could ignore all your unconstitutional laws.
[06:20.000 --> 06:28.000]  A lot of people ask me, Alex, why don't you yell and scream on air like you used to sometimes as much as you did in the past?
[06:28.000 --> 06:37.000]  And it's because if I did that, I'd actually, you know, overturn this desk and start ripping down the studio in here and God knows what else.
[06:37.000 --> 06:48.000]  I mean, I'm so angry now from the research we do on a daily basis and so focused and so awake that it's in between torture and ecstasy.
[06:48.000 --> 06:50.000]  I mean, I understand what's going on.
[06:50.000 --> 06:51.000]  I understand how to stop it.
[06:51.000 --> 06:52.000]  I see the master plan.
[06:52.000 --> 06:58.000]  I could see the globalist code and I know who they are and what they are and what they work for.
[06:58.000 --> 07:03.000]  And it should be so easy to just reject this and not go along with it.
[07:03.000 --> 07:14.000]  But the world is full of a lot of followers and a lot of people that seek petty power over others and we are a fallen species.
[07:14.000 --> 07:20.000]  We have a great potential to not be fallen and to go to the stars.
[07:20.000 --> 07:24.000]  We are falling here on this planet and it's all hidden in plain view.
[07:24.000 --> 07:34.000]  And we're not going to get off this planet until we start behaving like sentient beings that are not satanic, which is in our makeup and we're able to do it.
[07:34.000 --> 07:37.000]  But as you can see, we don't like to do that.
[07:37.000 --> 07:39.000]  We like to be bad.
[07:39.000 --> 07:43.000]  We like to be lazy and we like to be stupid.
[07:43.000 --> 07:44.000]  And it's a process.
[07:44.000 --> 08:02.000]  I'm certainly not perfect either, but I know I am a fallen creature and I am seething with understanding and awakening and destiny and potential to defeat the globalist and turn the tide just as you have that seed as well.
[08:02.000 --> 08:18.000]  And so I pray daily for calm and for focus and for justice and for clarity because I research probably six, seven hours a day, normally at night and in the morning and while I'm here at work.
[08:18.000 --> 08:29.000]  And there's always a great overriding frustration that I am not able to ever cover all of the news in the proper context that is taking place.
[08:29.000 --> 08:44.000]  Let me just give you an example of two big articles, one of which you're going to get details of exclusively with investigative journalist Tom Pappert coming up at the bottom of the hour that he'll be back hosting the third hour with me and then I'm going to veer off.
[08:44.000 --> 08:52.000]  Trump just left about 45 minutes late, so I'll be able to finish most of my broadcast and I'm going to go up and deliver a message directly to the president.
[08:52.000 --> 09:00.000]  I'm going to have to protest the president, but I'm going to deliver a very forceful message to the president and to that demon creature.
[09:00.000 --> 09:07.000]  He's traveling with Tim Cook being escorted by his daughter and son-in-law.
[09:07.000 --> 09:10.000]  So that's coming up.
[09:10.000 --> 09:29.000]  When I listened to this report yesterday, and then I went and did research from previous information I had and things I've been told by high level, Defense Department, FBI, and others years ago that I never talked about on air,
[09:29.000 --> 09:33.000]  just because I don't like to go over all the details about the torture of these children on air.
[09:33.000 --> 09:38.000]  I don't like to think about it quite frankly. Imagine them. They really don't want to talk about it.
[09:38.000 --> 09:46.000]  And I listened to this individual in this 30-minute interview that was taped several years ago in the Epstein investigation.
[09:46.000 --> 09:53.000]  Now, the FBI had investigator groups out doing this and the FBI agent heading it up was murdered.
[09:53.000 --> 09:58.000]  Of course, they tried to sweep that under the rug and others around it were murdered.
[09:58.000 --> 10:06.000]  And so now they've released the first interview that was done by investigators hired by the FBI before they took the case over.
[10:06.000 --> 10:15.000]  So dangerous the FBI actually hired investigators to do it so they could keep it secret from the bureau until they got it green lit by Trump.
[10:15.000 --> 10:24.000]  And then he was able to get it done. This deals with satanic rituals and blood drinking and ritualistic rape of children.
[10:24.000 --> 10:30.000]  And what is said here about the satanic rituals, I have never released on air for a lot of reasons.
[10:30.000 --> 10:37.000]  So I don't want people repeating them. And I don't want, when I get information, I want to know if people actually know what they're talking about.
[10:37.000 --> 10:44.000]  This is real. Now, the cherry on top of how real it is is the dead FBI agent and others surrounding it. A bunch of deaths.
[10:44.000 --> 10:53.000]  So you know that feeling you walk up to an edge of a cliff? When I was listening to this, I was on the edge of a cliff and I almost had to pull over last night.
[10:53.000 --> 11:00.000]  And I was listening to it the second time driving home at like eight o'clock at night because I started to want to throw up.
[11:00.000 --> 11:08.000]  And that was because my body was saying, kill, kill, kill, you're bad, kill, kill. I'm not going to kill anybody.
[11:08.000 --> 11:20.000]  But that's a normal response is as a man knowing this is going on and knowing these predators are out there, my physical body was beyond angry.
[11:20.000 --> 11:27.000]  And then before you go into real combat or kill somebody with bare hands, you throw up. That's not even an anxiety thing.
[11:27.000 --> 11:34.000]  You're just getting food out of your stomach to get down to business. And so we all need, quite frankly, therapy to even deal with this.
[11:34.000 --> 11:41.000]  Can you imagine being these children or these FBI agents? OK, now we're going to go ahead and play parts of this.
[11:41.000 --> 11:45.000]  I really don't want to listen to it. And I know you don't want to listen to it, but it needs to air.
[11:45.000 --> 11:50.000]  It needs to go out on radio stations and TV stations and the really graphic stuff has been bleeped out.
[11:50.000 --> 11:56.000]  But this is real. You can listen to it. It's real. If you know about these rituals, it's real.
[11:56.000 --> 12:05.000]  And the dead FBI and others, it's real, real. So I am in a controlled rage dealing with this.
[12:05.000 --> 12:11.000]  And I apologize for the crew having to be around me. But that's just the way it is.
[12:11.000 --> 12:23.000]  So we have that. Then we have this next big report from a great investigative journalist over at National File.
[12:23.000 --> 12:26.000]  It's a bunch of former Breitbart folks who are being censored.
[12:26.000 --> 12:36.000]  Video Pelosi's son ex-girlfriend claims forced abortion, abuse, weaponizing CPS, massive fraud.
[12:36.000 --> 12:41.000]  He denied that she was the girlfriend, but she has the text, the photos, the years of it.
[12:41.000 --> 12:48.000]  And all the proof has now been put out. It's a 59-minute video, and I watched this this morning
[12:48.000 --> 12:52.000]  and became physically nauseous and disgusted as well.
[12:52.000 --> 12:58.000]  When you listen to what this Pelosi psychotic, this genetic psychotic, this is Nancy Pelosi's son did
[12:58.000 --> 13:04.000]  and the scams he runs and just how out of control and how he owns the jurisdiction of San Francisco,
[13:04.000 --> 13:08.000]  he can do whatever he wants. And he tells people that. And there's audio of that.
[13:08.000 --> 13:13.000]  And by the way, this is an hour of this. And I listened to the whole thing this morning.
[13:13.000 --> 13:18.000]  Even cut my workout short to listen to it. And they've got more tapes coming out.
[13:18.000 --> 13:25.000]  Now, let me explain something. This is the stuff that gets you killed.
[13:25.000 --> 13:29.000]  And it's a major Epstein investigator that is working with Tom Papert bringing this out.
[13:29.000 --> 13:33.000]  I just want to point out, you know, we give medals to the military and everybody, and that's great. They deserve them.
[13:33.000 --> 13:37.000]  This is information warfare in America, and people get killed for stuff like this.
[13:37.000 --> 13:40.000]  Pelosi is a gangster. She kills people.
[13:40.000 --> 13:45.000]  So nationalfile.com, we salute you. They're the real journalists, and they've got a lot of former investigative journalists,
[13:45.000 --> 13:50.000]  some of the top folks from Breitbart over there. Some of them are even writing in pseudonyms.
[13:50.000 --> 13:54.000]  This is so dangerous. This is not a pseudonym. So we're taking the gloves off.
[13:54.000 --> 13:58.000]  That's what I've said everybody needs to do. People are doing it without me telling them.
[13:58.000 --> 14:04.000]  Obviously, real investigative journalism, bringing down the kingpins, hitting them at point-blank range.
[14:04.000 --> 14:09.000]  And you can't kill us all, Hillary. You can't kill us all, Bill. You can't kill us all, Pelosi.
[14:09.000 --> 14:13.000]  And, you know, Pelosi knows that. That's why they're like, oh, let's be friends with Republicans.
[14:13.000 --> 14:18.000]  Let's stop the calls for revolution because they know they're losing. Let me explain something.
[14:18.000 --> 14:24.000]  Toots. Your people start the violent revolution. You take out some of our people.
[14:24.000 --> 14:28.000]  You know there's nowhere in the world you're going to be able to go to get away from your crimes.
[14:28.000 --> 14:31.000]  And I'm just going to leave it at that. And they understand that.
[14:31.000 --> 14:34.000]  And they were supposed to have robots and AI by now to protect them.
[14:34.000 --> 14:39.000]  They know all their so-called protectors literally want to slip their throats.
[14:39.000 --> 14:44.000]  And you're about to see them go down. Now, it's going to be spectacular. It's going to be explosive.
[14:44.000 --> 14:49.000]  It's going to be super dangerous. And a lot of people aren't going to be here in the fight,
[14:49.000 --> 14:52.000]  who were in the fight on the other side of this, but that really doesn't matter, does it?
[14:52.000 --> 14:57.000]  It's like Captain Ahab and Moby Dick. They both go down at the end.
[14:57.000 --> 15:01.000]  You could decide who's Captain Ahab and Moby Dick, who's the good guy and who's the bad guy.
[15:01.000 --> 15:08.000]  But I think that's all pretty clear here, ladies and gentlemen, that this is the collapse of the globalist narrative.
[15:08.000 --> 15:12.000]  I watched all these senators and congresspeople yesterday.
[15:12.000 --> 15:15.000]  And then when I was watching the war room, when I was here working and then at night,
[15:15.000 --> 15:18.000]  I stayed up till I went to bed at first for about an hour to rest.
[15:18.000 --> 15:22.000]  I got more than about four hours and went back to sleep a few hours.
[15:22.000 --> 15:27.000]  But I was watching the hearings on Epstein's murder and the senators were lying.
[15:27.000 --> 15:31.000]  And the Democrats were saying this too. No one believes this anymore. Total loss of faith.
[15:31.000 --> 15:36.000]  Everyone thinks there's pedophile rings running, everything. And the system's screwed.
[15:36.000 --> 15:40.000]  Yes, you're screwed. It's over. We all know your devil works.
[15:40.000 --> 15:45.000]  We know your blood drinking, child raping, vampires.
[15:45.000 --> 15:50.000]  You don't live forever, but the demons in you do live on body to body.
[15:50.000 --> 15:57.000]  So see, the archetypes are real. These are quasi-immortal blood-sucking demons.
[15:57.000 --> 16:03.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[16:03.000 --> 16:07.000]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[16:07.000 --> 16:13.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[16:13.000 --> 16:17.000]  I can help you too. If you owe taxes you can't pay, don't wait another day.
[16:17.000 --> 16:24.000]  There's no such thing as a hopeless tax case. Call 800-34-NO-TAX or go to my website, danpilla.com.
[16:24.000 --> 16:27.000]  That's danpilla.com, danpilla.com.
[16:27.000 --> 16:34.000]  Attention GCN self-reliance listeners. If you've ever wanted an emergency solar survival backup system
[16:34.000 --> 16:39.000]  but we're waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[16:39.000 --> 16:44.000]  I want to tell you about a huge sale with historically low prices on our PPX microgrid system
[16:44.000 --> 16:48.000]  that's going to let you produce an endless supply of electricity off the grid.
[16:48.000 --> 16:53.000]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[16:53.000 --> 16:59.000]  Because of the flooding we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse
[16:59.000 --> 17:05.000]  we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[17:05.000 --> 17:11.000]  So here's what you should do right now. Check out the PPX microgrid system at myownpowergrid.com.
[17:11.000 --> 17:17.000]  That's myownpowergrid.com. Over $1,000 in great off the grid gear and a ton of bonuses too.
[17:17.000 --> 17:21.000]  And the best part? You're not going to pay $750 or $500 or even $200.
[17:21.000 --> 17:27.000]  Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[17:27.000 --> 17:30.000]  Hunters, anglers, campers and survivalists, get back to nature.
[17:30.000 --> 17:38.000]  Expand your horizons with the highest quality, most versatile, unique slingshots and slingbows on the market at slingbow.com.
[17:38.000 --> 17:42.000]  Slingbow products are compact and models start from just $17.98.
[17:42.000 --> 17:45.000]  They're perfect for your bug out bag or storing in your vehicle.
[17:45.000 --> 17:49.000]  Give yourself and your loved ones the excitement and tradition of slingbow.
[17:49.000 --> 17:54.000]  A new frontier in archery and truly modern twist on this primitive survival tool.
[17:54.000 --> 18:00.000]  Feel the thrill only at slingbow.com.
[18:00.000 --> 18:08.000]  About a month ago, President Trump announced that he was going to move his domicile from New York City to Florida,
[18:08.000 --> 18:13.000]  where he's always said he planned to retire too. And the left got so excited.
[18:13.000 --> 18:21.000]  They said, oh, he's about to resign and leave instead of facing impeachment and he's running to Florida.
[18:21.000 --> 18:26.000]  Well, now we know why the president did that. He knew the leftist controlled appeals courts.
[18:26.000 --> 18:33.000]  We're going to say that he had to give up his tax returns so they can pour over them and harass every business partner he's got.
[18:33.000 --> 18:37.000]  They want to terrorize people that he's worked with.
[18:37.000 --> 18:47.000]  And by moving his domicile from New York to Florida, that gets around the New York law they passed to get his tax returns that are supposed to be private.
[18:47.000 --> 18:52.000]  So all those people out there holding their breath for the president to resign.
[18:52.000 --> 18:58.000]  In his words, we're kicking the deep state's ass and he's never going to resign.
[18:58.000 --> 19:03.000]  The globalists know that I will never willingly give up.
[19:03.000 --> 19:06.000]  I've said it many times, I will never give in.
[19:06.000 --> 19:10.000]  I will never give up, but I could give out.
[19:10.000 --> 19:24.000]  And it's very, very frustrating to see them committing all their crimes against humanity, to see evil running rampant like this and to know that most Americans have already been silenced in cyberspace.
[19:24.000 --> 19:28.000]  That most Americans have already been shadow banned by big tech.
[19:28.000 --> 19:40.000]  And to know that most Americans feel powerless and don't realize how much power they have by spreading the word about newswords.com, infowords.com and band.video.
[19:40.000 --> 19:43.000]  And that people are hungry for the truth now more than ever.
[19:43.000 --> 19:51.000]  And that if you tell people, hey, the banned truth they don't want you to have is at infowords.com forward slash show and band.video.
[19:51.000 --> 19:58.000]  So take heart, folks, they've had to censor everybody to show everybody down because the truth is powerful and they can't beat us fair and square.
[20:21.000 --> 20:24.000]  Mainstream media, government cover-ups.
[20:24.000 --> 20:28.000]  You want to stop tyranny? Well, so does he.
[20:28.000 --> 20:33.000]  Live from the infowords.com studios, it's Alex Jones.
[20:44.000 --> 20:49.000]  Alright, let me do my best here to tell you what we're going to be laying out and start getting right into it.
[20:49.000 --> 21:03.000]  Obviously, the clown train that is the fake impeachment third round of public hearings now didn't just derail.
[21:03.000 --> 21:06.000]  It exploded as it went off the edge of a cliff.
[21:06.000 --> 21:17.000]  But Schiff continues to put his confidence act up because they're posing like they're the leaders, they're in charge and Trump did something wrong.
[21:17.000 --> 21:23.000]  And it diverts everyone and takes all the oxygen out of the room for all the real crimes, the Democrats and the globalists,
[21:23.000 --> 21:34.000]  and how they're trying to plunge the economy, how they're siding with China against us in the trade war, a whole Epstein inferno that's burning into the ground.
[21:34.000 --> 21:42.000]  It's on every network, it's everywhere, and it's literally setting the precedent that if Trump tries to engage in any foreign policy himself
[21:42.000 --> 21:51.000]  instead of a consortium of governmental bureaucrats who interface with think tanks, well, that's illegal.
[21:51.000 --> 21:52.000]  That's what I've said.
[21:52.000 --> 22:02.000]  We're ruled by interlocking boards of think tanks who build consensus on globalism and the sellout of the country.
[22:02.000 --> 22:06.000]  That's actually in the news today.
[22:06.000 --> 22:15.000]  Impeachment hearings raise questions. Who's in charge of U.S. foreign policy? Trump or interagency consensus, close quote.
[22:15.000 --> 22:21.000]  Because the human mole rat, he looks like a mole rat, he is a globalist mole, he's not a whistleblower.
[22:21.000 --> 22:40.000]  He's a vitamin in all his arrogance, and I'm Lieutenant Colonel, that's what you call me. And bug-eyed shift and all the rest of them, they are moles.
[22:40.000 --> 22:44.000]  So I'll be getting to those clips.
[22:44.000 --> 22:59.000]  You know, I know the globalists are into Satanism because it's about their power and about them willing to do extreme things and about corrupting those around them and getting them to be compromised like they are so they can trust them.
[22:59.000 --> 23:14.000]  And in these reports that the FBI agent and others got killed just this year, that's why it's coming out now, being leaked to True Pundit, the original interviews.
[23:14.000 --> 23:25.000]  That's why the operatives come in to the big accountants at the big accounting firm and they say, I'd have sex with this eight-year-old.
[23:25.000 --> 23:34.000]  And of course the couple doesn't want to do it, but they say, hey, you see the box over there on the wall? That's the camera. Have sex if you want this deal.
[23:34.000 --> 23:45.000]  And by the way, we got your blood. It's already been planted at a crime scene. We'll have you indicted anytime we want. Have sex with the kid.
[23:45.000 --> 23:52.000]  And that's exactly what they do. And they have compromised so many people.
[23:52.000 --> 24:06.000]  First they get you to cheat and manipulate, and then you get a few million bucks for the billions you manipulate and say the Pentagon budget.
[24:06.000 --> 24:18.000]  But that's not enough. You might turn state's evidence. You might not go to jail if you expose what they've done, but none of you and your wife have had sex with an eight-year-old boy.
[24:18.000 --> 24:25.000]  You're never going to talk about that. And if you did, it'd be so horrible no one would want to believe it and they'd want to cover it up.
[24:25.000 --> 24:33.000]  It's like the Catholic Church. The deputy pope got convicted of trafficking over 100 little boys as young as age five up to about age 14.
[24:33.000 --> 24:40.000]  And they would tell the other people in the seminary, you have sex with kids or you're not going to be a priest.
[24:40.000 --> 24:47.000]  Just like the Boy Scouts, just like Penn State, just like Boys Town, just like everything.
[24:47.000 --> 24:56.000]  Most of these people don't even want to do it.
[24:56.000 --> 25:02.000]  You know, I've been told about people that were abused by Bill Clinton, not just Kathy O'Brien, but others.
[25:02.000 --> 25:06.000]  Stuff that's in this report that never has been published and never been known.
[25:06.000 --> 25:10.000]  And I've researched other real Satanism files that the public hasn't seen.
[25:10.000 --> 25:16.000]  Some of them have come out recently in the Finders, and it's exactly what they do.
[25:16.000 --> 25:20.000]  But you add the dead FBI's and the others that have been killed that were investigating it.
[25:20.000 --> 25:22.000]  That's when you really know it's real.
[25:22.000 --> 25:28.000]  You listen to this poor man, he's now 26 years old, being raped since he's age three.
[25:28.000 --> 25:35.000]  It's on newswars.com, infowars.com.
[25:35.000 --> 25:39.000]  And it's exactly what I was told, like Bill Clinton didn't want to cut the children.
[25:39.000 --> 25:52.000]  He just wanted to have sex with them, and they've got the women different ages from little girls up to women on pedestals.
[25:52.000 --> 25:59.000]  And then they have chalices and gather their blood and then drink it.
[25:59.000 --> 26:05.000]  That's exactly the type of rituals I even know the name of that ritual.
[26:05.000 --> 26:10.000]  But that this is the real deal, folks, the real deal.
[26:10.000 --> 26:14.000]  And so when you wonder, why are they so evil? Why are they so bad?
[26:14.000 --> 26:22.000]  Because evil had to recruit a cohort, a cadre, a legion of evil that would carry out the post-human world,
[26:22.000 --> 26:27.000]  that would poison their own species, that would put up the electromagnetic systems that give us cancer,
[26:27.000 --> 26:30.000]  that would feed us the GMO, that would destroy our attention spans,
[26:30.000 --> 26:37.000]  that would deploy computers and systems designed to destroy our very humanity and make us depressed and control us.
[26:37.000 --> 26:40.000]  And that's all admitted by Silicon Valley.
[26:40.000 --> 26:47.000]  It's the apple, the knowledge of evil that Eve gave Adam.
[26:47.000 --> 26:52.000]  And what does apple symbol? Made in slave factories and enslaving your mind.
[26:52.000 --> 26:54.000]  It's an apple with a bite out of it.
[26:54.000 --> 26:58.000]  The knowledge of good was there, how to be good, how to be just,
[26:58.000 --> 27:04.000]  but then it was the knowledge of manipulation and corruption and how to control and how to feed on fellow humans
[27:04.000 --> 27:08.000]  and how to keep people stupid so you dominate them.
[27:08.000 --> 27:13.000]  And so we're now being force-fed the apple.
[27:13.000 --> 27:17.000]  And then to live in the system, in this new environment, we're going to have to hurt fellow humans
[27:17.000 --> 27:23.000]  and do bad things and trample on others so that there's no one left at the end to stand up for ourselves.
[27:23.000 --> 27:29.000]  And humanity is atomized and separated and defeated.
[27:29.000 --> 27:33.000]  Can you guys pull up the logo of apple, please?
[27:33.000 --> 27:37.000]  What an evil symbol in your face, the apple of forbidden knowledge.
[27:37.000 --> 27:44.000]  The apple of the knowledge of good and evil.
[27:44.000 --> 27:47.000]  Just give me Dr. Kim shots as soon as we can. It's all right.
[27:47.000 --> 27:54.000]  I mean, this is all just right out in the open, ladies and gentlemen,
[27:54.000 --> 27:58.000]  because they metaphysically have to put it out in the open.
[27:58.000 --> 28:01.000]  And what is it? It's a poison apple.
[28:01.000 --> 28:14.000]  What is the witch in Snow White give the young, prepubescent girl who's going into puberty?
[28:14.000 --> 28:18.000]  She goes to the mirror and she says, who's the fairest of the all? It's not you.
[28:18.000 --> 28:21.000]  She wants that essence.
[28:21.000 --> 28:23.000]  She wants the girl's heart cut out.
[28:23.000 --> 28:25.000]  I mean, too much if she wanted to drink the blood or bathe the blood.
[28:25.000 --> 28:30.000]  She wants the woodsman to cut the heart out.
[28:30.000 --> 28:38.000]  And then when that doesn't work, she pours her hatred and her essence into a poison and puts it into the apple
[28:38.000 --> 28:42.000]  so that she can trick her and get her to bite into it and put her into a deep trance
[28:42.000 --> 28:46.000]  so she doesn't know who she is, the real queen, the real goddess of the future,
[28:46.000 --> 28:50.000]  but only a prince, a man standing up for her who loves her can free her.
[28:50.000 --> 28:53.000]  But we're not going to free the little girls and little boys, are we?
[28:53.000 --> 29:21.000]  We're going to let the witch shit there and torture the living hell out of them.
[29:21.000 --> 29:23.000]  My blood pressure has normalized.
[29:23.000 --> 29:25.000]  My diabetes has totally improved.
[29:25.000 --> 29:29.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[29:29.000 --> 29:32.000]  I recommend heart and body extract to everyone.
[29:32.000 --> 29:58.000]  Everybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:58.000 --> 30:02.000]  Major report out of major university.
[30:02.000 --> 30:06.000]  Researchers working on food-based treatment to slow aging science daily.
[30:06.000 --> 30:13.000]  Probiotics in the gut of a particular type cause your entire body to be healthier and make you live longer and make you not get intestinal cancer.
[30:13.000 --> 30:17.000]  We have the very best formula, literally, with what they even mentioned in the studies.
[30:17.000 --> 30:29.000]  And it explains the hormone called FGF21, pro longevity, heals the entire body and actually reverses aging, but is only made in the lower intestine.
[30:29.000 --> 30:30.000]  Oh, and what does it say?
[30:30.000 --> 30:35.000]  It's fiber from a spectrum of certain types of berries that grows this.
[30:35.000 --> 30:37.000]  And yes, this is a plug, gut fusion.
[30:37.000 --> 30:39.000]  And what do we have in this?
[30:39.000 --> 30:45.000]  High auric berry blend, strawberry, blueberry, blackberry, cranberry, escoglio, grape and pomegranate.
[30:45.000 --> 30:49.000]  It's the pulp from them that then grows this.
[30:49.000 --> 30:52.000]  Gut fusion for children, for young people, for old people, for everybody.
[30:52.000 --> 30:54.000]  This is fiber and glutamine.
[30:54.000 --> 30:55.000]  You're not going to find a better formula.
[30:55.000 --> 30:57.000]  Gut fusion, it's amazing.
[30:57.000 --> 30:58.000]  Infoorstore.com.
[30:58.000 --> 31:00.000]  Infoorstore.com.
[31:00.000 --> 31:06.000]  We have a new product, and we got several thousand of these in, and they're going to sell out in a few days at the rate we're selling them.
[31:06.000 --> 31:11.000]  I want to thank the listeners for getting it, but this really is a game-changing toothpaste.
[31:11.000 --> 31:18.000]  And it doesn't compete with super blue that's four to five of colloidal silver and iodine and fluoride-free.
[31:18.000 --> 31:20.000]  The adult or the children's.
[31:20.000 --> 31:23.000]  These are both excellent toothpaste, concentrates that don't have fillers.
[31:23.000 --> 31:24.000]  People love it.
[31:24.000 --> 31:33.000]  This is a whitening toothpaste that also has the above sea coral calcium that also cleans, but also re-mineralizes the teeth.
[31:33.000 --> 31:39.000]  Then it has the patented silver salt, silver in it to knock out the bacteria that causes gingivitis.
[31:39.000 --> 31:40.000]  This is all proven.
[31:40.000 --> 31:53.000]  It may claims with this, but I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses, and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[31:53.000 --> 31:54.000]  So we're really proud of it.
[31:54.000 --> 31:55.000]  It funds the operation.
