whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:02:12.000 --> 00:02:16.000]   But it doesn't matter. It's going to bring in another 30 million after that.
[00:02:16.000 --> 00:02:21.000]   And these people think the Democrats who give them welfare and all this are their buddies,
[00:02:21.000 --> 00:02:25.000]   they will vote to overthrow the country completely.
[00:02:25.000 --> 00:02:29.000]   And we're on the razor's edge of being able to turn back the globalist offensive.
[00:02:29.000 --> 00:02:33.000]   And that's why they're trying to get their entire agenda through right now.
[00:02:33.000 --> 00:02:40.000]   So we're going to be breaking all of that down and some of Obama's latest activities.
[00:02:40.000 --> 00:02:49.000]   Obama's climate hubs, I read the entire executive order establishing the Rural Affairs Commission
[00:02:49.000 --> 00:02:56.000]   four years ago that Homeland Security and the Pentagon jointly sit on the top of the organizational chart.
[00:02:56.000 --> 00:03:05.000]   In fact, will you guys print me the Rural Affairs Commission and Bureau that Obama set up,
[00:03:05.000 --> 00:03:08.000]   the executive order and some articles about it because I want to be able to show folks that.
[00:03:08.000 --> 00:03:13.000]   And Homeland Security and the Department of Defense, NORTHCOM are over that.
[00:03:13.000 --> 00:03:20.000]   And I told you they're going to set up local spy bases in every city that are basically like farming threat fusion centers
[00:03:20.000 --> 00:03:24.000]   that "will track environmental threats."
[00:03:24.000 --> 00:03:31.000]   And they're going to literally have their local politico minions, commissars,
[00:03:31.000 --> 00:03:35.000]   already Nature Conservancy, Sierra Club and others have these.
[00:03:35.000 --> 00:03:40.000]   Because I've experienced it with our ranch, with the local ranches in East Texas.
[00:03:40.000 --> 00:03:46.000]   And they'll send them in to identify things, to harass people, call in the EPA on farmers, you name it.
[00:03:46.000 --> 00:03:50.000]   Remember they tried to ban hay dust four years ago?
[00:03:50.000 --> 00:03:54.000]   They tried to ban two years ago children being able to do chores on the farm.
[00:03:54.000 --> 00:04:03.000]   This is the rural spy CIA NSA grid on record with drones.
[00:04:03.000 --> 00:04:07.000]   And so Watson, I was talking to Watson this morning, he was like, "What do you think I ought to write about?"
[00:04:07.000 --> 00:04:09.000]   Usually Watson comes up with his own research.
[00:04:09.000 --> 00:04:12.000]   But a lot of times, you know, I call up and give him ideas.
[00:04:12.000 --> 00:04:14.000]   And so I probably need to call Watson up.
[00:04:14.000 --> 00:04:17.000]   I said, "I don't know what you should write about."
[00:04:17.000 --> 00:04:21.000]   I mean there's so much going on, you could write about all the latest Obamacare stuff.
[00:04:21.000 --> 00:04:27.000]   We don't want to get Obamacare fatigue and just let them win and stop exposing how horrible it is.
[00:04:27.000 --> 00:04:33.000]   But now I realize we need to integrate in and talk about this because it's an article about
[00:04:33.000 --> 00:04:39.000]   "Obama launches climate hubs," that's what it's called, "to help farmers and communities."
[00:04:39.000 --> 00:04:42.000]   And of course Obamacare is meant to help you too.
[00:04:42.000 --> 00:04:46.000]   Shutting down all the power plants is meant to help you as well.
[00:04:46.000 --> 00:04:53.000]   Now the goal is to bankrupt you and make you dependent, and they are targeting the country boy that can survive, as I've told you.
[00:04:53.000 --> 00:04:59.000]   In all the Pentagon drills, they trained a literally machine gun people that look like your grandpa wearing John Deere hats.
[00:04:59.000 --> 00:05:02.000]   The facts are in. The studies are legion.
[00:05:02.000 --> 00:05:10.000]   Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:05:10.000 --> 00:05:14.000]   So why are the social engineers adding it to the water?
[00:05:14.000 --> 00:05:19.000]   For example, dumb down the host population that the parasitic technocracy is feeding on.
[00:05:19.000 --> 00:05:25.000]   We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:05:25.000 --> 00:05:30.000]   I am extremely excited to announce the exclusive InfoWars Life fluoride shield formulation,
[00:05:30.000 --> 00:05:39.000]   fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body,
[00:05:39.000 --> 00:05:41.000]   but a whole host of toxic substances.
[00:05:41.000 --> 00:05:45.000]   Let's take a stand against the globalist by blocking their poisons with fluoride shield.
[00:05:45.000 --> 00:05:47.000]   I use fluoride shield every day.
[00:05:47.000 --> 00:05:53.000]   Secure your fluoride shield and other pioneering formulations at InfoWarsLife.com today.
[00:05:53.000 --> 00:05:57.000]   Let's start cleansing our bodies now and support the InfoWar at the same time.
[00:05:57.000 --> 00:05:59.000]   That's InfoWarsLife.com.
[00:05:59.000 --> 00:06:03.000]   Alex Jones here to tell you about how you can help spread liberty worldwide,
[00:06:03.000 --> 00:06:10.000]   while also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[00:06:10.000 --> 00:06:13.000]   My favorite coffee has come from the high mountains of southern Mexico,
[00:06:13.000 --> 00:06:17.000]   where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:06:17.000 --> 00:06:22.000]   We have now managed to secure the sought-after beans in a highly customized blend.
[00:06:22.000 --> 00:06:29.000]   Discover and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com.
[00:06:29.000 --> 00:06:36.000]   This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:06:36.000 --> 00:06:43.000]   Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:06:43.000 --> 00:06:47.000]   Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:06:47.000 --> 00:06:53.000]   Available in original or with our immune support infusion blend, you will be supporting a free press,
[00:06:53.000 --> 00:06:57.000]   all the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:57.000 --> 00:07:00.000]   Available at InfoWarsLife.com.
[00:07:00.000 --> 00:07:07.000]   In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine,
[00:07:07.000 --> 00:07:11.000]   a practice now banned in nations around the world.
[00:07:11.000 --> 00:07:14.000]   Guess what else is in the halogen family? Fluoride.
[00:07:14.000 --> 00:07:16.000]   Ladies and gentlemen, Alex Jones here.
[00:07:16.000 --> 00:07:22.000]   In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:07:22.000 --> 00:07:27.000]   It's the good halogen on the periodic table, and the results are on record.
[00:07:27.000 --> 00:07:33.000]   Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:07:33.000 --> 00:07:38.000]   Bottom line, iodine is important. Unbound, clean, and a glycerin base.
[00:07:38.000 --> 00:07:42.000]   Nascent iodine was the answer for myself and my family.
[00:07:42.000 --> 00:07:47.000]   You will find survival shield nascent iodine exclusively at InfoWarsLife.com.
[00:07:47.000 --> 00:07:52.000]   InfoWarsLife survival shield nascent iodine isn't just for emergencies.
[00:07:52.000 --> 00:08:00.000]   I take it every day. That's InfoWarsLife.com or call toll free 888-253-3139.
[00:08:00.000 --> 00:08:07.000]   Hi, I'm Janet Napolitano, Secretary of the Department of Homeland Security.
[00:08:07.000 --> 00:08:11.000]   Homeland security begins with hometown security.
[00:08:11.000 --> 00:08:19.000]   It seems apparent that our citizens are staying off the streets,
[00:08:19.000 --> 00:08:25.000]   which may make scoring particularly difficult, even with this year's rule changes.
[00:08:25.000 --> 00:08:34.000]   To recap those revisions, women are still worth 10 points more than men at all age brackets,
[00:08:34.000 --> 00:08:43.000]   but teenagers now rack up 40 points, and toddlers under 12 now rate a big 70 points.
[00:08:43.000 --> 00:08:46.000]   This is the new police state training manual video.
[00:08:46.000 --> 00:08:53.000]   Any step over 75 years old has been upped to 100 points.
[00:08:53.000 --> 00:09:00.000]   As always, how fast you move determines how long you live.
[00:09:00.000 --> 00:09:10.000]   Resistance to tyrants is obedience to God. It's Alex Jones.
[00:09:14.000 --> 00:09:20.000]   Come on, baby. Take a chance with me. I'm your live wire.
[00:09:20.000 --> 00:09:22.000]   Break it up for a minute.
[00:09:22.000 --> 00:09:34.000]   Who's producing music like this nowadays?
[00:09:34.000 --> 00:09:37.000]   Maybe folks don't like it. Maybe not a bad taste.
[00:09:39.000 --> 00:09:50.000]   I'm alive. I'm running free. I'm live wire.
[00:09:50.000 --> 00:09:55.000]   Resistance to tyrants is obedience to God.
[00:09:55.000 --> 00:10:00.000]   You need to be live wires, folks, and stop being slaves.
[00:10:00.000 --> 00:10:02.000]   Oh, best part right here.
[00:10:05.000 --> 00:10:08.000]   Ladies and gentlemen, it is the 5th day of February, 2014.
[00:10:08.000 --> 00:10:11.000]   We are transmitting worldwide.
[00:10:11.000 --> 00:10:20.000]   Come on, baby. Gotta play with me. Well, I'm your live wire.
[00:10:20.000 --> 00:10:25.000]   We have a really sad story coming up, and we've got his lawyer who's been doing a great job in studio with us
[00:10:25.000 --> 00:10:28.000]   out in Bastrop, Texas, outside Austin.
[00:10:28.000 --> 00:10:33.000]   Months ago, there was a little scuffle going on. There was a bystander watching it.
[00:10:33.000 --> 00:10:35.000]   The video's now been released finally by the police.
[00:10:35.000 --> 00:10:39.000]   He was just standing there doing nothing, so the police tasered him in the back.
[00:10:39.000 --> 00:10:44.000]   Kind of like buck fever, folks. You take deer hunting for the first time, we'll shoot a neighboring cow,
[00:10:44.000 --> 00:10:49.000]   or we'll shoot the first deer they see, even though it doesn't have antlers, or we'll shoot another person.
[00:10:49.000 --> 00:10:54.000]   That's what I see in a lot of these cop videos, where sometimes they'll just pull a gun out for no reason,
[00:10:54.000 --> 00:10:57.000]   not just a taser, and just shoot someone.
[00:10:57.000 --> 00:11:01.000]   And then, of course, try to grab all the surveillance tape, but then later,
[00:11:01.000 --> 00:11:05.000]   surveillance tape will get leaked, or somebody's hiding in the bushes videotaping it.
[00:11:05.000 --> 00:11:11.000]   There's been so many cases of that, like the famous case with the DART subways and train stations
[00:11:11.000 --> 00:11:17.000]   out in San Francisco, where they hear there's a fight on the bus, on the train.
[00:11:17.000 --> 00:11:21.000]   Nobody had been involved in a fight, it turned out.
[00:11:21.000 --> 00:11:28.000]   They grab the wrong group of people, put the guy in handcuffs, take a gun out, shoot him right in the back.
[00:11:28.000 --> 00:11:32.000]   Bullet goes through, bounces off the concrete, right back into his heart.
[00:11:32.000 --> 00:11:35.000]   So he got shot twice by the same bullet.
[00:11:35.000 --> 00:11:41.000]   And they go and grab everybody's cameras on tape, but somebody's in a train hiding,
[00:11:41.000 --> 00:11:44.000]   and the train pulls out and gets it all on tape.
[00:11:44.000 --> 00:11:49.000]   They file the report saying he tried to take the gun from the officers, they had to take him out.
[00:11:49.000 --> 00:11:52.000]   And none of the cops got in trouble for lying.
[00:11:52.000 --> 00:11:58.000]   The cop that did the killing ended up getting two years in jail and served less than a year
[00:11:58.000 --> 00:12:02.000]   for just absolutely cold-bloodedly executing that man.
[00:12:02.000 --> 00:12:08.000]   And of course, in the case of the homeless man that they beat to death, the son of a police officer,
[00:12:08.000 --> 00:12:11.000]   and then got caught lying about that, they've now been found not guilty,
[00:12:11.000 --> 00:12:14.000]   because the police said he might have had a pre-existing heart condition.
[00:12:14.000 --> 00:12:20.000]   That's right, having his head and throat and legs and kidneys and everything stomped and beat in
[00:12:20.000 --> 00:12:24.000]   by eight police officers had nothing to do with it.
[00:12:24.000 --> 00:12:27.000]   There are so many cases of that.
[00:12:27.000 --> 00:12:37.000]   There are just so many, so many examples of this.
[00:12:37.000 --> 00:12:48.000]   It truly and absolutely boggles the mind on every front that these type of things are unfolding.
[00:12:48.000 --> 00:12:58.000]   And it shows the militarization of police that is getting more and more serious by the minute.
[00:12:58.000 --> 00:13:04.000]   Now, here is the Washington Post speaking of this, and then I'm going to shift gears into other news,
[00:13:04.000 --> 00:13:08.000]   and then get back into this in the next hour with the lawyer who's going to be in studio with us.
[00:13:08.000 --> 00:13:16.000]   But the Washington Post, "Scenes from a militarized America, Iowa family terrorized."
[00:13:16.000 --> 00:13:23.000]   And the Washington Post says, "We're in danger. Militarized police trained for the drug war
[00:13:23.000 --> 00:13:29.000]   are now being used for reported credit card fraud," where it turned out the people were innocent.
[00:13:29.000 --> 00:13:34.000]   And they come in the house and break their surveillance cameras and assault them, basically.
[00:13:34.000 --> 00:13:38.000]   And it's these images that really do terrorize the public.
[00:13:38.000 --> 00:13:41.000]   But they are meant to terrorize the public.
[00:13:41.000 --> 00:13:48.000]   They wear the black mask, the balaclava, all of it for intimidation and for the projection of power.
[00:13:48.000 --> 00:13:57.000]   The problem with all of this is that the government, the criminal elements of the government, on record,
[00:13:57.000 --> 00:14:01.000]   ship in the majority of the narcotics.
[00:14:01.000 --> 00:14:06.000]   The big banks publicly launder almost all of the drug money, and police will tell you,
[00:14:06.000 --> 00:14:09.000]   "We're not allowed to investigate them. They are above the law."
[00:14:09.000 --> 00:14:13.000]   Now, obviously, the drug culture is where criminals already gravitate to.
[00:14:13.000 --> 00:14:19.000]   There's a lot of bad people in it, a lot of criminals in it, because we've given them this black market.
[00:14:19.000 --> 00:14:23.000]   So I'm not endorsing the drug culture by any stretch of the imagination.
[00:14:23.000 --> 00:14:25.000]   I absolutely abhor it.
[00:14:25.000 --> 00:14:37.000]   My issue here is that they have now arrested a whole bunch of people in a raid on the actor Hoffman's death from heroin,
[00:14:37.000 --> 00:14:42.000]   a particularly strong type known as the Ace of Spades.
[00:14:42.000 --> 00:14:46.000]   They give these things brand names.
[00:14:46.000 --> 00:14:51.000]   And Hoffman reportedly was found dead, never even got the needle out of his arm.
[00:14:51.000 --> 00:14:57.000]   Philip Seymour Hoffman, a very talented actor who struggled with substance abuse.
[00:14:57.000 --> 00:15:04.000]   And so they've now raided the house, the apartment building, they believe, where they were selling the heroin.
[00:15:04.000 --> 00:15:16.000]   Our Marines and Army on record grow and protect the majority of the poppy fields in Afghanistan.
[00:15:16.000 --> 00:15:22.000]   And if you look at the BBC's own numbers, in the 11 years, it's now 12 years,
[00:15:22.000 --> 00:15:29.000]   but the first 11 years of the liberation from the Taliban, yeah, right, totally staged war,
[00:15:29.000 --> 00:15:34.000]   they only arrested a few Taliban groups that had actually been pro-America and exposed Al Qaeda
[00:15:34.000 --> 00:15:37.000]   and tried to turn bin Laden over in the year before and were aware of what was happening.
[00:15:37.000 --> 00:15:40.000]   That actually came out in the foreign press, by the way.
[00:15:40.000 --> 00:15:48.000]   And then they basically, you know, the fake war they had was real Al Qaeda with proxy 14-year-old, 15-year-old conscripts
[00:15:48.000 --> 00:15:55.000]   in dugouts out front of the major cities that then our military was told to target.
[00:15:55.000 --> 00:15:58.000]   And so it was all a simulated fake war.
[00:15:58.000 --> 00:16:03.000]   And U.S. Special Forces colonels went public in the San Francisco Chronicle and talked about this,
[00:16:03.000 --> 00:16:05.000]   the airlift of evil, all of it.
[00:16:05.000 --> 00:16:09.000]   And so you fast forward over the next 11 years, I'm just giving you numbers from a year ago,
[00:16:09.000 --> 00:16:19.000]   over the next 11 years, now it's 12, 13 years, and the production is up 11 to 12-fold.
[00:16:19.000 --> 00:16:23.000]   It was 10-fold within five years and 11-fold, then 12-fold.
[00:16:23.000 --> 00:16:30.000]   For a short period it went to 13-fold and then now it's back down to 11-fold, the numbers we saw in 2012.
[00:16:30.000 --> 00:16:33.000]   So you've got an 11-fold increase in opium.
[00:16:33.000 --> 00:16:40.000]   Less than 7% of world opium supply in 2001 was coming out of Afghanistan.
[00:16:40.000 --> 00:16:49.000]   It is now 93%. In fact, guys, just show people, 93% of world opium that's turned into heroin,
[00:16:49.000 --> 00:17:00.000]   it's purified and concentrated into heroin, 93% of world opium is cultivated under the loving NATO eyes
[00:17:00.000 --> 00:17:06.000]   and then loaded on C-130s and shipped in to Russia, Eastern Europe, Western Europe.
[00:17:06.000 --> 00:17:14.000]   The Pentagon flies it in to southern Serbia, now under al-Qaeda control, the KLA,
[00:17:14.000 --> 00:17:17.000]   and then it's distributed out through Europe from there.
[00:17:17.000 --> 00:17:20.000]   Russia has complained about this, it's been devastating Russia.
[00:17:20.000 --> 00:17:22.000]   It's been used as a weapon system against Russia.
[00:17:22.000 --> 00:17:27.000]   And so they're going to go bust who they allegedly say sold the heroin, probably did.
[00:17:27.000 --> 00:17:33.000]   They look like a bunch of scum to me, classic heroin heads, people that would sell this type of poison to people.
[00:17:33.000 --> 00:17:40.000]   But they're selling hillbilly heroin to everybody for decades, you know, take Oxycontin, take hydrocodone, all that garbage.
[00:17:40.000 --> 00:17:45.000]   But I mean, there's the voice of Russia, US-NATO protecting opium in Afghanistan.
[00:17:45.000 --> 00:17:47.000]   I just showed you a New York Times article saying the same thing.
[00:17:47.000 --> 00:17:55.000]   Guys, if you put in Afghanistan 93% of world opium production, you'll get an AP article from two years ago.
[00:17:55.000 --> 00:18:02.000]   The point is they went from 7% to 93% of world opium production, and that's 12, 13 times.
[00:18:02.000 --> 00:18:07.000]   There it is, US expects record poppy crop in Afghanistan.
[00:18:07.000 --> 00:18:14.000]   And it said it soared to over 93% of world production.
[00:18:14.000 --> 00:18:16.000]   There you go, boom, 93%.
[00:18:16.000 --> 00:18:19.000]   And I was saying from 2001 it was less than seven.
[00:18:19.000 --> 00:18:25.000]   They use a number in USA Today from 2006 that it was 34% of world production.
[00:18:25.000 --> 00:18:29.000]   Yeah, it went from 7% or less to 34% in five years.
[00:18:29.000 --> 00:18:33.000]   And then after that, it jumped up to 93%.
[00:18:33.000 --> 00:18:35.000]   Okay, now let's just get this straight.
[00:18:35.000 --> 00:18:37.000]   You understand what I'm saying here?
[00:18:37.000 --> 00:18:41.000]   They are shipping it into our country, and then people are mainlining this stuff.
[00:18:41.000 --> 00:18:44.000]   There is a heroin epidemic. People think it's so cool.
[00:18:44.000 --> 00:18:45.000]   Let me tell young people something.
[00:18:45.000 --> 00:18:49.000]   Do not ever, ever take heroin.
[00:18:49.000 --> 00:18:58.000]   I've taken heroin one time and not via a needle when I was 15 at a party, a beer party, you know, where two beers would get us drunk or whatever.
[00:18:58.000 --> 00:18:59.000]   Parents are out of town.
[00:18:59.000 --> 00:19:05.000]   You know, you have friends come over, and somebody put a heroin pill in a beer and didn't tell me.
[00:19:05.000 --> 00:19:08.000]   And folks, I thought I was going to die.
[00:19:08.000 --> 00:19:10.000]   I thought I was going to die.
[00:19:10.000 --> 00:19:12.000]   I guess they call that slipping somebody a Mickey.
[00:19:12.000 --> 00:19:15.000]   They're like, "Oh, we did it because we're your friends."
[00:19:15.000 --> 00:19:18.000]   And these were like 18-year-olds doing this, and they gave a couple of--
[00:19:18.000 --> 00:19:23.000]   And I had, like, nightmares while I was awake, like Edgar Allan Poe who was on heroin.
[00:19:23.000 --> 00:19:29.000]   I laid there in the dark five hours into it just praying for it to end.
[00:19:29.000 --> 00:19:34.000]   And then for two days, I felt like the worst hangover of my life.
[00:19:34.000 --> 00:19:37.000]   I mean, I just absolutely felt like total crap.
[00:19:37.000 --> 00:19:39.000]   It literally destroys your soul.
[00:19:39.000 --> 00:19:41.000]   And so there you go.
[00:19:41.000 --> 00:19:44.000]   Just young people, never use the trash.
[00:19:44.000 --> 00:19:45.000]   Exercise.
[00:19:45.000 --> 00:19:46.000]   Get in shape.
[00:19:46.000 --> 00:19:48.000]   Don't do drugs, folks.
[00:19:48.000 --> 00:19:49.000]   But don't do drugs.
[00:19:49.000 --> 00:19:52.000]   If the system says don't do drugs, just sell it to you, the idea of taking them.
[00:19:52.000 --> 00:19:53.000]   Don't use it.
[00:19:53.000 --> 00:19:55.000]   Don't give your money to the big banks.
[00:19:55.000 --> 00:19:57.000]   That's how you fight the New World Order.
[00:19:57.000 --> 00:19:58.000]   Don't use any of it.
[00:19:58.000 --> 00:20:00.000]   We'll be back with huge UN news.
[00:20:00.000 --> 00:20:04.000]   [music]
[00:20:04.000 --> 00:20:09.000]   In the U.S., one in every 50 homes will have a break-in this year.
[00:20:09.000 --> 00:20:11.000]   Burglars call it smash and grab.
[00:20:11.000 --> 00:20:13.000]   Police call it robbery.
[00:20:13.000 --> 00:20:15.000]   We call it avoidable.
[00:20:15.000 --> 00:20:21.000]   We are fake TV, a simple electronic device that can fool even professional burglars.
[00:20:21.000 --> 00:20:27.000]   Fake TV easily plugs into any outlet and simulates the changing colors of a television.
[00:20:27.000 --> 00:20:31.000]   To a burglar, it looks like someone must be home watching TV,
[00:20:31.000 --> 00:20:34.000]   so they'll likely move on to an easier target.
[00:20:34.000 --> 00:20:40.000]   At only $29.95, fake TV costs less than a month of most alarm monitoring plans
[00:20:40.000 --> 00:20:42.000]   and comes with free shipping.
[00:20:42.000 --> 00:20:48.000]   Order your fake TV by calling 877-5-FAKE-TV or go to fakeTV.com.
[00:20:48.000 --> 00:20:54.000]   That's 877-532-5388 or fakeTV.com.
[00:20:54.000 --> 00:20:57.000]   Fake TV, the burglar deterrent.
[00:20:57.000 --> 00:21:00.000]   [music]
[00:21:00.000 --> 00:21:03.000]   Hi, folks. Alex Jones here with some important information.
[00:21:03.000 --> 00:21:08.000]   I want to tell you about Matt Redhawk and his team of patriots over at MyPatriotSupply.
[00:21:08.000 --> 00:21:11.000]   Several years ago, Matt was sitting in his two-bedroom apartment,
[00:21:11.000 --> 00:21:13.000]   frustrated with the direction this country was headed
[00:21:13.000 --> 00:21:16.000]   and the charlatans willing to sell us out for a quick buck.
[00:21:16.000 --> 00:21:21.000]   Deciding to take action, a company run by patriots for patriots was born.
[00:21:21.000 --> 00:21:25.000]   MyPatriotSupply has never taken a loan or accepted outside funding.
[00:21:25.000 --> 00:21:27.000]   They now operate two distribution facilities
[00:21:27.000 --> 00:21:30.000]   and employ over 50 hardworking American men and women.
[00:21:30.000 --> 00:21:33.000]   It is rare to find companies who practice what they preach,
[00:21:33.000 --> 00:21:39.000]   and that's why I stock my pantry with high-quality, storable foods from MyPatriotSupply.
[00:21:39.000 --> 00:21:45.000]   Go to MyPatriotSupply.com/Alex today for special offers on emergency food storage
[00:21:45.000 --> 00:21:50.000]   or call their preparedness specialist at 866-229-0927.
[00:21:50.000 --> 00:21:53.000]   That's 866-229-0927.
[00:21:53.000 --> 00:21:56.000]   Do business with someone who shares your values.
[00:21:56.000 --> 00:21:59.000]   MyPatriotSupply.com/Alex.
[00:21:59.000 --> 00:22:04.000]   If you ever wanted to get off the grid and start generating your own supply of electricity,
[00:22:04.000 --> 00:22:07.000]   this will be the most important message you'll ever hear.
[00:22:07.000 --> 00:22:12.000]   Hi, I'm Brian Brotty with a time-sensitive solar generator offer from Solutions from Science.
[00:22:12.000 --> 00:22:15.000]   Remember, solar generators provide life-saving electrical power,
[00:22:15.000 --> 00:22:19.000]   and unlike gas generators, solar generators run quietly, emit no fumes,
[00:22:19.000 --> 00:22:22.000]   and produce free electricity from the sun.
[00:22:22.000 --> 00:22:23.000]   Here's the good news.
[00:22:23.000 --> 00:22:28.000]   Our Power Hub solar generator on sale now is one of our most powerful solar generators,
[00:22:28.000 --> 00:22:30.000]   and due to an overwhelming demand from our customers,
[00:22:30.000 --> 00:22:34.000]   we've recently restocked this remarkable solar workhorse.
[00:22:34.000 --> 00:22:35.000]   The Power Hub is easy to use.
[00:22:35.000 --> 00:22:37.000]   Just point, plug, and power up.
[00:22:37.000 --> 00:22:41.000]   Even better, with dramatic price reductions on the Power Hub,
[00:22:41.000 --> 00:22:43.000]   with bonuses worth thousands of dollars,
[00:22:43.000 --> 00:22:45.000]   there's never been a better time to get off the grid
[00:22:45.000 --> 00:22:49.000]   and generate your own private supply of electricity.
[00:22:49.000 --> 00:22:52.000]   Go to SolarGeneratorFreedom.com to learn more.
[00:22:52.000 --> 00:22:54.000]   That's SolarGeneratorFreedom.com.
[00:22:54.000 --> 00:22:55.000]   Get off the grid.
[00:22:55.000 --> 00:22:57.000]   Go to SolarGeneratorFreedom.com.
[00:22:57.000 --> 00:22:59.000]   That's SolarGeneratorFreedom.com.
[00:22:59.000 --> 00:23:00.000]   [gunshots]
[00:23:00.000 --> 00:23:04.000]   That's the sound of a .44 Magnum and TraumaMaxx,
[00:23:04.000 --> 00:23:08.000]   a high-tech hybrid Kevlar bulletproof vest from InfidelBodyArmor.com.
[00:23:08.000 --> 00:23:11.000]   We'll stop it and most pistol rounds.
[00:23:11.000 --> 00:23:14.000]   TraumaMaxx is a major breakthrough in pistol-rated body armor,
[00:23:14.000 --> 00:23:17.000]   and prices start at just $170 per insert.
[00:23:17.000 --> 00:23:21.000]   More protection, more stopping power, more mobility,
[00:23:21.000 --> 00:23:23.000]   and it weighs less than 5 pounds.
[00:23:23.000 --> 00:23:26.000]   Get details at InfidelBodyArmor.com.
[00:23:26.000 --> 00:23:29.000]   That's I-N-F-I-D-E-L-BodyArmor.com.
[00:23:29.000 --> 00:23:33.000]   You've been hearing about the amazing benefits of Heart and Body Extract for many years.
[00:23:33.000 --> 00:23:35.000]   Now, hear from the co-founder.
[00:23:35.000 --> 00:23:38.000]   My name is Tony Knudsen, and I am the co-founder of Heart and Body Extract.
[00:23:38.000 --> 00:23:40.000]   We've been in business for over 13 years now.
