[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[00:08:10.057 --> 00:08:10.958]  Well, so does he.
[00:08:10.958 --> 00:08:15.822]  He's Alex Jones on the GCN Radio Network.
[00:08:15.822 --> 00:08:19.865]  And now, live from Austin, Texas, Alex Jones.
[00:08:21.686 --> 00:08:29.873]  By the way, we're going to have Tex Mars in studio for two hours on Thursday, and it looks like Jim Mars will be in studio with us as well on Friday.
[00:08:29.873 --> 00:08:37.740]  Congressman Ron Paul joins us right at the start of this worldwide transmission against tyranny and defense of liberty tomorrow.
[00:08:37.740 --> 00:08:39.501]  Wednesday morning, the 17th of December, 2008.
[00:08:42.505 --> 00:08:48.888]  I do want to take some phone calls here in the first hour on any news item, any issue you wish to discuss.
[00:08:48.888 --> 00:09:00.993]  I would imagine you'd want to talk about what's happening with the economy or the fact that the Marines and the Highway Patrol have been deceptive in California about the Marines being involved in the checkpoints and there's so many other issues.
[00:09:00.993 --> 00:09:02.453]  So the toll-free number to join us is 1-800
[00:09:03.814 --> 00:09:06.375]  259-9231-800-259-9231.
[00:09:06.375 --> 00:09:11.718]  You know, I mentioned this on Friday.
[00:09:11.718 --> 00:09:18.921]  I talked a little bit about it on Sunday, but I really haven't gotten into enough detail on it, so today I'm going to attempt to spend some time on this.
[00:09:18.921 --> 00:09:22.142]  Constitution rewrite only two states away.
[00:09:22.142 --> 00:09:25.124]  Critics say this is a horrible time to try such a crazy scheme.
[00:09:26.306 --> 00:09:28.507]  Kurt Nimmo did a report over the weekend on it.
[00:09:28.507 --> 00:09:32.929]  Globalist Constitutional Convention dealt a defeat in Ohio.
[00:09:32.929 --> 00:09:37.511]  One of the two states that are trying to pass it, but they're coming back attempting to do it.
[00:09:37.511 --> 00:09:52.798]  On Wednesday of last week, the Ohio Judiciary Committee were confronted by members of the Campaign for Liberty, Ohio, Freedom Alliance, We Are Change Ohio, John Birch Society, the Institute for Principled Policy, Constitution Party of Ohio, the Libertarian Party of Ohio, who testified against
[00:09:53.718 --> 00:09:59.242]  The House resolution there in the legislature to be one of the final states to send this through.
[00:09:59.242 --> 00:10:00.523]  Again, they're only two states away.
[00:10:00.523 --> 00:10:05.166]  In Ohio, call for an Article 5 Constitutional Convention.
[00:10:05.166 --> 00:10:08.988]  And we have a video posted on InfoWars.com right now.
[00:10:08.988 --> 00:10:11.830]  And the committee voted for now to set it aside.
[00:10:11.830 --> 00:10:14.852]  But the fight is intensifying on that front.
[00:10:14.852 --> 00:10:18.614]  I know most listeners of this radio show know what a Constitutional Convention means.
[00:10:18.614 --> 00:10:19.255]  Some may not.
[00:10:20.421 --> 00:10:31.157]  We have not had one since 1913 when they gave us the 17th Amendment that took the Senators away from the states before the legislatures would appoint them.
[00:10:31.157 --> 00:10:35.463]  That would mean they were creatures of the state, a powerful tool for the 10th Amendment.
[00:10:36.647 --> 00:10:43.573]  Now they are popularly elected, which they call pure democracy, but it's not because it makes the federal power be overwhelming.
[00:10:43.573 --> 00:10:53.321]  Instead of elected representatives that you elect at the state level, they then appoint with another vote, which is democratic in the republic form of government, the senator.
[00:10:53.321 --> 00:10:57.264]  They also gave us the income tax in 1913 and a lot more.
[00:10:57.264 --> 00:11:04.170]  What are the groups saying that are trying to pass the Constitutional Convention and have quietly gotten
[00:11:05.490 --> 00:11:06.651]  30 plus states.
[00:11:06.651 --> 00:11:07.651]  They only need two more.
[00:11:07.651 --> 00:11:10.093]  32 states have already done it.
[00:11:10.093 --> 00:11:12.234]  If they get 34, it's a done deal.
[00:11:12.234 --> 00:11:15.515]  And by law, it goes to the full states.
[00:11:15.515 --> 00:11:17.276]  And then, look out.
[00:11:17.276 --> 00:11:21.718]  Now, they tried this in the 70s, the 80s, the 90s.
[00:11:21.718 --> 00:11:23.079]  And we were always aware of it.
[00:11:23.079 --> 00:11:26.961]  Patriots were always aware of it and fought it.
[00:11:26.961 --> 00:11:29.162]  And they've never gotten up to this number since 1913.
[00:11:31.894 --> 00:11:33.355]  Since they were successful.
[00:11:33.355 --> 00:11:37.539]  Normally they'd get 15, 20 states and we would beat it back, we would stop it.
[00:11:37.539 --> 00:11:42.624]  This was done so sneakily, so quietly, that no one was even aware of this until last week.
[00:11:43.826 --> 00:11:48.849]  And I did get emails from people, you know, telling me about it and again, we dropped the ball.
[00:11:48.849 --> 00:11:50.830]  I mean, I'm not omnipresent.
[00:11:50.830 --> 00:12:00.975]  We can't keep track of everything and I appreciate listeners panically calling the office and commenting on the InfoWars comment pages and Prison Planet comment pages saying, Alex, get on this.
[00:12:00.975 --> 00:12:07.319]  Yes, we are on it now and we want to commend We Are Change and others in Ohio who were on this weeks ago.
[00:12:08.905 --> 00:12:26.703]  That's why we need listeners to support this radio show, because I do not have the funds to hire more people than I need just to read the email, just to prepare it in folders and give me the information that's important from all the spam and baloney that we get and all the Viagra ads and mortgage ads and the rest of it.
[00:12:26.703 --> 00:12:28.785]  We're a small organization, ladies and gentlemen.
[00:12:29.545 --> 00:12:52.712]  And that's why purchasing the books and videos at InfoWars.com or calling a toll-free number to get them or having a PrisonPlanet.tv membership or supporting our sponsors is so important because we are maxed out here on what we're spending and what we're doing to be able to fund this operation and the imploding economy is affecting everybody including this operation because the video sales
[00:12:53.232 --> 00:13:01.895]  Again, about half of what they've been the last few years because the economy is in so much trouble and that's how I fund my operation.
[00:13:01.895 --> 00:13:13.920]  Just imagine as this intensifies, as we get deeper and deeper into this, you may hear me put out the call for just straight up donations so that we can just maintain, much less expand, and we need to expand.
[00:13:14.680 --> 00:13:15.780]  We need to continue.
[00:13:15.780 --> 00:13:18.601]  Without the money bomb, we couldn't have done what we've done now.
[00:13:18.601 --> 00:13:27.023]  Moving into a bigger office so we could physically hire more people and so that we could physically produce a better radio show and a TV show to get the word out.
[00:13:27.023 --> 00:13:38.766]  I can think of no better place, more effective place to support, bang for the buck, what we're able to do with my news websites and the radio show and the films.
[00:13:39.602 --> 00:13:42.067]  So that said, we are on top of that.
[00:13:42.067 --> 00:13:47.399]  I was busy running around last week dealing with the Marines and the rest of it and missed that, so I thank you for giving me a heads up.
[00:13:49.068 --> 00:13:51.129]  Dollar staggers as U.S.
[00:13:51.129 --> 00:13:54.772]  unleashes cash flood and deficit expands.
[00:13:54.772 --> 00:14:04.799]  That's Bloomberg Financial, the biggest foreign exchange strategist and investors, say the best may be over the dollar after a four-month, 24% rally.
[00:14:04.799 --> 00:14:08.561]  It lost 5.9% in just the last week.
[00:14:08.561 --> 00:14:12.704]  And it goes on to say the Federal Reserve is, quote, turning up the presses.
[00:14:12.704 --> 00:14:14.365]  But it isn't really printing more money.
[00:14:14.365 --> 00:14:18.768]  It's just shipping trillions of dollars offshore to offshore banks.
[00:14:20.329 --> 00:14:28.638]  That are openly setting up the world government and that's why gold has gone up over a hundred and forty dollars in the last three weeks.
[00:14:28.638 --> 00:14:37.627]  They artificially tried to manipulate it in the paper market with gold on the comics and that is now being reversed very very quickly.
[00:14:40.555 --> 00:14:48.479]  Now, continuing here with the news, report Mexico more dangerous than Iraq.
[00:14:48.479 --> 00:15:02.305]  This is from Newsmax, and for years I've been pointing out that the State Department since 2005, and that's when I first noticed it, they've actually been listing it since 2004, lists the Texas-Mexico border.
[00:15:03.095 --> 00:15:10.904]  And the Arizona-Mexico border as more dangerous than the West Bank per capita.
[00:15:10.904 --> 00:15:21.875]  Sure, you've got a bus bombing every month, or a hand grenade attack, or a rocket attack might kill somebody once or twice a month in Israel, and that's certainly terrible, and what's happening to the Palestinians is terrible.
[00:15:21.875 --> 00:15:23.617]  You know, they're dying every day.
[00:15:24.418 --> 00:15:33.806]  But statistically, it is more dangerous on the border with the United States and Mexico than anywhere in the world.
[00:15:33.806 --> 00:15:42.674]  I mean, rocket attacks, hand grenade attacks, mass murders, hundreds of women alone every year, kidnapped out of
[00:15:43.454 --> 00:16:07.079]  uh... several texas border towns uh... and sacrificed uh... again do not believe me you can't make this up it's been in texas monthly it's been in the dallas morning news but it hasn't gotten the attention it should i mean every few months i see a new story where they find ten twenty thirty forty in one case a hundred and something bodies uh... right over the texas mexico border of dead women with their hearts cut out
[00:16:07.879 --> 00:16:10.361]  Because the drug dealers are Satanist.
[00:16:10.361 --> 00:16:24.251]  The particular drug cartel on the Texas-Mexico border from Boquillas, right over to the border with New Mexico, with the major city there.
[00:16:24.251 --> 00:16:26.013]  Again, it sounds like the Twilight Zone.
[00:16:26.986 --> 00:16:30.709]  If you don't believe me, Google satanic murders on the Texas-Mexico border.
[00:16:30.709 --> 00:16:32.010]  But that's a small part of it.
[00:16:32.010 --> 00:16:45.921]  This year so far, and the last time I saw the number was two months ago, this year so far on the Texas-Mexico border, according to the Houston Chronicle, two thousand people are dead, and that was nine months into the year.
[00:16:45.921 --> 00:16:48.383]  Again, I haven't seen a story since then.
[00:16:48.383 --> 00:16:49.284]  We just know that the
[00:16:50.325 --> 00:16:52.306]  The situation is intensifying.
[00:16:52.306 --> 00:17:03.134]  The escalating drug war in Mexico has now made America's southern neighbor a more dangerous place than Iraq, according to Strategy Page, a military affairs research group site.
[00:17:03.134 --> 00:17:09.899]  This month, about 26 people a day are dying from criminal and terrorist violence a day in Iraq.
[00:17:09.899 --> 00:17:17.024]  That's a bit lower than the death toll in northern Mexico, which on a bad day, like last November 3rd, saw 58 people killed.
[00:17:17.364 --> 00:17:22.171]  The website writes in a headline post, Mexico-Iraq is safer.
[00:17:22.171 --> 00:17:32.946]  At least 7,000 people have been killed in a two-year war between the Mexican government and the major drug cartels along the U.S.-Mexico border according to the University of San Diego Trans-Border Institute.
[00:17:34.026 --> 00:17:39.951]  President Calderon has deployed an estimated 45,000 troops and 18,000 police officers in 18 states and Mexico.
[00:17:39.951 --> 00:17:53.901]  Now again, the most dangerous area is on the 2,200 mile stretch from the Pacific Ocean or California borders, Mexico, and then to the border of Texas with Mexico, with Laredo.
[00:17:55.743 --> 00:18:25.103]  The other cities that are down there on the border with Laredo and Nuevo Laredo and again other major cities there that were tourist meccas and are now boarded up shops and shut down hotels and that was before the economy went south they were shut down three four five years ago depending on the city because things are so bad now understand what's happening here and you know they caught the head of Mexico's anti-drug police a month ago dealing drugs being paid hundreds of millions a year
[00:18:25.963 --> 00:18:27.924]  Tens of millions a month.
[00:18:27.924 --> 00:18:33.565]  They're constantly catching, basically, just hundreds of high-level members of the government.
[00:18:33.565 --> 00:18:39.907]  CIA aircraft, earlier this year, a CIA aircraft crashed with three and a half tons of pure cocaine.
[00:18:39.907 --> 00:18:47.949]  And it was an official CIA aircraft, also used to shuttle ghost site victims, people that have been kidnapped, including U.S.
[00:18:47.949 --> 00:18:49.910]  citizens, to be flown overseas.
[00:18:49.910 --> 00:18:52.051]  So it's just totally corrupt.
[00:18:52.051 --> 00:18:52.831]  And what's happened is,
[00:18:54.502 --> 00:18:58.443]  The United States is giving more than 20 billion dollars a year.
[00:18:58.443 --> 00:19:08.167]  Bush proposed a few months ago to give over 140 billion, I believe it was 146 if you can pull that story up, 140 plus billion dollars to quote fight drugs.
[00:19:08.167 --> 00:19:20.852]  What's happened is the 400 plus billion dollar a year narcotics trade just in the United States and Canada a year is so profitable that there are heavily armed powerful sub cartels or cowboy groups
[00:19:21.372 --> 00:19:24.694]  That are challenging the CIA, that are challenging the big U.S.
[00:19:24.694 --> 00:19:27.296]  Federal Reserve Banks that openly launder the money.
[00:19:27.296 --> 00:19:35.220]  And so the United States has been launching drug wars, but to control the drugs and to knock out their competition in Colombia and other areas for decades.
[00:19:35.220 --> 00:19:41.103]  Now there's a full-bore drug war trying to knock out their competition in Mexico, but that's only part of it.
[00:19:41.103 --> 00:19:44.305]  There's all the human smuggling, all the other corruption that comes with it.
[00:19:44.305 --> 00:19:46.847]  Every week I see another Texas sheriff caught dealing drugs.
[00:19:47.748 --> 00:19:51.535]  The government's dealing drugs, they're killing police, but when that happens, when U.S.
[00:19:51.535 --> 00:19:57.787]  police are killed, it's covered up because it's politically incorrect to show that police are being killed on the Texas border.
[00:19:58.729 --> 00:20:05.490]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:20:05.490 --> 00:20:08.131]  The enemy struck America on September 11th.
[00:20:08.131 --> 00:20:09.671]  But who is the enemy?
[00:20:09.671 --> 00:20:10.472]  Bin Laden.
[00:20:10.472 --> 00:20:11.392]  This is his ammo.
[00:20:11.392 --> 00:20:12.872]  We have to look to the Middle East.
[00:20:12.872 --> 00:20:14.832]  We have to look to Osama Bin Laden.
[00:20:14.832 --> 00:20:21.574]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:20:21.974 --> 00:20:22.455]  Some U.S.
[00:20:22.455 --> 00:20:28.820]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:20:28.820 --> 00:20:32.703]  I'm aware that some Israeli citizens have been detained.
[00:20:32.703 --> 00:20:42.811]  Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:20:42.811 --> 00:20:44.032]  Fabled Enemies.
[00:20:44.032 --> 00:20:50.657]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:20:51.758 --> 00:20:58.440]  Either you are with us, or you are with the terrorists.
[00:20:58.440 --> 00:20:58.940]  Good day.
[00:20:58.940 --> 00:21:00.581]  Jim Newcomer from Midas Resources.
[00:21:00.581 --> 00:21:00.981]  December 16, 2008.
[00:21:00.981 --> 00:21:02.141]  Gold opened this morning at $835.80.
[00:21:02.141 --> 00:21:05.782]  A one ounce gold coin can be purchased for $860.68, $430.34 for the half ounce, and $215.17 for a quarter ounce.
[00:21:05.782 --> 00:21:06.162]  That's $860.68, $430.34, and $215.17.
[00:21:16.300 --> 00:21:28.827]  On June 4th, 1963, an unknown presidential decree, Executive Order 11,110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[00:21:28.827 --> 00:21:32.009]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:21:32.009 --> 00:21:35.351]  The November assassination quieted the production of the new currency.
[00:21:35.351 --> 00:21:38.193]  However, the Executive Order still stands unrepealed.
[00:21:38.433 --> 00:21:41.236]  Midas has the Kennedy vs. Fed document.
[00:21:41.236 --> 00:21:44.160]  Call 800-686-2237.
[00:21:44.160 --> 00:21:46.442]  Unlike your liberty, the paper is free.
[00:21:46.442 --> 00:21:49.346]  Call 800-686-2237.
[00:21:49.346 --> 00:21:53.070]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:21:53.070 --> 00:21:53.250]  That's 800-686-2237.
[00:21:59.563 --> 00:22:00.324]  Santa!
[00:22:00.324 --> 00:22:03.246]  Christmas Eve and you haven't left yet?
[00:22:03.246 --> 00:22:05.848]  Ho ho ho ho ho!
[00:22:05.848 --> 00:22:07.009]  No!
[00:22:07.009 --> 00:22:08.750]  I can't find my keys!
[00:22:08.750 --> 00:22:10.071]  Here's the perfect gift!
[00:22:10.071 --> 00:22:14.134]  Our patented Find One Find All Key Finder, or FOFA XT for short!
[00:22:14.134 --> 00:22:19.538]  Once a FOFA Key Finder is attached to each of those easy to lose things, it can find and be found by all the rest!
[00:22:19.538 --> 00:22:25.523]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone!
[00:22:25.683 --> 00:22:27.045]  Where did I put my glasses, Mrs. Claus?
[00:22:38.223 --> 00:22:39.724]  Well, here they are!
[00:22:39.724 --> 00:22:43.507]  Luckily, Rudolph's nose isn't the only thing that flashes.
[00:22:43.507 --> 00:22:47.390]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[00:22:47.390 --> 00:22:47.710]  Call 866-245-8670.
[00:22:47.710 --> 00:22:48.110]  That's 866-245-8670.
[00:22:48.110 --> 00:22:49.612]  Or buy online at findonefindall.com.
[00:22:49.612 --> 00:22:50.772]  Again, that's findonefindall.com.
[00:22:58.795 --> 00:23:02.096]  So you've finally decided you're going to stock up and store food.
[00:23:02.096 --> 00:23:04.678]  But why settle for bland, tasteless food?
[00:23:04.678 --> 00:23:06.098]  Why settle for less?
[00:23:06.098 --> 00:23:07.739]  There is an alternative.
[00:23:07.739 --> 00:23:09.460]  InternetGrocer.net.
[00:23:09.460 --> 00:23:12.961]  Enjoy the most delicious, storable food at amazing prices.
[00:23:12.961 --> 00:23:16.843]  Enjoy creamy, delicious, real cheddar cheese in a can.
[00:23:16.843 --> 00:23:19.644]  Indulge in real canned meats and real canned butter.
[00:23:19.944 --> 00:23:26.930]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[00:23:26.930 --> 00:23:29.273]  You can purchase by the can or by the case.
[00:23:29.273 --> 00:23:32.215]  Choose a variety pack or an entire year's worth of food.
[00:23:32.215 --> 00:23:37.340]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[00:23:37.620 --> 00:23:39.641]  Ensure your food supply for years.
[00:23:39.641 --> 00:23:42.562]  Find out just how delicious storable food can be.
[00:23:42.562 --> 00:23:42.782]  Call 903-356-6443.
[00:23:42.782 --> 00:23:43.022]  That's 903-356-6443.
[00:23:43.022 --> 00:23:43.523]  Open from 9 a.m.
[00:23:43.523 --> 00:23:43.783]  to 6 p.m.
[00:23:43.783 --> 00:23:44.563]  Central Standard Time.
[00:23:44.563 --> 00:23:45.483]  Or shop online at internet-grocer.net.
[00:23:45.483 --> 00:23:46.564]  Again, that's internet-grocer.net.
[00:24:09.346 --> 00:24:15.898]  The big issue with Mexico is that the systemic institutionalized corruption
[00:24:17.411 --> 00:24:38.896]  It's now spread all over the Southwest into the police, law enforcement, into the mayors, into the sheriffs, into the constabulary.
[00:24:38.896 --> 00:24:40.656]  It's now in Indiana.
[00:24:40.656 --> 00:24:42.977]  It's now in Missouri.
[00:24:42.977 --> 00:24:44.057]  It's now in New York.
[00:24:46.021 --> 00:24:52.068]  And the police, if they don't get bought off, they just get scared and start turning a blind eye to the drug dealers.
[00:24:52.068 --> 00:24:57.895]  It's easier to bust your teenager with some marijuana, or if they're stupid enough to have ecstasy, or to be taking it.
[00:24:57.895 --> 00:25:02.000]  It's easier to throw them in the hooscow instead of going after the real crime.
[00:25:02.000 --> 00:25:02.841]  The only way to stop
[00:25:03.522 --> 00:25:18.254]  The implosion of the United States and Mexico is to decriminalize heroin and cocaine and other narcotics and then all of the masses of money involved with prohibition historically will disappear and the corruption will have to find another...
[00:25:19.429 --> 00:25:48.955]  area to try to capitalize on and that's why the mafia lobbied to have liquor made illegal and actually use christian front groups that they donated to to get that done uh... with the last constitutional convention i had that uh... passed alcohol prohibition that also happened the last time time and they had to have a another convention so i guess they have one more after nineteen thirteen i'd be able to amended and get rid of it
[00:25:51.952 --> 00:25:53.556]  The drug war has been a great success.
[00:25:53.556 --> 00:25:57.446]  It's corrupted the police, it's corrupted the military, it's corrupted the counties.
[00:25:57.446 --> 00:26:00.814]  The banks are laundering the money and society is completely collapsing.
