[00:00.000 --> 00:02.000]  the media.
[02:02.000 --> 02:05.000]  I've heard conspiracy theorists, whack jobs.
[02:05.000 --> 02:07.000]  They leave that rhetoric out of this article.
[02:07.000 --> 02:10.000]  And I'm going to read it for you right now.
[02:10.000 --> 02:15.000]  An Arizona State Senator is petitioning presumptive GOP presidential nominee
[02:15.000 --> 02:18.000]  John McCain to meet with 9-11 conspiracy theorists.
[02:18.000 --> 02:21.000]  I guess they do throw out conspiracy theorists in the beginning.
[02:21.000 --> 02:23.000]  Including an adjunct professor from Scottsdale,
[02:23.000 --> 02:27.000]  who has been fasting outside McCain's office for more than a week.
[02:27.000 --> 02:30.000]  State Senator Karen Johnson, a Mesa Republican,
[02:30.000 --> 02:32.000]  she's been on this show, by the way,
[02:32.000 --> 02:35.000]  delivered a letter to McCain's Senate office Tuesday
[02:35.000 --> 02:39.000]  asking her to sit down with Scottsdale activist Blair Gadsby
[02:39.000 --> 02:41.000]  and a pair of leading members of the 9-11 Truth Movement
[02:41.000 --> 02:47.000]  to consider alternative explanations for the September 11, 2001 attacks
[02:47.000 --> 02:51.000]  and the collapse of the World Trade Center towers.
[02:51.000 --> 02:54.000]  Gadsby's fast outside McCain's Senate office
[02:54.000 --> 02:57.000]  entered its 10th day today. Wow.
[02:57.000 --> 02:59.000]  I can't imagine not eating for 10 days.
[02:59.000 --> 03:02.000]  I think I've gotten, what, a day and a half, two days without eating?
[03:02.000 --> 03:04.000]  And that was because I was sick.
[03:04.000 --> 03:07.000]  10 days? Godspeed, man.
[03:07.000 --> 03:09.000]  There are so many questions left on answers, said Johnson,
[03:09.000 --> 03:12.000]  who called for a new independent investigation into the attacks.
[03:12.000 --> 03:15.000]  She had previously been focused on media attention
[03:15.000 --> 03:18.000]  for her vocal misgivings about the government account of 9-11.
[03:18.000 --> 03:21.000]  Again, Tuesday, she said, there's no explanation,
[03:21.000 --> 03:23.000]  no legitimate explanation about why the towers
[03:23.000 --> 03:25.000]  in Building 7 came down.
[03:25.000 --> 03:29.000]  Folks, it's a 10,000-page report by NIST,
[03:29.000 --> 03:32.000]  the National Institute of Standards and Technology,
[03:32.000 --> 03:35.000]  commissioned by the government, in which they don't even tell you
[03:35.000 --> 03:37.000]  how the towers collapsed.
[03:37.000 --> 03:39.000]  They try to explain away collapse initiation.
[03:39.000 --> 03:42.000]  Okay, let's say it again, collapse initiation,
[03:42.000 --> 03:45.000]  and then they say that global collapse ensues.
[03:45.000 --> 03:48.000]  When John Gross of NIST was confronted about this
[03:48.000 --> 03:50.000]  and asked about the molten metal,
[03:50.000 --> 03:54.000]  he denied the molten metal that was under 1, 2, and 7.
[03:54.000 --> 03:56.000]  Plenty eyewitnesses' accounts.
[03:56.000 --> 03:59.000]  Check out Loose Change Final Cut. They're in there.
[03:59.000 --> 04:02.000]  And he denied any knowledge of the NASA thermal imagery
[04:02.000 --> 04:04.000]  that showed these extreme hotspots.
[04:04.000 --> 04:06.000]  I don't know anything about that.
[04:06.000 --> 04:08.000]  Oh, why don't you email it to me? That sounds good.
[04:08.000 --> 04:11.000]  Now, the person asking him this is a professor at the college
[04:11.000 --> 04:13.000]  that he's speaking at.
[04:13.000 --> 04:16.000]  So this professor goes and approaches Mr. Gross afterwards
[04:16.000 --> 04:20.000]  and he says, can I get that email so I can send you these NASA thermal imagery?
[04:20.000 --> 04:22.000]  No, I'm not interested. Thanks.
[04:22.000 --> 04:25.000]  I just said that because I was in front of a group of kids.
[04:25.000 --> 04:27.000]  So let's see if we can get Blair Gatsby on the line,
[04:27.000 --> 04:29.000]  10 days without food for 9-Eleven Truth, folks.
[04:29.000 --> 04:31.000]  That's pretty hardcore.
[04:31.000 --> 04:35.000]  This is the Alex Jones Show. Infowars.com, PrismPlanet.com.
[04:35.000 --> 04:37.000]  Remember, Alex is down in D.C. at Bilderberg.
[04:37.000 --> 04:41.000]  He's going to be calling in. We'll be back after this.
[05:07.000 --> 05:10.000]  Do you realize that mutilating surgery, burning,
[05:10.000 --> 05:12.000]  and the poisoning of your entire system
[05:12.000 --> 05:15.000]  are totally unnecessary?
[05:15.000 --> 05:18.000]  But now, it's cancer's turn to die,
[05:18.000 --> 05:21.000]  with laced med inks, patented methodology.
[05:21.000 --> 05:24.000]  Without cutting, bleeding, drugs, or damaging radiation,
[05:24.000 --> 05:28.000]  we can destroy skin cancer and breast tumors of any size
[05:28.000 --> 05:32.000]  without adverse side effects at our physician's office.
[05:32.000 --> 05:35.000]  Laser technology at its best.
[05:35.000 --> 05:41.000]  For more information, call 702-953-0267
[05:41.000 --> 05:49.000]  or visit www.LASEMEDINC.com.
[05:49.000 --> 06:16.000]  Call 702-953-0267.
[06:20.000 --> 06:23.000]  Or you would like a book on the history of the Federal Reserve.
[06:23.000 --> 06:26.000]  We've got the most well-researched and documented titles,
[06:26.000 --> 06:28.000]  all available at PrismPlanet.com.
[06:28.000 --> 06:31.000]  Or if you'd like, you can give the info or store a call
[06:31.000 --> 06:34.000]  at 888-253-3139.
[06:34.000 --> 06:36.000]  Or you can view more than a thousand titles
[06:36.000 --> 06:40.000]  in super high quality right now at PrismPlanet.tv.
[06:40.000 --> 06:42.000]  Knowledge is power, and the information you need
[06:42.000 --> 06:44.000]  to effectively wake up your fellow man
[06:44.000 --> 06:47.000]  and fight the New World Order is available right now
[06:47.000 --> 06:51.000]  at truthnews.us and prismplanet.tv.
[06:51.000 --> 06:53.000]  Join the info war today.
[06:53.000 --> 06:56.000]  Are you concerned about cholesterol, blood pressure?
[06:56.000 --> 06:58.000]  Are you experiencing chest pain?
[06:58.000 --> 07:00.000]  Are you looking for a more natural method
[07:00.000 --> 07:03.000]  to help improve your health issues?
[07:03.000 --> 07:06.000]  My husband has had lots of blood pressure problems today.
[07:06.000 --> 07:10.000]  It would just be really high that doctor had worked with him
[07:10.000 --> 07:12.000]  and he'd give him some medication for a little while.
[07:12.000 --> 07:16.000]  It would maybe work, and then it wouldn't.
[07:16.000 --> 07:19.000]  He was going back and forth, and my husband's not the doctor
[07:19.000 --> 07:21.000]  that he wants to go to the doctor anyway.
[07:21.000 --> 07:23.000]  He'll wait till he is in major problems.
[07:23.000 --> 07:26.000]  So, a friend gave us a bottle of cardivate,
[07:26.000 --> 07:30.000]  and he started on it within a very short time.
[07:30.000 --> 07:32.000]  I'm going to say two weeks at the most.
[07:32.000 --> 07:35.000]  It was just leveling out, and as long as he's been on these,
[07:35.000 --> 07:37.000]  it has literally saved his life.
[07:37.000 --> 07:42.000]  To learn more, call 1-877-928-8822
[07:42.000 --> 07:45.000]  or visit our website at heartdrop.com.
[07:45.000 --> 07:48.000]  That's H-E-A-R-T-D-R-O-P.com.
[07:48.000 --> 08:17.000]  Call 1-877-928-8822.
[08:18.000 --> 08:19.000]  Talk 9-11 Truth.
[08:19.000 --> 08:22.000]  I really don't think Mr. McCain has really looked into the matter
[08:22.000 --> 08:25.000]  other than his basic rhetoric against Middle Eastern terrorists.
[08:25.000 --> 08:28.000]  This is the same guy who joked around and saying,
[08:28.000 --> 08:31.000]  bomb, bomb, bomb, bomb, I ran.
[08:31.000 --> 08:36.000]  I want to remind people that Alex will be checking in all day long
[08:36.000 --> 08:38.000]  from D.C. and the Bilderberg conference.
[08:38.000 --> 08:39.000]  I am Jason Bermas.
[08:39.000 --> 08:44.000]  You can check out my little website at loosechange911.com.
[08:44.000 --> 08:46.000]  All right, let's go to Blair.
[08:46.000 --> 08:48.000]  Blair, how did you come up with this idea?
[08:48.000 --> 08:50.000]  And by the way, I can only commend you.
[08:50.000 --> 08:53.000]  I mean, I can't imagine fasting for 10 days.
[08:53.000 --> 08:55.000]  Yeah, it's not something I've ever done before,
[08:55.000 --> 08:58.000]  but it sure is good to be here talking to you.
[08:58.000 --> 08:59.000]  How did I come up with it?
[08:59.000 --> 09:00.000]  Good question.
[09:00.000 --> 09:03.000]  I think it was somewhat of a spontaneous idea
[09:03.000 --> 09:06.000]  in that there's a convergence of issues.
[09:06.000 --> 09:09.000]  First of all, McCain's rather sudden rise to the top of the ticket
[09:09.000 --> 09:12.000]  and to the top of the nominee here.
[09:12.000 --> 09:15.000]  And the fact I'm an Arizona citizen or resident
[09:15.000 --> 09:18.000]  and the fact that he wrote this forward to this book.
[09:18.000 --> 09:21.000]  And I thought, well, this is an interesting confluence of events here.
[09:21.000 --> 09:24.000]  I wonder if that would give me any leverage to approach him
[09:24.000 --> 09:27.000]  and ask him about just what side of this issue is he on
[09:27.000 --> 09:30.000]  regarding the official 9-11 cover story.
[09:30.000 --> 09:31.000]  Absolutely.
[09:31.000 --> 09:35.000]  And in Alex's upcoming film, 9-11 Chronicles, Truth Rising,
[09:35.000 --> 09:38.000]  one of the family members, someone I know personally,
[09:38.000 --> 09:40.000]  Dave Cahill, he's a musician.
[09:40.000 --> 09:42.000]  You can go check his stuff out on MySpace.
[09:42.000 --> 09:45.000]  But he asks him in light of the fact that many family members
[09:45.000 --> 09:49.000]  want a new investigation and don't feel that their questions were answered.
[09:49.000 --> 09:52.000]  In fact, 70% of their questions were unanswered.
[09:52.000 --> 09:55.000]  Would you support a new 9-11 investigation?
[09:55.000 --> 09:57.000]  And McCain just poo-poo's it and says,
[09:57.000 --> 09:59.000]  oh, I think that they did a bang-up job
[09:59.000 --> 10:01.000]  and the family members are quite satisfied.
[10:01.000 --> 10:05.000]  And let me just read a little excerpt from what he wrote in that forward
[10:05.000 --> 10:07.000]  to debunking 9-11 myths.
[10:07.000 --> 10:10.000]  Why conspiracy theories can't stand up to the facts.
[10:10.000 --> 10:13.000]  He says, we cannot let these tales go unanswered yet.
[10:13.000 --> 10:15.000]  He doesn't say what these tales are.
[10:15.000 --> 10:18.000]  9-11 conspiracy movement exploits.
[10:18.000 --> 10:20.000]  Now we're exploiting people, folks.
[10:20.000 --> 10:22.000]  The public's anger and sadness.
[10:22.000 --> 10:25.000]  No, I think that was the mainstream media and the mainline government
[10:25.000 --> 10:27.000]  that exploited the public's anger and sadness
[10:27.000 --> 10:29.000]  in order to invade two sovereign nations.
[10:29.000 --> 10:31.000]  But I guess that's just me.
[10:31.000 --> 10:33.000]  Traffics in ugly, unfounded accusations.
[10:33.000 --> 10:36.000]  Of course, he hasn't looked at these accusations.
[10:36.000 --> 10:38.000]  Or he would know they're more than founded.
[10:38.000 --> 10:41.000]  Of extraordinary evil against fellow Americans.
[10:41.000 --> 10:43.000]  Hmm.
[10:43.000 --> 10:45.000]  Now, I can ask you a little bit.
[10:45.000 --> 10:46.000]  Yeah, it's very odd.
[10:46.000 --> 10:48.000]  What brought you into 9-11 truth?
[10:48.000 --> 10:50.000]  What was the overwhelming piece of evidence that you just said,
[10:50.000 --> 10:52.000]  you know what, this story's not adding up.
[10:52.000 --> 10:54.000]  I better look into this.
[10:54.000 --> 10:56.000]  These people might have something here.
[10:56.000 --> 10:58.000]  It built really when,
[10:58.000 --> 11:00.000]  I mean, initially when they came out and said,
[11:00.000 --> 11:02.000]  they hate us because we are free.
[11:02.000 --> 11:04.000]  That's why they attacked us.
[11:04.000 --> 11:06.000]  Well, this is preposterous.
[11:06.000 --> 11:08.000]  How do you, how is hate generated in someone's heart?
[11:08.000 --> 11:10.000]  Because somebody else has freedom.
[11:10.000 --> 11:12.000]  I could be envy, but not hate.
[11:12.000 --> 11:14.000]  So as a religious studies professor,
[11:14.000 --> 11:16.000]  and I even teach a course on Islam
[11:16.000 --> 11:18.000]  and the other world religions,
[11:18.000 --> 11:20.000]  I mean, this was obviously a distortion,
[11:20.000 --> 11:22.000]  to say the least.
[11:22.000 --> 11:24.000]  Now, that was early on in the media,
[11:24.000 --> 11:26.000]  but that certainly was not a 9-11 truth
[11:26.000 --> 11:28.000]  or if you will, at that point.
[11:28.000 --> 11:30.000]  In early 2003, in reading Gordy Dole's book,
[11:30.000 --> 11:32.000]  he made the suggestion,
[11:32.000 --> 11:34.000]  I think it was perpetual war for perpetual peace,
[11:34.000 --> 11:36.000]  or his dreaming war.
[11:36.000 --> 11:38.000]  All right, Blair, can I just get you to hold?
[11:38.000 --> 11:40.000]  I'm sorry, man, but I have Alex on the line.
[11:40.000 --> 11:42.000]  He wants to come on right now.
[11:42.000 --> 11:44.000]  Can you hold over till the next segment?
[11:44.000 --> 11:46.000]  I can, sure.
[11:46.000 --> 11:48.000]  All right, thank you so much, Blair.
[11:48.000 --> 11:50.000]  All right, let's go right to Alex Jones
[11:50.000 --> 11:52.000]  from D.C. Bilderberg Conference,
[11:52.000 --> 11:54.000]  2008. Alex, are you with us?
[11:54.000 --> 11:56.000]  Yeah, Jason, don't interrupt.
[11:56.000 --> 11:58.000]  I told you I was going to call at this time.
[11:58.000 --> 12:00.000]  I'm all about it, sir.
[12:00.000 --> 12:02.000]  How are things going?
[12:02.000 --> 12:04.000]  All right, so it's Sunday in the West Spoons.
[12:04.000 --> 12:06.000]  But, literally, as we speak,
[12:06.000 --> 12:08.000]  I have security people following me.
[12:08.000 --> 12:10.000]  I have questions.
[12:10.000 --> 12:12.000]  You pull anywhere that jump all over you.
[12:12.000 --> 12:14.000]  Get in your face.
[12:14.000 --> 12:16.000]  And they don't even start arriving
[12:16.000 --> 12:18.000]  until tomorrow morning, but older advanced teams
[12:18.000 --> 12:20.000]  were here last night.
[12:20.000 --> 12:22.000]  Of course, we're standing nearby
[12:22.000 --> 12:24.000]  and also got a room here
[12:24.000 --> 12:26.000]  to work in tomorrow morning.
[12:26.000 --> 12:28.000]  We're here
[12:28.000 --> 12:30.000]  covering everything that's happening
[12:30.000 --> 12:36.400]  happening. And so it's very important everybody understands that the decisions
[12:36.400 --> 12:41.640]  that are going to be made here the few days will probably govern whether they
[12:41.640 --> 12:49.360]  attack or not. We know that every 50 years, every five years in North
[12:49.360 --> 13:00.120]  America, two years ago in Ottawa. Now they're back here in DC, Kenya. Most experts,
[13:00.120 --> 13:04.160]  including Jim Tucker, who I talked about this morning, he's not staying here, but
[13:04.160 --> 13:09.760]  he just arrived and he's inside. I'm now eating lunch. We're gonna help some more.
[13:09.760 --> 13:14.800]  But all the experts agree that the fact that they're meeting here means that
[13:14.800 --> 13:18.520]  war, if you look at it from the table, we don't know if we're going to play that
[13:18.520 --> 13:22.760]  card. They're gonna play that card. If the United States is going to be sucked
[13:22.760 --> 13:29.680]  into it and be drugged back into it and more tyrant. This is so important. They
[13:29.680 --> 13:34.840]  met here, of course, in 2002. It's a very little and I'm standing in front of
[13:34.840 --> 13:40.360]  right here in front of main entrance. And the fact that they're meeting here
[13:40.360 --> 13:44.480]  again, you later learn some of the minutes that got leaked in some of our
[13:44.480 --> 13:48.400]  sources and it turned out to be accurate intelligence. It always does when it
[13:48.400 --> 13:52.480]  comes from Jim. In fact, I've never seen Jim be wrong. So other people be right
[13:52.480 --> 13:57.040]  about 90% of the time, 95% of the time, Jim is always, and in 2002, he came on my
[13:57.040 --> 14:07.200]  show during the meeting here in Chantilly and said that the fact that
[14:07.200 --> 14:17.520]  he had met here and that his intelligence had of him, that I'm going to be
[14:17.520 --> 14:30.280]  attacking in March of that year, but that would be in 2003 in March. That would
[14:30.280 --> 14:33.440]  be correct. I've got people watching me walk around. That's why I'm bubbling a
[14:33.440 --> 14:37.400]  little bit here. But just to be clear on my report, I'm talking to others who
[14:37.400 --> 14:40.920]  said that the fact that they're meeting here in D.C. only two years after
[14:40.920 --> 14:45.680]  meeting in North America, the fact that they met here to plan the Iraq War in
[14:45.680 --> 14:53.360]  2002, for March of 2003 shows that the War Council meeting that they are having
[14:53.360 --> 14:59.600]  here, really clear. I met Bill, or 2008, they shot the hotel down. They said we
[14:59.600 --> 15:04.800]  have to be out in the morning. I'll be surprised. We've got to find out before
[15:04.800 --> 15:13.640]  then there are much better than I saw. Even in Ottawa, where I saw it, and the
[15:13.640 --> 15:16.680]  leaders haven't even arrived, their advanced teams are here. If you try to
[15:16.680 --> 15:19.480]  go in there, the conference rooms or any other areas where they're setting up,
[15:19.480 --> 15:23.520]  there's people guarding. You broke up for a second there, Alex. Do you say that
[15:23.520 --> 15:27.800]  there was twice as much security at this than it was two years ago? Yes, it's
[15:27.800 --> 15:32.400]  just coming in clear. Am I coming in clear now? Yeah, yeah. Okay, let me give you
[15:32.400 --> 15:37.200]  some people just a clear report from the start. I am here at Bilderberg, 2008, in
[15:37.200 --> 15:42.040]  Chantilly, Virginia, at the Westfields Marriott Hotel. The last time they met
[15:42.040 --> 15:47.000]  here was in 2002, and accurate leaks that were then proven to be correct,
[15:47.000 --> 15:53.680]  said that the attack on Iraq would not be in 2002, but that it was going to be
[15:53.680 --> 15:57.280]  happening in March of 2003. The reason that's important is the Washington
[15:57.280 --> 16:00.960]  Post, New York, and everybody else in the mainstream media were reporting that
[16:00.960 --> 16:10.160]  the attack was on in the next few months in Iraq, and told like that, and it
[16:10.160 --> 16:15.880]  didn't happen, and it did happen in March of 2003. The power of Bilderberg
[16:15.880 --> 16:21.960]  showed how they truly do and make decisions. And time and time again,
[16:21.960 --> 16:27.480]  M has been accurate with sources, so it's accurate in their sources. Forecast
[16:27.480 --> 16:31.200]  thing was going to happen here, years, three years, just like they said,
[16:31.200 --> 16:36.200]  they'd be paying dollars a gallon up to two years ago. They said that
[16:36.200 --> 16:41.080]  those we go well above $100 a barrel. Now it's been $105 a barrel for
[16:41.080 --> 16:46.280]  weeks. They showed that these people really knew government, and so we see
[16:46.280 --> 16:53.840]  big shows of Barack Obama. We see big shows going on right now with Hillary
[16:53.840 --> 16:57.640]  Clinton and the rest of it. I know he's the presumptive nominee. None of that
[16:57.640 --> 17:01.800]  anything. People are literally pocket change. It's in their pocket, and we've
[17:01.800 --> 17:07.240]  done a presentation about that show that Barack Obama is being handled,
[17:07.240 --> 17:11.280]  and it's in the Bible, or we hear just about what's been here. This is John
[17:11.280 --> 17:19.920]  McCain is handling control of the very same institutions, and it's just like
[17:19.920 --> 17:25.040]  Otto there at the Brookstreet Hotel. It's surrounded by racing on and
[17:25.040 --> 17:31.400]  Lockheedon, and driving in here was even worse. I saw every major contract for
[17:31.400 --> 17:39.280]  you. Hold on, Alex. You broke up there. You saw, yeah, you saw every major
[17:39.280 --> 17:44.920]  defense contractor. Is that what you said? Go get on the hotel line, and is this
[17:44.920 --> 17:48.640]  the bat cell? It's pretty rough. Yeah, it's pretty rough. It's you've been
[17:48.640 --> 17:51.800]  breaking up in and out, but you were saying that.
[17:51.800 --> 17:55.400]  Everybody disregard this report. When are you going to have the fellow
[17:55.400 --> 17:59.840]  testing off? I just had him call in, and he'll be out after this segment, so.
[17:59.840 --> 18:04.480]  Okay, well, I'll just go in at the tree after, okay? All right, sounds good. Thank
[18:04.480 --> 18:08.640]  you, Alex. There he is. He's at Bilderberg folks, and like he said, double
[18:08.640 --> 18:13.160]  the security. It's days before, got there a little early, spoke about the
[18:13.160 --> 18:15.960]  situation. He's going to be calling back on a landline, so he's a little bit more
[18:15.960 --> 18:20.840]  clear, broke up in and out. All right, let's go back to Blair Gadsby, a religious
[18:20.840 --> 18:25.520]  studies professor. I believe you teach in Scottsdale, Arizona, Blair? That's
[18:25.520 --> 18:29.160]  correct. It may be actually, but it's a sister of colleges here in the
[18:29.160 --> 18:33.120]  Maricopa County, and we were discussing what really will come up, and you
[18:33.120 --> 18:36.560]  said that, you know, just the fact that they said, hate us for our freedoms, got
[18:36.560 --> 18:40.680]  your mind working, but what was it that really pushed you over the ads to check
[18:40.680 --> 18:44.880]  out 9-Eleven Truth? Well, I think then it was a subtle shift over to the so-called
[18:44.880 --> 18:49.120]  Liehop fairy, when Gordy Dahl, as I mentioned in those two weeks, one or
[18:49.120 --> 18:54.120]  other of these two earlier book titles I mentioned, suggested that, well, where
[18:54.120 --> 18:58.240]  was the Air Force that day? It seemed to be somewhat inexplicable that there was
[18:58.240 --> 19:02.520]  no Air Force response, so I think since 2003 had been something of a latent
[19:02.520 --> 19:07.800]  Liehopper. However, it was last year, around May last year, a little over a year,
[19:07.800 --> 19:12.040]  when somebody took me off to loose change, I watched that salt building seven
[19:12.040 --> 19:15.480]  come down, and you know it really all came together thereafter, and I've been a
[19:15.480 --> 19:20.000]  truth or ever since. Yeah, it's really hard to explain how a 47-story skyscraper
[19:20.000 --> 19:24.560]  that holds every intelligence agency under the sun, from the FBI to the largest
[19:24.560 --> 19:29.160]  CIA office outside of DC, to the Secret Service, the largest Secret Service
[19:29.160 --> 19:33.240]  field office in the world, just comes down in a style of control demolition.
[19:33.240 --> 19:37.240]  Blair, I'm gonna have to let you go, but I want to say, you know, keep it up, we're
[19:37.240 --> 19:40.800]  with you, there's a lot of people following this story, you have anything to add at the end?
[19:40.800 --> 19:45.600]  All I can say is just keep the pressure on the media. I'm targeting John McCain,
[19:45.600 --> 19:49.680]  remember, I'm trying to zero in on the fact that I believe he has been deceived by these
[19:49.680 --> 19:53.560]  scientists, and I want to snatch him back from those forces that have pulled him
[19:53.560 --> 19:57.360]  over. Hi, this is Alex Jones, and I want to talk to you about the high price of
[19:57.360 --> 20:01.520]  gasoline. It's no secret that gasoline quality is poor, even though we're paying
[20:01.520 --> 20:05.440]  record prices at the pump. I have run across a company called SFR, who has
[20:05.440 --> 20:09.600]  developed two products that improve gas mileage. Instead of paying a mechanic as
[20:09.600 --> 20:13.760]  much as $300 to clean your injection system, protect a complete fuel system
[20:13.760 --> 20:18.840]  treatment, cleans to 95% of new engine condition, improving mileage in only one
[20:18.840 --> 20:22.920]  tank full. Protect an engine treatment not only reduces friction, but it extends
[20:22.920 --> 20:27.000]  the life of your engine. Let's face it, with the high price of gasoline, it's time
[20:27.000 --> 20:31.560]  to take action. Purchase a protective fuel system treatment for only $9.95, and
[20:31.560 --> 20:37.120]  receive a free engine treatment, which is a $12.95 value free. Call triple-8, use
[20:37.120 --> 20:43.480]  SFR-1. That number again is triple-8, use SFR-1, or check them out online at
[20:43.480 --> 20:49.320]  oilcompanysecret.com. That's oilcompanysecret.com. Satisfaction is guaranteed, or
[20:49.320 --> 20:53.600]  your money back, and it's safe for all cars. Act now.
[20:53.600 --> 20:58.120]  Now, from the makers of Loose Change, the most downloaded film in Internet
[20:58.120 --> 21:03.280]  history comes the long-awaited release of Loose Change Final Cut, an entirely new
[21:03.280 --> 21:07.960]  two-hour film that completely destroys the official fable forever. Loose Change
[21:07.960 --> 21:11.920]  Final Cut hopes to be a catalyst for a new independent investigation in which
[21:11.920 --> 21:15.960]  family members receive answers to their questions, and the true perpetrators of
[21:15.960 --> 21:20.080]  the horrendous crime are brought to justice. Loose Change Final Cut is the
[21:20.080 --> 21:24.760]  ultimate 9-11 expose. From hijackers being trained at U.S. military bases to
[21:24.760 --> 21:29.000]  bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone
[21:29.000 --> 21:33.720]  must see. Secure your copy of Loose Change Final Cut today at infowars.com
[21:33.720 --> 21:37.680]  or prisonplanet.com. While you're visiting the online video store, be sure to
[21:37.680 --> 21:41.240]  check out the huge discounts on films like Endgame, Blueprint for Global
[21:41.240 --> 21:45.840]  Enslavement, America, Freedom to Fascism, and hundreds of other titles. We're in a
[21:45.840 --> 21:50.880]  no-holds-bar information war. Truth is our weapon, and prisonplanet.com has the
[21:50.880 --> 21:54.800]  tools you need to take the fight back to Big Brother.
[21:54.800 --> 22:00.520]  Ted Enners of Hermit is June 4th, 2008. Gold 883.50 ounce gold coins can be
[22:00.520 --> 22:07.560]  purchased for $909.33, $447.95 for half, $223.98 for quarter. That's $909.33,
[22:07.560 --> 22:14.640]  $447.95, and $223.98. We've been hearing the USA has been spending money faster
[22:14.640 --> 22:18.280]  than tax collections. Now the government has published the document that sounds
[22:18.280 --> 22:22.080]  the alarm. That's right, the United States government accountability office, the GAO,
[22:22.080 --> 22:25.920]  has published the long-term fiscal outlook document. Clearly stating that the
[22:25.920 --> 22:29.560]  federal debt burden is spiraling out of control, this will directly affect
[22:29.560 --> 22:34.800]  programs like Social Security to FDIC's ability to ensure bank deposits. Taxation
[22:34.800 --> 22:38.480]  and inflationary printing of the US dollar are inevitable pressures facing the
[22:38.480 --> 22:45.080]  economy. Get this document free by calling 800-686-2237. The US GAO has
[22:45.080 --> 22:52.120]  spelled it out in black and white. Call 800-686-2237. That's 800-686-2237.
[22:52.120 --> 22:57.920]  Hi, my name is William Lewis, and if you're listening to this radio station,
[22:57.920 --> 23:01.720]  then chances are you've probably seen one or two of the documentaries that I've
[23:01.720 --> 23:07.320]  made over the years. 911 in plain sight, Beyond Treason, or maybe 911 Ripple Effect.
[23:07.320 --> 23:12.160]  And by now you've got to be as angry as I am and wondering what else have they
[23:12.160 --> 23:17.000]  done and what are we gonna do about it. My latest documentary, Washington You're
[23:17.000 --> 23:21.840]  Fired, was made to explore these ideas of change while at the same time exposing
[23:21.840 --> 23:26.000]  the scope of the president's immoral and illegal spy program. We reveal the
[23:26.000 --> 23:30.320]  abuses committed under the Protection of the Patriot Act, Military Commissions Act,
[23:30.320 --> 23:34.680]  and other very intrusive spy bills. Washington You're Fired explores the
[23:34.680 --> 23:39.920]  removal of habeas corpus, posicumatatus, and the subversion of our entire Bill of
