[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[00:09:34.637 --> 00:09:40.219]  It was even in the news, and it was funded by Bill & Melinda Gates, we learned, at the end of the show.
[00:09:40.219 --> 00:09:42.921]  And the producer worked for the Bill & Melinda Gates Foundation.
[00:09:42.921 --> 00:09:48.943]  Well, guess what we learned today?
[00:09:48.943 --> 00:09:54.686]  Dr. Joseph Mercola, who is the King Daddy medical doctor
[00:09:55.723 --> 00:10:02.907]  Grandpa, and by that I mean he's been around the longest, like Chuck Berry's the first guy to invent rock and roll.
[00:10:02.907 --> 00:10:12.832]  This guy's been around since the 80s exposing Big Pharma and the rest of it, and all he said is you need vitamin D, you need zinc, and you need C. They sent a task force of 20 attorney generals after him.
[00:10:15.060 --> 00:10:15.400]  I think so.
[00:10:36.627 --> 00:10:53.697]  But now he's been death-threatened and hit with major attacks, and he's not getting into the full detail, but he has announced that the country's gone, and that he is removing all information on vitamin D, zinc, and C, because they threatened to kill him with paramilitary forces.
[00:10:53.697 --> 00:10:55.258]  He's a very serious guy.
[00:10:55.258 --> 00:10:56.239]  I've known him 25 years.
[00:10:56.239 --> 00:10:57.079]  I've interviewed him 25 years.
[00:10:59.127 --> 00:11:05.612]  And I consider him a friend, and he's very measured, very conservative, and so you can bet this happened.
[00:11:05.612 --> 00:11:15.238]  I told you yesterday, I said, we are getting very extreme threats, very specific directed threats, showing that they are surveilling us and have inside knowledge.
[00:11:15.238 --> 00:11:15.898]  Try to intimidate us.
[00:11:15.898 --> 00:11:17.499]  That doesn't intimidate me.
[00:11:17.499 --> 00:11:18.940]  You're going to pay.
[00:11:18.940 --> 00:11:20.761]  God's going to punish you.
[00:11:20.761 --> 00:11:24.604]  This is all a giant war on humanity.
[00:11:24.604 --> 00:11:26.265]  This is a giant medical assault.
[00:11:27.873 --> 00:11:32.214]  Bringing in the global social credit score and the technocracy behind it.
[00:11:32.214 --> 00:11:34.014]  And so it's all being announced.
[00:11:34.014 --> 00:11:37.615]  And here's the big headline.
[00:11:37.615 --> 00:11:39.855]  Here's the big headline.
[00:11:39.855 --> 00:11:55.578]  They have a Bill and Melinda Gates Foundation spokesperson meeting with Democrats and with EU leaders calling for the CIA and FBI to treat anti-vaxxers like Al-Qaeda and quote, disrupt us.
[00:11:55.578 --> 00:11:57.018]  Now that term means kill us.
[00:11:58.493 --> 00:12:01.595]  And he also, Dr. Mercola, quotes that here.
[00:12:01.595 --> 00:12:06.799]  That dovetails with Biden executive order strips Americans of their rights.
[00:12:06.799 --> 00:12:17.707]  If they directly or indirectly aid Russia, Biden will decide or the Southern Poverty Law Center, ADL or CIA, no judge, no jury, then your bank account will be taken.
[00:12:17.707 --> 00:12:22.150]  And if they wish, they're saying Green Berets will come and kill you at your house.
[00:12:22.150 --> 00:12:26.473]  Navy SEALs will knock your door down with a sledgehammer and come in and take you to a black site.
[00:12:26.473 --> 00:12:27.934]  So they are starting the Civil War.
[00:12:30.245 --> 00:12:38.526]  And see, I can handle somebody trying to run me off the road, or somebody saying what I was doing in my backyard, or somebody, you know, telling me, you know, hey, I'm listening to your phone.
[00:12:38.526 --> 00:12:39.607]  I'm listening to you inside your house.
[00:12:39.607 --> 00:12:40.967]  I heard what your wife said an hour ago.
[00:12:40.967 --> 00:12:43.047]  I'm going to cut your head off.
[00:12:43.047 --> 00:12:45.528]  That doesn't stop me, because I knew this a long time ago.
[00:12:45.528 --> 00:12:48.508]  But it does get to people like Mercola.
[00:12:48.508 --> 00:12:50.168]  He's not even afraid of these people.
[00:12:50.168 --> 00:12:51.769]  He just says, this is the next level.
[00:12:51.769 --> 00:12:55.369]  He's not in the military, and he's just letting you know that the country's gone.
[00:12:55.369 --> 00:12:58.950]  So, this is a foreign takeover.
[00:13:00.976 --> 00:13:05.599]  This is a multinational, end-of-the-country event you're witnessing right now.
[00:13:05.599 --> 00:13:08.641]  And of course, it's just being normalized, and people will just ease into it.
[00:13:08.641 --> 00:13:17.326]  That's why they say, if you're going to slit your wrists, you want to slit them in hot water in a tub, and you don't really feel it, you just pass out in about 5-10 minutes and die.
[00:13:17.326 --> 00:13:19.868]  And the veins stay open.
[00:13:19.868 --> 00:13:21.729]  So, that's what the country is.
[00:13:21.729 --> 00:13:24.871]  We're in a hot tub, our wrists are slit, we're dying right now.
[00:13:25.552 --> 00:13:32.916]  So, and all the property, all the enjoyment, all the largesse, it's all going with it.
[00:13:32.916 --> 00:13:35.578]  So we're going into full bondage right now.
[00:13:35.578 --> 00:13:40.981]  That brings us to, again, John Oliver and all these shows that are paid.
[00:13:40.981 --> 00:13:44.463]  I mean, John Oliver said no one's died from a COVID vaccine.
[00:13:44.463 --> 00:13:46.064]  He said they're totally safe.
[00:13:46.064 --> 00:13:49.266]  He said there's no fetal cells in them.
[00:13:49.266 --> 00:13:50.987]  And anybody could go in two minutes.
[00:13:50.987 --> 00:13:53.028]  I mean, I pulled up CDC website,
[00:13:53.760 --> 00:13:55.481]  I pulled up John Hopkins.
[00:13:55.481 --> 00:13:57.301]  I pulled up all of this stuff.
[00:13:57.301 --> 00:14:00.862]  It was a 21-minute show, so I'm not going to air the whole thing here.
[00:14:00.862 --> 00:14:05.684]  But everything he said was a lie.
[00:14:05.684 --> 00:14:09.085]  And he goes, also, no one's trying to put microchips in you.
[00:14:09.085 --> 00:14:11.926]  No, they just have the University of Texas, MIT,
[00:14:13.349 --> 00:14:27.739]  All the other big scientific institutes coming up with nanotech that's in the vaccines so they can biologically track that indeed you were given that vaccine because they have markers to see not just from antibodies but from the vaccine itself that you have it in you.
[00:14:27.739 --> 00:14:30.080]  These are synthetic viruses, synthetic biology.
[00:14:30.080 --> 00:14:38.606]  Then they have the little micro glass patches that they put on you that work in your body that can be scanned that have little microchips inside of them that have information on it.
[00:14:38.606 --> 00:14:41.108]  And that's in CBS News today!
[00:14:42.509 --> 00:14:46.572]  But see, they don't want us talking about it until it rolls out.
[00:14:46.572 --> 00:14:48.794]  And then, oh, you're a kook if you don't do it.
[00:14:48.794 --> 00:14:54.399]  First, oh, you're a kook if you think vaccine passports and a global social credit score are coming.
[00:14:54.399 --> 00:14:56.761]  I told you that before the fake pandemic years ago.
[00:14:56.761 --> 00:14:57.661]  And now it's here.
[00:14:57.661 --> 00:15:03.266]  Oh, and then once they announce it, hey, that patch has got nanoglass on it, works into your body.
[00:15:03.266 --> 00:15:03.927]  Well, I don't care.
[00:15:03.927 --> 00:15:05.088]  It's easier than a needle.
[00:15:05.088 --> 00:15:06.108]  No, no.
[00:15:06.108 --> 00:15:07.950]  It tracks you for life.
[00:15:07.950 --> 00:15:09.431]  And it's nefarious.
[00:15:09.431 --> 00:15:10.412]  Why doesn't it hide?
[00:15:11.109 --> 00:15:12.250]  Well, why do you lock your doors at night?
[00:15:12.250 --> 00:15:13.351]  Because there's bad people out there.
[00:15:13.351 --> 00:15:16.113]  And it's the same thing.
[00:15:16.113 --> 00:15:18.696]  They've lied to us about every level of COVID.
[00:15:18.696 --> 00:15:22.479]  They killed most of the people that died with ventilators who didn't need it.
[00:15:22.479 --> 00:15:27.343]  They knew oral steroids or inhalable steroids had like a 99% rate.
[00:15:27.343 --> 00:15:30.146]  They knew hydroxychloroquine.
[00:15:30.146 --> 00:15:30.506]  They knew it all.
[00:15:30.506 --> 00:15:32.208]  They suppressed it all for fear.
[00:15:32.208 --> 00:15:37.072]  And now they're bringing in a permanent dictatorship and saying the mask and all of it never ends because it never ends.
[00:15:37.757 --> 00:15:40.739]  And now white papers are coming out from Bill and Melinda Gates and the British government.
[00:15:40.739 --> 00:15:43.662]  They're going to have a new lockdown soon for the flu.
[00:15:43.662 --> 00:15:45.403]  Until you reject this, it only gets worse.
[00:15:46.201 --> 00:15:49.063]  So we're going to break down the nightmare world we're already in.
[00:15:49.063 --> 00:15:50.243]  And see, it's not coming.
[00:15:50.243 --> 00:15:57.807]  You're now inside the eugenics-based world government, post-industrial, post-human planet, to bring the human carbon footprint down to zero, which means death.
[00:15:57.807 --> 00:15:58.628]  Hey, everybody.
[00:15:58.628 --> 00:16:01.870]  Confused about staying healthy in a crazy COVID culture?
[00:16:01.870 --> 00:16:02.630]  Me too.
[00:16:02.630 --> 00:16:09.754]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[00:16:09.754 --> 00:16:13.716]  It's that immune system health can literally be the difference between life and death.
[00:16:14.116 --> 00:16:16.017]  You probably already believe that.
[00:16:16.017 --> 00:16:17.037]  I certainly do.
[00:16:17.037 --> 00:16:17.978]  So here's the thing.
[00:16:17.978 --> 00:16:26.882]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[00:16:26.882 --> 00:16:32.305]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[00:16:32.305 --> 00:16:33.665]  No cures or treatments there.
[00:16:33.665 --> 00:16:37.007]  Instead, little-known but shocking immune system research.
[00:16:37.467 --> 00:16:42.872]  And a breakthrough immune support product based on that research called Immune 10X.
[00:16:42.872 --> 00:16:43.773]  And the best part?
[00:16:43.773 --> 00:16:50.499]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[00:16:50.499 --> 00:16:51.340]  Crazy, right?
[00:16:51.340 --> 00:16:55.323]  Learn more about this unusual limited-time offer at StrongerDefense.com.
[00:16:55.323 --> 00:16:56.825]  That's StrongerDefense.com.
[00:16:57.603 --> 00:16:58.563]  Hey everybody!
[00:16:58.563 --> 00:17:04.044]  If you've ever thought about heirloom beans as a storable survival food, I've got great news.
[00:17:04.044 --> 00:17:06.485]  In fact, I'll bet it's the best news you've heard in a while.
[00:17:06.485 --> 00:17:07.345]  Here's the thing.
[00:17:07.345 --> 00:17:11.646]  We've just received a fresh batch of gourmet heirloom beans.
[00:17:11.646 --> 00:17:12.986]  Survival soup beans.
[00:17:12.986 --> 00:17:21.188]  These beans are gorgeous, highly nutritious, and above all, with no hesitation whatsoever, the best tasting beans in the entire world.
[00:17:21.188 --> 00:17:21.708]  The best part?
[00:17:22.268 --> 00:17:31.574]  We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to.
[00:17:31.574 --> 00:17:32.595]  Gets even better!
[00:17:32.595 --> 00:17:43.362]  With your permission, and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[00:17:43.362 --> 00:17:43.782]  Period.
[00:17:44.182 --> 00:17:56.219]  Go to soupbeansurvival.com, that's soupbeansurvival.com and discover the real reason we're giving this unusual superfood away at soupbeansurvival.com, that's soupbeansurvival.com.
[00:17:59.409 --> 00:18:06.016]  The federal government commissioned secret radiation experiments on thousands of non-consenting patients.
[00:18:06.016 --> 00:18:08.339]  Hundreds of hospitals in the U.S.
[00:18:08.339 --> 00:18:18.290]  injected healthy men, women, and children with uranium and plutonium at dosage levels ranging from non-therapeutic to lethal, killing many of the test subjects.
[00:18:19.366 --> 00:18:23.793]  Endgame, blueprint for global enslavement, is one of the most important films ever made.
[00:18:23.793 --> 00:18:30.463]  14 years ago, we tracked and documented the Bilderberg Group's activities and their plan for a great reset using the threat of a fake virus.
[00:18:30.463 --> 00:18:32.145]  The film now is more important than ever.
[00:18:32.145 --> 00:18:34.729]  When it shot to number one on Amazon last year, they banned it.
[00:18:34.909 --> 00:18:38.470]  We have it back in print, available now at InfoWarsTore.com.
[00:18:38.470 --> 00:18:41.971]  Selling them as low as $3.95 a piece when you buy them in bulk.
[00:18:41.971 --> 00:18:45.372]  And there's a zero country code, so anywhere on the planet you can make copies.
[00:18:45.372 --> 00:18:46.872]  In fact, I want you to make copies.
[00:18:46.872 --> 00:18:48.913]  You are the Paul Reveres.
[00:18:48.913 --> 00:18:50.534]  1776 Worldwide.
[00:18:50.534 --> 00:18:51.634]  1776 Worldwide.
[00:18:51.634 --> 00:18:52.054]  In game.
[00:18:52.054 --> 00:18:53.414]  Blueprint for Global Enslavement.
[00:18:53.414 --> 00:18:55.355]  Available now at InfoWarsTore.com.
[00:18:58.912 --> 00:19:00.813]  Again, I don't like to lecture people.
[00:19:00.813 --> 00:19:11.876]  I'm a very private person, but because of the globalists and their attack on humanity, I've been forced the last 27 years to be a public figure, and we've given the globalists one hell of a run for their money because of God.
[00:19:11.876 --> 00:19:15.857]  And I know some of our listeners get mad when I talk about God all day, but just get me up right.
[00:19:15.857 --> 00:19:17.297]  The Satanism's out in the open.
[00:19:17.297 --> 00:19:22.339]  I've always been a Christian, but now the fact that it's a fight between good and evil is so clear.
[00:19:22.339 --> 00:19:22.759]  And I get it.
[00:19:22.759 --> 00:19:24.519]  A lot of you have been turned off by big churches.
[00:19:24.519 --> 00:19:26.660]  A lot of you have been turned off by the corrupt.
[00:19:27.612 --> 00:19:28.612]  We're good to go.
[00:19:43.037 --> 00:19:44.919]  And so that's what InfoWars is really all about.
[00:19:44.919 --> 00:19:46.541]  So thank you all for your word of mouth.
[00:19:46.541 --> 00:19:48.503]  Thank you for spreading the word about InfoWars.
[00:19:48.503 --> 00:19:52.387]  And thank you for supporting us to keep us on air by visiting InfoWarsStore.com.
[00:19:52.387 --> 00:19:56.390]  Because without your daily and weekly and monthly purchases, we'll be taken off the air.
[00:19:56.390 --> 00:19:57.371]  So thank you for the support.
[00:19:57.371 --> 00:20:02.236]  InfoWarsStore.com.
[00:20:02.236 --> 00:20:04.859]  You're listening to the Alex Jones Show.
[00:20:12.095 --> 00:20:26.343]  You are listening to an Infowars.com Frontline Report.
[00:20:26.343 --> 00:20:31.685]  If you are receiving this transmission, you are the Resistance.
[00:20:31.685 --> 00:20:36.068]  Alright, so the Global Authority populate the planet.
[00:20:38.126 --> 00:20:59.159]  They got a point that obviously some areas are overpopulated, but they've been suppressing good technologies, they've been suppressing industrialization of the third world where people would stop having as many children, and instead they're just mitigating things by dumping toxic waste in the third world, and by paying people to be sterilized, or forcibly sterilizing them, or having governments forcibly sterilize them for money, and now they're moving this to the first world.
[00:20:59.159 --> 00:21:01.381]  But what is my big counter to John Oliver?
[00:21:02.131 --> 00:21:11.998]  Saying that I'm a complete liar, and that no one has died from the vaccines, which aren't vaccines, and that there's no human cells in it, no fetal cells in it.
[00:21:11.998 --> 00:21:16.521]  Well, I mean, I have all the mainline documents I'll show you here on air.
[00:21:16.521 --> 00:21:28.169]  And that's why they try to censor us, so that he can get 5, 10 million views for each show on YouTube, and air it over and over again on HBO, and gaslight the public.
[00:21:28.169 --> 00:21:31.171]  But here's something, before I get to that, that totally destroys him.
[00:21:32.967 --> 00:21:34.527]  Several big things.
[00:21:34.527 --> 00:21:41.989]  I'm going to show you mainstream articles that China refused the mRNA vaccine and said it's untested, it could be dangerous.
[00:21:41.989 --> 00:21:45.510]  They are the wild, wild west in China.
[00:21:45.510 --> 00:21:48.550]  30 years ago, they had cows that produced human milk.
[00:21:48.550 --> 00:21:55.132]  30 years ago, 35 years ago, they had spiders that were part goat that produced body armor.
[00:21:55.132 --> 00:22:00.013]  I mean, we're already in basically the year 2070.
[00:22:00.013 --> 00:22:01.933]  They're 50 years ahead, ladies and gentlemen.
[00:22:03.320 --> 00:22:04.061]  In their own words.
[00:22:04.061 --> 00:22:07.223]  So, that's why they're so arrogant to all of us.
[00:22:07.223 --> 00:22:10.986]  Because this is the island of Dr. Maru.
[00:22:10.986 --> 00:22:12.527]  We're in the future now.
[00:22:12.527 --> 00:22:14.628]  The future's here, it's just not evenly distributed.
[00:22:14.628 --> 00:22:20.433]  And people like John Oliver, and all these so-called comics that are really just propagandists.
[00:22:20.433 --> 00:22:26.137]  Comics pretending to be newsmen, pretending to be non-biased, when they're just frauds, reading off a teleprompter.
[00:22:27.660 --> 00:22:29.962]  And they're lying to you knowingly.
[00:22:29.962 --> 00:22:35.505]  But China doesn't accept the mRNA vaccines, Pfizer's and Moderna.
[00:22:35.505 --> 00:22:36.666]  India banned it.
[00:22:36.666 --> 00:22:37.726]  I'll show you the articles.
[00:22:37.726 --> 00:22:56.558]  But he looks up to the teleprompter and the camera with a straight face and tells you that we're insane and we're crazy and we're baboons and we're neon footballs and we spray feces on people and all this childish crap.
[00:22:57.313 --> 00:22:59.134]  Overhead shot, please.
[00:22:59.134 --> 00:23:02.475]  When I can show you right now.
[00:23:02.475 --> 00:23:04.496]  John Oliver, who we know just reads off the front cover.
[00:23:04.496 --> 00:23:06.096]  He's a mercenary.
[00:23:06.096 --> 00:23:10.998]  Why India's expert panel rejected Pfizer's plea for emergency use of the vaccine?
[00:23:10.998 --> 00:23:11.698]  That was months ago.
[00:23:11.698 --> 00:23:14.419]  They banned it.
[00:23:14.419 --> 00:23:19.982]  Pfizer withdraws emergency application for use of its COVID vaccine in India because it was refused.
[00:23:19.982 --> 00:23:20.702]  BBC.
[00:23:20.702 --> 00:23:21.222]  COVID.
[00:23:21.222 --> 00:23:24.343]  What we know about China's coronavirus vaccines.
[00:23:24.343 --> 00:23:25.043]  It goes on.
[00:23:25.043 --> 00:23:25.524]  BBC.
[00:23:25.524 --> 00:23:26.504]  They've not approved it.
[00:23:27.845 --> 00:23:32.947]  And instead they have an attenuated COVID-19 virus, a classic vaccine.
[00:23:32.947 --> 00:23:35.468]  Oh, BBC John Oliver.
[00:23:35.468 --> 00:23:42.110]  Americans are dumb, Americans are stupid, Americans listen to Alex Jones and Tucker Carlson.
[00:23:42.110 --> 00:23:47.532]  And all these doctors, the Bill and Melinda Gates Foundation spokesperson said he'd be arrested.
[00:23:47.532 --> 00:23:51.413]  The Pentagon and the CIA need to shut us down as terrorists.
[00:23:51.413 --> 00:23:53.834]  I'm going to show you the quotes, they call us terrorists.
