[00:00:00.369 --> 00:00:02.011]  Thanks for watching!
[00:04:05.432 --> 00:04:10.696]  You know, I was down here in Austin before it became the Fancy Pants headquarters of this area.
[00:04:10.696 --> 00:04:12.957]  And, you know, if I had my druthers, I would leave it.
[00:04:12.957 --> 00:04:15.479]  But the full investment's here.
[00:04:15.479 --> 00:04:16.460]  The crew is here.
[00:04:16.460 --> 00:04:20.242]  And we've been invaded by the dregs of the people that made California fall apart.
[00:04:20.242 --> 00:04:21.303]  They're not really Californians.
[00:04:21.303 --> 00:04:29.368]  They're the offspring of the carpetbaggers and people that moved to California and sucked that state dry and now have moved on to conquer Texas.
[00:04:29.368 --> 00:04:32.791]  And we're only four to eight years away from being a blue state.
[00:04:33.591 --> 00:04:39.138]  So most folks I know are already evacuating Montana and Utah and Idaho, but that's not going to work.
[00:04:39.138 --> 00:04:43.404]  The left, once we build something there, will just come there and feed on us.
[00:04:43.404 --> 00:04:46.287]  But you know, our biggest enemy is not the satanic left.
[00:04:46.287 --> 00:04:48.150]  Our biggest enemy is ourselves.
[00:04:48.150 --> 00:04:52.135]  And the fact that the average person, all the studies show, is in a dream state.
[00:04:54.025 --> 00:04:57.386]  And the average person has an IQ less than a goldfish.
[00:04:57.386 --> 00:05:04.749]  And a goldfish is an IQ, not an IQ, attention span, but maybe lower than IQ as well in some cases.
[00:05:04.749 --> 00:05:10.491]  And so the average person has a shorter attention span than a goldfish.
[00:05:10.491 --> 00:05:18.234]  And this is the giant curse everywhere, programmed by the television, programmed by 70 years of TV.
[00:05:18.234 --> 00:05:21.335]  And so the average person may be intelligent,
[00:05:22.230 --> 00:05:29.015]  But they do not have an attention span, unless it's a video game they're playing, or, you know, maybe a football game they're watching.
[00:05:29.015 --> 00:05:39.424]  They're trained to give their attention span to something that manipulates their dopamine and gives them continually changing inputs.
[00:05:39.424 --> 00:05:47.570]  And so the globalists sit back while the general public has been put into this mind control trance, and they rule over us.
[00:05:47.570 --> 00:05:50.993]  And it's truly, truly disgusting, ladies and gentlemen.
[00:05:52.452 --> 00:05:55.936]  We're going to break out of it, and we're going to conquer it, and we're going to deal with it.
[00:05:55.936 --> 00:05:58.719]  But as I said, I will be live tomorrow, 11 a.m.
[00:05:58.719 --> 00:06:02.583]  Central Standard Time, Lord willing, unless my car blows up or something.
[00:06:02.583 --> 00:06:04.565]  I mean, you know, who knows?
[00:06:04.565 --> 00:06:10.531]  But I will be here, hook or crook, covering it all and doing it all, because that's what has to happen.
[00:06:11.252 --> 00:06:24.561]  Because while the average American is just seeking after pleasure and seeking after diversions, the globalists are working around the clock to take everything you've got and create a post-human, post-industrial world.
[00:06:24.561 --> 00:06:27.343]  And I, for one, am not going to sit back and watch that happen.
[00:06:27.343 --> 00:06:32.567]  So, here, let's just begin to tell you about what's coming up next segment.
[00:06:33.576 --> 00:06:35.038]  Obviously.
[00:06:35.038 --> 00:06:44.609]  We're starting the show a little late today, but we're going to get into the gunman in West Texas shooting identified as Seth Ator.
[00:06:44.609 --> 00:06:51.277]  And this individual got pulled over by the police and then went crazy and began just indiscriminately shooting.
[00:06:52.526 --> 00:06:55.729]  That's normally what you see with a Mexican drug cartel.
[00:06:55.729 --> 00:06:57.230]  That's what they do when the cops pull them over.
[00:06:57.230 --> 00:07:00.873]  They start shooting at the cops, shooting everybody else, so everybody runs for cover.
[00:07:00.873 --> 00:07:02.214]  I don't know if this is connected to that.
[00:07:02.214 --> 00:07:03.535]  Who knows?
[00:07:03.535 --> 00:07:09.559]  But what I do know is, is that you have 12,000 people a year that die from guns in the United States.
[00:07:09.559 --> 00:07:16.805]  And what I do know is that around 9,000 of those are suicides.
[00:07:16.805 --> 00:07:17.886]  So we've got
[00:07:19.963 --> 00:07:33.471]  Quite a few people that are being killed in drive-by shootings, are being killed by murderers, but still statistically, ladies and gentlemen, tens of thousands drowned, tens of thousands fall and hit their head in the bathroom and die.
[00:07:33.471 --> 00:07:41.016]  And I pulled up the numbers here, they're always four or five years behind on statistics, but in 2016, 50 plus thousand people died from prescription
[00:07:46.173 --> 00:07:52.060]  Now, they've been reporting that it's 10 times worse now than it was a decade ago, but we don't have the exact numbers.
[00:07:52.060 --> 00:07:57.367]  So, let's just say hundreds of thousands of people are dying a year from drug overdoses.
[00:07:57.367 --> 00:07:59.771]  That famous baseball player just died from fentanyl.
[00:08:00.697 --> 00:08:03.518]  But you see, Trump's trying to make that a big front and center issue.
[00:08:03.518 --> 00:08:05.239]  I've tried to make it a big issue too.
[00:08:05.239 --> 00:08:09.681]  Most people have friends or family that are crippled by opiates.
[00:08:09.681 --> 00:08:12.083]  They've been causing problems for thousands of years.
[00:08:12.083 --> 00:08:15.444]  There's an old number, 2017, says 47,600.
[00:08:15.444 --> 00:08:18.586]  I actually have the federal government's own numbers here.
[00:08:18.586 --> 00:08:23.708]  I had to move my articles over from the other side and they got mixed together.
[00:08:23.708 --> 00:08:26.310]  So I'm going to get to this later in the next hour, but will someone
[00:08:27.210 --> 00:08:31.816]  Go and reprint, because I'm not going to dig through these stacks.
[00:08:31.816 --> 00:08:32.677]  No, can't do it now.
[00:08:32.677 --> 00:08:33.898]  I had them all stacked up.
[00:08:33.898 --> 00:08:35.880]  It's okay, they got moved over and mixed.
[00:08:35.880 --> 00:08:37.382]  Or it's my fault, I mixed them wrong.
[00:08:37.382 --> 00:08:40.426]  The point is, is that I have the federal number that's 53,000.
[00:08:40.426 --> 00:08:42.047]  That graph we showed says 47,000 in 2016.
[00:08:42.047 --> 00:08:42.468]  No, no, no, it's 53,000.
[00:08:48.134 --> 00:08:53.457]  So, we're going to show you that as well, okay?
[00:08:53.457 --> 00:09:02.582]  And we're going to just basically look at the facts here that automobiles kill hundreds of thousands of people a year.
[00:09:02.582 --> 00:09:12.027]  But again, they hype up mass shootings because it is scary to think you can go to the movie theater or go to the shopping mall and then some crazy person comes in and kills you, but out of 300
[00:09:14.161 --> 00:09:19.462]  And probably 60 million people if you count all the illegal aliens, but 330 million people in the census.
[00:09:19.462 --> 00:09:23.803]  It's very rare to get shot in a mass shooting.
[00:09:23.803 --> 00:09:28.885]  Just like it's rare to have somebody break in your house and shoot you, but it's still terrible if it happens to you.
[00:09:28.885 --> 00:09:33.626]  But the point is the media is hyping this to launch red flag laws and try to take
[00:09:34.850 --> 00:09:36.471]  All of our guns.
[00:09:36.471 --> 00:09:39.333]  So that then they can really have some fun with us.
[00:09:39.333 --> 00:09:43.435]  We'll be back with all the latest and back to O'Rourke saying confiscate all the guns.
[00:09:43.435 --> 00:09:44.416]  Straight ahead, please stay with us.
[00:09:49.796 --> 00:09:54.999]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[00:09:54.999 --> 00:10:02.903]  We had over 5 billion views when we got banned, and we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[00:10:02.903 --> 00:10:10.887]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal.
[00:10:10.887 --> 00:10:11.927]  And it's now here.
[00:10:11.927 --> 00:10:13.088]  Banned.Video.
[00:10:13.668 --> 00:10:28.263]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:10:28.263 --> 00:10:32.107]  Watch your favorite content from media personalities banned by big tech.
[00:10:32.107 --> 00:10:33.268]  Works on every device.
[00:10:33.268 --> 00:10:36.131]  Take your shows on the go with banned.video.
[00:10:36.471 --> 00:10:42.660]  Watch live shows, on-demand content, and join in on the conversation from anywhere with Band.Video.
[00:10:42.660 --> 00:10:46.646]  Share videos with your friends via Facebook, Twitter, SMS, email, and more.
[00:10:46.646 --> 00:10:48.088]  Band.Video.
[00:10:49.130 --> 00:10:58.739]  There are only a few days left for you to get DNA Force Plus at 50% off and get a free bottle of Carnivore 90 for free.
[00:10:58.739 --> 00:11:08.529]  That's 90 powerful enzyme capsules designed to help you digest and absorb protein and fat and to clean out your guts in a healthy way.
[00:11:08.789 --> 00:11:13.050]  DNA Force Plus is our flagship product and needs no introduction.
[00:11:13.050 --> 00:11:19.853]  But Carnivore is so amazing that I want to offer you a free bottle of it so you can experience how great it is.
[00:11:19.853 --> 00:11:24.715]  We will be out of Carnivore in just the next week or so at current sales levels.
[00:11:24.715 --> 00:11:27.656]  I'm doing this because it's such an important product for people.
[00:11:27.656 --> 00:11:31.697]  I want those of you on the fence to experience it like so many others have.
[00:11:32.137 --> 00:11:38.744]  So again, we are running this special as long as our stock of Carnivore 90 is still here.
[00:11:38.744 --> 00:11:46.592]  Get your DNA Force Plus 50% off right now at MFullWarsStore.com or MFullWarsLife.com and get a free bottle of Carnivore 90.
[00:11:49.039 --> 00:11:51.161]  Josh in Washington, you're on the air, go ahead.
[00:11:51.161 --> 00:11:52.322]  Alex, God bless you.
[00:11:52.322 --> 00:11:54.905]  I have an idea for a new InfoWars t-shirt.
[00:11:54.905 --> 00:12:00.891]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:12:00.891 --> 00:12:01.552]  Ooh, yeah.
[00:12:01.552 --> 00:12:02.893]  Showing your brain getting fried.
[00:12:02.893 --> 00:12:04.755]  Then I have some comments on your supplements, man.
[00:12:04.755 --> 00:12:05.796]  Totally changed my life.
[00:12:05.796 --> 00:12:08.839]  I use TurboForce, BODY, AlphaPower, BrainForce.
[00:12:09.039 --> 00:12:09.420]  We're good.
[00:12:24.316 --> 00:12:26.677]  All of these things are known to be incredible.
[00:12:26.677 --> 00:12:33.460]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force of the CoQ10 and BioPQQ and all the rest of it.
[00:12:33.460 --> 00:12:35.981]  All of these are things that are like rocket fuel in the body.
[00:12:35.981 --> 00:12:38.903]  You take these bases together, then you have your foundation.
[00:12:38.903 --> 00:12:40.903]  Now you can build the big strong temple.
[00:12:40.903 --> 00:12:44.865]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:12:44.865 --> 00:12:47.626]  And then it funds the information war, which is so critical.
[00:12:47.626 --> 00:12:48.467]  Thank you so much.
[00:12:48.467 --> 00:12:48.907]  God bless you.
[00:12:49.187 --> 00:12:53.030]  At InfoWarsLive, we always try to bring you game-changing products.
[00:12:53.030 --> 00:12:57.493]  Now, we've already been promoting and selling Super Silver Wound Gel for over a year.
[00:12:57.493 --> 00:12:58.554]  It's a bestseller.
[00:12:58.554 --> 00:12:59.434]  It is the best.
[00:12:59.434 --> 00:13:03.337]  You can get a 100% review rate on Power Reviews.
[00:13:03.337 --> 00:13:04.538]  Well, now we teamed up with them.
[00:13:04.838 --> 00:13:04.938]  Yes.
[00:13:19.881 --> 00:13:21.021]  And so much more.
[00:13:21.021 --> 00:13:26.903]  And this patented nano type of silver that has been proven to be the most effective and the best.
[00:13:26.903 --> 00:13:32.884]  It's got all these other great vitamins and compounds that are known to be wonderful for your skin.
[00:13:32.884 --> 00:13:38.786]  If you're a woman, man, if you're a child, we are so excited about the new Super Silver Skin Cream.
[00:13:38.786 --> 00:13:41.566]  We have it in the smaller tube and the large tube.
[00:13:41.566 --> 00:13:44.767]  It's very, very affordable and it funds our operations.
[00:13:44.767 --> 00:13:47.888]  Check it out today and get yours at Infowarslife.com.
[00:13:51.630 --> 00:14:05.244]  You're listening to the Alex Jones Show.
[00:14:05.244 --> 00:14:10.289]  From the front lines of the Information War, it's Alex Jones.
[00:14:26.650 --> 00:14:28.751]  Now, this is the first broadcast of September 2019.
[00:14:28.751 --> 00:14:35.594]  I'm your host, Alex Jones, here live on the Sunday edition.
[00:14:35.594 --> 00:14:40.156]  I will be live tomorrow on the Monday edition for September 2nd, 2019.
[00:14:40.156 --> 00:14:43.537]  You can bet your boots.
[00:14:43.537 --> 00:14:49.000]  Now, we're obviously at a major historical crossroads right now.
[00:14:49.000 --> 00:14:55.183]  We are in the middle of a global quickening, and the Democratic Party
[00:14:56.559 --> 00:15:00.921]  Represents the powerful global corporate interests that want to disarm dumbed-down population.
[00:15:00.921 --> 00:15:03.222]  They want a post-human world.
[00:15:03.222 --> 00:15:07.484]  To have a post-human world, you've got to disarm the people you want to get rid of.
[00:15:07.484 --> 00:15:14.507]  And by the way, if you're a new viewer or listener, you're saying, what do you mean a post-human world?
[00:15:14.507 --> 00:15:23.331]  Well, NBC last week had the big cover story that humans will soon be obsolete, humans will be extinct.
[00:15:23.331 --> 00:15:24.872]  That's a good thing because we're bad,
[00:15:26.104 --> 00:15:31.205]  And it'll be good for the environment when the cyborgs rise, that's humans that merge with machines.
[00:15:31.205 --> 00:15:36.146]  Really, those will just be humans that are slaves of big tech.
[00:15:36.146 --> 00:15:43.407]  But they sell it like it's the ultimate status and how all the followers really become cool kids.
[00:15:43.407 --> 00:15:48.028]  There's the headline, Cyborgs Will Replace Humans and Remake the World, James Lovelock says.
[00:15:48.028 --> 00:15:52.889]  And you tune into Discovery Channel or any of these shows, and it's like, there's too many humans!
[00:15:52.889 --> 00:15:53.689]  We need to get rid of them!
[00:15:54.514 --> 00:15:55.775]  We're gonna merge the machines!
[00:15:55.775 --> 00:15:57.756]  I don't believe in God, but I'm gonna become one!
[00:15:57.756 --> 00:16:00.337]  Ray Kurzweil!
[00:16:00.337 --> 00:16:04.779]  So they say this, and they do this, and they push this everywhere.
[00:16:04.779 --> 00:16:05.940]  In every way.
[00:16:05.940 --> 00:16:17.845]  And then they tell us, oh, but we care about human life, and we care about the children, we care about people that get shot by guns, and we cry, and Beto cries, and then he kinda looks up and smiles and laughs.
[00:16:17.845 --> 00:16:20.707]  Then we can pull in Beto laughing in, uh,
[00:16:23.655 --> 00:16:26.216]  El Paso, a month ago.
[00:16:26.216 --> 00:16:32.958]  He does that weird demonic... It's terrible, they're dying!
[00:16:32.958 --> 00:16:36.660]  Oh, they don't care about the 115 million killed by the Communist Chinese in their own country.
[00:16:36.660 --> 00:16:40.101]  They don't care about 50 million killed by Lenin and Stalin.
[00:16:40.101 --> 00:16:43.502]  They don't care about any of that.
[00:16:43.502 --> 00:16:47.364]  They don't care about the hundreds of thousands dead and tortured to death in Cuba, probably millions.
[00:16:47.364 --> 00:16:51.025]  Same thing in Venezuela.
[00:16:51.025 --> 00:16:51.125]  No.
[00:16:53.166 --> 00:16:55.027]  But they know you've got a conscience.
[00:16:55.027 --> 00:16:56.268]  And they know you care.
[00:16:56.268 --> 00:17:11.556]  And they know when you hear about seven people dead, including the shooter, in Odessa, outside a mall in a movie theater, because the cops pulled this guy over, and then he just starts randomly shooting people.
[00:17:11.556 --> 00:17:15.459]  Including a 17-month-old child amongst those that are injured.
[00:17:15.459 --> 00:17:17.820]  Well, we have the special report that really needs to be shared.
[00:17:17.820 --> 00:17:20.602]  It's really powerful, that I aired earlier.
[00:17:21.823 --> 00:17:23.303]  Pieces of.
[00:17:23.303 --> 00:17:30.045]  The headline is the zombie apocalypse is real and it's here.
[00:17:30.045 --> 00:17:48.531]  It's not undead walking around killing people but it's just this week a woman in Georgia walking by a mother and a father with their daughter and their son stabbing the three-year-old boy almost cutting his nose off going for his eyes but stabbing big giant holes in his face with a 10-inch butcher knife then trying to kill the little girl the mother and the father.
[00:17:50.046 --> 00:17:57.087]  One female officer put her in cuffs and just led her away.
[00:17:57.087 --> 00:17:59.508]  That story's on InfoWars.com with the video.
[00:17:59.508 --> 00:18:11.711]  And then another woman just attacked an Uber driver for no reason, tried to ram through his windshield, tried to go through the windshield, then began biting him like something out of a zombie movie.
[00:18:11.711 --> 00:18:17.572]  Maybe we should roll some B-roll of that, just, you know, from a special report that we've got on the zombie apocalypse.
[00:18:17.572 --> 00:18:18.172]  Yeah, here it is.
[00:18:18.172 --> 00:18:18.472]  Perfect.
[00:18:19.864 --> 00:18:23.847]  And there's so many of these, I can't even play them all for you.
[00:18:23.847 --> 00:18:42.341]  Or then there's the guy running around in Tampa who just killed his sister and her daughter, his niece, for no reason, and then going and humping the groundskeeper and screaming satanic things and trying to bite him, trying to rape him and bite him.
[00:18:42.341 --> 00:18:43.862]  And then there's more videos.
[00:18:43.862 --> 00:18:48.846]  I've got probably, I don't know, five articles and a bunch of video of people in Sweden
[00:18:50.046 --> 00:18:58.292]  France, Germany, England, and Italy.
[00:18:58.292 --> 00:19:16.324]  Of Muslims from Afghanistan and from Morocco and from Iraq walking up to people at bus stations, and of course they're all white, and targeting men, women, and children, and one guy stabbed
[00:19:18.271 --> 00:19:40.946]  Ten people, wounded nine, killed one, and there's an incredible haunting video up on InfoWars.com about it in France, where a Frenchman walks up, yeah, this has got the video, and doesn't even attack the guy, pleads with him, and then the Muslim drops the knife.
[00:19:40.946 --> 00:19:46.990]  So this big French guy comes up, can't grab the butcher knife away, gets right in his striking distance, you know the guy's got a butcher knife,
[00:19:50.746 --> 00:19:54.630]  Risk his life not to punch that guy in the throat.
[00:19:54.630 --> 00:19:57.312]  That's domestication right there, folks.
[00:19:57.312 --> 00:20:01.776]  You take the knife away from him and you jam it up through his throat.
[00:20:01.776 --> 00:20:06.580]  But see, you go to Afghanistan, they just randomly kill each other for no reason.
[00:20:06.580 --> 00:20:11.284]  You go to Pakistan, they just randomly kill each other for no reason.
[00:20:11.284 --> 00:20:12.085]  It's very, very sad.
[00:20:12.085 --> 00:20:13.687]  A lot of it is the extreme inbreeding.
[00:20:14.653 --> 00:20:17.214]  Pakistanis are 2% of the population in the UK.
[00:20:17.214 --> 00:20:18.835]  They're 37% of deformities.
[00:20:18.835 --> 00:20:19.695]  Very sad.
[00:20:19.695 --> 00:20:22.137]  But marrying your sister ain't good.
[00:20:22.137 --> 00:20:25.518]  Whether you're British royalty or whether you're Pakistani.
[00:20:25.518 --> 00:20:27.739]  It's very dangerous.
[00:20:27.739 --> 00:20:28.400]  Very dangerous.
[00:20:28.400 --> 00:20:32.302]  Causes a lot of psychotic activity in Afghanistan and Pakistan.
[00:20:32.302 --> 00:20:33.402]  The level of mental illness.
[00:20:33.402 --> 00:20:35.883]  I mean, just watch the videos for yourself.
[00:20:35.883 --> 00:20:39.205]  But see, dozens stabbed to death all over Europe.
[00:20:40.345 --> 00:21:06.682]  Almost all by Muslims, who do not allow white people in their areas, and no-go zones, and now they're expanding outside the no-go zones, and they look and act like zombies, just like the white dude in Tampa, the monster, killing his sister, and her daughter, his nephew, his niece, and you look at their faces, they have the same, and then he's just humping the greenskeeper after he's killed his sister.
[00:21:08.447 --> 00:21:13.828]  And trying to choke him while he tries to rape him.
[00:21:13.828 --> 00:21:19.390]  So, we'll play Beto O'Rourke, who says, oh, he's so sad it's effed up.
[00:21:19.390 --> 00:21:20.870]  Notice how CNN cusses.
[00:21:20.870 --> 00:21:22.910]  Everybody else can cuss, but not a conservative show.
[00:21:22.910 --> 00:21:25.071]  You know, the FCC would come after us.
[00:21:25.071 --> 00:21:27.371]  But he cusses because it's so woke and so real.
[00:21:27.371 --> 00:21:32.693]  And I've got all these stacks of articles.
[00:21:32.693 --> 00:21:33.653]  And all these videos.
[00:21:36.400 --> 00:21:42.423]  Of the Islamists raping and killing and attacking and bombing and running people over with cars.
[00:21:42.423 --> 00:21:44.144]  It's never on our nose.
[00:21:44.144 --> 00:21:47.966]  And they want Infowars.com and Newswars.com shut down so you don't see it.
[00:21:47.966 --> 00:21:50.267]  And look, I'm not saying all the Muslims are bad people.
[00:21:50.267 --> 00:21:55.070]  The most dangerous thing to a Muslim is other Muslims.
[00:21:55.070 --> 00:21:56.431]  They're the biggest victims of Islam.
[00:21:56.431 --> 00:21:59.132]  But Islam has been expanding for 1400 years, taking the world over.
[00:21:59.132 --> 00:22:04.515]  The UN admits hundreds of thousands of Christians are killed a year by Muslims worldwide from Indonesia,
[00:22:05.762 --> 00:22:12.284]  To Nigeria, to France, and there's no coverage of it.
[00:22:12.284 --> 00:22:15.585]  Oh, but you get killed in mass shootings.
[00:22:15.585 --> 00:22:18.886]  Used to be about 100 a year in senseless mass shootings.
[00:22:18.886 --> 00:22:20.927]  You don't count gang-related.
[00:22:20.927 --> 00:22:22.127]  Now it's up to about 150.
[00:22:22.127 --> 00:22:24.908]  It's terrible.
[00:22:24.908 --> 00:22:27.109]  My goodness, it's a horrible thing.
[00:22:27.109 --> 00:22:29.590]  But how many people died on Texas roads today?
[00:22:30.481 --> 00:22:32.863]  I guarantee you, it's in the thousands.
[00:22:32.863 --> 00:22:34.404]  They've got signs up.
[00:22:34.404 --> 00:22:41.289]  I saw it on the sign last week, that so far, what's 3,000-something people have died on Texas roads.
[00:22:41.289 --> 00:22:44.391]  Had a big flashing government billboard up, usually has Amber Alerts.
[00:22:44.391 --> 00:22:50.075]  Talk about 3,200-something Texans have died on Texas roads this year.
[00:22:50.075 --> 00:22:52.596]  But you see that being hyped up everywhere else?
[00:22:52.596 --> 00:22:53.297]  No.
[00:22:53.297 --> 00:22:56.639]  The Highway Patrol, the Transportation Department is like, hey, drive safe.
[00:22:56.639 --> 00:22:57.440]  Safe following this.
[00:22:57.440 --> 00:22:58.861]  This is dangerous what you're doing.
[00:23:00.592 --> 00:23:03.673]  So you got 150 people or so killed in mass shootings.
[00:23:03.673 --> 00:23:04.594]  It's the end of the world.
[00:23:04.594 --> 00:23:06.934]  Everybody else that has guns has to turn their guns in.
[00:23:06.934 --> 00:23:10.976]  It's all our fault.
[00:23:10.976 --> 00:23:14.457]  Let's go out to break with Beto O'Rourke.
[00:23:14.457 --> 00:23:17.658]  Blaming gun owners and saying he wants to confiscate all semi-autos.
[00:23:17.658 --> 00:23:19.279]  Here it is.
[00:23:19.279 --> 00:23:20.540]  Congressman, welcome.
[00:23:20.540 --> 00:23:22.580]  Let's start on the shooting.
[00:23:22.580 --> 00:23:26.722]  I want to play for our viewers your reaction at a campaign stop last night.
[00:23:28.424 --> 00:23:34.253]  Don't know what the motivation is, do not yet know the firearms that were used or how they acquired them.
[00:23:34.253 --> 00:23:35.696]  But we do know this is f***ed up.
[00:23:40.302 --> 00:23:48.926]  Yeah, the rhetoric that we've used, the thoughts and prayers that you just referred to, it has done nothing to stop the epidemic of gun violence.
[00:23:48.926 --> 00:24:05.135]  To protect our kids, our families, our fellow Americans in public places, at a Walmart in El Paso where 22 were killed, in Sutherland Springs, in a church, one or two a day, all over this country, 100 killed daily in the United States of America.
[00:24:05.135 --> 00:24:09.017]  We're averaging about 300 mass shootings a year.
[00:24:09.537 --> 00:24:11.138]  No other country comes close.
[00:24:11.138 --> 00:24:12.519]  So, yes, this is f***ed up.
[00:24:12.519 --> 00:24:23.026]  And if we don't call it out for what it is, if we're not able to speak clearly, if we're not able to act decisively, then we will continue to have this kind of bloodshed in America.
[00:24:23.026 --> 00:24:24.267]  And I cannot accept that.
[00:24:24.267 --> 00:24:30.071]  And so, we're going to speak as defiantly and as strongly as we can, but we're also going to take action.
[00:24:30.071 --> 00:24:35.775]  Universal background checks, red flag laws, an end to the sales of weapons of war, and buying those AK-47s and AR-15s back.
[00:24:39.711 --> 00:24:40.912]  We've had this in for two weeks.
[00:24:40.912 --> 00:24:44.275]  I've been so busy, I haven't talked about it because I've been covering news.
[00:24:44.275 --> 00:24:45.516]  But it's very exciting.
