[00:00:07.870 --> 00:00:09.311]  We did it!
[00:10:11.683 --> 00:10:12.984]  We're here to hurt humans!
[00:10:12.984 --> 00:10:14.384]  We're here to suck your guts out!
[00:10:15.649 --> 00:10:23.576]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:10:23.576 --> 00:10:36.326]  That sounded pretty extreme a couple months ago and I read from 1984 and basically paraphrased a little bit of the end there about how the priest of power, Satanists in government, want to hurt themselves, hurt you, and hurt everybody else.
[00:10:36.326 --> 00:10:43.432]  But then you get the WikiLeaks and it's all about keeping us poor, hurting us, hating us, hating each other, and you guessed it, Satanism.
[00:10:45.063 --> 00:10:47.025]  This is what really goes on in the world, folks.
[00:10:47.025 --> 00:10:52.589]  This is what's happened in every culture, in every civilization, when decadence hits a certain bottom level.
[00:10:52.589 --> 00:11:08.463]  And it appears, worldwide, that we've gone to the bottom of this particular mineshaft, this particular trench, this particular gateway to hell, and maybe trying to scrabble up towards the surface.
[00:11:08.463 --> 00:11:12.746]  But if people say, Alex, be more happy about this election, we've hit bottom, hopefully,
[00:11:13.752 --> 00:11:18.474]  We're now trying to go back to the surface.
[00:11:18.474 --> 00:11:25.236]  And I've never been some deep sea diver, but I've been 80, 90 feet down and can't get water out of my mask.
[00:11:25.236 --> 00:11:32.258]  And start to panic and just relax and just kick your fins and go back to the surface.
[00:11:32.258 --> 00:11:38.520]  And I feel like we're trying to get back to the surface, but I'll be honest, I don't know how much water is on top of us.
[00:11:38.520 --> 00:11:40.781]  I don't know how deep we went, do you?
[00:11:40.781 --> 00:11:41.841]  Just what I know of is
[00:11:43.408 --> 00:11:48.972]  Super deep, super dangerous, and let's be honest, it's always worse than I thought, isn't it?
[00:11:48.972 --> 00:11:56.256]  My only mistake is that it's almost always worse than Jones thinks.
[00:11:56.256 --> 00:12:00.139]  I am sickened by how on target I've been so far.
[00:12:00.139 --> 00:12:06.423]  I've not been pleased with our analysis turning out to be dead on.
[00:12:06.423 --> 00:12:08.044]  Dead on as far down as I can see.
[00:12:09.758 --> 00:12:12.519]  He keeps swimming down, it keeps getting deeper, doesn't it?
[00:12:12.519 --> 00:12:25.624]  But it feels like we've hit bottom and we're trying to struggle up right now and we've got enough air in our tanks, but we cannot celebrate yet because... I put a video out yesterday and I said he's in the most danger he's ever been.
[00:12:25.624 --> 00:12:28.545]  They've sent all these newspapers and TV shows killing.
[00:12:28.545 --> 00:12:32.667]  Nothing was ever done because the Justice Department wouldn't allow the Secret Service to call for prosecution.
[00:12:32.667 --> 00:12:35.908]  And believe me, the Secret Service called for the prosecution thousands of times.
[00:12:35.908 --> 00:12:38.389]  They caught people planning attacks on Trump and couldn't do anything.
[00:12:40.546 --> 00:12:42.688]  Lawlessness.
[00:12:42.688 --> 00:12:46.511]  Soros funding all these destabilization groups.
[00:12:46.511 --> 00:12:47.913]  They're not playing games.
[00:12:47.913 --> 00:12:50.295]  So I've shot a lot of special reports warning of this in the past.
[00:12:50.295 --> 00:12:54.438]  I shot one last night and I saw some of the trolls going, oh Alex, whatever, you fear monger.
[00:12:54.438 --> 00:12:54.999]  Really.
[00:12:54.999 --> 00:12:55.599]  Today.
[00:12:55.599 --> 00:12:56.700]  Articles on InfoWars.com.
[00:12:58.735 --> 00:13:05.938]  Massive, massive, massive calls for Trump to be killed in the media and on Twitter and on Facebook.
[00:13:05.938 --> 00:13:11.941]  And then we have people on CNN and on MSNBC saying it's time to kill Trump, kill his supporters, it's time for blood.
[00:13:11.941 --> 00:13:23.387]  And the media is like nodding their head trying to call for a revolution when we just saw the revolution against the media, against the foreign banks, against Hollywood.
[00:13:23.387 --> 00:13:24.027]  Do you understand?
[00:13:24.027 --> 00:13:25.908]  You just lost the revolution.
[00:13:26.832 --> 00:13:33.219]  And you stole five states and you still got your ass handed to you.
[00:13:33.219 --> 00:13:34.681]  That's why they were all so stunned.
[00:13:34.681 --> 00:13:41.148]  The tsunami was so mega hammer that you couldn't stop it.
[00:13:41.148 --> 00:13:42.570]  Your seawall wasn't big enough.
[00:13:43.527 --> 00:13:47.128]  So Katy Perry, again, says we need revolution, we need to get violence.
[00:13:47.128 --> 00:13:56.492]  Let me tell you something, Tartt, and I know your daddy, he's been on the show, and I know Russell Brand, and I woke Russell Brand up to a great extent, he said it on the show, and you used to be awake.
[00:13:56.492 --> 00:14:06.215]  In fact, you pretty much broke up, or at least broke up with each other over the fact that you wanted to go the whole Hitlerian route, I guess, with the Democrats, and Brand doesn't like either group.
[00:14:06.215 --> 00:14:08.036]  But, sweetheart, this is the real world.
[00:14:08.036 --> 00:14:08.776]  You want to play general?
[00:14:09.682 --> 00:14:13.445]  If there is a big bloody civil war, you're going to get prosecuted, lady.
[00:14:13.445 --> 00:14:17.468]  You can't sit up there and tell 50 million fans it's time to get violent.
[00:14:17.468 --> 00:14:21.831]  You know how many racial attacks there were against innocent white people yesterday?
[00:14:21.831 --> 00:14:26.795]  So many, I can't even keep track of them.
[00:14:26.795 --> 00:14:28.977]  And again, Katie, you're a beautiful woman.
[00:14:28.977 --> 00:14:29.877]  You're very talented.
[00:14:29.877 --> 00:14:30.678]  Your dad's a listener.
[00:14:30.678 --> 00:14:31.439]  He's been on the show.
[00:14:31.439 --> 00:14:35.402]  I know all the inside baseball.
[00:14:35.402 --> 00:14:37.663]  Stop.
[00:14:37.663 --> 00:14:37.944]  Stop.
[00:14:39.210 --> 00:14:42.411]  Dave Mustaine told me all this stuff, and I got contacted by her dad.
[00:14:42.411 --> 00:14:49.432]  I don't want to get into all of it, but Katy Perry is a very haunted person, and I feel sorry for her, and I don't want to go off on some jag about her.
[00:14:49.432 --> 00:14:50.912]  It's just, come on, Katy!
[00:14:50.912 --> 00:14:52.913]  Hillary's not a nice lady.
[00:14:52.913 --> 00:14:59.574]  Just because you're a record company, some big globalist operation, Hollywood-controlled, tells you to act like a fool, stop it!
[00:14:59.574 --> 00:15:02.755]  But I'm not going to digress.
[00:15:02.755 --> 00:15:03.955]  If Trump gets killed,
[00:15:05.140 --> 00:15:06.982]  I want to explain something to the New World Order.
[00:15:06.982 --> 00:15:08.563]  I think they get this.
[00:15:08.563 --> 00:15:14.169]  It's only going to make our movement for nationalism against globalism three or four times stronger.
[00:15:14.169 --> 00:15:16.311]  He's such a strong leader and such a patriot.
[00:15:16.311 --> 00:15:16.671]  Hold on.
[00:15:16.671 --> 00:15:18.092]  I've got to take this.
[00:15:18.092 --> 00:15:20.034]  I've got to play a tape, guys.
[00:15:20.034 --> 00:15:24.358]  Of course, my phone's not working.
[00:15:24.358 --> 00:15:25.019]  This is bizarre.
[00:15:26.564 --> 00:15:28.025]  Yeah, play the Paul George Watson.
[00:15:28.025 --> 00:15:28.965]  Uh, hello?
[00:15:28.965 --> 00:15:42.111]  After weeks of taunting Trump supporters over Trump's suggestion that he might not immediately accept the election result, Hillary voters came together, preached a message of unity, and graciously accepted Donald Trump's victory.
[00:15:42.111 --> 00:15:47.814]  Oh no, they actually rioted, attacked people in the street, and threatened to kill Donald Trump and his supporters!
[00:15:47.814 --> 00:15:55.578]  He refused to say that he would respect the results of this election.
[00:15:55.578 --> 00:15:55.738]  Now,
[00:15:56.553 --> 00:16:02.960]  Make no mistake, by doing that, he is threatening our democracy.
[00:16:02.960 --> 00:16:10.428]  And the peaceful transition, the peaceful transition of power is one of the things that sets us apart.
[00:16:10.428 --> 00:16:14.192]  It's how we hold our country together, no matter who's in charge.
[00:16:14.192 --> 00:16:16.054]  All year, they preached the mantra.
[00:16:16.394 --> 00:16:18.016]  Love Trump's hate.
[00:16:18.016 --> 00:16:22.180]  All year they denounced us as being hateful and intolerant.
[00:16:22.180 --> 00:16:25.383]  And what's the first thing they do after the election?
[00:16:25.383 --> 00:16:27.365]  Engage in rampant hateful intolerance.
[00:16:27.365 --> 00:16:32.971]  This tolerant liberal called for people to die to prevent Trump from taking office.
[00:16:33.371 --> 00:16:35.013]  We can't just do rallies.
[00:16:35.013 --> 00:16:36.294]  We have to fight back.
[00:16:36.294 --> 00:16:38.677]  There will be casualties on both sides.
[00:16:38.677 --> 00:16:42.121]  There will be because people have to die to make a change in this world.
[00:16:42.121 --> 00:16:43.423]  Look at this idiot.
[00:16:43.423 --> 00:16:47.047]  Wall Street is the enemy, not Muslims or immigrants.
[00:16:47.047 --> 00:16:51.392]  You just voted for someone whose entire campaign was funded by Wall Street.
[00:16:51.392 --> 00:16:53.274]  You utter f***ing moron.
[00:16:53.274 --> 00:16:54.015]  Look at this clown.
[00:16:54.255 --> 00:16:54.955]  I am gay.
[00:16:54.955 --> 00:16:55.716]  I am in love.
[00:16:55.716 --> 00:16:56.816]  I am terrified.
[00:16:56.816 --> 00:17:04.900]  Yeah, you didn't seem to be too terrified by 20% of Hillary's campaign being funded by a country that still executes gay people.
[00:17:04.900 --> 00:17:12.683]  Seriously, has anyone told you people that you can't change the result of a democratic election by throwing a temper tantrum?
[00:17:12.683 --> 00:17:19.906]  The Electoral College isn't going to look at you burning a Donald Trump effigy and think, oh well, a bunch of butt-hurt losers had a hissy fit.
[00:17:20.146 --> 00:17:26.612]  So I guess we better just invalidate the entire election and just have everyone vote again until Hillary wins.
[00:17:26.612 --> 00:17:27.673]  This isn't fair.
[00:17:27.673 --> 00:17:33.939]  I need Hillary to stand up right now and walk in and sue the United States of America.
[00:17:33.939 --> 00:17:36.001]  That's not how it works.
[00:17:36.001 --> 00:17:40.706]  You're literally protesting against free democratic elections.
[00:17:40.706 --> 00:17:44.570]  Your behavior is why Trump won in the first place.
[00:17:44.850 --> 00:17:47.031]  Do you understand that yet?
[00:17:47.031 --> 00:17:53.596]  Americans saw you attacking innocent people, burning s*** down, and rioting all year.
[00:17:53.596 --> 00:17:58.279]  And they responded by voting against what you represent.
[00:17:58.279 --> 00:18:03.402]  Also, you're carrying Mexican flags while chanting, Trump is not my president.
[00:18:03.402 --> 00:18:05.464]  You know that this is America, right?
[00:18:06.291 --> 00:18:08.592]  Do you know what country you're actually in?
[00:18:08.592 --> 00:18:13.554]  SJWs are trying to pressure the Electoral College to disregard the vote altogether.
[00:18:13.554 --> 00:18:20.396]  Because blocking the outcome of legitimate free elections because you don't like the result is so progressive!
[00:18:20.396 --> 00:18:24.198]  It's not what dictators in third world countries do at all!
[00:18:24.198 --> 00:18:27.259]  Now Katy Perry thinks that she's Shea Guevara.
[00:18:27.259 --> 00:18:29.240]  Rise up, a revolution is coming!
[00:18:29.240 --> 00:18:29.840]  Seriously.
[00:18:30.620 --> 00:18:32.642]  F*** off to North Korea.
[00:18:32.642 --> 00:18:33.763]  You'd like it there.
[00:18:33.763 --> 00:18:38.947]  You won't have to worry about elections because your candidate wins every time.
[00:18:38.947 --> 00:18:42.350]  Look at the unhinged insanity that motivates these people.
[00:18:42.350 --> 00:18:47.775]  I remember yesterday when I was naive and I thought the September 11 attacks were the worst thing that could happen to America.
[00:18:47.875 --> 00:18:48.556]  Yeah, that's right.
[00:18:48.556 --> 00:18:59.804]  9-11, a terrorist attack that killed thousands of people, that led to multiple wars, that killed hundreds of thousands more people, and ruined the Middle East.
[00:18:59.804 --> 00:19:01.265]  Donald Trump is worse than that!
[00:19:01.265 --> 00:19:01.826]  Yay!
[00:19:01.826 --> 00:19:03.707]  Let's all get ready for World War II!
[00:19:03.707 --> 00:19:04.088]  Hey, di-
[00:19:04.895 --> 00:19:07.456]  World War II already happened.
[00:19:07.456 --> 00:19:09.477]  I have friends that are literally scared for their lives.
[00:19:09.477 --> 00:19:12.398]  Personally, I don't think a president should have that kind of mass effect on people.
[00:19:12.398 --> 00:19:21.962]  They're probably scared because for the last year, you've been regurgitating hysterical media propaganda about how Donald Trump is literally Hitler.
[00:19:21.962 --> 00:19:27.204]  It's your own fault that they're scared of a democratically elected president.
[00:19:27.204 --> 00:19:30.925]  And it's the media to blame for inciting these anti-Trump riots.
[00:19:30.925 --> 00:19:34.527]  They're even paying people to play the role of anti-Trump agitators.
[00:19:34.727 --> 00:19:44.171]  If Trump supporters had reacted to a Hillary victory like this, the media would be denouncing them right now as dangerous, democracy-hating bigots.
[00:19:44.171 --> 00:19:49.593]  The media is also reporting on all this as if it's some kind of spontaneous grassroots uprising.
[00:19:49.593 --> 00:19:50.794]  Wrong again!
[00:19:50.794 --> 00:19:57.477]  It's been coordinated and paid for by billionaire globalist scumbag George Soros and MoveOn.org.
[00:19:57.477 --> 00:20:00.338]  In Austin, the protesters were even loaded onto special buses.
[00:20:00.888 --> 00:20:03.410]  Have you ever wanted to quit your job and be your own boss?
[00:20:03.410 --> 00:20:05.291]  Interested in investing in real estate?
[00:20:05.291 --> 00:20:06.031]  Flipping homes?
[00:20:06.031 --> 00:20:08.253]  Paying off your mortgage in 5 to 10 years?
[00:20:08.253 --> 00:20:11.334]  Making up to $10,000 in commissions while you learn?
[00:20:11.334 --> 00:20:14.476]  Go to WealthCreationInstitution.com now.
[00:20:14.476 --> 00:20:21.180]  Find out why we're ranked in the top 2% of the fastest growing companies in the United States according to Inc.
[00:20:21.180 --> 00:20:21.280]  5000.
[00:20:21.280 --> 00:20:22.761]  Limited positions available.
[00:20:22.761 --> 00:20:23.442]  Go now!
[00:20:23.442 --> 00:20:25.663]  WealthCreationInstitution.com.
[00:20:25.663 --> 00:20:27.484]  That's WealthCreationInstitution.com.
[00:20:30.208 --> 00:20:33.549]  Did you know your car can be hacked just like your computer or phone?
[00:20:33.549 --> 00:20:38.810]  Hackers can hijack the signal of your own key fob to burglarize your vehicle in seconds.
[00:20:38.810 --> 00:20:45.032]  The Black Hole Faraday Key Fob Bag is a signal impenetrable shield that stops these hacks in their tracks.
[00:20:45.032 --> 00:20:47.332]  Protect one of your most valuable assets.
[00:20:47.332 --> 00:20:49.213]  Go to HackProofBag.com.
[00:20:49.213 --> 00:20:51.173]  That's HackProofBag.com.
[00:20:51.173 --> 00:20:53.434]  And use promo code RADIO to get 20% off.
[00:20:53.434 --> 00:20:53.954]  Or call 805-222-4584.
[00:20:53.954 --> 00:20:53.994]  805-222-4584.
[00:21:00.015 --> 00:21:01.416]  Hi, this is Ted Anderson.
[00:21:01.416 --> 00:21:06.117]  Investment Rarities, a 43-year-old company, has created the best silver offer ever.
[00:21:06.117 --> 00:21:06.817]  Get a U.S.
[00:21:06.817 --> 00:21:12.179]  Silver Eagle, Canadian Maple Leaf, Austrian Philharmonic, OPM Pure Bar, and Silver Round.
[00:21:12.179 --> 00:21:15.000]  Have all five for $99 postpaid.
[00:21:15.000 --> 00:21:15.801]  You heard me right.
[00:21:15.801 --> 00:21:17.961]  Five ounces of silver below cost.
[00:21:17.961 --> 00:21:19.282]  No credit card fees.
[00:21:19.282 --> 00:21:19.882]  Free shipping.
[00:21:20.262 --> 00:21:25.746]  Just $99 and you'll have a great start on what it takes to survive even the worst economic storm.
[00:21:25.746 --> 00:21:31.550]  Act now and receive Jim Cook's exclusive paper explaining how it's possible to make a fortune in silver today.
[00:21:31.550 --> 00:21:33.151]  Don't miss this opportunity.
[00:21:33.151 --> 00:21:35.793]  Call 800-328-1860.
[00:21:35.793 --> 00:21:39.596]  Read how the above-ground supply of silver has dropped below even gold.
[00:21:39.596 --> 00:21:41.137]  The secret is being suppressed.
[00:21:41.137 --> 00:21:43.339]  The price could explode at any time.
[00:21:43.339 --> 00:21:44.059]  Call today at 800-328-1860.
[00:21:44.059 --> 00:21:45.080]  Get 5 ounces of silver for only $99.
