[00:00.000 --> 00:01.600]  We've got it, Dada.
[14:45.000 --> 15:01.000]  The United States, along with MI6 led by Kermit Roosevelt of the CIA, this has all been declassified in the late 90s, staged terror attacks against Mosque and said that Mohammed Mosaddek had done it.
[15:01.000 --> 15:14.000]  Then they allowed the Muslim extremists, as they would be called, to overthrow him and then they double crossed those guys and put in the Shah who tortured conservatively and imprisoned.
[15:14.000 --> 15:20.000]  Around a million people disappeared and you got to understand Iran's population back then was about five or six million.
[15:20.000 --> 15:33.000]  And so over the 30 plus 40, I don't know, from 53 to 79, over that period of time, around a million people disappeared.
[15:33.000 --> 15:42.000]  Imagine, pro-America, a place where they invented mathematics and so many other things and the average good old boys kill them Arabs.
[15:42.000 --> 15:44.000]  They're not even Arabs.
[15:44.000 --> 15:51.000]  See, I mean, it's this level of ignorance and it makes me want to throw up.
[15:51.000 --> 15:54.000]  It makes me want to throw up just these good old boys.
[15:54.000 --> 15:56.000]  Most of them haven't even been over there.
[15:56.000 --> 15:59.000]  And we're talking about kids getting their faces blown off.
[15:59.000 --> 16:06.000]  We're talking about Israel striking dozens of targets, dozens of times apiece.
[16:06.000 --> 16:17.000]  And the U.S. plan to back it up because there'll be some response by Iran is to bomb the entire infrastructure, water treatment, power plants, bridges to, quote, destroy the warfighting capability.
[16:17.000 --> 16:23.000]  It's going to kill tens of thousands of people.
[16:23.000 --> 16:27.000]  Iran didn't run its actuaries properly with population growth.
[16:27.000 --> 16:33.000]  They went from five, six, seven million people 50 years ago to now.
[16:33.000 --> 16:36.000]  I was going off Iraqi numbers.
[16:36.000 --> 16:42.000]  See, sometimes I'm a little flustered today off a long weekend because it was not really a resting weekend.
[16:42.000 --> 16:45.000]  It was fun, but a lot of stuff going on.
[16:45.000 --> 16:51.000]  Iraq went from four, five, six million in the 50s to 25 million.
[16:51.000 --> 16:57.000]  Iran went from around 20 million to about 77 million right now.
[16:57.000 --> 16:58.000]  So there you go.
[16:58.000 --> 17:13.000]  The point is their government really didn't do the proper actuaries and their population exploded and they never built up enough of an industrial base to even be able to supply their own gasoline for about half their people.
[17:13.000 --> 17:15.000]  They have to import about half their gasoline.
[17:15.000 --> 17:19.000]  They don't have any offensive war making capabilities.
[17:19.000 --> 17:28.000]  They're pro-western under Mosa Deck, then they put the Shaw in who industrialized the country to a certain extent.
[17:28.000 --> 17:31.000]  And then it's you can just this is mainline history.
[17:31.000 --> 17:32.000]  You can go search it.
[17:32.000 --> 17:37.000]  The West actually helped then double cross the Shaw and put the radical moulas in.
[17:37.000 --> 17:42.000]  Didn't mean that they controlled them, but they helped get them into the country.
[17:42.000 --> 17:48.000]  And then they had the deal against Jimmy Carter to where Jimmy Carter wouldn't get the hostages back.
[17:48.000 --> 17:51.000]  He would be double crossed and they would wait until the next administration came in.
[17:51.000 --> 18:10.000]  That was all part of Iran Contra selling cocaine in the United States and then shipping weapons systems and money into Latin America, which then turned around and was sent to Iran.
[18:10.000 --> 18:16.000]  And then Iran turned around and released the hostages and it just goes on and on.
[18:16.000 --> 18:21.000]  And it's all part of the ongoing double crossing that goes on at these higher levels of government.
[18:21.000 --> 18:24.000]  So here are some of those reports.
[18:24.000 --> 18:36.000]  IAEA report on Iran set to raise Middle East tensions and they're saying that they're going to come out and say that they could have atomic weapons of the material to build them in a matter of weeks.
[18:36.000 --> 18:37.000]  That's out of Reuters.
[18:37.000 --> 18:39.000]  There's another one in Washington Post.
[18:39.000 --> 18:47.000]  IAEA says foreign expertise has brought Iran to the threshold of nuclear capability.
[18:47.000 --> 18:52.000]  Iran will be able to build a nuclear bomb within months.
[18:52.000 --> 18:56.000]  IAEA says, again, that's Haritz.
[18:56.000 --> 19:00.000]  Russia issues start warning against Iran attack.
[19:00.000 --> 19:03.000]  That's an MSNBC.
[19:03.000 --> 19:09.000]  Official reality is a prison, mind control in the West, Israel, and Iran.
[19:09.000 --> 19:12.000]  Got an article up at infowars.com, breaking that down.
[19:12.000 --> 19:21.000]  Also, the Chinese official news is reporting Iran says IAEA's documents on its missile program are fake.
[19:21.000 --> 19:27.000]  And Iran's Ahmed Denizide, Denizade defiant as U.S. raises heat.
[19:27.000 --> 19:30.000]  That is just some of what is coming up on that front.
[19:30.000 --> 19:35.000]  And then we've got the huge economic news here.
[19:35.000 --> 19:42.000]  Italy, too big to fail, too big to save.
[19:42.000 --> 19:46.000]  We're going to be going over that report, also speculation over Berlusoni.
[19:46.000 --> 19:51.000]  Royals, global markets, the markets are all in turmoil.
[19:51.000 --> 19:58.000]  We're going to be going over what's happening on that front as this global government gyrates out of control.
[19:58.000 --> 20:01.000]  And we'll get into some of the new big brother activities.
[20:28.000 --> 20:33.000]  It is. Check it out at InstaFire.com, a must for any outdoor winter activity.
[20:33.000 --> 20:38.000]  InstaFire easily lights with matches or flintlock lighters, is environmentally friendly, stores easy,
[20:38.000 --> 20:46.000]  is lightweight, comes in a variety of sizes, and starts at a buck 25 for a single pack or only $59.95 for a 5-gallon pail with free shipping.
[20:46.000 --> 20:54.000]  Go to InstaFire.com, spelled I-N-S-T-A-FIRE.COM or call 888-482-4868.
[20:54.000 --> 21:00.000]  That's 888-482-4868. Safe, simple, versatile, InstaFire.
[21:24.000 --> 21:35.000]  Hi, this is Ted Anderson. Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[21:35.000 --> 21:41.000]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[21:41.000 --> 21:45.000]  Gold is outperformed paper investments, yet no word about IRAs.
[21:45.000 --> 21:50.000]  If you would like to have gold for your retirement, call 800-686-2237.
[21:50.000 --> 21:55.000]  Don't get left behind by rising inflation and low returns, call 800-686-2237.
[21:55.000 --> 22:00.000]  Secure your future and call 1-800-686-2237.
[22:00.000 --> 22:08.000]  Hi, this is Alex Jones. This holiday season, more than half of our nation, is in need of help due to the shattered economy.
[22:08.000 --> 22:12.000]  So now is the time to express the holiday spirit more than ever.
[22:12.000 --> 22:21.000]  Consider helping those you love with the most important gift, a supply of delicious, easy-to-fix, and very storable foods from eFoodsDirect.com.
[22:21.000 --> 22:33.000]  Their holiday gift and family pack started $99 or a 16-day supply, while their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[22:33.000 --> 22:43.000]  You can get a combo gift pack and you'll save hundreds, plus get free shipping on your entire order. Call eFoods today at 800-409-5633
[22:43.000 --> 22:48.000]  or visit them online at eFoodsDirect.com forward slash Alex to find the special.
[22:48.000 --> 23:03.000]  You can bet your life on eFoodsDirect.
[23:18.000 --> 23:24.000]  You need SurvivalRx, the world's first ultra-long-term storable vitamins and nutritional supplements.
[23:24.000 --> 23:30.000]  How long? SurvivalRx products have a shelf life of up to 30 years, thanks to triple nitrogen flushing.
[23:30.000 --> 23:38.000]  For guaranteed freshness, go to SurvivalRx.com for our complete product list, including powdered milk and whey protein isolate.
[23:38.000 --> 23:43.000]  And remember, November is Nuclear Disaster Preparedness Month at SurvivalRx.com.
[23:43.000 --> 23:50.000]  With every order until November 30th, you will receive a free bottle of potassium iodate. Just enter coupon code radio.
[23:50.000 --> 23:55.000]  Go to SurvivalRx.com. That's Survival, the letter R, the letter X.com.
[23:55.000 --> 24:21.000]  And SurvivalRx.com to your preparedness checklist today.
[24:21.000 --> 24:45.000]  We are back live, the toll-free number to join us on the Iran situation, on the fact that as soon as Europe got the new debt deal to give $5 trillion,
[24:45.000 --> 24:54.000]  to 1.4, 1.5 leveraged at least three times, to the megabanks, and to dissolve more sovereignty of the countries,
[24:54.000 --> 25:00.000]  all the sudden more countries started collapsing, which I've told you for over a decade is the plan,
[25:00.000 --> 25:06.000]  which I broke down in detail three years ago in the Obama deception.
[25:06.000 --> 25:13.000]  How are we able to do this? Because it's all planned. How am I able to tell you what's coming on tonight?
[25:13.000 --> 25:17.000]  I mean, the NFL is going to be on TV tonight. People are like, how do you know this?
[25:17.000 --> 25:24.000]  Because it's called Monday Night Football. I mean, it's something that's part of a programmed, planned thing.
[25:24.000 --> 25:30.000]  This is the New World Order. Of course, the Vatican is called for global government, global currency.
[25:30.000 --> 25:36.000]  Of course, all the other major denominations are calling for it. Of course, all these governments are calling for it.
[25:36.000 --> 25:43.000]  Because everybody is bought and paid for now by the big megabanks who issue the currency and credit out of nothing.
[25:43.000 --> 25:49.000]  The whole world bows to the power of the New World Order.
[25:49.000 --> 25:57.000]  And look at the type of articles I have. This is just two, two that I came across this morning without even looking.
[25:57.000 --> 26:05.000]  I saw these. And by the way, everywhere I go now is cops. I couldn't go camping this weekend and I wasn't even hunting.
[26:05.000 --> 26:16.000]  On our own property, property we've had since like 1829 without game wardens showing up.
[26:16.000 --> 26:22.000]  And I saw game wardens on the highway and the ranch, three ranches down from us. It's been there for 150 years.
[26:22.000 --> 26:28.000]  I saw happy family with their RV out there and family visiting them that obviously come into town for deer season.
[26:28.000 --> 26:33.000]  Somebody didn't have a doe tag properly, so they got arrested, I heard.
[26:33.000 --> 26:36.000]  I mean, just game wardens coming out of the sky everywhere.
[26:36.000 --> 26:41.000]  I mean, it's not just in the news. You can't be left alone and you're not going to be left alone.
[26:41.000 --> 26:47.000]  Read the Declaration of Independence. There's always a good excuse for it, of course.
[26:47.000 --> 26:52.000]  They've always got a reason for their tyranny. Throughout history, the Nazis did as well.
[26:52.000 --> 26:56.000]  The point is there's always more, more. We've got to stick our hands down your pants.
[26:56.000 --> 27:01.000]  We've got to have hidden microphones and a lamp post to keep you safe. Love it or leave it.
[27:01.000 --> 27:07.000]  I saw a couple articles about Jesse Ventura this weekend saying love it or leave it.
[27:07.000 --> 27:14.000]  Because he said, you know, this isn't his country anymore. It's now the fascist states of America, which it is.
[27:14.000 --> 27:22.000]  And the people, well, the newspaper reporters in two different articles said love it or leave it then.
[27:22.000 --> 27:27.000]  If you don't like it, just leave it.
[27:27.000 --> 27:32.000]  Like, if you don't like what the government's doing, just leave. Oh, but it's a global government. I can't leave.
[27:32.000 --> 27:38.000]  It's a global corporate government. But also, I thought it was we the people, right? I thought we were the government.
[27:38.000 --> 27:43.000]  I thought we made the decisions. And they say, oh, well, you voted these people in.
[27:43.000 --> 27:48.000]  Really, Congress has a 9% approval rating. The American people do not like what government's doing.
[27:48.000 --> 27:52.000]  And government is arming to the teeth against us saying love it or leave it.
[27:52.000 --> 27:59.000]  But then putting up currency controls, capital controls, so you can't get out of the country.
[27:59.000 --> 28:02.000]  And they're hiring every thug you can imagine. Look at these articles.
[28:02.000 --> 28:07.000]  Missouri residents upset over order to move Lake Homes, Associated Press.
[28:07.000 --> 28:11.000]  And they admit there's been neighborhoods in this area for more than 50 years.
[28:11.000 --> 28:20.000]  But now the feds have come in with new federal guidelines saying they can't live there.
[28:20.000 --> 28:25.000]  Oh, yeah. I know people. I have friends and family.
[28:25.000 --> 28:34.000]  In one case, who has a lake house, a little lake cabin, it's got to be 100 feet above the lake.
[28:34.000 --> 28:39.000]  And I don't mean 100 feet diagonally. I mean 100 feet above the sea level of the lake.
[28:39.000 --> 28:43.000]  There's no way it would ever be flooded. And so what if it was?
[28:43.000 --> 28:46.000]  The point is, now you've got to buy flood insurance. What do you buy from FEMA?
[28:46.000 --> 28:50.000]  This is the Mafia government. And here's the article.
[28:50.000 --> 28:55.000]  They're making folks that says all over the Ozarks move off the lakes.
[28:55.000 --> 28:59.000]  Oh, but they've got a special deal where if you pay them as protection money, they'll let you.
[28:59.000 --> 29:07.000]  Nearly every year, Patsy Riley has gotten unsolicited offers from her house on Missouri's lake of the Ozarks
[29:07.000 --> 29:12.000]  with its spectacular views of treeline bluffs and its ample shoreline.
[29:12.000 --> 29:17.000]  But she never wanted to leave. Now she and hundreds of other neighbors wonder what will become of their homes
[29:17.000 --> 29:23.000]  after a federal agency declared that many structures built close to the lake may have to go.
[29:23.000 --> 29:29.000]  The Federal Energy Regulatory Commission, signing the restrictions, says they've got to pull their houses up.
[29:29.000 --> 29:36.000]  Oh, here's another one. City fines and fees double triple for minor and major offenses.
[29:36.000 --> 29:43.000]  If your grass is too tall, $1,200 a day.
[29:43.000 --> 29:49.000]  We already have that in Austin. This is how they're going to take everything.
[29:49.000 --> 29:57.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[29:57.000 --> 30:05.000]  You may be arrested and or subject to other police action.
[30:05.000 --> 30:10.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[30:10.000 --> 30:13.000]  It really says that the state is God.
[30:13.000 --> 30:18.000]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[30:18.000 --> 30:25.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[30:25.000 --> 30:31.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[30:31.000 --> 30:35.000]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[30:35.000 --> 30:40.000]  Prepare to enter the secretive world of emergency dictatorship.
[30:40.000 --> 30:45.000]  Body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner.
[30:45.000 --> 30:49.000]  It's only the beginning of the New World Order's hellish plan.
[30:49.000 --> 30:52.000]  The police state isn't coming. It's here.
[30:52.000 --> 31:02.000]  Secure your copy today at infowars.com or see it online in the highest quality at PrismPlanet.tv.
[31:02.000 --> 31:09.000]  Hi folks, this is Alex Jones. I'm looking for people that have the wisdom to spot savings, opportunity and recognized risk.
[31:09.000 --> 31:20.000]  Saving means to make money. The Calben Pure Soap Company can save you thousands of dollars and give you good old fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[31:20.000 --> 31:27.000]  These soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants or antibacterials.
[31:27.000 --> 31:35.000]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores and a terrorizing clothing called lint.
[31:35.000 --> 31:41.000]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[31:41.000 --> 31:46.000]  Getting a free catalog is easy by calling 800-340-7091.
[31:46.000 --> 31:54.000]  Or see Calben on the Web at 5starsoap.com. Take charge of your health now by calling 800-340-7091.
[31:54.000 --> 32:18.000]  Or see Calben on the Web at 5starsoap.com.
[32:25.000 --> 32:34.000]  Or a 16 day supply. All their 5 week supply of quick and easy to fix meals includes a personal backpack in case of a grab and go emergency.
[32:34.000 --> 32:40.000]  Order their combo gift pack and you'll save hundreds plus get free shipping on your entire order.
[32:40.000 --> 32:56.000]  Call eFoods today at 800-409-5633 or visit them online at eFoodsDirect.com forward slash Alex to find the special. That's 800-409-5633 or eFoodsDirect.com forward slash Alex.
[32:56.000 --> 33:11.000]  You can bet your life on eFoodsDirect.
[33:26.000 --> 33:41.000]  Last number I saw, more than a third of the American people lived in the old FEMA floodplain system.
[33:41.000 --> 33:47.000]  Again, why are the feds involved in deciding what a floodplain is and isn't?
[33:47.000 --> 33:53.000]  Oh, because they take your state tax money and send it back to you with strings attached and they send the feds in.
[33:53.000 --> 33:58.000]  I'm going to cover some more of this news and go to your calls, but here it is out of the Associated Press.
[33:58.000 --> 34:07.000]  Missouri residents upset by order to move lake homes and then it continues here.
[34:07.000 --> 34:10.000]  They always put the people into a process so they don't outright rebel.
[34:10.000 --> 34:19.000]  Well, we might allow you to appeal, but it's not really a real appeals process and that will show folks a document cam shot of this.
