[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[04:01.000 --> 04:08.000]  Anybody watching television the night of the election was saying, wow, I was called by the biggest political people.
[04:08.000 --> 04:16.000]  Congratulations, Sarah, on a big win. And all of a sudden, ballots were dumped all over the place and a lot of horrible things happened.
[04:16.000 --> 04:25.000]  And everybody in that room, I want to thank all of the people that signed affidavits and all of the speakers, you fantastic people, you great patriots.
[04:25.000 --> 04:39.000]  I want to thank the senators for being there. It's so important. Day before Thanksgiving, it really represents somebody between the voter suppression and all of the horrible things that happened to poll watchers.
[04:39.000 --> 04:50.000]  We have poll watcher affidavits piled up to the ceiling. They're all over. They were treated horribly all over this, all of these swing states.
[04:50.000 --> 04:58.000]  President Trump said he won the election. Alex Jones will be with us on the other side. Don't go anywhere.
[04:58.000 --> 05:15.000]  The trick that social engineers use is very, very simple. They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving liberal technocrats.
[05:15.000 --> 05:24.000]  And that if we just sit back and enjoy the ride, everything will be great. But then they tell us that humans are obsolete, not essential, and we're bad for the earth, and we need to be phased out.
[05:24.000 --> 05:35.000]  So they're very open about what they're doing, and they count on us just being very passive living in the matrix-like system that they're building.
[05:35.000 --> 05:46.000]  But what defines humans more than anything from the rest of the, quote, animal kingdom is that we control our environment. We build our own environments. We create our own systems.
[05:46.000 --> 06:09.000]  Really, geoengineering terraformed the planet, and it systems towards our aims. But instead, we're acting like animals, and the globalists play the part of humans, and us is cattle. And that's the trick.
[06:16.000 --> 06:22.000]  It's Alex Jones.
[06:22.000 --> 06:30.000]  On this live Friday broadcast, the day after Thanksgiving, almost something to really sink in to all the viewers and all the listeners.
[06:30.000 --> 06:48.000]  President Trump and his lawyers testified two days ago to the Pennsylvania legislature and laid out damning evidence of orchestrated fraud, election fraud. Think about that.
[06:48.000 --> 07:03.000]  All the same evidence we've been laying out for weeks, and there was almost no coverage on any major channel other than infowars.com, OAN, Newsmax, and a few other satellite feeds.
[07:03.000 --> 07:11.000]  Absolutely incredible that that is the point that this nation has gotten to.
[07:11.000 --> 07:21.000]  And that's why President Trump came out today and said, the big tech monopoly is a national security threat, because they're working with foreign powers.
[07:21.000 --> 07:30.000]  Now, with 50-something days left of the Trump administration, they finally get that this is a globalist takeover for real. They finally get that wouldn't just slogans for the populist American people.
[07:30.000 --> 07:38.000]  I mean, Trump knew that there was a Chinese globalist takeover, but the Republican Party and others didn't realize how much trouble this country was really in.
[07:38.000 --> 07:46.000]  So as negative as all this news is, at least now people really know that we're fighting for our lives, and I'm seeing a giant awakening.
[07:46.000 --> 07:53.000]  We're going to air some of the excerpts of the hearings when the president phoned in, and more, and it's up to you, the listeners and viewers and myself and everybody else to get this out.
[07:53.000 --> 07:58.000]  And I'll ensure that we'll be playing excerpts throughout the transmission today, but this is really a historic time to be alive.
[07:58.000 --> 08:05.000]  Trump must not concede. We must not concede. This is fraud. This is a foreign takeover. Here is the president.
[08:05.000 --> 08:18.000]  Thank you very much. I've been watching the hearing all the way in, and saw a couple of other great networks, but I really appreciate being asked to speak.
[08:18.000 --> 08:24.000]  And I'm in the Oval Office right now, and it's very interesting to see what's going on.
[08:24.000 --> 08:41.000]  This was an election that we won easily. We won it by a lot. A big energy official was on this morning on an important show and said there's no way Trump didn't win Pennsylvania,
[08:41.000 --> 08:51.000]  because the energy industry was all for him. I saw with my eyes what happened, and he told me horror stories, absolute horror stories.
[08:51.000 --> 08:59.000]  So this was a very sad to say it. This election was rigged, and we can't let that happen. We can't let it happen for our country.
[08:59.000 --> 09:08.000]  And this election has to be turned around, because we won Pennsylvania by a lot, and we won all of these swing states by a lot.
[09:08.000 --> 09:15.000]  Anybody watching television the night of the election was saying, wow, I was called by the biggest political people.
[09:15.000 --> 09:23.000]  Congratulations, Sarah, on a big win. And all of a sudden, ballots were dumped all over the place, and a lot of horrible things happened.
[09:23.000 --> 09:30.000]  And everybody in that room, I want to thank all of the people that signed affidavits and all of the speakers.
[09:30.000 --> 09:35.000]  You fantastic people. You're great patriots. I want to thank the senators for being there.
[09:35.000 --> 09:46.000]  And it's so important, day before Thanksgiving, it really represents somebody between the voter suppression and all of the horrible things that happened to poll watchers.
[09:46.000 --> 09:57.000]  We have poll watcher affidavits piled up to the ceiling. They're all over. They were treated horribly all over this, all of these swing states.
[09:57.000 --> 10:03.000]  I mean, virtually all of the swing states. And many other things were happening that were horrible, just horrible.
[10:03.000 --> 10:08.000]  But the poll watches weren't allowed to watch. They were, in many cases, whisked out of the room.
[10:08.000 --> 10:15.000]  Not only it depends that we're 20, 30, 40, 60, 100 feet away, where you couldn't even see.
[10:15.000 --> 10:20.000]  They were using binoculars. People are reporting that they had to use binoculars, and that didn't work.
[10:20.000 --> 10:27.000]  If you were a Republican poll watcher, you were treated like a dog. And the Democrats had no problem.
[10:27.000 --> 10:34.000]  But they were rough. They were literally pushed out. And it was rough tactics.
[10:34.000 --> 10:39.000]  This is what happened here. This is not the United States of America what happened.
[10:39.000 --> 10:45.000]  And I think everybody knows that that's why you're there and that's why you're so vehement about it.
[10:45.000 --> 10:57.000]  We have many, many cases, many, many cases of people walking in and a woman, an elderly woman walks in looking forward to voting.
[10:57.000 --> 11:05.000]  November 3rd and says, oh good, where would I go about voting? I'm sorry, you've already voted. Your ballot is in.
[11:05.000 --> 11:11.000]  I said, no, I didn't vote. I didn't vote. No, your ballot is in. You've already voted.
[11:11.000 --> 11:17.000]  In all cases for Biden, by the way, she said, no, no, I want to vote. Nope, your ballot is in.
[11:17.000 --> 11:24.000]  And then they give her a provisional ballot to sign, which goes nowhere. It's a disgrace that this is happening to our country.
[11:24.000 --> 11:32.000]  We won this election by a lot. We got 74 million votes. And if you would have said 74 million votes a day before the election,
[11:32.000 --> 11:37.000]  every single professional in the business would have said there's no way of beating that.
[11:37.000 --> 11:43.000]  We got 11 million votes more than we had four years before in 2016.
[11:43.000 --> 11:48.000]  And we got many votes more than Ronald Reagan had when he won 49 states.
[11:48.000 --> 11:51.000]  And nobody would have said we even had a chance of losing.
[11:51.000 --> 11:58.000]  And all you had to do is take a look at the numbers at 10 o'clock in the evening when everybody thought the election was virtually over.
[11:58.000 --> 12:08.000]  And very weird things happened, but they're not weird to professionals and they're not weird to Dominion and other people that operate machines.
[12:08.000 --> 12:13.000]  And they're not weird to the people that handle the ballots where they were flooding the market.
[12:13.000 --> 12:19.000]  People were getting two and three and four ballots in their home. People that were dead were signing up for ballots.
[12:19.000 --> 12:27.000]  Not only were they coming in and putting in a ballot, but dead people were requesting ballots.
[12:27.000 --> 12:31.000]  And they were dead for years and they were requesting ballots.
[12:31.000 --> 12:36.000]  And the whole world is watching us. The whole world is watching the United States of America.
[12:36.000 --> 12:39.000]  And we can't let them get away with it.
[12:39.000 --> 12:43.000]  And we have judges that are afraid to make a decision.
[12:43.000 --> 12:46.000]  We have judges that don't want to do the same thing.
[12:46.000 --> 12:53.000]  A very good lawyer said, well, sir, I mean, that's a big statement for a judge to overthrow an election.
[12:53.000 --> 13:03.000]  But really, if he got hundreds of thousands of votes more than he was entitled to get through all of the things that I'm listening to right now,
[13:03.000 --> 13:13.000]  and you're just covering a few of them, we have hundreds and hundreds of affidavits of stories that are even worse than the stories I'm hearing.
[13:13.000 --> 13:21.000]  Why wouldn't they overturn an election? Certainly overturn it in your state, because we have other states that are just as bad.
[13:21.000 --> 13:29.000]  If you look at Michigan with Detroit, you look at the things that happened in Detroit where you have a voter,
[13:29.000 --> 13:34.000]  but you have more votes than you have voters.
[13:34.000 --> 13:42.000]  All right, ladies and gentlemen, we're going to continue to play this audio of President Trump literally phoning in to the hearings yesterday.
[13:42.000 --> 13:50.000]  You know, it's so interesting, this dynamic of, let's see, but this is, it's all illustrative of how this is a war.
[13:50.000 --> 13:57.000]  You know what, Trump doesn't have time to do some big grandiose presentation or plan all this stuff out. It's just war.
[13:57.000 --> 14:01.000]  Oh, hey, I'm right now at a hearing. Millions are tuned in.
[14:01.000 --> 14:05.000]  By the way, nobody even aired that on television news.
[14:05.000 --> 14:10.000]  OAN aired it and right side broadcasting had a feed about a quarter million people tuned in live.
[14:10.000 --> 14:15.000]  And that was with barely any promotion or marketing or anything.
[14:15.000 --> 14:18.000]  But Trump's just like, hey, you know what, we're in a war. I don't have time for a big presentation.
[14:18.000 --> 14:20.000]  I can't make it down there. I don't need a big thing.
[14:20.000 --> 14:26.000]  But you know, I'm just going to, I'm going to go ahead and dial up my attorneys there and they can pop me up and put me on the microphone.
[14:26.000 --> 14:34.000]  And then that even pisses the deep state and the globalist off more that Trump can literally do this.
[14:34.000 --> 14:43.000]  Folks, it's just unbelievable. And that's kind of even illustrative of us here at Infowars just in a war, just war, just full gas.
[14:43.000 --> 14:47.000]  Get the people the information. No holds barred.
[14:47.000 --> 14:52.000]  And it is Black Friday today. So I'm sure everybody's telling you about their Black Friday deals.
[14:52.000 --> 15:06.000]  We have a huge special right now at infowarsstore.com up to 60% off top selling supplements and free shipping store wide free shipping store wide.
[15:06.000 --> 15:15.000]  And I would suggest with the free shipping take advantage of some of the more expensive heavy items to ship like an air filter that's on sale right now.
[15:15.000 --> 15:18.000]  Water filters where we have multiple choices for you.
[15:18.000 --> 15:26.000]  And of course the emergency food supplies all at infowarsstore.com with the free shipping that is big savings.
[15:26.000 --> 15:33.000]  And there's already discounted specials on the emergency food and the air filters and the water filters.
[15:33.000 --> 15:36.000]  It's all at infowarsstore.com and don't forget about all the great supplements.
[15:36.000 --> 15:39.000]  Huge specials right now on this Black Friday for you.
[15:39.000 --> 15:41.000]  I'm just looking bodies 40% off.
[15:41.000 --> 15:49.000]  Vaso beat complete 40% off 40% off DNA Force Plus. I'm just going down the list here. These are all live at infowarsstore.com.
[15:49.000 --> 15:55.000]  And that's how we're able to be live today with you on this Black Friday because of your support at infowarsstore.com.
[15:55.000 --> 15:57.000]  More from the president on the other side.
[15:57.000 --> 16:07.000]  Band Dot Video
[16:07.000 --> 16:11.000]  Now it's easier than ever to have Band Dot Video on your iPhone.
[16:11.000 --> 16:15.000]  Simply go to Band Dot Video with your Safari browser.
[16:15.000 --> 16:18.000]  Then you click the share button at the bottom of the screen.
[16:18.000 --> 16:21.000]  When the menu comes up you simply click add to home screen.
[16:21.000 --> 16:24.000]  It will then ask you to name the app.
[16:24.000 --> 16:30.000]  I suggest Band Dot Video. You will now have Band Dot Video app on your home screen.
[16:30.000 --> 16:32.000]  Despite the fact that Tim Cook tried to stop it.
[16:32.000 --> 16:37.000]  The globalists think you're lazy but by taking a little bit of action you can override them, have the app,
[16:37.000 --> 16:40.000]  and then tell others about it so they can get the app.
[16:40.000 --> 16:44.000]  So it's up to you whether you want to defy big tech and click the share buttons below.
[16:44.000 --> 16:54.000]  On your email, on Facebook, on Twitter, on YouTube, however you want be sure to share Band Dot Video.
[17:15.000 --> 17:20.000]  But if we expose they're the ones doing it, they go to prison instead of getting total power and total control.
[17:20.000 --> 17:23.000]  And there are major uprisings happening across the world.
[17:23.000 --> 17:26.000]  You're in the U.S. thousands of sheriffs are saying hell no to the lockdowns.
[17:26.000 --> 17:28.000]  People are finally starting to fight back.
[17:28.000 --> 17:30.000]  But regardless you need to get prepared.
[17:30.000 --> 17:33.000]  We have high quality, swarble food last 25 years.
[17:33.000 --> 17:37.000]  Highest quality, lowest prices, great containers, ready to ship.
[17:37.000 --> 17:42.000]  But when people figure this out in a few months, I think they'll be long lines again to get swarble food.
[17:42.000 --> 17:44.000]  After the lockdown has been going for a few months.
[17:44.000 --> 17:48.000]  So get your orders in today at PrepareWithAlex.com.
[17:48.000 --> 17:51.000]  You get an additional 10% off and they're ready to ship.
[17:51.000 --> 17:54.000]  The sale ends next Wednesday or I guess that's December 2nd.
[17:54.000 --> 18:21.000]  So get your orders in now, PrepareWithAlex.com.
[18:21.000 --> 18:28.000]  You're back live here in the InfoWars World headquarters in Austin, Texas.
[18:28.000 --> 18:30.000]  Happy Thanksgiving.
[18:30.000 --> 18:36.000]  I hope everybody had a great Thanksgiving out there with plenty of food and fun.
[18:36.000 --> 18:40.000]  If you were in some Democrat run states, you may have been visited by the Nazis.
[18:40.000 --> 18:42.000]  Make sure you didn't have, oh I'm sorry the Democrats.
[18:42.000 --> 18:48.000]  To make sure you didn't have too many friends or family over or as soon it'll be too much food.
[18:48.000 --> 18:51.000]  Oh, you're not allowed to have a 20 pound turkey.
[18:51.000 --> 18:55.000]  Each house can only have eight pounds of turkey on Thanksgiving.
[18:55.000 --> 18:57.000]  That'll be the next Democrat decree.
[18:57.000 --> 19:00.000]  But before we get into that, I want to go back to President Trump.
[19:00.000 --> 19:05.000]  He phoned into the historic hearing in Pennsylvania and there's going to be more just like it.
[19:05.000 --> 19:07.000]  I would imagine we have Michigan coming up.
[19:07.000 --> 19:10.000]  They'll probably do Wisconsin, Georgia.
[19:10.000 --> 19:12.000]  We'll see how far it goes.
[19:12.000 --> 19:19.000]  Trump is announced to be in Georgia on Saturday, of course you can have all the coverage right here at Enforce.
[19:19.000 --> 19:21.000]  And it does seem to be a theme.
[19:21.000 --> 19:23.000]  Saturdays.
[19:23.000 --> 19:30.000]  Patrons are getting out to their state capitals, waving American flags, waving Trump flags.
[19:30.000 --> 19:35.000]  As a symbol that we know we won the election.
[19:35.000 --> 19:40.000]  And as a optical battle that, hey, where's the Biden voters?
[19:40.000 --> 19:43.000]  He's so great, the most popular of all time with 80 million votes.
[19:43.000 --> 19:44.000]  Where are the people?
[19:44.000 --> 19:45.000]  Where are they rallying?
[19:45.000 --> 19:46.000]  Where are they organizing?
[19:46.000 --> 19:47.000]  They're not.
[19:47.000 --> 19:48.000]  Meanwhile, Trump supporters out.
[19:48.000 --> 19:53.000]  In fact, I will be at the state capitol again this Saturday here in Austin, Texas.
[19:53.000 --> 19:55.000]  Last Saturday we had a couple hundred people show up.
[19:55.000 --> 19:57.000]  It was a lot of fun actually.
[19:57.000 --> 19:59.000]  Kind of just have a little rally event there with some speakers.
[19:59.000 --> 20:01.000]  Totally organic and unplanned.
[20:01.000 --> 20:04.000]  So I'll be out there again tomorrow at noon.
[20:04.000 --> 20:08.000]  You'll probably be happening at your state capitol as well.
[20:08.000 --> 20:11.000]  And Trump says he'll be in Georgia.
[20:11.000 --> 20:14.000]  So we'll be following that story at infowars.com.
[20:14.000 --> 20:16.000]  But let's go back to President Trump.
[20:16.000 --> 20:23.000]  Phoning in to the historic voter fraud election theft hearing in Pennsylvania on Wednesday.
[20:23.000 --> 20:25.000]  Here was Trump's phone call.
[20:25.000 --> 20:27.000]  You have voters.
[20:27.000 --> 20:29.000]  You take a look at Detroit, Michigan.
[20:29.000 --> 20:31.000]  You have more votes than you have voters.
[20:31.000 --> 20:35.000]  And then you have two people that don't want to certify.
[20:35.000 --> 20:39.000]  They don't want to certify and they're harassed violently.
[20:39.000 --> 20:44.000]  And they turned off the cameras during the harassment for two hours.
[20:44.000 --> 20:47.000]  And then they said, wow, and they were afraid and they voted.
[20:47.000 --> 20:52.000]  And then they went back to sign and they couldn't do it because they said we can't do it because this is corrupt.
[20:52.000 --> 20:54.000]  This is horrible what's taking place.
[20:54.000 --> 20:57.000]  Think of it, more votes than you have voters.
[20:57.000 --> 20:58.000]  But that was the least of it.
[20:58.000 --> 21:01.000]  They have things that were as bad as that.
[21:01.000 --> 21:04.000]  And this is going on all over, all over.
[21:04.000 --> 21:06.000]  We're doing very well in a lot of states.
[21:06.000 --> 21:08.000]  A lot of good things are happening in Georgia.
[21:08.000 --> 21:10.000]  We're getting little help from government.
[21:10.000 --> 21:15.000]  But a lot of good things are happening in Georgia, Wisconsin, and Michigan.
[21:15.000 --> 21:18.000]  They're seeing what happened in Detroit.
[21:18.000 --> 21:23.000]  And we sure are looking at what's happening in Pennsylvania and Philadelphia.
[21:23.000 --> 21:25.000]  What happened in Philadelphia.
[21:25.000 --> 21:30.000]  They keep the poll watches not only in pens, but they keep them out of the building.
[21:30.000 --> 21:34.000]  And the only reason they got back into the building was they got a court order.
[21:34.000 --> 21:39.000]  And then the definition of back into the building was very far away where they couldn't see anything.
[21:39.000 --> 21:43.000]  And they talk about closed circuit television except you couldn't see it.
[21:43.000 --> 21:46.000]  Because the picture was so unclear you didn't even know what they were doing.
[21:46.000 --> 21:49.000]  They could have been playing a baseball game.
[21:49.000 --> 21:52.000]  So it's a very sad thing for our country to have this.
[21:52.000 --> 21:54.000]  And they have to turn over the results.
[21:54.000 --> 21:59.000]  It would be easy for me to say, oh, let's worry about four years from now.
[21:59.000 --> 22:04.000]  No, this election was lost by the Democrats.
[22:04.000 --> 22:06.000]  They cheated.
[22:06.000 --> 22:08.000]  It was a fraudulent election.
[22:08.000 --> 22:10.000]  They flooded the market.
[22:10.000 --> 22:13.000]  We flooded everybody in ballots.
[22:13.000 --> 22:16.000]  And I just want to thank everybody for being there.
[22:16.000 --> 22:18.000]  You're doing a tremendous service.
[22:18.000 --> 22:21.000]  This is a very important moment in the history of our country.
[22:21.000 --> 22:24.000]  And you're doing a tremendous service to our country.
[22:24.000 --> 22:29.000]  And don't worry about bravery because the people that talk the most,
[22:29.000 --> 22:31.000]  they're not the ones you have to worry about.
[22:31.000 --> 22:32.000]  And these are all talkers.
[22:32.000 --> 22:33.000]  They intimidate.
[22:33.000 --> 22:36.000]  But these are not people that you're going to ultimately have to.
[22:36.000 --> 22:37.000]  They push you around.
[22:37.000 --> 22:40.000]  They pushed our poll workers out.
[22:40.000 --> 22:43.000]  Our poll watchers were pushed out of the building.
[22:43.000 --> 22:46.000]  Some got back in.
[22:46.000 --> 22:48.000]  But these are not people.
[22:48.000 --> 22:50.000]  Don't be intimidated by these people.
[22:50.000 --> 22:52.000]  But they're bad people.
[22:52.000 --> 22:53.000]  They're horrible people.
[22:53.000 --> 22:56.000]  And they're people that don't love our country.
[22:56.000 --> 22:59.000]  So we don't have to worry about four years right now.
[22:59.000 --> 23:03.000]  We have to worry what happened on November 3rd and previous to November 3rd.
[23:03.000 --> 23:10.000]  And by the way, after November 3rd, when people put votes in and they put them in illegally,
[23:10.000 --> 23:13.000]  they put them in after the polls closed.
[23:13.000 --> 23:17.000]  And one of our great Supreme Court justices made mention of that.
[23:17.000 --> 23:22.000]  And I can't imagine that any justice or anybody looking at it could be thrilled
[23:22.000 --> 23:25.000]  when they vote after the election is over.
[23:25.000 --> 23:28.000]  So I want to thank everybody very much for being there.
[23:28.000 --> 23:33.000]  I want to thank the State Senate and respected people, tremendous people.
[23:33.000 --> 23:36.000]  And you're doing a tremendous service for our country.
[23:36.000 --> 23:41.000]  And if something was done wrong, if this election was won fraudulently,
[23:41.000 --> 23:43.000]  and that's what happened, it was a fraud.
[23:43.000 --> 23:49.000]  And we're talking about, very importantly, many more ballots, many more votes
[23:49.000 --> 23:51.000]  than the number we need.
[23:51.000 --> 23:55.000]  In other words, if we needed 50,000 votes, we're not talking about,
[23:55.000 --> 23:58.000]  we found nine dead people that voted.
[23:58.000 --> 24:02.000]  Of course, there were many more than that, many numbers that nobody even believes.
[24:02.000 --> 24:06.000]  Now, we're talking about numbers that are far in excess of the 50,000,
[24:06.000 --> 24:11.000]  far in excess of another state where we lost by 10,000.
[24:11.000 --> 24:16.000]  And they went absolutely wild because we got far more votes than they thought possible.
[24:16.000 --> 24:19.000]  And they just stepped in the gas and they got caught.
[24:19.000 --> 24:24.000]  Just like they got caught spying on my campaign, they got caught exactly.
[24:24.000 --> 24:26.000]  They got caught doing this.
[24:26.000 --> 24:29.000]  So I really appreciate it and the country appreciates it.
[24:29.000 --> 24:30.000]  Arrests.
[24:30.000 --> 24:34.000]  And we have to turn the election over because there's no doubt.
[24:34.000 --> 24:35.000]  We have all the evidence.
[24:35.000 --> 24:36.000]  We have all the affidavits.
[24:36.000 --> 24:37.000]  We have everything.
[24:37.000 --> 24:44.000]  All we need is to have some judge listen to it properly without having a political opinion
[24:44.000 --> 24:48.000]  or having another kind of a problem because we have everything.
[24:48.000 --> 24:51.000]  And by the way, the evidence is pouring in now as we speak.
[24:51.000 --> 24:55.000]  And I want to thank Rudy Giuliani for having the courage to do this.
[24:55.000 --> 25:00.000]  These are other lawyers that backed out because they were being screamed at.
[25:00.000 --> 25:05.000]  Rudy is the greatest mayor in the history of New York and there's a reason.
[25:05.000 --> 25:07.000]  He's got great courage and he doesn't care.
[25:07.000 --> 25:09.000]  He wants to do what's right.
[25:09.000 --> 25:13.000]  And I told him the other day, Rudy, you were the greatest mayor in the history of New York
[25:13.000 --> 25:15.000]  and you see what happened to New York without Rudy.
[25:15.000 --> 25:18.000]  You were the greatest mayor, but this is more important.
[25:18.000 --> 25:23.000]  What you're doing now is far more important than being a great mayor of the city of New York
[25:23.000 --> 25:26.000]  and being its greatest mayor by far, by the way, by far.
[25:26.000 --> 25:31.000]  This is going to be your crowning achievement because you're saving our country.
[25:31.000 --> 25:33.000]  Thank you all very much.
[25:33.000 --> 25:34.000]  Thank you.
[25:34.000 --> 25:43.000]  Now, there's another important, could be a transitional moment here that's beyond the election fraud.
[25:43.000 --> 25:49.000]  And that is that event, which by the way, this is, this is the point.
[25:49.000 --> 25:51.000]  There's no Republican involvement here.
[25:51.000 --> 25:53.000]  There's no Republican Party involvement.
[25:53.000 --> 25:54.000]  There's no GOP leadership.
[25:54.000 --> 25:58.000]  There's no Republican leaders, congressmen, nothing.
[25:58.000 --> 26:05.000]  You did have some senators from Pennsylvania get involved, but as far as the larger GOP is concerned,
[26:05.000 --> 26:07.000]  nothing, they're not fighting for Trump.
[26:07.000 --> 26:11.000]  Most 90% of Republicans in office aren't fighting for Trump.
[26:11.000 --> 26:22.000]  But the fact that they had that event, made for TV, live audience, all of that for the total presentation,
[26:22.000 --> 26:26.000]  that in and of itself was a victory for conservatives and patriots,
[26:26.000 --> 26:30.000]  because this is something Republicans have failed on for decades.
[26:30.000 --> 26:33.000]  This is something conservatives just don't do.
[26:33.000 --> 26:37.000]  Made for TV events, compelling events with a live audience.
[26:37.000 --> 26:41.000]  Now granted, none of the cable news networks picked it up.
[26:41.000 --> 26:42.000]  That's by design.
[26:42.000 --> 26:44.000]  They were part of the election theft.
[26:44.000 --> 26:46.000]  They were part of the treason.
[26:46.000 --> 26:48.000]  But that was a historical event.
[26:48.000 --> 26:49.000]  More will be coming.
[26:49.000 --> 26:55.000]  And it's just signed that the new quote unquote Republican Party under Trump actually has some fight.
[26:55.000 --> 26:56.000]  Remember Hillary Clinton?
[26:56.000 --> 26:57.000]  Remember Pelosi?
[26:57.000 --> 26:58.000]  Remember Bill Clinton?
[26:58.000 --> 26:59.000]  Remember Obama?
[26:59.000 --> 27:04.000]  All of them said, we are not going to concede if there's a red mirage.
[27:04.000 --> 27:08.000]  We believe it's going to look like Trump's going to win in the landslide because they had the internal polls.
[27:08.000 --> 27:13.000]  And indeed, Trump won most of the states he won last time by an even bigger margin.
[27:13.000 --> 27:19.000]  And when he was set to win the other ones, they froze the seven states on election night.
[27:19.000 --> 27:22.000]  And then they brought in all of the reserve ballots they had.
[27:22.000 --> 27:23.000]  This is completely transparent.
[27:23.000 --> 27:26.000]  So when they say that he is president-elect, he's not.
[27:26.000 --> 27:27.000]  Trump has not conceded.
[27:27.000 --> 27:29.000]  None of the states have certified the vote.
[27:29.000 --> 27:36.000]  All these investigations have been opened up and avalanches, mountains, oceans of election fraud has come out and already been documented.
[27:36.000 --> 27:40.000]  And in Georgia, officials are on record saying we've already found fraud.
[27:40.000 --> 27:42.000]  So ladies and gentlemen, the fix is in.
[27:42.000 --> 27:46.000]  They've run bigger and bigger hoaxes every time because the last hoax failed.
[27:46.000 --> 27:48.000]  But now this is the mother of all hoaxes.
[27:48.000 --> 27:51.000]  And if they get away with this, it's the end of America as we know it.
[27:51.000 --> 27:52.000]  We will be Venezuela.
[27:52.000 --> 28:06.000]  infowars.com Back in 1996, the head of the World Food Program said that they would use food and global lockdowns due to a virus scare to bring in world government.
[28:06.000 --> 28:13.000]  That also came out in the North American Union documents that judicial watch and Lou Dobbs got more than 15 years ago as well.
[28:13.000 --> 28:14.000]  So we know their plan.
[28:14.000 --> 28:18.000]  And if they're able to keep this lockdown going, it's going to cause not just a worldwide depression,
[28:18.000 --> 28:22.000]  but mass starvation of hundreds of millions, millions have already starved to death.
[28:22.000 --> 28:24.000]  Not from COVID, but from the lockdown.
[28:24.000 --> 28:29.000]  That's why it's important for people in North America to get prepared for all over the world.
[28:29.000 --> 28:36.000]  But we have high quality, swarble food, ready to ship to you the last 25 years and prepare with Alex.com.
[28:36.000 --> 28:39.000]  There's an additional 10% off a very rare sale is going right now.
[28:39.000 --> 28:41.000]  Prepare with Alex.com.
[28:41.000 --> 28:47.000]  Also at infowars.com, we have all the great supplements that boost your immune system and so much more with free shipping as well.
[28:47.000 --> 28:48.000]  Up to 60% off.
[28:48.000 --> 28:53.000]  So take advantage of that at infowars.com and prepare with Alex.com.
[28:53.000 --> 29:22.000]  God bless.
[29:23.000 --> 29:26.000]  When you're a president, well, everything's free, but you're also a slave.
