[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[00:07:16.798 --> 00:07:26.467]  We are seeing the exponential ratcheting up of terror attacks and attempted terror attacks in this nation by the weaponized left as part of a larger plan.
[00:07:26.467 --> 00:07:27.288]  That's the bad news.
[00:07:27.288 --> 00:07:28.028]  It's organized.
[00:07:28.028 --> 00:07:29.009]  The good news is
[00:07:29.770 --> 00:07:38.313]  We have a good chance of stopping it if we understand that we have the enemy's blueprint and that this is pre-organized and being orchestrated.
[00:07:38.313 --> 00:07:44.855]  Again, my friends, I'm Alex Jones, your host, with Schroyer's coming up later in the broadcast with other guests as well.
[00:07:44.855 --> 00:07:49.497]  And we have a lot of other big critical topics we're going to be covering, the latest on the hurricane, Michael as well.
[00:07:49.497 --> 00:07:49.777]  We're good.
[00:08:04.147 --> 00:08:06.831]  Just so people understand, this is critical.
[00:08:06.831 --> 00:08:12.218]  My entire theme really the last few months is the left is going to ratchet up violence into the election.
[00:08:12.218 --> 00:08:17.686]  And if they saw Kavanaugh being confirmed, that would only accelerate that.
[00:08:17.686 --> 00:08:19.288]  So whether they win the midterms or not.
[00:08:19.949 --> 00:08:21.229]  They're going to go after your free speech.
[00:08:21.229 --> 00:08:22.590]  They're going to bully you.
[00:08:22.590 --> 00:08:24.710]  They're going to try to fully take control of the universities.
[00:08:24.710 --> 00:08:31.912]  They're going to fully try to take control of the streets of America and just set the precedent under mob rule that they control things.
[00:08:31.912 --> 00:08:33.732]  That's what fascists and communists always do.
[00:08:33.732 --> 00:08:35.533]  And this is being pre-organized.
[00:08:35.533 --> 00:08:39.094]  We've watched Soros and the globalists and the deep state leftists and the CIA.
[00:08:40.356 --> 00:08:46.079]  That they control to a great extent still do this in Ukraine, do this in many other areas of the world.
[00:08:46.079 --> 00:08:50.521]  So this is a pre-planned operation that they carry out.
[00:08:50.521 --> 00:08:58.986]  So just yesterday, you see a man being busted reportedly with a giant bomb he was cooking in his basement.
[00:09:00.427 --> 00:09:03.930]  Because he was angry about Christians and angry about the Enlightenment.
[00:09:03.930 --> 00:09:06.733]  He was angry about the Renaissance.
[00:09:06.733 --> 00:09:10.216]  That's key to understanding who this guy's with.
[00:09:10.216 --> 00:09:17.543]  And he also pushed an ultra-leftist ideology called sortation, where you just randomly pick people to run the government with a computer.
[00:09:17.543 --> 00:09:19.244]  Gee, wonder who programs that.
[00:09:19.244 --> 00:09:20.545]  It's a technocratic scam.
[00:09:22.026 --> 00:09:30.709]  And the first phases of it, the UN and others will randomly select these astroturf groups that are then NGOs that advise the government.
[00:09:30.709 --> 00:09:39.152]  But then they'll randomly with their actuaries pick very low educated, very malleable people who then are brought in and through a Delphi technique.
[00:09:40.205 --> 00:09:42.126]  We're good to go.
[00:10:10.465 --> 00:10:12.528]  And do a part two of that.
[00:10:12.528 --> 00:10:26.063]  It's important to note that, again, the national media says that, oh my God, right-wingers in Portland are trying to run over innocent liberals that were just walking down the street.
[00:10:26.764 --> 00:10:39.195]  You see the media, you see the controlled corporate press, you see the government, you see the Antifa, you see the police standing down in these blue cities to carry out these incredible, incredible frauds.
[00:10:39.195 --> 00:10:46.943]  But the good news is, despite the fact that they've banned almost all conservatives off the internet to counter this, Antifa themselves uploads it proudly.
[00:10:47.583 --> 00:10:52.287]  And 90% of the comments are just horrified by what on earth are you doing?
[00:10:52.287 --> 00:10:57.991]  Just randomly beating people's cars with batons because they're white, and you're white, screaming F.U.
[00:10:57.991 --> 00:10:58.272]  Whitey.
[00:10:59.693 --> 00:11:12.884]  So let's start getting into this article, because just like they're covering up for Antifa, or just like they're covering up for Islam's radical attacks, when they're raping people by the tens of thousands every few weeks, and murdering people every day, and running over people, it's never Islamic terror.
[00:11:12.884 --> 00:11:23.633]  It's always a German man, a Swedish man, a group of Dutch men raped a little girl, and then it's always illegal alien invaders that have been brought in and given a silver spoon.
[00:11:24.814 --> 00:11:31.177]  Man who planned DC suicide bombing wanted to stop Republicans suspending electoral process.
[00:11:31.177 --> 00:11:34.938]  Domestic terrorist was angry about the country's direction.
[00:11:34.938 --> 00:11:48.124]  The man accused of building an explosive device as part of an election day suicide bomb plot wrote of how he was angry about the country's direction and wanted to stop what he claimed was a conspiracy by Republicans to suspend the electoral process.
[00:11:48.564 --> 00:11:50.546]  Now we come back from break in a few minutes.
[00:11:50.546 --> 00:11:56.851]  I'm going to get into this individual's name, his background, the specifics of how he hated the Enlightenment.
[00:11:56.851 --> 00:11:59.434]  He hated the Renaissance.
[00:11:59.434 --> 00:12:09.883]  And he believed that the Republicans were going to stage terror attacks and claim that the Democrats did it to suspend the election.
[00:12:09.883 --> 00:12:10.564]  Now think about that.
[00:12:11.613 --> 00:12:14.394]  I've analyzed the globalist attack profile.
[00:12:14.394 --> 00:12:15.855]  They sold us out to China.
[00:12:15.855 --> 00:12:18.316]  They were going to finally bring the country down, get rid of free speech.
[00:12:18.316 --> 00:12:21.057]  Trump's only partially in control of the executive.
[00:12:21.057 --> 00:12:22.938]  Hillary still has her operatives in there.
[00:12:22.938 --> 00:12:24.059]  So does Obama.
[00:12:24.059 --> 00:12:29.901]  And they're acting like they're going to remove Trump and saying they're going to have a civil emergency to drive him from power.
[00:12:29.901 --> 00:12:32.883]  And that's what Soros and his son are openly funding.
[00:12:33.343 --> 00:12:39.327]  That's the documents we got in January, how even when Obama was in, they were planning to cause race riots.
[00:12:39.327 --> 00:12:40.908]  Antifa was to be the trigger.
[00:12:40.908 --> 00:12:44.370]  And then that was going to be used to basically suspend elections.
[00:12:44.370 --> 00:12:50.914]  And then Obama could sign an executive order suspending the electoral process.
[00:12:50.914 --> 00:12:54.476]  Well, that's what he's saying Trump's planning.
[00:12:54.476 --> 00:12:56.357]  So what have I been hammering for months?
[00:12:56.357 --> 00:12:57.778]  And what has Mike Adams been hammering?
[00:12:57.778 --> 00:12:59.499]  We're already under a civil emergency.
[00:12:59.499 --> 00:13:02.441]  Trump never revoked the civil emergency that Obama put into place.
[00:13:03.683 --> 00:13:07.789]  He put his own civil emergency in when it came to human trafficking overseas.
[00:13:07.789 --> 00:13:18.805]  He's got to declare an emergency to suspend the emergency under the law and then by suspending the emergency, he can remove the emergency groups that Obama put in place
[00:13:19.245 --> 00:13:19.445]  I think?
[00:13:40.715 --> 00:13:47.136]  They know Trump understands that what we're laying out here is deadly accurate and completely on target.
[00:13:47.136 --> 00:13:50.457]  Not just from our sources, but my own research and understanding the enemy.
[00:13:50.457 --> 00:13:54.598]  And so this just confirms everything we've already seen, the escalation of violence.
[00:13:54.598 --> 00:14:04.000]  Mainline leftists, mainline newspaper editors calling for killing Republicans' families, killing the president, killing the vice president, killing talk show hosts.
[00:14:05.120 --> 00:14:17.666]  He's all trying to give the green light to people like this individual who are decoys and probably got accomplices and was wound up to then go out when there is the big terror attacks carried out by professionals.
[00:14:17.666 --> 00:14:21.148]  This guy will be the Patsy that gets taken down.
[00:14:21.148 --> 00:14:25.610]  But if you can roll up the Patsy's, then you can find out who was handling them.
[00:14:25.610 --> 00:14:28.111]  And you better believe that's what's going on with this.
[00:14:29.612 --> 00:14:30.913]  This is absolutely critical.
[00:14:30.913 --> 00:14:33.936]  So when we come back, I'm going to get into the article from Paul Joseph Watson.
[00:14:33.936 --> 00:14:36.578]  Everything you need to understand the big picture is there.
[00:14:36.578 --> 00:14:41.582]  This is a Rosetta Stone, and I am getting chills the strongest I've ever gotten, and we are over the target here, ladies and gentlemen.
[00:14:43.740 --> 00:14:44.941]  When we come back, we're going to break this down.
[00:14:44.941 --> 00:14:46.942]  Please don't forget they're trying to shut us down 26 days out.
[00:14:46.942 --> 00:14:49.063]  They're trying to take our payment processors.
[00:14:49.063 --> 00:14:50.483]  They're trying to annihilate us.
[00:14:50.483 --> 00:14:59.628]  They've got all sorts of harassment teams 24-7 against us because they don't want us on air when they carry this out and when they carry out the stuff that's going to happen into next year.
[00:15:00.628 --> 00:15:03.470]  We're trying to stop the emergency by March of next year.
[00:15:03.470 --> 00:15:05.871]  They intend to have Trump completely driven from office.
[00:15:05.871 --> 00:15:09.654]  We believe we can stop it way before then, but we've got to all be vigilant.
[00:15:09.654 --> 00:15:16.198]  We've got to all get the word out on this to maximize the awareness, particularly by local law enforcement and others.
[00:15:16.198 --> 00:15:17.619]  We've got to be hyper vigilant right now.
[00:15:18.679 --> 00:15:21.982]  Please don't forget, we have got the biggest sale in our history going right now.
[00:15:21.982 --> 00:15:26.285]  Christmas, Black Friday, and Cyber Monday all rolled into one at mfullworldstore.com.
[00:15:26.285 --> 00:15:27.406]  Free shipping store-wide.
[00:15:27.406 --> 00:15:30.969]  50% off all the high-quality supplements and a bunch of other specials.
[00:15:30.969 --> 00:15:41.257]  I don't even have time to get into here today, but this is your chance to get your shopping in now and get your products in now before it's too late and they potentially shut down mFullWars.
[00:15:41.257 --> 00:15:42.979]  We need to build up our war chest right now.
[00:15:42.979 --> 00:15:44.120]  You need great products.
[00:15:44.120 --> 00:15:45.421]  mfullworldstore.com.
[00:15:45.421 --> 00:15:46.141]  We'll be right back.
[00:15:46.141 --> 00:15:46.702]  Please stay with us.
[00:15:59.318 --> 00:16:02.201]  Ever wonder how Bitcoin and Ethereum were created?
[00:16:02.201 --> 00:16:07.105]  Vercell Media has helped hundreds of companies and individuals make their own cryptocurrency.
[00:16:07.105 --> 00:16:12.689]  Decentralized blockchain solutions are making the world more transparent and giving power back to the people.
[00:16:12.689 --> 00:16:20.936]  Vercell Media has helped companies raise tens of millions in the past year alone, structuring and marketing ICOs to the thirsty crypto public worldwide.
[00:16:20.936 --> 00:16:23.398]  Don't miss the cryptocurrency revolution.
[00:16:23.398 --> 00:16:25.440]  Visit vercellmedia.com.
[00:16:25.440 --> 00:16:27.501]  V-E-R-C-E-L media.com.
[00:16:29.417 --> 00:16:31.298]  Healthcare reform is confusing.
[00:16:31.298 --> 00:16:39.883]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:16:39.883 --> 00:16:43.586]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:16:43.586 --> 00:16:45.547]  Liberty HealthShare is not insurance.
[00:16:45.547 --> 00:16:51.591]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[00:16:51.591 --> 00:16:53.092]  Neighbor helping neighbor.
[00:16:53.092 --> 00:16:55.653]  Learn more now by going to libertyoncall.org.
[00:16:55.653 --> 00:16:57.534]  That's libertyoncall.org.
[00:16:58.757 --> 00:17:05.101]  The United States of Empire is a book that claims the United States is the empire of the world.
[00:17:05.101 --> 00:17:08.143]  George Washington had warned us against foreign wars.
[00:17:08.143 --> 00:17:14.066]  The United States of Empire shows that World Wars I and II left England broken.
[00:17:14.066 --> 00:17:17.849]  Its former colony, the U.S., had to save the empire.
[00:17:17.849 --> 00:17:19.129]  Was there ever a vote?
[00:17:19.129 --> 00:17:20.470]  Who do we fight for?
[00:17:20.470 --> 00:17:26.674]  The Deep State began with World War I. The United States of Empire by James Dunn.
[00:17:26.674 --> 00:17:28.095]  Available at Amazon Books.
[00:17:28.755 --> 00:17:35.519]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:17:35.519 --> 00:17:39.782]  Since 2005, thousands have depended on Berkey Purified Water.
[00:17:39.782 --> 00:17:44.405]  The Berkey guy provides the lowest price filtration systems in every size.
[00:17:44.405 --> 00:17:49.989]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:17:49.989 --> 00:17:50.089]  877-886-3653.
[00:17:50.089 --> 00:17:50.449]  GoBerkey.com.
[00:18:02.800 --> 00:18:12.207]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.207 --> 00:18:23.636]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.636 --> 00:18:29.320]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.560 --> 00:18:41.045]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.045 --> 00:18:49.229]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.229 --> 00:18:51.710]  It's time to take care of your morning routine.
[00:18:51.710 --> 00:18:57.413]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:19:00.515 --> 00:19:02.876]  InfoWars Life is launching its newest product.
[00:19:02.876 --> 00:19:05.038]  We're really, really proud of it.
[00:19:05.038 --> 00:19:08.960]  It's a best source prebiotic fiber.
[00:19:08.960 --> 00:19:20.467]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[00:19:20.467 --> 00:19:29.572]  And it synergistically works with our 50 billion live active culture floraLife as well as MycoZx that targets the yeast, the mold, and the funguses in the gut.
[00:19:30.052 --> 00:19:35.839]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[00:19:35.839 --> 00:19:41.266]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[00:19:41.266 --> 00:19:43.549]  And I'm doing this to introduce these products to you.
[00:19:43.549 --> 00:19:45.571]  Bodies sold out in a month.
[00:19:46.537 --> 00:19:49.838]  Uh, strongest concentrated turmeric formula we could come up with.
[00:19:49.838 --> 00:19:51.858]  It sold out for another month and a half.
[00:19:51.858 --> 00:19:55.179]  We sold it at 50% off till it sold out.
[00:19:55.179 --> 00:19:57.700]  And I think it's gonna be the same way with this fiber.
[00:19:57.700 --> 00:20:02.781]  Get yours today at fullwarslife.com.
[00:20:02.781 --> 00:20:05.442]  You're listening to the Alex Jones Show.
[00:20:21.167 --> 00:20:26.030]  Defending the Republic from enemies foreign and domestic.
[00:20:26.030 --> 00:20:27.992]  It's Alex Jones.
[00:20:27.992 --> 00:20:33.936]  Ladies and gentlemen, Alex Jones here back live.
[00:20:33.936 --> 00:20:36.818]  You have to understand that we have called it yet again.
[00:20:37.759 --> 00:20:45.443]  And that's why they want us off the air, that's why we're the number one enemy after Trump, because we will cover the hard subjects that other talk show hosts are too afraid to cover.
[00:20:45.443 --> 00:20:54.088]  We broach them, we put them out first, we make it safe for others to be able to talk about it, to investigate it, and to research it.
[00:20:54.088 --> 00:20:58.611]  We hit the barbed wire, or as it's been said, we are the test pilots here at Infowars.com.
[00:20:58.611 --> 00:21:05.235]  Now, we know it's the left and the globalists that don't want Trump in, that don't want an American resurgence, that don't want a second amendment.
[00:21:06.365 --> 00:21:08.467]  We know they're the ones trying to shut down Infowars.
[00:21:08.467 --> 00:21:14.232]  We know they're the ones trying to brainwash and sexualize your kids to sabotage the nation and our future.
[00:21:14.232 --> 00:21:22.338]  We know Soros funded violent terror attacks and attacking police stations and the government buildings four years ago to overthrow Ukraine.
[00:21:22.338 --> 00:21:28.403]  We know he's buying full-page ads in the New York Times saying overthrow Trump and Pence drive them from power.
[00:21:28.403 --> 00:21:30.866]  They've been doing this for several years, the last 21 months.
[00:21:30.866 --> 00:21:32.427]  Now in 26 days out,
[00:21:34.739 --> 00:21:43.344]  Suddenly, oh, the left is out blocking roads, trying to create crises, trying to get people to run over, so they can then call them right-wing white supremacists that did it.
[00:21:43.344 --> 00:21:44.605]  That's what local news is doing.
[00:21:44.605 --> 00:21:47.867]  Antifa just blocks random roads, starts beating people's cars all over the place.
[00:21:47.867 --> 00:21:50.049]  That's their order.
[00:21:50.049 --> 00:22:03.137]  So now you have this individual who's busted, reportedly building a 200-pound bomb in his basement because he believes the Enlightenment and Christianity and the Renaissance is evil and must be stopped.
[00:22:04.025 --> 00:22:05.846]  What's that tell you where he's coming from?
[00:22:05.846 --> 00:22:08.726]  And he wants this system of randomly selected people to run things.
[00:22:08.726 --> 00:22:11.087]  That's pure Jacobin brainwashing.
[00:22:11.087 --> 00:22:13.108]  It doesn't mean he's an actual Jacobin or an Illuminist.
[00:22:13.108 --> 00:22:17.769]  It means he's bought into the, you know, the chili, the Kool-Aid.
[00:22:17.769 --> 00:22:26.512]  And he wants to carry out a terror attack killing potentially thousands during the election in the mall in front of the Washington Monument when all the kids are there for field trips.
[00:22:26.512 --> 00:22:29.453]  Everybody's out for the election to
[00:22:31.072 --> 00:22:46.024]  Draw attention to the fact that it isn't leftists that are staging the terror attacks that he believes will be going on that day or days before it, that the Republicans are going to stage to blame on the left.
[00:22:46.024 --> 00:22:47.686]  You see how that works?
[00:22:47.686 --> 00:22:52.490]  I've got to go out and carry out a terror attack to prove it's the Republicans doing the terror attack.
[00:22:52.490 --> 00:22:53.971]  This guy is the classic cutout.
[00:22:53.971 --> 00:22:55.652]  I've done a lot of research on him.
[00:22:55.652 --> 00:22:57.234]  Classic cutout decoy.
[00:22:58.670 --> 00:22:58.971]  I don't
[00:23:09.056 --> 00:23:11.497]  The globalists tell you how they even do this.
[00:23:11.497 --> 00:23:17.280]  Remember the movie Arlington Road, where they trick the professor to think he's going to stop the terror attack, but then he actually gets blamed for it?
[00:23:17.280 --> 00:23:20.001]  That's exactly what they did with McVeigh.
[00:23:20.001 --> 00:23:23.623]  He was there trying to go around setting up militias to stop terror attacks.
[00:23:23.623 --> 00:23:30.526]  When they said they were going to go ahead and create a real one, he blew the whistle, tried to stop it, they drugged him up, and the rest is history, and it all came out in court.
[00:23:30.526 --> 00:23:32.487]  But that's a side issue.
[00:23:32.487 --> 00:23:34.447]  Let me go over this article for you right now.
[00:23:34.447 --> 00:23:35.288]  Man who planned
[00:23:36.620 --> 00:23:45.103]  DC bombing wanted to stop Republicans suspending electoral process, so he was gonna bomb things to stop the election.
[00:23:45.103 --> 00:23:54.087]  Investigators scoured his home, discovered a bomb that weighed 200 pounds, but included only 8 pounds of explosive black powder, reports NBC News.
[00:23:54.087 --> 00:24:04.651]  Had he been successful, Rosenfeld's alleged plot could have claimed the lives of innocent bystanders and caused untold destruction, said FBI Assistant Director-in-Charge William Sweeney.
[00:24:05.956 --> 00:24:13.481]  56-year-old Paul Rosenfeld of Tampa, of Tapan, New York, planned to blow himself up on the National Mall in D.C.
[00:24:13.481 --> 00:24:15.323]  on Election Day, warned the FBI.
[00:24:15.323 --> 00:24:16.944]  Lucy Rosenfeld confessed to the plot.
[00:24:18.430 --> 00:24:27.676]  News reports about the plot heavily emphasize Rosenfeld's motive to draw attention to sortation, which is a political theory that advocates the random selection of government officials.
[00:24:27.676 --> 00:24:29.237]  It sounds like idiocracy.
[00:24:29.237 --> 00:24:36.061]  However, most reports are absent indications that the accused terrorist appears to be left-leaning.
[00:24:36.061 --> 00:24:37.502]  Yeah, they're covering that up.
[00:24:37.502 --> 00:24:47.468]  In one of the blogs, Rosenfeld complained about undue corporate influence of democracy, which he blamed on Christian-infused political philosophy from the Enlightenment.
[00:24:47.768 --> 00:24:50.349]  Notice the opposite of what we stand for.
[00:24:50.349 --> 00:24:55.451]  What ended slavery, what empowered women, what gave us medicine, the literature, the art, the science.
[00:24:55.451 --> 00:25:06.596]  He also voiced a conspiracy theory that Republicans were planning to claim that terrorists had infiltrated the Democratic Party as a pretext to suspend voting and permanently install themselves in the White House.
[00:25:06.596 --> 00:25:08.216]  No, no, that's what Obama was planning.
[00:25:08.216 --> 00:25:11.618]  We have the actual documents from 2015, but he failed because blacks wouldn't riot.
[00:25:12.603 --> 00:25:26.967]  Even today, despite all our democratic pretensions in the U.S., one might easily imagine a scenario in which President Jeb Bush, following an act of nuclear terrorism, suspends the electoral process under the pretext that terrorists have infiltrated the Democratic Party.
[00:25:26.967 --> 00:25:31.488]  A perpetual dynasty of Bush leaders with implausible outcome, wrote Rosenfeld.
[00:25:32.088 --> 00:25:43.967]  Rosenfeld's leftist political beliefs will stoke more concern than extreme rhetoric by the likes of Maxine Waters, Hillary Clinton, and others who've radicalized extremist fringe elements on the left who may lash out with violent attacks.
[00:25:45.652 --> 00:25:50.874]  So look, folks, we're going to learn more as this unfolds, but we've seen the globalists do this in other countries.
[00:25:50.874 --> 00:25:52.615]  We know the rhetoric they're using.
[00:25:52.615 --> 00:25:58.878]  We know that they've got raw story editors, you know, head editors saying, you know, Scalise, you're a baby.
[00:25:58.878 --> 00:26:02.719]  You know, we were defending ourselves when you got shot.
[00:26:02.719 --> 00:26:10.503]  All this stuff is them normalizing this atmosphere, believing that they can then have provocateurs go out.
[00:26:11.707 --> 00:26:29.697]  Carry out attacks and then the real terrorists behind that will go in and stage even bigger events which they believe will then scare Americans into submission and they believe will cause the stock market to crash and then they can use this to basically order the American people to sue for peace to the globalists in the name of stability.
[00:26:31.050 --> 00:26:32.691]  I think they've bet wrong.
[00:26:32.691 --> 00:26:34.472]  I think that they're jumping the shark.
[00:26:34.472 --> 00:26:41.397]  I think their intimidation is only making you wake up and realize how tyrannical they are and that acquiescing to them is only going to cause...
[00:26:42.961 --> 00:26:45.802]  The total enslavement of our civilization and our society.
[00:26:45.802 --> 00:26:47.422]  We cannot surrender to this.
[00:26:47.422 --> 00:26:49.643]  This is capitulation.
[00:26:49.643 --> 00:26:52.184]  And I have been predicting that they're going to bomb crowds.
[00:26:52.184 --> 00:26:53.244]  They're going to bomb universities.
[00:26:53.244 --> 00:26:54.565]  They're going to bomb schools.
