[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[03:24.960 --> 03:35.960]  So you've got that developing, just open treason happening right now, just a wide open coup against the president. We told you it was going on. Now it's totally public and they have to come out and admit it. That's not all.
[03:35.960 --> 03:51.960]  How about this for a major development? Rod Rosenstein plans to leave Justice Department next month. Oh my my, what a juicy little giblet that is.
[03:51.960 --> 04:12.960]  Now look, I'm no fan of William Barr, but getting Rosenstein out of there is like getting, I mean, that's a major swamp drain. That is a swamp rat, just an obese swamp rat. Looks like going to be leaving the Justice Department. That's huge.
[04:12.960 --> 04:29.960]  Yesterday President Trump delivered an epic and what will be a historic speech in Miami. Folks, I mean, I don't know how else to cut it other than he's basically declaring we're going to force regime change in Venezuela.
[04:29.960 --> 04:46.960]  Now, that was the overtone of the speech, but there was an undertone of attacking socialism, demonizing socialism, saying America will never be socialist, which I totally agree with. I agree with those undertones, but the overtones of regime change and all options on the table.
[04:46.960 --> 05:00.960]  Well, that's something we're going to have to discuss on the Alex Jones show today. An epic four hours ahead. Alex Jones joins us on the other side. Don't go anywhere.
[05:17.960 --> 05:27.960]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost, but burnout in just a few hours and have terrible side effects.
[05:27.960 --> 05:36.960]  We have developed hands down from our research, the most powerful, healthy energy drink pre workout and beyond system in the world.
[05:36.960 --> 05:46.960]  There's nothing else like it. You must experience it. It is a total game changer and it comes in easy to use packets to mix it with fruit juice or water, whatever you'd like.
[05:46.960 --> 05:56.960]  Warning, though, it's very, very strong. It lasts 10 hours. So take a half packet the first time you take it because turbo force is named turbo force because it will take you into overdrive.
[05:56.960 --> 06:06.960]  Turbo force and enforce live.com. It's February 19th, 2019. I'm Alex Jones reporting to you here from the road.
[06:06.960 --> 06:12.960]  When Troyer is taking over at the start of the next segment of all the very important breaking news and world developments.
[06:12.960 --> 06:27.960]  First off, we have something that's happened that is extremely illustrative of exactly who the deep state is working for and how they undermine America's destiny and America's sovereignty and America's interest.
[06:27.960 --> 06:43.960]  Huawei head, which is completely government backed, who's one of the top members of the Communist Party in China. He's come out and said that the lights will go off in America and that we will fall and the lights will stay on in China and in Asia.
[06:43.960 --> 06:52.960]  And that the United States is going to collapse. And they went on to say that we're so far ahead of you technologically that you'll never catch up.
[06:52.960 --> 07:10.960]  And to a great extent that's true because since the 60s and the project that the Rockefellers developed, we took China that had almost no running water where people didn't even have toilet paper and industrialized it and then transferred all of our latest technology to them.
[07:10.960 --> 07:25.960]  Whether it's weapons or genetic engineering. So remember when you see all the globalist traders on TV talking about Trump hurting our sovereignty or nationalism being bad, that when China is involved in all of this nationalism,
[07:25.960 --> 07:41.960]  when China is this huge powerful authoritarian state who's taking over large parts of the world and basically dominating Africa and Australia economically and militarily and taking over the South China Sea and shooting on our ships routinely, that that's all okay.
[07:41.960 --> 07:50.960]  But when Trump says it's okay for America to be a nation and for us to be proud of our country, President Trump is the devil.
[07:50.960 --> 08:05.960]  Again, the number two telecom in the world putting in 5G that mentally dials in and spies on everything we do, who's been caught putting spy chips on all their cell phones and devices, banned by dozens of nations says you're going to be in the dark,
[08:05.960 --> 08:14.960]  you're going down, you're going to collapse. Well, they did cut off our coal that was half our power. They did set up tariffs our own government did where we couldn't compete.
[08:14.960 --> 08:24.960]  America was being slowly put into the dark. And then Trump and Info Wars, and our great audience simply tries to get a fair shake and wear the traders.
[08:24.960 --> 08:39.960]  But let's shift gears out of that now. The full story is on infowars.com and newswars.com. Let's get into the victim economy and this small that character from Fox's, Fox's Empire.
[08:39.960 --> 08:52.960]  I said ABCHT, I knew it was Fox. So a correction there. Why on earth is the mainline system defending him? Why are they making excuses for him? We'll get into that in just a moment.
[08:52.960 --> 08:59.960]  But first, let's look at the 25th Amendment coup that we first warned of that was ongoing two years ago.
[08:59.960 --> 09:09.960]  Now admitted in the last month in mainstream media, being sold suddenly by all these prominent Democrats and Republicans will play a clip of this in a moment.
[09:09.960 --> 09:19.960]  Elizabeth Warren, a known liar who forged her bar entry card as Native American in Texas and other criminal actions, that is criminal.
[09:19.960 --> 09:25.960]  She, ladies and gentlemen, says that he needs to be removed via the 25th Amendment.
[09:25.960 --> 09:39.960]  I don't have any special knowledge. You know, I'm not the one who hangs out in his office and he sees him every day and sees how well or how poorly he's able to manage from day to day with the decisions that he faces.
[09:39.960 --> 09:47.960]  But what I do know is there are a whole lot of people who do see him every day who evidently were talking about invoking the 25th Amendment.
[09:47.960 --> 10:05.960]  And my point here is that if they believe that Donald Trump cannot fulfill the obligations of his office, then they have a constitutional responsibility to invoke the 25th Amendment.
[10:05.960 --> 10:16.960]  Their loyalty under law is not to him personally. Their loyalty is to the Constitution of the United States and the people of the United States.
[10:16.960 --> 10:21.960]  And then, of course, we have Brian Williams of stolen glory fame.
[10:21.960 --> 10:29.960]  So he was shot down in a helicopter. Hillary, basically, said the same thing. She was shot on the ground in Bosnia and Serbia.
[10:29.960 --> 10:36.960]  But that's another story. Brian Williams had George W. Bush's ethics czar.
[10:36.960 --> 10:50.960]  That's certainly a really, really a sick joke. I guess Jeffrey Dahmer or Hitler will have an ethics czar, maybe Mao Zedong or Telethon or, I don't know, Bugsy Siegler.
[10:50.960 --> 10:53.960]  Al Capone maybe should be hired as the ethics czar.
[10:53.960 --> 11:07.960]  But Richard Painter was on with Brian Williams on the NBC telling us how Trump is completely mentally ill and needs to be removed from office.
[11:07.960 --> 11:18.960]  The President is not well at all mentally. I think he's an extreme narcissist. He has been denied what he wants, his wall.
[11:18.960 --> 11:28.960]  And he is having a hissy-fat. He's out of control. And we really need to keep in mind that this is because the President is not well.
[11:28.960 --> 11:36.960]  This is a man who believes Vladimir Putin rather than his own intelligence sources. He is not capable of doing the job.
[11:36.960 --> 11:42.960]  He does need to be removed under the 25th Amendment. But he's stacked his cabinet with people who are unwilling to do that.
[11:42.960 --> 11:47.960]  And Congress is apparently unwilling to even try to remove him through impeachment.
[11:47.960 --> 11:53.960]  So again, you just saw those clips. You just heard those clips. And there's been so many others the last few days calling for this.
[11:53.960 --> 12:03.960]  It makes our heads spin. But it took years and years after we broke this with our sources and with our research for it to be admitted exactly like we said.
[12:03.960 --> 12:07.960]  And do we get credit? No. The answer is shut down in full wars.
[12:07.960 --> 12:14.960]  But we made it safe for all the rest of conservative media and all the rest of liberal media to finally admit what's going on behind the scenes.
[12:14.960 --> 12:25.960]  And only after it failed on the DL, on the download, was it then brought out out of the open to them in desperate fashion trying to bring Trump down.
[12:25.960 --> 12:30.960]  Because his approval ratings are going up. Despite the economic war with China, the economy's come back some.
[12:30.960 --> 12:37.960]  And the globalists know that their demoralization campaign of America is failing. So they're now in complete panic mode.
[12:37.960 --> 12:44.960]  Now, let's move back to what I mentioned at the start of the segment, the victim economy.
[12:44.960 --> 12:56.960]  There are countless top Democrats and countless top Hollywood producers in articles on info wars.com with their tweets and comments saying they still believe that Smollett is telling the truth.
[12:56.960 --> 13:02.960]  And they know there's rampant racism in Chicago that they don't trust the police and they think maybe they staged it.
[13:02.960 --> 13:07.960]  That's actually now being said by most of these Democrats in articles up on info wars.com.
[13:07.960 --> 13:19.960]  But Trevor Noah is a little bit smarter. One of the five late night comedians that really pose as newsmen and who most libtards get their so-called news from.
[13:19.960 --> 13:25.960]  He's a little more sophisticated or his writers are. They know this House of Cards is coming down.
[13:25.960 --> 13:33.960]  They know that they can't cover it up. So what has he come out and said? What does he come out and push?
[13:33.960 --> 13:37.960]  We'll play the clip in a moment as we go to break here and maybe come back and play some more of it.
[13:37.960 --> 13:45.960]  He has come out and said, well, he never bought the story from the beginning, even though he broadcast and talked about it and pushed the race war.
[13:45.960 --> 13:58.960]  But that there was one part of it was so convincing that was his acting on an interview he did on television talking about it, that he deserves a major award, that he should be kept on the show because he's such a good liar.
[13:58.960 --> 14:04.960]  You tell a hoax, you try to get a race war going, you try to blame a whole class of people that just want to make America great again.
[14:04.960 --> 14:08.960]  You have 12 detectives working on the case in a crime-ridden city run by Democrats.
[14:08.960 --> 14:14.960]  And now you make the whole thing into a giant, sick, filthy joke.
[14:14.960 --> 14:16.960]  You just made me so angry.
[14:16.960 --> 14:23.960]  Okay, either this guy is telling the truth or he deserves an Emmy for that interview.
[14:23.960 --> 14:32.960]  Because if all of that is just a performance, I don't care what he's lying about, you can't cancel him. He's too good to not be on TV.
[14:32.960 --> 14:39.960]  But that's basically where the story is now. And look, I don't know how it's going to end up because every day the story just gets stranger and stranger.
[14:39.960 --> 14:44.960]  Tomorrow we could find out that those Nigerian brothers are actually princes and they needed the money to unlock their royal inheritance.
[14:44.960 --> 14:51.960]  I don't know where this is going. Or maybe they're part of the NBA team that Obama is forming in Africa. We don't know. We don't know.
[14:51.960 --> 14:56.960]  So there you have it, ladies and gentlemen. The full clip again is up on infowars.com and newswars.com.
[14:56.960 --> 15:03.960]  The real reason the globalists and media matters and the Hillary and the deep state want to shut down is we have a memory.
[15:03.960 --> 15:11.960]  We'll point out what they said a year ago or two years ago or six months ago. We'll bring up these uncomfortable truths for the establishment.
[15:11.960 --> 15:17.960]  But the good news is the cat's out of the bag. People know about staged events and false flags. They know most of these events are fake now.
[15:17.960 --> 15:26.960]  And so people can come after me all they want to shut me up, but America and the world now understands the paradigm and to a great extent info wars has completed its mission.
[15:26.960 --> 15:36.960]  But I know we've got other big missions and other big fights to continue on with. So please keep us in the fight. Keep us in the game and never back down and never surrender.
[15:36.960 --> 15:49.960]  Now back to Owen Schreuer in the ATX with the latest breaking news in the fight, not just for America, but for the entire human species on a planetary scale against the globalist dehumanizing system of absolute total tyranny.
[15:49.960 --> 15:57.960]  This is a real fight, a real war, and you are the tip of the spear.
[16:19.960 --> 16:28.960]  See him now at SurvivalistCamps.com. That's SurvivalistCamps.com. Trust your family survival to SurvivalistCamps.com.
[16:49.960 --> 16:56.960]  Thousands of people's lives across America. My blood pressure has normalized. My diabetes has totally improved.
[16:56.960 --> 17:02.960]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[17:02.960 --> 17:10.960]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[17:10.960 --> 17:27.960]  Order your two-month supply today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com. Heart and Body Extract 866-295-5305 or hbextract.com.
[17:40.960 --> 17:47.960]  Wars 1 and 2 left England broken. Its former colony, the US, had to save the empire.
[17:47.960 --> 18:00.960]  Was there ever a vote? Who do we fight for? The deep state began with World War 1. The United States of Empire by James Dunn, available at Amazon Books.
[18:00.960 --> 18:17.960]  For those looking for the ultimate source of energy for their day, every day, the Brain Synergy Combo is here. Combining the powerful Turbo Force and Brain Force Plus new tropic formulas, this combo has what you need to hit your maximum potential every day.
[18:17.960 --> 18:34.960]  Take the tasty Tropical Berry flavored Turbo Force Instant Brain Pits with you on the go, or at work to help provide you with focus, clarity and energy and to reach your full potential. Hit the next generation of advanced neural activation with the Brain Force Plus new tropic.
[18:34.960 --> 18:55.960]  Brain favorite formula, fueled by powerful, time-tested ingredients for a true 360 win. With this combo, you can have energy wherever you need it. At home, on the go, in the car, and more. Get pure energy on tap and take advantage of old and new Info Wars powerhouse formulas with the Brain Synergy Combo.
[18:55.960 --> 19:07.960]  Head to InfowarsStore.com today.
[19:25.960 --> 19:41.960]  And from seeing my friends and family use it, that this new product is going to end up being the number one best selling product at InfowarsLife.com because it works so well. This is a gift you want to give yourself. And then rest assured, you're finding the Info War, so it's a total absolute sure win, no lose equation.
[19:41.960 --> 19:58.960]  Try Alpha Power, exclusively available at InfowarsLife.com for yourself. Ladies and gentlemen, it's non-GMO. It's for your brain, it's for sports, it's for activities, and it's made in the USA. Get your Alpha Power today at InfowarsLife.com. Everybody needs to try Alpha Power today.
[20:11.960 --> 20:32.960]  Welcome back to the Alex Jones show. I had to uncrumble a news story here that the crew brought to me during the break because I'm just so sick of it.
[20:32.960 --> 20:44.960]  This Jesse Smollett obsession, and then Cardi B, who has to be the most forced celebrity, force-fed celebrity since Kim Kardashian. It's like, it just makes my head spin.
[20:44.960 --> 20:53.960]  Just total fakeness. I mean, why are people so obsessed with fake crap? But that's a totally different thing. I'm not going to go down that road.
[20:53.960 --> 21:05.960]  But the reason why I'm frustrated is because I'm sick of hearing about Jesse Smollett. Yes, it's like, okay, he faked the hate crime. So, but first, look at what's happening now, because this is why the story was handed to me.
[21:05.960 --> 21:17.960]  And Cardi B, I guess, is amongst these celebrities blaming now the Chicago police for the faked hate crime. I mean, this is unbelievable.
[21:17.960 --> 21:23.960]  So it's like, there's new developments, and then I got to come out here and kind of just lay the groundwork again.
[21:23.960 --> 21:37.960]  So now this whole thing apparently originates with a letter sent to Smollett, some hateful racist letter sent to Smollett, sent to the Empire Studios.
[21:37.960 --> 21:45.960]  Smollett's upset it didn't get enough attention. So then he staged the hate crime.
[21:45.960 --> 21:55.960]  And so now they have to investigate that letter. And I don't think you should stop there when you're as big of a fraud and as big as a phony as Smollett.
[21:55.960 --> 22:04.960]  I think you now have to investigate is he even faking being gay to receive advantages in Hollywood? And is he even really black?
[22:04.960 --> 22:11.960]  I think we should investigate that because he's a known liar. I think everything should be investigated. In fact, he's such a good actor.
[22:11.960 --> 22:21.960]  This is the exclusive from ABC News. ABC News exclusive. We have the man that faked the hate crime right here. They knew it. They all knew it.
[22:21.960 --> 22:33.960]  They all knew it. And so he's sitting there crying. So he's such a good actor. Or maybe that's a woman. I don't know.
[22:33.960 --> 22:43.960]  I think things should be investigated about Jesse Smollett. He is such a good actor. He can play the role of a black man without makeup.
[22:43.960 --> 22:52.960]  He can do blackface without makeup. Is that the real Jesse Smollett? I don't know. This guy is such a phony, such a liar. I think we need to look at everything.
[22:52.960 --> 23:07.960]  Is that even a real beard? But now, after he's probably faked at least two hate crimes against himself, probably right out of the Democrat Party playbook.
[23:07.960 --> 23:16.960]  I mean, they've been caught by Project Veritas. Do I have to go over all of this every day? And now, the goddess.
[23:16.960 --> 23:22.960]  This is the most talented woman in the world. She's done so much for women's empowerment. Really, we should probably just make Cardi B president of the UN.
[23:22.960 --> 23:34.960]  And I think the whole world would be a better place because she's figured it out. You see, it's the racist Chicago police department. That's the problem here.
[23:34.960 --> 23:42.960]  So first, it's okay. The Trump supporters are not as hateful and racist as we claim, but we really put a lot of stake in that argument.
[23:42.960 --> 23:53.960]  So let's stage a hate crime. All right, send a letter to yourself. Okay, nobody cared about the letter. All right, go out in the street and pretend to get beat up and claim it was people wearing MAGA hats.
[23:53.960 --> 24:04.960]  Okay. Oh, well, we got caught. We faked that. Okay, well, let's say we had to do it because we just, we had to do it to show how bad America was because of these people.
[24:04.960 --> 24:17.960]  And then let's blame the police. But it's just like I said yesterday, folks, there's a story in the Washington Post, I believe it is today. I've got so much news here.
[24:17.960 --> 24:28.960]  They, oh, yeah, yeah. Washington Post writer laments just a small case falling apart. I need this story to be true.
[24:28.960 --> 24:37.960]  That's an executive assistant to the Washington Post editorial board. Nana Fua Mumford needs the story to be true.
[24:37.960 --> 24:45.960]  They all need the story to be true because that's their worldview. They need this confirmation of their worldview.
[24:45.960 --> 24:58.960]  Instead of, instead of learning, see, this is the NPC in them. Instead of learning that their worldview is not right, instead of learning that their worldview is inaccurate, they have to stage something,
[24:58.960 --> 25:09.960]  hoax something, get the entire American public to go along with it because they need their worldview affirmed, which isn't even accurate.
[25:09.960 --> 25:17.960]  So look, you know, he's probably going to jail. He probably faked the letter to he's probably not even gay. It's all fake, probably from this guy.
[25:17.960 --> 25:29.960]  And then here's, you know, so Trevor Noah, let's just roll some of this Trevor Noah clip from last night, where apparently I guess Trevor Noah finally has seen the light that Smollett lied about the whole thing.
[25:29.960 --> 25:34.960]  By now, you've all probably heard about the incidents involving Empire actor, Jesse Smollett.
[25:34.960 --> 25:42.960]  The incident involving. According to Smollett, he was walking the streets of Chicago a few weeks ago at 2am, trying to get a subway sandwich.
[25:42.960 --> 25:51.960]  When he was beaten up by two white guys, and not just any two white guys, these guys recognized Smollett from Empire and they beat him up.
[25:51.960 --> 26:00.960]  See, this is all still propaganda. Pause it, pause it, pause it. This is still all propaganda. Notice how he lays out the entire false narrative before anything.
[26:00.960 --> 26:05.960]  Doesn't mention it was all fake. Doesn't mention he hired two black men to do it.
[26:05.960 --> 26:15.960]  He lays out the entire false narrative. This is, I mean, look, I don't know if, I don't think Trevor Noah is this bright, maybe he is, maybe he's a propagandist.
[26:15.960 --> 26:27.960]  I don't understand, but he lays out the entire false narrative before he gets to the actual truth. That is the art of propaganda. That is the art of speech.
[26:27.960 --> 26:35.960]  So go back to the clip. And they threw a noose around his neck, poured bleach on him, and yelled, this is MAGA COUNTRY.
[26:35.960 --> 26:41.960]  So he affirms the false narrative before he does anything else. Maybe there's a lot more to this story. This is psychology 101.
[26:41.960 --> 26:49.960]  Chicago police want to re-interview Empire actor, Jesse Smollett, after getting new information about the alleged attack against him.
[26:49.960 --> 26:54.960]  Two brothers told police Smollett paid them to stage the attack.
[26:54.960 --> 27:02.960]  That's right. The police now believe that Smollett staged his own attack, which would be insane.
[27:02.960 --> 27:08.960]  But you have to admit, there's a certain part of the story that was always a little weird.
[27:08.960 --> 27:19.960]  Like, who are the MAGA supporters who hate gay people, who hate black people, but also happen to watch Empire?
[27:19.960 --> 27:24.960]  I've heard of hate watching, but that shit would be next level.
[27:24.960 --> 27:25.960]  We got to dump that.
[27:25.960 --> 27:31.960]  We got to remember the clan buying tickets to fiddle on the roof, just like, look, I'm no fan of the Jews, but you got to admit they can play a mini fiddle.
[27:31.960 --> 27:34.960]  Alright. I can't really stand this guy.
[27:34.960 --> 27:37.960]  So they're all admitting it was fake now.
[27:37.960 --> 27:40.960]  But they're not really giving...
[27:40.960 --> 27:42.960]  They're making a big joke out of this.
[27:42.960 --> 27:45.960]  Notice when they do joke about Trump, it's like, hate, like he's the worst.
[27:45.960 --> 27:52.960]  Here's a guy who's actually lying, trying to divide America. By the way, he did, like, ten television interviews after this.
[27:52.960 --> 27:55.960]  Now he's refusing an interview with the Chicago Police Department.
[27:55.960 --> 27:57.960]  Oh!
[27:57.960 --> 27:59.960]  Oh!
[27:59.960 --> 28:02.960]  Wow. Funny how that works, isn't it?
[28:02.960 --> 28:04.960]  So, Jesse Smollett.
[28:04.960 --> 28:07.960]  A total scumbag.
[28:07.960 --> 28:10.960]  But he's just a typical leftist.
[28:10.960 --> 28:14.960]  He's just a typical commie leftist socialist that's been propagandized to hate America.
[28:14.960 --> 28:23.960]  Who knows if he's being run by the Democrat Party, or if he did this all, you know, on his own, but...
[28:23.960 --> 28:25.960]  There you go, folks. That's the left in a nutshell.
[28:25.960 --> 28:33.960]  Fakes hate crime against himself to affirm their worldview that isn't accurate, and then blames their enemies for the things that they did.
[28:33.960 --> 28:38.960]  So first, they stage a hate crime against themselves. They blame white guys and Trump hats.
[28:38.960 --> 28:44.960]  Then they get caught staging it by the Chicago Police Department, and then they blame the Chicago Police Department for racism.
[28:44.960 --> 28:49.960]  That's the modern day left in a nutshell, right there.
[28:49.960 --> 29:12.960]  That's all you need to know. Case closed. Now, we move on to more important news on the other side.
[29:20.960 --> 29:25.960]  It's the Babylonian system, and you have to escape it before it's too late.
[29:25.960 --> 29:28.960]  Haven't you ever wanted to wake up from this nightmare?
[29:28.960 --> 29:35.960]  Matthew David's free quick study guide shows you what to do today to build lasting wealth in any economy.
[29:35.960 --> 29:38.960]  His discovery he made? It's all consciousness.
[29:38.960 --> 29:45.960]  Get Matthew Seven Figure quick study guide for clarity, certainty, and a proven strategy to build wealth.
[29:45.960 --> 29:58.960]  Once and for all, visit escaperightnow.com. Do it now. It's free escaperightnow.com for a prosperous future ahead with peace of mind escaperightnow.com.
[30:15.960 --> 30:28.960]  What is energy drinks and energy supplements? But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[30:28.960 --> 30:37.960]  We have developed, hands down, from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[30:37.960 --> 30:46.960]  There's nothing else like it. You must experience it. It is a total game changer, and it comes in easy to use, packaged, mixed with fruit juice, or water, whatever you'd like.
[30:46.960 --> 30:56.960]  Warning though, it's very, very strong. It lasts 10 hours, so take a half packet the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[30:56.960 --> 31:07.960]  TurboForce and m4slife.com.
[31:27.960 --> 31:35.960]  Ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[31:35.960 --> 31:47.960]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[31:47.960 --> 31:57.960]  It's time to experience what ultimate bone broth can do for you. Get Ultimate Bone Broth, now at 50% off.
[32:18.960 --> 32:25.960]  Getting rid of what you said they were before, it's so much easier to burn video or text or languages now that we have high-tech book burning, isn't it?
[32:25.960 --> 32:35.960]  But I have joined my will to the resistance. I can't be destroyed now. As long as I realize I've done right, and the longer the people know the truth, and you can't be destroyed either.
[32:35.960 --> 32:49.960]  As long as you bind yourself to something and commit to it, and go through the fire for it, there is a magic that then takes place. The transcend space and time. When you commit, be a word of mouth, or to pray for us, or to spread our articles and videos.
[32:49.960 --> 32:59.960]  That overrides everything the enemy's doing, so please now commit to support InfoWars, however you can, and realize your provision to InfoWars is your own provision.
[32:59.960 --> 33:05.960]  You're listening to the Alex Jones Show.
[33:12.960 --> 33:21.960]  From the front lines of the Information War, it's Owen Troyer. You're listening to the Alex Jones Show.
[33:21.960 --> 33:40.960]  I haven't even mentioned that we've got great guests coming up today. Carpe Dantum at Carpe Dantum on Twitter, who said, I don't know how many of his meme videos go viral.
[33:40.960 --> 33:55.960]  Almost everything he does, everything he touches goes viral. He's got that magic touch, and he's going to be joining us in 30 minutes here. He had his video shared by President Trump, the State of the Union video.
[33:55.960 --> 34:03.960]  Everybody hurts in the background. Twitter banned it. President Trump then remixed it with Lee Greenwood, proud to be an American, and reshared it.
[34:03.960 --> 34:20.960]  So Carpe Dantum joins us to discuss all that, and we'll take a look at his latest meme of the Jussie Smollett hoax, just more meme magic, yes.
[34:20.960 --> 34:33.960]  Because here's what you do. You take their meme, like this music video was a forced leftist meme, with a bunch of propaganda in it. It was all broken down by Paul Joseph Watson beautifully.
[34:33.960 --> 34:49.960]  And you take their meme, which is meant to attack America's culture, and then you remix it with what their culture actually is, staging hoax hate crimes, and you shove it in their face.
[34:49.960 --> 34:58.960]  And then you take their art form, add your magic to it, and you create better art, more powerful art.
[34:58.960 --> 35:09.960]  And notice it's their art that's force-fed. That song wins a Grammy. I mean, I guess it's okay. I mean, when it comes to like musical composition and everything, it's total garbage.
[35:09.960 --> 35:15.960]  But you know, it's music. It's popular. I get it. People listen to it. It's a catchy song. It's a catchy video.
[35:15.960 --> 35:24.960]  But to win the song of the year, whoa, let's slow it out. No, it's forced propaganda. It's forced meme warfare.
[35:24.960 --> 35:39.960]  So Carpe Duncan joins us. Then Dr. Edwin Vieira is going to be joining us with Stuart Rhodes, who's going to be in studio to talk about just the latest at the southern border and what needs to be done as President Trump declares an emergency.
[35:39.960 --> 35:49.960]  And then Paul Joseph Watson is hosting the fourth hour, and he's got a brand new video as well that we're going to debut here on the Alex Jones show that you're not going to want to miss.
[35:49.960 --> 36:07.960]  Now, I got a bunch of news that I got to get to here, and I need to really remain focused for the remainder of this segment and in the 10-minute segment after that to try to get to all of this news and really flush it out so that people can understand the tides that are turning right now.
[36:07.960 --> 36:10.960]  And I'll even explain that a little bit too.
[36:10.960 --> 36:22.960]  But as you know, Info Wars is the most censored. In fact, guys, pull up Paul Joseph Watson's Twitter right now and look at the image he just put up.
[36:22.960 --> 36:36.960]  It's got like eight commentators on there, media people on there, like himself, Lauren Southern, Stefan Malinu and others, Tommy Robinson, and it's kind of got like a, it's almost like a baseball card of stats on social media.
[36:36.960 --> 36:49.960]  There it is right there. And basically, it takes all these conservative commentators and it's kind of ranking them as far as they're following, but more than anything, it's just saying, okay, here's where they've been banned, here's where they've not.
[36:49.960 --> 36:54.960]  Can you guys pull up the full image, if possible, and make it full screen? Yeah, thank you.
[36:54.960 --> 37:09.960]  Now, notice how there's one name that's not on there, Alex Jones. And the funny thing about that is that we should almost make the Alex Jones social media baseball card up right now, and it's nothing but X's.
[37:09.960 --> 37:25.960]  So see, it's got like, Paul Joseph Watson hasn't been banned anywhere, and then it's got, so it's got all his numbers there, and it's got Milo Unopolis, he's got almost 900,000 on YouTube, almost two and a half million on Facebook, and then on Twitter, he's got an X, because he's banned.
[37:25.960 --> 37:40.960]  And then Colter on YouTube, X, because she's banned. So you get the idea. But see, Alex Jones just X's down the line. Nothing but X's if you're Alex Jones. He's not allowed to exist.
[37:40.960 --> 37:58.960]  Smollett is allowed to fake a hate crime and divide this country, and he's still allowed on social media. By the way, just go try to find all the Democrats and all the Hollywood actors and actresses, all their tweets about the Smollett hate crime, at least what they thought was, they're all gone.
[37:58.960 --> 38:05.960]  They're all gone. None of them issued an apology or retraction. They just delete their tweet and you know, it's just whatever.
[38:05.960 --> 38:18.960]  So, if you want to support Alex Jones, who has nothing but X's next to his name on his social media stats, go to infowarstore.com, because Alex Jones is the one that drives this entire info wars team.
[38:18.960 --> 38:26.960]  He drives the entire satellite cruise ship that we have here in Austin, Texas, and it's all made possible with your support at infowarstore.com.
[38:26.960 --> 38:38.960]  And Alex is really excited about two products right now. The turbo force, which I'm sure you've heard about by now, which is the energy support, energy boost, focus boost, powder that we have.
[38:38.960 --> 38:47.960]  You mix it up with about eight ounces of water, chug it down, and you get sustained energy without the crash. That's at infowarstore.com.
