[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[03:42.000 --> 03:51.000]  You probably also believe there's no corrupt judges that get paid off either. You probably believe that the government loves you and wants to take good care of you.
[03:51.000 --> 04:00.000]  Now, I'm not going to spend much time on this today. I'm going to get into the huge developments in Israel with Gaza and with Syria and with Egypt.
[04:00.000 --> 04:03.000]  There's shots being fired at all three countries back and forth.
[04:03.000 --> 04:12.000]  And we're going to get into Ron Paul's speech and play most of it in the second hour today. I wasn't playing all of it today, but that took about an hour and a half of total airtime.
[04:12.000 --> 04:15.000]  It's about 50 minutes long. Just shy of that.
[04:15.000 --> 04:22.000]  Some of them are large portions of it, most of it, in the second hour today with moderate amounts of commentary from yours truly.
[04:22.000 --> 04:28.000]  But we're going to break down the fact that the election happened. They started imploding the economy.
[04:28.000 --> 04:33.000]  The White Clock works to then hold its hostage and say, give us new taxes or things will get a lot worse.
[04:33.000 --> 04:36.000]  And the new taxes are given to the globalist and then things get worse.
[04:36.000 --> 04:39.000]  And they say, give us more money or things will get worse.
[04:39.000 --> 04:45.000]  And we're going to look at what's happening also with the bottom dropping out with all these new wars starting up.
[04:45.000 --> 04:48.000]  I mean, the wars against Iran began years ago.
[04:48.000 --> 04:52.000]  And the wars against Syrian and all these other countries.
[04:52.000 --> 04:59.000]  But now it's going into a much higher gear, a hot war. We'll be looking at that. It's certainly a crazy time.
[05:23.000 --> 05:27.000]  It's time to get your own supply from eFoodsDirect.
[05:27.000 --> 05:31.000]  I know I won't be standing in a bread line trading my freedom for food.
[05:31.000 --> 05:35.000]  I'm taking control of my future and you're nuts if you don't do the same.
[05:35.000 --> 05:38.000]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[05:38.000 --> 05:42.000]  And you can start with a holiday gift pack that's normally $80 now under 50 bucks.
[05:42.000 --> 05:45.000]  Remember, I can warn you but I can't feed you.
[05:45.000 --> 05:50.000]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[05:50.000 --> 05:53.000]  Would you rather prepare six months too early or one day too late?
[05:53.000 --> 06:20.000]  Or 09-5633 or eFoodsDirect.com forward slash Alex.
[06:20.000 --> 06:28.000]  It is Sunday, the 18th day of November 2012.
[06:28.000 --> 06:30.000]  I am your host, Alex Jones.
[06:30.000 --> 06:37.000]  And we are going to be here live as we are every Sunday, 4 to 6, Central, 5 to 7, Eastern.
[06:37.000 --> 06:40.000]  Okay, wow, there is so much to cover here.
[06:40.000 --> 06:46.000]  I'm going to air large excerpts of Ron Paul's farewell speech that has really gotten a lot of attention,
[06:46.000 --> 06:53.000]  even in mainstream media, because he lays out what an incredible tyranny this country is turning into
[06:53.000 --> 07:04.000]  and how fast the acceleration of corruption and decadence and evil by government is moving.
[07:04.000 --> 07:08.000]  There is a huge acceleration and it sounds like a speech Alex Jones would give.
[07:08.000 --> 07:10.000]  Yours truly.
[07:10.000 --> 07:12.000]  He calls them authoritarian psychopaths.
[07:12.000 --> 07:15.000]  He talks about a premeditated takeover.
[07:15.000 --> 07:19.000]  He talks about how we will be imprisoned and how we will be enslaved.
[07:19.000 --> 07:25.000]  You know, Ron Paul is very smart and he studied a lot of history, so have I.
[07:25.000 --> 07:27.000]  He's been in Congress off and on for 30 years.
[07:27.000 --> 07:29.000]  He knows.
[07:29.000 --> 07:32.000]  And so do other statesmen, so do other historians.
[07:32.000 --> 07:35.000]  This is a fact.
[07:35.000 --> 07:44.000]  We know the path we're going down is designed to bankrupt us and turn us into financial slaves.
[07:44.000 --> 07:50.000]  In the last segment of this hour, before we go to the second hour and come back with a Ron Paul speech,
[07:50.000 --> 07:54.000]  and I'll be here live as well with limited commentary in and out of the breaks playing it.
[07:54.000 --> 07:57.000]  So I'll be here live next hour playing that Ron Paul speech.
[07:57.000 --> 08:01.000]  And if you've missed it or haven't heard it, call your friends and family.
[08:01.000 --> 08:02.000]  Tell them to tune in.
[08:02.000 --> 08:04.000]  It is extremely powerful.
[08:04.000 --> 08:11.000]  And I'm going to create a bibliography of the speech in the next few weeks documenting every statement he made.
[08:11.000 --> 08:15.000]  And I'm going to put it to video with John Bound, who's going to work on it with me.
[08:15.000 --> 08:21.000]  John Bound out there on Sunday running the board doing a great job with Dan Badandi and the rest of Sunday crew.
[08:21.000 --> 08:31.000]  So we're going to, you know, really enshrine this Ron Paul speech because it's extremely powerful and extremely cogent.
[08:31.000 --> 08:33.000]  And for 49 minutes lays it all out.
[08:33.000 --> 08:35.000]  So that is coming up.
[08:35.000 --> 08:41.000]  But before the sour ends, we sent our reporters out yesterday and today and they have a video audio report.
[08:41.000 --> 08:54.000]  We're going to file here on air, Jukari Jackson and Marcos Morales with troops on the streets here in Austin and outside Austin for the Formula One race.
[08:54.000 --> 08:57.000]  And Formula One is the sport of kings.
[08:57.000 --> 09:04.000]  The new kings are foreign money changing, money manipulating Ponzi scheme kings.
[09:04.000 --> 09:06.000]  And that's who's here.
[09:06.000 --> 09:11.000]  And I've watched their helicopters anytime you walk outside as I walked under they two of them flew over.
[09:11.000 --> 09:21.000]  I mean, you walk outside for an hour, you'll see 50 helicopters because these people don't drive limousines to hotels full of hookers.
[09:21.000 --> 09:24.000]  They don't drive limousines for the mall.
[09:24.000 --> 09:27.000]  They land helicopters at helipads.
[09:27.000 --> 09:36.000]  They've shut up everywhere all over the city and helicopters land and they get off with prostitutes and go into stores or go into a Starbucks.
[09:36.000 --> 09:39.000]  And the police sit there and block the road for them because they're God.
[09:39.000 --> 09:42.000]  And again, my issue is I'm not in the class envy.
[09:42.000 --> 09:51.000]  I'm all for you being wealthy and making your money with an invention with research, with a book you write, with a skill you have.
[09:51.000 --> 09:53.000]  I absolutely admire people like that.
[09:53.000 --> 10:08.000]  These globalists who created 1.5 quadrillion in fraudulent derivatives garbage in the last 15 years have gotten our government, the European governments as well to sign on to their debt.
[10:08.000 --> 10:16.000]  And the prostitute media, the prostitute decepticon media, these con artists go along with this.
[10:16.000 --> 10:30.000]  Did you know when you do a local bond, almost in every case, it gets invested in some big slush fund and they then go out and resell it over and over again and repackage it 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, they found some derivatives.
[10:30.000 --> 10:35.000]  Repackage resold 120 plus times.
[10:35.000 --> 10:46.000]  Okay, now our debt's 15 trillion. We're told we're bankrupt because of the derivatives that the US two years ago, Washington Post estimated 644 trillion.
[10:46.000 --> 10:50.000]  Look, I don't owe the 644 trillion. Okay.
[10:50.000 --> 10:56.000]  And that's a fraud and these guys created it. They didn't screw up creating these derivatives.
[10:56.000 --> 11:09.000]  No, they designed this and they've written about how they designed it. And now they say they want 100 trillion. That guy's printing me AP or London Telegraph from last year's Davos, which is where these Bilderberg scum meet.
[11:09.000 --> 11:18.000]  F1 is one of their other big meeting places because they can use it as a cover when they're here engaged in all the different activities and their parties and the rest of it.
[11:18.000 --> 11:27.000]  Oh, we were here for F1. This is in the news that global mafia has come into town, just every form of trash. And it's even better.
[11:27.000 --> 11:44.000]  I get to pay for it as a taxpayer. I get to pay a franchise tax, a state franchise tax that part of it's given to the city of Austin and they've got all these sales taxes and they've got property taxes that goes to pay for the race track and the gangsters get a tax exemption.
[11:44.000 --> 11:55.000]  I mean, go look at any of the big F1 chiefs. Just go look at them, the courts, the indictments, the deaths, the murders, the, oh, you know, the, oh, here's a billion to this daughter, three billion to that daughter.
[11:55.000 --> 12:05.000]  I mean, no wonder it's a joke and you got a brain dead public with IQs at room temperature who don't even know what planet they're on.
[12:05.000 --> 12:17.000]  And these globalists are financing the takeover of the entire criminal justice system, the courts, the whole society and converting it to an injustice system to oppress us that are aware of their activities.
[12:17.000 --> 12:28.000]  And let me tell you out there, middle class, they're going to take your house, they're going to take your pension funds, they're going to take it all and you're going to sit there and thank them for it because you like to read the newspaper and feel like you're part of the power structure.
[12:28.000 --> 12:37.000]  You like to, you like to watch the financial news and think you're getting a lot of news on CNBC. You like to think you're real smart.
[12:37.000 --> 12:47.000]  Oh, but the yuppies that run the criminal syndicate here in Austin for the globalist were a model UN city with the carbon taxes they put in shutting down the power plants you name it here.
[12:47.000 --> 12:59.000]  They're all exempt though when we get the rolling blackouts because of the central district and the government buildings here. We are the model city for the UN in the United States. We are the model of criminal government.
[12:59.000 --> 13:07.000]  All the yuppies scum got real mad when the helicopters were renting vacant lots in downtown and landing next to their houses.
[13:07.000 --> 13:14.000]  I mean, they're lifting off and taking off every few minutes. There's like 50 helicopters at any one time. I love it.
[13:14.000 --> 13:27.000]  Now the euro trash that came in and bought the city and bought the taxpayer money for nothing. Now they're going to be landing helicopters 24 seven forever in the yuppie scums yards downtown.
[13:27.000 --> 13:36.000]  Oh, but the yuppie scum got mad. The yuppie scum just passed an ordinance saying you're not allowed to land your helicopters downtown. You watch that ordinance is going to get overturned.
[13:36.000 --> 13:44.000]  They wouldn't rent the old cattleman hotel. I'm going to say the name. I have this inside baseball to one of the F one guys. They wouldn't rent it to him for three days.
[13:44.000 --> 13:51.000]  So he just bought the whole thing and you watch they're going to crack the whip and the city is going to lick their boot up one side and down the other.
[13:51.000 --> 14:01.000]  But the yuppies didn't like watching all the number 10 trophy wives and the trophy mistresses packing it in and off those helicopters, not from the airport out to F one.
[14:01.000 --> 14:09.000]  No, no, no, no, no. No, no, no, no, no. They're flying around if they want to go get a hamburger.
[14:09.000 --> 14:24.000]  And of course, you know, all these make believe elitist nobody was that run the local crime syndicate. You know, they liked going down to the they like going to the hotels and the steak houses feel like they're the biggest guy in town.
[14:24.000 --> 14:33.000]  They don't like seeing multi billionaires that have trillions and leverage fraud money. They're really trillionaires, but it's all fraudulent. Don't worry. We've been signed on to it by by by the criminal class.
[14:33.000 --> 14:37.000]  See the low level criminal class that thinks they're the biggest game in town.
[14:37.000 --> 14:54.000]  Well, who Lordy they don't like seeing Euro trash their bosses. Okay, you know what? I'm already covering F one, aren't I? But I thought later I'd show you some of the news articles where Eccleston gave $3 billion to one of his daughters this year as a gift.
[14:54.000 --> 15:08.000]  Oh, here, here, baby. And she's got the biggest mansion in the US out in California. And then her sister's got the second biggest mansion, which by the way, you paid for it all over the world. Governments paid for the tracks and gave them tax exemption.
[15:08.000 --> 15:19.000]  You paid for it schmucks. I paid for it. I'm a but at least I know I'm getting raped. You know what I mean? So all that trash right now is out there at their stupid race.
[15:19.000 --> 15:34.000]  It's all real funny. And now all the sucker, yuppie city council class, local governing class, you're all just going to get shoved aside because the globalists are taking Austin over and you're going to have to sit there with your trophy wife when she shoved
[15:34.000 --> 15:55.000]  aside standing in the line at the bar, not getting in. Go drink some fluoride, you scumbag city council. All right, we're going to come back and tell you about the giant roll out of a new huge war, Israel Gaza, shelling going back between Israel and Egypt, missiles coming out of Egypt.
[15:55.000 --> 16:00.000]  It's all going down. We're going to break it down straight ahead.
[16:00.000 --> 16:08.000]  Sick of the globalist, you Genesis control freaks, adding poison to your water and laughing as you get sick and die. Start purifying your water with pro pure.
[16:08.000 --> 16:17.000]  My friends, I've done a lot of research and the best gravity filter out there bar none is pro pure and it's available discounted at info wars.com.
[16:17.000 --> 16:31.000]  Its filters are silver and pregnant to prevent bacterial growth. There's no priming required. It's NSF 42 certified optional fluoride filters can reduce fluoride up to 95% easy to set up and use doesn't require electricity.
[16:31.000 --> 16:41.000]  Purify water from lake streams, ponds and wells. This filter system leaves in beneficial minerals, which is key. Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[16:41.000 --> 16:49.000]  Pro pure is the best gravity fed filter out there. It's what my family uses info wars.com already has the lowest price on pro pure.
[16:49.000 --> 16:59.000]  But if you add the promo code water at checkout, you get an additional 10% off and info wars.com. You can also call the order 888-253-3139.
[16:59.000 --> 17:14.000]  Millions of people are going to get sick this winter from cold slews and other illnesses. Make sure you're not one of them. Supernatural silver is a new technology that is highly effective against the germs bacteria and fungus that can breed in your chest, throat and sinuses.
[17:14.000 --> 17:31.000]  Kill off these germs and allow your immune system to become stronger with supernatural silver, a powerful new silver solution that is several hundred times more effective than colloidal or ionic silvers. Supernatural silver can be taken daily for prevention and will not create resistant bacteria.
[17:31.000 --> 17:47.000]  It is non toxic and is proven to be effective against many of the most serious diseases out there today, such as resistant staph, strep, pneumonia, viruses and flus. Supernatural silver is a safe and effective way to fight pathogens where antibiotics and other drugs fail.
[17:47.000 --> 18:02.000]  Have it on hand for any emergency. Go to www.supernaturalsilver.com today and use the promo code alexays for 20% off and like us on Facebook.
[18:02.000 --> 18:21.000]  If you want an American company with American products made by Americans, here is the Calben soap company. Alex and his staff have used these pure soap products for years. These all natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe.
[18:21.000 --> 18:40.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog. Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soaps for all your cleaning needs.
[18:40.000 --> 18:47.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[18:47.000 --> 18:59.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[19:17.000 --> 19:28.000]  I just doubled down and got even more supplies from eFoods Direct and I recommend you do the same. It's GMO free with no hydrogenated oils and has a 25 year shelf life. It's time to get your own supply from eFoods Direct.
[19:28.000 --> 19:35.000]  I know I won't be standing in a bread line trading my freedom for food. I'm taking control of my future and you're nuts if you don't do the same.
[19:35.000 --> 19:50.000]  Go to eFoodsDirect.com forward slash Alex to find the specials and you can start with a holiday gift pack that's normally $80 now under $50. Remember I can warn you but I can't feed you. Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[19:50.000 --> 20:01.000]  Would you rather prepare six months too early or one day too late? Or 095633 or eFoodsDirect.com forward slash Alex.
[20:01.000 --> 20:10.000]  Coast to coast. Direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[20:10.000 --> 20:28.000]  We now take you live to the Central Texas Command Center and the heart of the Resistance. You're listening to the Alex Jones show.
[20:28.000 --> 20:43.000]  Yeah, the globalists are in my city right now. In fact, they say more mega bankers, more hedge fund hyenas, more vulture scammers go to F1 racing at any other event.
[20:43.000 --> 20:53.000]  And that for days before and days after they come in and have their political meetings. In fact, a lot of times they'll be mysterious murders and things that go on.
[20:53.000 --> 21:03.000]  Kind of like one of these guys, the founder of Nasdaq, Bernie Madoff, you may have heard of him. His son committed suicide. Yeah, sure.
[21:03.000 --> 21:10.000]  And there are big oceans in the middle of this Sahara Desert. Those aren't mirages. And now his accountant blew his head off over the weekend.
[21:10.000 --> 21:16.000]  He's committed suicide. The New Jersey police said that. And again, if you believe that, I got a bridge. I'm ready to sell you on the moon.
[21:16.000 --> 21:25.000]  Here it is. London Telegraph. World needs 100 trillion more credit says World Economic Forum. That's the London Telegraph. And they say they want it through carbon taxes.
[21:25.000 --> 21:34.000]  And they say they want it. Not just from carbon taxes right here in this article, but they want it from VAT. And what is Obama getting ready to propose?
[21:34.000 --> 21:47.000]  Bloomberg AP are reporting. Oh, trillions more in taxes to pay foreign banks to pay off their derivatives that our government signed on to. That's not our debt.
[21:47.000 --> 21:59.000]  So they can fly around until three a.m. in the morning where I live, visiting different prostitutes until two, three in the morning, 50 helicopters in the air.
[21:59.000 --> 22:08.000]  Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah. Folks, you can't have if you had a bar on 6th Street in the bar district, you can't have your music on anymore.
[22:08.000 --> 22:16.000]  Because because the city is so tyrannical, you can't have music that's loud in in the rock and roll district. But if you want to land helicopters everywhere, you can.
[22:16.000 --> 22:23.000]  I'm sorry. I've got world news to cover. It's just having the scum here. I mean, I'm walking in. There's helicopters everywhere.
[22:23.000 --> 22:31.000]  And John Bell goes, How is it having the globalist flying over? And I'm like, Yeah, it's really irritating. It's one thing to go to Bilderberg or cover Davos.
[22:31.000 --> 22:44.000]  We send reporters to that. We're going to send more now. I mean, they've taken over my city. It just makes me want to throw up because these are the guys lobbying to have police states.
[22:44.000 --> 22:53.000]  These are the guys that laugh like Ben Affleck saying, Oh, I think I love the TSA quote, grabbing people's bleep on Bill Maher when he when he's been, you know, flies in a private jet.
[22:53.000 --> 23:01.000]  These are the people. At least at least he made his money in as an actor. The globalists made their money stealing mine in almost every case.
[23:01.000 --> 23:07.000]  And then they're the one setting a police state up. So they're safe from me when everything goes to hell in a handbasket.
[23:07.000 --> 23:15.000]  See, when criminals take over, they want a tyranny in place so they can get away with it. And now let me move to our top stories.
[23:15.000 --> 23:25.000]  As you know, if you're a listener or if you follow the news last Thursday, I called for the Second American Revolution to begin.
[23:25.000 --> 23:41.000]  And I said it is a peaceful, nonviolent, through the Declaration of Independence, the states have to pull out and then announce that they are using the succession power that's in the Declaration of Independence in the Constitution and the Bill of Rights in the 10th and 9th Amendment, folks.
[23:41.000 --> 23:45.000]  Read them to pull out of the hijacked federal government.
[23:45.000 --> 23:57.000]  And I have articles right here in my stack where the globalist brag, in fact, we'll put some of these on screen, just put the headline in, bankers brag they've conquered the U.S. and Europe.
[23:57.000 --> 24:07.000]  And it's full of dozens and dozens and dozens of links to world leaders on video and our own leaders saying we've been conquered by foreign banks and they run things.
[24:07.000 --> 24:18.000]  So, the federal government's been conquered. What is our redress? The states created the federal government? The states, just like mommy and daddy, have the child, the child's being bad.
[24:18.000 --> 24:25.000]  You ground them, you spank them, you discipline them. Again, bankers declare U.S. and Europe conquered. World government now an open secret.
[24:25.000 --> 24:31.000]  With countless video links to the head of the EU saying it, the head of the EU central bank was part of the Federal Reserve.
[24:31.000 --> 24:38.000]  CNBC admits we're all slaves to central bankers. I can play these clips again. In fact, later in the week, I want to do another report.
[24:38.000 --> 24:44.000]  We just showed dozens of clips of them saying it because it's one thing to have an article. I want to put all the clips together, guys.
[24:44.000 --> 24:50.000]  Maybe even for like the Tuesday radio show so people can hear maybe 30 minutes of New World Order clips.
[24:50.000 --> 24:56.000]  I know on one of those hard drives, we've got over 200. 200 world leaders saying we're under world government. Get used to it.
[24:56.000 --> 25:07.000]  And it's world government where fraudsters, Ponzi scheme operators create thousands of trillions of fake garbage, more than all the wealth in the world, many times over.
[25:07.000 --> 25:18.000]  And then get everybody to sign on to it. Because the governments can be bought, these politicians for a couple hundred thousand locally, a million federally a lot of times.
[25:18.000 --> 25:24.000]  I mean, you look at the amounts of money and they're like, here, I'll give you some of this fake stuff. Here, I'll give you some of this thin air.
[25:24.000 --> 25:33.000]  Oh, yes, sir, I want that. Let's see, because the Ponzi scheme guys are in control, that thin air is taken as real. They have an Aladdin's lamp.
[25:33.000 --> 25:42.000]  And they're eugenicists who want to take over the world through fraud and then reduce your population numbers so they can have the world of themselves.
[25:42.000 --> 25:53.000]  I mean, that's their ideology. That's they believe in. And so all this is going on. And I'm calling for really getting serious because you're not going to polish
[25:53.000 --> 26:15.000]  a giant pile of stinking New World Order dragon manure that is the hijacked captured. Those aren't terms. Those aren't just embellishments to be used as hyperbole as some type of fancy nomenclature to tickle your ears, to over describe something.
[26:15.000 --> 26:28.000]  They brag. We've been concord. They brag. They brag. So you take that to grand juries. You take that to your city councils. You take that to your county commissioners.
[26:28.000 --> 26:38.000]  You take that to your state houses so that the general population knows, as Paul Revere did, to arms to arms, the red coats are coming to arms to arms, the British are coming.
[26:38.000 --> 26:51.000]  And who are the British, the big mercantile, fractional reserve banking, money manipulating derivatives, creating modern derivatives were first used over 200 years ago in England and then banned for a long time.
[26:51.000 --> 27:02.000]  Because it's not just where a mega bank can have $1 or one pound or one shilling or one Frank or one Shekel or one Rubel or one Yon or one Yen on deposit and loan ten out.
[27:02.000 --> 27:16.000]  That's generally the rule. Bankers like to keep. If you don't want to go like Mexico or other countries that have Weimar type hyperinflation, Zimbabwe currently, you know, where it takes a trillion dollars Zimbabwe and to buy a piece of bread, literally.
[27:16.000 --> 27:27.000]  In some cases it's like $40 trillion or something to buy a piece of bread or a sandwich. So that's the issue that we're talking about.
[27:27.000 --> 27:32.000]  This is what we're dealing with here today, ladies and gentlemen.
[27:32.000 --> 27:38.000]  And that's who runs us. And that's why all this is happening. That's why we're going into a police state.
[27:38.000 --> 27:44.000]  That's why the globalists are above the law. You look at the big mega banks that launder the money and create the derivatives and all this.
[27:44.000 --> 27:54.000]  They're the ones running the narcotics. They get caught and don't get in trouble. Oh Wells Fargo, you got caught laundering $378 billion, $376 billion.
[27:54.000 --> 28:07.000]  AP Reuters, you name it. You're not in trouble. Oh, you want to pay $100 million fine here? Oh, you mean I'm walking down to the bank with hundreds of billions and I got to give you $100 million.
[28:07.000 --> 28:15.000]  And that's like, you mean I'm stealing a million. I got to give you $5,000. Okay, I guess so. You showed me not even a slap on the hand.
[28:15.000 --> 28:24.000]  It's like a nickel tip to the bankers. Minions that the government, because they know the public so stupid 110 million sounds like a lot of money.
[28:24.000 --> 28:34.000]  That was the actual number. And they were running the aircraft along with Wachovia and everything. The military bases, national security.
[28:34.000 --> 28:43.000]  All national security is a license to kill, steal and destroy. Giant underground bases, huge air bases. And the military's been caught hundreds of times shipping in drugs.
[28:43.000 --> 28:50.000]  Now they fly kids in and out. They have contractors that do it. Your kid gets grabbed out of the backyard, throwing a flight to Saudi Arabia.
[28:50.000 --> 29:17.000]  You better hope the crown prince. You know what? I'm going to come right back, ladies and gentlemen. Stay with us. All that scums here in town, too.
[29:21.000 --> 29:29.000]  It's like having an electrical power plant running quietly in your own home. Run sump pumps, shortwave radios, computers and even keep your food from spoiling.
[29:29.000 --> 29:35.000]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[29:35.000 --> 29:43.000]  And here's the best news. A remarkable fall truckload sale is going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[29:43.000 --> 29:51.000]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[29:51.000 --> 30:00.000]  That's falltruckloadsale.com. Generate your own supply of electricity. Go to falltruckloadsale.com. That's falltruckloadsale.com.
[30:00.000 --> 30:11.000]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[30:11.000 --> 30:22.000]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[30:22.000 --> 30:30.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere for any application.
[30:30.000 --> 30:37.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[30:37.000 --> 30:42.000]  This product was designed to be an invaluable part of your vital preparations.
[30:42.000 --> 30:54.000]  For a detailed report on the differences between ionic silver, colloidal silver and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com
[30:54.000 --> 31:00.000]  for more information on why you should be producing your own silver solutions right from your home forever.
[31:00.000 --> 31:07.000]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[31:07.000 --> 31:09.000]  Renowned author and expert Joel Scalzen.
[31:09.000 --> 31:14.000]  The U.S. isn't building huge underground bases and bunkers because of some terrorist threat.
[31:14.000 --> 31:18.000]  They know that a massive nuclear attack is coming. They want that attack to come.
[31:18.000 --> 31:25.000]  Joel Scalzen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[31:25.000 --> 31:32.000]  What I tell people is that you do have time. We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[31:32.000 --> 31:40.000]  My personal experience about being in every one of these states, most people won't even be ready and won't be able to get out of town because there will be absolute panic.
[31:40.000 --> 31:46.000]  There is no preparedness without strategy. This Christmas, give the gift of preparedness.
[31:46.000 --> 31:50.000]  Strategic relocation of the film with Joel Scalzen and Alex Jones.
[31:50.000 --> 31:59.000]  Available only at infowarshop.com or by calling 888-253-3139.
[31:59.000 --> 32:02.000]  Have you ever wanted to generate your own supply of electrical power?
[32:02.000 --> 32:04.000]  Even save money on your electric bill?
[32:04.000 --> 32:08.000]  If so, this could be one of the most important messages you will ever hear.
[32:08.000 --> 32:10.000]  Solar power generators are now available.
[32:10.000 --> 32:14.000]  These emergency backup systems provide life-saving electrical power.
[32:14.000 --> 32:20.000]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[32:20.000 --> 32:24.000]  It's like having an electrical power plant running quietly in your own home.
[32:24.000 --> 32:29.000]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[32:29.000 --> 32:34.000]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[32:34.000 --> 32:36.000]  And here's the best news.
[32:36.000 --> 32:43.000]  A remarkable fall truckload sale is going on right now that gets you $1,700 in bonuses when you buy a solar generator
[32:43.000 --> 32:49.000]  and find out why these solar generators are the best generators and get $1,700 in bonuses for doing so.
[32:49.000 --> 32:51.000]  Go to falltruckloadsale.com.
[32:51.000 --> 32:53.000]  That's falltruckloadsale.com.
[32:53.000 --> 32:55.000]  Generate your own supply of electricity.
[32:55.000 --> 32:57.000]  Go to falltruckloadsale.com.
[32:57.000 --> 33:23.000]  That's falltruckloadsale.com.
[33:23.000 --> 33:29.000]  All right, now that I've broken down who we're dealing with and who runs our country and our world through fraud,
[33:29.000 --> 33:35.000]  now that I've put out the fact that I'm calling for the states to pull out of the corrupt federal government
[33:35.000 --> 33:39.000]  because it's illegitimate and reconstituted, and I'm going to talk about that more in the next hour
[33:39.000 --> 33:43.000]  when I play excerpts of Ron Paul's farewell speech, I want to make it clear,
