[00:00.000 --> 00:02.000]  Assume, impeach him.
[02:00.000 --> 02:02.000]  and they get double pensions.
[02:02.000 --> 02:04.000]  These are not the same guys when the 90s and 80s
[02:04.000 --> 02:06.000]  worked for Bush and Reagan
[02:06.000 --> 02:08.000]  who really sacrificed their lives.
[02:08.000 --> 02:10.000]  These are guys who earned their pensions,
[02:10.000 --> 02:12.000]  remained there, and really had never been
[02:12.000 --> 02:14.000]  in the outside world.
[02:14.000 --> 02:16.000]  So I want this president to keep on attacking me
[02:16.000 --> 02:18.000]  and you and the American public
[02:18.000 --> 02:20.000]  to come out with more and more stupidity
[02:20.000 --> 02:22.000]  underneath it all.
[02:22.000 --> 02:24.000]  He's not just a liar. He knows he's a sociopath.
[02:24.000 --> 02:26.000]  He knows that from the day he was born,
[02:26.000 --> 02:28.000]  he's a sociopath.
[02:28.000 --> 02:30.000]  You don't get to be president of the United States
[02:30.000 --> 02:32.000]  unless you want to manipulate that he's even lying.
[02:32.000 --> 02:34.000]  But this is not a man who's basically all that bright
[02:34.000 --> 02:36.000]  in the same way Condoleezza was not very bright.
[02:36.000 --> 02:38.000]  We know Bush Jr. was stupid.
[02:38.000 --> 02:40.000]  Clinton was very bright,
[02:40.000 --> 02:42.000]  but he's a bright liar.
[02:42.000 --> 02:44.000]  This man is not even a bright liar.
[02:44.000 --> 02:46.000]  But now an entire country
[02:46.000 --> 02:48.000]  has voiced its concern.
[02:48.000 --> 02:50.000]  John Schindler, a security expert
[02:50.000 --> 02:52.000]  and whistleblower who now
[02:52.000 --> 02:54.000]  writes for the Daily Beast,
[02:54.000 --> 02:56.000]  has claimed that a senior EU official
[02:56.000 --> 02:58.000]  from an undisclosed country
[02:58.000 --> 03:00.000]  also inquired about the impeachment proceedings,
[03:00.000 --> 03:02.000]  saying that
[03:02.000 --> 03:04.000]  the nation believes Obama
[03:04.000 --> 03:06.000]  is not fit for office.
[03:06.000 --> 03:08.000]  Schindler tweeted out the revelation Monday.
[03:08.000 --> 03:10.000]  It read,
[03:10.000 --> 03:12.000]  had a senior EU diplomat,
[03:12.000 --> 03:14.000]  old friend ask me today,
[03:14.000 --> 03:16.000]  how does your impeachment work?
[03:16.000 --> 03:18.000]  The government believes Obama
[03:18.000 --> 03:20.000]  is quite mentally unwell.
[03:20.000 --> 03:22.000]  In fact, the submissive,
[03:22.000 --> 03:24.000]  domesticated Obama supporters at this point
[03:24.000 --> 03:26.000]  have to be suffering
[03:26.000 --> 03:28.000]  varying degrees of psychosis.
[03:28.000 --> 03:30.000]  You would have to be delusional
[03:30.000 --> 03:32.000]  to ignore Obama's shrouded upbringing
[03:32.000 --> 03:34.000]  by communist Muslims.
[03:34.000 --> 03:36.000]  His former identity is very so tarot
[03:36.000 --> 03:38.000]  and Indonesian foreign exchange student
[03:38.000 --> 03:40.000]  with confidential college records
[03:40.000 --> 03:42.000]  that rose to prominence
[03:42.000 --> 03:44.000]  traversing Marxist socialist circles
[03:44.000 --> 03:46.000]  catapulted into the political landscape
[03:46.000 --> 03:48.000]  due to funds provided by
[03:48.000 --> 03:50.000]  shadowy foreign backers
[03:50.000 --> 03:52.000]  and New World Order strategist
[03:52.000 --> 03:54.000]  George Soros.
[03:54.000 --> 03:56.000]  President Obama has now shown
[03:56.000 --> 03:58.000]  almost all of the cards in his hand
[03:58.000 --> 04:00.000]  after decimating the US military
[04:00.000 --> 04:02.000]  aiding and abetting the assault of the US Constitution,
[04:02.000 --> 04:04.000]  increasing our national debt,
[04:04.000 --> 04:06.000]  creating a mandatory
[04:06.000 --> 04:08.000]  healthcare tax to destroy the middle class,
[04:08.000 --> 04:10.000]  engaging in divide
[04:10.000 --> 04:12.000]  and conquer leadership,
[04:12.000 --> 04:14.000]  overseeing the policies and trade deals
[04:14.000 --> 04:16.000]  that serve as a Trojan horse
[04:16.000 --> 04:18.000]  for an emerging, corporatic,
[04:18.000 --> 04:20.000]  global government.
[04:20.000 --> 04:22.000]  You would have to be mentally ill
[04:22.000 --> 04:24.000]  to oppose prosperity.
[04:24.000 --> 04:26.000]  Humanity has an unlimited potential,
[04:26.000 --> 04:28.000]  massively overshadowing the potential
[04:28.000 --> 04:30.000]  of the New World Order beast's
[04:30.000 --> 04:32.000]  technocratic eugenics plan.
[04:32.000 --> 04:34.000]  Our sovereign individual national
[04:34.000 --> 04:36.000]  identities have to be maintained
[04:36.000 --> 04:38.000]  and developed.
[04:38.000 --> 04:40.000]  It is only through this method of human innovation
[04:40.000 --> 04:42.000]  that all of our greatest
[04:42.000 --> 04:44.000]  and sanest achievements
[04:44.000 --> 04:46.000]  have been obtained.
[04:46.000 --> 04:48.000]  John Bowne
[04:48.000 --> 04:50.000]  John Bowne
[04:50.000 --> 04:52.000]  deserves a Peabody
[04:52.000 --> 04:54.000]  or something for the reporting he does.
[04:54.000 --> 04:56.000]  He is just absolutely amazing.
[04:56.000 --> 04:58.000]  I've got some news so devastating
[04:58.000 --> 05:00.000]  that I can hardly even cover it
[05:00.000 --> 05:02.000]  when we come back. Seriously.
[05:02.000 --> 05:04.000]  Indiana Sheriff Brad Rogers
[05:04.000 --> 05:06.000]  made his stance on the Second Amendment clear
[05:06.000 --> 05:08.000]  during a recent interview.
[05:08.000 --> 05:10.000]  My mama today said
[05:10.000 --> 05:12.000]  I'm creating an executive order
[05:12.000 --> 05:14.000]  that all sheriffs and police chiefs
[05:14.000 --> 05:16.000]  around this nation need to start
[05:16.000 --> 05:18.000]  registering firearms. I will disregard it.
[05:18.000 --> 05:20.000]  Presidential candidate Jim Webb
[05:20.000 --> 05:22.000]  defended the Second Amendment rights of Americans
[05:22.000 --> 05:24.000]  during the first Democratic debate
[05:24.000 --> 05:26.000]  and he actually called out his fellow politicians
[05:26.000 --> 05:28.000]  on their hypocrisy.
[05:28.000 --> 05:30.000]  There are people at high levels
[05:30.000 --> 05:32.000]  in this government who have bodyguards.
[05:32.000 --> 05:34.000]  24 hours a day,
[05:34.000 --> 05:36.000]  7 days a week.
[05:36.000 --> 05:38.000]  Every American does not have that
[05:38.000 --> 05:40.000]  and deserves the right to be able to protect
[05:40.000 --> 05:42.000]  their family.
[05:42.000 --> 05:44.000]  And Webb's point echoes recent comments
[05:44.000 --> 05:46.000]  made by media pioneer Matt Drudge.
[05:46.000 --> 05:48.000]  I challenge Hillary,
[05:48.000 --> 05:50.000]  take away your secret service, dismiss them.
[05:50.000 --> 05:52.000]  I dare you, Obama, same thing.
[05:52.000 --> 05:54.000]  Leave the White House unguarded, Obama.
[05:54.000 --> 05:56.000]  You know what would happen in 30 seconds?
[05:56.000 --> 05:58.000]  Both of those people would no longer be on planet Earth.
[05:58.000 --> 06:08.000]  Read more now at infowars.com.
[06:28.000 --> 06:30.000]  888-253-3139.
[06:58.000 --> 07:00.000]  Alex Jones here to tell you about how
[07:00.000 --> 07:02.000]  you can help spread liberty worldwide
[07:02.000 --> 07:04.000]  while also enjoying what I have found
[07:04.000 --> 07:06.000]  to be the best tasting 100% organic
[07:06.000 --> 07:08.000]  coffee on the planet.
[07:08.000 --> 07:10.000]  For more than a decade,
[07:10.000 --> 07:12.000]  my favorite coffee has come from the
[07:12.000 --> 07:14.000]  high mountains of southern Mexico
[07:14.000 --> 07:16.000]  where the Chiapas farmers grow their unique
[07:16.000 --> 07:18.000]  shade-grown Arabica beans.
[07:18.000 --> 07:20.000]  We have now managed to secure
[07:20.000 --> 07:22.000]  the sought-after beans in a highly customized blend.
[07:22.000 --> 07:24.000]  Discover and try a bag
[07:24.000 --> 07:26.000]  of the Patriot blend
[07:26.000 --> 07:28.000]  100% organic coffee
[07:28.000 --> 07:30.000]  at infowarslife.com.
[07:30.000 --> 07:32.000]  This coffee gives you a long,
[07:32.000 --> 07:34.000]  smooth pick-me-up for hours
[07:34.000 --> 07:36.000]  without the headaches and heartburn
[07:36.000 --> 07:38.000]  that so many other coffees give me personally.
[07:38.000 --> 07:40.000]  Hands down, this is my favorite coffee
[07:40.000 --> 07:42.000]  and it's taken us years to secure connections
[07:42.000 --> 07:44.000]  directly to the Chiapas Mexican farmers.
[07:44.000 --> 07:46.000]  Dropped by the site today, order a bag or two
[07:46.000 --> 07:48.000]  and I don't think you're going to be disappointed.
[07:48.000 --> 07:50.000]  Available in original
[07:50.000 --> 07:52.000]  or with our immune support infusion blend.
[07:52.000 --> 07:54.000]  You will be supporting a free press
[07:54.000 --> 07:56.000]  all the while enjoying a truly
[07:56.000 --> 07:58.000]  great tasting cup of my favorite coffee.
[07:58.000 --> 08:24.000]  Available at infowarslife.com.
[08:24.000 --> 08:28.000]  Ladies and gentlemen, it is Thursday, the 15th
[08:28.000 --> 08:30.000]  of October, 2015.
[08:30.000 --> 08:32.000]  I'm your host, Alex Jones
[08:32.000 --> 08:34.000]  and we have a very full broadcast today.
[08:34.000 --> 08:36.000]  But many times when I come in here
[08:36.000 --> 08:38.000]  and go over the news that I'm going to be covering,
[08:38.000 --> 08:40.000]  there is a dizzying feeling
[08:40.000 --> 08:42.000]  because there's so much.
[08:42.000 --> 08:44.000]  Like what's important news
[08:44.000 --> 08:46.000]  versus what's just sensational
[08:46.000 --> 08:48.000]  and interesting.
[08:48.000 --> 08:50.000]  I'm going to go through
[08:50.000 --> 08:54.000]  what's important news versus what's just sensational
[08:54.000 --> 08:56.000]  and interesting.
[08:56.000 --> 08:58.000]  And sometimes things are really important
[08:58.000 --> 09:00.000]  but they're also sensational.
[09:02.000 --> 09:04.000]  And I've talked a lot about this 15 years ago
[09:04.000 --> 09:06.000]  I might have one over the top
[09:06.000 --> 09:08.000]  insane story out of 100.
[09:08.000 --> 09:10.000]  Now I've probably got
[09:10.000 --> 09:12.000]  75 out of 200 articles
[09:12.000 --> 09:14.000]  that are just so over the top
[09:14.000 --> 09:16.000]  I can't even believe it.
[09:16.000 --> 09:18.000]  And then
[09:18.000 --> 09:20.000]  every few months
[09:20.000 --> 09:22.000]  the past was every few years
[09:22.000 --> 09:24.000]  but now it's over a few months
[09:24.000 --> 09:26.000]  a group of stories come together
[09:28.000 --> 09:30.000]  and with my knowledge
[09:30.000 --> 09:32.000]  and understanding
[09:32.000 --> 09:34.000]  of governmental systems worldwide
[09:34.000 --> 09:36.000]  but particularly here in the United States
[09:40.000 --> 09:42.000]  the tumblers basically click into place
[09:42.000 --> 09:44.000]  the safe door opens
[09:44.000 --> 09:46.000]  and you can really see what's inside.
[09:50.000 --> 09:52.000]  And a group of stories the last two weeks
[09:52.000 --> 09:54.000]  come together in a confluence
[09:58.000 --> 10:00.000]  that is so important
[10:06.000 --> 10:08.000]  I am having trouble
[10:08.000 --> 10:10.000]  feeling even worthy
[10:10.000 --> 10:12.000]  to try to describe to you
[10:14.000 --> 10:16.000]  how absolutely confirming
[10:16.000 --> 10:18.000]  this is
[10:18.000 --> 10:20.000]  and it shakes me
[10:20.000 --> 10:22.000]  to my absolute
[10:22.000 --> 10:24.000]  core.
[10:30.000 --> 10:32.000]  In fact this news is so important
[10:32.000 --> 10:34.000]  that when I saw it this morning
[10:34.000 --> 10:36.000]  before the show
[10:36.000 --> 10:38.000]  and it connected into everything else
[10:38.000 --> 10:40.000]  and it connected into everything else
[10:40.000 --> 10:42.000]  we already know
[10:46.000 --> 10:48.000]  I
[10:48.000 --> 10:50.000]  almost went
[10:50.000 --> 10:52.000]  to David Knight's office
[10:52.000 --> 10:54.000]  and said please put on your sports jacket
[10:54.000 --> 10:56.000]  grab all the news you're researching
[10:56.000 --> 10:58.000]  you're doing the show
[11:00.000 --> 11:02.000]  so that I could get
[11:02.000 --> 11:04.000]  with Paul Watson or myself
[11:04.000 --> 11:06.000]  in a word processor
[11:06.000 --> 11:08.000]  and pull all these links together
[11:08.000 --> 11:10.000]  put this together write an article
[11:10.000 --> 11:12.000]  put out an emergency alert
[11:12.000 --> 11:14.000]  and really make a big deal out of it
[11:14.000 --> 11:16.000]  because if I just come up here
[11:16.000 --> 11:18.000]  at the start of the show
[11:18.000 --> 11:20.000]  and mention some of these stories
[11:20.000 --> 11:22.000]  and
[11:22.000 --> 11:24.000]  tell everybody it's really important
[11:24.000 --> 11:26.000]  and tell everybody please get this information out
[11:28.000 --> 11:30.000]  it won't go viral
[11:32.000 --> 11:34.000]  if I
[11:34.000 --> 11:36.000]  say we've got a big announcement in a couple days
[11:36.000 --> 11:38.000]  and I build it up
[11:38.000 --> 11:40.000]  which I don't do that folks
[11:42.000 --> 11:44.000]  I always say coming up and I'll just tell you right then
[11:44.000 --> 11:46.000]  what the news is because I just want to get it out
[11:52.000 --> 11:54.000]  so what I am here trying to do
[11:54.000 --> 11:56.000]  is make a big deal out of this
[11:56.000 --> 11:58.000]  and really get people
[11:58.000 --> 12:00.000]  who are lost in the haze of all the news
[12:00.000 --> 12:02.000]  myself included I'm not on some
[12:02.000 --> 12:04.000]  high mountain here
[12:06.000 --> 12:08.000]  that we can really look
[12:08.000 --> 12:10.000]  at the situation we're in
[12:10.000 --> 12:12.000]  and really see that the worst
[12:12.000 --> 12:14.000]  case scenario
[12:14.000 --> 12:16.000]  analyses that we've come up with
[12:16.000 --> 12:18.000]  and many others have now come up with
[12:18.000 --> 12:20.000]  concurrent breakdowns basically
[12:22.000 --> 12:24.000]  is so
[12:24.000 --> 12:26.000]  horrible
[12:26.000 --> 12:30.000]  and it confirms our worst
[12:30.000 --> 12:32.000]  our worst
[12:32.000 --> 12:34.000]  not fears our worst
[12:34.000 --> 12:36.000]  long term projections
[12:36.000 --> 12:38.000]  because we're not long term projecting now
[12:38.000 --> 12:40.000]  we're in 2015
[12:46.000 --> 12:48.000]  I am not
[12:50.000 --> 12:52.000]  trying to be dramatic here
[12:52.000 --> 12:56.000]  this is dramatic
[13:00.000 --> 13:02.000]  Richard walked in this morning
[13:04.000 --> 13:06.000]  and he said
[13:06.000 --> 13:08.000]  you know you've been
[13:08.000 --> 13:10.000]  covering
[13:10.000 --> 13:12.000]  the safe cities initiative
[13:12.000 --> 13:14.000]  and the UN treaty
[13:14.000 --> 13:16.000]  we know it's tied to the TPP
[13:16.000 --> 13:18.000]  on law enforcement
[13:18.000 --> 13:20.000]  here's the headline
[13:20.000 --> 13:22.000]  from a few weeks ago
[13:22.000 --> 13:24.000]  Obama administration and UN
[13:24.000 --> 13:26.000]  announced global police force
[13:26.000 --> 13:28.000]  to fight extremism in US
[13:30.000 --> 13:32.000]  now we have this new article out today
[13:32.000 --> 13:34.000]  from UPI that no one
[13:34.000 --> 13:36.000]  is covering
[13:36.000 --> 13:38.000]  just department creates
[13:38.000 --> 13:40.000]  domestic terrorism unit
[13:44.000 --> 13:46.000]  and then we have their press releases
[13:46.000 --> 13:48.000]  on it and we have an hour and a half
[13:48.000 --> 13:50.000]  video
[13:50.000 --> 13:52.000]  that we are watching and going over
[13:52.000 --> 13:54.000]  with the Southern Poverty Law Center
[13:56.000 --> 13:58.000]  and the ADL
[13:58.000 --> 14:00.000]  basically running the justice department
[14:02.000 --> 14:04.000]  creating their own basically
[14:04.000 --> 14:06.000]  Bolshevik police force
[14:06.000 --> 14:08.000]  and they say
[14:10.000 --> 14:12.000]  and they link to
[14:12.000 --> 14:14.000]  the previous Homeland Security reports
[14:14.000 --> 14:16.000]  that we
[14:16.000 --> 14:18.000]  received and leaked
[14:18.000 --> 14:20.000]  years ago
[14:20.000 --> 14:22.000]  five different ones
[14:22.000 --> 14:24.000]  saying that the number one terror enemy
[14:24.000 --> 14:26.000]  is patriots, veterans, gun owners,
[14:26.000 --> 14:28.000]  conservatives, libertarians
[14:28.000 --> 14:30.000]  and saying
[14:32.000 --> 14:34.000]  that they are going to
[14:34.000 --> 14:36.000]  federalize local police
[14:36.000 --> 14:38.000]  and make their main mission
[14:38.000 --> 14:40.000]  persecuting veterans
[14:40.000 --> 14:42.000]  returning veterans, gun owners,
[14:42.000 --> 14:44.000]  veterans
[14:44.000 --> 14:46.000]  and you see the beginnings
[14:46.000 --> 14:48.000]  of it
[14:48.000 --> 14:50.000]  with 15 people charged in Georgia
[14:50.000 --> 14:52.000]  for being at a park
[14:52.000 --> 14:54.000]  with rebel
[14:54.000 --> 14:56.000]  battle flags and American flags
[14:56.000 --> 14:58.000]  and in the indictment
[14:58.000 --> 15:00.000]  which is again at the state level
[15:00.000 --> 15:02.000]  but the feds are involved
[15:02.000 --> 15:04.000]  it says the flags
[15:04.000 --> 15:06.000]  were threatening
[15:06.000 --> 15:08.000]  and
[15:10.000 --> 15:12.000]  and you add all this together
[15:12.000 --> 15:14.000]  they are intending
[15:18.000 --> 15:20.000]  to start a war
[15:20.000 --> 15:22.000]  in the United States with the American people
[15:22.000 --> 15:24.000]  they will
[15:24.000 --> 15:26.000]  guaranteed stage false flags
[15:26.000 --> 15:28.000]  to be blamed on us
[15:28.000 --> 15:30.000]  and they will guaranteed
[15:32.000 --> 15:34.000]  try to round up
[15:34.000 --> 15:36.000]  the Americans in mass
[15:36.000 --> 15:38.000]  they are moving to do it
[15:38.000 --> 15:40.000]  I know in my gut and I can see all the facts
[15:40.000 --> 15:42.000]  they intend to do it
[15:42.000 --> 15:44.000]  there is no doubt now
[15:44.000 --> 15:46.000]  they are insane
[15:46.000 --> 15:48.000]  they are going for broke
[15:48.000 --> 15:50.000]  they are crazy
[15:50.000 --> 15:52.000]  Hitler was crazy going into Russia
[15:52.000 --> 15:54.000]  Napoleon was crazy going into
[15:54.000 --> 15:56.000]  areas and places
[15:56.000 --> 15:58.000]  that he couldn't defeat
[16:00.000 --> 16:02.000]  this is the nature of power
[16:02.000 --> 16:04.000]  and we have megalomaniacs
[16:04.000 --> 16:06.000]  running the show
[16:06.000 --> 16:08.000]  that hate us the better cleaners
[16:08.000 --> 16:10.000]  they hate us because we don't commit crime
[16:10.000 --> 16:12.000]  at any rate that is measurable
[16:12.000 --> 16:14.000]  they hate us because we produce so much wealth
[16:14.000 --> 16:16.000]  they hate us because we are strong
[16:16.000 --> 16:18.000]  they hate us because we are good
[16:18.000 --> 16:20.000]  they hate us because they know
[16:20.000 --> 16:22.000]  that we are not criminals like them
[16:24.000 --> 16:26.000]  I told you that they were going
[16:26.000 --> 16:28.000]  to start indicting Republican leadership
[16:28.000 --> 16:30.000]  that was patriots
[16:30.000 --> 16:32.000]  and they wanted to have Rand Paul's staffers
[16:36.000 --> 16:38.000]  they are calling it payments for endorsements
[16:42.000 --> 16:44.000]  no the campaign for liberty
[16:44.000 --> 16:46.000]  other organizations that is what they do
[16:46.000 --> 16:48.000]  is they give money to libertarian candidates
[16:48.000 --> 16:50.000]  to build a movement
[16:50.000 --> 16:52.000]  and the republican and democratic parties
[16:52.000 --> 16:54.000]  have circled the wagons against
[16:54.000 --> 16:56.000]  the tea party because the tea party
[16:56.000 --> 16:58.000]  is taking over the republican party
[16:58.000 --> 17:00.000]  we have removed the speaker
[17:02.000 --> 17:04.000]  we are trying to get a good speaker in
[17:04.000 --> 17:06.000]  that would be like getting a good president in
[17:06.000 --> 17:08.000]  it is just as important
[17:08.000 --> 17:10.000]  just as important
[17:12.000 --> 17:14.000]  this is a quiet peaceful revolution
[17:14.000 --> 17:16.000]  trying to take our country back the right way
[17:16.000 --> 17:18.000]  and I am telling you right now
[17:18.000 --> 17:20.000]  Ron Paul is on next week
[17:20.000 --> 17:22.000]  but they are trying to find anything
[17:22.000 --> 17:24.000]  to indict
[17:24.000 --> 17:26.000]  Rand Paul
[17:26.000 --> 17:28.000]  Ron Paul
[17:28.000 --> 17:30.000]  Governor Abbott
[17:30.000 --> 17:32.000]  they have already indicted the Texas Attorney General
[17:32.000 --> 17:34.000]  I told you they got the feds on me
[17:36.000 --> 17:38.000]  why do you think Drudge was here
[17:38.000 --> 17:40.000]  Drudge has been told by Supreme Court Justice
[17:40.000 --> 17:42.000]  and others that it is coming
[17:44.000 --> 17:46.000]  they have been told
[17:46.000 --> 17:48.000]  this is white knuckle time folks
[17:52.000 --> 17:54.000]  and if they get away with indicting Rand Paul
[17:54.000 --> 17:56.000]  I told you they are real
[17:56.000 --> 17:58.000]  people want to bash them
[17:58.000 --> 18:00.000]  fake libertarian whisper campaigns against them all day long
[18:00.000 --> 18:02.000]  that is government run
[18:02.000 --> 18:04.000]  because they know they got our phones tapped
[18:04.000 --> 18:06.000]  they know our families
[18:06.000 --> 18:08.000]  they know we are for real
[18:08.000 --> 18:10.000]  they know we will go all the way
[18:10.000 --> 18:12.000]  we are the real deal folks
[18:12.000 --> 18:14.000]  and they know it
[18:14.000 --> 18:16.000]  and they have got
[18:16.000 --> 18:18.000]  the White House is ordering the FBI
[18:18.000 --> 18:20.000]  to find something
[18:20.000 --> 18:22.000]  they have been investigating me for two years
[18:22.000 --> 18:24.000]  the FBI for all its problems
[18:24.000 --> 18:26.000]  has a
[18:26.000 --> 18:28.000]  organizational resistance to the total destruction
[18:28.000 --> 18:30.000]  of the country
[18:30.000 --> 18:32.000]  and I was told about a year ago
[18:32.000 --> 18:34.000]  they were going to create a justice department
[18:34.000 --> 18:36.000]  special unit
[18:36.000 --> 18:38.000]  that will basically command local police forces
[18:38.000 --> 18:40.000]  and will take control
[18:40.000 --> 18:42.000]  of special units that they are creating
[18:42.000 --> 18:44.000]  within the ATF
[18:44.000 --> 18:46.000]  the BATF within the FBI
[18:46.000 --> 18:48.000]  within the hostage rescue team
[18:48.000 --> 18:50.000]  all of it
[18:50.000 --> 18:52.000]  this is the equivalent of a hitlerian brown shirt
[18:52.000 --> 18:54.000]  takeover
[18:54.000 --> 18:56.000]  in America
[18:58.000 --> 19:00.000]  and they are making their move with a coup
[19:00.000 --> 19:02.000]  inside the government
[19:02.000 --> 19:04.000]  to really take over
[19:04.000 --> 19:06.000]  they have got the central banks
[19:06.000 --> 19:08.000]  they have got the regulators
[19:08.000 --> 19:10.000]  they have got a lot of that in place
[19:10.000 --> 19:12.000]  but now they are creating
[19:12.000 --> 19:14.000]  the federal police
[19:14.000 --> 19:16.000]  political police NKVD
[19:16.000 --> 19:18.000]  style units
[19:18.000 --> 19:20.000]  and believe me
[19:20.000 --> 19:22.000]  its not just going to be indictments
[19:22.000 --> 19:24.000]  its not just going to be arrest
[19:24.000 --> 19:26.000]  they have obviously
[19:26.000 --> 19:28.000]  large assassination teams
[19:28.000 --> 19:30.000]  they have been
[19:30.000 --> 19:32.000]  canvassing the US military
[19:32.000 --> 19:34.000]  and mercenaries
[19:34.000 --> 19:36.000]  but there is
[19:36.000 --> 19:38.000]  a boycott within those groups
[19:38.000 --> 19:40.000]  to commit murders against patriots
[19:40.000 --> 19:42.000]  in the United States
[19:42.000 --> 19:44.000]  but they are canvassing
[19:44.000 --> 19:46.000]  and trying to line up
[19:46.000 --> 19:48.000]  large shadow government forces
[19:50.000 --> 19:52.000]  similar to how the Nazis
[19:52.000 --> 19:54.000]  tried to get Spendley Butler to have a coup
[19:54.000 --> 19:56.000]  well this isn't Nazis doing it
[19:56.000 --> 19:58.000]  its communists and big banks
[19:58.000 --> 20:00.000]  its just unbelievable
[20:00.000 --> 20:17.000]  most of us already know that taking a fish oil supplement to boost omega 3s is a good idea but did you know that about 60% of Americans are actually deficient in omega 3s did you know that most fish oil products contain only about 25% omega 3s and the remaining 75% is undesirable fish fat
[20:17.000 --> 20:31.000]  heck did you know that more than 90% of fish oil supplements sold in the USA are not even made here if you want to boost your omega 3s using the finest American made fish oil check out neutral gold fish oil supplements on www.fishoil.best
[20:31.000 --> 20:38.000]  neutral gold fish oils are independently 5 star certified and guaranteed to be exceptionally pure that means no more fish burps
[20:38.000 --> 20:47.000]  best of all just one neutral gold fish oil capsule contains more omega 3s than four standard fish oil capsules go to www.fishoil.best
[20:47.000 --> 20:57.000]  or call 888-920-1497 and use promo code BESTFISHOIL to get a free one month supply that's www.fishoil.best
[20:57.000 --> 21:14.000]  or call 888-920-1497 what are you listening to have you tried the Doug Stephan 24-7 listen line it's easy just punch in 605-477-3712 no apps no data no internet needed and no extra cost if you have unlimited minutes
[21:14.000 --> 21:30.000]  call now 605-477-3712 now you can listen to Doug Stephan when you want bookmark the Doug Stephan 24-7 listen line number today 605-477-3712 got it call 605-477-3712
[21:30.000 --> 21:45.000]  we use mobile devices right against our bodies every day but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices the solution is Defender Shield the most effective mobile radiation shielding ever developed
[21:45.000 --> 21:57.000]  Defender Shield blocks virtually 100% of EMF radiation from cell phones, tablets and laptops and starts at just $64.99 buy now at Defender Shield.com for 10% off use promo code GCN Defender Shield.com
[21:57.000 --> 22:00.000]  the worldwide leader in mobile radiation shielding
[22:27.000 --> 22:30.000]  there is only one silver solution
[22:57.000 --> 23:00.000]  Aquaponics that's AquaponicsSource.com
[23:27.000 --> 23:30.000]  come and take it
[23:57.000 --> 24:00.000]  there is only one silver solution
