[00:00.000 --> 00:02.000]  You've got it
[13:48.360 --> 13:50.360]  Ray Kurzweil
[13:50.360 --> 13:52.360]  these are quotes from
[13:52.360 --> 13:54.360]  their books saying it
[13:54.360 --> 13:56.360]  see when I show
[13:56.360 --> 13:58.360]  you a UN document
[13:58.360 --> 14:00.360]  like the UN documents that are in Endgame
[14:00.360 --> 14:02.360]  and the UN document says once world government is established
[14:02.360 --> 14:04.360]  they won't just try to hold
[14:04.360 --> 14:06.360]  population at one point
[14:06.360 --> 14:08.360]  they will then try to massively reduce it
[14:08.360 --> 14:10.360]  with controlled airborne Ebola and things
[14:10.360 --> 14:12.360]  as Dr. Pionka
[14:12.360 --> 14:14.360]  at UT talked about
[14:14.360 --> 14:16.360]  and made national news four years ago
[14:16.360 --> 14:18.360]  and so we need a world police state
[14:18.360 --> 14:20.360]  to carry out the 90% reduction
[14:22.360 --> 14:24.360]  and then all this creepy stuff about
[14:24.360 --> 14:26.360]  the time will soon be at hand
[14:26.360 --> 14:28.360]  we must prepare
[14:28.360 --> 14:30.360]  this is a guy that wins international awards
[14:30.360 --> 14:32.360]  from the UN and others
[14:32.360 --> 14:34.360]  and get standing ovations when he talks about this
[14:36.360 --> 14:38.360]  in this control freak cult that they're part of
[14:38.360 --> 14:40.360]  I report on that
[14:40.360 --> 14:42.360]  at Endgame and show clips of him
[14:42.360 --> 14:44.360]  and clips of his papers
[14:44.360 --> 14:46.360]  and what does the weekly standard do
[14:46.360 --> 14:48.360]  they run out
[14:48.360 --> 14:50.360]  with this article
[14:50.360 --> 14:52.360]  the company Ron Paul keeps next sub headline
[14:52.360 --> 14:54.360]  meet Alex Jones
[14:56.360 --> 14:58.360]  and it says here
[14:58.360 --> 15:00.360]  oh my gosh Ron Paul was just on Alex's show
[15:00.360 --> 15:02.360]  this week I'm going to read this later
[15:02.360 --> 15:04.360]  we're going to re-hear the Ron Paul interview at least part of it
[15:04.360 --> 15:06.360]  it literally got picked up by hundreds of newspapers
[15:06.360 --> 15:08.360]  because it was powerful
[15:08.360 --> 15:10.360]  it said oh my gosh
[15:10.360 --> 15:12.360]  Ron Paul came on and talked about
[15:12.360 --> 15:14.360]  Northcom and the US military
[15:14.360 --> 15:16.360]  and enemy
[15:16.360 --> 15:18.360]  combatants for US citizens
[15:18.360 --> 15:20.360]  and he's nuts
[15:20.360 --> 15:22.360]  it says Alex Jones is the biggest
[15:22.360 --> 15:24.360]  conspiracy theory in the world
[15:24.360 --> 15:26.360]  except for maybe Ron Paul
[15:26.360 --> 15:28.360]  they have this little fake epiphany of
[15:28.360 --> 15:30.360]  oh no there's one bigger it's Ron Paul
[15:30.360 --> 15:32.360]  he's Obi Wan Kenobi
[15:32.360 --> 15:34.360]  the Luke Skywalker
[15:34.360 --> 15:36.360]  ladies and gentlemen
[15:36.360 --> 15:38.360]  I have CBS news
[15:38.360 --> 15:40.360]  USA Today all right here
[15:40.360 --> 15:42.360]  saying military on the streets of America
[15:42.360 --> 15:44.360]  arresting citizens forever
[15:44.360 --> 15:46.360]  it's national news
[15:46.360 --> 15:48.360]  and they're saying no Alex Jones and Ron Paul
[15:48.360 --> 15:50.360]  are insane
[15:50.360 --> 15:52.360]  we're going to come back with the internet censorship
[15:52.360 --> 15:54.360]  bill in your face
[15:54.360 --> 15:56.360]  the inventors of the internet
[15:56.360 --> 15:58.360]  I don't mean Al Gore going public saying it's a total takeover
[15:58.360 --> 16:00.360]  all of it
[16:00.360 --> 16:02.360]  hi this is Alex Jones
[16:02.360 --> 16:04.360]  the holiday season
[16:04.360 --> 16:06.360]  more than half of our nation is in need of help
[16:06.360 --> 16:08.360]  due to the shattered economy
[16:08.360 --> 16:10.360]  so now is the time to express the holiday
[16:10.360 --> 16:12.360]  spirit more than ever
[16:12.360 --> 16:14.360]  consider helping those you love
[16:14.360 --> 16:16.360]  with the most important gift
[16:16.360 --> 16:18.360]  a supply of delicious, easy to fix
[16:18.360 --> 16:20.360]  and very storable foods
[16:20.360 --> 16:22.360]  from eFoodsDirect.com
[16:22.360 --> 16:24.360]  their holiday gift and family pack
[16:24.360 --> 16:26.360]  started $99
[16:26.360 --> 16:28.360]  for a 16 day supply
[16:28.360 --> 16:30.360]  all their 5 week supply
[16:30.360 --> 16:32.360]  includes a personal backpack
[16:32.360 --> 16:34.360]  in case of a grab and go emergency
[16:34.360 --> 16:36.360]  order their combo gift pack
[16:36.360 --> 16:38.360]  and you'll save hundreds plus get free shipping
[16:38.360 --> 16:40.360]  on your entire order
[16:40.360 --> 16:42.360]  call eFoods Today at
[16:42.360 --> 16:44.360]  800-409-5633
[16:44.360 --> 16:46.360]  or visit them online
[16:46.360 --> 16:48.360]  at eFoodsDirect.com
[16:48.360 --> 16:50.360]  forward slash Alex to find the special
[16:50.360 --> 16:52.360]  that's 800-409-5633
[16:52.360 --> 16:54.360]  or eFoodsDirect.com
[16:54.360 --> 16:56.360]  forward slash Alex
[16:56.360 --> 17:00.360]  you can bet your life on eFoodsDirect.com
[17:26.360 --> 17:28.360]  the continuity of government program
[17:28.360 --> 17:30.360]  has established an old powerful shadow state
[17:30.360 --> 17:32.360]  police state 4 chronicles the sickening
[17:32.360 --> 17:34.360]  depths to which our republic has fallen
[17:34.360 --> 17:36.360]  prepare to enter the secretive
[17:36.360 --> 17:38.360]  world of emergency dictatorship
[17:38.360 --> 17:40.360]  body scammers, sound cameras
[17:40.360 --> 17:42.360]  citizen spies, stage terror
[17:42.360 --> 17:44.360]  and cameras on every street corner
[17:44.360 --> 17:46.360]  it's only the beginning
[17:46.360 --> 17:48.360]  of the new world orders hellish plan
[17:48.360 --> 17:50.360]  the police state isn't coming
[17:50.360 --> 17:51.360]  it's here
[17:51.360 --> 17:53.360]  secure your copy today
[17:53.360 --> 17:55.360]  at infowars.com
[17:55.360 --> 17:57.360]  online in the highest quality
[17:57.360 --> 17:59.360]  at prismplanetalk.tv
[18:00.360 --> 18:02.360]  when you're out on the road
[18:02.360 --> 18:04.360]  the last place you want to be
[18:04.360 --> 18:06.360]  is on the road
[18:06.360 --> 18:08.360]  but if the unfortunate happens
[18:08.360 --> 18:10.360]  you'll be glad you were wearing
[18:10.360 --> 18:12.360]  diamond gussets
[18:12.360 --> 18:15.360]  there's a place down in Tennessee
[18:15.360 --> 18:20.360]  where they make blue diamond gusset jeans
[18:20.360 --> 18:24.360]  they soak pride in every stitch
[18:24.360 --> 18:28.360]  guarantee you love the way they fit
[18:28.360 --> 18:31.360]  and put a diamond gusset in the crotch
[18:31.360 --> 18:33.360]  where you need it most
[18:33.360 --> 18:35.360]  blue diamond gussets
[18:35.360 --> 18:37.360]  got it
[18:37.360 --> 18:39.360]  other stone
[18:39.360 --> 18:41.360]  we turned jeans inside out
[18:41.360 --> 18:43.360]  diamond gusset jeans
[18:43.360 --> 18:45.360]  made in the USA with unparalleled quality
[18:45.360 --> 18:47.360]  our defender motorcycle jeans
[18:47.360 --> 18:50.360]  combine gusset comfort with kevlar protection
[18:50.360 --> 18:52.360]  so you can ride all day with confidence
[18:52.360 --> 18:55.360]  order yours at gusset.com
[18:55.360 --> 18:57.360]  diamond gusset jeans got it
[18:57.360 --> 19:26.360]  others don't
[19:27.360 --> 19:34.360]  and in each corner of the Liberty Blanket
[19:34.360 --> 19:37.360]  details one of the pillars of American freedom
[19:37.360 --> 19:40.360]  education, church, civil government, and justice
[19:40.360 --> 19:43.360]  regularly $59.95, now just $39.95
[19:43.360 --> 19:45.360]  it's the perfect Christmas gift
[19:45.360 --> 19:47.360]  that helps your friends and family
[19:47.360 --> 19:49.360]  remember our nation's most precious legacy
[19:49.360 --> 19:51.360]  to order your Liberty Blanket
[19:51.360 --> 19:53.360]  go to libertyblanket.com
[19:53.360 --> 19:57.360]  or call 800-209-1258
[19:57.360 --> 20:25.360]  Coast to Coast, direct from Austin
[20:25.360 --> 20:30.360]  what do you mean I don't believe in God
[20:30.360 --> 20:32.360]  talk to him every day
[20:32.360 --> 20:34.360]  alright, here is what we're gonna do
[20:34.360 --> 20:36.360]  what do you mean I don't suppose
[20:36.360 --> 20:39.360]  I am going to cover the open announcement
[20:39.360 --> 20:42.360]  that the worldwide, the UN
[20:42.360 --> 20:44.360]  along with the federal government, the US
[20:44.360 --> 20:48.360]  is going to openly start censoring the internet
[20:48.360 --> 20:51.360]  we're gonna break that down
[20:51.360 --> 20:53.360]  and we're gonna get into
[20:53.360 --> 20:55.360]  the National Defense Authorization Act
[20:55.360 --> 20:57.360]  that Obama has said that he will sign
[20:57.360 --> 20:59.360]  after saying he wouldn't sign it
[20:59.360 --> 21:01.360]  and of course it's now come out
[21:01.360 --> 21:04.360]  from all of the cosponsors and authors
[21:04.360 --> 21:08.360]  Carl Levin, John McCain, Lindsey Graham
[21:08.360 --> 21:11.360]  all US senators, the clips are up at infowars.com
[21:11.360 --> 21:14.360]  Drugs report had it linked to front page for two days
[21:14.360 --> 21:16.360]  millions of people watch the videos
[21:16.360 --> 21:19.360]  of them all saying Obama told us to add
[21:19.360 --> 21:22.360]  the provision to have military on the streets
[21:22.360 --> 21:25.360]  of America and to secretly arrest citizens
[21:25.360 --> 21:28.360]  and to have citizens disappear
[21:28.360 --> 21:30.360]  meanwhile the ACLU was running around
[21:30.360 --> 21:33.360]  saying Obama was against it
[21:33.360 --> 21:35.360]  I was telling you three weeks ago
[21:35.360 --> 21:37.360]  no, here is the letters from Obama's lawyers
[21:37.360 --> 21:40.360]  saying he doesn't particularly like the bill
[21:40.360 --> 21:43.360]  because he already has the power without Congress
[21:43.360 --> 21:45.360]  remember he launched wars without Congress
[21:45.360 --> 21:47.360]  so at the end of the day though
[21:47.360 --> 21:49.360]  he said he's gonna sign it because
[21:49.360 --> 21:51.360]  well if you wanna go ahead and give me
[21:51.360 --> 21:53.360]  the editorial powers and say I have them
[21:53.360 --> 21:54.360]  which is what the bill says
[21:54.360 --> 21:57.360]  it says the president can kill any citizen he wants
[21:57.360 --> 21:59.360]  do anything is the furor
[21:59.360 --> 22:02.360]  now I wanna be clear about this
[22:02.360 --> 22:06.360]  just because the president says
[22:06.360 --> 22:07.360]  that he's God
[22:07.360 --> 22:10.360]  just because the Congress says he's our furor
[22:10.360 --> 22:12.360]  that means our leader
[22:12.360 --> 22:15.360]  just because the North Koreans call Kim Jong-il
[22:15.360 --> 22:17.360]  dear leader, dear furor
[22:17.360 --> 22:20.360]  doesn't mean that
[22:20.360 --> 22:22.360]  he's above the law
[22:22.360 --> 22:24.360]  doesn't mean he's not a degenerate criminal
[22:24.360 --> 22:26.360]  protected by an armed gang
[22:26.360 --> 22:28.360]  called the North Korean military
[22:28.360 --> 22:30.360]  now Obama himself is a puppet
[22:30.360 --> 22:32.360]  a teleprompter reading puppet
[22:32.360 --> 22:34.360]  but the office of the presidency
[22:34.360 --> 22:36.360]  and the foreign banking interests
[22:36.360 --> 22:38.360]  that bankrolled him and others
[22:38.360 --> 22:40.360]  and they're bankrolling Mitt Romney and Newt Gennrich
[22:40.360 --> 22:42.360]  and demonizing Ron Paul
[22:42.360 --> 22:44.360]  and brainwashing the public that Ron Paul can't win
[22:44.360 --> 22:46.360]  even though in some polls he's number one in Iowa
[22:46.360 --> 22:52.360]  and New Hampshire
[22:52.360 --> 22:54.360]  just because their puppet
[22:54.360 --> 22:56.360]  is being endowed now
[22:56.360 --> 22:58.360]  with these false powers
[22:58.360 --> 23:00.360]  doesn't mean they're constitutional
[23:00.360 --> 23:03.360]  what, 180 years ago or so
[23:03.360 --> 23:06.360]  the Supreme Court ruled black people weren't humans
[23:06.360 --> 23:08.360]  and folks didn't like that
[23:08.360 --> 23:10.360]  so later ruling they said well okay
[23:10.360 --> 23:15.360]  they're two-thirds human
[23:15.360 --> 23:17.360]  now
[23:17.360 --> 23:19.360]  they had laws where if a black man
[23:19.360 --> 23:21.360]  didn't pull a plow right you could kill him
[23:21.360 --> 23:23.360]  now does the black man have a right
[23:23.360 --> 23:25.360]  200 years ago
[23:25.360 --> 23:27.360]  in a sugar cane field in Cuba
[23:27.360 --> 23:29.360]  or in Alabama
[23:29.360 --> 23:31.360]  to grab the
[23:31.360 --> 23:33.360]  bull whip away and beat
[23:33.360 --> 23:35.360]  his would-be master over the head with it
[23:35.360 --> 23:37.360]  yes organic galactic
[23:37.360 --> 23:39.360]  common law
[23:39.360 --> 23:41.360]  organic law universal law
[23:41.360 --> 23:43.360]  says yes
[23:43.360 --> 23:45.360]  because the Nazis had laws
[23:45.360 --> 23:47.360]  saying Hitler could kill anybody he wanted to
[23:47.360 --> 23:49.360]  and they could come to your house and arrest you
[23:49.360 --> 23:51.360]  and disappear you doesn't mean
[23:51.360 --> 23:53.360]  that it's legitimate
[23:53.360 --> 23:55.360]  you see we had a rule of law
[23:55.360 --> 23:57.360]  a bill of rights and constitution
[23:57.360 --> 23:59.360]  that said
[23:59.360 --> 24:01.360]  that it wasn't just your right
[24:01.360 --> 24:03.360]  it was your duty
[24:03.360 --> 24:05.360]  Declaration of Independence
[24:05.360 --> 24:07.360]  to physically
[24:07.360 --> 24:09.360]  attack anyone
