[00:00.000 --> 00:15.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[08:02.000 --> 08:16.000]  The position of the Spanish government is really pretty amazing if you stop and think about it. Unlike the Scottish referendum that they just had in the UK, they're saying that all of Spain needs to vote on this referendum as to whether or not the Catalonians will be allowed to leave or not.
[08:16.000 --> 08:28.000]  So it'd be like saying, no, we're not going to have that election unless England and Wales gets to vote on that. And actually Catalonia has been a separate area for quite some time culturally, linguistically.
[08:28.000 --> 08:38.000]  It's a very vital economic region. They believe that they can go on their own just like a lot of people in Texas believe. We could go on our own if given half a chance.
[08:38.000 --> 08:49.000]  So it's going to be interesting to see what happens. That's going to be coming up right after our elections. And what changed was yesterday, the Prime Minister there, I believe is his title.
[08:49.000 --> 09:00.000]  Arthur Moss said he scheduled the referendum after the parliament overwhelmingly said that they wanted to give a referendum out. But of course, the Spanish government is saying that's not going to happen.
[09:00.000 --> 09:08.000]  But there's a lot of violence in Hong Kong. These peaceful protests have now turned into clashes with the police. They've had 34 people injured there.
[09:08.000 --> 09:17.000]  And then of course, in Japan, there was a volcanic eruption yesterday. The interesting thing about this, and of course, Paul, I've been on vacation. I was up in Yellowstone.
[09:17.000 --> 09:23.000]  So I spent the last couple of weeks walking around on top of a giant volcano, the largest one on Earth, which is...
[09:23.000 --> 09:42.000]  Well, you never know when any of these things are going to happen, just like driving down the road. But they're telling us that we're not seeing the kind of movement, seismic movements, the kind of ground swelling and temperatures that they would anticipate in the buildup to a Yellowstone eruption.
[09:42.000 --> 09:58.000]  However, they didn't see anything with this entaque volcano. It caught them completely by surprise. They had one individual who was on top of the mountain taking a picture of the top of the caldera and tweeting it out just moments before it blew.
[09:58.000 --> 10:01.000]  And this killed 30 people, did it?
[10:01.000 --> 10:13.000]  So far, yeah, the death toll is mounting. They found 30 people near the summit that are dead, but they've taken a lot of people back that were suffering from respiratory problems from the ash, also from poisonous gas for the people that were near the top.
[10:13.000 --> 10:22.000]  So everybody was hiking and climbing on this. They'd had a little bit of volcanic activity, but that's not unusual in any of these areas. You're constantly going to be having very small earthquakes.
[10:22.000 --> 10:30.000]  It was nothing that raised an alarm with any of the volcanologists that were there, the geologists. Nothing was put out. It just popped.
[10:30.000 --> 10:38.000]  Now, the interesting thing about Yellowstone, I'm going to do a special report on this, is that we had research papers that came out at the beginning of this year, January 5th.
[10:38.000 --> 10:51.000]  Two different research papers done independently, both of them, said that supervolcanoes were far more unpredictable than normal volcanoes, that they could just explode based on the buoyancy of the magma dome.
[10:51.000 --> 11:00.000]  And of course, about the same time, we learned that Yellowstone's magma dome is two and a half times larger than they believed before, and they already believed it was the largest in the world.
[11:00.000 --> 11:10.000]  So that is a very troubling sign that you're not going to have to have these kinds of seismic shifts that are typically felt as earthquakes that usually precede volcanic eruption.
[11:10.000 --> 11:21.000]  If you remember back to 1980, Mount St. Helens, people had a couple of months' warning before that blew. Still, you had 60 people die. Similar thing about a decade later with Mount Pinatubo, about 900 people died.
[11:21.000 --> 11:32.000]  Even though they had evacuated tens of thousands of people, they were still surprised by the magnitude of the earthquake, and of course, they can't predict the timing, but they did have a lot of warning with that earthquake as well.
[11:32.000 --> 11:36.000]  This one in Japan today, no warning whatsoever. It just popped.
[11:36.000 --> 11:46.000]  That is amazing, because I remember probably about six months ago now I did a video about buffalo, wild buffalo, running away from Yellowstone volcano.
[11:46.000 --> 12:00.000]  And that was kind of dismissed at the time, as we would have so far advanced warning if anything was about to happen at Yellowstone that people would get really in advance warning to get away from the area.
[12:00.000 --> 12:08.000]  But as you say, with this volcano near Tokyo, 160 miles west of Tokyo, there was basically no warning whatsoever.
[12:08.000 --> 12:16.000]  So that suggests that the systems that they've got in place now are not sufficient to give people that kind of heads up.
[12:16.000 --> 12:21.000]  It's not that well understood. And there was a lot of democking about that movement of the bison there.
[12:21.000 --> 12:27.000]  I've been to Yellowstone many times, and every time I've gone, I've not seen any buffalo running.
[12:27.000 --> 12:30.000]  I mean, they're very passive, very docile. They just want to eat most of the time.
[12:30.000 --> 12:34.000]  They will get moving, and of course they say that could have been what was happening there.
[12:34.000 --> 12:38.000]  It was a very large movement of a very large number of buffalo, which made it look suspicious.
[12:38.000 --> 12:42.000]  But there were other things that happened at the same time. They had the largest earthquake in 30 years in April.
[12:42.000 --> 12:48.000]  In July, they had a road that melted, turned to soup. It was reported by a Yellowstone spokesman.
[12:48.000 --> 12:54.000]  And the first person that I talked to there, the first ranger, basically downplayed that, said it was just a bad-ass fault job, and it was a summer.
[12:54.000 --> 12:59.000]  I hadn't been to Fire Hole Lake Drive at the time I talked to her. I would have called her on that.
[12:59.000 --> 13:02.000]  But I do talk about it in the special report that I'm putting together.
[13:02.000 --> 13:05.000]  That was an area that had a lot of geothermal activity.
[13:05.000 --> 13:08.000]  And two months later, you can still see that that road is pretty messed up.
[13:08.000 --> 13:15.000]  And it's messed up in the areas where the geothermal features intersect with the road or come in close proximity to it.
[13:15.000 --> 13:20.000]  So I don't think that there's plenty of evidence that that happens all the time in Yellowstone.
[13:20.000 --> 13:25.000]  Of course, they've had much larger earthquakes, other things that have happened in terms of ground rising.
[13:25.000 --> 13:32.000]  But it does look like, according to the USGS, that they are coming into a period of increased activity and uplift in that area.
[13:32.000 --> 13:36.000]  But that doesn't necessarily mean that it's going to pop. They don't know when it's going to pop.
[13:36.000 --> 13:41.000]  It's the point of the new research, just like they didn't know when this conventional volcano was going to pop.
[13:41.000 --> 13:43.000]  And they have a completely different mechanism.
[13:43.000 --> 13:49.000]  When it happens, of course, as we've talked about, it will be a huge event for the entire planet.
[13:49.000 --> 13:54.000]  It will be orders of magnitude worse than anything that Al Gore has imagined would fall for me.
[13:54.000 --> 14:00.000]  So it's going to be an interesting report. So I'll have that out the next day or so.
[14:00.000 --> 14:08.000]  Okay. And going back to the Catalonia thing, of course, as far as I understand it, in that region, their economy has prospered more than the rest of Spain.
[14:08.000 --> 14:13.000]  So as you mentioned, they're talking about giving the whole of Spain the vote.
[14:13.000 --> 14:16.000]  They've got a 25% or more unemployment rate.
[14:16.000 --> 14:22.000]  Mainly as a result of this green economy disastrous policy that's been imposed on Spain.
[14:22.000 --> 14:27.000]  But as far as I understand it, Catalonia has, in comparison, prospered.
[14:27.000 --> 14:31.000]  So that's one of the main reasons why they're trying to secede from the rest of Spain,
[14:31.000 --> 14:38.000]  because their local economy has engendered quite a prosperous environment in the past few years.
[14:38.000 --> 14:48.000]  I think that's, again, we talk about these individual states, these individual countries rebelling against the main, like Scotland,
[14:48.000 --> 14:52.000]  rebelling against Westminster because they can survive economically on their own.
[14:52.000 --> 14:58.000]  I think that is the case with Catalonia, because Spain's economy is a complete disaster from what we've seen.
[14:58.000 --> 15:05.000]  They've imposed the solar wind systems, the energy organizations that don't work,
[15:05.000 --> 15:09.000]  and they're really prospering on their own, and they want to secede.
[15:09.000 --> 15:12.000]  They've got the power, they've got the strength to do that.
[15:12.000 --> 15:17.000]  And I think that that's a big part of the reason why they're really pushing ahead for that.
[15:17.000 --> 15:21.000]  The New York Times points out that it's one-fifth of the Spanish economy.
[15:21.000 --> 15:24.000]  So your point is very well taken, and it's around Barcelona.
[15:24.000 --> 15:29.000]  They have a very active industrial areas, economically much better than the rest of the area.
[15:29.000 --> 15:33.000]  And I think it's kind of interesting that Spain would say, you don't want to leave.
[15:33.000 --> 15:37.000]  You want to know how much we're doing for you and say that you're not going to be allowed to leave.
[15:37.000 --> 15:40.000]  That's the most important thing. You're not even going to be allowed to have a vote.
[15:40.000 --> 15:44.000]  And of course, he said nobody should fear that somebody expressed their opinion by putting a ballot in a box.
[15:44.000 --> 15:45.000]  That's the issue.
[15:45.000 --> 16:06.000]  We'll be back after the break. Stay tuned. This is the Alex Jones Show, infowars.com. Stay right there.
[16:15.000 --> 16:18.000]  Our extra-strength new nascent iodine formula is here.
[16:18.000 --> 16:20.000]  Survival Shield X2.
[16:20.000 --> 16:24.000]  Leading the way into the next generation of super-high-quality nascent iodine,
[16:24.000 --> 16:33.000]  Infowars Life Survival Shield X2 is derived from 200-plus million-year-old salt solutions found more than 7,000 feet below the Earth's surface.
[16:33.000 --> 16:38.000]  The result is a unique nascent iodine that is both concentrated and free of unwanted additives,
[16:38.000 --> 16:41.000]  genetically modified ingredients, and completely vegan.
[16:41.000 --> 16:44.000]  We even pre-screen our Survival Shield X2 iodine for radiation.
[16:44.000 --> 16:47.000]  Pure, clean, and sourced from deep within the Earth.
[16:47.000 --> 17:16.000]  X2 nascent iodine is available exclusively at infowarslife.com, infowarstore.com, or call 1-888-253-3139.
[17:16.000 --> 17:30.000]  It's up to us to set brush fires in the minds of men and women everywhere, and that's what prisonplanet.tv is designed to do.
[17:30.000 --> 17:38.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[17:38.000 --> 17:41.000]  What we see now is a war against reality. It's a war against the truth.
[17:41.000 --> 17:50.000]  It's more vital than ever that supporters of freedom become members of prisonplanet.tv and share their membership with up to 11 friends and family.
[17:50.000 --> 18:19.000]  Visit infowarsnews.com today, become a member, share your membership, and help take the info war to the next level.
[18:19.000 --> 18:27.000]  Open your eyes. Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts, and more.
[18:27.000 --> 18:36.000]  Occupower by infowarslife is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[18:36.000 --> 18:44.000]  Optimize the natural power of your eyes with the latest addition to the super high quality infowarslife formulations, Occupower.
[18:44.000 --> 18:49.000]  Go to infowarslife.com or infowarsstore.com to order Occupower.
[18:49.000 --> 18:59.000]  Or call 1-888-253-3139. Occupower. Open your eyes.
[18:59.000 --> 19:06.000]  When you're out on the road, the last place you want to be is on the road.
[19:06.000 --> 19:11.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[19:11.000 --> 19:19.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[19:19.000 --> 19:28.000]  They so pride in every stitch guarantee you love the way they fit.
[19:28.000 --> 19:33.000]  They put a diamond gusset in the crotch where you need it most.
[19:33.000 --> 19:38.000]  Blue diamond gussets got it, others don't.
[19:38.000 --> 19:42.000]  When we turn jeans inside out, diamond gusset jeans.
[19:42.000 --> 19:45.000]  Made in the USA with unparalleled quality.
[19:45.000 --> 19:51.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[19:51.000 --> 19:54.000]  Order yours at gusset.com.
[19:54.000 --> 20:09.000]  Diamond gusset jeans got it, others don't.
[20:09.000 --> 20:22.000]  From the front lines of the Information War, it's Alex Jones.
[20:22.000 --> 20:30.000]  It's Paul Joseph Watson with David Knight on the Alex Jones show this September 28th, 2014.
[20:30.000 --> 20:37.000]  We're going to get into ISIS now. David Cameron gave a speech before the UN two or three days ago now
[20:37.000 --> 20:46.000]  where he basically compared anyone who questions the official narrative behind 9-11, behind 7-7, behind ISIS itself.
[20:46.000 --> 20:56.000]  He compared them to ISIS insurgents, ISIS terrorists. He basically tried to make the point that this is a recruiting ground for ISIS terrorists.
[20:56.000 --> 21:05.000]  Anybody who questions the official version of events behind any government terrorism action behind any so-called staged event.
[21:05.000 --> 21:11.000]  We've got that clip set up now so we're going to go to David Cameron before the UN. Here's the clip.
[21:11.000 --> 21:22.000]  We must defeat this ideology in all its forms. As evidence emerges about the backgrounds of those convicted of terrorist offences,
[21:22.000 --> 21:29.000]  it is clear that many of them were initially influenced by preachers who claim not to encourage violence,
[21:29.000 --> 21:34.000]  but whose worldview can be used as a justification for it.
[21:34.000 --> 21:44.000]  We know this worldview. The peddling of lies that 9-11 was somehow a Jewish plot or that the 7-7 London attacks were staged.
[21:44.000 --> 21:51.000]  The idea that Muslims are persecuted all over the world as a deliberate act of Western policy.
[21:51.000 --> 21:56.000]  The concept of an inevitable clash of civilizations.
[21:56.000 --> 22:07.000]  We must be clear. To defeat the ideology of extremism, we need to deal with all forms of extremism, not just violent extremism.
[22:07.000 --> 22:11.000]  For governments, there are some obvious ways we can do this.
[22:11.000 --> 22:15.000]  We must ban preachers of hate from coming to our countries.
[22:15.000 --> 22:22.000]  We must prescribe organizations that incite terrorism against people at home and abroad.
[22:22.000 --> 22:30.000]  We must work together to take down a legal online material like the recent videos of ISIL murdering hostages.
[22:30.000 --> 22:41.000]  And we must stop the so-called nonviolent extremists from inciting hatred and intolerance in our schools, our universities, and yes, even our prisons.
[22:41.000 --> 22:48.000]  Of course, some will argue that this is not compatible with free speech and intellectual inquiry.
[22:48.000 --> 22:58.000]  But I ask you, would we sit back and allow right-wing extremists, Nazis, or Klu Klux Klansmen to recruit on our university campuses?
[22:58.000 --> 23:05.000]  No. So we shouldn't stand by and just allow any form of nonviolent extremism.
[23:05.000 --> 23:18.000]  We need to argue that that's David Cameron before the UN a few days ago comparing anybody who questions 7-7 or 9-11 to ISIS terrorists themselves.
[23:18.000 --> 23:34.000]  And remember, with the James Foley Beheading video, the Metropolitan Police came out immediately after that video was released and said that anybody who even watches it on YouTube or on any other video sharing platform could be committing a terrorist act.
[23:34.000 --> 23:41.000]  So even in the commission of actually just watching the video, they threatened people with terrorism.
[23:41.000 --> 23:46.000]  Of course, millions of people did actually watch the video in Britain, so it was an empty threat.
[23:46.000 --> 23:55.000]  But for him to actually make that comparison, and remember, you know, back in 2001, we had George Bush, here's the article out of Daily Mail,
[23:55.000 --> 24:06.000]  Met Police warned people that viewing extremist material may be a terror offence. Simply watching a video on YouTube could be an act of terrorism,
[24:06.000 --> 24:14.000]  which as I made the point in the video about the James Foley Beheading, which got 900,000 views on YouTube,
[24:14.000 --> 24:22.000]  they don't want people to see this because if you actually watch the Beheading videos, and this is why a lot of questions have circulated,
[24:22.000 --> 24:31.000]  indeed from within the Metropolitan Police itself, they had private investigators come out and say that the James Foley Beheading video was, quote, staged.
[24:31.000 --> 24:40.000]  He may have been killed off camera later on, but the Beheading video itself was not a graphic portrayal of him being killed.
[24:40.000 --> 24:51.000]  They're afraid of people asking questions about this, and especially with the other American Sotloff being beheaded since the British hostage being beheaded after that.
[24:51.000 --> 25:00.000]  They don't want people actually digging into this, but the fact that he even came out and said that, and then you can trace it back to 2001 where Bush said,
[25:00.000 --> 25:14.000]  we must not tolerate outrageous conspiracy theories about 9-11, we see this theme running through the so-called demonization of anybody who even dares to ask questions about the narrative that is being pushed
[25:14.000 --> 25:26.000]  to justify US military intervention in the Middle East, even with the David Haynes video, the most recent British hostage, he kind of came out and said this is the truth about ISIS.
[25:26.000 --> 25:34.000]  He was representing ISIS. He sounded like the, quote, conspiracy theorists that David Cameron was talking about in that video.
[25:34.000 --> 25:47.000]  So they're trying to correlate ISIS propaganda with so-called truce propaganda or basically anyone who questions the official narrative, and it's downright creepy.
[25:47.000 --> 25:51.000]  David Knight, what do you think after watching that clip of David Cameron?
[25:51.000 --> 25:59.000]  Well, Paul, as we're doing it, of course, he says many people are going to say that this is going to impinge on free speech. Well, quite obviously it is.
[25:59.000 --> 26:04.000]  He's throwing that out there because he knows it is going to impinge on free speech. He's talking about things like web censorship.
[26:04.000 --> 26:12.000]  He says we need to defeat the ideology of extremism. Now, that can be anything that he doesn't like.
[26:12.000 --> 26:19.000]  He's saying not just violence, but we need to defeat an ideology. In other words, we need to ban and censor ideologies.
[26:19.000 --> 26:22.000]  Who is he to pick what ideologies are going to be censored?
[26:22.000 --> 26:30.000]  And we've already seen with hate laws that they always use that against anybody that they wish. They can use it against Christians if they want.
[26:30.000 --> 26:34.000]  If they're talking about abortion, they can say that that's a hateful speech or whatever.
[26:34.000 --> 26:40.000]  That is something that can be malleable that the leaders can use in any way that they want.
[26:40.000 --> 26:46.000]  And I'm reminded of these pronouncements at the very beginning of this. It was the beginning of September.
[26:46.000 --> 26:54.000]  We had the guy who's now running for Senate in Massachusetts. Well, he was in Massachusetts. Now he's running in New Hampshire, Brown.
[26:54.000 --> 27:04.000]  And I did a video on it, the Centerfold Senator, because basically he was saying that we've got 300 people, Americans abroad, fighting with ISIS.
[27:04.000 --> 27:13.000]  And we need to be able to revoke their citizenship. And that was picked up and used by Ted Cruz as well to say that we don't need to give people their day in court.
[27:13.000 --> 27:20.000]  We don't need to prove any charges against them. We can just accuse them of being ISIS terrorists, then we can revoke their citizenship.
[27:20.000 --> 27:27.000]  And of course, then presumably that was going to revoke some other protections that they had under the law. It's very troubling to see that.
[27:27.000 --> 27:34.000]  Subsequently, we have now seen that the FBI's backpedaled on that and said, well, at most maybe it's 12 people that are over there.
[27:34.000 --> 27:41.000]  So that's how they're blowing up this threat and using it against people. It's outrageous that he would do this.
[27:41.000 --> 27:49.000]  And in essence, he's saying, you know, anybody who questions 9-11 is a recruiter of ISIS terrorists.
[27:49.000 --> 27:59.000]  You know, six of the 9-11 commissioners questioned the final report on 9-11. So, I mean, are they recruiters for ISIS terrorists?
[27:59.000 --> 28:05.000]  And again, if you actually look at the academic studies into what creates terrorists in the Middle East,
[28:05.000 --> 28:11.000]  the major recruiting tool for terrorists is bombing the Middle East.
[28:11.000 --> 28:18.000]  I mean, since we started, or the US and the UK started launching airstrikes against ISIS in the Middle East,
[28:18.000 --> 28:27.000]  we've had 6,000 new ISIS recruits in the Middle East directly as a result of those bombings.
[28:27.000 --> 28:35.000]  So, you know, what have they killed since the airstrikes started about a month ago? Maybe a few dozen ISIS terrorists.
[28:35.000 --> 28:39.000]  And yet, 6,000 new Acolytes have been recruited to the cause.
[28:39.000 --> 28:44.000]  So the true cause of terrorism is not conspiracy theories, in the words of David Cameron.
[28:44.000 --> 28:47.000]  It's bombing the Middle East, flooding the region with weapons.
[28:47.000 --> 28:58.000]  We continue to talk about it on the Alex Jones show after the break. Stay tuned, infowars.com.
[29:18.000 --> 29:20.000]  Prime Directed did credit Alex Jones.
[29:20.000 --> 29:23.000]  Jones is the wildly popular conspiracy theory.
[29:23.000 --> 29:26.000]  It's a popular conspiracy theory talk show called InfoWars.
[29:26.000 --> 29:28.000]  Alex Jones is now in an Austin jail.
[29:28.000 --> 29:30.000]  These people are assaulting us.
[29:30.000 --> 29:32.000]  Targeting of patriots engaged.
[29:32.000 --> 29:39.000]  They are never going to stop. They're never going to deviate from their program until we stop them.
[29:39.000 --> 29:49.000]  Block Free.
[29:49.000 --> 29:51.000]  You've got to set your eye on the enemy.
[29:51.000 --> 29:53.000]  Not worry about what propaganda they put out.
[29:53.000 --> 30:20.000]  Electrally, it's for God you can fail it.
[30:23.000 --> 30:28.000]  Infidel Body Armor just won't quit.
[30:54.000 --> 30:57.000]  Call toll free 888-253-3139.
[30:57.000 --> 30:58.000]  DNA Force.
[30:58.000 --> 31:00.000]  Another major health threat.
[31:00.000 --> 31:05.000]  This one in Toledo, Ohio where everybody in the entire city has been told not to drink the water.
[31:05.000 --> 31:07.000]  Ohio's governor declaring a state of emergency.
[31:07.000 --> 31:14.000]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[31:14.000 --> 31:17.000]  If there's a water emergency, will you be prepared?
[31:17.000 --> 31:20.000]  Panicked residents forming long lines throughout the day.
[31:20.000 --> 31:25.000]  We're here at a supermarket in Toledo. You can see the shelves empty where water once was.
[31:25.000 --> 31:30.000]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[31:30.000 --> 31:34.000]  Water which will not be available at your local grocery store.
[31:34.000 --> 31:37.000]  There's a mad dash on right now to stock up on supplies.
[31:37.000 --> 31:44.000]  The Pro Pier Pro 1 G2.0 water filtration system is a must have for every modern independently minded household.
[31:44.000 --> 31:48.000]  Protect your family's safety during an emergency.
[31:48.000 --> 31:54.000]  Go to infowarstore.com today to purchase your Pro Pier Pro 1 G2.0 water filtration system.
[31:54.000 --> 31:58.000]  Or call 1-88-253-3139.
[31:58.000 --> 32:05.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[32:05.000 --> 32:07.000]  But it's not just the air outside that's toxic.
[32:07.000 --> 32:13.000]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[32:13.000 --> 32:18.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[32:18.000 --> 32:21.000]  There are more than 42 million smokers in the United States.
[32:21.000 --> 32:25.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[32:25.000 --> 32:30.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[32:30.000 --> 32:35.000]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs
[32:35.000 --> 32:40.000]  in order to combat the toxic environment that we cannot escape but that we can fight back against.
[32:40.000 --> 32:45.000]  Made with organic and wild cultivated herbs and manufactured in the U.S.A.
[32:45.000 --> 32:51.000]  The new InfoWars Life Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[32:51.000 --> 33:20.000]  Now available exclusively at infowarslife.com or by calling toll 3-888-2533-139.
[33:20.000 --> 33:37.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN Radio Network.
[33:37.000 --> 33:54.000]  This is the Alex Jones show Sunday edition with me, Paul Joseph Watson, infowars.com.
[33:54.000 --> 34:10.000]  Or indeed any terrorist event or any explanation behind the rise of ISIS in the Middle East in Syria in Iraq.
[34:10.000 --> 34:14.000]  Two conspiracy theories he basically said that anybody who says that, who questions the official narrative is a recruiter for ISIS insurgents in the Middle East.
[34:14.000 --> 34:29.000]  Of course we've also got the Saudi prince, the ex ambassador to the U.S. saying that the ultimate agenda behind the attack on ISIS in Syria is the removal of Assad regime change in that country.
[34:29.000 --> 34:32.000]  So we're going to go to that clip now and discuss it. Here's the clip.
[34:32.000 --> 34:38.000]  Are these airstrikes against ISIS the first step and then ultimately removing Assad?
[34:38.000 --> 34:47.000]  I don't know but I hope they are because you can't simply deal with ISIS and not deal with Assad.
[34:47.000 --> 34:49.000]  There were Saudi warplanes involved?
[34:49.000 --> 34:50.000]  Absolutely.
[34:50.000 --> 34:52.000]  Muslims dropping bombs on Muslims?
[34:52.000 --> 34:57.000]  Well you know we don't consider ISIS as being a Muslim group because of what they do to Islam.
[34:57.000 --> 35:00.000]  But they say they are creating an Islamic state?
[35:00.000 --> 35:08.000]  That's what they claim and unfortunately some people believe them but their actions belie their words.
[35:08.000 --> 35:16.000]  You don't simply create an Islamic state by chopping people's heads off and enforcing your opinion on them.
[35:16.000 --> 35:21.000]  Do you hope that the U.S. will go beyond airstrikes?
[35:21.000 --> 35:23.000]  You mean send ground troops?
[35:23.000 --> 35:24.000]  Yes.
[35:24.000 --> 35:30.000]  I think if the need for it arises I hope the president will change his mind.
[35:30.000 --> 35:33.000]  Would Saudi Arabia be willing to send in ground troops?
