[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[00:35:56.186 --> 00:35:57.507]  And then I would get a firearm.
[00:35:59.276 --> 00:36:11.400]  And I would get to a position away, in concealment, from the entrance to the basement that's outside, and I'd say, come out with your hands up and get on the ground.
[00:36:11.400 --> 00:36:19.563]  Because if somebody's gonna break in your house when you're there, most of the time they're armed and will carry out violence.
[00:36:19.563 --> 00:36:21.024]  If somebody's robbing your house when you're not there,
[00:36:22.076 --> 00:36:29.617]  If I pulled up and caught somebody breaking into my house, I'd probably just sit back, call 911, because I don't want to kill somebody over property.
[00:36:29.617 --> 00:36:31.358]  It's too much trouble.
[00:36:31.358 --> 00:36:37.919]  But if you come to my house, when I'm there, and break in, you are dangerous, and I'm going to go after you.
[00:36:37.919 --> 00:36:39.119]  But that's a side issue.
[00:36:39.119 --> 00:36:47.121]  The reason I raise that analogy is, it's not fear-mongering to tell someone what's already going on.
[00:36:50.123 --> 00:36:54.987]  One time I was walking out by Big Ben between one lodge and the other lodges.
[00:36:54.987 --> 00:36:57.349]  They're at the Chizos Lodge.
[00:36:57.349 --> 00:36:59.850]  And my friend said, hey, let's just walk around.
[00:36:59.850 --> 00:37:01.672]  You want to walk out through that grass.
[00:37:01.672 --> 00:37:05.515]  This happened this year in March.
[00:37:05.515 --> 00:37:07.696]  And I said, come on, let's just go back to the restaurant now.
[00:37:07.696 --> 00:37:08.477]  I'm tired.
[00:37:08.477 --> 00:37:09.358]  That's just grass.
[00:37:09.358 --> 00:37:10.859]  I've walked over before.
[00:37:10.859 --> 00:37:12.080]  All right, you're going to break your leg.
[00:37:14.141 --> 00:37:16.563]  Walk out about 50 yards.
[00:37:16.563 --> 00:37:19.185]  Someone had removed a telephone pole or something.
[00:37:19.185 --> 00:37:20.186]  In the dark.
[00:37:20.186 --> 00:37:21.026]  On the gravel.
[00:37:21.026 --> 00:37:21.987]  Three foot hole.
[00:37:21.987 --> 00:37:23.748]  Leg goes all the way in.
[00:37:23.748 --> 00:37:27.151]  Rupture half my Achilles.
[00:37:27.151 --> 00:37:28.792]  I'm going through rehabilitation right now.
[00:37:28.792 --> 00:37:32.375]  I should have surgery probably, but we're going to see.
[00:37:32.375 --> 00:37:37.278]  But the reason I tell that story is they weren't being a fear monger.
[00:37:37.278 --> 00:37:38.879]  I always use that analogy.
[00:37:38.879 --> 00:37:40.641]  Don't walk around in fields without a flashlight.
[00:37:42.355 --> 00:37:46.256]  I've used that for 20 years on air, and then I did it.
[00:37:46.256 --> 00:37:48.117]  And that's a good testament there as well.
[00:37:48.117 --> 00:37:50.378]  Just because I say something doesn't mean I'm following it.
[00:37:50.378 --> 00:37:51.638]  I'm trying to.
[00:37:51.638 --> 00:37:57.020]  I try to walk the walk if I talk the talk, but you know, sometimes we just don't think.
[00:37:57.020 --> 00:37:58.400]  We're tired.
[00:37:58.400 --> 00:38:00.661]  Take a shortcut.
[00:38:00.661 --> 00:38:05.903]  When I get up here on air and I tell you that most neurological disorders have been directly linked
[00:38:07.338 --> 00:38:16.745]  To vaccines, bioaccumulation of pesticides, and fluoride in the water, there are Harvard and Cambridge.
[00:38:16.745 --> 00:38:19.907]  When I say hundreds, that's me lying, because there's really thousands.
[00:38:19.907 --> 00:38:22.029]  But people think I exaggerate.
[00:38:22.029 --> 00:38:27.133]  Most of the time, I know there's thousands of studies.
[00:38:27.133 --> 00:38:27.493]  Probably 10,000.
[00:38:27.493 --> 00:38:30.035]  I mean, there are thousands I've seen.
[00:38:31.405 --> 00:38:35.528]  On fluoride alone, from Japan and China and Russia and Germany.
[00:38:35.528 --> 00:38:39.171]  There are more than a hundred from the University of Texas going back to the 1930s.
[00:38:39.171 --> 00:38:44.536]  They had studies at UT in the 30s proving everything we know today already.
[00:38:44.536 --> 00:38:48.279]  So see, when I say, oh, there's hundreds of studies, no, there's tens of thousands.
[00:38:48.279 --> 00:38:50.380]  So many, I have no idea how many.
[00:38:50.380 --> 00:38:52.142]  It's in the tens of thousands.
[00:38:52.142 --> 00:38:54.384]  So from now on, I'm going to stop holding back.
[00:38:54.384 --> 00:38:57.026]  I'm really trying to train myself to tell you what I really know.
[00:38:58.251 --> 00:39:00.353]  Because I'm not exaggerating most of the time.
[00:39:00.353 --> 00:39:02.394]  I am holding back, ladies and gentlemen.
[00:39:02.394 --> 00:39:04.396]  And it's not because I don't think we can't beat them.
[00:39:04.396 --> 00:39:07.418]  It's not because I'm trying to scare you.
[00:39:07.418 --> 00:39:09.660]  Because being in a fear place is not effective.
[00:39:09.660 --> 00:39:15.244]  I want you to get upset and angry.
[00:39:15.244 --> 00:39:20.948]  I have the best crew I've ever had in, you know, 17 years of having a crew.
[00:39:20.948 --> 00:39:21.949]  First three years, it was just me.
[00:39:23.618 --> 00:39:27.560]  And I guess Buckley helping my cousin who's come back to work with us after being gone for 12 years.
[00:39:27.560 --> 00:39:30.262]  So I guess he was there at the start.
[00:39:30.262 --> 00:39:32.363]  My dad helped a little bit as well.
[00:39:32.363 --> 00:39:36.145]  And my sister.
[00:39:36.145 --> 00:39:37.826]  But I've never had a crew this good.
[00:39:37.826 --> 00:39:45.290]  But still, there's an instinct when something's going on around the office or bad news to not tell me about it and try to fix it.
[00:39:45.290 --> 00:39:47.111]  And I told them, don't do that.
[00:39:47.111 --> 00:39:49.612]  I want to know what's going on.
[00:39:49.612 --> 00:39:52.914]  I want to hear about it so that I can be prepared for it.
[00:39:54.076 --> 00:39:59.339]  If somebody was coming to rob your house in an armed robbery, would you rather know, even though it's scary?
[00:39:59.339 --> 00:40:03.541]  Would you call the person that warned you a fear monger?
[00:40:03.541 --> 00:40:12.186]  When they hang up flyers around neighborhoods saying, this man has been seen breaking into five houses this week and tried to kidnap a woman, be on the lookout, is that fear mongering?
[00:40:12.186 --> 00:40:13.226]  No!
[00:40:13.226 --> 00:40:18.349]  It's local, it's been reported by citizens, it's being watchful and vigilant.
[00:40:18.349 --> 00:40:23.452]  When they say, give up your rights, Al Qaeda will kill you, and then our own government's protecting Al Qaeda, that is fear mongering.
[00:40:24.821 --> 00:40:26.343]  You have to judge each thing at each point.
[00:40:26.343 --> 00:40:28.685]  I want to go back to your calls.
[00:40:28.685 --> 00:40:35.513]  I'm just getting to the point that we're raising the alarm, the watchman, the watchwoman on the wall, the Paul Revere, and I'm not the Paul Revere.
[00:40:35.513 --> 00:40:38.656]  We are all collectively the Paul Revere.
[00:40:38.656 --> 00:40:42.501]  Great tyranny is upon us, and it's our job to tell others about it.
[00:40:43.410 --> 00:40:49.892]  So sign up for the free newsletter we send out every day with exclusive videos, you name it, special articles at InfoWars.com forward slash newsletter.
[00:40:49.892 --> 00:40:51.633]  Just put your email in and then it's free.
[00:40:51.633 --> 00:40:52.613]  We can send you emails.
[00:40:52.613 --> 00:40:56.794]  You've got to opt in for us to send you the information.
[00:40:56.794 --> 00:40:59.275]  Send that on to your friends and family.
[00:40:59.275 --> 00:41:05.277]  Repost our stuff on Facebook, Twitter, and all the other platforms that are out there.
[00:41:06.365 --> 00:41:09.247]  I don't care whether it's Pinterest or Instagram.
[00:41:09.247 --> 00:41:11.188]  Just know you've got power.
[00:41:11.188 --> 00:41:12.409]  Know you matter.
[00:41:12.409 --> 00:41:17.412]  Know we're on the verge of really getting an upper hand on the globalists and they know it and they're scared.
[00:41:17.412 --> 00:41:20.253]  We're gaining the momentum right now.
[00:41:20.253 --> 00:41:21.234]  We've got the momentum.
[00:41:21.234 --> 00:41:26.837]  We just crossed over and we're tied in this football game with a quarter left.
[00:41:26.837 --> 00:41:33.221]  This is the time for total intensity and just going into the zone in the information war.
[00:41:35.558 --> 00:41:41.902]  It's not about deciding you're going to win, it's knowing you're going to win and committing to it.
[00:41:41.902 --> 00:41:52.788]  I mean, do you really want to be a slave of these horrible control freaks that want to mess with our food supply and water supply and call us idiots in front of us on television and laugh at how they're ripping us off like Gruber's doing?
[00:41:52.788 --> 00:41:54.809]  I mean, are we really done?
[00:41:54.809 --> 00:41:57.671]  I'm going to go to your calls just briefly.
[00:41:59.192 --> 00:42:05.918]  Three times a day I take my vitamin B12, especially in the winter, for boosting my body's natural defenses, immunity, you name it.
[00:42:05.918 --> 00:42:07.479]  I took elderberry this morning.
[00:42:07.479 --> 00:42:09.061]  I gave elderberry to my children.
[00:42:09.061 --> 00:42:12.363]  I gave vitamin B12, a secret 12 to them.
[00:42:12.363 --> 00:42:19.290]  I gave them a little bit of colloidal silver, which I don't normally do unless somebody's already sick, to bolster because of how bad the superbugs have gotten.
[00:42:19.290 --> 00:42:20.771]  I don't have to tell you about that.
[00:42:20.771 --> 00:42:22.552]  Infowarslife.com.
[00:42:22.552 --> 00:42:25.055]  We are selling out very, very quickly.
[00:42:26.570 --> 00:42:37.376]  We sold out of like 80% of it Friday through Monday, and now it's slowed down a bit, but it will be sold out at current sales rates by this weekend.
[00:42:37.376 --> 00:42:39.197]  So Secret 12, still available.
[00:42:39.197 --> 00:42:46.241]  Infowarslife.com, the first run of this special, super organic, it is the injectable form, but you take it in the mouth.
[00:42:46.997 --> 00:42:47.998]  That's why it's so powerful.
[00:42:47.998 --> 00:42:52.181]  It's nutraceutical, super grade, the most powerful we could find.
[00:42:52.181 --> 00:42:54.643]  Took us two years to finally get this out.
[00:42:54.643 --> 00:43:01.849]  80% is methylcobalamin, the other 20% is the other type of special vitamin B12 that fuses with it and causes more absorption from the research.
[00:43:01.849 --> 00:43:02.869]  You can read all about it.
[00:43:02.869 --> 00:43:04.811]  Infowarslife.com or 888-253-3139.
[00:43:09.014 --> 00:43:11.476]  We had sold out of Oxy-Powder for a week or so.
[00:43:11.476 --> 00:43:14.599]  More Oxy-Powder discounted with promo code N-O-W.
[00:43:14.599 --> 00:43:17.622]  And we are ending that tomorrow at midnight.
[00:43:17.622 --> 00:43:20.344]  So Friday, promo code N-O-W.
[00:43:20.344 --> 00:43:23.006]  5% off already what's discounted.
[00:43:23.006 --> 00:43:24.848]  Lowest prices.
[00:43:24.848 --> 00:43:26.309]  It's gone.
[00:43:26.309 --> 00:43:28.271]  We're still gonna offer until it sells out.
[00:43:28.271 --> 00:43:29.792]  It looks like that'll be this weekend.
[00:43:29.792 --> 00:43:34.296]  The Survival Shield X2 with the Lung Cleanse.
[00:43:34.296 --> 00:43:35.397]  10% off in the Biodefense Pack.
[00:43:37.170 --> 00:43:43.772]  Infowarslife.com, or the big umbrella site, Infowarsstore.com, for the books, the films, the t-shirts, all of it.
[00:43:43.772 --> 00:43:49.094]  And it doesn't just spread the word, doesn't just inform you to a higher level, it supports this entire transmission.
[00:43:49.094 --> 00:43:55.076]  Infowarslife.com, Infowarsstore.com, or 888-253-3139.
[00:43:55.076 --> 00:44:01.698]  And I want to thank all of the affiliates, the sponsors, the listeners, the good Lord above, my family, everybody that put up with me over the years.
[00:44:02.762 --> 00:44:08.386]  Because we built something very special here, and you've got my commitment to do the best job I can.
[00:44:08.386 --> 00:44:18.434]  Doesn't mean it won't be obnoxious sometimes, doesn't mean I won't fall down sometimes, doesn't mean we won't fall down sometimes, but you've got a commitment here that we're together in this fight.
[00:44:18.434 --> 00:44:23.579]  I'm committed to the end, whatever the cost may be, we shall never surrender, to quote Churchill.
[00:44:23.579 --> 00:44:26.241]  I am committed, and in my soul it feels good.
[00:44:27.202 --> 00:44:35.912]  That feeling of commitment, that feeling of doing the right thing, eclipses any fears, any regrets, anything a thousand times.
[00:44:35.912 --> 00:44:38.075]  It's like joining my ancestors.
[00:44:38.075 --> 00:44:40.157]  It's like joining with God.
[00:44:40.157 --> 00:44:41.879]  It's committing to reality.
[00:44:41.879 --> 00:44:43.180]  It's being a man.
[00:44:43.180 --> 00:44:44.662]  It's doing the right thing.
[00:44:44.662 --> 00:44:46.204]  And it ain't special, folks.
[00:44:46.204 --> 00:44:47.405]  It's just doing the right thing.
[00:44:48.188 --> 00:44:48.608]  Yeah, Alex.
[00:44:48.608 --> 00:44:50.330]  How are you doing today?
[00:45:18.058 --> 00:45:33.751]  I don't know, I think this whole thing about the XL Pipeline is like a hoax and we're being played because you notice that all the Democrats are against it and they're just pushing, pushing, pushing against the Republicans and this, that, and the other thing.
[00:45:33.751 --> 00:45:37.654]  And when in reality, it has no benefit to us.
[00:45:37.654 --> 00:45:39.175]  We're not getting any of the oil.
[00:45:39.175 --> 00:45:45.080]  We're not getting anything to do with that except, you know, make more jobs down in New Orleans.
[00:45:45.080 --> 00:45:45.840]  Loading the ships.
[00:45:45.840 --> 00:45:46.481]  That's about it.
[00:45:48.187 --> 00:45:54.731]  And all it's going to do, I think, is to further the North American Union.
[00:45:54.731 --> 00:46:03.817]  Well, I'm not disagreeing with you that most of our Western oil gets loaded on ships and sent to China at lower prices than we get sold to the government at lower prices.
[00:46:03.817 --> 00:46:07.179]  They mark it up at higher prices than what we pay.
[00:46:07.179 --> 00:46:15.985]  I'm not disagreeing with you, but if you're talking about the Keystone, they built a $3 billion refinery in Corpus Christi.
[00:46:17.811 --> 00:46:22.436]  That the federal government's been not letting them open for years.
[00:46:22.436 --> 00:46:24.197]  We haven't had one new refinery since like 1981.
[00:46:26.577 --> 00:46:29.179]  And this is economic sabotage.
[00:46:29.179 --> 00:46:37.545]  And then George Soros, who financed, along with Berkshire Hathaway, the Feds not letting the Keystone get activated, they own the railroad.
[00:46:37.545 --> 00:46:38.246]  You can look this up.
[00:46:38.246 --> 00:46:48.833]  This is in Forbes, AP, you name it, that then tranships from the middle of Canada and the east of Canada all the way over to the west to the super tankers to go to China and Japan.
[00:46:52.066 --> 00:46:55.807]  I mean, tell me if I'm wrong, because I don't understand.
[00:46:55.807 --> 00:46:58.688]  You're saying you don't think the Keystone Pipeline will give us oil?
[00:46:58.688 --> 00:47:05.810]  Well, I haven't heard any of that coming from any politician's mouth or anything.
[00:47:05.810 --> 00:47:07.231]  The thing is, is that will they
[00:47:08.507 --> 00:47:12.709]  Are we going to be able to buy the gas for what they're selling it to China for?
[00:47:12.709 --> 00:47:13.030]  No.
[00:47:13.030 --> 00:47:16.432]  I mean, obviously they're going to sell most of it to foreigners.
[00:47:16.432 --> 00:47:18.273]  Look, look, look.
[00:47:18.273 --> 00:47:24.176]  All I know is we need to be energy dependent and Obama and others have been trying to block that for a long time.
[00:47:24.176 --> 00:47:27.018]  And George Soros doesn't want the pipeline.
[00:47:27.018 --> 00:47:30.800]  I mean, why shouldn't we have a pipeline to bring Canadian oil down here?
[00:47:31.300 --> 00:47:37.643]  I mean, that's all I'm saying is more oil means cheaper prices, and I know they're blocking that refinery.
[00:47:37.643 --> 00:47:42.386]  Now, they're saying that refinery may produce gas as well, and sell refined gas.
[00:47:42.386 --> 00:47:43.526]  So, who knows?
[00:47:43.526 --> 00:47:44.347]  We'll see what happens.
[00:47:44.347 --> 00:47:46.187]  I appreciate your call.
[00:47:46.187 --> 00:47:47.668]  You know, I just kind of default.
[00:47:47.668 --> 00:47:50.169]  When George Soros is for something, I'm against it.
[00:47:50.169 --> 00:47:52.010]  He's for taking my guns, I'm against it.
[00:47:52.010 --> 00:47:53.991]  He's for open borders, I'm against it.
[00:47:53.991 --> 00:47:56.933]  He's for attacking the family, I'm against it.
[00:47:56.933 --> 00:47:59.094]  He's for decriminalizing marijuana, I'm for it.
[00:48:00.250 --> 00:48:05.313]  But then him being for it makes me question my judgment.
[00:48:05.313 --> 00:48:06.913]  I don't know.
[00:48:06.913 --> 00:48:08.814]  Let's go to Maggie in Oklahoma.
[00:48:08.814 --> 00:48:11.136]  What do you think the next big shoe to drop is in 2015?
[00:48:11.136 --> 00:48:21.161]  I think that our Justice Department has totally become corrupt and the fact that it has is going to hit the fan very soon.
[00:48:22.918 --> 00:48:23.939]  I totally agree with you.
[00:48:23.939 --> 00:48:35.506]  I think that the reason government acts like we don't exist anymore is they know that with derivatives and economic indicators being collapse level, no way to hold up the house of cards.
[00:48:35.506 --> 00:48:38.388]  It's like having a house of cards in your backyard on a still day.
[00:48:39.268 --> 00:48:47.275]  On a card table, but you know, even though it's a still day, a gust of wind will come by sometime that day and knock those cards over.
[00:48:47.275 --> 00:48:54.340]  And a watch pot never boils, but you're gonna be looking out the back window, the kitchen window, and those cards are gonna be laying all over the ground.
[00:48:54.340 --> 00:48:58.784]  And most experts we interview think the big collapse is in 2015.
[00:48:58.784 --> 00:49:00.225]  And I want to be clear.
[00:49:00.225 --> 00:49:00.985]  I'm not a
[00:49:03.470 --> 00:49:05.592]  I'm not a voyeur for disaster.
[00:49:05.592 --> 00:49:10.536]  I'm not a collapse porn consumer.
[00:49:10.536 --> 00:49:11.857]  I hope this doesn't happen.
[00:49:11.857 --> 00:49:14.939]  I hope we can mitigate and have a soft landing.
[00:49:14.939 --> 00:49:20.023]  But the globalists are only accelerating things that will make the collapse worse.
[00:49:20.023 --> 00:49:23.245]  And we see government gearing up for collapse everywhere.
[00:49:23.245 --> 00:49:23.906]  What else do you think?
[00:49:24.958 --> 00:49:28.601]  That this gust of wind has a name on it, and his name is Schaefer Cox.
[00:49:28.601 --> 00:49:30.683]  S-C-H-A-F-F-E-R-C-O-X.
[00:49:30.683 --> 00:49:32.184]  Who is that?
[00:49:32.184 --> 00:49:35.987]  He is a young man that was thrown into jail two years ago.
[00:49:35.987 --> 00:49:39.770]  Well, send me some info, man, because I'm not aware of what you're getting into.
[00:49:39.770 --> 00:49:40.470]  Thank you.
[00:49:40.470 --> 00:49:41.591]  Christian, Pennsylvania.
[00:49:41.591 --> 00:49:42.291]  You're on the air.
[00:49:42.291 --> 00:49:42.652]  Go ahead.
[00:49:44.272 --> 00:49:53.541]  Yeah, I think that Americans are going to wake up on a massive scale and we're going to get big government out of our lives and start ruling ourselves again like we were supposed to.
[00:49:53.541 --> 00:50:01.749]  And we're going to hold these criminals responsible for their crimes against humanity and take the info they have on how the world really works, on who we really are.
[00:50:13.373 --> 00:50:14.293]  Sounds good to me.
[00:50:14.293 --> 00:50:15.113]  You know, I know this.
[00:50:15.113 --> 00:50:18.054]  It's innovation that gets debt economies going.
[00:50:18.054 --> 00:50:22.256]  And the globalists are doing everything they can to give lip service innovation, but blocking it.
[00:50:22.256 --> 00:50:25.177]  And it is going to be freer energy, free energy.
[00:50:25.177 --> 00:50:31.540]  It's going to be things like that that they're suppressing that would be the next, just like the silicon revolution, that'll be our next boom.
[00:50:32.080 --> 00:50:34.302]  Anything else, Chris?
[00:50:34.302 --> 00:50:35.523]  God bless you, Alex.
[00:50:35.523 --> 00:50:36.083]  God bless you.
[00:50:36.083 --> 00:50:38.525]  Now, I'm going to take a ton of calls coming up in the next segment.
[00:50:38.525 --> 00:50:41.187]  Steve, Ken, James, many others.
[00:50:41.187 --> 00:50:42.088]  800-259-9231.
[00:50:42.088 --> 00:50:59.001]  Our article that Paul Watson wrote about, is there an Ebola cover-up going on, is linked on DrugsReport.com, going viral now, and I hope he adds more to that article of all the other stories, or at least on the left-hand side column, asking, is this Ebola?
[00:50:59.281 --> 00:51:04.522]  This hour brought to you by katiarmor.com, your most affordable option for body armor.
[00:51:04.522 --> 00:51:06.443]  Packages starting at $195.
[00:51:06.443 --> 00:51:09.384]  Go now to katiarmor.com and get yours.
[00:51:09.384 --> 00:51:12.105]  That's k-a-t-i-armor.com.
[00:51:12.105 --> 00:51:14.225]  Come and take it.
[00:51:14.225 --> 00:51:16.406]  Hi, Ted Anderson with Midas Resources.
[00:51:16.406 --> 00:51:21.107]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[00:51:21.107 --> 00:51:22.867]  Get our 10 Reasons book free.
[00:51:22.867 --> 00:51:23.167]  Call 800-686-2237.
[00:51:23.167 --> 00:51:23.348]  That's 800-686-2237.
[00:51:29.342 --> 00:51:37.583]  Virtually anyone can hack your cell phone and track your calls, your texts, your emails, your every movement, but only if they can detect a signal.
[00:51:37.583 --> 00:51:41.564]  Stay one step ahead of hackers and Big Brother with a BlockIt Pocket.
[00:51:41.564 --> 00:51:47.165]  A custom-made pocket infused with pure silver that creates a complete Faraday enclosure for your cell phone.
[00:51:47.165 --> 00:51:51.026]  For free shipping to the lower 48, visit BlockItPocket.com or call 888-315-9618.
[00:51:51.026 --> 00:51:51.606]  BlockItPocket.com.
[00:51:51.606 --> 00:51:52.526]  Enhancing health and privacy.
[00:51:58.527 --> 00:52:01.368]  Hi folks, Alex Jones here with some important information.
[00:52:01.368 --> 00:52:06.471]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:52:06.471 --> 00:52:14.614]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:52:14.614 --> 00:52:19.136]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:52:19.136 --> 00:52:22.938]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:52:23.098 --> 00:52:29.042]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:52:29.042 --> 00:52:32.204]  It is rare to find companies who practice what they preach.
[00:52:32.204 --> 00:52:37.588]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:52:37.588 --> 00:52:45.753]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:52:45.753 --> 00:52:45.933]  That's 866-229-0927.
[00:52:58.040 --> 00:53:03.343]  Did you know by age 50, half of all men have an enlarged prostate?
[00:53:03.343 --> 00:53:10.286]  This means more urges to urinate, longer bathroom trips, waking at night to urinate, or issues with sex.
[00:53:10.286 --> 00:53:17.770]  If this sounds familiar, call us now, because we're shipping free bottles of Super Beta Prostate to listeners of this station.
[00:53:17.770 --> 00:53:20.471]  Super Beta Prostate is a non-prescription formula
[00:53:20.891 --> 00:53:24.435]  Guaranteed to reduce the symptoms of your enlarged prostate.
[00:53:24.435 --> 00:53:25.857]  It's yours, free!
[00:53:25.857 --> 00:53:27.799]  Pay only shipping and handling.
[00:53:27.799 --> 00:53:29.340]  Just call 1-800-852-1820.
[00:53:29.340 --> 00:53:41.574]  In clinical trials, the ingredient in Super Beta Prostate was shown to reduce urges to urinate, improve bladder emptying, reduce waking at night to urinate, and improve quality of life.
[00:53:41.934 --> 00:53:46.157]  This Super Beta Prostate Free offer is for listeners of this station.
[00:53:46.157 --> 00:53:47.598]  But it won't last.
[00:53:47.598 --> 00:53:48.539]  Don't wait.
[00:53:48.539 --> 00:53:49.259]  Just call 1-800-852-1820.
[00:53:49.259 --> 00:53:49.539]  That's 1-800-852-1820.
[00:53:49.539 --> 00:53:49.719]  Call 1-800-852-1820.
[00:54:16.601 --> 00:54:25.932]  You know, we should do a whole special report on the normalcy bias and how it creates learned helplessness or what I call mass Stockholm Syndrome.
[00:54:25.932 --> 00:54:27.994]  Alex Jones here, back live.
[00:54:27.994 --> 00:54:33.741]  Because the reason I'm trying to get people shaken out of their complacency is the globalists want to put you into complacency.
[00:54:34.582 --> 00:54:37.483]  To just accept the most outrageous stuff.
[00:54:37.483 --> 00:54:38.704]  Oh, we torture people.
[00:54:38.704 --> 00:54:40.285]  Oh, we disappear people.
[00:54:40.285 --> 00:54:43.306]  Oh, we spy on you without warrants even though it's illegal.
[00:54:43.306 --> 00:54:46.207]  Oh, we give your kids flu shots without authorization.
[00:54:46.207 --> 00:54:49.689]  It's all illegal.
[00:54:49.689 --> 00:54:53.931]  And they go, oh, but the local government's not a bad group.
[00:54:53.931 --> 00:54:56.392]  The person you talk to is not bad on average, and that's true.
[00:54:57.358 --> 00:55:01.281]  They're compartmentalized and aren't overtly trying to be evil.
[00:55:01.281 --> 00:55:05.264]  But then they go along with the system and have now become compromised.
[00:55:05.264 --> 00:55:07.466]  That happens in corporations, everywhere else.
[00:55:07.466 --> 00:55:09.588]  This country is in a crisis.
[00:55:09.588 --> 00:55:12.730]  It's starting to wake up, but we need to get fully awake.
[00:55:12.730 --> 00:55:18.415]  Steve in Florida, what do you see as the next big event or global staged event?
[00:55:18.415 --> 00:55:26.862]  I like the last caller because he was raising the point of a huge awakening happening in 2015, accelerating the awakening we've already seen.
[00:55:28.700 --> 00:55:29.981]  I agree with Slim earlier.
[00:55:29.981 --> 00:55:40.510]  I believe they would like to initiate the Model States Emergency Health Powers Act nationwide with mass vaccinations and perhaps a financial collapse.
[00:55:40.510 --> 00:55:49.298]  I've not spoken to you since 1999 or 2000, but I just met a young man just a week or two ago who placed Alex Jones InfoWars billboards
[00:55:50.598 --> 00:55:51.659]  In 13 major U.S.
[00:55:51.659 --> 00:55:51.979]  cities.
[00:55:51.979 --> 00:55:55.221]  I just saw one a week ago and I'll name the cities if you wish.
[00:55:55.221 --> 00:56:00.164]  Yeah, I'd like to meet the young man that did it and find out more and get other people to step up and do this.
[00:56:00.164 --> 00:56:00.944]  Yeah, tell us about it.
[00:56:01.482 --> 00:56:02.402]  Here are the cities.
[00:56:02.402 --> 00:56:17.809]  Richmond, Virginia, Raleigh, North Carolina, Columbia, South Carolina, Pensacola, Florida, Birmingham, Alabama, Gulfport, and Jackson, Mississippi, Knoxville, Tennessee, Shreveport, Baton Rouge, Lafayette, and Lake Charles, Louisiana, and Little Rock, Arkansas.
[00:56:17.809 --> 00:56:22.992]  He spent this money, his own money, because unless Americans wake up now, the nation is finished.
[00:56:22.992 --> 00:56:24.852]  He told me that to my own face.
[00:56:24.852 --> 00:56:27.294]  I've followed and supported and prayed for you for 20 years.
[00:56:27.294 --> 00:56:27.934]  I'm going to continue.
[00:56:28.434 --> 00:56:32.737]  And I want to encourage you, never give up and always stay close to our Lord and Savior, Jesus Christ.
[00:56:32.737 --> 00:56:33.777]  Steve, don't hang up.
[00:56:33.777 --> 00:56:35.178]  I recognize your voice.
[00:56:35.178 --> 00:56:41.222]  I mean, you were calling like 18 years ago and I haven't talked to you in over a decade.
[00:56:41.222 --> 00:56:42.943]  You used to call all the time.
[00:56:42.943 --> 00:56:45.525]  It's great to talk to you, buddy.
[00:56:46.218 --> 00:56:46.578]  Same here.
[00:56:46.578 --> 00:56:56.287]  I've been dealing with Gulf War Syndrome and a lot of the former Navy SEALs with whom I served and a lot of the Marines, they've died, but I continue to stay vigilant for our Lord and to support you.
[00:56:56.287 --> 00:56:56.827]  That's right.
[00:56:56.827 --> 00:57:03.233]  I remember all the great intel you used to give us back on what was happening when they ordered the Marines, remember?
[00:57:03.233 --> 00:57:07.737]  It was even in the newspaper to tell the kids, Bill Clinton wants you to know what martial law is like.
[00:57:07.737 --> 00:57:08.737]  Remember that?
[00:57:08.737 --> 00:57:10.439]  Yes, exactly.
[00:57:10.439 --> 00:57:11.340]  Wow, I remember.
[00:57:11.340 --> 00:57:11.940]  Yeah, yeah.
[00:57:13.595 --> 00:57:15.677]  I just want to encourage everybody listening.
[00:57:15.677 --> 00:57:19.900]  I've passed out thousands of flyers with InfoWars over the years.
[00:57:19.900 --> 00:57:22.642]  I just don't know who picked them up or whatever.
[00:57:22.642 --> 00:57:24.043]  I passed them out to people.
[00:57:24.043 --> 00:57:26.705]  I just thank the Lord that I have that ability.
[00:57:26.705 --> 00:57:29.527]  Now I'm pretty much too sick with Gulf War illness to do much except
[00:57:30.047 --> 00:57:30.187]  Well,
[00:57:44.804 --> 00:57:56.849]  Well let me know who this young man is, he should get in touch with us because there's all these businessmen and women and successful folks that we should create a database of stations and then they can help put billboards up in those areas.
[00:57:56.849 --> 00:58:01.211]  Billboards are very inexpensive now because the economy is in so much trouble.
[00:58:01.211 --> 00:58:09.735]  So you can really get huge billboards that would have cost $10,000 15 years ago for like $1,000 including the printing.
[00:58:09.735 --> 00:58:13.877]  And it would be, and I think Infowars isn't perfect, but it's one of the better things to promote.
[00:58:14.537 --> 00:58:14.737]  I'm here.
[00:58:14.737 --> 00:58:15.318]  I'm still here.
[00:58:33.932 --> 00:58:36.155]  I was a supporter of Steel Team One many years ago.
