[00:00:00.009 --> 00:00:06.016]  I want to touch on a story that was mentioned very briefly during the Alex Jones program today.
[00:02:16.805 --> 00:02:24.470]  Tillman, of course, again a popular player for the Arizona Cardinals, gave up his stardom to become this Army Ranger.
[00:02:24.470 --> 00:02:32.176]  Shortly after arriving in the mountains to fight, Tillman was killed in a barrage of gunfire by his own men, mistaken for the enemy as he got in position to defend them.
[00:02:32.176 --> 00:02:43.163]  Immediately, the Army kept the soldiers on the ground quiet, told Tillman's family and the public that he was killed by enemy fire while storming a hill, barking orders to his fellow Rangers.
[00:02:43.163 --> 00:02:46.105]  After a public memorial service in which Tillman received the Silver Star,
[00:02:46.866 --> 00:02:51.007]  The Army told Tillman's family what really happened, that he'd been killed by his own men.
[00:02:51.007 --> 00:02:57.268]  Now, in separate interviews from their home in San Jose and by telephone, Tillman's parents, who were divorced, spoke about the ordeal with the Army.
[00:02:57.268 --> 00:03:04.370]  With simmering frustration and anger, a series of military investigations have offered no differing accounts of Tillman's death.
[00:03:04.370 --> 00:03:09.871]  The most recent report revealed more deeply the confusion and disarray that surrounded the mission he was on.
[00:03:11.027 --> 00:03:22.455]  The latest investigation, written about in the Washington Post earlier this month, showed that the soldiers in Afghanistan knew almost immediately they'd killed Tillman by mistake, in what they believe was a firefight with enemies, on a tight canyon road.
[00:03:22.455 --> 00:03:31.882]  The investigation also revealed that the soldiers later burned Tillman's uniform and body armor to cover up this malfeasance.
[00:03:31.882 --> 00:03:32.803]  And I think that Ms.
[00:03:32.803 --> 00:03:37.306]  Tillman asks a very interesting question.
[00:03:37.306 --> 00:03:39.408]  How can an elite army unit
[00:03:40.111 --> 00:03:47.117]  Gunned down the most recognizable member at such close range.
[00:03:47.117 --> 00:04:02.889]  And also, if this happens with somebody who is so high-profile, if these lies are ingrained and a story is covered up with somebody who is so high-profile, where it actually is pretty risky that the truth could come out, what happens to everyone else?
[00:04:02.889 --> 00:04:05.451]  How many more cover-ups are there like this?
[00:04:06.561 --> 00:04:14.368]  Of course, Jessica Lynch was completely blown up and it was revealed that, uh, that was a complete farce and a lie in a stage Hollywood production.
[00:04:14.368 --> 00:04:20.493]  Jessica Lynch on TV last night, uh, extreme makeovers, home edition.
[00:04:20.493 --> 00:04:24.596]  Now recognizing who the true heroes of that battle were.
[00:04:24.596 --> 00:04:34.204]  And, uh, well, ABC gave about $100,000, $200,000 to the family to rebuild their house as if that's, uh, now going to make up for it.
[00:04:34.204 --> 00:04:34.845]  Private Lynch.
[00:04:36.486 --> 00:04:40.307]  And if we ask the poll, you see, here's the problem with this lie.
[00:04:40.307 --> 00:04:51.530]  Even if the record does get straight by the Washington Post and other establishment media organizations that Tillman was killed and that there are some very serious questions here, the first impression is what people remember.
[00:04:51.530 --> 00:04:55.631]  You know, a lot of people still think that Saddam hit us on 9-11.
[00:04:55.631 --> 00:05:01.333]  They still think that a passport had filtered down through the massive explosion, untouched, unscratched.
[00:05:02.319 --> 00:05:06.100]  Implicating the 19 Arab hijackers with box cutters.
[00:05:06.100 --> 00:05:10.341]  I have a couple of more questions here.
[00:05:10.341 --> 00:05:12.061]  And I'd like to put out a poll.
[00:05:12.061 --> 00:05:13.302]  And we'll take some of your calls.
[00:05:13.302 --> 00:05:15.122]  John Rice coming up from the Neither Party.
[00:05:15.122 --> 00:05:16.002]  Deadline Live.
[00:05:16.002 --> 00:05:17.663]  All the news you're not supposed to know and more.
[00:05:17.663 --> 00:05:26.104]  Stay tuned.
[00:05:26.104 --> 00:05:27.205]  All water isn't the same.
[00:06:01.036 --> 00:06:04.137]  Don't look them in the eye.
[00:06:04.137 --> 00:06:08.680]  Be fitter, happier, more productive.
[00:06:08.680 --> 00:06:11.001]  Not watching too much TV.
[00:06:11.001 --> 00:06:12.501]  Fitter, happier.
[00:06:12.501 --> 00:06:13.882]  Be good consumers.
[00:06:13.882 --> 00:06:15.202]  Don't question authority.
[00:06:15.202 --> 00:06:16.163]  Trust your government.
[00:06:18.268 --> 00:06:19.648]  Yeah, well that's the illusion.
[00:06:19.648 --> 00:06:21.369]  Welcome back to the show, Deadline Live.
[00:06:21.369 --> 00:06:23.049]  Jack Blood here with you this Monday.
[00:06:23.049 --> 00:06:30.411]  Beautiful, beautiful Monday and I'm fired up to start the week here and really go after the New World Order in a hard and fast manner.
[00:06:30.411 --> 00:06:40.354]  We were talking about this new Pat Tillman revelation where his parents, and I think it's very brave of his parents to speak out against the military because no doubt they could have cashed in on this.
[00:06:41.294 --> 00:06:57.710]  They could have, you know, had their son listed as a big war hero, an icon for future historians for fake history, and yet they have chosen to speak out so that American people will know the truth about their son, that he was used.
[00:06:57.710 --> 00:07:02.274]  His mother literally uses that, is offended by how Bush has used her son.
[00:07:03.388 --> 00:07:05.770]  So I think it's very brave, and I want to ask you a few questions.
[00:07:05.770 --> 00:07:08.932]  We have Alex Jones holding on the line, so we'll bring him up.
[00:07:08.932 --> 00:07:10.033]  But I want to ask you a few questions.
[00:07:10.033 --> 00:07:27.365]  If we put out a poll on CNN or some establishment media monstrosity, and we put out a poll asking, how did poster boy for patriotism, for the International War on Terrorism, Corporal Army Ranger Pat Tillman die?
[00:07:27.365 --> 00:07:29.447]  A, heroically fighting Al Qaeda,
[00:07:30.271 --> 00:07:39.474]  B, friendly fire in a tragic accident, C, assassinated by his own military, or D, who's Pat Tillman?
[00:07:39.474 --> 00:07:41.254]  Whatever.
[00:07:41.254 --> 00:07:45.315]  I wonder how most Americans would answer that.
[00:07:45.315 --> 00:07:51.057]  Well, thank God we have people listening, more people every day listening to shows like this who know the score here.
[00:07:51.057 --> 00:07:57.839]  We have Alex Jones, of course, from the Alex Jones Show, also on GCN, also here in the bunker in Austin, Texas, who wants to weigh in on this.
[00:07:57.839 --> 00:07:58.719]  Alex, thanks for calling in.
[00:07:59.571 --> 00:08:00.271]  You bet, Jack.
[00:08:00.271 --> 00:08:02.093]  I got off at 2 o'clock and was driving down the road.
[00:08:02.093 --> 00:08:05.735]  Now I'm back home and just walking out in my front yard thinking about things you're saying.
[00:08:05.735 --> 00:08:09.477]  Do you think it's possible that Pat Tillman saw something he shouldn't have seen?
[00:08:09.477 --> 00:08:15.720]  Because he was so idealistic, was maybe going to come back and speak out about what's really going on in Afghanistan, i.e.
[00:08:15.720 --> 00:08:24.025]  the poppies, the fake democracy they have over there, the killing of women and children, and of course state-sponsored terrorism, and working with the Taliban.
[00:08:24.025 --> 00:08:25.386]  Maybe that's what he was going to talk about.
[00:08:25.926 --> 00:08:30.749]  Well, Jack, let me just go over first what we know about Jessica Lynch.
[00:08:30.749 --> 00:08:34.231]  They wanted a poster girl for women in front line combat.
[00:08:34.231 --> 00:08:40.735]  And so the real people, particularly one Hispanic man who actually did fight valiantly against overwhelming odds, he was ignored.
[00:08:40.735 --> 00:08:44.437]  He was basically called a wimp by the media.
[00:08:44.437 --> 00:08:46.398]  And Jessica Lynch, who hid and cowered,
[00:08:47.634 --> 00:08:55.579]  She was built up as this incredible hero, and she finally went public and said, it's all theater, it's a fable, it's all made up, none of it's true.
[00:08:55.579 --> 00:08:57.000]  And then now she's done the right thing.
[00:08:57.000 --> 00:09:04.244]  But listen, in the month before she went public, five people who were in her unit, or people involved in saving her, died.
[00:09:04.244 --> 00:09:09.207]  And I mean, assassins would pop up over the back fence of their house and double tap them in the head.
[00:09:09.207 --> 00:09:12.529]  People would be pulled out of their car and drowned.
[00:09:12.529 --> 00:09:14.450]  And that clearly was a government hit.
[00:09:14.450 --> 00:09:15.491]  They were trying to cover that up.
[00:09:16.437 --> 00:09:18.438]  Listen, that's mainstream news.
[00:09:18.438 --> 00:09:22.859]  So then she had to go public just to save her life, because it would have been the young hero who died in a car wreck.
[00:09:22.859 --> 00:09:24.339]  And boy, she was a hero.
[00:09:24.339 --> 00:09:32.102]  Now, with Pat Tillman, I know for a fact, because of my sources that were in Afghanistan, he was in a ranger unit, quote, hunting Taliban or al-Qaeda.
[00:09:32.102 --> 00:09:42.465]  And we know that the army, and this has come out from the troops themselves, higher-up command ordered fire down into the area on that hillside that he was in.
[00:09:42.465 --> 00:09:44.305]  At first, it was he died battling al-Qaeda.
[00:09:44.305 --> 00:09:45.846]  Then it was, OK, it might have been friendly fire.
[00:09:46.466 --> 00:09:46.706]  I think so.
[00:09:58.986 --> 00:09:59.967]  Very suspicious.
[00:09:59.967 --> 00:10:06.791]  A lot of Army Rangers, a lot of other people higher up than him, Delta Force, have gone public.
[00:10:06.791 --> 00:10:13.034]  One colonel, over how they would quote, have been lied and targeted, and then they'd be ordered to stand down and do nothing.
[00:10:13.034 --> 00:10:16.616]  They even had the top Taliban general in the base in order to release him.
[00:10:16.616 --> 00:10:19.298]  And then they flew 8,000 of them out to safety.
[00:10:19.298 --> 00:10:21.559]  So I have, it's very, very suspicious.
[00:10:21.559 --> 00:10:23.580]  And look, when we've been lied to on all these other things,
[00:10:24.020 --> 00:10:24.561]  We're good.
[00:10:35.803 --> 00:10:39.406]  When I first covered the Tillman stuff, I said, folks, this stinks to high heaven.
[00:10:39.406 --> 00:10:41.148]  Then it came out it was a lie.
[00:10:41.148 --> 00:10:44.110]  I was still being attacked for not being patriotic.
[00:10:44.110 --> 00:10:47.213]  Now will his parents be attacked for not being patriotic?
[00:10:47.213 --> 00:10:48.574]  Because they won't believe a lie.
[00:10:48.574 --> 00:10:57.321]  And Tillman was the type of bleeding-heart patriot, a good guy, but misguided, who would have gone public if they weren't really going after the enemy.
[00:10:57.321 --> 00:10:59.123]  And I think that that holds a lot of water, Jack.
[00:10:59.543 --> 00:11:13.183]  Well, look, I saw Paul Gigot on all of the news channels, all of the Sunday shows, talking about how the media, you know, ever since Vietnam has had a problem with the military, was talking specifically about the Newsweek...
[00:11:16.487 --> 00:11:19.691]  Here's what he literally said, and this applies to this story as well.
[00:11:19.691 --> 00:11:27.460]  He said that the media has a problem ever since Vietnam, and just because the military lied a few times doesn't mean that we shouldn't trust them.
[00:11:27.460 --> 00:11:31.865]  I mean, once the military lies to us once, why should we ever trust them again, Alex?
[00:11:32.425 --> 00:11:39.373]  Well, bottom line, they took the medals away from the people who deserved them and gave them to somebody that hid under a blanket.
[00:11:39.373 --> 00:11:47.101]  And when people blew the whistle, they all started getting executed by top assassin type M.O.
[00:11:47.101 --> 00:11:48.382]  And so I guess that's patriotic.
[00:11:48.662 --> 00:11:53.705]  I think that Tillman, as you say, knew that the hunt for Bin Laden, the hunt for Al-Qaeda was phony.
[00:11:53.705 --> 00:11:57.026]  I think he was too idealistic to keep his mouth shut.
[00:11:57.026 --> 00:12:00.228]  He was probably starting to talk to people, writing things in letters.
[00:12:00.228 --> 00:12:01.469]  Well, we know they killed Patton.
[00:12:01.469 --> 00:12:03.630]  We know Patton wanted to go up against the Soviets.
[00:12:03.630 --> 00:12:10.593]  We knew that he was mad about handing over 20,000 of our G-Guys that were in camps that the Soviets had gotten.
[00:12:10.593 --> 00:12:13.495]  He was publicly throwing fits, and then he died two days later.
[00:12:14.824 --> 00:12:23.691]  Well, and we have Paul Wellstone and any number of examples, maybe Vince Foster, of people who likely were going to speak out who met unfortunate ends.
[00:12:23.691 --> 00:12:25.913]  Of course, our friend Gary Webb being another one of these.
[00:12:25.913 --> 00:12:27.234]  Or Ron Brown, yeah.
[00:12:27.234 --> 00:12:32.058]  And then people we can trust come out and go, oh, shooting yourself in the head is quite normal.
[00:12:32.058 --> 00:12:34.540]  You know, twice in the head, wow, that's quite easy to do.
[00:12:34.540 --> 00:12:40.005]  Look, bottom line, Jack... We will know them by the Trail of Dead, I believe is the slogan.
[00:12:40.982 --> 00:12:43.924]  Well, it certainly is, and I'll keep listening to the broadcast.
[00:12:43.924 --> 00:12:53.471]  I hope people will visit InfoWars.com and PrisonPlanet.com, because it was a month ago, or two weeks ago, I started promoting, I'm going to be showing Marshall Law at three different showings here in Austin.
[00:12:53.471 --> 00:12:55.172]  Well, then, my month's almost up.
[00:12:55.172 --> 00:12:57.153]  We're ten days away from that Friday, June 4th.
[00:12:57.153 --> 00:12:58.974]  I want to see everybody out there.
[00:12:58.974 --> 00:13:02.577]  It's 409 Colorado Street, Alamo Draft House.
[00:13:02.577 --> 00:13:08.201]  That's the third, I believe, Alex, that is this coming Friday, or no, so Friday after next.
[00:13:09.062 --> 00:13:10.963]  I'll be there and I hope everyone else comes out.
[00:13:10.963 --> 00:13:15.127]  I hope we have a huge crowd and we have a lot of fun discussing the New World Order.
[00:13:15.127 --> 00:13:15.808]  That's what it's all about.
[00:13:29.461 --> 00:13:29.961]  We're good to go.
[00:13:56.667 --> 00:13:57.348]  We're good to go, Alex.
[00:13:57.348 --> 00:13:59.249]  We'll plug that all this week and next week.
[00:13:59.249 --> 00:14:00.030]  Take care, my brother.
[00:14:00.030 --> 00:14:01.291]  We'll talk to you soon.
[00:14:01.291 --> 00:14:02.251]  Next segment coming up.
[00:14:02.251 --> 00:14:02.712]  Stay tuned.
